name,instance,run_id,test_pretraining/macro_types/recall,test_pretraining/macro_types/precision,test_incremental_other-language-programming_language/macro_types/f1,test_incremental_only/micro/f1,test_incremental/macro_example/precision,test_incremental_only/macro_types/precision,test/micro/precision,test/macro_types/recall,test_incremental/macro_example/f1,test_incremental_only/macro_types/recall,test_pretraining/macro_example/recall,test_incremental/macro_types/precision,test_pretraining/micro/precision,test_pretraining/macro_example/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_other-language/macro_types/precision,test_incremental/macro_types/recall,test_incremental/macro_example_exclusive/precision,test/micro/recall,test/macro_types/f1,test_incremental_other-language-programming_language/macro_types/recall,test_pretraining/micro/f1,test/macro_types/precision,test_incremental/macro_types/f1,test_incremental_other-language/macro_types/recall,test_incremental/macro_example/recall,test/macro_example/f1,test_pretraining/micro/recall,test_pretraining/macro_types/f1,test_incremental_only/micro/recall,test_incremental_only/macro_example/f1,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/recall,test_incremental/micro/f1,test_incremental/micro/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental_only/macro_example/precision,epoch,threshold_incremental,test/macro_example/recall,test_incremental/micro/recall,test_incremental_other-language/macro_types/f1,test_incremental_other-language-programming_language/macro_types/precision,test/micro/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental_only/micro/precision,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/f1,threshold_pretraining,test/macro_example/precision,test_incremental_only/macro_types/f1
no_init_box_kenn_hybrid_adapter_bert_ms,2,93jl3qpt,0.6580196619033813,0.7558513879776001,0.3333333134651184,0.3333333134651184,0.009373458102345468,1.0,0.8484401106834412,0.6580196619033813,0.008852710947394371,0.20000000298023224,0.8029946684837341,0.970588207244873,0.8484401106834412,0.8296658396720886,0.20000001788139343,0.9411764740943908,0.2379310429096222,0.32758620381355286,0.7901452779769897,0.7035508751869202,0.20000000298023224,0.8182557821273804,0.7558513879776001,0.3821752667427063,0.27586206793785095,0.008386778645217419,0.8296658396720886,0.7901452779769897,0.7035508751869202,0.20000000298023224,0.0029600393027067184,0.002960039535537362,0.2931034564971924,0.3963963985443115,0.95652174949646,0.20000001788139343,0.002960039535537362,44,0.12,0.8029946684837341,0.25,0.4266666769981384,1.0,0.8182557821273804,0.20000001788139343,1.0,0.858169436454773,0.3093869686126709,0.26,0.858169436454773,0.3333333134651184
no_init_box_kenn_top_down_adapter_bert_ms,2,yatpidk3,0.65663081407547,0.7558513879776001,0.2352941334247589,0.2352941334247589,0.008880117908120155,1.0,0.8483762145042419,0.65663081407547,0.0083577586337924,0.13333334028720856,0.8026657700538635,0.970588207244873,0.8483762145042419,0.8294517397880554,0.13333334028720856,0.9411764740943908,0.20459771156311035,0.3103448152542114,0.7897526621818542,0.7027561664581299,0.13333334028720856,0.818015456199646,0.7558513879776001,0.3379552662372589,0.27586206793785095,0.007893439382314682,0.8294517397880554,0.7897526621818542,0.7027561664581299,0.13333334028720856,0.001973359612748027,0.001973359612748027,0.27586206793785095,0.3669725060462952,0.9523809552192688,0.13333334028720856,0.001973359612748027,43,0.5800000000000001,0.8026657700538635,0.22727273404598236,0.4266666769981384,1.0,0.818015456199646,0.13333334028720856,1.0,0.8580872416496277,0.29208922386169434,0.26,0.8580872416496277,0.2352941334247589
no_init_box_kenn_bottom_up_adapter_bert_ms,2,btwkkx2k,0.657325267791748,0.7558513879776001,0.2857142984867096,0.2857142984867096,0.008880117908120155,1.0,0.8484081625938416,0.657325267791748,0.008494026958942413,0.1666666716337204,0.8028302192687988,0.970588207244873,0.8484081625938416,0.8295395374298096,0.1666666865348816,0.9411764740943908,0.22126436233520508,0.3103448152542114,0.7899489402770996,0.7031537294387817,0.1666666716337204,0.8181356191635132,0.7558513879776001,0.360374391078949,0.27586206793785095,0.008140108548104763,0.8295395374298096,0.7899489402770996,0.7031537294387817,0.1666666716337204,0.0024666995741426945,0.0024666995741426945,0.2844827473163605,0.3818182051181793,0.9545454382896424,0.1666666865348816,0.0024666995741426945,44,0.12,0.8028302192687988,0.23863635957241056,0.4266666769981384,1.0,0.8181356191635132,0.1666666865348816,1.0,0.8580872416496277,0.29685157537460327,0.26,0.8580872416496277,0.2857142984867096
no_init_box_kenn_hybrid_adapter_bert_ms,1,2eng0ohw,0.6601030826568604,0.7537680864334106,0.44999998807907104,0.44999998807907104,0.010853477753698826,0.8999999761581421,0.8483572006225586,0.6601030826568604,0.009915522299706936,0.30000001192092896,0.80348801612854,0.9205882549285888,0.8483572006225586,0.8299866914749146,0.30000001192092896,0.9411764740943908,0.28793102502822876,0.3793103396892547,0.7907341718673706,0.7038330435752869,0.30000001192092896,0.8185327649116516,0.7537680864334106,0.4386622905731201,0.27586206793785095,0.009126788005232813,0.8299866914749146,0.7907341718673706,0.7038330435752869,0.30000001192092896,0.004440058954060078,0.004440058954060078,0.31896552443504333,0.4347825944423675,0.92592591047287,0.30000001192092896,0.004440058954060078,34,0.01,0.80348801612854,0.28409090638160706,0.4266666769981384,0.8999999761581421,0.8185327649116516,0.30000001192092896,0.8999999761581421,0.858292818069458,0.3465304374694824,0.26,0.858292818069458,0.44999998807907104
no_init_box_kenn_top_down_adapter_bert_ms,1,g3ogqoyw,0.6601030826568604,0.7537680864334106,0.44999998807907104,0.44999998807907104,0.010853477753698826,0.8999999761581421,0.8483572006225586,0.6601030826568604,0.009915522299706936,0.30000001192092896,0.80348801612854,0.9205882549285888,0.8483572006225586,0.8299866914749146,0.30000001192092896,0.9411764740943908,0.28793102502822876,0.3793103396892547,0.7907341718673706,0.7038330435752869,0.30000001192092896,0.8185327649116516,0.7537680864334106,0.4386622905731201,0.27586206793785095,0.009126788005232813,0.8299866914749146,0.7907341718673706,0.7038330435752869,0.30000001192092896,0.004440058954060078,0.004440058954060078,0.31896552443504333,0.4347825944423675,0.92592591047287,0.30000001192092896,0.004440058954060078,34,0.06999999999999999,0.80348801612854,0.28409090638160706,0.4266666769981384,0.8999999761581421,0.8185327649116516,0.30000001192092896,0.8999999761581421,0.858292818069458,0.3465304374694824,0.26,0.858292818069458,0.44999998807907104
no_init_box_kenn_bottom_up_adapter_bert_ms,1,y8pgtq23,0.6601030826568604,0.7537680864334106,0.44999998807907104,0.44999998807907104,0.010853477753698826,0.8999999761581421,0.8483572006225586,0.6601030826568604,0.009915522299706936,0.30000001192092896,0.80348801612854,0.9205882549285888,0.8483572006225586,0.8299866914749146,0.30000001192092896,0.9411764740943908,0.28793102502822876,0.3793103396892547,0.7907341718673706,0.7038330435752869,0.30000001192092896,0.8185327649116516,0.7537680864334106,0.4386622905731201,0.27586206793785095,0.009126788005232813,0.8299866914749146,0.7907341718673706,0.7038330435752869,0.30000001192092896,0.004440058954060078,0.004440058954060078,0.31896552443504333,0.4347825944423675,0.92592591047287,0.30000001192092896,0.004440058954060078,34,0.01,0.80348801612854,0.28409090638160706,0.4266666769981384,0.8999999761581421,0.8185327649116516,0.30000001192092896,0.8999999761581421,0.858292818069458,0.3465304374694824,0.26,0.858292818069458,0.44999998807907104
no_init_box_kenn_hybrid_adapter_bert_ms,0,9ok5x9qi,0.6621863842010498,0.7558513879776001,0.5714285969734192,0.5714285969734192,0.012333497405052183,1.0,0.8486315608024597,0.6621863842010498,0.010963109321892262,0.4000000059604645,0.803981363773346,0.970588207244873,0.8486315608024597,0.8301535844802856,0.40000003576278687,0.9411764740943908,0.3379310369491577,0.43103447556495667,0.7913231253623962,0.705925464630127,0.4000000059604645,0.8189759850502014,0.7558513879776001,0.5013176202774048,0.27586206793785095,0.009866798296570778,0.8301535844802856,0.7913231253623962,0.705925464630127,0.4000000059604645,0.005920078605413437,0.005920079071074724,0.3448275923728943,0.47863247990608215,0.9655172228813172,0.40000003576278687,0.005920079071074724,34,0.03,0.803981363773346,0.3181818127632141,0.4266666769981384,1.0,0.8189759850502014,0.40000003576278687,1.0,0.8580871820449829,0.38314175605773926,0.26,0.8580871820449829,0.5714285969734192
no_init_box_kenn_top_down_adapter_bert_ms,0,yg5m0alv,0.663575291633606,0.7544625401496887,0.6222222447395325,0.6222222447395325,0.012826837599277496,0.9333333373069764,0.8485167026519775,0.663575291633606,0.011462278664112093,0.46666666865348816,0.8043102622032166,0.9372549057006836,0.8485167026519775,0.830251932144165,0.46666669845581055,0.9411764740943908,0.3712643682956696,0.4482758641242981,0.7917157411575317,0.7061062455177307,0.46666666865348816,0.8191327452659607,0.7544625401496887,0.531852126121521,0.27586206793785095,0.01036013662815094,0.830251932144165,0.7917157411575317,0.7061062455177307,0.46666666865348816,0.006906758528202772,0.006906758528202772,0.3620689511299134,0.5,0.9375,0.46666669845581055,0.006906758528202772,41,0.02,0.8043102622032166,0.34090909361839294,0.4266666769981384,0.9333333373069764,0.8191327452659607,0.46666669845581055,0.9333333373069764,0.8579227924346924,0.40058693289756775,0.26,0.8579227924346924,0.6222222447395325
no_init_box_kenn_bottom_up_adapter_bert_ms,0,ujo6rtzx,0.6614919304847717,0.7558513879776001,0.5365853905677795,0.5365853905677795,0.011840157210826874,1.0,0.8485997319221497,0.6614919304847717,0.010615313425660132,0.36666667461395264,0.8038169145584106,0.970588207244873,0.8485997319221497,0.8300659656524658,0.366666704416275,0.9411764740943908,0.321264386177063,0.4137930870056152,0.7911267876625061,0.7055306434631348,0.36666667461395264,0.8188560605049133,0.7558513879776001,0.4827414751052856,0.27586206793785095,0.009620128199458122,0.8300659656524658,0.7911267876625061,0.7055306434631348,0.36666667461395264,0.0054267393425107,0.0054267393425107,0.33620691299438477,0.4655172824859619,0.9642857313156128,0.366666704416275,0.0054267393425107,41,0.04,0.8038169145584106,0.3068181872367859,0.4266666769981384,1.0,0.8188560605049133,0.366666704416275,1.0,0.8580871820449829,0.3709869384765625,0.26,0.8580871820449829,0.5365853905677795
smart_init_box_adapter_bert_ms,2,slc8f4ak,0.6732975244522095,0.7363971471786499,0.12362030893564224,0.12362030893564224,0.016773555427789688,0.06619385629892349,0.7841503620147705,0.6732975244522095,0.015150307677686214,0.9333333373069764,0.806612491607666,0.5036851763725281,0.7841503620147705,0.8085334300994873,0.9333333969116212,0.9411764740943908,0.6045976877212524,0.5862069129943848,0.7944640517234802,0.7034351229667664,0.9333333373069764,0.7892735004425049,0.7363971471786499,0.5495472550392151,0.27586206793785095,0.01381351612508297,0.8085334300994873,0.7944640517234802,0.7034351229667664,0.9333333373069764,0.01381351798772812,0.01381351798772812,0.48275861144065857,0.1666666567325592,0.10000000149011612,0.9333333969116212,0.01381351798772812,28,0.01,0.806612491607666,0.5,0.4266666769981384,0.06619385629892349,0.7892735004425049,0.9333333969116212,0.06619385629892349,0.8104634881019592,0.5294771790504456,0.26,0.8104634881019592,0.12362030893564224
