name,instance,run_id,test/macro_example/precision,test_incremental_only/micro/f1,test_incremental_other-language/macro_types/recall,test_incremental/macro_types/f1,test_pretraining/macro_example/f1,test/macro_example/f1,test_pretraining/macro_types/f1,test_incremental_only/macro_types/f1,test_incremental_only/macro_example/f1,test_pretraining/micro/f1,test_incremental/micro/recall,test_pretraining/macro_example/recall,test_pretraining/macro_example/precision,test_incremental_only/macro_example/recall,test_incremental_only/macro_example/precision,test/micro/f1,threshold_pretraining,test_pretraining/micro/precision,test_incremental/macro_example/recall,test/micro/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental_other-language/macro_types/f1,test/macro_types/f1,test/micro/precision,threshold_incremental,test_incremental/macro_types/precision,test_pretraining/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental/micro/f1,test_incremental_only/micro/recall,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/precision,test_incremental_other-language-programming_language/macro_types/f1,test_pretraining/micro/recall,test_incremental/macro_types/recall,test_pretraining/macro_types/recall,test_incremental/macro_example_exclusive/f1,epoch,test/macro_types/precision,test_incremental_other-language-programming_language/macro_types/recall,test/macro_types/recall,test_incremental_only/macro_types/precision,test_incremental/macro_example_exclusive/recall,test_incremental_other-language-programming_language/macro_types/precision,test/macro_example/recall,test_incremental/micro/precision,test_incremental/macro_example/f1,test_incremental_only/micro/precision,test_incremental_only/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_other-language/macro_types/precision
no_init_box_kenn_hybrid_adapter_bert_ms,2,cfeq934e,0.8564428091049194,0.6349206566810608,0.27586206793785095,0.5857239365577698,0.8300827145576477,0.8300827145576477,0.7054377198219299,0.6349206566810608,0.009866798296570778,0.818854570388794,0.40909090638160706,0.8052969574928284,0.8564428091049194,0.009866798296570778,0.009866798296570778,0.818854570388794,0.26,0.8465730547904968,0.011840157210826874,0.7928935885429382,0.6666666865348816,0.4266666769981384,0.7054377198219299,0.8465730547904968,0.02,0.7736185789108276,0.747644305229187,0.6666666865348816,0.5217391848564148,0.6666666865348816,0.015786875039339066,0.5517241358757019,0.6349206566810608,0.7928935885429382,0.4712643623352051,0.6677418947219849,0.4729063808917999,29,0.747644305229187,0.6666666865348816,0.6677418947219849,0.6060606241226196,0.4137930870056152,0.6060606241226196,0.8052969574928284,0.7200000286102295,0.013531608507037165,0.6060606241226196,0.6666666865348816,0.6666666865348816,0.9411764740943908
no_init_box_kenn_top_down_adapter_bert_ms,2,y5scibp3,0.8533594012260437,0.516853928565979,0.27586206793785095,0.5846185684204102,0.8288930058479309,0.8288930058479309,0.7045803666114807,0.516853928565979,0.011346817947924135,0.8173086643218994,0.4431818127632141,0.8057903051376343,0.8533594012260437,0.011346817947924135,0.011346817947924135,0.8173086643218994,0.26,0.8426099419593811,0.012580166570842266,0.7934825420379639,0.7666667103767395,0.4266666769981384,0.7045803666114807,0.8426099419593811,0.02,0.6655035018920898,0.7431395053863525,0.7666667103767395,0.47560974955558777,0.7666666507720947,0.017020225524902344,0.5948275327682495,0.516853928565979,0.7934825420379639,0.521264374256134,0.6698252558708191,0.5056034326553345,37,0.7431395053863525,0.7666666507720947,0.6698252558708191,0.3898304998874664,0.4396551847457886,0.3898304998874664,0.8057903051376343,0.5131579041481018,0.014467190951108932,0.3898304998874664,0.7666666507720947,0.7666667103767395,0.9411764740943908
no_init_box_kenn_bottom_up_adapter_bert_ms,2,4uw4x5d8,0.8564428091049194,0.6349206566810608,0.27586206793785095,0.5857239365577698,0.8300827145576477,0.8300827145576477,0.7054377198219299,0.6349206566810608,0.009866798296570778,0.818854570388794,0.40909090638160706,0.8052969574928284,0.8564428091049194,0.009866798296570778,0.009866798296570778,0.818854570388794,0.26,0.8465730547904968,0.011840157210826874,0.7928935885429382,0.6666666865348816,0.4266666769981384,0.7054377198219299,0.8465730547904968,0.02,0.7736185789108276,0.747644305229187,0.6666666865348816,0.5217391848564148,0.6666666865348816,0.015786875039339066,0.5517241358757019,0.6349206566810608,0.7928935885429382,0.4712643623352051,0.6677418947219849,0.4729063808917999,29,0.747644305229187,0.6666666865348816,0.6677418947219849,0.6060606241226196,0.4137930870056152,0.6060606241226196,0.8052969574928284,0.7200000286102295,0.013531608507037165,0.6060606241226196,0.6666666865348816,0.6666666865348816,0.9411764740943908
no_init_box_kenn_hybrid_adapter_bert_ms,1,6xdw42z0,0.858169436454773,0.5365853905677795,0.27586206793785095,0.4827414751052856,0.830104410648346,0.830104410648346,0.7055306434631348,0.5365853905677795,0.0054267393425107,0.8188560605049133,0.3068181872367859,0.8038169145584106,0.858169436454773,0.0054267393425107,0.0054267393425107,0.8188560605049133,0.26,0.8485997319221497,0.009620128199458122,0.7911267876625061,0.36666667461395264,0.4266666769981384,0.7055306434631348,0.8485997319221497,0.06999999999999999,0.970588207244873,0.7558513879776001,0.36666667461395264,0.4655172824859619,0.36666667461395264,0.011346817016601562,0.3965517282485962,0.5365853905677795,0.7911267876625061,0.321264386177063,0.6614919304847717,0.3638944923877716,24,0.7558513879776001,0.36666667461395264,0.6614919304847717,1.0,0.3362068831920624,1.0,0.8038169145584106,0.9642857313156128,0.010412373580038548,1.0,0.36666667461395264,0.36666667461395264,0.9411764740943908
no_init_box_kenn_top_down_adapter_bert_ms,1,c0w2evpj,0.8472419381141663,0.3172414004802704,0.27586206793785095,0.5448122024536133,0.8259963393211365,0.8259963393211365,0.7027978897094727,0.3172414004802704,0.011346817016601562,0.8127073645591736,0.4431818127632141,0.8057903051376343,0.8472419381141663,0.011346817016601562,0.011346817016601562,0.8127073645591736,0.26,0.8328868746757507,0.01258016750216484,0.7934825420379639,0.7666667699813843,0.4266666769981384,0.7027978897094727,0.8328868746757507,0.01,0.570588231086731,0.7391847372055054,0.7666667699813843,0.3545454442501068,0.7666666507720947,0.01603354513645172,0.5603448152542114,0.3172414004802704,0.7934825420379639,0.521264374256134,0.6698252558708191,0.4927169978618622,31,0.7391847372055054,0.7666666507720947,0.6698252558708191,0.20000000298023224,0.4396551847457886,0.20000000298023224,0.8057903051376343,0.2954545319080353,0.014098462648689749,0.20000000298023224,0.7666666507720947,0.7666667103767395,0.9411764740943908
no_init_box_kenn_bottom_up_adapter_bert_ms,1,0c6cocew,0.8583338856697083,0.6363636255264282,0.27586206793785095,0.5370855927467346,0.8304443955421448,0.8304443955421448,0.7067139744758606,0.6363636255264282,0.0069067589938640594,0.8192159533500671,0.34090909361839294,0.8043102622032166,0.8583338856697083,0.0069067589938640594,0.0069067589938640594,0.8192159533500671,0.26,0.8486952781677246,0.01036013849079609,0.7917157411575317,0.46666669845581055,0.4266666769981384,0.7067139744758606,0.8486952781677246,0.08,0.970588207244873,0.7558513879776001,0.46666669845581055,0.5042016506195068,0.46666666865348816,0.012826837599277496,0.4482758641242981,0.6363636255264282,0.7917157411575317,0.3712643682956696,0.663575291633606,0.40058693289756775,31,0.7558513879776001,0.46666666865348816,0.663575291633606,1.0,0.3620689511299134,1.0,0.8043102622032166,0.9677419066429138,0.01146228052675724,1.0,0.46666666865348816,0.46666669845581055,0.9411764740943908
no_init_box_kenn_hybrid_adapter_bert_ms,0,wv19e1nj,0.858169436454773,0.7692307829856873,0.27586206793785095,0.6244387626647949,0.8308929204940796,0.8308929204940796,0.7082355618476868,0.7692307829856873,0.009866798296570778,0.8197686076164246,0.40909090638160706,0.8052969574928284,0.858169436454773,0.009866798296570778,0.009866798296570778,0.8197686076164246,0.26,0.8485293984413147,0.011840157210826874,0.7928935885429382,0.6666667461395264,0.4266666769981384,0.7082355618476868,0.8485293984413147,0.01,0.9251337051391602,0.7539575099945068,0.6666667461395264,0.5669291019439697,0.6666666865348816,0.015786876901984215,0.5517241358757019,0.7692307829856873,0.7928935885429382,0.4712643623352051,0.6677418947219849,0.4729063808917999,36,0.7539575099945068,0.6666666865348816,0.6677418947219849,0.9090909361839294,0.4137931168079376,0.9090909361839294,0.8052969574928284,0.9230769276618958,0.013531608507037165,0.9090909361839294,0.6666666865348816,0.6666667461395264,0.9411764740943908
no_init_box_kenn_top_down_adapter_bert_ms,0,9aewvtbm,0.8573472499847412,0.7540983557701111,0.27586206793785095,0.6437724828720093,0.8307696580886841,0.8307696580886841,0.7078604102134705,0.7540983557701111,0.011346817947924135,0.8196289539337158,0.4431818127632141,0.8057903051376343,0.8573472499847412,0.011346817947924135,0.011346817947924135,0.8196289539337158,0.26,0.8475571274757385,0.012580166570842266,0.7934825420379639,0.7666667103767395,0.4266666769981384,0.7078604102134705,0.8475571274757385,0.02,0.8415559530258179,0.7504750490188599,0.7666667103767395,0.5735294222831726,0.7666666507720947,0.016526885330677032,0.5775861740112305,0.7540983557701111,0.7934825420379639,0.521264374256134,0.6698252558708191,0.4992694556713104,37,0.7504750490188599,0.7666666507720947,0.6698252558708191,0.7419354915618896,0.4396551847457886,0.7419354915618896,0.8057903051376343,0.8125,0.014285950921475887,0.7419354915618896,0.7666666507720947,0.7666667103767395,0.9411764740943908
no_init_box_kenn_bottom_up_adapter_bert_ms,0,jdlpsoo3,0.858169436454773,0.7692307829856873,0.27586206793785095,0.6244387626647949,0.8308929204940796,0.8308929204940796,0.7082355618476868,0.7692307829856873,0.009866798296570778,0.8197686076164246,0.40909090638160706,0.8052969574928284,0.858169436454773,0.009866798296570778,0.009866798296570778,0.8197686076164246,0.26,0.8485293984413147,0.011840157210826874,0.7928935885429382,0.6666667461395264,0.4266666769981384,0.7082355618476868,0.8485293984413147,0.01,0.9251337051391602,0.7539575099945068,0.6666667461395264,0.5669291019439697,0.6666666865348816,0.015786876901984215,0.5517241358757019,0.7692307829856873,0.7928935885429382,0.4712643623352051,0.6677418947219849,0.4729063808917999,36,0.7539575099945068,0.6666666865348816,0.6677418947219849,0.9090909361839294,0.4137931168079376,0.9090909361839294,0.8052969574928284,0.9230769276618958,0.013531608507037165,0.9090909361839294,0.6666666865348816,0.6666667461395264,0.9411764740943908
smart_init_box_adapter_bert_ms,2,4m6ewdlq,0.8324747085571289,0.19148938357830048,0.27586206793785095,0.5542169213294983,0.8192547559738159,0.8192547559738159,0.7034444212913513,0.19148938357830048,0.013320177793502808,0.8024593591690063,0.4886363744735718,0.8064480423927307,0.8324747085571289,0.013320177793502808,0.013320177793502808,0.8024593591690063,0.26,0.8108216524124146,0.013566846959292889,0.7942677736282349,0.9000000953674316,0.4266666769981384,0.7034444212913513,0.8108216524124146,0.05,0.5241596698760986,0.7372502088546753,0.9000000953674316,0.24089635908603668,0.8999999761581421,0.016280215233564377,0.568965494632721,0.19148938357830048,0.7942677736282349,0.5879310369491577,0.6726030111312866,0.517241358757019,18,0.7372502088546753,0.8999999761581421,0.6726030111312866,0.1071428582072258,0.47413790225982666,0.1071428582072258,0.8064480423927307,0.1598512977361679,0.014800196513533592,0.1071428582072258,0.8999999761581421,0.9000000953674316,0.9411764740943908
