name,instance,run_id,test_incremental_other-language/macro_types/precision,test/macro_example/precision,test/micro/recall,test_incremental_other-language-programming_language/macro_types/f1,epoch,test_incremental_only/macro_example/precision,test_incremental_other-language/macro_types/f1,test_incremental_other-language/macro_types/recall,test_incremental_other-language-programming_language/macro_types/recall,test_incremental_other-language-programming_language/macro_types/precision,test/macro_example/f1,test_pretraining/micro/f1,test_pretraining/macro_types/recall,test_incremental_only/micro/precision,test_pretraining/macro_example/precision,test_incremental_only/macro_example_exclusive/recall,threshold_pretraining,test_pretraining/macro_types/f1,test_incremental/macro_types/recall,test_incremental_only/macro_types/f1,test_pretraining/macro_types/precision,test_incremental_only/macro_types/precision,test_incremental/micro/recall,test_incremental/micro/precision,test_pretraining/macro_example/recall,test_incremental_only/macro_example/f1,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_types/recall,test_incremental/macro_example_exclusive/f1,test/micro/f1,test_pretraining/micro/precision,test/macro_types/f1,test_pretraining/micro/recall,test_incremental/macro_example/f1,test_incremental_only/micro/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_only/macro_example_exclusive/precision,threshold_incremental,test/macro_example/recall,test_incremental/micro/f1,test_incremental/macro_example/precision,test_incremental_only/micro/f1,test_incremental/macro_types/f1,test_incremental/macro_types/precision,test_incremental/macro_example_exclusive/precision,test/micro/precision,test/macro_types/recall,test/macro_types/precision,test_pretraining/macro_example/f1,test_incremental/macro_example/recall
no_init_box_kenn_hybrid_adapter_bert_ms,2,egsx2pqp,0.9411764740943908,0.8457866311073303,0.7946603894233704,0.3580247163772583,45,0.01430685818195343,0.4266666769981384,0.27586206793785095,0.9666666388511658,0.21969696879386905,0.8258213400840759,0.8125250935554504,0.6739919185638428,0.21969696879386905,0.8457866311073303,0.9666666984558104,0.26,0.7052711844444275,0.6212643384933472,0.3580247163772583,0.7395951151847839,0.21969696879386905,0.5113636255264282,0.30201342701911926,0.8067768812179565,0.01430685818195343,0.01430685818195343,0.4913792908191681,0.9666666388511658,0.5647194981575012,0.8125250935554504,0.831211507320404,0.7052711844444275,0.7946603894233704,0.016158724203705788,0.9666666388511658,0.9666666984558104,0.9666666984558104,0.01,0.8067768812179565,0.37974682450294495,0.01899358630180359,0.3580247163772583,0.6001569628715515,0.5804367065429688,0.6637930870056152,0.831211507320404,0.6739919185638428,0.7395951151847839,0.8258213400840759,0.014060186222195624
no_init_box_kenn_top_down_adapter_bert_ms,2,b559ags2,0.9411764740943908,0.8496922254562378,0.7942677736282349,0.4060150384902954,45,0.013320177793502808,0.4266666769981384,0.27586206793785095,0.8999999761581421,0.26213592290878296,0.8275055289268494,0.814494252204895,0.6726030111312866,0.26213592290878296,0.8496922254562378,0.9000000357627869,0.26,0.704910933971405,0.5879310369491577,0.4060150384902954,0.7404792308807373,0.26213592290878296,0.4886363744735718,0.3583333194255829,0.8064479827880859,0.013320177793502808,0.013320177793502808,0.47413790225982666,0.8999999761581421,0.5501447319984436,0.814494252204895,0.835777759552002,0.704910933971405,0.7942677736282349,0.015741685405373573,0.8999999761581421,0.9000000357627869,0.9000000357627869,0.08,0.8064479827880859,0.41346150636672974,0.018746916204690933,0.4060150384902954,0.5947144031524658,0.6016561985015869,0.6551724076271057,0.835777759552002,0.6726030111312866,0.7404792308807373,0.8275055289268494,0.013566846959292889
no_init_box_kenn_bottom_up_adapter_bert_ms,2,trbi97ml,0.9411764740943908,0.8346124887466431,0.7946603894233704,0.22745096683502197,98,0.01430685818195343,0.4266666769981384,0.27586206793785095,0.9666666388511658,0.12888889014720917,0.8204586505889893,0.8050114512443542,0.6739919185638428,0.12888889014720917,0.8346124887466431,0.9666666984558104,0.26,0.7044098973274231,0.6212643384933472,0.22745096683502197,0.737703263759613,0.12888889014720917,0.5113636255264282,0.1859504133462906,0.8067768812179565,0.01430685818195343,0.01430685818195343,0.4913792908191681,0.9666666388511658,0.5583856105804443,0.8050114512443542,0.8156356811523438,0.7044098973274231,0.7946603894233704,0.015977485105395317,0.9666666388511658,0.9666666984558104,0.9666666984558104,0.01,0.8067768812179565,0.27272728085517883,0.01850024610757828,0.22745096683502197,0.5749331116676331,0.5350326895713806,0.6465517282485962,0.8156356811523438,0.6739919185638428,0.737703263759613,0.8204586505889893,0.014060186222195624
no_init_box_kenn_hybrid_adapter_bert_ms,1,ogb0wj07,0.9411764740943908,0.8420043587684631,0.7942677736282349,0.2783505320549011,42,0.013320177793502808,0.4266666769981384,0.27586206793785095,0.8999999761581421,0.16463415324687958,0.8238427042961121,0.80952388048172,0.6726030111312866,0.16463415324687958,0.8420043587684631,0.9000000953674316,0.26,0.7039891481399536,0.5879310369491577,0.2783505320549011,0.7384479641914368,0.16463415324687958,0.4886363744735718,0.23756906390190125,0.8064481019973755,0.013320177793502808,0.013320177793502808,0.47413793206214905,0.8999999761581421,0.5408135652542114,0.80952388048172,0.8253774046897888,0.7039891481399536,0.7942677736282349,0.015474684536457062,0.8999999761581421,0.9000000953674316,0.9000000953674316,0.01,0.8064481019973755,0.3197025954723358,0.018006905913352966,0.2783505320549011,0.569880485534668,0.5529053211212158,0.6293103098869324,0.8253774046897888,0.6726030111312866,0.7384479641914368,0.8238427042961121,0.013566846959292889
no_init_box_kenn_top_down_adapter_bert_ms,1,2xm5drum,0.9411764740943908,0.8387154340744019,0.7944640517234802,0.24347826838493347,28,0.01381351798772812,0.4266666769981384,0.27586206793785095,0.9333333373069764,0.14000000059604645,0.8223507404327393,0.8068181872367859,0.6732975244522095,0.14000000059604645,0.8387154340744019,0.9333333969116212,0.26,0.7041358947753906,0.6045976877212524,0.24347826838493347,0.7379347085952759,0.14000000059604645,0.5,0.20276497304439545,0.806612491607666,0.01381351798772812,0.01381351798772812,0.48275861144065857,0.9333333373069764,0.5527770519256592,0.8068181872367859,0.819562554359436,0.7041358947753906,0.7944640517234802,0.015817003324627876,0.9333333373069764,0.9333333969116212,0.9333333969116212,0.02,0.806612491607666,0.2885245680809021,0.01850024610757828,0.24347826838493347,0.5708040595054626,0.5405882596969604,0.6465517282485962,0.819562554359436,0.6732975244522095,0.7379347085952759,0.8223507404327393,0.01381351612508297
no_init_box_kenn_bottom_up_adapter_bert_ms,1,jnkdt1v7,0.9411764740943908,0.850366473197937,0.7940714359283447,0.4000000059604645,64,0.012826837599277496,0.4266666769981384,0.27586206793785095,0.8666666746139526,0.25999999046325684,0.8277385234832764,0.814538836479187,0.6719086170196533,0.25999999046325684,0.850366473197937,0.8666667342185974,0.26,0.7045092582702637,0.571264386177063,0.4000000059604645,0.7404347658157349,0.25999999046325684,0.4772727191448212,0.3589743673801422,0.8062835931777954,0.012826837599277496,0.012826837599277496,0.46551722288131714,0.8666666746139526,0.5288276076316833,0.814538836479187,0.8360893130302429,0.7045092582702637,0.7940714359283447,0.01513172034174204,0.8666666746139526,0.8666667342185974,0.8666667342185974,0.03,0.8062835931777954,0.4097561240196228,0.017513565719127655,0.4000000059604645,0.5855593681335449,0.6005882024765015,0.6120689511299133,0.8360893130302429,0.6719086170196533,0.7404347658157349,0.8277385234832764,0.013320176862180231
no_init_box_kenn_hybrid_adapter_bert_ms,0,z28hq1i1,0.9411764740943908,0.8554478883743286,0.7938751578330994,0.5813953280448914,42,0.012333497405052183,0.4266666769981384,0.27586206793785095,0.8333333134651184,0.4464285671710968,0.8300513029098511,0.8179611563682556,0.6712141036987305,0.4464285671710968,0.8554478883743286,0.8333333730697632,0.26,0.7058786749839783,0.5545976758003235,0.5813953280448914,0.7443187236785889,0.4464285671710968,0.46590909361839294,0.5616438388824463,0.8061192035675049,0.012333497405052183,0.012333497405052183,0.4568965435028076,0.8333333134651184,0.5168173909187317,0.8179611563682556,0.8435544371604919,0.7058786749839783,0.7938751578330994,0.014788064174354076,0.8333333134651184,0.833333432674408,0.8333333730697632,0.02,0.8061192035675049,0.5093167424201965,0.017020225524902344,0.5813953280448914,0.6164389848709106,0.693802535533905,0.5948275923728943,0.8435544371604919,0.6712141036987305,0.7443187236785889,0.8300513029098511,0.013073506765067576
no_init_box_kenn_top_down_adapter_bert_ms,0,mlfahfzo,0.9411764740943908,0.8462553024291992,0.7942677736282349,0.3417721390724182,46,0.013320177793502808,0.4266666769981384,0.27586206793785095,0.8999999761581421,0.2109375,0.8258722424507141,0.8124498724937439,0.6726030111312866,0.2109375,0.8462553024291992,0.9000000953674316,0.26,0.7044272422790527,0.5879310369491577,0.3417721390724182,0.7394126653671265,0.2109375,0.4886363744735718,0.29655173420906067,0.8064480423927307,0.013320177793502808,0.013320177793502808,0.47413793206214905,0.8999999761581421,0.5408136248588562,0.8124498724937439,0.831483781337738,0.7044272422790527,0.7942677736282349,0.015474684536457062,0.8999999761581421,0.9000000953674316,0.9000000953674316,0.03,0.8064480423927307,0.3690987527370453,0.018006905913352966,0.3417721390724182,0.5819334387779236,0.576056957244873,0.6293103694915771,0.831483781337738,0.6726030111312866,0.7394126653671265,0.8258722424507141,0.013566846027970314
no_init_box_kenn_bottom_up_adapter_bert_ms,0,62ip4jdm,0.9411764740943908,0.8553656935691833,0.7938751578330994,0.5813953280448914,47,0.012333497405052183,0.4266666769981384,0.27586206793785095,0.8333333134651184,0.4464285671710968,0.8300126194953918,0.8179611563682556,0.6712141036987305,0.4464285671710968,0.8553656935691833,0.8333333730697632,0.26,0.7058786749839783,0.5545976758003235,0.5813953280448914,0.7443187236785889,0.4464285671710968,0.46590909361839294,0.5616438388824463,0.8061192035675049,0.012333497405052183,0.012333497405052183,0.4568965435028076,0.8333333134651184,0.5200448632240295,0.8179611563682556,0.8435544371604919,0.7058786749839783,0.7938751578330994,0.014880413189530373,0.8333333134651184,0.833333432674408,0.8333333730697632,0.02,0.8061192035675049,0.5093167424201965,0.017266895622015,0.5813953280448914,0.6164389848709106,0.693802535533905,0.6034482717514038,0.8435544371604919,0.6712141036987305,0.7443187236785889,0.8300126194953918,0.013073506765067576
smart_init_box_adapter_bert_ms,2,fzvm7zib,0.9411764740943908,0.8162190914154053,0.7946603894233704,0.1384248286485672,23,0.01430685818195343,0.4266666769981384,0.27586206793785095,0.9666666388511658,0.07455012947320938,0.8114705085754395,0.7920947074890137,0.6739919185638428,0.07455012947320938,0.8162190914154053,0.9666666984558104,0.26,0.7038934230804443,0.6212643384933472,0.1384248286485672,0.736571192741394,0.07455012947320938,0.5113636255264282,0.1108374372124672,0.8067768812179565,0.01430685818195343,0.01430685818195343,0.4913792908191681,0.9666666388511658,0.5416780114173889,0.7920947074890137,0.7895455360412598,0.7038934230804443,0.7946603894233704,0.015499417670071123,0.9666666388511658,0.9666666984558104,0.9666666984558104,0.03,0.8067768812179565,0.18218623101711273,0.017266895622015,0.1384248286485672,0.5588692426681519,0.5078632831573486,0.6034482717514038,0.7895455360412598,0.6739919185638428,0.736571192741394,0.8114705085754395,0.014060186222195624
