name,test_incremental_other-language/macro_types/precision/mean,test/macro_example/precision/mean,test/micro/recall/mean,test_incremental_other-language-programming_language/macro_types/f1/mean,epoch/mean,test_incremental_only/macro_example/precision/mean,test_incremental_other-language/macro_types/f1/mean,test_incremental_other-language/macro_types/recall/mean,test_incremental_other-language-programming_language/macro_types/recall/mean,test_incremental_other-language-programming_language/macro_types/precision/mean,test/macro_example/f1/mean,test_pretraining/micro/f1/mean,test_pretraining/macro_types/recall/mean,test_incremental_only/micro/precision/mean,test_pretraining/macro_example/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,threshold_pretraining/mean,test_pretraining/macro_types/f1/mean,test_incremental/macro_types/recall/mean,test_incremental_only/macro_types/f1/mean,test_pretraining/macro_types/precision/mean,test_incremental_only/macro_types/precision/mean,test_incremental/micro/recall/mean,test_incremental/micro/precision/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental_only/macro_example/recall/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_only/macro_types/recall/mean,test_incremental/macro_example_exclusive/f1/mean,test/micro/f1/mean,test_pretraining/micro/precision/mean,test/macro_types/f1/mean,test_pretraining/micro/recall/mean,test_incremental/macro_example/f1/mean,test_incremental_only/micro/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_only/macro_example_exclusive/precision/mean,threshold_incremental/mean,test/macro_example/recall/mean,test_incremental/micro/f1/mean,test_incremental/macro_example/precision/mean,test_incremental_only/micro/f1/mean,test_incremental/macro_types/f1/mean,test_incremental/macro_types/precision/mean,test_incremental/macro_example_exclusive/precision/mean,test/micro/precision/mean,test/macro_types/recall/mean,test/macro_types/precision/mean,test_pretraining/macro_example/f1/mean,test_incremental/macro_example/recall/mean,test_incremental_other-language/macro_types/precision/std,test/macro_example/precision/std,test/micro/recall/std,test_incremental_other-language-programming_language/macro_types/f1/std,epoch/std,test_incremental_only/macro_example/precision/std,test_incremental_other-language/macro_types/f1/std,test_incremental_other-language/macro_types/recall/std,test_incremental_other-language-programming_language/macro_types/recall/std,test_incremental_other-language-programming_language/macro_types/precision/std,test/macro_example/f1/std,test_pretraining/micro/f1/std,test_pretraining/macro_types/recall/std,test_incremental_only/micro/precision/std,test_pretraining/macro_example/precision/std,test_incremental_only/macro_example_exclusive/recall/std,threshold_pretraining/std,test_pretraining/macro_types/f1/std,test_incremental/macro_types/recall/std,test_incremental_only/macro_types/f1/std,test_pretraining/macro_types/precision/std,test_incremental_only/macro_types/precision/std,test_incremental/micro/recall/std,test_incremental/micro/precision/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_example/f1/std,test_incremental_only/macro_example/recall/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_only/macro_types/recall/std,test_incremental/macro_example_exclusive/f1/std,test/micro/f1/std,test_pretraining/micro/precision/std,test/macro_types/f1/std,test_pretraining/micro/recall/std,test_incremental/macro_example/f1/std,test_incremental_only/micro/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_only/macro_example_exclusive/precision/std,threshold_incremental/std,test/macro_example/recall/std,test_incremental/micro/f1/std,test_incremental/macro_example/precision/std,test_incremental_only/micro/f1/std,test_incremental/macro_types/f1/std,test_incremental/macro_types/precision/std,test_incremental/macro_example_exclusive/precision/std,test/micro/precision/std,test/macro_types/recall/std,test/macro_types/precision/std,test_pretraining/macro_example/f1/std,test_incremental/macro_example/recall/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.9411764740943908,0.8467815518379211,0.7942023277282715,0.4029487669467926,69.66666666666667,0.01315573106209437,0.4266666769981384,0.27586206793785095,0.8888888756434122,0.27843914926052094,0.8260699311892191,0.8125038146972656,0.6723715464274088,0.27843914926052094,0.8467815518379211,0.888888935248057,0.26,0.7049326101938883,0.5823754668235779,0.4029487669467926,0.7408189177513123,0.27843914926052094,0.4848484794298808,0.36885620653629303,0.8063932259877523,0.01315573106209437,0.01315573106209437,0.4712643524010976,0.8888888756434122,0.5357526938120524,0.8125038146972656,0.8317598104476929,0.7049326101938883,0.7942023277282715,0.015329872878889242,0.8888888756434122,0.888888955116272,0.888888935248057,0.02,0.8063932259877523,0.3972667157649994,0.01776023581624031,0.4029487669467926,0.5923104882240295,0.6098078091939291,0.6206896503766378,0.8317598104476929,0.6723715464274088,0.7408189177513123,0.8260699311892191,0.01348462328314781,0.0,0.010831095210997862,0.0004086522483187009,0.17699060455736482,25.967928938083098,0.0010269695084888493,0.0,0.0,0.06938885774078345,0.15957087313783727,0.0049907645355163075,0.006710417344597146,0.0014456111453753245,0.15957087313783727,0.010831095210997862,0.06938885774078342,0.0,0.0008208209850670784,0.03469442409820874,0.17699060455736482,0.0033244182975521925,0.15957087313783727,0.02365528959169942,0.18804155273929155,0.0003422710734785964,0.0010269695084888493,0.0010269695084888493,0.017945391857210596,0.06938885774078345,0.020086583604890615,0.006710417344597146,0.014454157835026514,0.0008208209850670784,0.0004086522483187009,0.0005747521362537935,0.06938885774078345,0.06938883387982764,0.06938885774078342,0.01,0.0003422710734785964,0.11878818257646355,0.0006526277328362392,0.17699060455736482,0.021560788354064143,0.07978544264312229,0.02280820756061721,0.014454157835026514,0.0014456111453753245,0.0033244182975521925,0.0049907645355163075,0.0005134842322860649
no_init_box_kenn_hybrid_adapter_bert_ms,0.9411764740943908,0.8477462927500407,0.7942677736282349,0.4059235254923503,43.0,0.013320177793502808,0.4266666769981384,0.27586206793785095,0.8999999761581421,0.2769198964039485,0.8265717824300131,0.813336710135142,0.6726030111312866,0.2769198964039485,0.8477462927500407,0.9000000556310018,0.26,0.7050463358561198,0.5879310170809428,0.4059235254923503,0.7407872676849365,0.2769198964039485,0.4886363645394643,0.36707544326782227,0.8064480622609457,0.013320177793502808,0.013320177793502808,0.47413792212804157,0.8999999761581421,0.5407834847768148,0.813336710135142,0.8333811163902283,0.7050463358561198,0.7942677736282349,0.015473824304838976,0.8999999761581421,0.9000000754992167,0.9000000556310018,0.013333333333333334,0.8064480622609457,0.40292205413182575,0.018006905913352966,0.4059235254923503,0.5954921444257101,0.6090481877326965,0.6293103297551473,0.8333811163902283,0.6726030111312866,0.7407872676849365,0.8265717824300131,0.01356684664885203,0.0,0.0069326998623464395,0.00039261579513549805,0.15709792815354603,1.7320508075688772,0.0009866803884506236,0.0,0.0,0.06666666269302368,0.14935819533231032,0.003171600065040055,0.004276791694799008,0.0013889074325561523,0.14935819533231032,0.0069326998623464395,0.06666666269303256,0.0,0.0009646219929694964,0.03333333134651627,0.15709792815354603,0.003111651478991766,0.14935819533231032,0.022727265954019263,0.17155440656955623,0.0003288388270264797,0.0009866803884506236,0.0009866803884506236,0.017241373658182377,0.06666666269302368,0.023951067786321868,0.004276791694799008,0.009280707408228457,0.0009646219929694964,0.00039261579513549805,0.0006853304195892929,0.06666666269302368,0.06666663289070349,0.06666666269303256,0.005773502691896258,0.0003288388270264797,0.09690820208813467,0.0009866803884506226,0.15709792815354603,0.023627184839930128,0.0746791061758002,0.03448274731636478,0.009280707408228457,0.0013889074325561523,0.003111651478991766,0.003171600065040055,0.0004933397285640979
no_init_box_kenn_top_down_adapter_bert_ms,0.9411764740943908,0.8448876539866129,0.7943331996599833,0.3304218153158824,39.666666666666664,0.013484624524911245,0.4266666769981384,0.27586206793785095,0.9111110965410868,0.20435780783494314,0.825242837270101,0.811254103978475,0.6728345155715942,0.20435780783494314,0.8448876539866129,0.9111111760139465,0.26,0.7044913570086161,0.5934865872065226,0.3304218153158824,0.7392755349477133,0.20435780783494314,0.49242424964904785,0.2858833422263463,0.8065028389294943,0.013484624524911245,0.013484624524911245,0.4770114819208781,0.9111110965410868,0.547911802927653,0.811254103978475,0.8289413650830587,0.7044913570086161,0.7943331996599833,0.015677791088819504,0.9111110965410868,0.9111111760139465,0.9111111760139465,0.043333333333333335,0.8065028389294943,0.3570282757282257,0.018418022741874058,0.3304218153158824,0.582483967145284,0.5727671384811401,0.6436781684557596,0.8289413650830587,0.6728345155715942,0.7392755349477133,0.825242837270101,0.01364906970411539,0.0,0.005614742554825505,0.00011332121112592835,0.08186069139766934,10.115993936995679,0.000284830093938047,0.0,0.0,0.01924502503227452,0.06133323032040531,0.0026344020698802835,0.003975284908687606,0.0004009774527905893,0.06133323032040531,0.005614742554825505,0.019245007825918748,0.0,0.0003914772825463851,0.009622495309758367,0.08186069139766934,0.0012777918372132433,0.06133323032040531,0.006560792256653437,0.07833095518099413,9.496200956627418e-05,0.000284830093938047,0.000284830093938047,0.004977160162991665,0.01924502503227452,0.006286523361291573,0.003975284908687606,0.008401257653964524,0.0003914772825463851,0.00011332121112592835,0.00017988163038403193,0.01924502503227452,0.019245007825918748,0.019245007825918748,0.03214550253664319,9.496200956627418e-05,0.06333705036133674,0.00037679479723361616,0.08186069139766934,0.01196467485734141,0.03066660183465161,0.013168305264654902,0.008401257653964524,0.0004009774527905893,0.0012777918372132433,0.0026344020698802835,0.0001424147781201146
no_init_kenn_bottom_up_adapter_bert_ms,0.9677419066429138,0.8608460426330566,0.8564978440602621,0.5279457867145538,18.333333333333332,0.013320177793502808,0.6741572618484497,0.517241358757019,0.899999996026357,0.3880614439646403,0.8624298373858134,0.8527677059173584,0.8161696592966715,0.3880614439646403,0.8608460426330566,0.9000000556310018,0.33,0.8346720337867737,0.7086206674575806,0.5279457867145538,0.854039708773295,0.3880614439646403,0.6477272709210714,0.5554187893867493,0.8640278975168864,0.013320177793502808,0.013320177793502808,0.5948275526364645,0.899999996026357,0.5815380016962687,0.8527677059173584,0.8490885297457377,0.8346720337867737,0.8564978440602621,0.016639964034159977,0.899999996026357,0.9000000556310018,0.9000000556310018,0.21,0.8640278975168864,0.587165097395579,0.01628021647532781,0.5279457867145538,0.6904786229133606,0.6779016852378845,0.5689655145009359,0.8490885297457377,0.8161696592966715,0.854039708773295,0.8624298373858134,0.017020225524902344,0.0,0.004367612152169686,0.00033999804613552313,0.13971470076763612,2.081665999466133,0.0008544902818141372,0.0,0.0,0.05773500627130796,0.1404349500193881,0.0020539957852467126,0.003144925531912873,0.0012027947073409357,0.1404349500193881,0.004367612152169686,0.05773500627130794,0.0,0.000775708603136073,0.028867485929275124,0.13971470076763612,0.0029257655064161706,0.1404349500193881,0.019682411182718025,0.1600459069967052,0.0002847999827750449,0.0008544902818141372,0.0008544902818141372,0.014931489092097499,0.05773500627130796,0.022681207714736334,0.003144925531912873,0.006553368208705998,0.000775708603136073,0.00033999804613552313,0.0006489934237739375,0.05773500627130796,0.05773500627130794,0.05773500627130794,0.1493318452306808,0.0002847999827750449,0.09493159963927873,0.0008544892064154587,0.13971470076763612,0.025088258763903606,0.07021745787349118,0.02986294377143728,0.006553368208705998,0.0012027947073409357,0.0029257655064161706,0.0020539957852467126,0.0004272451409070686
no_init_kenn_hybrid_adapter_bert_ms,0.9677419066429138,0.8609036008516947,0.8564978440602621,0.5315419137477875,19.0,0.013320177793502808,0.6741572618484497,0.517241358757019,0.899999996026357,0.3941102723280589,0.8624581893285116,0.8527138630549113,0.8161696592966715,0.3941102723280589,0.8609036008516947,0.9000000556310018,0.33,0.8347317775090536,0.7086206674575806,0.5315419137477875,0.8541657527287801,0.3941102723280589,0.6477272709210714,0.5593776901563009,0.8640278975168864,0.013320177793502808,0.013320177793502808,0.5948275526364645,0.899999996026357,0.5815380016962687,0.8527138630549113,0.8489852547645569,0.8347317775090536,0.8564978440602621,0.016639964034159977,0.899999996026357,0.9000000556310018,0.9000000556310018,0.21666666666666667,0.8640278975168864,0.5877415637175242,0.01628021647532781,0.5315419137477875,0.6917252540588379,0.6809260845184326,0.5689655145009359,0.8489852547645569,0.8161696592966715,0.8541657527287801,0.8624581893285116,0.017020225524902344,0.0,0.004648625213802208,0.00033999804613552313,0.15288544305859095,1.0,0.0008544902818141372,0.0,0.0,0.05773500627130796,0.15351899678363928,0.002195338426672787,0.0034572577858504017,0.0012027947073409357,0.15351899678363928,0.004648625213802208,0.05773500627130794,0.0,0.0009084421761061088,0.028867485929275124,0.15288544305859095,0.0031983139485058493,0.15351899678363928,0.019682411182718025,0.17357174292566693,0.0002847999827750449,0.0008544902818141372,0.0008544902818141372,0.014931489092097499,0.05773500627130796,0.022681207714736334,0.0034572577858504017,0.007168738767080546,0.0009084421761061088,0.00033999804613552313,0.0006489934237739375,0.05773500627130796,0.05773500627130794,0.05773500627130794,0.178978583448784,0.0002847999827750449,0.10374969958374926,0.0008544892064154587,0.15288544305859095,0.02857258023853762,0.07675952235372636,0.02986294377143728,0.007168738767080546,0.0012027947073409357,0.0031983139485058493,0.002195338426672787,0.0004272451409070686
no_init_kenn_top_down_adapter_bert_ms,0.9677419066429138,0.8605774243672689,0.8564978440602621,0.5177173217137655,23.0,0.013320177793502808,0.6741572618484497,0.517241358757019,0.899999996026357,0.37946348388989765,0.8622937599817911,0.8524373173713684,0.8161696592966715,0.37946348388989765,0.8605774243672689,0.9000000556310018,0.33,0.8345861832300822,0.7086206674575806,0.5177173217137655,0.85386061668396,0.37946348388989765,0.6477272709210714,0.5450319647789001,0.8640278975168864,0.013320177793502808,0.013320177793502808,0.5948275526364645,0.899999996026357,0.5815380016962687,0.8524373173713684,0.8484393954277039,0.8345861832300822,0.8564978440602621,0.016639964034159977,0.899999996026357,0.9000000556310018,0.9000000556310018,0.3933333333333333,0.8640278975168864,0.5791771908601125,0.01628021647532781,0.5177173217137655,0.6879928906758627,0.6736027002334595,0.5689655145009359,0.8484393954277039,0.8161696592966715,0.85386061668396,0.8622937599817911,0.017020225524902344,0.0,0.005017013376390986,0.00033999804613552313,0.15179396405324247,9.643650760992955,0.0008544902818141372,0.0,0.0,0.05773500627130796,0.14887215911249743,0.002381863918062509,0.0036460395714676226,0.0012027947073409357,0.14887215911249743,0.005017013376390986,0.05773500627130794,0.0,0.0008624129550280347,0.028867485929275124,0.15179396405324247,0.003101525777375588,0.14887215911249743,0.019682411182718025,0.17208779552815417,0.0002847999827750449,0.0008544902818141372,0.0008544902818141372,0.014931489092097499,0.05773500627130796,0.022681207714736334,0.0036460395714676226,0.007536030876873051,0.0008624129550280347,0.00033999804613552313,0.0006489934237739375,0.05773500627130796,0.05773500627130794,0.05773500627130794,0.2706165799305973,0.0002847999827750449,0.10574634021054913,0.0008544892064154587,0.15179396405324247,0.027838384706448827,0.0744360710067282,0.02986294377143728,0.007536030876873051,0.0012027947073409357,0.003101525777375588,0.002381863918062509,0.0004272451409070686
smart_init_box_adapter_bert_ms,0.9411764740943908,0.8304218053817749,0.794594943523407,0.19998776415983835,25.666666666666668,0.014142411450544993,0.4266666769981384,0.27586206793785095,0.9555555383364359,0.11244595299164455,0.8183695475260416,0.8010673721631368,0.6737604339917501,0.11244595299164455,0.8304218053817749,0.9555555979410807,0.26,0.7041268547375997,0.6157088081041971,0.19998776415983835,0.7373607158660889,0.11244595299164455,0.5075757503509521,0.16388079772392908,0.806722104549408,0.014142411450544993,0.014142411450544993,0.488505740960439,0.9555555383364359,0.5375885168711344,0.8010673721631368,0.8077528278032938,0.7041268547375997,0.794594943523407,0.015382402886946997,0.9555555383364359,0.9555555979410807,0.9555555979410807,0.05333333333333334,0.806722104549408,0.2450434217850367,0.017102448890606563,0.19998776415983835,0.5674929022789001,0.5268112222353617,0.5977011521657308,0.8077528278032938,0.6737604339917501,0.7373607158660889,0.8183695475260416,0.013977962856491407,0.0,0.012387657556692282,0.00029985226011902655,0.05331506608430394,4.618802153517006,0.0007535895944672343,0.0,0.0,0.050917517693612656,0.0328327568313442,0.006002887676948081,0.007806053492219572,0.0010607955738292387,0.0328327568313442,0.012387657556692282,0.05091745916301218,0.0,0.0005954985971789546,0.02545875559511571,0.05331506608430394,0.0006840385783079143,0.0328327568313442,0.017358224714663244,0.04612556741724643,0.00025119382401214647,0.0007535895944672343,0.0007535895944672343,0.013168318271459558,0.050917517693612656,0.018641862434085374,0.007806053492219572,0.01587501539792772,0.0005954985971789546,0.00029985226011902655,0.0005334144201843025,0.050917517693612656,0.05091745916301218,0.05091745916301218,0.025166114784235832,0.00025119382401214647,0.05446718701489515,0.0007535895944672355,0.05331506608430394,0.012983674805463176,0.016416402281988558,0.02633661052930985,0.01587501539792772,0.0010607955738292387,0.0006840385783079143,0.006002887676948081,0.00037679479723361654
smart_init_classifier_adapter_bert_ms,0.9677419066429138,0.8602814078330994,0.8564978440602621,0.4946504533290863,14.333333333333334,0.013320177793502808,0.6741572618484497,0.517241358757019,0.899999996026357,0.3524210552374522,0.8621462186177572,0.8521854678789774,0.8161696592966715,0.3524210552374522,0.8602814078330994,0.9000000556310018,0.33,0.8343178232510885,0.7086206674575806,0.4946504533290863,0.8532971938451132,0.3524210552374522,0.6477272709210714,0.5206788877646128,0.8640278975168864,0.013320177793502808,0.013320177793502808,0.5948275526364645,0.899999996026357,0.5815380016962687,0.8521854678789774,0.8479363918304443,0.8343178232510885,0.8564978440602621,0.016639964034159977,0.899999996026357,0.9000000556310018,0.9000000556310018,0.3866666666666667,0.8640278975168864,0.5673147439956665,0.01628021647532781,0.4946504533290863,0.6814468304316202,0.6600814859072367,0.5689655145009359,0.8479363918304443,0.8161696592966715,0.8532971938451132,0.8621462186177572,0.017020225524902344,0.0,0.0044580557735688425,0.00033999804613552313,0.1276423565622227,5.686240703077327,0.0008544902818141372,0.0,0.0,0.05773500627130796,0.12193479895828033,0.0021007612449729174,0.0032816264530588046,0.0012027947073409357,0.12193479895828033,0.0044580557735688425,0.05773500627130794,0.0,0.0005887458927962696,0.028867485929275124,0.1276423565622227,0.0025403278898237717,0.12193479895828033,0.019682411182718025,0.1468177453770844,0.0002847999827750449,0.0008544902818141372,0.0008544902818141372,0.014931489092097499,0.05773500627130796,0.022681207714736334,0.0032816264530588046,0.00681361468501249,0.0005887458927962696,0.00033999804613552313,0.0006489934237739375,0.05773500627130796,0.05773500627130794,0.05773500627130794,0.24214320831552008,0.0002847999827750449,0.09214142862646517,0.0008544892064154587,0.1276423565622227,0.021076813586392202,0.06096741667868093,0.02986294377143728,0.00681361468501249,0.0012027947073409357,0.0025403278898237717,0.0021007612449729174,0.0004272451409070686
