name,test/macro_example/precision/mean,test_incremental_only/micro/f1/mean,test_incremental_other-language/macro_types/recall/mean,test_incremental/macro_types/f1/mean,test_pretraining/macro_example/f1/mean,test/macro_example/f1/mean,test_pretraining/macro_types/f1/mean,test_incremental_only/macro_types/f1/mean,test_incremental_only/macro_example/f1/mean,test_pretraining/micro/f1/mean,test_incremental/micro/recall/mean,test_pretraining/macro_example/recall/mean,test_pretraining/macro_example/precision/mean,test_incremental_only/macro_example/recall/mean,test_incremental_only/macro_example/precision/mean,test/micro/f1/mean,threshold_pretraining/mean,test_pretraining/micro/precision/mean,test_incremental/macro_example/recall/mean,test/micro/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental_other-language/macro_types/f1/mean,test/macro_types/f1/mean,test/micro/precision/mean,threshold_incremental/mean,test_incremental/macro_types/precision/mean,test_pretraining/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental/micro/f1/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_example/precision/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_other-language-programming_language/macro_types/f1/mean,test_pretraining/micro/recall/mean,test_incremental/macro_types/recall/mean,test_pretraining/macro_types/recall/mean,test_incremental/macro_example_exclusive/f1/mean,epoch/mean,test/macro_types/precision/mean,test_incremental_other-language-programming_language/macro_types/recall/mean,test/macro_types/recall/mean,test_incremental_only/macro_types/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_other-language-programming_language/macro_types/precision/mean,test/macro_example/recall/mean,test_incremental/micro/precision/mean,test_incremental/macro_example/f1/mean,test_incremental_only/micro/precision/mean,test_incremental_only/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_other-language/macro_types/precision/mean,test/macro_example/precision/std,test_incremental_only/micro/f1/std,test_incremental_other-language/macro_types/recall/std,test_incremental/macro_types/f1/std,test_pretraining/macro_example/f1/std,test/macro_example/f1/std,test_pretraining/macro_types/f1/std,test_incremental_only/macro_types/f1/std,test_incremental_only/macro_example/f1/std,test_pretraining/micro/f1/std,test_incremental/micro/recall/std,test_pretraining/macro_example/recall/std,test_pretraining/macro_example/precision/std,test_incremental_only/macro_example/recall/std,test_incremental_only/macro_example/precision/std,test/micro/f1/std,threshold_pretraining/std,test_pretraining/micro/precision/std,test_incremental/macro_example/recall/std,test/micro/recall/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental_other-language/macro_types/f1/std,test/macro_types/f1/std,test/micro/precision/std,threshold_incremental/std,test_incremental/macro_types/precision/std,test_pretraining/macro_types/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental/micro/f1/std,test_incremental_only/micro/recall/std,test_incremental/macro_example/precision/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_other-language-programming_language/macro_types/f1/std,test_pretraining/micro/recall/std,test_incremental/macro_types/recall/std,test_pretraining/macro_types/recall/std,test_incremental/macro_example_exclusive/f1/std,epoch/std,test/macro_types/precision/std,test_incremental_other-language-programming_language/macro_types/recall/std,test/macro_types/recall/std,test_incremental_only/macro_types/precision/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_other-language-programming_language/macro_types/precision/std,test/macro_example/recall/std,test_incremental/micro/precision/std,test_incremental/macro_example/f1/std,test_incremental_only/micro/precision/std,test_incremental_only/macro_types/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_other-language/macro_types/precision/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.8576487104098002,0.6801716883977255,0.27586206793785095,0.5824160973230997,0.8304733435312907,0.8304733435312907,0.7067957520484924,0.6801716883977255,0.008880118529001871,0.8192797104517618,0.3863636354605357,0.8049680590629578,0.8576487104098002,0.008880118529001871,0.008880118529001871,0.8192797104517618,0.26,0.8479325771331787,0.011346817637483278,0.7925009727478027,0.6000000437100729,0.4266666769981384,0.7067957520484924,0.8479325771331787,0.03666666666666667,0.8897801637649536,0.752484401067098,0.6000000437100729,0.5309566458066305,0.6000000139077505,0.014800196513533592,0.517241378625234,0.6801716883977255,0.7925009727478027,0.43793103098869324,0.6663530270258585,0.44879989822705585,32.0,0.752484401067098,0.6000000139077505,0.6663530270258585,0.8383838534355164,0.3965517183144887,0.8383838534355164,0.8049680590629578,0.8702729543050131,0.012841832513610521,0.8383838534355164,0.6000000139077505,0.6000000437100729,0.9411764740943908,0.0010475730780752702,0.07713081282077107,0.0,0.043770428647492095,0.00040587794275381915,0.00040587794275381915,0.0014007125610959392,0.07713081282077107,0.0017089794882295963,0.0004603419809077423,0.03936478795267832,0.000569668791065518,0.0010475730780752702,0.0017089794882295963,0.0017089794882295963,0.0004603419809077423,0.0,0.001180298594041731,0.000854489206415459,0.0006800305050287363,0.1154700641617563,0.0,0.0014007125610959392,0.001180298594041731,0.03785938897200183,0.10313420037643331,0.0042972769568453036,0.1154700641617563,0.032363628924956436,0.11547006416175246,0.0017089789505305107,0.059725887542874535,0.07713081282077107,0.0006800305050287363,0.05773502347768677,0.0024055894146818957,0.041753652767115096,3.605551275463989,0.0042972769568453036,0.11547006416175246,0.0024055894146818957,0.20626845767047902,0.029862952374630373,0.20626845767047902,0.000569668791065518,0.13204243346173283,0.0011947270664562385,0.20626845767047902,0.11547006416175246,0.1154700641617563,0.0
no_init_box_kenn_hybrid_adapter_bert_ms,0.8575938940048218,0.6469122767448425,0.27586206793785095,0.5643013914426168,0.8303600152333578,0.8303600152333578,0.7064013083775839,0.6469122767448425,0.008386778645217419,0.819159746170044,0.375,0.8048036098480225,0.8575938940048218,0.008386778645217419,0.008386778645217419,0.819159746170044,0.26,0.8479007283846537,0.011100147540370623,0.7923046549161276,0.5666667024294535,0.4266666769981384,0.7064013083775839,0.8479007283846537,0.03333333333333333,0.8897801637649536,0.752484401067098,0.5666667024294535,0.5180618564287821,0.5666666825612386,0.014306856319308281,0.5,0.6469122767448425,0.7923046549161276,0.42126437028249103,0.6656585733095804,0.43656908472379047,29.666666666666668,0.752484401067098,0.5666666825612386,0.6656585733095804,0.8383838534355164,0.38793102900187176,0.8383838534355164,0.8048036098480225,0.8691208958625793,0.012491863531370958,0.8383838534355164,0.5666666825612386,0.5666667024294535,0.9411764740943908,0.0009968687652280974,0.11678535382117117,0.0,0.0732374522006237,0.0004616369707536897,0.0004616369707536897,0.0015891894302480633,0.11678535382117117,0.0025634692323443942,0.0005272900063324104,0.05904718192901749,0.0008545031865982769,0.0009968687652280974,0.0025634692323443942,0.0025634692323443942,0.0005272900063324104,0.0,0.00115033672422371,0.0012817343473225276,0.0010200629639219494,0.1732051048458207,0.0,0.0015891894302480633,0.00115033672422371,0.032145502536643174,0.10313420037643331,0.0042972769568453036,0.1732051048458207,0.05080581993944592,0.17320508763943926,0.0025634692323445634,0.08958883131431182,0.11678535382117117,0.0010200629639219494,0.08660252661334078,0.0036084185347805453,0.06293804317267022,6.027713773341707,0.0042972769568453036,0.17320508763943926,0.0036084185347805453,0.20626845767047902,0.0447944242603478,0.20626845767047902,0.0008545031865982769,0.13077582407391805,0.0018008911247683341,0.20626845767047902,0.17320508763943926,0.1732051048458207,0.0
no_init_box_kenn_top_down_adapter_bert_ms,0.8526495297749838,0.5293978949387869,0.27586206793785095,0.5910677512486776,0.8285530010859171,0.8285530010859171,0.7050795555114746,0.5293978949387869,0.011346817637483278,0.8165483276049296,0.4431818127632141,0.8057903051376343,0.8526495297749838,0.011346817637483278,0.011346817637483278,0.8165483276049296,0.26,0.8410179813702902,0.012580166881283125,0.7934825420379639,0.7666667302449545,0.4266666769981384,0.7050795555114746,0.8410179813702902,0.016666666666666666,0.6925492286682129,0.7442664305369059,0.7666667302449545,0.4678948720296224,0.7666666507720947,0.016526885330677032,0.5775861740112305,0.5293978949387869,0.7934825420379639,0.521264374256134,0.6698252558708191,0.4991966287295024,35.0,0.7442664305369059,0.7666666507720947,0.6698252558708191,0.4439219981431961,0.4396551847457886,0.4439219981431961,0.8057903051376343,0.5403708120187124,0.014283868173758188,0.4439219981431961,0.7666666507720947,0.7666667103767395,0.9411764740943908,0.0050899184775562096,0.2186984525906598,0.0,0.04979435956497689,0.0024047547573088687,0.0024047547573088687,0.0025679117258498936,0.2186984525906598,5.376993382802717e-10,0.0035228800447678317,0.0,0.0,0.0050899184775562096,5.376993382802717e-10,5.376993382802717e-10,0.0035228800447678317,0.0,0.007463567055490386,5.376993392818148e-10,0.0,3.4412757714036146e-08,0.0,0.0025679117258498936,0.007463567055490386,0.005773502691896258,0.13749356379791422,0.005728896528294563,3.4412757714036146e-08,0.10969564786365522,0.0,0.0004933401942253113,0.017241358757019043,0.2186984525906598,0.0,0.0,0.0,0.006443526072283183,3.4641016151377544,0.005728896528294563,0.0,0.0,0.27498715621592607,0.0,0.27498715621592607,0.0,0.25959470484717223,0.0001843729742391081,0.27498715621592607,0.0,0.0,0.0
no_init_kenn_bottom_up_adapter_bert_ms,0.8623507221539816,0.5784313678741455,0.517241358757019,0.6867504914601644,0.8629383246103922,0.8629383246103922,0.8345420757929484,0.5784313678741455,0.011840157210826874,0.8537655472755432,0.6136363744735718,0.8635345300038656,0.8623507221539816,0.011840157210826874,0.011840157210826874,0.8537655472755432,0.33,0.8516494631767273,0.016280215233564377,0.8559089104334513,0.8000000715255737,0.6741572618484497,0.8345420757929484,0.8516494631767273,0.31,0.7265058557192484,0.8560648759206136,0.8000000715255737,0.6160320738951365,0.799999992052714,0.014800196203092733,0.5172413686911265,0.5784313678741455,0.8559089104334513,0.6586206754048666,0.8140862782796224,0.5417844851811727,20.333333333333332,0.8560648759206136,0.799999992052714,0.8140862782796224,0.4852697898944219,0.5689655145009359,0.4852697898944219,0.8635345300038656,0.6483303308486938,0.015502466509739557,0.4852697898944219,0.799999992052714,0.8000000516573588,0.9677419066429138,0.0042061971432125434,0.16980889258143178,0.0,0.03492537014481272,0.0019671920197388295,0.0019671920197388295,0.0014306071633548294,0.16980889258143178,0.0008544902818141372,0.0029360964874779504,0.019682376769960312,0.000284868808290473,0.0042061971432125434,0.0008544902818141372,0.0008544902818141372,0.0029360964874779504,0.0,0.0061651831940649875,0.0004272451409070686,0.00034003245889321313,0.0577350234776945,0.0,0.0014306071633548294,0.0061651831940649875,0.26514147167125707,0.10391730565312667,0.004329882000087318,0.0577350234776945,0.10241121410574368,0.057735040684065646,0.0008544889375659172,0.029862952374630408,0.16980889258143178,0.00034003245889321313,0.028867520342032837,0.0012028635328563638,0.02308695133448846,12.342339054382412,0.004329882000087318,0.057735040684065646,0.0012028635328563638,0.2078346371158216,0.014931489092097499,0.2078346371158216,0.000284868808290473,0.20747475709892144,0.0006606034279050074,0.2078346371158216,0.057735040684065646,0.057735040684065646,0.0
no_init_kenn_hybrid_adapter_bert_ms,0.8623781204223633,0.573748896519343,0.517241358757019,0.6830878059069315,0.8629249334335327,0.8629249334335327,0.8344005942344666,0.573748896519343,0.011675710789859295,0.853783388932546,0.6098484794298807,0.863479733467102,0.8623781204223633,0.011675710789859295,0.011675710789859295,0.853783388932546,0.33,0.851749042669932,0.016197991867860157,0.8558434844017029,0.788888951142629,0.6741572618484497,0.8344005942344666,0.851749042669932,0.37000000000000005,0.7255139152208964,0.8560235500335693,0.788888951142629,0.6146893501281738,0.7888888915379842,0.014635749782125155,0.5114942491054535,0.573748896519343,0.8558434844017029,0.6530651251475016,0.8138548135757446,0.537280261516571,20.0,0.8560235500335693,0.7888888915379842,0.8138548135757446,0.48328592379887897,0.5660919547080994,0.48328592379887897,0.863479733467102,0.6492122113704681,0.015373583262165388,0.48328592379887897,0.7888888915379842,0.788888951142629,0.9677419066429138,0.004018017557993748,0.16111459762810781,0.0,0.031209888220803925,0.0018507168095128564,0.0018507168095128564,0.0012890909068797934,0.16111459762810781,0.0010269691356615106,0.0028084536716896503,0.02365529674999837,0.00034233788534802836,0.004018017557993748,0.0010269691356615106,0.0010269691356615106,0.0028084536716896503,0.0,0.005968152602945351,0.0005134847542444242,0.0004086522483187009,0.06938886728516518,0.0,0.0012890909068797934,0.005968152602945351,0.35510561809129404,0.10105094726150976,0.004210490499617753,0.06938886728516518,0.09747466710268685,0.06938886728516518,0.0010269679426137947,0.035890795644897645,0.16111459762810781,0.0004086522483187009,0.03469443364258258,0.0014456302341387828,0.027820598289695735,11.789826122551595,0.004210490499617753,0.06938886728516518,0.0014456302341387828,0.20210194533756656,0.017945408559880048,0.20210194533756656,0.00034233788534802836,0.20300127322237288,0.0007960512595951612,0.20210194533756656,0.06938886728516518,0.06938886728516518,0.0
no_init_kenn_top_down_adapter_bert_ms,0.8626713951428732,0.5831290682156881,0.517241358757019,0.6856048107147217,0.8630721767743429,0.8630721767743429,0.8345057368278503,0.5831290682156881,0.011675710789859295,0.8539773027102152,0.6098484794298807,0.863479733467102,0.8626713951428732,0.011675710789859295,0.011675710789859295,0.8539773027102152,0.33,0.8521326581637064,0.016197991867860157,0.8558434844017029,0.788888951142629,0.6741572618484497,0.8345057368278503,0.8521326581637064,0.52,0.7308176755905151,0.8562445243199667,0.788888951142629,0.6207519769668579,0.7888888915379842,0.014635749782125155,0.5114942491054535,0.5831290682156881,0.8558434844017029,0.6530651251475016,0.8138548135757446,0.537280261516571,19.666666666666668,0.8562445243199667,0.7888888915379842,0.8138548135757446,0.49389346440633136,0.5660919547080994,0.49389346440633136,0.863479733467102,0.6594479580720266,0.015373583262165388,0.49389346440633136,0.7888888915379842,0.788888951142629,0.9677419066429138,0.0037218085714218778,0.15326018055057222,0.0,0.029399140124035678,0.0016999221662441703,0.0016999221662441703,0.0012358408807556338,0.15326018055057222,0.0010269691356615106,0.0025447426946550423,0.02365529674999837,0.00034233788534802836,0.0037218085714218778,0.0010269691356615106,0.0010269691356615106,0.0025447426946550423,0.0,0.005449499940621675,0.0005134847542444242,0.0004086522483187009,0.06938886728516518,0.0,0.0012358408807556338,0.005449499940621675,0.3740320841853009,0.09899203929952886,0.004124681207523737,0.06938886728516518,0.09063037591792765,0.06938886728516518,0.0010269679426137947,0.035890795644897645,0.15326018055057222,0.0004086522483187009,0.03469443364258258,0.0014456302341387828,0.027820598289695735,13.203534880225574,0.004124681207523737,0.06938886728516518,0.0014456302341387828,0.1979840441900532,0.017945408559880048,0.1979840441900532,0.00034233788534802836,0.1951906985363793,0.0007960512595951612,0.1979840441900532,0.06938886728516518,0.06938886728516518,0.0
smart_init_box_adapter_bert_ms,0.8335929115613302,0.3093878924846649,0.27586206793785095,0.5772268772125244,0.8197134931882223,0.8197134931882223,0.7045044898986816,0.3093878924846649,0.013320177793502808,0.8038192788759867,0.4886363645394643,0.8064480622609457,0.8335929115613302,0.013320177793502808,0.013320177793502808,0.8038192788759867,0.26,0.8139654000600179,0.01356684664885203,0.7942677537600199,0.9000000556310018,0.4266666769981384,0.7045044898986816,0.8139654000600179,0.13,0.5806703170140585,0.7396048307418823,0.9000000556310018,0.31200457115968067,0.899999996026357,0.016280215854446094,0.568965494632721,0.3093878924846649,0.7942677537600199,0.5879310369491577,0.6726030309995016,0.517127682765325,24.333333333333332,0.7396048307418823,0.899999996026357,0.6726030309995016,0.22016415993372598,0.47413792212804157,0.22016415993372598,0.8064480622609457,0.28828247388203937,0.014796944024662176,0.22016415993372598,0.899999996026357,0.9000000556310018,0.9411764740943908,0.019970872425897738,0.25316542484549687,0.0,0.03087970647088825,0.009394436756256112,0.009394436756256112,0.0012007826925817446,0.25316542484549687,0.0014800205826759332,0.013806449336639865,0.03409089148044694,0.000493317842783604,0.019970872425897738,0.0014800205826759332,0.0014800205826759332,0.013806449336639865,0.0,0.02899350797270168,0.0007400098256767275,0.0005889236929545896,0.09999996423721907,0.0,0.0012007826925817446,0.02899350797270168,0.16522711641858306,0.11282893835047329,0.004701248159760307,0.09999996423721907,0.17946655061032477,0.09999999403953702,0.0014800196513534575,0.051724135875701904,0.25316542484549687,0.0005889236929545896,0.050000011920928955,0.002083331346582909,0.03677540783350905,6.027713773341709,0.004701248159760307,0.09999999403953702,0.002083331346582909,0.2256579029959394,0.02586206793785667,0.2256579029959394,0.000493317842783604,0.2686250385001281,0.0010522813982493963,0.2256579029959394,0.09999999403953702,0.09999996423721907,0.0
smart_init_classifier_adapter_bert_ms,0.8624329368273417,0.578811377286911,0.517241358757019,0.686280369758606,0.8629803856213888,0.8629803856213888,0.8344977100690206,0.578811377286911,0.011840157210826874,0.8539031346638998,0.6136363744735718,0.8635345300038656,0.8624329368273417,0.011840157210826874,0.011840157210826874,0.8539031346638998,0.33,0.8519196708997091,0.016280215233564377,0.8559089104334513,0.8000000715255737,0.6741572618484497,0.8344977100690206,0.8519196708997091,0.49666666666666665,0.7242232163747152,0.8559697866439819,0.8000000715255737,0.6185112198193868,0.799999992052714,0.014800196203092733,0.5172413686911265,0.578811377286911,0.8559089104334513,0.6586206754048666,0.8140862782796224,0.5417844851811727,20.333333333333332,0.8559697866439819,0.799999992052714,0.8140862782796224,0.48070449630419415,0.5689655145009359,0.48070449630419415,0.8635345300038656,0.648351639509201,0.015502466509739557,0.48070449630419415,0.799999992052714,0.8000000516573588,0.9677419066429138,0.003636576718484857,0.1521698593321609,0.0,0.030281230841353993,0.0016809649508444542,0.0016809649508444542,0.001242334965945157,0.1521698593321609,0.0008544902818141372,0.002552428651813483,0.019682376769960312,0.000284868808290473,0.003636576718484857,0.0008544902818141372,0.0008544902818141372,0.002552428651813483,0.0,0.005406657188708803,0.0004272451409070686,0.00034003245889321313,0.0577350234776945,0.0,0.001242334965945157,0.005406657188708803,0.34443189941312535,0.09443067191079166,0.003934617065075937,0.0577350234776945,0.0907159523674572,0.057735040684065646,0.0008544889375659172,0.029862952374630408,0.1521698593321609,0.00034003245889321313,0.028867520342032837,0.0012028635328563638,0.02308695133448846,12.662279942148386,0.003934617065075937,0.057735040684065646,0.0012028635328563638,0.18886129220244677,0.014931489092097499,0.18886129220244677,0.000284868808290473,0.18843188981179101,0.0006606034279050074,0.18886129220244677,0.057735040684065646,0.057735040684065646,0.0
