name,instance,run_id,test_incremental_only/macro_types/f1,test_incremental_only/micro/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental/micro/f1,test_incremental_only/micro/f1,test_pretraining/micro/precision,test/macro_types/recall,test/macro_types/precision,test_incremental/macro_example_exclusive/f1,test/macro_example/recall,test_incremental/macro_types/f1,test_incremental/micro/recall,test_incremental/macro_example/f1,test/macro_types/f1,test_pretraining/macro_example/precision,test_incremental/macro_types/precision,test_incremental/macro_example/precision,test_incremental_transportation/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,epoch,test_incremental/macro_example/recall,test_incremental_transportation-road/macro_types/f1,test_pretraining/micro/recall,test_pretraining/macro_types/f1,test_incremental/micro/precision,test_pretraining/micro/f1,test_incremental_only/macro_example/precision,test_incremental_only/micro/recall,test_incremental/macro_types/recall,test_incremental/macro_example_exclusive/recall,test/macro_example/f1,threshold_pretraining,test_pretraining/macro_types/recall,test_pretraining/macro_example/recall,test_incremental_only/macro_example_exclusive/recall,test/micro/recall,test/macro_example/precision,test_pretraining/macro_example/f1,test_incremental_only/macro_types/recall,test_incremental_transportation-road/macro_types/precision,test/micro/precision,test_incremental_only/macro_types/precision,test_incremental_transportation/macro_types/precision,test_pretraining/macro_types/precision,test_incremental_only/macro_example/recall,test_incremental_transportation/macro_types/f1,test/micro/f1,threshold_incremental,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example/f1,test_incremental_transportation-road/macro_types/recall
no_init_box_kenn_horizontal_adapter_bert_ms,2,vth86wri,0.5116279125213623,0.9166666865348816,0.35483869910240173,0.7619047164916992,0.5116279125213623,0.9049773812294006,0.8069908022880554,0.8907608985900879,0.7636602520942688,0.9043029546737672,0.7605065703392029,0.6451612710952759,0.008237116038799286,0.8468090891838074,0.9244606494903564,0.926075279712677,0.01009046658873558,0.9354838728904724,0.35483869910240173,53,0.006958942860364914,0.5116279125213623,0.877000629901886,0.8468090891838074,0.930232584476471,0.890769362449646,0.003827418200671673,0.35483869910240173,0.6451612710952759,0.6451612710952759,0.9142706990242004,0.25,0.8069908022880554,0.9043029546737672,0.35483869910240173,0.877000629901886,0.9244606494903564,0.9142706990242004,0.35483869910240173,0.9166666865348816,0.9049773812294006,0.9166666865348816,0.9354838728904724,0.8907608985900879,0.003827418200671673,0.9354838728904724,0.890769362449646,0.05,0.9354838132858276,0.003827418200671673,0.35483869910240173
no_init_box_kenn_horizontal_adapter_bert_ms,1,j9ou06ax,0.7692307233810425,0.9523809552192688,0.6451612710952759,0.8596491813659668,0.7692307233810425,0.905170440673828,0.8127973079681396,0.8914752006530762,0.8567982316017151,0.9050278663635254,0.8603245615959167,0.7903226017951965,0.009241735562682152,0.8503201603889465,0.924489676952362,0.9439324140548706,0.01009046658873558,0.9354838728904724,0.6451612710952759,62,0.008524704724550247,0.7692307233810425,0.8789739012718201,0.8503201603889465,0.942307710647583,0.8918798565864563,0.006958941929042339,0.6451612710952759,0.7903225421905518,0.7903225421905518,0.9146552681922911,0.25,0.8127973079681396,0.9050278663635254,0.6451612710952759,0.8789739012718201,0.924489676952362,0.9146552681922911,0.6451612710952759,0.9523809552192688,0.905170440673828,0.9523809552192688,0.9354838728904724,0.8914752006530762,0.006958941929042339,0.9354838728904724,0.8918798565864563,0.11,0.9354838132858276,0.006958941929042339,0.6451612710952759
no_init_box_kenn_horizontal_adapter_bert_ms,0,6fc50q91,0.3684210479259491,1.0,0.22580644488334656,0.7199999690055847,0.3684210479259491,0.9050962924957277,0.8044101595878601,0.8924275636672974,0.7165408134460449,0.9038390517234802,0.725806474685669,0.5806451439857483,0.007728869095444679,0.8461360931396484,0.9245187044143676,0.9677419662475586,0.01009046658873558,0.9354838728904724,0.22580644488334656,52,0.006263048388063908,0.3684210479259491,0.8761236667633057,0.8461360931396484,0.9473684430122375,0.8903743028640747,0.0024356297217309475,0.22580644488334656,0.5806451439857483,0.5806451439857483,0.914061963558197,0.25,0.8044101595878601,0.9038390517234802,0.22580644488334656,0.8761236667633057,0.9245187044143676,0.914061963558197,0.22580644488334656,1.0,0.9050962924957277,1.0,0.9354838728904724,0.8924275636672974,0.0024356297217309475,0.9354838728904724,0.8903743028640747,0.13,0.9354838132858276,0.0024356297217309475,0.22580644488334656
no_init_box_kenn_hybrid_adapter_bert_ms,2,mh1huzae,0.6382978558540344,0.9375,0.4838709533214569,0.8073394298553467,0.6382978558540344,0.905063271522522,0.8095714449882507,0.8911775946617126,0.8070841431617737,0.9047669172286988,0.8074589967727661,0.7096773982048035,0.008705499581992626,0.8484166264533997,0.9244606494903564,0.9364919662475586,0.01009046658873558,0.9354838728904724,0.4838709533214569,75,0.007654836401343346,0.6382978558540344,0.8778776526451111,0.8484166264533997,0.936170220375061,0.8912631869316101,0.0052192071452736855,0.4838709533214569,0.7096773982048035,0.7096773982048035,0.9145078063011168,0.25,0.8095714449882507,0.9047669172286988,0.4838709533214569,0.8778776526451111,0.9244606494903564,0.9145078063011168,0.4838709533214569,0.9375,0.905063271522522,0.9375,0.9354838728904724,0.8911775946617126,0.0052192071452736855,0.9354838728904724,0.8912631869316101,0.12,0.9354838132858276,0.0052192071452736855,0.4838709533214569
no_init_box_kenn_top_down_adapter_bert_ms,2,g9cnysdw,0.6382978558540344,0.9375,0.4838709533214569,0.8073394298553467,0.6382978558540344,0.905063271522522,0.8095714449882507,0.8911775946617126,0.8070841431617737,0.9047669172286988,0.8074589967727661,0.7096773982048035,0.008705499581992626,0.8484166264533997,0.9244606494903564,0.9364919662475586,0.01009046658873558,0.9354838728904724,0.4838709533214569,71,0.007654836401343346,0.6382978558540344,0.8778776526451111,0.8484166264533997,0.936170220375061,0.8912631869316101,0.0052192071452736855,0.4838709533214569,0.7096773982048035,0.7096773982048035,0.9145078063011168,0.25,0.8095714449882507,0.9047669172286988,0.4838709533214569,0.8778776526451111,0.9244606494903564,0.9145078063011168,0.4838709533214569,0.9375,0.905063271522522,0.9375,0.9354838728904724,0.8911775946617126,0.0052192071452736855,0.9354838728904724,0.8912631869316101,0.22,0.9354838132858276,0.0052192071452736855,0.4838709533214569
no_init_box_kenn_bottom_up_adapter_bert_ms,2,kjueb8ro,0.7199999690055847,0.9473684430122375,0.5806451439857483,0.839285671710968,0.7199999690055847,0.9051276445388794,0.8115069270133972,0.891374945640564,0.8374807238578796,0.9050568342208862,0.8398536443710327,0.7580645084381104,0.009033369831740856,0.8495680093765259,0.9244606494903564,0.941426157951355,0.01009046658873558,0.9354838728904724,0.5806451439857483,53,0.008176757022738457,0.7199999690055847,0.8785353899002075,0.8495680093765259,0.9399999976158142,0.8916332721710205,0.006263048388063908,0.5806451439857483,0.7580645084381104,0.7580645084381104,0.9146558046340942,0.25,0.8115069270133972,0.9050568342208862,0.5806451439857483,0.8785353899002075,0.9244606494903564,0.9146558046340942,0.5806451439857483,0.9473684430122375,0.9051276445388794,0.9473684430122375,0.9354838728904724,0.891374945640564,0.006263048388063908,0.9354838728904724,0.8916332721710205,0.02,0.9354838132858276,0.006263048388063908,0.5806451439857483
no_init_box_kenn_hybrid_adapter_bert_ms,1,0x05qacw,0.8771929740905762,0.9615384340286256,0.8064515590667725,0.9075630307197572,0.8771929740905762,0.9052774310112,0.8160231113433838,0.891658365726471,0.9020736813545228,0.9056077003479004,0.9080870151519777,0.8709677457809448,0.00973009318113327,0.8521657586097717,0.924489676952362,0.9485111236572266,0.01009046658873558,0.9354838728904724,0.8064515590667725,44,0.009394572116434574,0.8771929740905762,0.880070149898529,0.8521657586097717,0.9473684430122375,0.8924958109855652,0.008698677644133568,0.8064516186714172,0.8709677457809448,0.8709676861763,0.9149512648582458,0.25,0.8160231113433838,0.9056077003479004,0.8064515590667725,0.880070149898529,0.924489676952362,0.9149512648582458,0.8064516186714172,0.9615384340286256,0.9052774310112,0.9615384340286256,0.9354838728904724,0.891658365726471,0.008698677644133568,0.9354838728904724,0.8924958109855652,0.06999999999999999,0.9354838132858276,0.008698677644133568,0.8064516186714172
no_init_box_kenn_top_down_adapter_bert_ms,1,ia1gge8y,0.8771929740905762,0.9615384340286256,0.8064515590667725,0.9075630307197572,0.8771929740905762,0.9052774310112,0.8160231113433838,0.891658365726471,0.9020736813545228,0.9056077003479004,0.9080870151519777,0.8709677457809448,0.00973009318113327,0.8521657586097717,0.924489676952362,0.9485111236572266,0.01009046658873558,0.9354838728904724,0.8064515590667725,45,0.009394572116434574,0.8771929740905762,0.880070149898529,0.8521657586097717,0.9473684430122375,0.8924958109855652,0.008698677644133568,0.8064516186714172,0.8709677457809448,0.8709676861763,0.9149512648582458,0.25,0.8160231113433838,0.9056077003479004,0.8064515590667725,0.880070149898529,0.924489676952362,0.9149512648582458,0.8064516186714172,0.9615384340286256,0.9052774310112,0.9615384340286256,0.9354838728904724,0.891658365726471,0.008698677644133568,0.9354838728904724,0.8924958109855652,0.19,0.9354838132858276,0.008698677644133568,0.8064516186714172
no_init_box_kenn_bottom_up_adapter_bert_ms,1,na94wamr,0.8771929740905762,0.9615384340286256,0.8064515590667725,0.9075630307197572,0.8771929740905762,0.9052774310112,0.8160231113433838,0.891658365726471,0.9020736813545228,0.9056077003479004,0.9080870151519777,0.8709677457809448,0.00973009318113327,0.8521657586097717,0.924489676952362,0.9485111236572266,0.01009046658873558,0.9354838728904724,0.8064515590667725,44,0.009394572116434574,0.8771929740905762,0.880070149898529,0.8521657586097717,0.9473684430122375,0.8924958109855652,0.008698677644133568,0.8064516186714172,0.8709677457809448,0.8709676861763,0.9149512648582458,0.25,0.8160231113433838,0.9056077003479004,0.8064515590667725,0.880070149898529,0.924489676952362,0.9149512648582458,0.8064516186714172,0.9615384340286256,0.9052774310112,0.9615384340286256,0.9354838728904724,0.891658365726471,0.008698677644133568,0.9354838728904724,0.8924958109855652,0.03,0.9354838132858276,0.008698677644133568,0.8064516186714172
no_init_box_kenn_hybrid_adapter_bert_ms,0,5kzghj6n,0.5909090638160706,1.0,0.4193548262119293,0.7924528121948242,0.5909090638160706,0.9052250385284424,0.8082811236381531,0.8924275636672974,0.78580641746521,0.9045349359512328,0.7969639897346497,0.6774193644523621,0.00847599282860756,0.8482727408409119,0.9245187044143676,0.9677419662475586,0.01009046658873558,0.9354838728904724,0.4193548262119293,52,0.00730688963085413,0.5909090638160706,0.8774391412734985,0.8482727408409119,0.9545454382896424,0.8911155462265015,0.004523312672972679,0.4193548262119293,0.6774193644523621,0.6774193048477173,0.9144176840782166,0.25,0.8082811236381531,0.9045349359512328,0.4193548262119293,0.8774391412734985,0.9245187044143676,0.9144176840782166,0.4193548262119293,1.0,0.9052250385284424,1.0,0.9354838728904724,0.8924275636672974,0.004523312672972679,0.9354838728904724,0.8911155462265015,0.05,0.9354838132858276,0.004523312672972679,0.4193548262119293
