name,instance,run_id,test_pretraining/macro_types/f1,test_pretraining/macro_types/precision,test_incremental_only/macro_example/precision,test_incremental/macro_example_exclusive/precision,test/macro_types/f1,test_pretraining/micro/f1,test_incremental/macro_types/f1,test_pretraining/macro_example/precision,test_incremental_only/macro_example/recall,epoch,threshold_incremental,test/macro_types/precision,test_pretraining/micro/recall,test_incremental_transportation/macro_types/f1,test/macro_types/recall,test_incremental/macro_example/recall,test_incremental/macro_example/precision,test_incremental/macro_types/recall,test_pretraining/macro_example/recall,test_incremental_only/macro_example_exclusive/precision,test/macro_example/f1,test_incremental/macro_example/f1,test_incremental_only/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental/micro/recall,test_incremental_only/micro/recall,test_incremental/macro_example_exclusive/f1,test/micro/precision,test_incremental/micro/f1,test/macro_example/recall,test_incremental_transportation-road/macro_types/f1,test_incremental_only/micro/f1,test_pretraining/macro_types/recall,test_incremental_only/micro/precision,test_incremental/macro_types/precision,test_incremental_transportation-road/macro_types/recall,test_incremental/macro_example_exclusive/recall,test/macro_example/precision,test_pretraining/micro/precision,test_incremental_transportation-road/macro_types/precision,test_incremental_only/macro_types/f1,test_incremental_only/macro_types/recall,test_incremental_transportation/macro_types/recall,test_incremental_transportation/macro_types/precision,test/micro/f1,threshold_pretraining,test_incremental_only/macro_example/f1,test_incremental_only/macro_example_exclusive/recall,test/micro/recall,test_incremental/micro/precision,test_pretraining/macro_example/f1
no_init_box_kenn_horizontal_adapter_bert_ms,2,m8a4o2yq,0.8525896668434143,0.8910483121871948,0.009394573047757149,0.9354838132858276,0.8525896668434143,0.8926428556442261,0.9179969429969788,0.9244316816329956,0.009394573047757149,31,0.09,0.8910483121871948,0.8805086612701416,0.9354838728904724,0.8173134326934814,0.00974251888692379,0.01009046658873558,0.9032257795333862,0.9058396816253662,0.8709677457809448,0.9150412678718568,0.00991344079375267,0.931034505367279,0.8709677457809448,0.9032257795333862,0.8709677457809448,0.9190718531608582,0.905116081237793,0.9180328249931335,0.9058396816253662,0.9000000953674316,0.9000000953674316,0.8173134326934814,0.931034505367279,0.9332591891288756,0.8709677457809448,0.9032257795333862,0.9244316816329956,0.905116081237793,0.931034505367279,0.9000000953674316,0.8709677457809448,0.9354838728904724,0.9354838728904724,0.8926428556442261,0.25,0.009394573047757149,0.8709677457809448,0.8805086612701416,0.9333333373069764,0.9150412678718568
no_init_box_kenn_horizontal_adapter_bert_ms,1,v8esu5ee,0.8525896668434143,0.8910483121871948,0.009394573047757149,0.9354838132858276,0.8525896668434143,0.8926428556442261,0.9179969429969788,0.9244316816329956,0.009394573047757149,37,0.04,0.8910483121871948,0.8805086612701416,0.9354838728904724,0.8173134326934814,0.00974251888692379,0.01009046658873558,0.9032257795333862,0.9058396816253662,0.8709677457809448,0.9150412678718568,0.00991344079375267,0.931034505367279,0.8709677457809448,0.9032257795333862,0.8709677457809448,0.9190718531608582,0.905116081237793,0.9180328249931335,0.9058396816253662,0.9000000953674316,0.9000000953674316,0.8173134326934814,0.931034505367279,0.9332591891288756,0.8709677457809448,0.9032257795333862,0.9244316816329956,0.905116081237793,0.931034505367279,0.9000000953674316,0.8709677457809448,0.9354838728904724,0.9354838728904724,0.8926428556442261,0.25,0.009394573047757149,0.8709677457809448,0.8805086612701416,0.9333333373069764,0.9150412678718568
no_init_box_kenn_horizontal_adapter_bert_ms,0,9z87n5cw,0.8525303602218628,0.8916868567466736,0.009046625345945358,0.9354838132858276,0.8525303602218628,0.8926189541816711,0.9171091318130492,0.924489676952362,0.009046625345945358,60,0.08,0.8916868567466736,0.8802894353866577,0.9354838728904724,0.8166682720184326,0.00956854596734047,0.01009046658873558,0.8870967626571655,0.9057236909866332,0.8387096524238586,0.9150105118751526,0.00982257816940546,0.9629629850387572,0.8387096524238586,0.8870967626571655,0.8387096524238586,0.910647988319397,0.9052987694740297,0.9166666269302368,0.9057236909866332,0.8965516686439514,0.8965516686439514,0.8166682720184326,0.9629629850387572,0.9492233991622924,0.8387096524238586,0.8870967626571655,0.924489676952362,0.9052987694740297,0.9629629850387572,0.8965516686439514,0.8387096524238586,0.9354838728904724,0.9354838728904724,0.8926189541816711,0.25,0.009046625345945358,0.8387096524238586,0.8802894353866577,0.948275864124298,0.9150105118751526
no_init_box_kenn_hybrid_adapter_bert_ms,2,adsma6d0,0.8525303602218628,0.8916868567466736,0.009046625345945358,0.9354838132858276,0.8525303602218628,0.8926189541816711,0.9171091318130492,0.9244606494903564,0.009046625345945358,31,0.81,0.8916868567466736,0.8802894353866577,0.9354838728904724,0.8166682720184326,0.00956854596734047,0.01009046658873558,0.8870967626571655,0.9057236909866332,0.8387096524238586,0.9149962663650512,0.00982257816940546,0.9629629850387572,0.8387096524238586,0.8870967626571655,0.8387096524238586,0.910647988319397,0.9052987694740297,0.9166666269302368,0.9057236909866332,0.8965516686439514,0.8965516686439514,0.8166682720184326,0.9629629850387572,0.9492233991622924,0.8387096524238586,0.8870967626571655,0.9244606494903564,0.9052987694740297,0.9629629850387572,0.8965516686439514,0.8387096524238586,0.9354838728904724,0.9354838728904724,0.8926189541816711,0.25,0.009046625345945358,0.8387096524238586,0.8802894353866577,0.948275864124298,0.9149962663650512
no_init_box_kenn_top_down_adapter_bert_ms,2,rpgxc89a,0.8519384264945984,0.8881032466888428,0.01009046658873558,0.9354838132858276,0.8519384264945984,0.8922939896583557,0.8959564566612244,0.9236198663711548,0.01009046658873558,31,0.01,0.8881032466888428,0.8809471726417542,0.9354838728904724,0.8186037540435791,0.01009046658873558,0.01009046658873558,0.9354838728904724,0.906071662902832,0.9354838132858276,0.9147616028785706,0.01009046658873558,0.7837837934494019,0.9354838132858276,0.9354838728904724,0.9354838728904724,0.9354838132858276,0.9039369821548462,0.8923077583312988,0.906071662902832,0.8529412150382996,0.8529412150382996,0.8186037540435791,0.7837837934494019,0.8596338033676147,0.9354838728904724,0.9354838132858276,0.9236198663711548,0.9039369821548462,0.7837837934494019,0.8529412150382996,0.9354838728904724,0.9354838728904724,0.9354838728904724,0.8922939896583557,0.25,0.01009046658873558,0.9354838132858276,0.8809471726417542,0.8529411554336548,0.9147616028785706
no_init_box_kenn_bottom_up_adapter_bert_ms,2,wcumutgx,0.8522158861160278,0.8909990191459656,0.009046625345945358,0.9354838132858276,0.8522158861160278,0.8925197124481201,0.9090072512626648,0.9244316816329956,0.009046625345945358,31,0.49,0.8909990191459656,0.8802894353866577,0.9354838728904724,0.8166682720184326,0.00956854596734047,0.01009046658873558,0.8870967626571655,0.9057236909866332,0.8387096524238586,0.9149820804595948,0.00982257816940546,0.9285714030265808,0.8387096524238586,0.8870967626571655,0.8387096524238586,0.910647988319397,0.9050946831703186,0.9090908765792848,0.9057236909866332,0.881355881690979,0.881355881690979,0.8166682720184326,0.9285714030265808,0.9320276379585266,0.8387096524238586,0.8870967626571655,0.9244316816329956,0.9050946831703186,0.9285714030265808,0.881355881690979,0.8387096524238586,0.9354838728904724,0.9354838728904724,0.8925197124481201,0.25,0.009046625345945358,0.8387096524238586,0.8802894353866577,0.9322034120559692,0.9149820804595948
no_init_box_kenn_hybrid_adapter_bert_ms,1,diciu94s,0.853331983089447,0.8911372423171997,0.01009046658873558,0.9354838132858276,0.853331983089447,0.8928888440132141,0.9354838728904724,0.9244316816329956,0.01009046658873558,31,0.01,0.8911372423171997,0.8809471726417542,0.9354838728904724,0.8186037540435791,0.01009046658873558,0.01009046658873558,0.9354838728904724,0.906071662902832,0.9354838132858276,0.9151595830917358,0.01009046658873558,0.9354838728904724,0.9354838132858276,0.9354838728904724,0.9354838728904724,0.9354838132858276,0.9051588177680968,0.9354838728904724,0.906071662902832,0.9354838728904724,0.9354838728904724,0.8186037540435791,0.9354838728904724,0.9354838728904724,0.9354838728904724,0.9354838132858276,0.9244316816329956,0.9051588177680968,0.9354838728904724,0.9354838728904724,0.9354838728904724,0.9354838728904724,0.9354838728904724,0.8928888440132141,0.25,0.01009046658873558,0.9354838132858276,0.8809471726417542,0.9354838728904724,0.9151595830917358
no_init_box_kenn_top_down_adapter_bert_ms,1,rq8381f4,0.853331983089447,0.8911372423171997,0.01009046658873558,0.9354838132858276,0.853331983089447,0.8928888440132141,0.9354838728904724,0.9244316816329956,0.01009046658873558,32,0.060000000000000005,0.8911372423171997,0.8809471726417542,0.9354838728904724,0.8186037540435791,0.01009046658873558,0.01009046658873558,0.9354838728904724,0.906071662902832,0.9354838132858276,0.9151595830917358,0.01009046658873558,0.9354838728904724,0.9354838132858276,0.9354838728904724,0.9354838728904724,0.9354838132858276,0.9051588177680968,0.9354838728904724,0.906071662902832,0.9354838728904724,0.9354838728904724,0.8186037540435791,0.9354838728904724,0.9354838728904724,0.9354838728904724,0.9354838132858276,0.9244316816329956,0.9051588177680968,0.9354838728904724,0.9354838728904724,0.9354838728904724,0.9354838728904724,0.9354838728904724,0.8928888440132141,0.25,0.01009046658873558,0.9354838132858276,0.8809471726417542,0.9354838728904724,0.9151595830917358
no_init_box_kenn_bottom_up_adapter_bert_ms,1,shaa340y,0.8525896668434143,0.8910483121871948,0.009394573047757149,0.9354838132858276,0.8525896668434143,0.8926428556442261,0.9179969429969788,0.9244316816329956,0.009394573047757149,28,0.34,0.8910483121871948,0.8805086612701416,0.9354838728904724,0.8173134326934814,0.00974251888692379,0.01009046658873558,0.9032257795333862,0.9058396816253662,0.8709677457809448,0.9150412678718568,0.00991344079375267,0.931034505367279,0.8709677457809448,0.9032257795333862,0.8709677457809448,0.9190718531608582,0.905116081237793,0.9180328249931335,0.9058396816253662,0.9000000953674316,0.9000000953674316,0.8173134326934814,0.931034505367279,0.9332591891288756,0.8709677457809448,0.9032257795333862,0.9244316816329956,0.905116081237793,0.931034505367279,0.9000000953674316,0.8709677457809448,0.9354838728904724,0.9354838728904724,0.8926428556442261,0.25,0.009394573047757149,0.8709677457809448,0.8805086612701416,0.9333333373069764,0.9150412678718568
no_init_box_kenn_hybrid_adapter_bert_ms,0,j0xqkoxa,0.8529615998268127,0.8910942673683167,0.00974251888692379,0.9354838132858276,0.8529615998268127,0.8927658200263977,0.9268205761909484,0.9244316816329956,0.00974251888692379,28,0.01,0.8910942673683167,0.8807278871536255,0.9354838728904724,0.8179585933685303,0.009916492737829683,0.01009046658873558,0.9193547964096068,0.9059556722640992,0.9032257795333862,0.9151004552841188,0.010002723895013332,0.9333333373069764,0.9032257795333862,0.9193548560142516,0.9032257795333862,0.9273492097854614,0.9051374197006226,0.9268292784690856,0.9059556722640992,0.9180328249931335,0.9180328249931335,0.8179585933685303,0.9333333373069764,0.9344086050987244,0.9032257795333862,0.9193547964096068,0.9244316816329956,0.9051374197006226,0.9333333373069764,0.9180328249931335,0.9032257795333862,0.9354838728904724,0.9354838728904724,0.8927658200263977,0.25,0.00974251888692379,0.9032257795333862,0.8807278871536255,0.934426248073578,0.9151004552841188
