name,instance,run_id,test_incremental/macro_example/recall,test_incremental_only/micro/precision,test_incremental_transportation/macro_types/precision,test_incremental/macro_types/recall,test_incremental/macro_example/precision,test_incremental_only/macro_example/recall,test_incremental_only/macro_example_exclusive/precision,test_pretraining/macro_types/f1,test_pretraining/macro_types/recall,test_pretraining/macro_example/recall,test_incremental_only/macro_types/f1,epoch,test/micro/f1,test/macro_example/recall,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test/macro_types/precision,test_incremental/macro_types/f1,test_pretraining/micro/precision,test/micro/recall,test_pretraining/micro/f1,test_incremental/micro/precision,test/macro_example/f1,test_incremental/macro_example/f1,test_pretraining/macro_example/precision,test_incremental_transportation/macro_types/f1,test_incremental_transportation-road/macro_types/recall,test/micro/precision,test_incremental_only/micro/f1,test_incremental_transportation-road/macro_types/f1,test/macro_types/f1,test_pretraining/macro_example/f1,test_incremental_transportation-road/macro_types/precision,test/macro_example/precision,test_incremental/macro_example_exclusive/f1,test_incremental/micro/recall,test_incremental_only/macro_example/f1,test_incremental_only/macro_types/precision,threshold_incremental,test/macro_types/recall,test_incremental_only/macro_example/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental_only/micro/recall,threshold_pretraining,test_incremental/macro_example_exclusive/precision,test_incremental_transportation/macro_types/recall,test_pretraining/macro_types/precision,test_incremental/macro_types/precision,test_incremental/micro/f1,test_pretraining/micro/recall
no_init_box_kenn_horizontal_adapter_bert_ms,2,s1ypo9uq,0.00974251888692379,0.931034505367279,0.9354838728904724,0.9032257795333862,0.01009046658873558,0.009394573047757149,0.8709677457809448,0.8525896668434143,0.8173134326934814,0.9058396816253662,0.9000000953674316,64,0.8926428556442261,0.9058396816253662,0.9032257795333862,0.8709677457809448,0.8709677457809448,0.8910483121871948,0.9179969429969788,0.905116081237793,0.8805086612701416,0.8926428556442261,0.9333333373069764,0.9150412678718568,0.00991344079375267,0.9244316816329956,0.9354838728904724,0.8709677457809448,0.905116081237793,0.9000000953674316,0.9000000953674316,0.8525896668434143,0.9150412678718568,0.931034505367279,0.9244316816329956,0.9190718531608582,0.9032257795333862,0.009394573047757149,0.931034505367279,0.04,0.8173134326934814,0.009394573047757149,0.8709677457809448,0.8709677457809448,0.25,0.9354838132858276,0.9354838728904724,0.8910483121871948,0.9332591891288756,0.9180328249931335,0.8805086612701416
no_init_box_kenn_horizontal_adapter_bert_ms,1,fukpy77l,0.009394572116434574,0.9615384340286256,0.9354838728904724,0.8709677457809448,0.01009046658873558,0.008698677644133568,0.8064515590667725,0.8521657586097717,0.8160231113433838,0.9056077003479004,0.8771929740905762,47,0.8924958109855652,0.9056077003479004,0.8709676861763,0.8064516186714172,0.8064515590667725,0.891658365726471,0.9080870151519777,0.9052774310112,0.880070149898529,0.8924958109855652,0.9473684430122375,0.9149512648582458,0.00973009318113327,0.924489676952362,0.9354838728904724,0.8064516186714172,0.9052774310112,0.8771929740905762,0.8771929740905762,0.8521657586097717,0.9149512648582458,0.9615384340286256,0.924489676952362,0.9020736813545228,0.8709677457809448,0.008698677644133568,0.9615384340286256,0.04,0.8160231113433838,0.008698677644133568,0.8064515590667725,0.8064516186714172,0.25,0.9354838132858276,0.9354838728904724,0.891658365726471,0.9485111236572266,0.9075630307197572,0.880070149898529
no_init_box_kenn_horizontal_adapter_bert_ms,0,kj72eg77,0.00922059826552868,0.959999978542328,0.9354838728904724,0.8548387289047241,0.01009046658873558,0.008350730873644352,0.774193525314331,0.8517997860908508,0.815377950668335,0.9054917097091676,0.8571428060531616,89,0.892372727394104,0.9054917097091676,0.8548386693000793,0.774193525314331,0.774193525314331,0.8916276097297668,0.8988962769508362,0.9052560329437256,0.8798509240150452,0.892372727394104,0.9464285969734192,0.914892077445984,0.009635940194129944,0.924489676952362,0.9354838728904724,0.774193525314331,0.9052560329437256,0.8571428060531616,0.8571428060531616,0.8517997860908508,0.914892077445984,0.959999978542328,0.924489676952362,0.8933448791503906,0.8548387289047241,0.008350730873644352,0.959999978542328,0.060000000000000005,0.815377950668335,0.008350730873644352,0.774193525314331,0.774193525314331,0.25,0.9354838132858276,0.9354838728904724,0.8916276097297668,0.9477419257164,0.8983050584793091,0.8798509240150452
no_init_box_kenn_hybrid_adapter_bert_ms,2,8qux8hrl,0.00956854596734047,0.9285714030265808,0.9354838728904724,0.8870967626571655,0.01009046658873558,0.009046625345945358,0.8387096524238586,0.8522158861160278,0.8166682720184326,0.9057236909866332,0.881355881690979,36,0.8925197124481201,0.9057236909866332,0.8870967626571655,0.8387096524238586,0.8387096524238586,0.8909990191459656,0.9090072512626648,0.9050946831703186,0.8802894353866577,0.8925197124481201,0.9322034120559692,0.9149820804595948,0.00982257816940546,0.9244316816329956,0.9354838728904724,0.8387096524238586,0.9050946831703186,0.881355881690979,0.881355881690979,0.8522158861160278,0.9149820804595948,0.9285714030265808,0.9244316816329956,0.910647988319397,0.8870967626571655,0.009046625345945358,0.9285714030265808,0.33,0.8166682720184326,0.009046625345945358,0.8387096524238586,0.8387096524238586,0.25,0.9354838132858276,0.9354838728904724,0.8909990191459656,0.9320276379585266,0.9090908765792848,0.8802894353866577
no_init_box_kenn_top_down_adapter_bert_ms,2,b91zxa6a,0.01009046658873558,0.8055555820465088,0.9354838728904724,0.9354838728904724,0.01009046658873558,0.01009046658873558,0.9354838132858276,0.8521387577056885,0.8186037540435791,0.906071662902832,0.8656716346740723,27,0.892393171787262,0.906071662902832,0.9354838132858276,0.9354838728904724,0.9354838132858276,0.8885387182235718,0.901833474636078,0.9041404128074646,0.8809471726417542,0.892393171787262,0.8656716346740723,0.9148469567298888,0.01009046658873558,0.9237938523292542,0.9354838728904724,0.9354838728904724,0.9041404128074646,0.8656716346740723,0.8656716346740723,0.8521387577056885,0.9148469567298888,0.8055555820465088,0.9237938523292542,0.9354838132858276,0.9354838728904724,0.01009046658873558,0.8055555820465088,0.01,0.8186037540435791,0.01009046658873558,0.9354838132858276,0.9354838728904724,0.25,0.9354838132858276,0.9354838728904724,0.8885387182235718,0.870519757270813,0.8992247581481934,0.8809471726417542
no_init_box_kenn_bottom_up_adapter_bert_ms,2,puhlozdr,0.00974251888692379,0.931034505367279,0.9354838728904724,0.9032257795333862,0.01009046658873558,0.009394573047757149,0.8709677457809448,0.8525896668434143,0.8173134326934814,0.9058396816253662,0.9000000953674316,47,0.8926428556442261,0.9058396816253662,0.9032257795333862,0.8709677457809448,0.8709677457809448,0.8910483121871948,0.9179969429969788,0.905116081237793,0.8805086612701416,0.8926428556442261,0.9333333373069764,0.9150412678718568,0.00991344079375267,0.9244316816329956,0.9354838728904724,0.8709677457809448,0.905116081237793,0.9000000953674316,0.9000000953674316,0.8525896668434143,0.9150412678718568,0.931034505367279,0.9244316816329956,0.9190718531608582,0.9032257795333862,0.009394573047757149,0.931034505367279,0.14,0.8173134326934814,0.009394573047757149,0.8709677457809448,0.8709677457809448,0.25,0.9354838132858276,0.9354838728904724,0.8910483121871948,0.9332591891288756,0.9180328249931335,0.8805086612701416
no_init_box_kenn_hybrid_adapter_bert_ms,1,ox2gf1ed,0.009394572116434574,0.9615384340286256,0.9354838728904724,0.8709677457809448,0.01009046658873558,0.008698677644133568,0.8064515590667725,0.8521657586097717,0.8160231113433838,0.9056077003479004,0.8771929740905762,35,0.8924958109855652,0.9056077003479004,0.8709676861763,0.8064516186714172,0.8064515590667725,0.891658365726471,0.9080870151519777,0.9052774310112,0.880070149898529,0.8924958109855652,0.9473684430122375,0.9149512648582458,0.00973009318113327,0.924489676952362,0.9354838728904724,0.8064516186714172,0.9052774310112,0.8771929740905762,0.8771929740905762,0.8521657586097717,0.9149512648582458,0.9615384340286256,0.924489676952362,0.9020736813545228,0.8709677457809448,0.008698677644133568,0.9615384340286256,0.5,0.8160231113433838,0.008698677644133568,0.8064515590667725,0.8064516186714172,0.25,0.9354838132858276,0.9354838728904724,0.891658365726471,0.9485111236572266,0.9075630307197572,0.880070149898529
no_init_box_kenn_top_down_adapter_bert_ms,1,298ibfp0,0.009394572116434574,0.9615384340286256,0.9354838728904724,0.8709677457809448,0.01009046658873558,0.008698677644133568,0.8064515590667725,0.8521657586097717,0.8160231113433838,0.9056077003479004,0.8771929740905762,35,0.8924958109855652,0.9056077003479004,0.8709676861763,0.8064516186714172,0.8064515590667725,0.891658365726471,0.9080870151519777,0.9052774310112,0.880070149898529,0.8924958109855652,0.9473684430122375,0.9149512648582458,0.00973009318113327,0.924489676952362,0.9354838728904724,0.8064516186714172,0.9052774310112,0.8771929740905762,0.8771929740905762,0.8521657586097717,0.9149512648582458,0.9615384340286256,0.924489676952362,0.9020736813545228,0.8709677457809448,0.008698677644133568,0.9615384340286256,0.62,0.8160231113433838,0.008698677644133568,0.8064515590667725,0.8064516186714172,0.25,0.9354838132858276,0.9354838728904724,0.891658365726471,0.9485111236572266,0.9075630307197572,0.880070149898529
no_init_box_kenn_bottom_up_adapter_bert_ms,1,rz9ri7ej,0.009394572116434574,0.9615384340286256,0.9354838728904724,0.8709677457809448,0.01009046658873558,0.008698677644133568,0.8064515590667725,0.8521657586097717,0.8160231113433838,0.9056077003479004,0.8771929740905762,34,0.8924958109855652,0.9056077003479004,0.8709676861763,0.8064516186714172,0.8064515590667725,0.891658365726471,0.9080870151519777,0.9052774310112,0.880070149898529,0.8924958109855652,0.9473684430122375,0.9149512648582458,0.00973009318113327,0.924489676952362,0.9354838728904724,0.8064516186714172,0.9052774310112,0.8771929740905762,0.8771929740905762,0.8521657586097717,0.9149512648582458,0.9615384340286256,0.924489676952362,0.9020736813545228,0.8709677457809448,0.008698677644133568,0.9615384340286256,0.23,0.8160231113433838,0.008698677644133568,0.8064515590667725,0.8064516186714172,0.25,0.9354838132858276,0.9354838728904724,0.891658365726471,0.9485111236572266,0.9075630307197572,0.880070149898529
no_init_box_kenn_hybrid_adapter_bert_ms,0,rww0hsnm,0.00922059826552868,0.959999978542328,0.9354838728904724,0.8548387289047241,0.01009046658873558,0.008350730873644352,0.774193525314331,0.8517997860908508,0.815377950668335,0.9054917097091676,0.8571428060531616,40,0.892372727394104,0.9054917097091676,0.8548386693000793,0.774193525314331,0.774193525314331,0.8916276097297668,0.8988962769508362,0.9052560329437256,0.8798509240150452,0.892372727394104,0.9464285969734192,0.914892077445984,0.009635940194129944,0.924489676952362,0.9354838728904724,0.774193525314331,0.9052560329437256,0.8571428060531616,0.8571428060531616,0.8517997860908508,0.914892077445984,0.959999978542328,0.924489676952362,0.8933448791503906,0.8548387289047241,0.008350730873644352,0.959999978542328,0.05,0.815377950668335,0.008350730873644352,0.774193525314331,0.774193525314331,0.25,0.9354838132858276,0.9354838728904724,0.8916276097297668,0.9477419257164,0.8983050584793091,0.8798509240150452
