metric,projector,instance,family,subset,precision,recall,f1,epoch
test/macro_example,no_init_box_kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,0.4658969640731811,0.8556393384933472,0.6032974720001221,47
test_incremental/macro_example_exclusive,no_init_box_kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,1.0,0.9666666984558104,0.9830508828163148,47
test_pretraining/macro_example,no_init_box_kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,0.4658969640731811,0.8556393384933472,0.6032974720001221,47
test_incremental_only/macro_example_exclusive,no_init_box_kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,1.0,1.0,1.0,47
test_incremental_only/macro_types,no_init_box_kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,0.02827521227300167,1.0,0.05499541386961937,47
test_incremental_only/macro_example,no_init_box_kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,0.02827521041035652,0.02827521041035652,0.02827521041035652,47
test_incremental_CONTACT_INFO-url/macro_types,no_init_box_kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,0.02827521227300167,1.0,0.05499541386961937,47
test_incremental/micro,no_init_box_kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,0.05272727087140083,0.9666666388511658,0.09999999403953552,47
test_pretraining/macro_types,no_init_box_kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,0.7858912944793701,0.881173849105835,0.8308095932006836,47
test/macro_types,no_init_box_kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,0.7858912944793701,0.881173849105835,0.8308095932006836,47
test_incremental_CONTACT_INFO/macro_types,no_init_box_kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,0.7179487347602844,0.9333333373069764,0.8115941882133484,47
test_incremental_only/micro,no_init_box_kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,0.02827521227300167,1.0,0.05499541386961937,47
test/micro,no_init_box_kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,0.4744149148464203,0.8635379076004028,0.6123911738395691,47
test_pretraining/micro,no_init_box_kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,0.4744149148464203,0.8635379076004028,0.6123911738395691,47
test_incremental/macro_types,no_init_box_kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,0.3731119632720947,0.9666666984558104,0.5384097099304199,47
test_incremental/macro_example,no_init_box_kenn_horizontal_adapter_bert_ms,2,CONTACT_INFO,10,0.02827521041035652,0.02733270451426506,0.02779597043991089,47
test/macro_example,no_init_box_kenn_horizontal_adapter_bert_ms,1,CONTACT_INFO,10,0.8275997638702393,0.8452717065811157,0.8363423347473145,44
test_incremental/macro_example_exclusive,no_init_box_kenn_horizontal_adapter_bert_ms,1,CONTACT_INFO,10,0.9333333969116212,0.5333333611488342,0.6787879467010498,44
test_pretraining/macro_example,no_init_box_kenn_horizontal_adapter_bert_ms,1,CONTACT_INFO,10,0.8275997638702393,0.8452717065811157,0.8363423347473145,44
test_incremental_only/macro_example_exclusive,no_init_box_kenn_horizontal_adapter_bert_ms,1,CONTACT_INFO,10,0.13333334028720856,0.13333334028720856,0.13333334028720856,44
test_incremental_only/macro_types,no_init_box_kenn_horizontal_adapter_bert_ms,1,CONTACT_INFO,10,0.800000011920929,0.13333334028720856,0.22857144474983215,44
test_incremental_only/macro_example,no_init_box_kenn_horizontal_adapter_bert_ms,1,CONTACT_INFO,10,0.003770028240978718,0.003770028240978718,0.003770028240978718,44
test_incremental_CONTACT_INFO-url/macro_types,no_init_box_kenn_horizontal_adapter_bert_ms,1,CONTACT_INFO,10,0.800000011920929,0.13333334028720856,0.22857144474983215,44
test_incremental/micro,no_init_box_kenn_horizontal_adapter_bert_ms,1,CONTACT_INFO,10,0.7272727489471436,0.5333333611488342,0.6153846383094788,44
test_pretraining/macro_types,no_init_box_kenn_horizontal_adapter_bert_ms,1,CONTACT_INFO,10,0.8312868475914001,0.8301935195922852,0.8307398557662964,44
test/macro_types,no_init_box_kenn_horizontal_adapter_bert_ms,1,CONTACT_INFO,10,0.8312868475914001,0.8301935195922852,0.8307398557662964,44
test_incremental_CONTACT_INFO/macro_types,no_init_box_kenn_horizontal_adapter_bert_ms,1,CONTACT_INFO,10,0.7179487347602844,0.9333333373069764,0.8115941882133484,44
test_incremental_only/micro,no_init_box_kenn_horizontal_adapter_bert_ms,1,CONTACT_INFO,10,0.800000011920929,0.13333334028720856,0.22857144474983215,44
test/micro,no_init_box_kenn_horizontal_adapter_bert_ms,1,CONTACT_INFO,10,0.7986348271369934,0.8447653651237488,0.821052610874176,44
test_pretraining/micro,no_init_box_kenn_horizontal_adapter_bert_ms,1,CONTACT_INFO,10,0.7986348271369934,0.8447653651237488,0.821052610874176,44
test_incremental/macro_types,no_init_box_kenn_horizontal_adapter_bert_ms,1,CONTACT_INFO,10,0.7589743733406067,0.5333333611488342,0.6264550685882568,44
test_incremental/macro_example,no_init_box_kenn_horizontal_adapter_bert_ms,1,CONTACT_INFO,10,0.02639019675552845,0.015080112963914871,0.01919287070631981,44
test/macro_example,no_init_box_kenn_horizontal_adapter_bert_ms,0,CONTACT_INFO,10,0.4658969640731811,0.8556393384933472,0.6032974720001221,33
