metric,projector,family,subset,precision/mean,recall/mean,f1/mean,precision/std,recall/std,f1/std
test_incremental/macro_types,no_init_box_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.5017327666282654,0.8222222526868185,0.5677581628163656,0.22277776632321314,0.25018511894302164,0.050833011521999295
test_incremental/macro_example,no_init_box_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.02764687252541383,0.023248507330815,0.024928270528713863,0.0010883131410411077,0.007074037029865215,0.004967001947054007
test/macro_example,no_init_box_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.8279662529627482,0.8475756645202637,0.8376560807228088,9.071202931307072e-05,0.0009598237867399944,0.0005048572277876623
test_incremental/macro_example_exclusive,no_init_box_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.9333333969116212,0.6444445053736368,0.7615767121315002,0.0,0.05357585445502392,0.038197561771318105
test_pretraining/macro_example,no_init_box_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.8279662529627482,0.8475756645202637,0.8376560807228088,9.071202931307072e-05,0.0009598237867399944,0.0005048572277876623
test_incremental_only/macro_example_exclusive,no_init_box_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.35555559396743774,0.35555559396743774,0.35555559396743774,0.10715169654861878,0.10715169654861878,0.10715169654861878
test_incremental_only/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.765386720498403,0.35555555919806164,0.47827666997909546,0.05437815464971922,0.10715167723388783,0.10686207866935454
test_incremental_only/macro_example,no_init_box_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.010053408332169056,0.010053408332169056,0.010053408176948627,0.003029735899151952,0.003029735899151952,0.0030297361647294904
test_incremental_CONTACT_INFO-url/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.765386720498403,0.35555555919806164,0.47827666997909546,0.05437815464971922,0.10715167723388783,0.10686207866935454
test_incremental/micro,no_init_box_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.7296356558799744,0.6444444457689921,0.6836156050364176,0.015589700460509165,0.05357585445502392,0.03286653246958198
test_pretraining/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.8292507529258728,0.8432653943697611,0.8361891110738119,0.0031987353612267385,0.006303045518111028,0.003446928455817383
test/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.8292507529258728,0.8432653943697611,0.8361891110738119,0.0031987353612267385,0.006303045518111028,0.003446928455817383
test_incremental_CONTACT_INFO/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.7179487347602844,0.9333333373069764,0.8115941882133484,0.0,0.0,0.0
test_incremental_only/micro,no_init_box_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.765386720498403,0.35555555919806164,0.47827666997909546,0.05437815464971922,0.10715167723388783,0.10686207866935454
test/micro,no_init_box_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.7982818285624186,0.8495788176854452,0.8231307069460551,0.0006382046711725345,0.0023209785338559404,0.0010932726975084988
test_pretraining/micro,no_init_box_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.7982818285624186,0.8495788176854452,0.8231307069460551,0.0006382046711725345,0.0023209785338559404,0.0010932726975084988
test_incremental/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.7416677276293436,0.6444444457689921,0.6886477867762247,0.02718906781000133,0.05357585445502392,0.033266804464716596
test_incremental/macro_example,no_init_box_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.02639019675552845,0.01822180300951004,0.021533741305271786,0.0,0.0015148680220063487,0.0010800436382895158
test/macro_example,no_init_box_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.8274426460266113,0.8474185864130656,0.8373107115427653,0.000566380722736067,0.001679646102995566,0.0007054926649209088
test_incremental/macro_example_exclusive,no_init_box_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.9333333969116212,0.638888955116272,0.7566376328468323,0.0,0.07876358592306151,0.05695530175411199
test_pretraining/macro_example,no_init_box_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.8274426460266113,0.8474185864130656,0.8373107115427653,0.000566380722736067,0.001679646102995566,0.0007054926649209088
test_incremental_only/macro_example_exclusive,no_init_box_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.344444473584493,0.344444473584493,0.344444473584493,0.15752719496915155,0.15752719496915155,0.15752719496915155
test_incremental_only/macro_types,no_init_box_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.7214285731315613,0.34444444874922436,0.4506698250770569,0.02575394027967383,0.15752718656077655,0.1573974817944601
