name,test_incremental_only/macro_types/f1/mean,test_pretraining/macro_types/precision/mean,test_incremental_visual_art/macro_types/f1/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,threshold_incremental/mean,test_incremental/micro/f1/mean,test_incremental_only/macro_example/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_only/micro/f1/mean,test_incremental/macro_example/f1/mean,test_incremental/macro_example/recall/mean,test_incremental/macro_example/precision/mean,test_incremental_only/macro_types/recall/mean,test_pretraining/macro_example/precision/mean,test/macro_types/precision/mean,test_incremental_only/micro/precision/mean,test_incremental_only/macro_example/recall/mean,test_incremental_visual_art-color/macro_types/precision/mean,test_pretraining/macro_example/f1/mean,test/macro_types/f1/mean,threshold_pretraining/mean,test/macro_types/recall/mean,test_pretraining/micro/precision/mean,test_incremental_visual_art/macro_types/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_visual_art-color/macro_types/recall/mean,test/macro_example/recall/mean,test/macro_example/precision/mean,test/micro/recall/mean,test_incremental/micro/precision/mean,test_incremental/macro_types/precision/mean,test/micro/f1/mean,test_pretraining/micro/f1/mean,test/micro/precision/mean,test_incremental/micro/recall/mean,test_pretraining/macro_example/recall/mean,epoch/mean,test_pretraining/macro_types/f1/mean,test_incremental_only/micro/recall/mean,test_pretraining/macro_types/recall/mean,test_incremental_visual_art-color/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_pretraining/micro/recall/mean,test_incremental/macro_types/f1/mean,test_incremental_only/macro_types/precision/mean,test/macro_example/f1/mean,test_incremental/macro_types/recall/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_visual_art/macro_types/precision/mean,test_incremental_only/macro_types/f1/std,test_pretraining/macro_types/precision/std,test_incremental_visual_art/macro_types/f1/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_only/macro_example_exclusive/recall/std,threshold_incremental/std,test_incremental/micro/f1/std,test_incremental_only/macro_example/precision/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_only/micro/f1/std,test_incremental/macro_example/f1/std,test_incremental/macro_example/recall/std,test_incremental/macro_example/precision/std,test_incremental_only/macro_types/recall/std,test_pretraining/macro_example/precision/std,test/macro_types/precision/std,test_incremental_only/micro/precision/std,test_incremental_only/macro_example/recall/std,test_incremental_visual_art-color/macro_types/precision/std,test_pretraining/macro_example/f1/std,test/macro_types/f1/std,threshold_pretraining/std,test/macro_types/recall/std,test_pretraining/micro/precision/std,test_incremental_visual_art/macro_types/recall/std,test_incremental_only/macro_example/f1/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_visual_art-color/macro_types/recall/std,test/macro_example/recall/std,test/macro_example/precision/std,test/micro/recall/std,test_incremental/micro/precision/std,test_incremental/macro_types/precision/std,test/micro/f1/std,test_pretraining/micro/f1/std,test/micro/precision/std,test_incremental/micro/recall/std,test_pretraining/macro_example/recall/std,epoch/std,test_pretraining/macro_types/f1/std,test_incremental_only/micro/recall/std,test_pretraining/macro_types/recall/std,test_incremental_visual_art-color/macro_types/f1/std,test_incremental_only/macro_example_exclusive/precision/std,test_pretraining/micro/recall/std,test_incremental/macro_types/f1/std,test_incremental_only/macro_types/precision/std,test/macro_example/f1/std,test_incremental/macro_types/recall/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_visual_art/macro_types/precision/std
box_adapter_bert_ms,0.02184200845658779,0.8726484179496765,0.807692289352417,1.0,1.0,0.9899999999999999,0.036441583186388016,0.010438413359224796,0.8500000834465027,0.02184200845658779,0.009592056274414062,0.008872651495039463,0.010438413359224796,1.0,0.5603687763214111,0.8726484179496765,0.01104159001260996,0.010438413359224796,0.01104159001260996,0.6928101778030396,0.8454490303993225,0.25,0.8198940753936768,0.5640701651573181,0.699999988079071,0.010438413359224796,1.0,1.0,0.9072315096855164,0.5603687763214111,0.8813596367835999,0.01861993409693241,0.48279350996017456,0.6878904104232788,0.6878904104232788,0.5640701651573181,0.8500000238418579,0.9072315096855164,39.666666666666664,0.8454490303993225,1.0,0.8198940753936768,0.02184200845658779,1.0,0.8813596367835999,0.6158110499382019,0.01104159001260996,0.6928101778030396,0.8500000238418579,0.9189189672470092,0.9545454382896424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.011899704655804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
classifier_adapter_bert_ms,0.18119258185227713,0.8884608149528503,0.9473683834075928,1.0,1.0,0.8300000000000001,0.25608854989210766,0.010438413359224796,0.949999988079071,0.18119258185227713,0.010170761495828629,0.009916492737829683,0.010438413359224796,1.0,0.8187659780184428,0.8884608149528503,0.11286025370160739,0.010438413359224796,0.11286025370160739,0.8624804417292277,0.8762170275052389,0.375,0.864309549331665,0.7776740392049154,0.8999999761581421,0.010438413359224796,1.0,1.0,0.9147645235061646,0.8187659780184428,0.8995614051818848,0.1754974772532781,0.5564301411310831,0.8317160805066427,0.8317160805066427,0.7776740392049154,0.949999988079071,0.9147645235061646,8.666666666666666,0.8762170275052389,1.0,0.864309549331665,0.18119258185227713,1.0,0.8995614051818848,0.6997593641281128,0.11286025370160739,0.8624804417292277,0.949999988079071,0.9743589162826538,1.0,0.2337707798197769,0.003090024752696995,0.0,0.0,0.0,0.2771281292110203,0.2978360214742974,0.0,0.0,0.2337707798197769,0.0,0.0,0.0,0.0,0.08835024733895663,0.003090024752696995,0.15450057411386522,0.0,0.15450057411386522,0.04787733417538663,0.001501222142167566,0.0,0.0,0.10572841467843697,0.0,0.0,0.0,0.0,0.0,0.08835024733895663,0.0,0.22773356046524176,0.07725027468984783,0.058841204367768074,0.058841204367768074,0.10572841467843697,0.0,0.0,3.5118845842842465,0.001501222142167566,0.0,0.0,0.2337707798197769,0.0,0.0,0.059778883189741824,0.15450057411386522,0.04787733417538663,0.0,0.0,0.0
kenn_bottom_up_adapter_bert_ms,0.12471334636211395,0.887611965338389,0.9473683834075928,1.0,1.0,0.6666666666666666,0.1968292941649755,0.010438413359224796,0.949999988079071,0.12471334636211395,0.010170761495828629,0.009916492737829683,0.010438413359224796,1.0,0.8142774701118469,0.887611965338389,0.07041767860452335,0.010438413359224796,0.07041767860452335,0.8602344195048014,0.8758052984873453,0.375,0.864309549331665,0.7725019057591757,0.8999999761581421,0.010438413359224796,1.0,1.0,0.9147645235061646,0.8142774701118469,0.8995614051818848,0.1198198248942693,0.5352088610331217,0.8291080792744955,0.8291080792744955,0.7725019057591757,0.949999988079071,0.9147645235061646,25.0,0.8758052984873453,1.0,0.864309549331665,0.12471334636211395,1.0,0.8995614051818848,0.684089461962382,0.07041767860452335,0.8602344195048014,0.949999988079071,0.9743589162826538,1.0,0.135945874378167,0.00161977409246485,0.0,0.0,0.0,0.560029761113937,0.1951959797361875,0.0,0.0,0.135945874378167,0.0,0.0,0.0,0.0,0.08057592359455795,0.00161977409246485,0.08098787764165809,0.0,0.08098787764165809,0.04398710956775146,0.000788086564225667,0.0,0.0,0.09677001676688944,0.0,0.0,0.0,0.0,0.0,0.08057592359455795,0.0,0.13129703773328139,0.040493939358528394,0.05432401372748686,0.05432401372748686,0.09677001676688944,0.0,0.0,2.6457513110645907,0.000788086564225667,0.0,0.0,0.135945874378167,0.0,0.0,0.03263781648906252,0.08098787764165809,0.04398710956775146,0.0,0.0,0.0
kenn_horizontal_adapter_bert_ms,0.16153559585412344,0.8881450891494751,0.9473683834075928,1.0,1.0,0.6666666666666666,0.2370409518480301,0.010438413359224796,0.949999988079071,0.16153559585412344,0.010170761495828629,0.009916492737829683,0.010438413359224796,1.0,0.8168522715568542,0.8881450891494751,0.09707368537783623,0.010438413359224796,0.09707368537783623,0.8615268667538961,0.8760640025138855,0.375,0.864309549331665,0.7763640681902567,0.8999999761581421,0.010438413359224796,1.0,1.0,0.9147645235061646,0.8168522715568542,0.8995614051818848,0.15601029495398203,0.5485368569691976,0.8310598134994507,0.8310598134994507,0.7763640681902567,0.949999988079071,0.9147645235061646,25.0,0.8760640025138855,1.0,0.864309549331665,0.16153559585412344,1.0,0.8995614051818848,0.6940791805585226,0.09707368537783623,0.8615268667538961,0.949999988079071,0.9743589162826538,1.0,0.1997238813473047,0.002543171619990571,0.0,0.0,0.0,0.560029761113937,0.26484461389980546,0.0,0.0,0.1997238813473047,0.0,0.0,0.0,0.0,0.0850356105167124,0.002543171619990571,0.12715743569993612,0.0,0.12715743569993612,0.046225693869286065,0.001236175082315787,0.0,0.0,0.10345947832460574,0.0,0.0,0.0,0.0,0.0,0.0850356105167124,0.0,0.1939807706265041,0.06357870548288325,0.05770451656798042,0.05770451656798042,0.10345947832460574,0.0,0.0,2.6457513110645907,0.001236175082315787,0.0,0.0,0.1997238813473047,0.0,0.0,0.049940516650893545,0.12715743569993612,0.046225693869286065,0.0,0.0,0.0
kenn_hybrid_adapter_bert_ms,0.11113792657852173,0.8874322970708212,0.9473683834075928,1.0,1.0,0.6666666666666666,0.1802715708812078,0.010438413359224796,0.949999988079071,0.11113792657852173,0.010170761495828629,0.009916492737829683,0.010438413359224796,1.0,0.8126556475957235,0.8874322970708212,0.06143497054775555,0.010438413359224796,0.06143497054775555,0.8594146569569906,0.8757179776827494,0.375,0.864309549331665,0.7702322006225586,0.8999999761581421,0.010438413359224796,1.0,1.0,0.9147645235061646,0.8126556475957235,0.8995614051818848,0.10657940308252972,0.5307174921035767,0.8279492457707723,0.8279492457707723,0.7702322006225586,0.949999988079071,0.9147645235061646,23.333333333333332,0.8757179776827494,1.0,0.864309549331665,0.11113792657852173,1.0,0.8995614051818848,0.6806045174598694,0.06143497054775555,0.8594146569569906,0.949999988079071,0.9743589162826538,1.0,0.11243255757890958,0.001308579524529245,0.0,0.0,0.0,0.560029761113937,0.16651716175103562,0.0,0.0,0.11243255757890958,0.0,0.0,0.0,0.0,0.07776684459577289,0.001308579524529245,0.06542937089777798,0.0,0.06542937089777798,0.042567239184800855,0.0006368424941076925,0.0,0.0,0.0928387721520687,0.0,0.0,0.0,0.0,0.0,0.07776684459577289,0.0,0.10836395444170524,0.03271466017702005,0.052316855221525314,0.052316855221525314,0.0928387721520687,0.0,0.0,4.509249752822893,0.0006368424941076925,0.0,0.0,0.11243255757890958,0.0,0.0,0.02660171554915281,0.06542937089777798,0.042567239184800855,0.0,0.0,0.0
kenn_top_down_adapter_bert_ms,0.11211745937665303,0.8874449928601583,0.9473683834075928,1.0,1.0,0.6833333333333332,0.18150109549363455,0.010438413359224796,0.949999988079071,0.11211745937665303,0.010170761495828629,0.009916492737829683,0.010438413359224796,1.0,0.8128876090049744,0.8874449928601583,0.062069168935219445,0.010438413359224796,0.062069168935219445,0.8595321575800577,0.875724176565806,0.375,0.864309549331665,0.7704199949900309,0.8999999761581421,0.010438413359224796,1.0,1.0,0.9147645235061646,0.8128876090049744,0.8995614051818848,0.10753292838732402,0.5310345888137817,0.8280454675356547,0.8280454675356547,0.7704199949900309,0.949999988079071,0.9147645235061646,25.0,0.875724176565806,1.0,0.864309549331665,0.11211745937665303,1.0,0.8995614051818848,0.6808525919914246,0.062069168935219445,0.8595321575800577,0.949999988079071,0.9743589162826538,1.0,0.11412915815295312,0.0013305692767033941,0.0,0.0,0.0,0.5311622476544557,0.16864676084891522,0.0,0.0,0.11412915815295312,0.0,0.0,0.0,0.0,0.07816861354199077,0.0013305692767033941,0.0665278347269437,0.0,0.0665278347269437,0.042770756233874344,0.0006475792745119719,0.0,0.0,0.09316404153790606,0.0,0.0,0.0,0.0,0.0,0.07816861354199077,0.0,0.11001550871591158,0.0332638877900082,0.05248351620709562,0.05248351620709562,0.09316404153790606,0.0,0.0,2.6457513110645907,0.0006475792745119719,0.0,0.0,0.11412915815295312,0.0,0.0,0.027031393241870223,0.0665278347269437,0.042770756233874344,0.0,0.0,0.0
