name,instance,run_id,test_incremental_only/macro_types/f1,test_pretraining/macro_types/precision,test_incremental_visual_art/macro_types/f1,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example_exclusive/recall,threshold_incremental,test_incremental/micro/f1,test_incremental_only/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_incremental_only/micro/f1,test_incremental/macro_example/f1,test_incremental/macro_example/recall,test_incremental/macro_example/precision,test_incremental_only/macro_types/recall,test_pretraining/macro_example/precision,test/macro_types/precision,test_incremental_only/micro/precision,test_incremental_only/macro_example/recall,test_incremental_visual_art-color/macro_types/precision,test_pretraining/macro_example/f1,test/macro_types/f1,threshold_pretraining,test/macro_types/recall,test_pretraining/micro/precision,test_incremental_visual_art/macro_types/recall,test_incremental_only/macro_example/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_visual_art-color/macro_types/recall,test/macro_example/recall,test/macro_example/precision,test/micro/recall,test_incremental/micro/precision,test_incremental/macro_types/precision,test/micro/f1,test_pretraining/micro/f1,test/micro/precision,test_incremental/micro/recall,test_pretraining/macro_example/recall,epoch,test_pretraining/macro_types/f1,test_incremental_only/micro/recall,test_pretraining/macro_types/recall,test_incremental_visual_art-color/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_pretraining/micro/recall,test_incremental/macro_types/f1,test_incremental_only/macro_types/precision,test/macro_example/f1,test_incremental/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental_visual_art/macro_types/precision
kenn_top_down_adapter_bert_ms,0,2awvbxwc,0.24390245974063873,0.8889814019203186,0.9473683834075928,1,1,0.06999999999999999,0.3762376010417938,0.010438413359224796,0.949999988079071,0.24390245974063873,0.010170761495828629,0.009916492737829683,0.010438413359224796,1,0.9031489491462708,0.8889814019203186,0.1388888955116272,0.010438413359224796,0.1388888955116272,0.9089195728302002,0.8764719367027283,0.375,0.864309549331665,0.877996563911438,0.8999999761581421,0.010438413359224796,1,1,0.9147645235061646,0.9031489491462708,0.8995614051818848,0.23456789553165436,0.5694444179534912,0.8886482119560242,0.8886482119560242,0.877996563911438,0.949999988079071,0.9147645235061646,23,0.8764719367027283,1,0.864309549331665,0.24390245974063873,1,0.8995614051818848,0.7120657563209534,0.1388888955116272,0.9089195728302002,0.949999988079071,0.9743589162826538,1.0
kenn_bottom_up_adapter_bert_ms,0,qrnon6hr,0.2816901206970215,0.889482319355011,0.9473683834075928,1,1,0.02,0.42222219705581665,0.010438413359224796,0.949999988079071,0.2816901206970215,0.010170761495828629,0.009916492737829683,0.010438413359224796,1,0.9073185324668884,0.889482319355011,0.16393442451953888,0.010438413359224796,0.16393442451953888,0.9110263586044312,0.8767153024673462,0.375,0.864309549331665,0.8842422962188721,0.8999999761581421,0.010438413359224796,1,1,0.9147645235061646,0.9073185324668884,0.8995614051818848,0.27142858505249023,0.5819672346115112,0.8918360471725464,0.8918360471725464,0.8842422962188721,0.949999988079071,0.9147645235061646,23,0.8767153024673462,1,0.864309549331665,0.2816901206970215,1,0.8995614051818848,0.7217763662338257,0.16393442451953888,0.9110263586044312,0.949999988079071,0.9743589162826538,1.0
box_adapter_bert_ms,2,2ssgntpw,0.02184200845658779,0.8726484179496765,0.807692289352417,1,1,0.99,0.036441583186388016,0.010438413359224796,0.8500000834465027,0.02184200845658779,0.009592056274414062,0.008872651495039463,0.010438413359224796,1,0.5603687763214111,0.8726484179496765,0.01104159001260996,0.010438413359224796,0.01104159001260996,0.6928101778030396,0.8454490303993225,0.25,0.8198940753936768,0.5640701651573181,0.699999988079071,0.010438413359224796,1,1,0.9072315096855164,0.5603687763214111,0.8813596367835999,0.01861993409693241,0.48279350996017456,0.6878904104232788,0.6878904104232788,0.5640701651573181,0.8500000238418579,0.9072315096855164,44,0.8454490303993225,1,0.8198940753936768,0.02184200845658779,1,0.8813596367835999,0.6158110499382019,0.01104159001260996,0.6928101778030396,0.8500000238418579,0.9189189672470092,0.9545454382896424
box_adapter_bert_ms,1,2ydy10ww,0.02184200845658779,0.8726484179496765,0.807692289352417,1,1,0.99,0.036441583186388016,0.010438413359224796,0.8500000834465027,0.02184200845658779,0.009592056274414062,0.008872651495039463,0.010438413359224796,1,0.5603687763214111,0.8726484179496765,0.01104159001260996,0.010438413359224796,0.01104159001260996,0.6928101778030396,0.8454490303993225,0.25,0.8198940753936768,0.5640701651573181,0.699999988079071,0.010438413359224796,1,1,0.9072315096855164,0.5603687763214111,0.8813596367835999,0.01861993409693241,0.48279350996017456,0.6878904104232788,0.6878904104232788,0.5640701651573181,0.8500000238418579,0.9072315096855164,24,0.8454490303993225,1,0.8198940753936768,0.02184200845658779,1,0.8813596367835999,0.6158110499382019,0.01104159001260996,0.6928101778030396,0.8500000238418579,0.9189189672470092,0.9545454382896424
box_adapter_bert_ms,0,2mslg8dt,0.02184200845658779,0.8726484179496765,0.807692289352417,1,1,0.99,0.036441583186388016,0.010438413359224796,0.8500000834465027,0.02184200845658779,0.009592056274414062,0.008872651495039463,0.010438413359224796,1,0.5603687763214111,0.8726484179496765,0.01104159001260996,0.010438413359224796,0.01104159001260996,0.6928101778030396,0.8454490303993225,0.25,0.8198940753936768,0.5640701651573181,0.699999988079071,0.010438413359224796,1,1,0.9072315096855164,0.5603687763214111,0.8813596367835999,0.01861993409693241,0.48279350996017456,0.6878904104232788,0.6878904104232788,0.5640701651573181,0.8500000238418579,0.9072315096855164,51,0.8454490303993225,1,0.8198940753936768,0.02184200845658779,1,0.8813596367835999,0.6158110499382019,0.01104159001260996,0.6928101778030396,0.8500000238418579,0.9189189672470092,0.9545454382896424
classifier_adapter_bert_ms,2,3mmj47kk,0.04622495919466019,0.8866767883300781,0.9473683834075928,1,1,0.99,0.0841328427195549,0.010438413359224796,0.949999988079071,0.04622495919466019,0.010170761495828629,0.009916492737829683,0.010438413359224796,1,0.7677569389343262,0.8866767883300781,0.02365930564701557,0.010438413359224796,0.02365930564701557,0.8348384499549866,0.875350296497345,0.375,0.864309549331665,0.7166317105293274,0.8999999761581421,0.010438413359224796,1,1,0.9147645235061646,0.7677569389343262,0.8995614051818848,0.04401544481515885,0.511829674243927,0.79774409532547,0.79774409532547,0.7166317105293274,0.949999988079071,0.9147645235061646,9,0.875350296497345,1,0.864309549331665,0.04622495919466019,1,0.8995614051818848,0.6652460098266602,0.02365930564701557,0.8348384499549866,0.949999988079071,0.9743589162826538,1.0
classifier_adapter_bert_ms,1,2mtg9l5r,0.04622495919466019,0.8866767883300781,0.9473683834075928,1,1,0.99,0.0841328427195549,0.010438413359224796,0.949999988079071,0.04622495919466019,0.010170761495828629,0.009916492737829683,0.010438413359224796,1,0.7677569389343262,0.8866767883300781,0.02365930564701557,0.010438413359224796,0.02365930564701557,0.8348384499549866,0.875350296497345,0.375,0.864309549331665,0.7166317105293274,0.8999999761581421,0.010438413359224796,1,1,0.9147645235061646,0.7677569389343262,0.8995614051818848,0.04401544481515885,0.511829674243927,0.79774409532547,0.79774409532547,0.7166317105293274,0.949999988079071,0.9147645235061646,5,0.875350296497345,1,0.864309549331665,0.04622495919466019,1,0.8995614051818848,0.6652460098266602,0.02365930564701557,0.8348384499549866,0.949999988079071,0.9743589162826538,1.0
classifier_adapter_bert_ms,0,3tgyc3lt,0.451127827167511,0.8920288681983948,0.9473683834075928,1,1,0.51,0.5999999642372131,0.010438413359224796,0.949999988079071,0.451127827167511,0.010170761495828629,0.009916492737829683,0.010438413359224796,1,0.920784056186676,0.8920288681983948,0.291262149810791,0.010438413359224796,0.291262149810791,0.91776442527771,0.8779504895210266,0.375,0.864309549331665,0.8997586965560913,0.8999999761581421,0.010438413359224796,1,1,0.9147645235061646,0.920784056186676,0.8995614051818848,0.4384615421295166,0.6456310749053955,0.899660050868988,0.899660050868988,0.8997586965560913,0.949999988079071,0.9147645235061646,12,0.8779504895210266,1,0.864309549331665,0.451127827167511,1,0.8995614051818848,0.7687860727310181,0.291262149810791,0.91776442527771,0.949999988079071,0.9743589162826538,1.0
