name,test_pretraining/micro/precision/mean,test_incremental_only/macro_example/recall/mean,test/micro/recall/mean,test/macro_example/f1/mean,test/macro_example/recall/mean,test/macro_example/precision/mean,test_incremental/macro_example/recall/mean,test_incremental_only/micro/precision/mean,test_incremental_only/macro_example/f1/mean,threshold_incremental/mean,test/macro_types/recall/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_visual_art-color/macro_types/recall/mean,test_incremental_only/macro_example/precision/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_example/precision/mean,test/micro/f1/mean,test_incremental_only/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental/micro/f1/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_visual_art-color/macro_types/precision/mean,test/micro/precision/mean,test_incremental/macro_types/f1/mean,test_incremental_visual_art/macro_types/recall/mean,test_pretraining/macro_example/f1/mean,test_pretraining/macro_types/f1/mean,test_pretraining/macro_types/recall/mean,test_incremental_visual_art/macro_types/f1/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_visual_art-color/macro_types/f1/mean,test_incremental/micro/recall/mean,test_incremental_only/micro/f1/mean,test_incremental/macro_types/recall/mean,test_pretraining/macro_types/precision/mean,test/macro_types/f1/mean,test/macro_types/precision/mean,test_pretraining/micro/recall/mean,test_incremental/micro/precision/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_pretraining/micro/f1/mean,test_incremental_visual_art/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental_only/macro_types/f1/mean,test_pretraining/macro_example/precision/mean,threshold_pretraining/mean,test_incremental/macro_types/precision/mean,test_incremental_only/macro_types/recall/mean,epoch/mean,test_incremental/macro_example/f1/mean,test_pretraining/micro/precision/std,test_incremental_only/macro_example/recall/std,test/micro/recall/std,test/macro_example/f1/std,test/macro_example/recall/std,test/macro_example/precision/std,test_incremental/macro_example/recall/std,test_incremental_only/micro/precision/std,test_incremental_only/macro_example/f1/std,threshold_incremental/std,test/macro_types/recall/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_visual_art-color/macro_types/recall/std,test_incremental_only/macro_example/precision/std,test_incremental_only/micro/recall/std,test_incremental/macro_example/precision/std,test/micro/f1/std,test_incremental_only/macro_types/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental/micro/f1/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_visual_art-color/macro_types/precision/std,test/micro/precision/std,test_incremental/macro_types/f1/std,test_incremental_visual_art/macro_types/recall/std,test_pretraining/macro_example/f1/std,test_pretraining/macro_types/f1/std,test_pretraining/macro_types/recall/std,test_incremental_visual_art/macro_types/f1/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_visual_art-color/macro_types/f1/std,test_incremental/micro/recall/std,test_incremental_only/micro/f1/std,test_incremental/macro_types/recall/std,test_pretraining/macro_types/precision/std,test/macro_types/f1/std,test/macro_types/precision/std,test_pretraining/micro/recall/std,test_incremental/micro/precision/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test_pretraining/micro/f1/std,test_incremental_visual_art/macro_types/precision/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental_only/macro_types/f1/std,test_pretraining/macro_example/precision/std,threshold_pretraining/std,test_incremental/macro_types/precision/std,test_incremental_only/macro_types/recall/std,epoch/std,test_incremental/macro_example/f1/std
box_adapter_bert_ms,0.5640701651573181,0.010438413359224796,0.8813596367835999,0.6928101778030396,0.9072315096855164,0.5603687763214111,0.008872651495039463,0.01104159001260996,0.010438413359224796,0.9899999999999999,0.8198940753936768,1.0,1.0,0.010438413359224796,1.0,0.010438413359224796,0.6878904104232788,0.01104159001260996,1.0,0.036441583186388016,0.9189189672470092,0.01104159001260996,0.5640701651573181,0.6158110499382019,0.699999988079071,0.6928101778030396,0.8454490303993225,0.8198940753936768,0.807692289352417,0.8500000834465027,0.02184200845658779,0.8500000238418579,0.02184200845658779,0.8500000238418579,0.8726484179496765,0.8454490303993225,0.8726484179496765,0.8813596367835999,0.01861993409693241,0.9072315096855164,1.0,0.6878904104232788,0.9545454382896424,1.0,0.02184200845658779,0.5603687763214111,0.25,0.48279350996017456,1.0,32.0,0.009592056274414062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6457513110645907,0.0
classifier_adapter_bert_ms,0.7166317105293274,0.010438413359224796,0.8995614051818848,0.8348384499549866,0.9147645235061646,0.7677569389343262,0.009916492737829683,0.02365930564701557,0.010438413359224796,0.9899999999999999,0.864309549331665,1.0,1.0,0.010438413359224796,1.0,0.010438413359224796,0.79774409532547,0.02365930564701557,1.0,0.0841328427195549,0.9743589162826538,0.02365930564701557,0.7166317105293274,0.6652460098266602,0.8999999761581421,0.8348384499549866,0.875350296497345,0.864309549331665,0.9473683834075928,0.949999988079071,0.04622495919466019,0.949999988079071,0.04622495919466019,0.949999988079071,0.8866767883300781,0.875350296497345,0.8866767883300781,0.8995614051818848,0.04401544481515885,0.9147645235061646,1.0,0.79774409532547,1.0,1.0,0.04622495919466019,0.7677569389343262,0.375,0.511829674243927,1.0,9.0,0.010170761495828629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
kenn_bottom_up_adapter_bert_ms,0.7166317105293274,0.010438413359224796,0.8995614051818848,0.8348384499549866,0.9147645235061646,0.7677569389343262,0.009916492737829683,0.02365930564701557,0.010438413359224796,0.9899999999999999,0.864309549331665,1.0,1.0,0.010438413359224796,1.0,0.010438413359224796,0.79774409532547,0.02365930564701557,1.0,0.0841328427195549,0.9743589162826538,0.02365930564701557,0.7166317105293274,0.6652460098266602,0.8999999761581421,0.8348384499549866,0.875350296497345,0.864309549331665,0.9473683834075928,0.949999988079071,0.04622495919466019,0.949999988079071,0.04622495919466019,0.949999988079071,0.8866767883300781,0.875350296497345,0.8866767883300781,0.8995614051818848,0.04401544481515885,0.9147645235061646,1.0,0.79774409532547,1.0,1.0,0.04622495919466019,0.7677569389343262,0.375,0.511829674243927,1.0,131.33333333333334,0.010170761495828629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.17713806085494,0.0
kenn_horizontal_adapter_bert_ms,0.7296745975812277,0.01020644853512446,0.8994152148564657,0.8431085348129272,0.9146485527356466,0.7821948130925497,0.009800510480999945,0.025404793520768482,0.01020644853512446,0.9866666666666667,0.8638650973637899,0.9888888994852701,0.9777777791023254,0.01020644853512446,0.9777777791023254,0.010322431102395058,0.8055733442306519,0.025404793520768482,0.9777777989705404,0.09081078320741653,0.9632402459780375,0.025404793520768482,0.7296745975812277,0.663175642490387,0.8999999761581421,0.8431085348129272,0.8751391768455505,0.8638650973637899,0.9473683834075928,0.9388888875643412,0.04950199152032534,0.9388888875643412,0.04950199152032534,0.9388888676961263,0.8867117166519165,0.8751391768455505,0.8867117166519165,0.8994152148564657,0.04775059098998705,0.9146485527356466,0.9777777989705404,0.8055733442306519,1.0,0.9777777989705404,0.04950199152032534,0.7821948130925497,0.375,0.5127024054527283,0.9777777791023254,127.33333333333333,0.010054700387020906,0.02259094305127345,0.0004017748609105587,0.0002532090712009151,0.014324207156859288,0.0002008672667300529,0.02500713159532879,0.00020088716160560795,0.0030232736813354134,0.0004017748609105587,0.0057735026918962545,0.0007698133898837444,0.01924499061951678,0.03849001565179118,0.0004017748609105587,0.03849001565179118,0.00020088716160560972,0.013560656888878033,0.0030232736813354134,0.038489981239033466,0.011566532214897644,0.019258101880202775,0.0030232736813354134,0.02259094305127345,0.00358598141675621,0.0,0.014324207156859288,0.0003656699633842089,0.0007698133898837444,0.0,0.019244990619516757,0.005675986486097649,0.019244990619516757,0.005675986486097649,0.019245025032274446,6.049762804718984e-05,0.0003656699633842089,6.049762804718984e-05,0.0002532090712009151,0.006469462948499,0.0002008672667300529,0.038489981239033466,0.013560656888878033,0.0,0.038489981239033466,0.005675986486097649,0.02500713159532879,0.0,0.0015116147949948014,0.03849001565179118,94.00709193105237,0.00020102373723775537
kenn_hybrid_adapter_bert_ms,0.7166317105293274,0.010438413359224796,0.8995614051818848,0.8348384499549866,0.9147645235061646,0.7677569389343262,0.009916492737829683,0.02365930564701557,0.010438413359224796,0.9899999999999999,0.864309549331665,1.0,1.0,0.010438413359224796,1.0,0.010438413359224796,0.79774409532547,0.02365930564701557,1.0,0.0841328427195549,0.9743589162826538,0.02365930564701557,0.7166317105293274,0.6652460098266602,0.8999999761581421,0.8348384499549866,0.875350296497345,0.864309549331665,0.9473683834075928,0.949999988079071,0.04622495919466019,0.949999988079071,0.04622495919466019,0.949999988079071,0.8866767883300781,0.875350296497345,0.8866767883300781,0.8995614051818848,0.04401544481515885,0.9147645235061646,1.0,0.79774409532547,1.0,1.0,0.04622495919466019,0.7677569389343262,0.375,0.511829674243927,1.0,128.0,0.010170761495828629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.50396817065408,0.0
kenn_top_down_adapter_bert_ms,0.7166317105293274,0.010438413359224796,0.8995614051818848,0.8348384499549866,0.9147645235061646,0.7677569389343262,0.009916492737829683,0.02365930564701557,0.010438413359224796,0.9899999999999999,0.864309549331665,1.0,1.0,0.010438413359224796,1.0,0.010438413359224796,0.79774409532547,0.02365930564701557,1.0,0.0841328427195549,0.9743589162826538,0.02365930564701557,0.7166317105293274,0.6652460098266602,0.8999999761581421,0.8348384499549866,0.875350296497345,0.864309549331665,0.9473683834075928,0.949999988079071,0.04622495919466019,0.949999988079071,0.04622495919466019,0.949999988079071,0.8866767883300781,0.875350296497345,0.8866767883300781,0.8995614051818848,0.04401544481515885,0.9147645235061646,1.0,0.79774409532547,1.0,1.0,0.04622495919466019,0.7677569389343262,0.375,0.511829674243927,1.0,128.0,0.010170761495828629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.50396817065408,0.0
