name,test_pretraining/micro/precision/mean,test_incremental/macro_example/f1/mean,test_pretraining/macro_example/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_pretraining/macro_types/precision/mean,test/micro/precision/mean,threshold_pretraining/mean,test_incremental_only/micro/f1/mean,test_incremental/macro_types/f1/mean,test_incremental/micro/recall/mean,test_pretraining/macro_example/recall/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental_only/macro_types/recall/mean,threshold_incremental/mean,test_pretraining/macro_types/f1/mean,test_incremental_only/macro_types/f1/mean,test/macro_types/f1/mean,test/macro_example/f1/mean,test/macro_example/precision/mean,test_incremental_other-health/macro_types/f1/mean,test_incremental_only/micro/precision/mean,test/micro/f1/mean,test/macro_types/recall/mean,test/macro_types/precision/mean,test_incremental_other-health-treatment/macro_types/recall/mean,test/micro/recall/mean,test_pretraining/macro_types/recall/mean,test_incremental_only/macro_types/precision/mean,test_incremental/macro_example_exclusive/precision/mean,epoch/mean,test_pretraining/macro_example/f1/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_other-health-treatment/macro_types/precision/mean,test_incremental_only/micro/recall/mean,test_incremental/micro/f1/mean,test_incremental_other-health-malady/macro_types/f1/mean,test_incremental_other-health-malady/macro_types/precision/mean,test/macro_example/recall/mean,test_incremental/macro_example/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental/macro_example/precision/mean,test_incremental_other-health/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental_other-health/macro_types/precision/mean,test_incremental_other-health-malady/macro_types/recall/mean,test_pretraining/micro/f1/mean,test_incremental/macro_types/recall/mean,test_incremental_only/macro_example/precision/mean,test_incremental_only/macro_example/recall/mean,test_incremental_other-health-treatment/macro_types/f1/mean,test_pretraining/micro/recall/mean,test_incremental/micro/precision/mean,test_incremental/macro_types/precision/mean,test_pretraining/micro/precision/std,test_incremental/macro_example/f1/std,test_pretraining/macro_example/precision/std,test_incremental/macro_example_exclusive/f1/std,test_pretraining/macro_types/precision/std,test/micro/precision/std,threshold_pretraining/std,test_incremental_only/micro/f1/std,test_incremental/macro_types/f1/std,test_incremental/micro/recall/std,test_pretraining/macro_example/recall/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental_only/macro_types/recall/std,threshold_incremental/std,test_pretraining/macro_types/f1/std,test_incremental_only/macro_types/f1/std,test/macro_types/f1/std,test/macro_example/f1/std,test/macro_example/precision/std,test_incremental_other-health/macro_types/f1/std,test_incremental_only/micro/precision/std,test/micro/f1/std,test/macro_types/recall/std,test/macro_types/precision/std,test_incremental_other-health-treatment/macro_types/recall/std,test/micro/recall/std,test_pretraining/macro_types/recall/std,test_incremental_only/macro_types/precision/std,test_incremental/macro_example_exclusive/precision/std,epoch/std,test_pretraining/macro_example/f1/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_other-health-treatment/macro_types/precision/std,test_incremental_only/micro/recall/std,test_incremental/micro/f1/std,test_incremental_other-health-malady/macro_types/f1/std,test_incremental_other-health-malady/macro_types/precision/std,test/macro_example/recall/std,test_incremental/macro_example/recall/std,test_incremental_only/macro_example/f1/std,test_incremental/macro_example/precision/std,test_incremental_other-health/macro_types/recall/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental_other-health/macro_types/precision/std,test_incremental_other-health-malady/macro_types/recall/std,test_pretraining/micro/f1/std,test_incremental/macro_types/recall/std,test_incremental_only/macro_example/precision/std,test_incremental_only/macro_example/recall/std,test_incremental_other-health-treatment/macro_types/f1/std,test_pretraining/micro/recall/std,test_incremental/micro/precision/std,test_incremental/macro_types/precision/std
box_adapter_bert_ms,0.6003449360529581,0.02312285142640273,0.5890036225318909,0.7811671098073324,0.7248441576957703,0.6003449360529581,0.26,0.04056859761476517,0.48633044958114624,0.7444444497426351,0.8030467629432678,0.7444444894790649,0.7055555979410807,0.7055555780728658,0.9899999999999999,0.6959632039070129,0.18105354780952135,0.6959632039070129,0.6795694430669149,0.5890036225318909,0.8245614767074585,0.020884722471237183,0.6832085649172465,0.6693072319030762,0.7248441576957703,0.7444444497426351,0.7926099300384521,0.6693072319030762,0.11824904692669709,0.8222222725550333,7.0,0.6795694430669149,0.7055555979410807,0.01614499371498823,0.7055555582046509,0.08117522795995076,0.27654005214571953,0.2203531057263414,0.8030467629432678,0.022035848970214527,0.020884722471237183,0.024338101347287495,0.7833333611488342,0.7055555979410807,0.8703703880310059,0.6666666766007742,0.6832085649172465,0.7314815521240234,0.020884722471237183,0.020884722471237183,0.03154050496717294,0.7926099300384521,0.042928079764048256,0.36895615855852765,0.00030771086684916904,0.00043384352489565423,0.00039217232392467055,0.01465661905010206,0.005771906931479325,0.00030771086684916904,0.0,0.001994888225500366,0.08233785071310575,0.017347200118622796,0.0003728404507718769,0.01734723352396079,0.03469440023724554,0.0346944336425826,0.0,0.0030392854467375433,0.19478838527332473,0.0030392854467375433,0.00038965430610226085,0.00039217232392467055,0.0,0.0010269684645721297,0.0003501881401598782,0.0014160808283226935,0.005771906931479325,0.17105337499105872,0.0004062613804460262,0.0014160808283226935,0.14141195583150024,0.026787893233585863,0.0,0.00038965430610226085,0.03469440023724554,0.009980920966883886,0.03469442409820874,0.0018915634332980474,0.3145787636013071,0.2888089562977064,0.0003728404507718769,0.0005134847542444249,0.0010269684645721297,0.0007929334232448886,0.0,0.03469440023724554,0.0,0.24037008723511322,0.0003501881401598782,0.023129682876138667,0.0010269684645721297,0.0010269684645721297,0.01923157845588464,0.0004062613804460262,0.0010003198051385619,0.09427464792061074
classifier_adapter_bert_ms,0.8423881928126017,0.022102851420640945,0.8587082227071127,0.746708075205485,0.8444833755493164,0.8423881928126017,0.33,0.5333741704622904,0.6541324257850647,0.8972222407658895,0.8632138172785441,0.8972222606341044,0.9277778069178263,0.9277777870496114,0.11666666666666665,0.8315412203470866,0.5352048774560293,0.8315412203470866,0.8609527349472046,0.8587082227071127,0.8188976645469666,0.3845718502998352,0.8496551712354025,0.8190141717592875,0.8444833755493164,0.9666666587193807,0.8570777972539266,0.8190141717592875,0.386920432249705,0.6398148735364279,9.666666666666666,0.8609527349472046,0.6467647552490234,0.4233006338278453,0.9277777671813965,0.6376299858093262,0.4953809678554535,0.3505402207374573,0.8632138172785441,0.026558130979537964,0.019144491602977116,0.01893877113858859,0.8666666746139526,0.49722225467363995,0.7761194109916687,0.8888888756434122,0.8496551712354025,0.9074074625968933,0.014717974079151949,0.027462588002284367,0.5744992395242056,0.8570777972539266,0.5019727647304535,0.5166534384091696,0.007578619715943743,0.00044391585925922884,0.002757326963050674,0.01499690814145607,0.004628145771588002,0.007578619715943743,0.0,0.09061943003814105,0.045067525875542906,0.04110735221846155,0.0007876101045638705,0.04110731798293797,0.08221470443692305,0.08221469033994616,0.10969655114602889,0.0006460288444003165,0.09340537960050352,0.0006460288444003165,0.0010224818708024586,0.002757326963050674,0.0,0.10964253867311456,0.0034077969057118743,0.003355681425786939,0.004628145771588002,0.0333333313465162,0.0009627190302176657,0.003355681425786939,0.11338913308223574,0.004243149778332253,0.5773502691896258,0.0010224818708024586,0.025102941633611014,0.16465013677289708,0.08221472457546865,0.0723016563033956,0.04635312894670193,0.06399046604707789,0.0007876101045638705,0.0012167936248328008,0.0007430568849202509,0.00012559853672742754,0.0,0.009622521119338184,0.0,0.13471503757489037,0.0034077969057118743,0.05480979624510261,0.00028483009393804546,0.002433588319525702,0.14584404205465906,0.0009627190302176657,0.10338352241195709,0.07559274443904102
kenn_bottom_up_adapter_bert_ms,0.846998373667399,0.02459339735408624,0.8592673540115356,0.8308470447858175,0.8474271496136984,0.846998373667399,0.33,0.553846667210261,0.6676186124483744,0.8305555582046509,0.8619393706321716,0.8305556178092957,0.7944445013999939,0.7944444616635641,0.05666666666666667,0.8301534056663513,0.5794166823228201,0.8301534056663513,0.8605989019076029,0.8592673540115356,0.8188976645469666,0.4304877618948619,0.8512312372525533,0.8135720094045004,0.8474271496136984,0.7777777910232544,0.8555165330568949,0.8135720094045004,0.4590432047843933,0.8314815560976664,29.0,0.8605989019076029,0.7671267787615458,0.4975617428620656,0.7944444417953491,0.6621044874191284,0.5319148798783621,0.4205246915419896,0.8619393706321716,0.024584770823518436,0.022707253694534302,0.024612179026007652,0.8666666746139526,0.7416666944821676,0.7761194109916687,0.8111111124356588,0.8512312372525533,0.8185185392697653,0.02195362498362859,0.023515868932008743,0.6041043400764465,0.8555165330568949,0.5539786219596863,0.5647352933883667,0.005669953088183026,0.0014176271799523378,0.004129639330369286,0.047892214645210825,0.004283414948254336,0.005669953088183026,0.0,0.12666895996719618,0.06381711320481208,0.03757707407689549,0.0007399916648864746,0.03757707407689549,0.07515418119954811,0.07515415035683247,0.020816659994661327,0.003492021191380252,0.10315306736923267,0.003492021191380252,0.002404641703307842,0.004129639330369286,0.0,0.1268424385894919,0.003240281160315697,0.003067528300553243,0.004283414948254336,0.10183500937362319,0.000880019762491971,0.003067528300553243,0.10494399547834382,0.0603701038855577,1.0,0.002404641703307842,0.07757252907498294,0.06412781015038485,0.07515418119954811,0.08660810933707988,0.175594564339901,0.1996161442486165,0.0007399916648864746,0.0011122961794447076,0.0022961766496004516,0.0017869796406293642,0.0,0.07949494511484329,0.0,0.10715167491612139,0.003240281160315697,0.05010275662365054,0.0023530808019483766,0.0022245922211986077,0.05961919624361447,0.000880019762491971,0.10305509588223026,0.06996264523250773
kenn_hybrid_adapter_bert_ms,0.8399524291356405,0.024172970404227574,0.856202244758606,0.8166435758272806,0.8439928491910299,0.8399524291356405,0.33,0.45025352636973065,0.6137281854947408,0.8055555621782938,0.8615173101425171,0.8055556217829386,0.7444444894790649,0.74444446961085,0.30333333333333334,0.8274394472440084,0.485209325949351,0.8274394472440084,0.8588463266690572,0.856202244758606,0.8188976645469666,0.33601703743139905,0.8473522265752157,0.8115311861038208,0.8439928491910299,0.700000007947286,0.8549310366312662,0.8115311861038208,0.37490342060724896,0.828703761100769,29.0,0.8588463266690572,0.7256817817687988,0.44597701728343964,0.7444444497426351,0.5804697473843893,0.4341297745704651,0.3038298139969508,0.8615173101425171,0.023844761153062183,0.021480465307831764,0.024529955660303433,0.8666666746139526,0.7083333730697632,0.7761194109916687,0.7888888915379842,0.8473522265752157,0.7851852178573608,0.020966946457823116,0.022035848970214527,0.5073015888532003,0.8549310366312662,0.46395541230837506,0.5086420973141988,0.011746209617526687,0.0012416827052632317,0.005996534732058313,0.041948141751480934,0.00825799374868429,0.011746209617526687,0.0,0.19179866949659466,0.11598878228229853,0.0419435438511419,0.0008191773608632318,0.0419435438511419,0.0838870324384907,0.08388706007038474,0.40525712002793157,0.005745905408116555,0.1977777253717045,0.005745905408116555,0.0034205300439257855,0.005996534732058313,0.0,0.18798320220248346,0.006457536696626043,0.003423971141570666,0.00825799374868429,0.03333333134651628,0.0009822705602875116,0.003423971141570666,0.20232048397105293,0.05010278746636541,1.0,0.0034205300439257855,0.07639149967117823,0.2982398791397606,0.08388702849107249,0.14348206625066068,0.1517812315853126,0.12910476027591464,0.0008191773608632318,0.0012415455955551383,0.0022612177401649847,0.001483061825025669,0.0,0.07216876644233051,0.0,0.13471505723932445,0.006457536696626043,0.05592472776646615,0.0021362246291366646,0.0024830893407599584,0.2564741598409743,0.0009822705602875116,0.16549229415404376,0.13488029232167414
kenn_top_down_adapter_bert_ms,0.8445361852645874,0.024037270496288936,0.8595322569211324,0.812059243520101,0.8469979763031006,0.8445361852645874,0.33,0.5007281601428986,0.636417826016744,0.7861110965410868,0.8611610333124796,0.7861111760139465,0.7055555979410807,0.7055555383364359,0.4366666666666667,0.8280427853266398,0.5280902087688446,0.8280427853266398,0.8603410720825195,0.8595322569211324,0.8188976645469666,0.41049307584762573,0.8494491378466288,0.8099438746770223,0.8469979763031006,0.6555555661519369,0.8544756770133972,0.8099438746770223,0.44852833449840546,0.8398148616154989,32.0,0.8603410720825195,0.7041592796643575,0.5138001441955566,0.7055555780728658,0.6240847607453665,0.5062007208665212,0.38325653473536175,0.8611610333124796,0.02326919821401437,0.020843390375375748,0.02485884850223859,0.8666666746139526,0.7027778228123983,0.7761194109916687,0.7555555502573649,0.8494491378466288,0.7592592835426331,0.020802499105532963,0.020884722471237183,0.5230174014965693,0.8544756770133972,0.5329541265964508,0.5577253997325897,0.012083539423845461,0.0010931788338319171,0.005197877587714914,0.03693117340033008,0.00863996511724441,0.012083539423845461,0.0,0.17612747184819597,0.10187637961088349,0.03367876799691201,0.0006975338886143765,0.03367875079054635,0.06735751878745176,0.06735751878745176,0.2730079363925769,0.004670569613895318,0.1767496830826153,0.004670569613895318,0.0027626334807556987,0.005197877587714914,0.0,0.19304497240944116,0.006299884489134725,0.0027492696258919554,0.00863996511724441,0.01924502503227447,0.0007887404066220655,0.0027492696258919554,0.21167892621218862,0.040950621162844404,6.082762530298219,0.0027626334807556987,0.06493902458863038,0.3447327735568389,0.06735753599382403,0.1382362345236356,0.09604045806706137,0.08454472985462841,0.0006975338886143765,0.000996904791084256,0.0019222192167536508,0.0012121543311488894,0.0,0.06254627113257309,0.0,0.12619794522222935,0.006299884489134725,0.044905035466801926,0.0018513934597999403,0.0019938085067689633,0.2531196327773297,0.0007887404066220655,0.17530972544952858,0.14111929768813689
