name,instance,run_id,test_incremental_person-religious_leader/macro_types/precision,test_incremental_only/macro_types/precision,test_pretraining/macro_example/precision,test_incremental_person/macro_types/recall,test_incremental/macro_types/precision,test/micro/recall,test_incremental_only/macro_example/recall,test/macro_example/f1,test_incremental_only/micro/recall,test_incremental/macro_example/precision,test_incremental_person-author/macro_types/f1,test/macro_types/f1,test_pretraining/macro_types/f1,test_incremental_person-coach/macro_types/recall,test_incremental/micro/recall,test_pretraining/macro_example/f1,test_incremental_person/macro_types/f1,test_incremental_person-doctor/macro_types/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_person-artist/macro_types/recall,test/micro/precision,test_pretraining/micro/f1,test_incremental_person-athlete/macro_types/precision,test_incremental_person-engineer/macro_types/recall,test_incremental_person-politician/macro_types/recall,test_incremental/macro_example/recall,test_incremental_person-actor/macro_types/precision,test_incremental_person-director/macro_types/recall,threshold_pretraining,test/macro_types/precision,test_incremental_only/macro_example/f1,test_incremental_only/macro_types/recall,test_incremental_person-monarch/macro_types/f1,test_incremental_person-artist/macro_types/precision,threshold_incremental,test_incremental_person-monarch/macro_types/precision,test_incremental_person-politician/macro_types/precision,test_pretraining/micro/recall,test_incremental_person-architect/macro_types/recall,test_incremental_person-religious_leader/macro_types/recall,test/macro_example/recall,test_incremental_person-author/macro_types/precision,test_incremental_person-soldier/macro_types/f1,test_incremental_person-director/macro_types/f1,test_incremental/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental_person-doctor/macro_types/precision,test_pretraining/micro/precision,test_incremental_person-author/macro_types/recall,test_incremental_person-politician/macro_types/f1,test/micro/f1,test_incremental_person-musician/macro_types/recall,test_incremental_person-architect/macro_types/f1,test_incremental_person-monarch/macro_types/recall,test_pretraining/macro_types/precision,test_incremental_person-actor/macro_types/recall,test_incremental_only/micro/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental_person-soldier/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test/macro_example/precision,test_pretraining/macro_types/recall,test_incremental_person-musician/macro_types/f1,test_incremental_person-athlete/macro_types/f1,test_incremental/macro_example_exclusive/precision,test_incremental_person-director/macro_types/precision,test_incremental/micro/f1,test_incremental_person-artist/macro_types/f1,epoch,test_incremental_person-engineer/macro_types/f1,test_incremental_only/micro/f1,test_incremental/micro/precision,test_incremental/macro_example_exclusive/recall,test_incremental/macro_example/f1,test_incremental_person-engineer/macro_types/precision,test/macro_types/recall,test_incremental_person-coach/macro_types/f1,test_incremental_person-athlete/macro_types/recall,test_incremental_only/macro_example/precision,test_incremental_person/macro_types/precision,test_incremental_person-doctor/macro_types/recall,test_incremental_person-musician/macro_types/precision,test_incremental/macro_types/f1,test_incremental_person-architect/macro_types/precision,test_incremental_person-religious_leader/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_person-actor/macro_types/f1,test_incremental_person-coach/macro_types/precision,test_incremental_person-soldier/macro_types/precision,test_incremental_only/macro_types/f1
kenn_horizontal_adapter_bert_ms,2,47h2b2h3,0.4897959232330322,0.45987486839294434,0.8529691696166992,0.969365417957306,0.4916549324989319,0.8449583053588867,0.07912316918373108,0.8684038519859314,0.5174262523651123,0.12621203064918518,0.21276596188545227,0.8102338314056396,0.8102338314056396,0.9666666388511658,0.6891105771064758,0.8684038519859314,0.9526881575584412,0.5,0.5489581227302551,0.2822580635547638,0.8092212677001953,0.8267037868499756,0.8947368264198303,0.7317073345184326,0.5820895433425903,0.11520031839609146,0.34285715222358704,0.7333333492279053,0.375,0.8055307269096375,0.08060554414987564,0.6520729064941406,0.6881721019744873,0.6603773832321167,0.06999999999999999,0.5333333611488342,0.5571428537368774,0.8449583053588867,0.8999999761581421,0.800000011920929,0.8844074606895447,0.2631579041481018,0.45714282989501953,0.4536082446575165,0.6732257604598999,0.7575224041938782,0.3793103396892547,0.8092212677001953,0.1785714328289032,0.5693430304527283,0.8267037868499756,0.5588235259056091,0.782608687877655,0.9696969985961914,0.8055307269096375,0.3870967626571655,0.36657169461250305,0.5594392418861389,0.774193525314331,0.5388625860214233,0.8529691696166992,0.8149920701980591,0.4175824224948883,0.6666666865348816,0.7937272191047668,0.3283582031726837,0.6075485944747925,0.3954802453517914,34,0.19417476654052737,0.4291272759437561,0.543250322341919,0.7244763970375061,0.12045504152774812,0.11194030195474625,0.8149920701980591,0.6823528409004211,0.53125,0.08214451372623444,0.9365750551223756,0.7333333492279053,0.3333333432674408,0.5682895183563232,0.692307710647583,0.6075949668884277,0.8844074606895447,0.3636363744735718,0.5272727012634277,0.3243243098258972,0.5393633842468262
kenn_horizontal_adapter_bert_ms,1,v3jkd9v2,0.71875,0.5881694555282593,0.894838809967041,0.969365417957306,0.6113964319229126,0.8267626762390137,0.06568081676959991,0.8841561675071716,0.3887399435043335,0.1404256522655487,0.03448276221752167,0.8087648153305054,0.8087648153305054,1.0,0.6093100309371948,0.8841561675071716,0.9526881575584412,0.47058823704719543,0.500610888004303,0.2016129046678543,0.8654761910438538,0.845676600933075,0.9189189076423644,0.8048780560493469,0.3731343150138855,0.10592421889305116,0.12941177189350128,0.30000001192092896,0.375,0.834040641784668,0.07350653409957886,0.5169997811317444,0.8249999284744263,0.7575757503509521,0.23,0.7021276354789734,0.5555555820465088,0.8267626762390137,0.8333333134651184,0.7666666507720947,0.8737254738807678,0.0882352963089943,0.4285714030265808,0.41860467195510864,0.5471574664115906,0.7594338655471802,0.5714285969734192,0.8654761910438538,0.02142857201397419,0.4464285671710968,0.845676600933075,0.44117647409439087,0.8771929740905762,1.0,0.834040641784668,0.17741934955120087,0.4965753555297851,0.5683255195617676,0.3870967626571655,0.4473143815994262,0.894838809967041,0.7849758267402649,0.5660377740859985,0.6732673645019531,0.8831145763397217,0.692307710647583,0.6486725807189941,0.31847134232521057,27,0.4150943458080292,0.43609023094177246,0.6934720873832703,0.6661404371261597,0.12075896561145782,0.27966102957725525,0.7849758267402649,0.7692307829856873,0.53125,0.08344931900501251,0.9365750551223756,0.4000000059604645,0.7894737124443054,0.5774959921836853,0.92592591047287,0.7419354915618896,0.8737254738807678,0.1496598720550537,0.625,0.47999998927116394,0.5502930283546448
kenn_horizontal_adapter_bert_ms,0,2a6paogg,0.46296295523643494,0.41588616371154785,0.8454012870788574,0.969365417957306,0.45059874653816223,0.8504548668861389,0.08551380038261414,0.86549973487854,0.5563002824783325,0.12232080847024918,0.21576765179634097,0.8066555857658386,0.8066555857658386,1.0,0.7132169604301453,0.86549973487854,0.9526881575584412,0.4415584206581116,0.5841376781463623,0.3870967626571655,0.7938782572746277,0.8211932182312012,0.8666666746139526,0.8048780560493469,0.7014925479888916,0.118799090385437,0.343137264251709,0.5666666626930237,0.375,0.7957554459571838,0.0857710912823677,0.6649720072746277,0.7045454382896423,0.4897959232330322,0.1,0.5636363625526428,0.47959184646606445,0.8504548668861389,0.8999999761581421,0.8333333134651184,0.8865771293640137,0.2574257552623749,0.5306122899055481,0.2905982732772827,0.6852648854255676,0.7580204606056213,0.3617021143436432,0.7938782572746277,0.18571428954601288,0.5696969628334045,0.8211932182312012,0.4117647111415863,0.7105262875556946,0.939393937587738,0.7957554459571838,0.5645161271095276,0.3469899594783783,0.5859005451202393,0.8387096524238586,0.5823854804039001,0.8454012870788574,0.8178585767745972,0.23140496015548703,0.7155963182449341,0.769256055355072,0.19540229439735413,0.597493052482605,0.4324324131011963,28,0.22448977828025815,0.4273944199085235,0.514080286026001,0.7471084594726562,0.1205342411994934,0.1304347813129425,0.8178585767745972,0.6976743936538696,0.609375,0.08602992445230484,0.9365750551223756,0.5666666626930237,0.16091954708099365,0.5436911582946777,0.5869565010070801,0.5952380895614624,0.8865771293640137,0.4268292486667633,0.5357142686843872,0.3880597054958343,0.5117278695106506
kenn_hybrid_adapter_bert_ms,2,egad6fyf,0.6285714507102966,0.6122257709503174,0.8919860124588013,0.969365417957306,0.633849024772644,0.8388931155204773,0.07498259842395782,0.8861217498779297,0.4745308458805084,0.12232080101966858,0.13924050331115723,0.822280764579773,0.822280764579773,0.8999999761581421,0.6625103950500488,0.8861217498779297,0.9526881575584412,0.6363636255264282,0.5537010431289673,0.27419355511665344,0.850826621055603,0.8448176980018616,1.0,0.9512194991111756,0.5223880410194397,0.1121731847524643,0.6944444179534912,0.5666666626930237,0.375,0.8393864631652832,0.08130195736885071,0.6109712719917297,0.6829268336296082,0.8947368264198303,0.13,0.5714285969734192,0.6034482717514038,0.8388931155204773,0.8666666746139526,0.7333333492279053,0.8803340196609497,0.6111111044883728,0.43396228551864624,0.3008849620819092,0.6348642110824585,0.7359668016433716,0.5833333134651184,0.850826621055603,0.07857143133878708,0.559999942779541,0.8448176980018616,0.529411792755127,0.8524589538574219,0.8484848737716675,0.8393864631652832,0.4032258093357086,0.4745308458805084,0.6046603918075562,0.7419354915618896,0.5106635093688965,0.8919860124588013,0.8058583736419678,0.6428571939468384,0.6086956262588501,0.7692559957504272,0.20481927692890167,0.6581338047981262,0.4197531044483185,28,0.3333333432674408,0.4745308458805084,0.6538146138191223,0.7054392099380493,0.11702743172645567,0.2020725458860397,0.8058583736419678,0.7297297716140747,0.4375,0.08878450840711594,0.9365750551223756,0.699999988079071,0.8181818127632141,0.6343562006950378,0.8387096524238586,0.6769230365753174,0.8803340196609497,0.5102040767669678,0.6136363744735718,0.30666667222976685,0.6115978956222534
kenn_top_down_adapter_bert_ms,2,2wb2m21i,0.5365853905677795,0.48623010516166687,0.8462520837783813,0.969365417957306,0.5162531137466431,0.8339651226997375,0.07078404724597931,0.861659049987793,0.43967828154563904,0.12798655033111572,0.08743169158697128,0.804679811000824,0.804679811000824,0.8666666746139526,0.6408977508544922,0.861659049987793,0.9526881575584412,0.5671641826629639,0.5350469946861267,0.24193547666072843,0.7971014380455017,0.8151167035102844,0.7647058963775635,0.9268292784690856,0.447761207818985,0.109430193901062,0.6875,0.5333333611488342,0.375,0.8113874197006226,0.0785629078745842,0.5759780406951904,0.5869565606117249,0.6976743936538696,0.18000000000000002,0.4576271176338196,0.5882353186607361,0.8339651226997375,0.8666666746139526,0.7333333492279053,0.8776373863220215,0.1860465109348297,0.3818182051181793,0.3137255012989044,0.6022038459777832,0.7419774532318115,0.5135135054588318,0.7971014380455017,0.05714285746216774,0.508474588394165,0.8151167035102844,0.5,0.7647058963775635,0.8181818127632141,0.8113874197006226,0.35483869910240173,0.308270663022995,0.6011059284210205,0.6774193644523621,0.48206955194473267,0.8462520837783813,0.7980821132659912,0.4657534062862396,0.5306122303009033,0.8048869371414185,0.2222222238779068,0.5627737641334534,0.35928142070770264,29,0.15230460464954376,0.3624309301376343,0.5016265511512756,0.6881890296936035,0.11798319220542908,0.08296943455934525,0.7980821132659912,0.7647058963775635,0.40625,0.08826258778572083,0.9365750551223756,0.6333333253860474,0.43589743971824646,0.5559259057044983,0.6842105388641357,0.6197183132171631,0.8776373863220215,0.4680850803852082,0.6842105388641357,0.26582279801368713,0.5273125767707825
kenn_bottom_up_adapter_bert_ms,2,2d53g5e3,0.6470588445663452,0.6467233300209045,0.9001333713531494,0.969365417957306,0.6660467386245728,0.8326383829116821,0.06880654394626617,0.8883472681045532,0.4302949011325836,0.1274356245994568,0.11688312888145448,0.8199295401573181,0.8199295401573181,0.8666666746139526,0.6350789666175842,0.8883472681045532,0.9526881575584412,0.6101694703102112,0.5152754187583923,0.22580644488334656,0.8657863736152649,0.8488888740539551,1.0,0.8780487775802612,0.4776119291782379,0.10838304460048676,0.7419354915618896,0.36666667461395264,0.375,0.8470525741577148,0.07565978914499283,0.5598111152648926,0.75,0.875,0.16,0.692307710647583,0.5925925970077515,0.8326383829116821,0.8999999761581421,0.7333333492279053,0.8768656849861145,0.6428571343421936,0.4395604431629181,0.25,0.5871147513389587,0.7366726398468018,0.6206896305084229,0.8657863736152649,0.06428571790456772,0.5289255976676941,0.8488888740539551,0.5,0.8852458596229553,0.8181818127632141,0.8470525741577148,0.3709677457809448,0.5194174647331238,0.572274923324585,0.6451612710952759,0.46860191226005554,0.9001333713531494,0.7944895029067993,0.641509473323822,0.5617977380752563,0.8014223575592041,0.18965516984462735,0.666085422039032,0.3589743375778198,29,0.36548224091529846,0.47067445516586304,0.7002750039100647,0.6816036105155945,0.11713967472314836,0.2307692319154739,0.7944895029067993,0.7878787517547607,0.390625,0.08402922749519348,0.9365750551223756,0.6000000238418579,0.8947368264198303,0.6240949630737305,0.8709677457809448,0.6875,0.8768656849861145,0.49462366104125977,0.7222222089767456,0.3333333432674408,0.6001368761062622
kenn_hybrid_adapter_bert_ms,1,2imaiue7,0.5555555820465088,0.6442741751670837,0.9062612056732178,0.969365417957306,0.6637609004974365,0.8212661147117615,0.059145212173461914,0.8872106671333313,0.34986594319343567,0.12966540455818176,0.08917197585105896,0.8074241876602173,0.8074241876602173,1.0,0.5852036476135254,0.8872106671333313,0.9526881575584412,0.06451613456010818,0.45295795798301697,0.19354838132858276,0.8758843541145325,0.8476963639259338,0.8181818127632141,0.9512194991111756,0.447761207818985,0.10204212367534636,0.6428571343421936,0.20000000298023224,0.375,0.8465083241462708,0.06650949269533157,0.4576629996299744,0.7397260665893555,0.8888888955116272,0.17,0.675000011920929,0.4838709533214569,0.8212661147117615,0.800000011920929,0.8333333134651184,0.868944525718689,0.4117647111415863,0.42307692766189575,0.2666666805744171,0.4917765259742737,0.7182307243347168,1.0,0.8758843541145325,0.05000000074505806,0.4651162624359131,0.8476963639259338,0.29411765933036804,0.8421052694320679,0.8181818127632141,0.8465083241462708,0.29032257199287415,0.5315682291984558,0.5173775553703308,0.35483869910240173,0.4028041362762451,0.9062612056732178,0.7717899084091187,0.444444477558136,0.24000000953674316,0.8154449462890625,0.4000000059604645,0.6497462391853333,0.317880779504776,15,0.4615384340286255,0.4219886660575866,0.7302904725074768,0.641726553440094,0.1142071932554245,0.3046875,0.7717899084091187,0.6818181872367859,0.140625,0.07596845179796219,0.9365750551223756,0.03333333507180214,0.9090909361839294,0.5649701356887817,0.8888888955116272,0.6666667461395264,0.868944525718689,0.3999999761581421,0.517241358757019,0.523809552192688,0.5351674556732178
kenn_top_down_adapter_bert_ms,1,2wply0vk,0.7586206793785095,0.5877181887626648,0.9027429819107056,0.969365417957306,0.6109753251075745,0.8246777653694153,0.0637265145778656,0.8872718214988708,0.3739946484565735,0.13584434986114502,0.02484472095966339,0.8066651225090027,0.8066651225090027,0.9333333373069764,0.6001662611961365,0.8872718214988708,0.9526881575584412,0.5090909600257874,0.5012689232826233,0.2016129046678543,0.8735193610191345,0.8483962416648865,0.8500000238418579,0.8780487775802612,0.2985074520111084,0.10466580837965012,0.3030303120613098,0.30000001192092896,0.375,0.8339403867721558,0.07360315322875977,0.4996375441551209,0.8571428656578064,0.92592591047287,0.32,0.75,0.6451612710952759,0.8246777653694153,0.8333333134651184,0.7333333492279053,0.8723220825195312,0.095238097012043,0.375,0.3396226763725281,0.5309528112411499,0.7435557246208191,0.5600000023841858,0.8735193610191345,0.014285714365541937,0.4081632792949677,0.8483962416648865,0.3529411852359772,0.8064516186714172,1.0,0.8339403867721558,0.16129031777381897,0.5314285755157471,0.5932070016860962,0.29032257199287415,0.4340047538280487,0.9027429819107056,0.7811175584793091,0.4800000488758087,0.6538462042808533,0.8543034791946411,0.3913043439388275,0.6560654640197754,0.3311258554458618,29,0.3913043737411499,0.439024418592453,0.7234469056129456,0.658226490020752,0.11823415756225586,0.251748263835907,0.7811175584793091,0.7567567229270935,0.53125,0.08710276335477829,0.9365750551223756,0.46666666865348816,0.75,0.5681601762771606,0.78125,0.7457627058029175,0.8723220825195312,0.21052631735801697,0.6363636255264282,0.529411792755127,0.5401104092597961
kenn_bottom_up_adapter_bert_ms,1,356n475u,0.7096773982048035,0.6696540713310242,0.9119868278503418,0.969365417957306,0.6874488592147827,0.8260045647621155,0.0647413581609726,0.8921223878860474,0.3833780288696289,0.13656923174858093,0.04081632941961289,0.8163077235221863,0.8163077235221863,1.0,0.6059850454330444,0.8921223878860474,0.9526881575584412,0.4399999976158142,0.4958233535289765,0.20967741310596463,0.8890249133110046,0.8563568592071533,0.9444444179534912,0.8536585569381714,0.31343284249305725,0.10540229082107544,0.6875,0.30000001192092896,0.375,0.8521482944488525,0.0728035643696785,0.5097296833992004,0.8799999952316284,0.9285714030265808,0.26,0.7857142686843872,0.5833333134651184,0.8260045647621155,0.8333333134651184,0.7333333492279053,0.8731049299240112,0.4285714328289032,0.42307692766189575,0.375,0.5403720140457153,0.7482370734214783,0.550000011920929,0.8890249133110046,0.02142857201397419,0.4077669680118561,0.8563568592071533,0.44117647409439087,0.819672167301178,1.0,0.8521482944488525,0.17741934955120087,0.6412556171417236,0.5663506984710693,0.35483869910240173,0.4409162998199463,0.9119868278503418,0.7833602428436279,0.6000000238418579,0.6800000071525574,0.8588621616363525,0.5,0.6870876550674438,0.34210526943206787,29,0.510948896408081,0.47986578941345215,0.7932535409927368,0.6628581881523132,0.11897854506969452,0.3645833432674408,0.7833602428436279,0.7692307829856873,0.53125,0.08315936475992203,0.9365750551223756,0.36666667461395264,0.9375,0.605101466178894,0.8064516186714172,0.7213114500045776,0.8731049299240112,0.2820512652397156,0.625,0.523809552192688,0.5788490176200867
kenn_hybrid_adapter_bert_ms,0,j4x7rd4y,0.4035087823867798,0.4575693607330322,0.8731896877288818,0.969365417957306,0.48950308561325073,0.8421152234077454,0.08193574845790863,0.8768694996833801,0.4973190426826477,0.11450910568237305,0.25806450843811035,0.8046124577522278,0.8046124577522278,1.0,0.6766417026519775,0.8768694996833801,0.9526881575584412,0.48000001907348633,0.5568092465400696,0.2822580635547638,0.8143328428268433,0.8279910683631897,0.6800000071525574,1.0,0.5970149040222168,0.11550188064575195,0.484375,0.30000001192092896,0.375,0.8050183653831482,0.08175836503505707,0.6035405397415161,0.6407766938209534,0.7291666865348816,0.11,0.4714285731315613,0.4040403962135315,0.8421152234077454,0.8999999761581421,0.7666666507720947,0.8805804252624512,0.52173912525177,0.5250000357627869,0.19354841113090515,0.6279288530349731,0.7232376933097839,0.6000000238418579,0.8143328428268433,0.17142857611179352,0.4819277226924896,0.8279910683631897,0.3235294222831726,0.6067415475845337,1.0,0.8050183653831482,0.5,0.3709999918937683,0.5556064248085022,0.6774193644523621,0.558017373085022,0.8731896877288818,0.8042070865631104,0.3859649300575256,0.5964912176132202,0.7201294898986816,0.1428571492433548,0.6083707213401794,0.40697675943374634,15,0.25,0.424971342086792,0.5526137351989746,0.7263728380203247,0.11500335484743118,0.1428571492433548,0.8042070865631104,0.6315789818763733,0.53125,0.08158174157142639,0.9365750551223756,0.4000000059604645,0.47826087474823,0.5501419901847839,0.4576271176338196,0.5287356376647949,0.8805804252624512,0.4920634925365448,0.4615384638309479,0.4285714328289032,0.520514726638794
