name,instance,run_id,test_incremental_product-airplane/macro_types/f1,test_pretraining/micro/precision,test_pretraining/macro_types/precision,test_incremental_product-weapon/macro_types/f1,test_incremental_product-spacecraft/macro_types/f1,test_incremental_product-airplane/macro_types/precision,test/macro_types/recall,test_incremental_product/macro_types/f1,test_incremental_product-mobile_phone/macro_types/precision,test/macro_example/f1,test/macro_types/precision,test_incremental/micro/precision,test_incremental_only/macro_types/recall,test_incremental_product-airplane/macro_types/recall,test/micro/precision,test_incremental_only/micro/f1,test_incremental/macro_example/f1,test_incremental_only/macro_example/precision,test_incremental_only/macro_types/f1,test_incremental/macro_example/recall,test_incremental_product/macro_types/recall,test_incremental_product-computer/macro_types/recall,test_incremental_product-computer/macro_types/precision,test_incremental_product-computer/macro_types/f1,test_incremental/macro_types/f1,test_pretraining/macro_types/recall,test_incremental_product-camera/macro_types/f1,test_incremental_product-spacecraft/macro_types/precision,test_incremental_product-car/macro_types/precision,test_incremental_product-weapon/macro_types/recall,test_incremental/micro/f1,test_incremental_product-spacecraft/macro_types/recall,test_incremental_only/macro_example/f1,threshold_incremental,test_incremental/macro_types/recall,test_incremental_only/macro_types/precision,test_incremental_product-ship/macro_types/precision,test_pretraining/macro_example/recall,test_incremental_only/macro_example/recall,test_incremental_only/macro_example_exclusive/f1,epoch,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example_exclusive/precision,threshold_pretraining,test_incremental_product-ship/macro_types/f1,test_incremental_product-engine_device/macro_types/recall,test/macro_example/precision,test_pretraining/macro_types/f1,test_incremental/macro_example_exclusive/recall,test_incremental_product-ship/macro_types/recall,test_incremental_product-mobile_phone/macro_types/f1,test/macro_types/f1,test_pretraining/micro/recall,test_incremental_product-camera/macro_types/recall,test_pretraining/macro_example/precision,test_incremental_product-weapon/macro_types/precision,test_incremental_product-car/macro_types/f1,test_incremental_only/micro/recall,test_incremental_product-car/macro_types/recall,test_incremental_product-mobile_phone/macro_types/recall,test/micro/f1,test_incremental/micro/recall,test_incremental_product-instrument/macro_types/recall,test/macro_example/recall,test_pretraining/micro/f1,test_pretraining/macro_example/f1,test_incremental/macro_example_exclusive/f1,test_incremental_product/macro_types/precision,test/micro/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental_product-camera/macro_types/precision,test_incremental_product-engine_device/macro_types/precision,test_incremental/macro_types/precision,test_incremental_product-instrument/macro_types/precision,test_incremental_only/micro/precision,test_incremental/macro_example/precision,test_incremental_product-instrument/macro_types/f1,test_incremental_product-engine_device/macro_types/f1
no_init_box_kenn_horizontal_adapter_bert_ms,2,vpl5cl8r,0.6808510422706604,0.9069870114326476,0.8724769353866577,0.5,0.7599999904632568,1.0,0.7455734014511108,0.9280821681022644,0.0,0.9029797315597534,0.8724769353866577,0.9778324961662292,0.39941269159317017,0.5161290168762207,0.9069870114326476,0.5688487887382507,0.07981010526418686,0.04384133592247963,0.5295503735542297,0.06918348371982574,0.8827361464500427,0.4634146392345429,0.9047619104385376,0.6129031777381897,0.5712875723838806,0.7455734014511108,0.7755101919174194,0.949999988079071,1.0,0.3333333432674408,0.7731256484985352,0.6333333253860474,0.04384133592247963,0.01,0.44335120916366577,0.7854762077331543,1.0,0.882527232170105,0.04384133592247963,0.41999998688697815,44,0.8827361464500427,0.41999998688697815,0.25,0.4390243887901306,0.0,0.9244027137756348,0.8040486574172974,0.6476655602455139,0.28125,0.0,0.8040486574172974,0.8495045304298401,0.6333333253860474,0.9244027137756348,1.0,0.6956522464752197,0.4012738764286041,0.5333333611488342,0.0,0.8773052096366882,0.6392914652824402,0.6000000238418579,0.882527232170105,0.8773052096366882,0.9029797315597534,0.7471473813056946,0.9783393740653992,0.8495045304298401,0.41999998688697815,1.0,0.0,0.8030092716217041,1.0,0.9767441749572754,0.09429366886615752,0.75,0.0
no_init_box_kenn_horizontal_adapter_bert_ms,1,rcfctsyc,0.7586206197738647,0.9063941836357116,0.8696812391281128,0.7234042882919312,0.7234042882919312,0.8148148059844971,0.7516598105430603,0.9280821681022644,0.0,0.9037306904792786,0.8696812391281128,0.9690476059913636,0.43532243371009827,0.7096773982048035,0.9063941836357116,0.5951859951019287,0.08076256513595581,0.04732080549001694,0.5559309124946594,0.07092321664094925,0.8827361464500427,0.3414634168148041,0.875,0.4912280738353729,0.5934948921203613,0.7516598105430603,0.6956522464752197,1.0,1.0,0.5666666626930237,0.7819405198097229,0.5666666626930237,0.04732080921530723,0.01,0.4759964048862457,0.7689814567565918,1.0,0.8847599029541016,0.04732080549001694,0.45333331823349,51,0.8778501749038696,0.45333331823349,0.25,0.6382978558540344,0.0,0.9235328435897828,0.8063750267028809,0.6639522314071655,0.46875,0.0,0.8063750267028809,0.8515689373016357,0.5333333611488342,0.9235328435897828,1.0,0.7234042882919312,0.4331210255622864,0.5666666626930237,0.0,0.8781266212463379,0.6553945541381836,0.6000000238418579,0.8847599029541016,0.8781266212463379,0.9037306904792786,0.7560638785362244,0.9783393740653992,0.8515689373016357,0.45333331823349,1.0,0.0,0.7880140542984009,1.0,0.9510489702224731,0.09377174824476242,0.75,0.0
no_init_box_kenn_horizontal_adapter_bert_ms,0,96htf6ur,0.8064516186714172,0.905812919139862,0.8852174282073975,0.5714285969734192,0.75,0.8064516186714172,0.7614594101905823,0.9280821681022644,1.0,0.9044879078865052,0.8852174282073975,0.9595505595207214,0.4931401014328003,0.8064516186714172,0.905812919139862,0.6473029255867004,0.08344512432813644,0.05427975207567215,0.6270102858543396,0.07440268993377686,0.8827361464500427,0.5853658318519592,0.800000011920929,0.6760563254356384,0.6579831838607788,0.7614594101905823,0.8461538553237915,1.0,1.0,0.4000000059604645,0.801125705242157,0.6000000238418579,0.05427975207567215,0.01,0.5285579562187195,0.8606451749801636,1.0,0.8865866661071777,0.05427975207567215,0.5199999809265137,61,0.8892508149147034,0.5199999809265137,0.25,0.5777778029441833,0.0,0.9231269359588624,0.8186878561973572,0.6965254545211792,0.40625,0.2857142984867096,0.8186878561973572,0.855697751045227,0.7333333492279053,0.9231269359588624,1.0,0.7755101919174194,0.4968152940273285,0.6333333253860474,0.1666666716337204,0.8800424933433533,0.6876006722450256,0.6000000238418579,0.8865866661071777,0.8800424933433533,0.9044879078865052,0.7811768054962158,0.9783393740653992,0.855697751045227,0.5199999809265137,1.0,0.0,0.8713446855545044,1.0,0.9285714030265808,0.0949895605444908,0.75,0.0
no_init_box_kenn_hybrid_adapter_bert_ms,2,hprlzu2s,0.807692289352417,0.907869040966034,0.9047492742538452,0.5365853905677795,0.931034505367279,1.0,0.7859983444213867,0.9280821681022644,1.0,0.9088163375854492,0.9047492742538452,0.9751037359237672,0.6379197835922241,0.6774193644523621,0.907869040966034,0.7668592929840088,0.08835206180810928,0.0692414790391922,0.7715132832527161,0.0811876654624939,0.8827361464500427,0.5121951103210449,0.8399999737739563,0.6363636255264282,0.7876414656639099,0.7859983444213867,0.888888955116272,0.9642857313156128,1.0,0.36666667461395264,0.8522212505340576,0.8999999761581421,0.06818166375160217,0.01,0.6601758003234863,0.97588312625885,0.9545454382896424,0.8933136463165283,0.06715379655361176,0.6531802415847778,58,0.9071661233901978,0.6633332967758179,0.25,0.7777777314186096,0.5666666626930237,0.9248666763305664,0.8412035703659058,0.7600433826446533,0.65625,0.800000011920929,0.8412035703659058,0.8645747303962708,0.800000011920929,0.9248666763305664,1.0,0.7755101919174194,0.6337579488754272,0.6333333253860474,0.6666666865348816,0.8856931328773499,0.7568438053131104,0.6000000238418579,0.8933136463165283,0.8856931328773499,0.9088163375854492,0.8271133303642273,0.9783393740653992,0.8645747303962708,0.6433333158493042,1.0,1.0,0.9761064648628236,1.0,0.9707317352294922,0.09690327197313307,0.75,0.7234042882919312
no_init_box_kenn_top_down_adapter_bert_ms,2,qdpnboxj,0.8148147463798523,0.9072676301002502,0.9018559455871582,0.5714285969734192,0.9491525292396544,0.95652174949646,0.7962598204612732,0.9280821681022644,0.9615384340286256,0.9101775884628296,0.9018559455871582,0.9664031863212584,0.6984626650810242,0.7096773982048035,0.9072676301002502,0.8029465675354004,0.09034912288188934,0.07585247606039047,0.8081876635551453,0.08449316024780273,0.8827361464500427,0.5853658318519592,0.800000011920929,0.6760563254356384,0.8199372887611389,0.7962598204612732,0.9090909361839294,0.9655172228813172,1.0,0.4000000059604645,0.8677905797958374,0.9333333373069764,0.07479406893253326,0.01,0.7152148485183716,0.9588122963905334,0.9545454382896424,0.8963291645050049,0.07376478612422943,0.7165271043777466,62,0.9087947607040404,0.7266666889190674,0.25,0.7777777314186096,0.6333333253860474,0.9244606494903564,0.8457746505737305,0.790988028049469,0.65625,0.8928570747375488,0.8457746505737305,0.8684971332550049,0.8333333134651184,0.9244606494903564,1.0,0.8235293626785278,0.6942675113677979,0.699999988079071,0.8333333134651184,0.8874591588973999,0.7874395847320557,0.699999988079071,0.8963291645050049,0.8874591588973999,0.9101775884628296,0.8458089828491211,0.9783393740653992,0.8684971332550049,0.7066666483879089,1.0,0.949999988079071,0.9605875015258788,1.0,0.9519650936126708,0.09707725048065186,0.8235293626785278,0.7599999904632568
no_init_box_kenn_bottom_up_adapter_bert_ms,2,dhiag143,0.7599999904632568,0.9081810116767884,0.9064315557479858,0.5365853905677795,0.8518518805503845,1.0,0.7783826589584351,0.9280821681022644,1.0,0.9077969193458556,0.9064315557479858,0.9806451797485352,0.5929875373840332,0.6129032373428345,0.9081810116767884,0.737051784992218,0.08706482499837875,0.06437021493911743,0.7405290007591248,0.07881002128124237,0.8827361464500427,0.4878048896789551,0.9523809552192688,0.6451613306999207,0.7605292201042175,0.7783826589584351,0.8679245114326477,0.9583333134651184,1.0,0.36666667461395264,0.8397790193557739,0.7666666507720947,0.06339892745018005,0.02,0.6193282604217529,0.985808253288269,0.9473684430122375,0.8910229802131653,0.06245650723576546,0.6073616743087769,67,0.9104233980178832,0.6166666746139526,0.25,0.7058823704719543,0.5333333611488342,0.9252145886421204,0.8375411629676819,0.7377850413322449,0.5625,0.800000011920929,0.8375411629676819,0.8616845607757568,0.7666666507720947,0.9252145886421204,1.0,0.75,0.5891719460487366,0.6000000238418579,0.6666666865348816,0.8843220472335815,0.7342995405197144,0.5666666626930237,0.8910229802131653,0.8843220472335815,0.9077969193458556,0.815062940120697,0.9783393740653992,0.8616845607757568,0.5983333587646484,1.0,1.0,0.9851293563842772,1.0,0.9840425252914428,0.09725122153759004,0.7234042882919312,0.6956522464752197
no_init_box_kenn_hybrid_adapter_bert_ms,1,fj1k0ln0,0.7450980544090271,0.9072432518005372,0.9023776054382324,0.8235293626785278,0.8727272748947144,0.949999988079071,0.7901351451873779,0.9280821681022644,0.95652174949646,0.9093603491783142,0.9023776054382324,0.9676113128662108,0.6623269319534302,0.6129032373428345,0.9072432518005372,0.7796609997749329,0.08894818276166916,0.07202505320310593,0.7844835519790649,0.08257944881916046,0.8827361464500427,0.5853658318519592,0.800000011920929,0.6760563254356384,0.7988818287849426,0.7901351451873779,0.8679245114326477,0.959999978542328,1.0,0.699999988079071,0.8573991060256958,0.800000011920929,0.07096586376428604,0.01,0.6823641061782837,0.9618902802467346,0.9523809552192688,0.8949084281921387,0.06993737071752548,0.6798529624938965,63,0.90228009223938,0.690000057220459,0.25,0.7547169923782349,0.5333333611488342,0.924286723136902,0.8425345420837402,0.7730727195739746,0.625,0.8301886916160583,0.8425345420837402,0.8662262558937073,0.7666666507720947,0.924286723136902,1.0,0.800000011920929,0.6592356562614441,0.6666666865348816,0.7333333492279053,0.8862605094909668,0.7697262763977051,0.6000000238418579,0.8949084281921387,0.8862605094909668,0.9093603491783142,0.8326939940452576,0.9783393740653992,0.8662262558937073,0.6700000166893005,1.0,1.0,0.9633857011795044,1.0,0.9539170265197754,0.09638135135173798,0.75,0.6956522464752197
no_init_box_kenn_top_down_adapter_bert_ms,1,u4kev5sx,0.7692307233810425,0.9065662026405334,0.900455117225647,0.8461538553237915,0.8771929740905762,0.9523809552192688,0.7984045743942261,0.9280821681022644,0.9583333134651184,0.9105167984962464,0.900455117225647,0.9591439962387084,0.7111167907714844,0.6451612710952759,0.9065662026405334,0.8058076500892639,0.09033095091581345,0.07724425941705704,0.8135821223258972,0.08513106405735016,0.8827361464500427,0.6097561120986938,0.7142857313156128,0.6578947305679321,0.8246452212333679,0.7984045743942261,0.9090909361839294,0.92592591047287,1.0,0.7333333492279053,0.8687224388122559,0.8333333134651184,0.07609662413597107,0.01,0.726718544960022,0.9505471587181092,0.9545454382896424,0.8973150253295898,0.07498259842395782,0.7290056943893433,63,0.9006513953208923,0.7400000095367432,0.25,0.7777777314186096,0.6333333253860474,0.9241127967834472,0.8463647961616516,0.7969598174095154,0.65625,0.8518518805503845,0.8463647961616516,0.8693228960037231,0.8333333134651184,0.9241127967834472,1.0,0.8461538553237915,0.7070063948631287,0.7333333492279053,0.7666666507720947,0.8875539898872375,0.793880820274353,0.6666666865348816,0.8973150253295898,0.8875539898872375,0.9105167984962464,0.8456388115882874,0.9783393740653992,0.8693228960037231,0.71833336353302,1.0,1.0,0.9530737400054932,1.0,0.9367088675498962,0.0962073802947998,0.800000011920929,0.7755101919174194
no_init_box_kenn_bottom_up_adapter_bert_ms,1,aec8w541,0.7199999690055847,0.90753573179245,0.9038770794868468,0.800000011920929,0.8727272748947144,0.9473684430122375,0.7873991131782532,0.9280821681022644,1.0,0.9089951515197754,0.9038770794868468,0.9712525606155396,0.6461844444274902,0.5806451439857483,0.90753573179245,0.7709923982620239,0.08851427584886551,0.07028532028198242,0.7758881449699402,0.08170958608388901,0.8827361464500427,0.5853658318519592,0.800000011920929,0.6760563254356384,0.7914162874221802,0.7873991131782532,0.8679245114326477,0.959999978542328,1.0,0.6666666865348816,0.8537905812263489,0.800000011920929,0.0692257434129715,0.01,0.6676892042160034,0.9707368612289428,1.0,0.8940384984016418,0.06819763779640198,0.6631825566291809,63,0.9039087295532228,0.6733332872390747,0.25,0.7200000286102295,0.5,0.9244607090950012,0.8416271805763245,0.7649294137954712,0.5625,0.8461538553237915,0.8416271805763245,0.8651940822601318,0.7666666507720947,0.9244607090950012,1.0,0.800000011920929,0.6433120965957642,0.6666666865348816,0.7333333492279053,0.8858591914176941,0.761674702167511,0.6000000238418579,0.8940384984016418,0.8858591914176941,0.9089951515197754,0.8286320567131042,0.9783393740653992,0.8651940822601318,0.653333306312561,1.0,1.0,0.9714280366897584,1.0,0.961904764175415,0.09655532240867616,0.75,0.6666666865348816
no_init_box_kenn_hybrid_adapter_bert_ms,0,u92vr50n,0.8928571939468384,0.9077922105789183,0.9043941497802734,0.6363636255264282,0.8235293626785278,1.0,0.7887795567512512,0.9280821681022644,0.9545454382896424,0.9091463685035706,0.9043941497802734,0.9734151363372804,0.6543290615081787,0.8064516186714172,0.9077922105789183,0.7794677019119263,0.08925404399633408,0.07132916152477264,0.7827174067497253,0.08234748244285583,0.8827361464500427,0.6097561120986938,0.8333333134651184,0.7042253017425537,0.7975251078605652,0.7887795567512512,0.9090909361839294,1.0,1.0,0.46666666865348816,0.8576576113700867,0.699999988079071,0.07044855505228043,0.01,0.675093412399292,0.9737878441810608,0.949999988079071,0.8939515352249146,0.06958942115306854,0.6748971343040466,75,0.9120520949363708,0.6833333373069763,0.25,0.730769157409668,0.6666666865348816,0.9248666763305664,0.842639684677124,0.7709012031555176,0.59375,0.807692289352417,0.842639684677124,0.8658133745193481,0.8333333134651184,0.9248666763305664,1.0,0.7755101919174194,0.6528662443161011,0.6333333253860474,0.699999988079071,0.8863059878349304,0.7665056586265564,0.5333333611488342,0.8939515352249146,0.8863059878349304,0.9091463685035706,0.8355574011802673,0.9783393740653992,0.8658133745193481,0.6666666269302368,1.0,1.0,0.9742016792297364,1.0,0.9669811129570008,0.0974251925945282,0.6956522464752197,0.800000011920929
