name,instance,run_id,test_incremental_only/macro_example/recall,test_incremental_product-weapon/macro_types/f1,test_incremental_product-mobile_phone/macro_types/recall,test_incremental/macro_types/precision,test_incremental_product-ship/macro_types/recall,test/macro_example/f1,test_incremental_only/micro/recall,test_incremental_product-computer/macro_types/f1,threshold_incremental,test_incremental/macro_example_exclusive/precision,test_incremental_product-weapon/macro_types/recall,test_incremental_product-camera/macro_types/precision,test_incremental_product-engine_device/macro_types/precision,test_incremental_only/micro/precision,test_incremental_product/macro_types/f1,test_pretraining/macro_example/precision,test_incremental_only/macro_example/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental_product-spacecraft/macro_types/precision,test/macro_example/precision,test_pretraining/macro_types/f1,test_pretraining/macro_example/f1,test_incremental/macro_example_exclusive/f1,test_incremental_product-car/macro_types/f1,test_incremental_product-computer/macro_types/precision,test/macro_example/recall,test_incremental/micro/f1,test_incremental_only/macro_types/precision,test_incremental_product-spacecraft/macro_types/f1,test_incremental_product-airplane/macro_types/precision,test_incremental/macro_example/precision,test_incremental_product-airplane/macro_types/recall,test_incremental_product-instrument/macro_types/recall,test_incremental_product-camera/macro_types/f1,test_incremental_product-engine_device/macro_types/recall,test_incremental/macro_types/recall,test_incremental_product-spacecraft/macro_types/recall,test/macro_types/recall,test_incremental_product-camera/macro_types/recall,test_incremental_product-car/macro_types/recall,test_incremental_product-car/macro_types/precision,test_pretraining/micro/precision,test_incremental_product-instrument/macro_types/precision,test/micro/recall,test_pretraining/macro_example/recall,test_incremental_only/macro_example_exclusive/recall,test_pretraining/macro_types/recall,test_incremental_product-engine_device/macro_types/f1,threshold_pretraining,test_pretraining/micro/f1,test_incremental/micro/recall,test_pretraining/micro/recall,test_incremental_product-mobile_phone/macro_types/f1,test_incremental_only/macro_example/f1,test_incremental/micro/precision,test_incremental_product-ship/macro_types/precision,test_incremental/macro_example/f1,test_incremental/macro_example/recall,test_incremental/macro_example_exclusive/recall,test_incremental_product-airplane/macro_types/f1,test_incremental_product-instrument/macro_types/f1,test_pretraining/macro_types/precision,test_incremental_product-computer/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,epoch,test_incremental_only/micro/f1,test_incremental_only/macro_types/f1,test_incremental_only/macro_types/recall,test_incremental_product/macro_types/recall,test_incremental_product-ship/macro_types/f1,test_incremental_product-mobile_phone/macro_types/precision,test/micro/precision,test_incremental/macro_types/f1,test_incremental_product/macro_types/precision,test_incremental_product-weapon/macro_types/precision,test/macro_types/f1,test/micro/f1,test/macro_types/precision
no_init_box_kenn_horizontal_adapter_bert_ms,2,6syy3e1w,0.04349339008331299,0.5,0.0,0.7880741357803345,0.375,0.9026896953582764,0.3980891704559326,0.7042253017425537,0.01,0.8811075091362,0.3333333432674408,1.0,0.0,0.9541984796524048,0.9280821681022644,0.9241127371788024,0.04349339008331299,0.416666716337204,0.8571428656578064,0.9241127371788024,0.8019681572914124,0.9026896953582764,0.7454802393913269,0.75,0.8333333134651184,0.8822373151779175,0.7696792483329773,0.7690476179122925,0.3243243396282196,1.0,0.09411969780921936,0.4516128897666931,0.7333333492279053,0.75,0.0,0.4350701570510864,0.20000000298023224,0.7440294623374939,0.6000000238418579,0.6000000238418579,1.0,0.9063670635223388,1.0,0.8492981195449829,0.8822373151779175,0.4166666865348816,0.7440294623374939,0.0,0.25,0.876905083656311,0.6376811861991882,0.8492981195449829,0.0,0.04349339008331299,0.970588207244873,1.0,0.07963202148675919,0.06900951266288757,0.6460369229316711,0.6222221851348877,0.8461538553237915,0.8696924448013306,0.6097561120986938,0.4166666865348816,25,0.5617977380752563,0.5178104043006897,0.3903036117553711,0.8827361464500427,0.5454545617103577,0.0,0.9063670635223388,0.5606330037117004,0.9783393740653992,1.0,0.8019681572914124,0.876905083656311,0.8696924448013306
no_init_box_kenn_horizontal_adapter_bert_ms,1,vnpced0g,0.05462769791483879,0.8235293626785278,0.0,0.7810498476028442,0.40625,0.905295193195343,0.5,0.4363636076450348,0.01,0.8745928406715393,0.699999988079071,1.0,0.0,0.9457831382751464,0.9280821681022644,0.9233008623123168,0.05462769791483879,0.5233333110809326,0.9629629850387572,0.9233008623123168,0.8127859234809875,0.905295193195343,0.7764766216278076,0.8235293626785278,0.8571428656578064,0.8879784345626831,0.8045112490653992,0.761320948600769,0.9122806787490844,0.7931034564971924,0.09342379868030548,0.7419354915618896,0.6000000238418579,0.8679245114326477,0.0,0.5415397882461548,0.8666666746139526,0.7638797760009766,0.7666666507720947,0.699999988079071,1.0,0.9064276218414308,1.0,0.855904221534729,0.8879784345626831,0.5233333110809326,0.7638797760009766,0.0,0.25,0.8804417252540588,0.6892109513282776,0.855904221534729,0.0,0.05462769791483879,0.9661399722099304,1.0,0.08294305950403214,0.07457666844129562,0.6981541514396667,0.7666666507720947,0.75,0.8683828711509705,0.2926829159259796,0.5233333110809326,31,0.6541666388511658,0.6089652180671692,0.5074201822280884,0.8827361464500427,0.5777778029441833,0.0,0.9064276218414308,0.6396082043647766,0.9783393740653992,1.0,0.8127859234809875,0.8804417252540588,0.8683828711509705
no_init_box_kenn_horizontal_adapter_bert_ms,0,eylm2kvh,0.05462769418954849,0.800000011920929,0.0,0.7864413261413574,0.46875,0.905139982700348,0.5,0.5666666626930237,0.01,0.8762214779853821,0.6666666865348816,1.0,0.0,0.9515151381492616,0.9280821681022644,0.9234168529510498,0.05462769418954849,0.5233333110809326,1.0,0.9234168529510498,0.8127769231796265,0.905139982700348,0.7771177887916565,0.800000011920929,0.8947368264198303,0.8875725269317627,0.8052681088447571,0.7672514915466309,0.8461538553237915,0.7777777910232544,0.09359777718782424,0.6774193644523621,0.6666666865348816,0.8461538553237915,0.0,0.5372914671897888,0.7333333492279053,0.7630876898765564,0.7333333492279053,0.6666666865348816,1.0,0.9066258668899536,1.0,0.855904221534729,0.8875725269317627,0.5233333110809326,0.7630876898765564,0.0,0.25,0.8805351853370667,0.6892109513282776,0.855904221534729,0.0,0.05462769418954849,0.9683257937431335,1.0,0.08301153779029846,0.07457666099071503,0.6981541514396667,0.7241380214691162,0.800000011920929,0.8693879842758179,0.4146341383457184,0.5233333110809326,32,0.6555323004722595,0.6074548959732056,0.5027470588684082,0.8827361464500427,0.6382978558540344,0.0,0.9066258668899536,0.6384191513061523,0.9783393740653992,1.0,0.8127769231796265,0.8805351853370667,0.8693879842758179
no_init_box_kenn_hybrid_adapter_bert_ms,2,ptrhxs33,0.07167710363864899,0.5714285969734192,0.7666666507720947,0.9755003452301024,0.65625,0.9099029302597046,0.675159215927124,0.7042253017425537,0.01,0.912052035331726,0.4000000059604645,1.0,1.0,0.9680365324020386,0.9280821681022644,0.9250986576080322,0.07376478612422943,0.6965230703353882,0.9642857313156128,0.9250986576080322,0.8449980020523071,0.9099029302597046,0.8415793180465698,0.8235293626785278,0.8333333134651184,0.8951983451843262,0.8648165464401245,0.9752164483070374,0.931034505367279,1.0,0.0974251925945282,0.6774193644523621,0.7333333492279053,0.9090909361839294,0.5,0.696317732334137,0.8999999761581421,0.7927366495132446,0.8333333134651184,0.699999988079071,1.0,0.9079316854476928,1.0,0.8672584891319275,0.8951983451843262,0.6866666078567505,0.7927366495132446,0.6666666865348816,0.25,0.8871291279792786,0.7777777910232544,0.8672584891319275,0.8679245114326477,0.0727059617638588,0.9737903475761414,0.9545454382896424,0.08989731222391129,0.08344931900501251,0.781216025352478,0.807692289352417,0.8461538553237915,0.9046363234519958,0.6097561120986938,0.7066665887832642,33,0.7954971194267273,0.799665629863739,0.6776758432388306,0.8827361464500427,0.7777777314186096,1.0,0.9079316854476928,0.8125982284545898,0.9783393740653992,1.0,0.8449980020523071,0.8871291279792786,0.9046363234519958
no_init_box_kenn_top_down_adapter_bert_ms,2,hzfexej2,0.08107168227434158,0.8461538553237915,0.800000011920929,0.9644154906272888,0.6875,0.9122188091278076,0.7611464858055115,0.7222221493721008,0.01,0.9185667634010316,0.7333333492279053,1.0,0.9523809552192688,0.9598393440246582,0.9280821681022644,0.9250986576080322,0.08315935730934143,0.7865394949913025,0.9642857313156128,0.9250986576080322,0.8525412082672119,0.9122188091278076,0.8693782091140747,0.8235293626785278,0.8387096524238586,0.8996926546096802,0.889276385307312,0.9630231857299804,0.931034505367279,0.9583333134651184,0.09812108427286148,0.7419354915618896,0.9333333373069764,0.9285714626312256,0.6666666865348816,0.7769379615783691,0.8999999761581421,0.8077675104141235,0.8666666746139526,0.699999988079071,1.0,0.9078806042671204,1.0,0.8728323578834534,0.8996926546096802,0.7766666412353516,0.8077675104141235,0.7843137383460999,0.25,0.8900115489959717,0.8212560415267944,0.8728323578834534,0.8727272748947144,0.08210225403308868,0.9695817232131958,0.95652174949646,0.09286677837371826,0.08814660459756851,0.825190007686615,0.836363673210144,0.9655172228813172,0.9025696516036988,0.6341463327407837,0.7966666221618652,35,0.8490230441093445,0.8535083532333374,0.7663581967353821,0.8827361464500427,0.800000011920929,0.959999978542328,0.9078806042671204,0.8605846166610718,0.9783393740653992,1.0,0.8525412082672119,0.8900115489959717,0.9025696516036988
no_init_box_kenn_bottom_up_adapter_bert_ms,2,o0c7zktm,0.07132916152477264,0.5714285969734192,0.7666666507720947,0.9753036499023438,0.625,0.9098411202430724,0.6719745397567749,0.7042253017425537,0.01,0.912052035331726,0.4000000059604645,1.0,1.0,0.9678899049758912,0.9280821681022644,0.9251566529273988,0.07341684401035309,0.6931890249252319,0.9642857313156128,0.9251566529273988,0.8446809649467468,0.9098411202430724,0.8406333923339844,0.8235293626785278,0.8333333134651184,0.8950243592262268,0.8637992739677429,0.975000023841858,0.931034505367279,1.0,0.0974251925945282,0.6774193644523621,0.7333333492279053,0.9285714626312256,0.46666666865348816,0.6934767961502075,0.8999999761581421,0.7922070026397705,0.8666666746139526,0.699999988079071,1.0,0.907911777496338,1.0,0.8670520186424255,0.8950243592262268,0.6833332777023315,0.7922070026397705,0.6363636255264282,0.25,0.8870115876197815,0.7761674523353577,0.8670520186424255,0.8679245114326477,0.07235795259475708,0.973737359046936,0.9523809552192688,0.0897962674498558,0.08327534794807434,0.7795873880386353,0.807692289352417,0.8461538553237915,0.904599666595459,0.6097561120986938,0.7033332586288452,36,0.7932330965995789,0.7974135279655457,0.6745508909225464,0.8827361464500427,0.7547169923782349,1.0,0.907911777496338,0.810592532157898,0.9783393740653992,1.0,0.8446809649467468,0.8870115876197815,0.904599666595459
no_init_box_kenn_hybrid_adapter_bert_ms,1,apglco4g,0.07602644711732864,0.888888955116272,0.7333333492279053,0.9649717807769777,0.65625,0.9108366370201112,0.7165604829788208,0.6944444179534912,0.01,0.90228009223938,0.800000011920929,1.0,1.0,0.957446813583374,0.9280821681022644,0.9244027137756348,0.07828810065984726,0.7390078902244568,0.9642857313156128,0.9244027137756348,0.8482866883277893,0.9108366370201112,0.8491033315658569,0.8461538553237915,0.8064516186714172,0.8976629972457886,0.8755516409873962,0.9636349678039552,0.931034505367279,0.9545454382896424,0.09638135135173798,0.6774193644523621,0.6333333253860474,0.888888955116272,0.6666666865348816,0.7357116937637329,0.8999999761581421,0.8000813126564026,0.800000011920929,0.7333333492279053,1.0,0.907602846622467,1.0,0.8699421882629395,0.8976629972457886,0.7283333539962769,0.8000813126564026,0.800000011920929,0.25,0.8883735537528992,0.7987117767333984,0.8699421882629395,0.8301886916160583,0.0771407037973404,0.96875,0.9545454382896424,0.09070102125406264,0.08565298467874527,0.8018457889556885,0.7924528121948242,0.7755101919174194,0.902673363685608,0.6097561120986938,0.75,41,0.8196721076965332,0.8248503804206848,0.7210092544555664,0.8827361464500427,0.7777777314186096,0.95652174949646,0.907602846622467,0.8348890542984009,0.9783393740653992,1.0,0.8482866883277893,0.8883735537528992,0.902673363685608
no_init_box_kenn_top_down_adapter_bert_ms,1,gmyznroj,0.08194154500961304,0.9090909361839294,0.8666666746139526,0.956649661064148,0.6875,0.9122272729873656,0.7707006335258484,0.6666666865348816,0.01,0.9071661233901978,0.8333333134651184,1.0,1.0,0.941634237766266,0.9280821681022644,0.9242287278175354,0.08420320600271225,0.7956858277320862,0.9642857313156128,0.9242287278175354,0.8528364300727844,0.9122272729873656,0.8666144609451294,0.888888955116272,0.7027027010917664,0.9005335569381714,0.8883116841316223,0.9544806480407716,0.931034505367279,0.9583333134651184,0.09690327197313307,0.7419354915618896,0.699999988079071,0.9090909361839294,0.7666666507720947,0.7860289216041565,0.8999999761581421,0.8094624876976013,0.8333333134651184,0.800000011920929,1.0,0.906966745853424,1.0,0.8734517097473145,0.9005335569381714,0.7849999666213989,0.8094624876976013,0.8679245114326477,0.25,0.8898938298225403,0.8260869383811951,0.8734517097473145,0.9122806787490844,0.0830569788813591,0.9606741666793824,0.95652174949646,0.09257156401872636,0.08861052989959717,0.8295331001281738,0.836363673210144,0.8235293626785278,0.9011217951774596,0.6341463327407837,0.8066666126251221,41,0.8476356863975525,0.8562541007995605,0.7763581871986389,0.8827361464500427,0.800000011920929,0.9629629850387572,0.906966745853424,0.8629868030548096,0.9783393740653992,1.0,0.8528364300727844,0.8898938298225403,0.9011217951774596
no_init_box_kenn_bottom_up_adapter_bert_ms,1,5f96lk1v,0.07498259842395782,0.8679245114326477,0.7333333492279053,0.9649717807769777,0.65625,0.9105678796768188,0.7070063948631287,0.6944444179534912,0.01,0.90228009223938,0.7666666507720947,1.0,1.0,0.9568965435028076,0.9280821681022644,0.9244027137756348,0.07724425941705704,0.7290056943893433,0.9642857313156128,0.9244027137756348,0.8473330736160278,0.9105678796768188,0.8463559746742249,0.8461538553237915,0.8064516186714172,0.8971410393714905,0.8725664019584656,0.9636349678039552,0.931034505367279,0.9545454382896424,0.09638135135173798,0.6774193644523621,0.6000000238418579,0.888888955116272,0.6333333253860474,0.7266207933425903,0.8999999761581421,0.7983863353729248,0.800000011920929,0.7333333492279053,1.0,0.907543122768402,1.0,0.8693228960037231,0.8971410393714905,0.71833336353302,0.7983863353729248,0.7755101919174194,0.25,0.8880219459533691,0.793880820274353,0.8693228960037231,0.8301886916160583,0.07609662413597107,0.968565821647644,0.9545454382896424,0.09040755778551102,0.08513106405735016,0.7969597578048706,0.7924528121948242,0.75,0.902673363685608,0.6097561120986938,0.7400000095367432,41,0.813186764717102,0.8182673454284668,0.7110092639923096,0.8827361464500427,0.7777777314186096,0.95652174949646,0.907543122768402,0.8290040493011475,0.9783393740653992,1.0,0.8473330736160278,0.8880219459533691,0.902673363685608
no_init_box_kenn_hybrid_adapter_bert_ms,0,lj7el0ge,0.07724425941705704,0.8679245114326477,0.6000000238418579,0.9767622947692872,0.625,0.9111461639404296,0.7165604829788208,0.7894736528396606,0.01,0.9153093695640564,0.7666666507720947,1.0,1.0,0.9698275923728944,0.9280821681022644,0.925040602684021,0.07828810811042786,0.744966447353363,1.0,0.925040602684021,0.8488386273384094,0.9111461639404296,0.8569836616516113,0.8461538553237915,0.8571428656578064,0.8976629972457886,0.8778761625289917,0.9766045808792114,0.888888955116272,0.95652174949646,0.09777313470840454,0.7096773982048035,0.6666666865348816,0.9285714626312256,0.6666666865348816,0.731738269329071,0.800000011920929,0.7993404865264893,0.8666666746139526,0.7333333492279053,1.0,0.9081896543502808,1.0,0.8699421882629395,0.8976629972457886,0.7400000095367432,0.7993404865264893,0.800000011920929,0.25,0.8886545896530151,0.7987117767333984,0.8699421882629395,0.75,0.07776268571615219,0.974459707736969,0.9523809552192688,0.0915427953004837,0.08605891466140747,0.8056460022926331,0.8148147463798523,0.800000011920929,0.9048715829849244,0.7317073345184326,0.75,49,0.8241758346557617,0.8266650438308716,0.7166385054588318,0.8827361464500427,0.7547169923782349,1.0,0.9081896543502808,0.8366802334785461,0.9783393740653992,1.0,0.8488386273384094,0.8886545896530151,0.9048715829849244
