name,instance,run_id,test_incremental/macro_types/recall,test_incremental_only/macro_example/f1,test_incremental_organization-company/macro_types/precision,test_incremental_organization-company-broadcast/macro_types/f1,test_incremental_only/macro_types/f1,test_incremental_organization-company-news/macro_types/recall,test_incremental_organization-company-news/macro_types/precision,test/macro_example/precision,test_incremental_only/micro/precision,test/micro/f1,test/micro/recall,test/macro_example/f1,test_incremental_only/macro_example/precision,test_incremental_only/macro_example_exclusive/recall,test_pretraining/macro_types/precision,test_incremental_organization-company/macro_types/recall,test/micro/precision,threshold_incremental,test/macro_example/recall,test_incremental_organization-company-broadcast/macro_types/precision,threshold_pretraining,test_incremental_only/micro/f1,test_pretraining/macro_example/f1,test/macro_types/recall,epoch,test_pretraining/macro_types/recall,test_incremental_organization-company/macro_types/f1,test_incremental/micro/recall,test_pretraining/micro/recall,test_incremental_only/micro/recall,test_incremental/macro_example/recall,test_incremental_only/macro_example/recall,test_incremental/micro/f1,test_pretraining/micro/f1,test_pretraining/micro/precision,test/macro_types/precision,test_pretraining/macro_types/f1,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental/macro_types/precision,test_incremental/macro_example_exclusive/recall,test_incremental_organization-company-broadcast/macro_types/recall,test_incremental/macro_types/f1,test_incremental/macro_example/f1,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/f1,test_incremental_organization-company-news/macro_types/f1,test/macro_types/f1,test_incremental/micro/precision,test_pretraining/macro_example/recall,test_incremental_only/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test_pretraining/macro_example/precision,test_incremental_only/macro_types/recall
kenn_hybrid_adapter_bert_ms,2,w1394g14,0.6329734921455383,0.017636902630329132,0.6844660043716431,0.2311557829380035,0.18103846907615664,0.3076923191547394,0.08163265138864517,0.8366592526435852,0.1068493127822876,0.827814519405365,0.8501749038696289,0.8480627536773682,0.019240256398916245,0.4714285731315613,0.8331341743469238,0.8245614171028137,0.8066002726554871,0.9,0.8597814440727234,0.13609467446804047,0.33,0.1744966208934784,0.8480627536773682,0.8030713796615601,41,0.8030713796615601,0.7480106353759766,0.7114624381065369,0.8501749038696289,0.47560974955558777,0.061667487025260925,0.016280217096209526,0.43689319491386414,0.827814519405365,0.8066002726554871,0.8331341743469238,0.8178265690803528,0.7982456088066101,0.5571428537368774,0.3007311224937439,0.7309941649436951,0.7666666507720947,0.407740980386734,0.06437943875789642,0.0673408955335617,0.7631411552429199,0.12903225421905518,0.8178265690803528,0.3152364194393158,0.8597814440727234,0.10886366665363312,0.5107142925262451,0.8366592526435852,0.5371794700622559
kenn_top_down_adapter_bert_ms,2,270fi80r,0.7748538851737976,0.026063239201903343,0.6844660043716431,0.6593406796455383,0.5031498074531555,0.5,0.26530611515045166,0.8580144643783569,0.3522012531757355,0.8475492000579834,0.8534784317016602,0.8597343564033508,0.02762703225016594,0.7142857313156128,0.8441419005393982,0.8245614171028137,0.8417018055915833,0.22,0.8614611625671387,0.49180328845977783,0.33,0.4647302925586701,0.8597343564033508,0.8117579817771912,41,0.8117579817771912,0.7480106353759766,0.7786561250686646,0.8534784317016602,0.6829268336296082,0.06586088240146637,0.02466699481010437,0.6375404596328735,0.8475492000579834,0.8417018055915833,0.8441419005393982,0.827633261680603,0.72417151927948,0.8000000715255737,0.4805251657962799,0.780701756477356,1.0,0.5931862592697144,0.06338682770729065,0.06109192222356796,0.7513748407363892,0.3466666638851166,0.827633261680603,0.5397260189056396,0.8614611625671387,0.37855470180511475,0.7547170519828796,0.8580144643783569,0.75
kenn_bottom_up_adapter_bert_ms,2,204hn7nk,0.5868196487426758,0.01529748272150755,0.6844660043716431,0.3773585259914398,0.2954903542995453,0.26923078298568726,0.16867469251155853,0.8581900596618652,0.21383647620677948,0.8433037400245667,0.8492032885551453,0.8587223291397095,0.016773555427789688,0.40714287757873535,0.8375036120414734,0.8245614171028137,0.8374856114387512,0.7000000000000001,0.8592551946640015,0.2631579041481018,0.33,0.28215768933296204,0.8587223291397095,0.8002456426620483,40,0.8002456426620483,0.7480106353759766,0.6916996240615845,0.8492032885551453,0.4146341383457184,0.0605163611471653,0.0140601871535182,0.5663430094718933,0.8433037400245667,0.8374856114387512,0.8375036120414734,0.8184508681297302,0.8128654956817627,0.485714316368103,0.37209951877593994,0.7173489332199097,0.6666666865348816,0.4554196298122406,0.06429381668567657,0.06857424974441528,0.762126088142395,0.2074074000120163,0.8184508681297302,0.4794520437717438,0.8592551946640015,0.21591630578041077,0.44297146797180176,0.8581900596618652,0.4679487347602844
kenn_hybrid_adapter_bert_ms,1,c98zabox,0.7816914319992065,0.02435803599655628,0.6844660043716431,0.3561643958091736,0.34771373867988586,0.6538461446762085,0.2266666740179062,0.8500564098358154,0.2255639135837555,0.8396523594856262,0.854255735874176,0.855838418006897,0.023186974227428436,0.7428571581840515,0.8378908038139343,0.8245614171028137,0.8255398869514465,0.11,0.8616995811462402,0.22413793206214905,0.33,0.3448275923728943,0.855838418006897,0.8121765851974487,20,0.8121765851974487,0.7480106353759766,0.7944663763046265,0.854255735874176,0.7317073345184326,0.06651866436004639,0.025653675198554993,0.5544828176498413,0.8396523594856262,0.8255398869514465,0.8378908038139343,0.824833333492279,0.5653021335601807,0.6714286208152771,0.3784235715866089,0.7884990572929382,0.8666666746139526,0.5099675059318542,0.05555194616317749,0.0476895272731781,0.6585016846656799,0.3366336524486542,0.824833333492279,0.42584747076034546,0.8616995811462402,0.22540229558944705,0.7053391337394714,0.8500564098358154,0.7602564096450806
kenn_top_down_adapter_bert_ms,1,2h9c02u3,0.7816914916038513,0.024760263040661812,0.6844660043716431,0.2311111241579056,0.21423786878585815,0.6538461446762085,0.11604095250368118,0.8305230140686035,0.12295082211494446,0.8222200870513916,0.854255735874176,0.8458043336868286,0.023926984518766403,0.7428571581840515,0.8337799310684204,0.8245614171028137,0.7925004363059998,0.16,0.8616584539413452,0.13333334028720856,0.33,0.21052633225917816,0.8458043336868286,0.8121765851974487,20,0.8121765851974487,0.7480106353759766,0.7944663763046265,0.854255735874176,0.7317073345184326,0.06651866436004639,0.025653675198554993,0.424498438835144,0.8222200870513916,0.7925004363059998,0.8337799310684204,0.8228364586830139,0.5399609804153442,0.6928571462631226,0.31128010153770447,0.7884990572929382,0.8666666746139526,0.4452540576457978,0.054073866456747055,0.04555171728134155,0.6409808993339539,0.1971014440059662,0.8228364586830139,0.289625346660614,0.8616584539413452,0.12468715012073515,0.7169865965843201,0.8305230140686035,0.7602564096450806
kenn_bottom_up_adapter_bert_ms,1,3tjsvz67,0.6970760822296143,0.02047063410282135,0.6844660043716431,0.4144144356250763,0.3944518864154816,0.5,0.2888889014720917,0.8553215861320496,0.28654971718788147,0.8452196717262268,0.8521181344985962,0.8578794598579407,0.02072027511894703,0.5857142806053162,0.8403812646865845,0.8245614171028137,0.8384321331977844,0.37,0.8604525327682495,0.2839506268501282,0.33,0.3873518109321594,0.8578794598579407,0.8069960474967957,12,0.8069960474967957,0.7480106353759766,0.7509881258010864,0.8521181344985962,0.5975610017776489,0.06380528956651688,0.020226936787366867,0.6031745672225952,0.8452196717262268,0.8384321331977844,0.8403812646865845,0.8233503699302673,0.6247563362121582,0.6000000238418579,0.41910186409950256,0.7563352584838867,0.7666666507720947,0.5234754681587219,0.05772645026445389,0.05270514637231827,0.6842778921127319,0.3661971688270569,0.8233503699302673,0.5039787888526917,0.8604525327682495,0.28641974925994873,0.5927711129188538,0.8553215861320496,0.6333333253860474
kenn_hybrid_adapter_bert_ms,0,1sl1p09z,0.7047684192657471,0.022515706717967987,0.6844660043716431,0.2708333134651184,0.2992502450942993,0.42307692766189575,0.2291666716337204,0.8491231203079224,0.1860465109348297,0.8380005359649658,0.8519238233566284,0.8549507856369019,0.023680314421653748,0.6214286088943481,0.8366429805755615,0.8245614171028137,0.8245251178741455,0.64,0.8608589768409729,0.16049382090568542,0.33,0.28235292434692383,0.8549507856369019,0.807466983795166,11,0.807466983795166,0.7480106353759766,0.747035562992096,0.8519238233566284,0.5853658318519592,0.06413418799638748,0.021460285410284996,0.5271966457366943,0.8380005359649658,0.8245251178741455,0.8366429805755615,0.8217961192131042,0.6111111044883728,0.6857143044471741,0.3580421805381775,0.7602338790893555,0.8666666746139526,0.4748481214046478,0.05716010928153992,0.05155401676893234,0.6775645017623901,0.29729729890823364,0.8217961192131042,0.4073275923728943,0.8608589768409729,0.19483023881912231,0.6519906520843506,0.8491231203079224,0.6448718309402466
kenn_top_down_adapter_bert_ms,0,tnn15gcp,0.8645974397659302,0.02775743044912815,0.6844660043716431,0.05097705498337746,0.053336504846811295,0.7692307829856873,0.028839221224188805,0.616969108581543,0.027624309062957764,0.6917340159416199,0.8561989665031433,0.719462513923645,0.025407003238797188,0.8857142925262451,0.8298130035400391,0.8245614171028137,0.580271303653717,0.06999999999999999,0.8627932071685791,0.02615518681704998,0.33,0.05351682007312775,0.719462513923645,0.8172524571418762,13,0.8172524571418762,0.7480106353759766,0.8339921236038208,0.8561989665031433,0.8536585569381714,0.06898535788059235,0.030587073415517807,0.14099566638469696,0.6917340159416199,0.580271303653717,0.8298130035400391,0.8234848380088806,0.5107212066650391,0.735714316368103,0.2464868128299713,0.8177387714385986,1.0,0.38361063599586487,0.053042300045490265,0.043085020035505295,0.6287529468536377,0.05559416115283966,0.8234848380088806,0.07700730115175247,0.8627932071685791,0.027497204020619392,0.80377596616745,0.616969108581543,0.884615421295166
kenn_bottom_up_adapter_bert_ms,0,1mvfu9a0,0.7269905805587769,0.02309250645339489,0.6844660043716431,0.42105263471603394,0.43700823187828064,0.42307692766189575,0.37288135290145874,0.8567011952400208,0.3086419701576233,0.8461464643478394,0.8523125052452087,0.8588159680366516,0.02466699481010437,0.6285714507102966,0.8418483734130859,0.8245614171028137,0.8400689363479614,0.46,0.8609411716461182,0.27184465527534485,0.33,0.409836083650589,0.8588159680366516,0.8088275790214539,12,0.8088275790214539,0.7480106353759766,0.7549406886100769,0.8523125052452087,0.6097561120986938,0.06438085436820984,0.02170695550739765,0.6151368021965027,0.8461464643478394,0.8400689363479614,0.8418483734130859,0.8250076770782471,0.695906400680542,0.7142857313156128,0.44306403398513794,0.763157844543457,0.9333333373069764,0.5505783557891846,0.06141340360045433,0.05870744958519936,0.7279822826385498,0.39639636874198914,0.8250076770782471,0.51902174949646,0.8609411716461182,0.322363018989563,0.6686930656433105,0.8567011952400208,0.678205132484436
box_adapter_bert_ms,2,ad11uekn,0.8061628341674805,0.031009938567876816,0.7247191071510315,0.6436781883239746,0.39066749811172485,0.7307692170143127,0.01928934082388878,0.590027928352356,0.03256043419241905,0.6859205365180969,0.7938204407691956,0.6807188391685486,0.03256043419241905,0.8571428656578064,0.7304364442825317,0.7543859481811523,0.6038433313369751,0.99,0.8043527603149414,0.4912280738353729,0.26,0.06258890777826309,0.6807188391685486,0.6744703054428101,39,0.6744703054428101,0.7392550110816956,0.7707509994506836,0.7938204407691956,0.8048780560493469,0.06364084780216217,0.029600394889712337,0.15866558253765106,0.6859205365180969,0.6038433313369751,0.7304364442825317,0.7013386487960815,0.5994152426719666,0.9428571462631226,0.41174551844596863,0.7543859481811523,0.9333333373069764,0.545088529586792,0.05635582283139229,0.05056734010577202,0.6680307388305664,0.037586551159620285,0.7013386487960815,0.08843537420034409,0.8043527603149414,0.255258709192276,0.8979592323303223,0.590027928352356,0.8320512771606445
