name,instance,run_id,test_incremental_organization-company-broadcast/macro_types/f1,test/macro_types/f1,test/macro_example/f1,test_pretraining/macro_example/f1,test_incremental_only/macro_types/recall,test_incremental_organization-company/macro_types/f1,test_incremental/macro_example/f1,test_incremental_only/macro_example/f1,test/micro/precision,threshold_pretraining,test_pretraining/micro/recall,test_incremental/micro/precision,test_incremental/macro_example_exclusive/recall,test_incremental_organization-company-news/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,threshold_incremental,test_incremental_only/micro/f1,test_incremental/macro_types/recall,test_pretraining/macro_types/precision,test/micro/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_example/recall,test_incremental_organization-company-broadcast/macro_types/precision,test/macro_types/recall,test/macro_types/precision,test/macro_example/precision,test_incremental/macro_example/precision,test_incremental_organization-company-news/macro_types/precision,test_incremental/macro_types/f1,test_pretraining/macro_types/f1,test_pretraining/micro/precision,test_incremental_only/micro/precision,test_incremental_organization-company-news/macro_types/recall,test/micro/recall,test_incremental/micro/f1,test_incremental_only/macro_example/precision,epoch,test_incremental/micro/recall,test_incremental_organization-company/macro_types/recall,test_incremental_only/micro/recall,test_incremental_only/macro_types/f1,test_incremental/macro_types/precision,test_pretraining/macro_example/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_example/recall,test_incremental/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental_organization-company/macro_types/precision,test_incremental_organization-company-broadcast/macro_types/recall,test_pretraining/micro/f1,test_pretraining/macro_types/recall,test_incremental_only/macro_types/precision,test/macro_example/recall
kenn_hybrid_adapter_bert_ms,2,2fp3obpc,0.41726619005203247,0.8244706392288208,0.8549093008041382,0.8549093008041382,0.7429487109184265,0.7480106353759766,0.059403806924819946,0.023163355886936188,0.8264960646629333,0.33,0.8534784317016602,0.4273318946361542,0.7777777910232544,0.27272725105285645,0.6928571462631226,0.02,0.3323442339897156,0.7701529860496521,0.8378944993019104,0.8397705554962158,0.8614282608032227,0.023926984518766403,0.26605504751205444,0.811470091342926,0.8378944993019104,0.8484882712364197,0.054267387837171555,0.18493150174617767,0.5075418949127197,0.8244706392288208,0.8264960646629333,0.21960784494876864,0.5192307829856873,0.8534784317016602,0.551820695400238,0.02244696393609047,68,0.7786561250686646,0.8245614171028137,0.6829268336296082,0.3459782898426056,0.37848418951034546,0.8484882712364197,0.6707446575164795,0.06561420857906342,0.7041609287261963,0.6432748436927795,0.6499999761581421,0.6844660043716431,0.9666666388511658,0.8397705554962158,0.811470091342926,0.22549328207969663,0.8614282608032227
kenn_top_down_adapter_bert_ms,2,kdme3xbg,0.5399999618530273,0.824445903301239,0.858166515827179,0.858166515827179,0.6711538434028625,0.7480106353759766,0.06316612660884857,0.022650737315416336,0.8378223776817322,0.33,0.8523125052452087,0.5,0.7631579041481018,0.2911392152309418,0.6285714507102966,0.12,0.38759690523147583,0.7222897410392761,0.8409906029701233,0.8450053334236145,0.8607704639434814,0.0217069573700428,0.3857142925262451,0.8085396885871887,0.8409906029701233,0.8555782437324524,0.061996378004550934,0.21698112785816193,0.5383296012878418,0.824445903301239,0.8378223776817322,0.28409090638160706,0.4423076808452606,0.8523125052452087,0.6015747785568237,0.023680314421653748,69,0.7549406886100769,0.8245614171028137,0.6097561120986938,0.4159390330314636,0.4290538430213928,0.8555782437324524,0.6559006571769714,0.06438085436820984,0.7487586736679077,0.7348927855491638,0.6857143044471741,0.6844660043716431,0.8999999761581421,0.8450053334236145,0.8085396885871887,0.3013477027416229,0.8607704639434814
kenn_bottom_up_adapter_bert_ms,2,23uf0u33,0.4955752193927765,0.8256078362464905,0.8582697510719299,0.8582697510719299,0.7262820601463318,0.7480106353759766,0.0616297647356987,0.022800302132964138,0.8373379111289978,0.33,0.8532841205596924,0.5012787580490112,0.7748538255691528,0.3506493866443634,0.6785714626312256,0.03,0.41198500990867615,0.7590418457984924,0.8409775495529175,0.8452357649803162,0.8612638115882874,0.023433644324541092,0.33734938502311707,0.8107898831367493,0.8409775495529175,0.8552963733673096,0.0582963302731514,0.2647058963775635,0.5480473041534424,0.8256078362464905,0.8373379111289978,0.29729729890823364,0.5192307829856873,0.8532841205596924,0.6086956262588501,0.022200295701622963,66,0.7747035622596741,0.8245614171028137,0.6707317233085632,0.4256379306316376,0.4288404583930969,0.8552963733673096,0.6602317094802856,0.06536753475666046,0.7305470108985901,0.691033124923706,0.6428571939468384,0.6844660043716431,0.9333333373069764,0.8452357649803162,0.8107898831367493,0.30102765560150146,0.8612638115882874
kenn_hybrid_adapter_bert_ms,1,2d5qlgzt,0.5333333611488342,0.8220023512840271,0.8601350784301758,0.8601350784301758,0.5153846144676208,0.7480106353759766,0.0596686489880085,0.016145668923854828,0.8472868204116821,0.33,0.8495919108390808,0.5765472054481506,0.7222222089767456,0.25806450843811035,0.4285714626312256,0.28,0.39344263076782227,0.6184436082839966,0.8428270816802979,0.8484378457069397,0.8594588041305542,0.014800197444856169,0.4000000059604645,0.8021817803382874,0.8428270816802979,0.8608123660087585,0.0584607794880867,0.2926829159259796,0.526957094669342,0.8220023512840271,0.8472868204116821,0.3564356565475464,0.2307692319154739,0.8495919108390808,0.6321428418159485,0.01776023581624031,46,0.6996047496795654,0.8245614171028137,0.4390243887901306,0.4142826199531555,0.45904964208602905,0.8608123660087585,0.4675324857234955,0.06092747673392296,0.7073003053665161,0.6929824352264404,0.5142857432365417,0.6844660043716431,0.800000011920929,0.8484378457069397,0.8021817803382874,0.34634146094322205,0.8594588041305542
kenn_top_down_adapter_bert_ms,1,1os8n0vq,0.48000001907348633,0.8209015727043152,0.8589180707931519,0.8589180707931519,0.5346153974533081,0.7480106353759766,0.060290370136499405,0.017140038311481476,0.8409920930862427,0.33,0.8499805927276611,0.5143678188323975,0.7280701398849487,0.22580645978450775,0.4571428894996643,0.18000000000000002,0.3392857015132904,0.6312640905380249,0.8396559953689575,0.845462441444397,0.8596560955047607,0.015786876901984215,0.34285715222358704,0.8029667139053345,0.8396559953689575,0.8581812381744385,0.05920078605413437,0.1944444477558136,0.495100736618042,0.8209015727043152,0.8409920930862427,0.26760563254356384,0.26923078298568726,0.8499805927276611,0.5956738591194153,0.018746916204690933,65,0.7075098752975464,0.8245614171028137,0.4634146392345429,0.35760214924812317,0.4072558879852295,0.8581812381744385,0.49632659554481506,0.06142081692814827,0.7146700620651245,0.7017543911933899,0.5428571701049805,0.6844660043716431,0.800000011920929,0.845462441444397,0.8029667139053345,0.2686507999897003,0.8596560955047607
kenn_bottom_up_adapter_bert_ms,1,374stx8k,0.45045045018196106,0.8220206499099731,0.8582174777984619,0.8582174777984619,0.5993589758872986,0.7480106353759766,0.05948502942919731,0.019325098022818565,0.8368360996246338,0.33,0.8511465191841125,0.48556429147720337,0.7446393966674805,0.2602739632129669,0.535714328289032,0.060000000000000005,0.34241244196891785,0.6744264960289001,0.8391145467758179,0.8439306616783142,0.860241174697876,0.01850024610757828,0.3086419701576233,0.8056093454360962,0.8391145467758179,0.8562031984329224,0.056487418711185455,0.20212766528129575,0.5009133219718933,0.8220206499099731,0.8368360996246338,0.2514285743236542,0.3653846085071564,0.8511465191841125,0.5835962295532227,0.020226936787366867,47,0.731225311756134,0.8245614171028137,0.5365853905677795,0.3581591844558716,0.39841189980506897,0.8562031984329224,0.5595996975898743,0.06281861662864685,0.7051237225532532,0.6695906519889832,0.5857142806053162,0.6844660043716431,0.8333333134651184,0.8439306616783142,0.8056093454360962,0.25538480281829834,0.860241174697876
kenn_hybrid_adapter_bert_ms,0,1rae51a6,0.2857142984867096,0.8261115550994873,0.8533428907394409,0.8533428907394409,0.8487179279327393,0.7480106353759766,0.05834071710705757,0.025066480040550232,0.8152194023132324,0.33,0.85561603307724,0.3795620501041413,0.8031189441680908,0.3438913822174072,0.800000011920929,0.02,0.31603771448135376,0.8406658172607422,0.8367005586624146,0.834929347038269,0.8624266386032104,0.02762703411281109,0.16763006150722504,0.8157871961593628,0.8367005586624146,0.8444485068321228,0.05122512951493263,0.2248520702123642,0.5031214952468872,0.8261115550994873,0.8152194023132324,0.1959064304828644,0.7307692170143127,0.85561603307724,0.5193508267402649,0.02294030413031578,45,0.8221343755722046,0.8245614171028137,0.8170731663703918,0.3187748193740845,0.35898274183273315,0.8444485068321228,0.725853681564331,0.06775201857089996,0.6915591955184937,0.607212483882904,0.6642857193946838,0.6844660043716431,0.9666666388511658,0.834929347038269,0.8157871961593628,0.19624106585979464,0.8624266386032104
kenn_top_down_adapter_bert_ms,0,2k05bwkn,0.27450981736183167,0.8228693604469299,0.852027952671051,0.852027952671051,0.7262820601463318,0.7480106353759766,0.061084646731615067,0.02306297793984413,0.8134494423866272,0.33,0.8532841205596924,0.35963302850723267,0.7738791704177856,0.24884791672229767,0.6714285612106323,0.09,0.26128265261650085,0.7590418457984924,0.8353142738342285,0.8328907489776611,0.8613154888153076,0.023186974227428436,0.16091954708099365,0.8107898831367493,0.8353142738342285,0.8429385423660278,0.057391874492168427,0.16363635659217834,0.46613243222236633,0.8228693604469299,0.8134494423866272,0.1622418910264969,0.5192307829856873,0.8532841205596924,0.49122804403305054,0.02294030413031578,46,0.7747035622596741,0.8245614171028137,0.6707317233085632,0.26528218388557434,0.33634066581726074,0.8429385423660278,0.6678379774093628,0.06528531014919281,0.7240853309631348,0.6803118586540222,0.6642857193946838,0.6844660043716431,0.9333333373069764,0.8328907489776611,0.8107898831367493,0.162277951836586,0.8613154888153076
kenn_bottom_up_adapter_bert_ms,0,3u3oju97,0.33519551157951355,0.8262153267860413,0.8560661673545837,0.8560661673545837,0.807692289352417,0.7480106353759766,0.05799339711666107,0.023943429812788963,0.8268471360206604,0.33,0.8546443581581116,0.43562230467796326,0.7904483079910278,0.39263805747032166,0.7428571581840515,0.17,0.362573117017746,0.8133153915405273,0.8386831879615784,0.8405159711837769,0.8620594143867493,0.025653675198554993,0.20134228467941284,0.8141127824783325,0.8386831879615784,0.8501556515693665,0.051307350397109985,0.28828829526901245,0.5284447073936462,0.8262153267860413,0.8268471360206604,0.23846153914928436,0.6153846383094788,0.8546443581581116,0.564673125743866,0.02244696579873562,20,0.8023715615272522,0.8245614171028137,0.7560975551605225,0.37574154138565063,0.39136552810668945,0.8501556515693665,0.6933333277702332,0.06668311357498169,0.6874421834945679,0.6081871390342712,0.6500000357627869,0.6844660043716431,1.0,0.8405159711837769,0.8141127824783325,0.24481528997421265,0.8620594143867493
box_adapter_bert_ms,2,1ukn9sml,0.13488370180130005,0.6966989636421204,0.6803248524665833,0.6803248524665833,0.8006410002708435,0.7392550110816956,0.05520190671086311,0.029031800106167793,0.6032520532608032,0.26,0.7930431365966797,0.08662131428718567,0.7426900863647461,0.03930911049246788,0.8000000715255737,0.99,0.058795638382434845,0.7852226495742798,0.7219111919403076,0.6852489709854126,0.8040320873260498,0.02762703411281109,0.07249999791383743,0.6731882691383362,0.7219111919403076,0.5896085500717163,0.04933398962020874,0.020282728597521785,0.4045928418636322,0.6966989636421204,0.6032520532608032,0.030587075278162956,0.6346153616905212,0.7930431365966797,0.15541090071201324,0.030587073415517807,129,0.7549406886100769,0.7543859481811523,0.7560975551605225,0.08770108222961426,0.272500604391098,0.5896085500717163,0.8406779766082764,0.06265416741371155,0.6543524861335754,0.5847952961921692,0.8857142925262451,0.7247191071510315,0.9666666388511658,0.6852489709854126,0.6731882691383362,0.04639136418700218,0.8040320873260498
