name,instance,run_id,test_incremental/macro_types/f1,test_incremental_only/macro_example/precision,test/macro_example/f1,test_incremental/micro/precision,test_incremental_only/macro_types/f1,test/macro_types/f1,test_incremental_internet/macro_types/f1,test_incremental_internet-website/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental/macro_example/recall,test_pretraining/macro_types/precision,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_incremental_internet-website/macro_types/precision,epoch,threshold_incremental,test_incremental_only/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_types/precision,test_pretraining/micro/recall,test_incremental_only/micro/recall,test/macro_types/precision,test/macro_example/precision,test_incremental/macro_example/f1,test_incremental_internet/macro_types/recall,test/micro/precision,threshold_pretraining,test_incremental/macro_types/recall,test/micro/recall,test_pretraining/macro_types/f1,test_incremental_internet-website/macro_types/recall,test/macro_types/recall,test_incremental/micro/recall,test_pretraining/macro_example/recall,test_incremental_only/macro_example/recall,test_incremental_internet/macro_types/precision,test/macro_example/recall,test_pretraining/micro/f1,test_pretraining/macro_example/f1,test_incremental_only/micro/f1,test/micro/f1,test_incremental_only/micro/precision,test_pretraining/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental/macro_types/precision,test_incremental_only/macro_example/f1,test_pretraining/macro_example/precision,test_incremental/micro/f1,test_pretraining/micro/precision,test_incremental/macro_example_exclusive/f1
no_init_box_kenn_horizontal_adapter_bert_ms,2,fnizjqyx,0.7807262539863586,0.00730688963085413,0.9154813885688782,0.975000023841858,0.807692289352417,0.8509396314620972,0.75,0.807692289352417,0.7000000476837158,0.006784969009459019,0.8915184736251831,0.00730688963085413,0.6500000953674316,0.9545454382896424,37,0.01,0.699999988079071,0.7000000476837158,0.7000000476837158,0.9545454382896424,0.8793859481811523,0.699999988079071,0.8915184736251831,0.924756407737732,0.007036264054477215,0.6000000238418579,0.9051918983459472,0.25,0.6499999761581421,0.8793859481811523,0.8509396314620972,0.699999988079071,0.8138940334320068,0.6499999761581421,0.90639066696167,0.00730688963085413,1.0,0.90639066696167,0.8921023607254028,0.9154813885688782,0.807692289352417,0.8921023607254028,0.9545454382896424,0.8138940334320068,0.7000000476837158,0.9772727489471436,0.00730688963085413,0.924756407737732,0.7800000309944153,0.9051918983459472,0.6740741729736328
no_init_box_kenn_horizontal_adapter_bert_ms,1,rhrtmxyf,0.6206896305084229,0.003131524194031954,0.9146428108215332,1.0,0.46153849363327026,0.8469562530517578,0.75,0.46153849363327026,0.30000001192092896,0.004697286058217287,0.8924275636672974,0.006263048388063908,0.45000001788139343,1.0,135,0.13,0.30000001192092896,0.30000001192092896,0.6000000238418579,1.0,0.8767544031143188,0.30000001192092896,0.8924275636672974,0.9245187044143676,0.005368326790630817,0.6000000238418579,0.9051392078399658,0.25,0.45000001788139343,0.8767544031143188,0.8469562530517578,0.30000001192092896,0.8058940172195435,0.44999998807907104,0.904975652694702,0.003131524194031954,1.0,0.904975652694702,0.8907207250595093,0.9146428108215332,0.46153849363327026,0.8907207250595093,1.0,0.8058940172195435,0.30000001192092896,1.0,0.003131524194031954,0.9245187044143676,0.6206896305084229,0.9051392078399658,0.514285683631897
no_init_box_kenn_horizontal_adapter_bert_ms,0,ry0fa0ps,0.7234042882919312,0.005567153915762901,0.9151030778884888,1.0,0.6956522464752197,0.8495264053344727,0.75,0.6956522464752197,0.5333333611488342,0.005915100686252117,0.8924275636672974,0.008002784103155136,0.5666667222976685,1.0,47,0.09,0.5333333611488342,0.5333333611488342,0.7666667699813843,1.0,0.8782894611358643,0.5333333611488342,0.8924275636672974,0.9247390627861024,0.006802366115152836,0.6000000238418579,0.905289351940155,0.25,0.5666667222976685,0.8782894611358643,0.8495264053344727,0.5333333611488342,0.8105607032775879,0.5666666626930237,0.9056657552719116,0.005567153915762901,1.0,0.9056657552719116,0.8915850520133972,0.9151030778884888,0.6956522464752197,0.8915850520133972,1.0,0.8105607032775879,0.5333333611488342,1.0,0.005567153915762901,0.9247390627861024,0.7234042882919312,0.905289351940155,0.6516667604446411
no_init_box_kenn_hybrid_adapter_bert_ms,2,h6ah2yxh,0.7740188837051392,0.00730688963085413,0.9154558181762696,0.9512194991111756,0.7924527525901794,0.8505614399909973,0.75,0.7924527525901794,0.7000000476837158,0.006784969009459019,0.8906884789466858,0.00730688963085413,0.6500000953674316,0.91304349899292,43,0.03,0.699999988079071,0.7000000476837158,0.7000000476837158,0.91304349899292,0.8793859481811523,0.699999988079071,0.8906884789466858,0.9247042536735536,0.007036264054477215,0.6000000238418579,0.9049875736236572,0.25,0.6499999761581421,0.8793859481811523,0.8505614399909973,0.699999988079071,0.8138940334320068,0.6499999761581421,0.90639066696167,0.00730688963085413,1.0,0.90639066696167,0.8920031189918518,0.9154558181762696,0.7924527525901794,0.8920031189918518,0.91304349899292,0.8138940334320068,0.7000000476837158,0.95652174949646,0.00730688963085413,0.9247042536735536,0.7722772359848022,0.9049875736236572,0.6740741729736328
no_init_box_kenn_top_down_adapter_bert_ms,2,uu905dhq,0.7807262539863586,0.00730688963085413,0.9154813885688782,0.975000023841858,0.807692289352417,0.8509396314620972,0.75,0.807692289352417,0.7000000476837158,0.006784969009459019,0.8915184736251831,0.00730688963085413,0.6500000953674316,0.9545454382896424,37,0.18000000000000002,0.699999988079071,0.7000000476837158,0.7000000476837158,0.9545454382896424,0.8793859481811523,0.699999988079071,0.8915184736251831,0.924756407737732,0.007036264054477215,0.6000000238418579,0.9051918983459472,0.25,0.6499999761581421,0.8793859481811523,0.8509396314620972,0.699999988079071,0.8138940334320068,0.6499999761581421,0.90639066696167,0.00730688963085413,1.0,0.90639066696167,0.8921023607254028,0.9154813885688782,0.807692289352417,0.8921023607254028,0.9545454382896424,0.8138940334320068,0.7000000476837158,0.9772727489471436,0.00730688963085413,0.924756407737732,0.7800000309944153,0.9051918983459472,0.6740741729736328
no_init_box_kenn_bottom_up_adapter_bert_ms,2,6n8gdwjh,0.7740188837051392,0.00730688963085413,0.9154558181762696,0.9512194991111756,0.7924527525901794,0.8505614399909973,0.75,0.7924527525901794,0.7000000476837158,0.006784969009459019,0.8906884789466858,0.00730688963085413,0.6500000953674316,0.91304349899292,36,0.02,0.699999988079071,0.7000000476837158,0.7000000476837158,0.91304349899292,0.8793859481811523,0.699999988079071,0.8906884789466858,0.9247042536735536,0.007036264054477215,0.6000000238418579,0.9049875736236572,0.25,0.6499999761581421,0.8793859481811523,0.8505614399909973,0.699999988079071,0.8138940334320068,0.6499999761581421,0.90639066696167,0.00730688963085413,1.0,0.90639066696167,0.8920031189918518,0.9154558181762696,0.7924527525901794,0.8920031189918518,0.91304349899292,0.8138940334320068,0.7000000476837158,0.95652174949646,0.00730688963085413,0.9247042536735536,0.7722772359848022,0.9049875736236572,0.6740741729736328
no_init_box_kenn_hybrid_adapter_bert_ms,1,f7v9l99g,0.5882353186607361,0.0024356297217309475,0.9144946932792664,1.0,0.3783783614635467,0.8462193012237549,0.75,0.3783783614635467,0.23333334922790527,0.004349338822066784,0.8924275636672974,0.006263048388063908,0.4166666865348816,1.0,80,0.41,0.23333333432674408,0.23333334922790527,0.6000000238418579,1.0,0.8763157725334167,0.23333333432674408,0.8924275636672974,0.9245187044143676,0.005133646074682474,0.6000000238418579,0.9050962924957277,0.25,0.4166666865348816,0.8763157725334167,0.8462193012237549,0.23333333432674408,0.8045607209205627,0.4166666567325592,0.9046857357025146,0.0024356297217309475,1.0,0.9046857357025146,0.8904735445976257,0.9144946932792664,0.3783783614635467,0.8904735445976257,1.0,0.8045607209205627,0.23333334922790527,1.0,0.0024356297217309475,0.9245187044143676,0.5882353186607361,0.9050962924957277,0.4918033480644226
no_init_box_kenn_top_down_adapter_bert_ms,1,xd18h7j5,0.8049290180206299,0.008002784103155136,0.9155842065811156,0.976190447807312,0.8518518805503845,0.8517023921012878,0.75,0.8518518805503845,0.7666667103767395,0.0071329157799482346,0.8915942907333374,0.008002784103155136,0.6833333969116211,0.9583333134651184,98,0.060000000000000005,0.7666666507720947,0.7666667103767395,0.7666667103767395,0.9583333134651184,0.8798245787620544,0.7666666507720947,0.8915942907333374,0.9247970581054688,0.007542853709310293,0.6000000238418579,0.9052346348762512,0.25,0.6833333373069763,0.8798245787620544,0.8517023921012878,0.7666666507720947,0.8152273893356323,0.6833333373069763,0.906553030014038,0.008002784103155136,1.0,0.906553030014038,0.8923487663269043,0.9155842065811156,0.8518518805503845,0.8923487663269043,0.9583333134651184,0.8152273893356323,0.7666667103767395,0.9791666269302368,0.008002784103155136,0.9247970581054688,0.8039215803146362,0.9052346348762512,0.7226054072380066
no_init_box_kenn_bottom_up_adapter_bert_ms,1,i9nu9sok,0.5882353186607361,0.0024356297217309475,0.9144946932792664,1.0,0.3783783614635467,0.8462193012237549,0.75,0.3783783614635467,0.23333334922790527,0.004349338822066784,0.8924275636672974,0.006263048388063908,0.4166666865348816,1.0,80,0.25,0.23333333432674408,0.23333334922790527,0.6000000238418579,1.0,0.8763157725334167,0.23333333432674408,0.8924275636672974,0.9245187044143676,0.005133646074682474,0.6000000238418579,0.9050962924957277,0.25,0.4166666865348816,0.8763157725334167,0.8462193012237549,0.23333333432674408,0.8045607209205627,0.4166666567325592,0.9046857357025146,0.0024356297217309475,1.0,0.9046857357025146,0.8904735445976257,0.9144946932792664,0.3783783614635467,0.8904735445976257,1.0,0.8045607209205627,0.23333334922790527,1.0,0.0024356297217309475,0.9245187044143676,0.5882353186607361,0.9050962924957277,0.4918033480644226
no_init_box_kenn_hybrid_adapter_bert_ms,0,4ziv6wb6,0.7876447439193726,0.009394572116434574,0.9155148267745972,0.7627118825912476,0.7605634331703186,0.8504007458686829,0.75,0.7605634331703186,0.9000000953674316,0.007828810252249241,0.8855983018875122,0.009394572116434574,0.7500000596046448,0.6585366129875183,39,0.01,0.8999999761581421,0.9000000953674316,0.9000000953674316,0.6585366129875183,0.8807017803192139,0.8999999761581421,0.8855983018875122,0.924257755279541,0.008540519513189793,0.6000000238418579,0.9026747345924376,0.25,0.75,0.8807017803192139,0.8504007458686829,0.8999999761581421,0.8178940415382385,0.75,0.906935691833496,0.009394572116434574,1.0,0.906935691833496,0.8915529251098633,0.9155148267745972,0.7605634331703186,0.8915529251098633,0.6585366129875183,0.8178940415382385,0.9000000953674316,0.8292683362960815,0.009394572116434574,0.924257755279541,0.7563024759292603,0.9026747345924376,0.8181819319725037
