name,test_incremental/macro_example_exclusive/precision/mean,test_incremental_only/macro_types/precision/mean,test_incremental/micro/precision/mean,test_incremental_internet/macro_types/recall/mean,test/micro/precision/mean,test/macro_example/f1/mean,test_incremental_only/macro_types/f1/mean,test_incremental_only/macro_example/precision/mean,test_incremental/micro/f1/mean,test_incremental_only/macro_example/f1/mean,test_incremental_internet-website/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_pretraining/micro/f1/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_pretraining/macro_example/recall/mean,threshold_pretraining/mean,test/macro_types/precision/mean,test_incremental_only/micro/recall/mean,test_incremental_internet/macro_types/precision/mean,test/micro/recall/mean,test/macro_types/f1/mean,test_incremental_internet/macro_types/f1/mean,test_incremental/macro_example_exclusive/f1/mean,test/macro_types/recall/mean,test_pretraining/micro/recall/mean,test_incremental/macro_types/f1/mean,test_pretraining/micro/precision/mean,epoch/mean,test_pretraining/macro_types/recall/mean,test_pretraining/macro_types/precision/mean,test_incremental/macro_example/precision/mean,test_pretraining/macro_example/precision/mean,test_incremental_internet-website/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/macro_example/recall/mean,test_incremental/micro/recall/mean,test_incremental_only/micro/f1/mean,test/micro/f1/mean,test_incremental_only/macro_example/recall/mean,test_incremental_only/micro/precision/mean,test/macro_example/precision/mean,test_incremental/macro_types/precision/mean,test_incremental_internet-website/macro_types/precision/mean,test_pretraining/macro_types/f1/mean,test_incremental_only/macro_types/recall/mean,threshold_incremental/mean,test_incremental/macro_types/recall/mean,test_incremental/macro_example/recall/mean,test_incremental/macro_example/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental/macro_example_exclusive/precision/std,test_incremental_only/macro_types/precision/std,test_incremental/micro/precision/std,test_incremental_internet/macro_types/recall/std,test/micro/precision/std,test/macro_example/f1/std,test_incremental_only/macro_types/f1/std,test_incremental_only/macro_example/precision/std,test_incremental/micro/f1/std,test_incremental_only/macro_example/f1/std,test_incremental_internet-website/macro_types/f1/std,test_incremental_only/macro_example_exclusive/precision/std,test_pretraining/micro/f1/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test_pretraining/macro_example/recall/std,threshold_pretraining/std,test/macro_types/precision/std,test_incremental_only/micro/recall/std,test_incremental_internet/macro_types/precision/std,test/micro/recall/std,test/macro_types/f1/std,test_incremental_internet/macro_types/f1/std,test_incremental/macro_example_exclusive/f1/std,test/macro_types/recall/std,test_pretraining/micro/recall/std,test_incremental/macro_types/f1/std,test_pretraining/micro/precision/std,epoch/std,test_pretraining/macro_types/recall/std,test_pretraining/macro_types/precision/std,test_incremental/macro_example/precision/std,test_pretraining/macro_example/precision/std,test_incremental_internet-website/macro_types/recall/std,test_incremental_only/macro_example_exclusive/recall/std,test/macro_example/recall/std,test_incremental/micro/recall/std,test_incremental_only/micro/f1/std,test/micro/f1/std,test_incremental_only/macro_example/recall/std,test_incremental_only/micro/precision/std,test/macro_example/precision/std,test_incremental/macro_types/precision/std,test_incremental_internet-website/macro_types/precision/std,test_pretraining/macro_types/f1/std,test_incremental_only/macro_types/recall/std,threshold_incremental/std,test_incremental/macro_types/recall/std,test_incremental/macro_example/recall/std,test_incremental/macro_example/f1/std,test_pretraining/macro_example/f1/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.8111111521720886,0.6479239168887337,0.6620981699476639,0.6000000238418579,0.7873990337053934,0.8335601290067037,0.4264156756301721,0.006726977415382862,0.47211489205559093,0.006726977415382862,0.4264156756301721,0.644444465637207,0.8204492330551147,0.6222222844759623,0.644444465637207,0.906036893526713,0.25,0.885386069615682,0.6444444457689921,1.0,0.8790204723676046,0.8474756081899008,0.75,0.7039461135864258,0.8127829233805338,0.8790204723676046,0.6674605210622152,0.7873990337053934,64.33333333333333,0.8127829233805338,0.885386069615682,0.00846671313047409,0.7938297589619955,0.6444444457689921,0.644444465637207,0.906036893526713,0.6222222447395325,0.4264156756301721,0.8204492330551147,0.006726977415382862,0.6479239168887337,0.7938297589619955,0.8239619731903076,0.6479239168887337,0.8474756081899008,0.6444444457689921,0.013333333333333334,0.6222222447395325,0.006495012901723385,0.007348080010463794,0.8335601290067037,0.1644293947768663,0.5530840228991974,0.5592252616441395,0.0,0.20394055814811174,0.14095826118077237,0.3514648516320649,0.00321419781188579,0.380718431242068,0.00321419781188579,0.3514648516320649,0.30792012521432965,0.1226974071561651,0.15396007981354654,0.30792012521432965,0.001134005036418412,0.0,0.011061663554038335,0.3079201424207085,0.0,0.002025775807880511,0.0017855551069631084,0.0,0.16028014836960167,0.006158438293554599,0.002025775807880511,0.041892656482963704,0.20394055814811174,15.307950004273376,0.006158438293554599,0.011061663554038335,0.0017163822659347066,0.22668127432905524,0.3079201424207085,0.30792012521432965,0.001134005036418412,0.15396006260716483,0.3514648516320649,0.1226974071561651,0.00321419781188579,0.5530840228991974,0.22668127432905524,0.27654201081989516,0.5530840228991974,0.0017855551069631084,0.3079201424207085,0.011547005383792516,0.15396006260716483,0.001607098905942895,0.0016730704734022133,0.14095826118077237
no_init_box_kenn_horizontal_adapter_bert_ms,0.7333333492279053,0.6701461377864083,0.6721991704156002,0.6000000238418579,0.787331243356069,0.8331578969955444,0.1746798393627008,0.0045233124401420355,0.3735852154592673,0.0045233124401420355,0.1746798393627008,0.4333333397905032,0.8196997046470642,0.5166667103767395,0.4333333397905032,0.9053680499394735,0.25,0.8858305017153422,0.43333333482344943,1.0,0.8776315649350485,0.8453449209531149,0.75,0.6030879219373068,0.8085607290267944,0.8776315649350485,0.569185713926951,0.787331243356069,61.666666666666664,0.8085607290267944,0.8858305017153422,0.0076548367117842036,0.7937060594558716,0.43333333482344943,0.4333333397905032,0.9053680499394735,0.5166666706403097,0.1746798393627008,0.8196997046470642,0.0045233124401420355,0.6701461377864083,0.7937060594558716,0.8350730737050375,0.6701461377864083,0.8453449209531149,0.43333333482344943,0.19999999999999998,0.5166666805744171,0.00539318029768765,0.006295280531048775,0.8331578969955444,0.2309400939107472,0.5713236484267648,0.5677676916034077,0.0,0.20388183140950517,0.14061009610499223,0.18396049708777967,0.005195958434135074,0.29864746960712857,0.005195958434135074,0.18396049708777967,0.4977728129618836,0.12204867822004409,0.2488864308036714,0.4977728129618836,0.0017673013304541222,0.0,0.011426446481465857,0.4977728159554502,0.0,0.0032748222457245606,0.0009275993258735805,0.0,0.2495220245959908,0.009955467210703034,0.0032748222457245606,0.06189983803340859,0.20388183140950517,25.106440076867393,0.009955467210703034,0.011426446481465857,0.002410648090064673,0.22657414734058393,0.4977728159554502,0.4977728129618836,0.0017673013304541222,0.24888641384012677,0.18396049708777967,0.12204867822004409,0.005195958434135074,0.5713236484267648,0.22657414734058393,0.2856618158790426,0.5713236484267648,0.0009275993258735805,0.4977728159554502,0.3377869150810907,0.2488864078529932,0.002597979306718624,0.002604614030910782,0.14061009610499223
no_init_box_kenn_hybrid_adapter_bert_ms,0.8111111521720886,0.6479239168887337,0.6620981699476639,0.6000000238418579,0.7873990337053934,0.8335601290067037,0.4264156756301721,0.006726977415382862,0.47211489205559093,0.006726977415382862,0.4264156756301721,0.644444465637207,0.8204492330551147,0.6222222844759623,0.644444465637207,0.906036893526713,0.25,0.885386069615682,0.6444444457689921,1.0,0.8790204723676046,0.8474756081899008,0.75,0.7039461135864258,0.8127829233805338,0.8790204723676046,0.6674605210622152,0.7873990337053934,70.33333333333333,0.8127829233805338,0.885386069615682,0.00846671313047409,0.7938297589619955,0.6444444457689921,0.644444465637207,0.906036893526713,0.6222222447395325,0.4264156756301721,0.8204492330551147,0.006726977415382862,0.6479239168887337,0.7938297589619955,0.8239619731903076,0.6479239168887337,0.8474756081899008,0.6444444457689921,0.016666666666666666,0.6222222447395325,0.006495012901723385,0.007348080010463794,0.8335601290067037,0.1644293947768663,0.5530840228991974,0.5592252616441395,0.0,0.20394055814811174,0.14095826118077237,0.3514648516320649,0.00321419781188579,0.380718431242068,0.00321419781188579,0.3514648516320649,0.30792012521432965,0.1226974071561651,0.15396007981354654,0.30792012521432965,0.001134005036418412,0.0,0.011061663554038335,0.3079201424207085,0.0,0.002025775807880511,0.0017855551069631084,0.0,0.16028014836960167,0.006158438293554599,0.002025775807880511,0.041892656482963704,0.20394055814811174,25.774664562964407,0.006158438293554599,0.011061663554038335,0.0017163822659347066,0.22668127432905524,0.3079201424207085,0.30792012521432965,0.001134005036418412,0.15396006260716483,0.3514648516320649,0.1226974071561651,0.00321419781188579,0.5530840228991974,0.22668127432905524,0.27654201081989516,0.5530840228991974,0.0017855551069631084,0.3079201424207085,0.015275252316519466,0.15396006260716483,0.001607098905942895,0.0016730704734022133,0.14095826118077237
no_init_box_kenn_top_down_adapter_bert_ms,0.7333333889643351,0.7696806093056997,0.8292929331461588,0.6000000238418579,0.9028942982355753,0.9151669343312582,0.6954314311345419,0.0073068894756337,0.7123756806055704,0.0073068894756337,0.6954314311345419,0.7000000476837158,0.8909818132718405,0.6500000357627869,0.7000000476837158,0.9063596924146017,0.25,0.8878212173779806,0.700000007947286,1.0,0.8793859481811523,0.8492403427759806,0.75,0.6884962519009908,0.8138940533002218,0.8793859481811523,0.7421990633010864,0.9028942982355753,60.666666666666664,0.8138940533002218,0.8878212173779806,0.0076548367117842036,0.9241475264231362,0.700000007947286,0.7000000476837158,0.9063596924146017,0.649999996026357,0.6954314311345419,0.8909818132718405,0.0073068894756337,0.7696806093056997,0.9241475264231362,0.8848402897516886,0.7696806093056997,0.8492403427759806,0.700000007947286,0.01,0.6500000357627869,0.006784969009459019,0.007186808468153079,0.9151669343312582,0.11547008136813133,0.3345259314217318,0.2573141669005029,0.0,0.003963349325291603,0.0005739016170092685,0.17736008471963352,0.0012545410844918105,0.10961713874881636,0.0012545410844918105,0.17736008471963352,0.12018504361756,0.0018636753345575815,0.06009252180878,0.12018504361756,0.0004188572309776407,0.0,0.006690499818185429,0.1201850518832337,0.0,0.0007907029312819175,0.002885424195645926,0.0,0.0845166692219339,0.002403708476792944,0.0007907029312819175,0.06547224598429814,0.003963349325291603,10.115993936995677,0.002403708476792944,0.006690499818185429,0.0012053240450323366,0.0010806031423966891,0.1201850518832337,0.12018504361756,0.0004188572309776407,0.060092530074458354,0.17736008471963352,0.0018636753345575815,0.0012545410844918105,0.3345259314217318,0.0010806031423966891,0.16726296742410163,0.3345259314217318,0.002885424195645926,0.1201850518832337,0.0,0.06009252180878,0.0006272707359727463,0.0008822196077672186,0.0005739016170092685
no_init_kenn_bottom_up_adapter_bert_ms,0.8333333730697632,0.7635223170121511,0.8059186538060507,0.7666666507720947,0.9116339683532715,0.920798639456431,0.7292414903640747,0.008002783792714277,0.7715948820114136,0.008002783792714277,0.7292414903640747,0.7666667103767395,0.9047752022743225,0.7666666905085245,0.7666667103767395,0.9142426451047262,0.375,0.9014740784962972,0.7666666706403097,0.9200000166893004,0.8980263074239095,0.8800506393114725,0.8363636136054993,0.7985384066899618,0.8596428434054056,0.8980263074239095,0.7948111295700073,0.9116339683532715,78.66666666666667,0.8596428434054056,0.9014740784962972,0.008698677954574427,0.9274511138598124,0.7666666706403097,0.7666667103767395,0.9142426451047262,0.7666666706403097,0.7292414903640747,0.9047752022743225,0.008002783792714277,0.7635223170121511,0.9274511138598124,0.8417611718177795,0.7635223170121511,0.8800506393114725,0.7666666706403097,0.4066666666666667,0.7666666706403097,0.008002783792714277,0.008335473636786142,0.920798639456431,0.03333330154418945,0.29865891289465185,0.21037297895863896,0.0,0.003980856700897955,0.000802525875984475,0.14209368455594862,0.0009205816802230937,0.09088508335303244,0.0009205816802230937,0.14209368455594862,0.08819168258374813,0.0016741961360424735,0.04409588071664166,0.08819168258374813,0.00033191093746854603,0.0,0.00597317241949906,0.08819171637640416,0.0,0.0005802086604075263,0.0019424150690755912,0.0,0.03865881786081201,0.0017638302724211808,0.0005802086604075263,0.05103456144159101,0.003980856700897955,42.12283624512164,0.0017638302724211808,0.00597317241949906,0.000347947236150607,0.0019271907037545892,0.08819171637640416,0.08819168258374813,0.00033191093746854603,0.04409584692398301,0.14209368455594862,0.0016741961360424735,0.0009205816802230937,0.29865891289465185,0.0019271907037545892,0.14932944786145252,0.29865891289465185,0.0019424150690755912,0.08819171637640416,0.2542308662089113,0.04409584692398301,0.0004602910161149699,0.0004035370356696409,0.000802525875984475
no_init_kenn_horizontal_adapter_bert_ms,0.888888935248057,0.5836367830634117,0.6402115225791931,0.7666666507720947,0.8998284737269083,0.9165148735046387,0.5794914315144221,0.008118766359984875,0.6369150082270304,0.008118766359984875,0.5794914315144221,0.7777778506278992,0.8988581697146097,0.7722222606341044,0.7777778307596842,0.9144127567609152,0.375,0.8978763620058695,0.7777777711550394,0.9200000166893004,0.898099402586619,0.878441572189331,0.8363636136054993,0.8264177044232687,0.8598650693893433,0.898099402586619,0.7472361524899801,0.8998284737269083,81.33333333333333,0.8598650693893433,0.8978763620058695,0.009278589549163977,0.9187312126159668,0.7777777711550394,0.7777778506278992,0.9144127567609152,0.7722222208976746,0.5794914315144221,0.8988581697146097,0.008118766359984875,0.5836367830634117,0.9187312126159668,0.7518184185028076,0.5836367830634117,0.878441572189331,0.7777777711550394,0.2333333333333333,0.7722222208976746,0.008060775076349577,0.008626489279170832,0.9165148735046387,0.05091751769361275,0.41439187698140934,0.39429333560608976,0.0,0.02321191323952717,0.00817675077138828,0.3338657453053474,0.000875647761668747,0.2888509465935147,0.000875647761668747,0.3338657453053474,0.08388705612297488,0.011420681971192656,0.0419435438511419,0.08388706007038474,0.0003429609013397934,0.0,0.008287826745035615,0.08388706007038474,0.0,0.000551887955957967,0.0031482474441156547,0.0,0.04550529912348748,0.0016777378066873472,0.000551887955957967,0.10035402624687478,0.02321191323952717,41.23509831846329,0.0016777378066873472,0.008287826745035615,0.0005314979792722337,0.01662396194576208,0.08388706007038474,0.08388705612297488,0.0003429609013397934,0.04194351621924535,0.3338657453053474,0.011420681971192656,0.000875647761668747,0.41439187698140934,0.01662396194576208,0.2071959576817995,0.41439187698140934,0.0031482474441156547,0.08388706007038474,0.2281081614790083,0.04194351621924535,0.00043782409670862723,0.0004750032239520174,0.00817675077138828
no_init_kenn_hybrid_adapter_bert_ms,0.8333333730697632,0.7764429251352946,0.8178094426790873,0.7666666507720947,0.9119753440221151,0.9209035237630209,0.7475682099660238,0.008118766049544016,0.7830540537834167,0.008118766049544016,0.7475682099660238,0.7777778307596842,0.9049814144770304,0.7722222606341044,0.7777778307596842,0.9143006404240926,0.375,0.9017324844996134,0.7777777910232544,0.9200000166893004,0.898099402586619,0.8802919785181681,0.8363636136054993,0.8015304605166117,0.8598650693893433,0.898099402586619,0.8020605047543844,0.9119753440221151,76.33333333333333,0.8598650693893433,0.9017324844996134,0.008698677954574427,0.9276038209597269,0.7777777910232544,0.7777778307596842,0.9143006404240926,0.7722222208976746,0.7475682099660238,0.9049814144770304,0.008118766049544016,0.7764429251352946,0.9276038209597269,0.848221480846405,0.7764429251352946,0.8802919785181681,0.7777777910232544,0.5333333333333333,0.7722222208976746,0.008060775076349577,0.008366706470648447,0.9209035237630209,0.03333330154418945,0.27810504552180626,0.19098048746076082,0.0,0.0034066529229634305,0.0006938494475390794,0.13001613290867797,0.0008035497218211171,0.08055595065746457,0.0008035497218211171,0.13001613290867797,0.0769799968908247,0.0014227658102325827,0.03849003285818159,0.0769799968908247,0.000256468759819159,0.0,0.005562098208769877,0.07698003130358241,0.0,0.0005064525551595442,0.001854456030035437,0.0,0.034960932916171465,0.0015395923670097986,0.0005064525551595442,0.04795886018803741,0.0034066529229634305,43.385865593915874,0.0015395923670097986,0.005562098208769877,0.000347947236150607,0.001662752911521402,0.07698003130358241,0.0769799968908247,0.000256468759819159,0.03849001565179121,0.13001613290867797,0.0014227658102325827,0.0008035497218211171,0.27810504552180626,0.001662752911521402,0.13905253240971693,0.27810504552180626,0.001854456030035437,0.07698003130358241,0.3619852667351716,0.03849001565179121,0.0004017748609105587,0.0003649362986259706,0.0006938494475390794
no_init_kenn_top_down_adapter_bert_ms,0.8333333730697632,0.7588047484556834,0.8025304873784384,0.7666666507720947,0.9115665952364603,0.9207723736763,0.7294939160346985,0.00800278348227342,0.7706941763559977,0.00800278348227342,0.7294939160346985,0.7666667302449545,0.9047421415646871,0.7666667103767395,0.7666667501131693,0.9142774343490601,0.375,0.9013797243436178,0.7666666706403097,0.9200000166893004,0.8980263074239095,0.8800068696339926,0.8363636136054993,0.7985557516415914,0.8596428632736206,0.8980263074239095,0.7945210735003153,0.9115665952364603,80.0,0.8596428632736206,0.9013797243436178,0.008698677954574427,0.9273621837298075,0.7666666706403097,0.7666667302449545,0.9142774343490601,0.7666666706403097,0.7294939160346985,0.9047421415646871,0.00800278348227342,0.7588047484556834,0.9273621837298075,0.8394023974736532,0.7588047484556834,0.8800068696339926,0.7666666706403097,0.59,0.7666666507720947,0.008002783792714277,0.008335655555129051,0.9207723736763,0.03333330154418945,0.30858449891428913,0.21741523467020346,0.0,0.004114363709352459,0.0009206467193666523,0.16127758665450986,0.0006026620225161684,0.1019448310209479,0.0006026620225161684,0.16127758665450986,0.05773500627130796,0.0018369996167341346,0.028867537548427066,0.057735040684065646,0.0002172683081284168,0.0,0.006171681467026825,0.05773500627130796,0.0,0.00037984801955909866,0.002346247457392339,0.0,0.02995428669276658,0.0011547200848256286,0.00037984801955909866,0.060982128277196825,0.004114363709352459,42.883563284783136,0.0011547200848256286,0.006171681467026825,0.000347947236150607,0.0020811949135674398,0.05773500627130796,0.05773500627130796,0.0002172683081284168,0.028867520342032837,0.16127758665450986,0.0018369996167341346,0.0006026620225161684,0.30858449891428913,0.0020811949135674398,0.15429225041942096,0.30858449891428913,0.002346247457392339,0.05773500627130796,0.272213151776324,0.028867485929275124,0.00030133101125808404,0.00031267539577933107,0.0009206467193666523
smart_init_box_adapter_bert_ms,0.7444444894790649,0.7463450332482656,0.7921605904897054,0.6000000238418579,0.9007493456204733,0.9145394762357076,0.6051672995090485,0.006958942239483197,0.6555519700050354,0.006958942239483197,0.6051672995090485,0.6666667064030966,0.8898114959398905,0.6333333849906921,0.6666667064030966,0.9062379598617554,0.25,0.8873544931411743,0.6666666766007742,1.0,0.8791666825612386,0.8486447135607401,0.75,0.6835463841756185,0.813227375348409,0.8791666825612386,0.7130695978800455,0.9007493456204733,8.666666666666666,0.813227375348409,0.8873544931411743,0.007770818813393514,0.9229992826779684,0.6666666766007742,0.6666667064030966,0.9062379598617554,0.6333333452542623,0.6051672995090485,0.8898114959398905,0.006958942239483197,0.7463450332482656,0.9229992826779684,0.8731725017229716,0.7463450332482656,0.8486447135607401,0.6666666766007742,0.3133333333333333,0.6333333452542623,0.006610995468993981,0.007135138846933842,0.9145394762357076,0.16442944310937005,0.394641406533777,0.3368535079022347,0.0,0.007686594452656905,0.0010354524591682749,0.1476180319301746,0.002509082168983621,0.11227218860179541,0.002509082168983621,0.1476180319301746,0.2403701037664675,0.002992394758829025,0.12018508494594263,0.2403701037664675,0.0008036544187007104,0.0,0.007892789236968019,0.240370083102275,0.0,0.0015813810652807148,0.001216573921694255,0.0,0.1375857641361365,0.004807416953585923,0.0015813810652807148,0.025610037199608634,0.007686594452656905,0.5773502691896258,0.004807416953585923,0.007892789236968019,0.0017163821558020425,0.002858520009228745,0.240370083102275,0.2403701037664675,0.0008036544187007104,0.12018501882052557,0.1476180319301746,0.002992394758829025,0.002509082168983621,0.394641406533777,0.002858520009228745,0.19732070426053963,0.394641406533777,0.001216573921694255,0.240370083102275,0.26501572280401275,0.12018501882052557,0.0012545413427942113,0.0014361767527426713,0.0010354524591682749
smart_init_classifier_adapter_bert_ms,0.8111111720403036,0.939393937587738,0.9253458380699158,0.7666666507720947,0.9138655662536621,0.9212865829467773,0.842275341351827,0.008118766049544016,0.839589258035024,0.008118766049544016,0.842275341351827,0.7777778307596842,0.9059135516484579,0.7722222407658895,0.7777778307596842,0.9142155647277832,0.375,0.9049915075302124,0.7777777711550394,0.9200000166893004,0.898099402586619,0.8818479577700297,0.8363636136054993,0.791085402170817,0.8598650693893433,0.898099402586619,0.8414793014526367,0.9138655662536621,6.333333333333333,0.8598650693893433,0.9049915075302124,0.00846671344091495,0.9284678896268209,0.7777777711550394,0.7777778307596842,0.9142155647277832,0.7722222208976746,0.842275341351827,0.9059135516484579,0.008118766049544016,0.939393937587738,0.9284678896268209,0.9296969970067342,0.939393937587738,0.8818479577700297,0.7777777711550394,0.5933333333333334,0.7722222208976746,0.008060774765908718,0.008257676226397356,0.9212865829467773,0.07698006571634013,0.10497277934472811,0.05480134351915666,0.0,0.0006448976566898396,0.00027168906643433046,0.01713907952160707,0.001118493441647976,0.008735817375171978,0.001118493441647976,0.01713907952160707,0.10715170891004787,7.106994339347419e-05,0.05357585445502394,0.10715170891004787,0.0004340395499154042,0.0,0.002099453522129172,0.10715166255469387,0.0,0.000704938215434788,0.00020930785537958096,0.0,0.06448900153000177,0.002143035785193172,0.000704938215434788,0.00968538102455886,0.0006448976566898396,2.309401076758503,0.002143035785193172,0.002099453522129172,0.000803549184121778,0.0001045360176110602,0.10715166255469387,0.10715170891004787,0.0004340395499154042,0.05357582046109755,0.01713907952160707,7.106994339347419e-05,0.001118493441647976,0.10497277934472811,0.0001045360176110602,0.05248640687874297,0.10497277934472811,0.00020930785537958096,0.10715166255469387,0.36828431046317106,0.05357582046109755,0.0005592466242503545,0.0006731622272372542,0.00027168906643433046
