name,instance,run_id,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_types/precision,test_incremental/micro/precision,test_incremental_internet/macro_types/recall,test/micro/precision,test/macro_example/f1,test_incremental_only/macro_types/f1,test_incremental_only/macro_example/precision,test_incremental/micro/f1,test_incremental_only/macro_example/f1,test_incremental_internet-website/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_pretraining/micro/f1,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/f1,test_pretraining/macro_example/recall,threshold_pretraining,test/macro_types/precision,test_incremental_only/micro/recall,test_incremental_internet/macro_types/precision,test/micro/recall,test/macro_types/f1,test_incremental_internet/macro_types/f1,test_incremental/macro_example_exclusive/f1,test/macro_types/recall,test_pretraining/micro/recall,test_incremental/macro_types/f1,test_pretraining/micro/precision,epoch,test_pretraining/macro_types/recall,test_pretraining/macro_types/precision,test_incremental/macro_example/precision,test_pretraining/macro_example/precision,test_incremental_internet-website/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test/macro_example/recall,test_incremental/micro/recall,test_incremental_only/micro/f1,test/micro/f1,test_incremental_only/macro_example/recall,test_incremental_only/micro/precision,test/macro_example/precision,test_incremental/macro_types/precision,test_incremental_internet-website/macro_types/precision,test_pretraining/macro_types/f1,test_incremental_only/macro_types/recall,threshold_incremental,test_incremental/macro_types/recall,test_incremental/macro_example/recall,test_incremental/macro_example/f1,test_pretraining/macro_example/f1
no_init_box_kenn_horizontal_adapter_bert_ms,2,b2gyojk7,0.6000000238418579,1.0,1.0,0.6000000238418579,0.9049886465072632,0.9141094088554382,0.125,0.0006958942394703627,0.5,0.0006958942394703627,0.125,0.06666667014360428,0.8898550868034363,0.3333333730697632,0.06666667014360428,0.9039317965507508,0.25,0.8924275636672974,0.06666667014360428,1.0,0.8752192854881287,0.8443719744682312,0.75,0.4285714626312256,0.8012273907661438,0.8752192854881287,0.5,0.9049886465072632,83,0.8012273907661438,0.8924275636672974,0.006263048388063908,0.9245187044143676,0.06666667014360428,0.06666667014360428,0.9039317965507508,0.3333333432674408,0.125,0.8898550868034363,0.0006958942394703627,1.0,0.9245187044143676,1.0,1.0,0.8443719744682312,0.06666667014360428,0.59,0.3333333432674408,0.0034794711973518133,0.0044736056588590145,0.9141094088554382
no_init_box_kenn_horizontal_adapter_bert_ms,1,zbkg43w3,1.0,0.010438413359224796,0.016597511246800423,0.6000000238418579,0.5519087910652161,0.6707955598831177,0.020661156624555588,0.010438413359224796,0.03252032771706581,0.010438413359224796,0.020661156624555588,1.0,0.6787704825401306,0.8000000715255737,1.0,0.9073416590690612,0.25,0.8726363778114319,1.0,1.0,0.8813596367835999,0.8454434871673584,0.75,0.888888955116272,0.8198940753936768,0.8813596367835999,0.6193218231201172,0.5519087910652161,68,0.8198940753936768,0.8726363778114319,0.010438413359224796,0.5320807695388794,1.0,1.0,0.9073416590690612,0.800000011920929,0.020661156624555588,0.6787704825401306,0.010438413359224796,0.010438413359224796,0.5320807695388794,0.5052192211151123,0.010438413359224796,0.8454434871673584,1.0,0.0,0.800000011920929,0.008350730873644352,0.009278589859604836,0.6707955598831177
no_init_box_kenn_horizontal_adapter_bert_ms,0,3seqjc1a,0.6000000238418579,1.0,1.0,0.6000000238418579,0.9050962924957277,0.9145687222480774,0.3783783614635467,0.0024356297217309475,0.5882353186607361,0.0024356297217309475,0.3783783614635467,0.23333334922790527,0.8904735445976257,0.4166666865348816,0.23333334922790527,0.9048306941986084,0.25,0.8924275636672974,0.23333333432674408,1.0,0.8763157725334167,0.8462193012237549,0.75,0.4918033480644226,0.8045607209205627,0.8763157725334167,0.5882353186607361,0.9050962924957277,34,0.8045607209205627,0.8924275636672974,0.006263048388063908,0.9245187044143676,0.23333333432674408,0.23333334922790527,0.9048306941986084,0.4166666567325592,0.3783783614635467,0.8904735445976257,0.0024356297217309475,1.0,0.9245187044143676,1.0,1.0,0.8462193012237549,0.23333333432674408,0.01,0.4166666865348816,0.004349338822066784,0.005133646074682474,0.9145687222480774
no_init_box_kenn_hybrid_adapter_bert_ms,2,kvbce0tr,0.7000000476837158,0.9333333373069764,0.9696969985961914,0.6000000238418579,0.9050418138504028,0.914890706539154,0.6222222447395325,0.004871259443461895,0.6881721019744873,0.004871259443461895,0.6222222447395325,0.46666669845581055,0.8912389874458313,0.533333420753479,0.46666669845581055,0.905288815498352,0.25,0.8910942673683167,0.46666666865348816,1.0,0.8778508901596069,0.8481898903846741,0.75,0.6054055094718933,0.8092273473739624,0.8778508901596069,0.6874074935913086,0.9050418138504028,66,0.8092273473739624,0.8910942673683167,0.00730688963085413,0.9246984720230104,0.46666666865348816,0.46666669845581055,0.905288815498352,0.5333333611488342,0.6222222447395325,0.8912389874458313,0.004871259443461895,0.9333333373069764,0.9246984720230104,0.9666666984558104,0.9333333373069764,0.8481898903846741,0.46666666865348816,0.03,0.5333333611488342,0.005567153915762901,0.006319472100585699,0.914890706539154
no_init_box_kenn_top_down_adapter_bert_ms,2,vnimbbt1,0.8000000715255737,0.3859649002552033,0.5333333611488342,0.6000000238418579,0.8983202576637268,0.9146120548248292,0.5057471394538879,0.007654836401343346,0.5925926566123962,0.007654836401343346,0.5057471394538879,0.7333333492279053,0.888864278793335,0.6666666865348816,0.7333333492279053,0.9064486026763916,0.25,0.8801469206809998,0.7333333492279053,1.0,0.879605233669281,0.846084713935852,0.75,0.7272728085517883,0.8145607113838196,0.879605233669281,0.6795698404312134,0.8983202576637268,66,0.8145607113838196,0.8801469206809998,0.008350730873644352,0.9229239225387572,0.7333333492279053,0.7333333492279053,0.9064486026763916,0.6666666865348816,0.5057471394538879,0.888864278793335,0.007654836401343346,0.3859649002552033,0.9229239225387572,0.6929824352264404,0.3859649002552033,0.846084713935852,0.7333333492279053,0.01,0.6666666865348816,0.006958942860364914,0.007591573521494865,0.9146120548248292
no_init_box_kenn_bottom_up_adapter_bert_ms,2,dp116xx8,0.7000000476837158,0.9333333373069764,0.9696969985961914,0.6000000238418579,0.9050418138504028,0.914890706539154,0.6222222447395325,0.004871259443461895,0.6881721019744873,0.004871259443461895,0.6222222447395325,0.46666669845581055,0.8912389874458313,0.533333420753479,0.46666669845581055,0.905288815498352,0.25,0.8910942673683167,0.46666666865348816,1.0,0.8778508901596069,0.8481898903846741,0.75,0.6054055094718933,0.8092273473739624,0.8778508901596069,0.6874074935913086,0.9050418138504028,70,0.8092273473739624,0.8910942673683167,0.00730688963085413,0.9246984720230104,0.46666666865348816,0.46666669845581055,0.905288815498352,0.5333333611488342,0.6222222447395325,0.8912389874458313,0.004871259443461895,0.9333333373069764,0.9246984720230104,0.9666666984558104,0.9333333373069764,0.8481898903846741,0.46666666865348816,0.02,0.5333333611488342,0.005567153915762901,0.006319472100585699,0.914890706539154
no_init_box_kenn_hybrid_adapter_bert_ms,1,v1vngk29,1.0,0.010438413359224796,0.016597511246800423,0.6000000238418579,0.5519087910652161,0.6707955598831177,0.020661156624555588,0.010438413359224796,0.03252032771706581,0.010438413359224796,0.020661156624555588,1.0,0.6787704825401306,0.8000000715255737,1.0,0.9073416590690612,0.25,0.8726363778114319,1.0,1.0,0.8813596367835999,0.8454434871673584,0.75,0.888888955116272,0.8198940753936768,0.8813596367835999,0.6193218231201172,0.5519087910652161,98,0.8198940753936768,0.8726363778114319,0.010438413359224796,0.5320807695388794,1.0,1.0,0.9073416590690612,0.800000011920929,0.020661156624555588,0.6787704825401306,0.010438413359224796,0.010438413359224796,0.5320807695388794,0.5052192211151123,0.010438413359224796,0.8454434871673584,1.0,0.0,0.800000011920929,0.008350730873644352,0.009278589859604836,0.6707955598831177
no_init_box_kenn_top_down_adapter_bert_ms,1,refmkawr,0.6000000238418579,1.0,1.0,0.6000000238418579,0.9053107500076294,0.915130615234375,0.7234042882919312,0.0059151011519134045,0.7368420958518982,0.0059151011519134045,0.7234042882919312,0.5666667222976685,0.8917084336280823,0.5833333730697632,0.5666667222976685,0.9059035181999208,0.25,0.8924275636672974,0.5666666626930237,1.0,0.8785087466239929,0.8498923182487488,0.75,0.591549277305603,0.8112273812294006,0.8785087466239929,0.736842155456543,0.9053107500076294,67,0.8112273812294006,0.8924275636672974,0.006263048388063908,0.9245476722717284,0.5666666626930237,0.5666667222976685,0.9059035181999208,0.5833333134651184,0.7234042882919312,0.8917084336280823,0.0059151011519134045,1.0,0.9245476722717284,1.0,1.0,0.8498923182487488,0.5666666626930237,0.01,0.5833333730697632,0.006089074537158012,0.006174836307764053,0.915130615234375
no_init_box_kenn_bottom_up_adapter_bert_ms,1,zf0ezn5o,1.0,0.010438413359224796,0.016597511246800423,0.6000000238418579,0.5519087910652161,0.6707955598831177,0.020661156624555588,0.010438413359224796,0.03252032771706581,0.010438413359224796,0.020661156624555588,1.0,0.6787704825401306,0.8000000715255737,1.0,0.9073416590690612,0.25,0.8726363778114319,1.0,1.0,0.8813596367835999,0.8454434871673584,0.75,0.888888955116272,0.8198940753936768,0.8813596367835999,0.6193218231201172,0.5519087910652161,76,0.8198940753936768,0.8726363778114319,0.010438413359224796,0.5320807695388794,1.0,1.0,0.9073416590690612,0.800000011920929,0.020661156624555588,0.6787704825401306,0.010438413359224796,0.010438413359224796,0.5320807695388794,0.5052192211151123,0.010438413359224796,0.8454434871673584,1.0,0.0,0.800000011920929,0.008350730873644352,0.009278589859604836,0.6707955598831177
no_init_box_kenn_hybrid_adapter_bert_ms,0,69emt8gy,0.73333340883255,1.0,1.0,0.6000000238418579,0.9052464962005616,0.9149941205978394,0.6363636255264282,0.004871259443461895,0.6956522464752197,0.004871259443461895,0.6363636255264282,0.46666669845581055,0.8913382291793823,0.5333333611488342,0.46666669845581055,0.9054802060127258,0.25,0.8924275636672974,0.46666666865348816,1.0,0.8778508901596069,0.8487934470176697,0.75,0.6175438761711121,0.8092273473739624,0.8778508901596069,0.6956522464752197,0.9052464962005616,47,0.8092273473739624,0.8924275636672974,0.007654836401343346,0.9247100353240968,0.46666666865348816,0.46666669845581055,0.9054802060127258,0.5333333611488342,0.6363636255264282,0.8913382291793823,0.004871259443461895,1.0,0.9247100353240968,1.0,1.0,0.8487934470176697,0.46666666865348816,0.02,0.5333333611488342,0.005567153915762901,0.006446178071200848,0.9149941205978394
