name,instance,run_id,test_pretraining/macro_example/f1,test_incremental/macro_example_exclusive/f1,test_incremental/macro_types/precision,test/macro_types/f1,test_incremental/macro_types/f1,test_incremental/micro/precision,test_pretraining/macro_example/recall,test_incremental/macro_example/precision,test_incremental_only/micro/precision,test/micro/precision,test/macro_types/recall,test_incremental/micro/recall,test_incremental_only/micro/f1,test_incremental_only/macro_types/f1,test_incremental_internet-website/macro_types/precision,test/micro/f1,threshold_pretraining,test/macro_example/recall,test_pretraining/micro/recall,test_incremental/macro_example_exclusive/recall,test_incremental/macro_types/recall,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example_exclusive/recall,test_pretraining/macro_example/precision,test_incremental_only/micro/recall,test_incremental_only/macro_types/recall,test_incremental_only/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,test_pretraining/micro/f1,test_incremental/macro_example/recall,test_incremental_internet/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_internet-website/macro_types/recall,threshold_incremental,test_pretraining/macro_types/f1,test_incremental_only/macro_example/recall,test/macro_example/f1,test/micro/recall,test_incremental_internet/macro_types/f1,test_incremental_internet/macro_types/precision,test/macro_example/precision,test_pretraining/micro/precision,epoch,test/macro_types/precision,test_incremental/macro_example/f1,test_incremental_only/macro_example/f1,test_incremental_only/macro_example/precision,test_incremental_internet-website/macro_types/f1,test_incremental/micro/f1,test_pretraining/macro_types/recall,test_pretraining/macro_types/precision
no_init_box_kenn_horizontal_adapter_bert_ms,2,dnwgpjfh,0.9155460000038148,0.7226054668426514,0.9107142686843872,0.8504511713981628,0.7808066010475159,0.8913043737411499,0.9066342115402222,0.008002784103155136,0.8214285969734192,0.904418408870697,0.8152273893356323,0.6833333373069763,0.7931035161018372,0.7931035161018372,0.8214285969734192,0.8919519782066345,0.25,0.9066342115402222,0.8798245787620544,0.6833333969116211,0.6833333373069763,0.7666667699813843,0.7666667699813843,0.9246346950531006,0.7666666507720947,0.7666666507720947,0.8214285969734192,0.7666667699813843,0.8919519782066345,0.0071329157799482346,0.6000000238418579,0.7666667103767395,0.7666666507720947,0.01,0.8504511713981628,0.008002784103155136,0.9155460000038148,0.8798245787620544,0.75,1.0,0.9246346950531006,0.904418408870697,29,0.8888561725616455,0.007542853709310293,0.008002784103155136,0.008002784103155136,0.7931035161018372,0.7735849022865295,0.8152273893356323,0.8888561725616455
no_init_box_kenn_horizontal_adapter_bert_ms,1,i4ejraj1,0.9154135584831238,0.7226054072380066,0.942307710647583,0.8510291576385498,0.7921923995018005,0.931818187236786,0.906553030014038,0.008002784103155136,0.8846153616905212,0.9048263430595398,0.8152273893356323,0.6833333373069763,0.8214284777641296,0.8214284777641296,0.8846153616905212,0.892150342464447,0.25,0.906553030014038,0.8798245787620544,0.6833333969116211,0.6833333373069763,0.7666667103767395,0.7666667103767395,0.92444908618927,0.7666666507720947,0.7666666507720947,0.8846153616905212,0.7666667103767395,0.892150342464447,0.0071329157799482346,0.6000000238418579,0.7666667103767395,0.7666666507720947,0.11,0.8510291576385498,0.008002784103155136,0.9154135584831238,0.8798245787620544,0.75,1.0,0.92444908618927,0.9048263430595398,99,0.8901199102401733,0.007542853709310293,0.008002784103155136,0.008002784103155136,0.8214284777641296,0.7884615063667297,0.8152273893356323,0.8901199102401733
no_init_box_kenn_horizontal_adapter_bert_ms,0,lxb0e1ji,0.9139387607574464,0.8181819319725037,0.7454545497894287,0.8488520383834839,0.7477203607559204,0.6164383292198181,0.906935691833496,0.009394572116434574,0.4909090995788574,0.899843156337738,0.8178940415382385,0.75,0.6352941393852234,0.6352941393852234,0.4909090995788574,0.8901695609092712,0.25,0.906935691833496,0.8807017803192139,0.7500000596046448,0.75,0.9000000953674316,0.9000000953674316,0.921050786972046,0.8999999761581421,0.8999999761581421,0.4909090995788574,0.9000000953674316,0.8901695609092712,0.007828810252249241,0.6000000238418579,0.9000000953674316,0.8999999761581421,0.02,0.8488520383834839,0.009394572116434574,0.9139387607574464,0.8807017803192139,0.75,1.0,0.921050786972046,0.899843156337738,32,0.8822457790374756,0.008540519513189793,0.009394572116434574,0.009394572116434574,0.6352941393852234,0.6766916513442993,0.8178940415382385,0.8822457790374756
no_init_box_kenn_hybrid_adapter_bert_ms,2,2lmr3fdu,0.9154132604599,0.6740741729736328,0.9199999570846558,0.8498947024345398,0.7617833614349365,0.9069767594337464,0.90639066696167,0.00730688963085413,0.8399999737739563,0.9045792818069458,0.8138940334320068,0.6499999761581421,0.7636364102363586,0.7636364102363586,0.8399999737739563,0.8918046951293945,0.25,0.90639066696167,0.8793859481811523,0.6500000953674316,0.6499999761581421,0.7000000476837158,0.7000000476837158,0.9246172904968262,0.699999988079071,0.699999988079071,0.8399999737739563,0.7000000476837158,0.8918046951293945,0.006784969009459019,0.6000000238418579,0.7000000476837158,0.699999988079071,0.15000000000000002,0.8498947024345398,0.00730688963085413,0.9154132604599,0.8793859481811523,0.75,1.0,0.9246172904968262,0.9045792818069458,42,0.8892276287078857,0.007036264054477215,0.00730688963085413,0.00730688963085413,0.7636364102363586,0.7572815418243408,0.8138940334320068,0.8892276287078857
no_init_box_kenn_top_down_adapter_bert_ms,2,i4lealon,0.9152739644050598,0.6740741729736328,0.8500000238418579,0.8486137986183167,0.7366666793823242,0.8125,0.90639066696167,0.00730688963085413,0.699999988079071,0.9035601615905762,0.8138940334320068,0.6499999761581421,0.699999988079071,0.699999988079071,0.699999988079071,0.8913092017173767,0.25,0.90639066696167,0.8793859481811523,0.6500000953674316,0.6499999761581421,0.7000000476837158,0.7000000476837158,0.9243330955505372,0.699999988079071,0.699999988079071,0.699999988079071,0.7000000476837158,0.8913092017173767,0.006784969009459019,0.6000000238418579,0.7000000476837158,0.699999988079071,0.34,0.8486137986183167,0.00730688963085413,0.9152739644050598,0.8793859481811523,0.75,1.0,0.9243330955505372,0.9035601615905762,29,0.886427640914917,0.007036264054477215,0.00730688963085413,0.00730688963085413,0.699999988079071,0.7222222089767456,0.8138940334320068,0.886427640914917
no_init_box_kenn_bottom_up_adapter_bert_ms,2,laewxd8h,0.9153023958206176,0.6740741729736328,0.8620689511299133,0.8488348722457886,0.7411630153656006,0.8297872543334961,0.90639066696167,0.00730688963085413,0.7241379022598267,0.9037638306617736,0.8138940334320068,0.6499999761581421,0.7118643522262573,0.7118643522262573,0.7241379022598267,0.8914082646369934,0.25,0.90639066696167,0.8793859481811523,0.6500000953674316,0.6499999761581421,0.7000000476837158,0.7000000476837158,0.9243911504745485,0.699999988079071,0.699999988079071,0.7241379022598267,0.7000000476837158,0.8914082646369934,0.006784969009459019,0.6000000238418579,0.7000000476837158,0.699999988079071,0.1,0.8488348722457886,0.00730688963085413,0.9153023958206176,0.8793859481811523,0.75,1.0,0.9243911504745485,0.9037638306617736,42,0.8869103789329529,0.007036264054477215,0.00730688963085413,0.00730688963085413,0.7118643522262573,0.7289719581604004,0.8138940334320068,0.8869103789329529
no_init_box_kenn_hybrid_adapter_bert_ms,1,pcdarmaz,0.9148078560829164,0.746666669845581,0.7666666507720947,0.8481652140617371,0.7318181991577148,0.6666666865348816,0.9067269563674928,0.008350730873644352,0.5333333611488342,0.901190221309662,0.8158940672874451,0.699999988079071,0.64000004529953,0.64000004529953,0.5333333611488342,0.8904915452003479,0.25,0.9067269563674928,0.8800438642501831,0.7000000476837158,0.7000000476837158,0.8000000715255737,0.8000000715255737,0.9230340719223022,0.800000011920929,0.800000011920929,0.5333333611488342,0.8000000715255737,0.8904915452003479,0.00730688963085413,0.6000000238418579,0.8000000715255737,0.800000011920929,0.01,0.8481652140617371,0.008350730873644352,0.9148078560829164,0.8800438642501831,0.75,1.0,0.9230340719223022,0.901190221309662,41,0.8830942511558533,0.007794015575200319,0.008350730873644352,0.008350730873644352,0.64000004529953,0.6829268336296082,0.8158940672874451,0.8830942511558533
no_init_box_kenn_top_down_adapter_bert_ms,1,gvg07iek,0.913247287273407,0.746666669845581,0.6578947305679321,0.8461532592773438,0.6782945990562439,0.44680851697921753,0.9067269563674928,0.008350730873644352,0.31578946113586426,0.8949598670005798,0.8158940672874451,0.699999988079071,0.4528301954269409,0.4528301954269409,0.31578946113586426,0.8874391913414001,0.25,0.9067269563674928,0.8800438642501831,0.7000000476837158,0.7000000476837158,0.8000000715255737,0.8000000715255737,0.9198619723320008,0.800000011920929,0.800000011920929,0.31578946113586426,0.8000000715255737,0.8874391913414001,0.00730688963085413,0.6000000238418579,0.8000000715255737,0.800000011920929,0.02,0.8461532592773438,0.008350730873644352,0.913247287273407,0.8800438642501831,0.75,1.0,0.9198619723320008,0.8949598670005798,50,0.8787434101104736,0.007794015575200319,0.008350730873644352,0.008350730873644352,0.4528301954269409,0.5454545617103577,0.8158940672874451,0.8787434101104736
no_init_box_kenn_bottom_up_adapter_bert_ms,1,mdozzcwm,0.914921760559082,0.746666669845581,0.7790697813034058,0.8483939170837402,0.7374213933944702,0.688524603843689,0.9067269563674928,0.008350730873644352,0.5581395626068115,0.901595175266266,0.8158940672874451,0.699999988079071,0.6575343012809753,0.6575343012809753,0.5581395626068115,0.8906891942024231,0.25,0.9067269563674928,0.8800438642501831,0.7000000476837158,0.7000000476837158,0.8000000715255737,0.8000000715255737,0.923266053199768,0.800000011920929,0.800000011920929,0.5581395626068115,0.8000000715255737,0.8906891942024231,0.00730688963085413,0.6000000238418579,0.8000000715255737,0.800000011920929,0.02,0.8483939170837402,0.008350730873644352,0.914921760559082,0.8800438642501831,0.75,1.0,0.923266053199768,0.901595175266266,50,0.8835904002189636,0.007794015575200319,0.008350730873644352,0.008350730873644352,0.6575343012809753,0.6942148804664612,0.8158940672874451,0.8835904002189636
no_init_box_kenn_hybrid_adapter_bert_ms,0,h4ix87me,0.9126980304718018,0.8181819319725037,0.6391752362251282,0.8468793630599976,0.6901670098304749,0.3913043439388275,0.906935691833496,0.009394572116434574,0.27835050225257874,0.8914539217948914,0.8178940415382385,0.75,0.4251968264579773,0.4251968264579773,0.27835050225257874,0.8860452175140381,0.25,0.906935691833496,0.8807017803192139,0.7500000596046448,0.75,0.9000000953674316,0.9000000953674316,0.9185340404510498,0.8999999761581421,0.8999999761581421,0.27835050225257874,0.9000000953674316,0.8860452175140381,0.007828810252249241,0.6000000238418579,0.9000000953674316,0.8999999761581421,0.01,0.8468793630599976,0.009394572116434574,0.9126980304718018,0.8807017803192139,0.75,1.0,0.9185340404510498,0.8914539217948914,32,0.8779945969581604,0.008540519513189793,0.009394572116434574,0.009394572116434574,0.4251968264579773,0.514285683631897,0.8178940415382385,0.8779945969581604
