name,test_incremental/micro/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental_only/macro_types/recall/mean,test_incremental_computer-algorithm/macro_types/recall/mean,test_incremental_only/micro/f1/mean,test_incremental/macro_example/f1/mean,test_incremental/macro_types/precision/mean,test_incremental_computer/macro_types/precision/mean,test_incremental_computer-algorithm/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental_only/macro_types/f1/mean,test/macro_example/precision/mean,test_incremental_only/micro/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental/macro_example_exclusive/precision/mean,threshold_pretraining/mean,test_pretraining/macro_types/precision/mean,test_incremental_computer-programming_language/macro_types/recall/mean,epoch/mean,test/macro_types/f1/mean,test/macro_example/f1/mean,test_incremental/micro/f1/mean,test_pretraining/micro/f1/mean,test_pretraining/macro_types/recall/mean,test_pretraining/macro_example/recall/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_only/macro_types/precision/mean,test/micro/recall/mean,test_incremental_computer/macro_types/f1/mean,test_incremental_computer-programming_language/macro_types/precision/mean,test/macro_types/recall/mean,test_pretraining/macro_types/f1/mean,test_incremental/micro/precision/mean,test_pretraining/micro/precision/mean,test_pretraining/macro_example/precision/mean,test/micro/precision/mean,test_pretraining/macro_example/f1/mean,test_incremental/macro_types/recall/mean,test_incremental_computer-algorithm/macro_types/precision/mean,threshold_incremental/mean,test/macro_types/precision/mean,test_incremental/macro_example/recall/mean,test_pretraining/micro/recall/mean,test_incremental_only/macro_example/recall/mean,test_incremental/macro_types/f1/mean,test_incremental_only/micro/precision/mean,test_incremental_only/macro_example/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_only/macro_example_exclusive/precision/mean,test/micro/f1/mean,test/macro_example/recall/mean,test_incremental/macro_example/precision/mean,test_incremental_computer/macro_types/recall/mean,test_incremental_computer-programming_language/macro_types/f1/mean,test_incremental/micro/recall/std,test_incremental_only/macro_example/f1/std,test_incremental_only/macro_types/recall/std,test_incremental_computer-algorithm/macro_types/recall/std,test_incremental_only/micro/f1/std,test_incremental/macro_example/f1/std,test_incremental/macro_types/precision/std,test_incremental_computer/macro_types/precision/std,test_incremental_computer-algorithm/macro_types/f1/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental_only/macro_types/f1/std,test/macro_example/precision/std,test_incremental_only/micro/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental/macro_example_exclusive/precision/std,threshold_pretraining/std,test_pretraining/macro_types/precision/std,test_incremental_computer-programming_language/macro_types/recall/std,epoch/std,test/macro_types/f1/std,test/macro_example/f1/std,test_incremental/micro/f1/std,test_pretraining/micro/f1/std,test_pretraining/macro_types/recall/std,test_pretraining/macro_example/recall/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_only/macro_types/precision/std,test/micro/recall/std,test_incremental_computer/macro_types/f1/std,test_incremental_computer-programming_language/macro_types/precision/std,test/macro_types/recall/std,test_pretraining/macro_types/f1/std,test_incremental/micro/precision/std,test_pretraining/micro/precision/std,test_pretraining/macro_example/precision/std,test/micro/precision/std,test_pretraining/macro_example/f1/std,test_incremental/macro_types/recall/std,test_incremental_computer-algorithm/macro_types/precision/std,threshold_incremental/std,test/macro_types/precision/std,test_incremental/macro_example/recall/std,test_pretraining/micro/recall/std,test_incremental_only/macro_example/recall/std,test_incremental/macro_types/f1/std,test_incremental_only/micro/precision/std,test_incremental_only/macro_example/precision/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_only/macro_example_exclusive/precision/std,test/micro/f1/std,test/macro_example/recall/std,test_incremental/macro_example/precision/std,test_incremental_computer/macro_types/recall/std,test_incremental_computer-programming_language/macro_types/f1/std
no_init_box_adapter_bert_ms,0.8583333293596903,0.018441197151939075,0.8833333253860474,0.8222222129503886,0.8160529931386312,0.018879141037662823,0.8710922598838806,0.9803921580314636,0.9008710583051046,0.8833333651224772,0.847430944442749,0.922199030717214,0.8833333452542623,0.8833333651224772,0.9555555780728658,0.25,0.8873386184374491,0.9444444179534912,30.333333333333332,0.8517181475957235,0.9141034483909607,0.8549943566322327,0.8914867043495178,0.8188504179318746,0.9061490098635355,0.9043108622233073,0.8164422114690145,0.8806100090344747,0.900900900363922,0.6328844626744589,0.8188504179318746,0.8517181475957235,0.8529536525408427,0.9026364684104919,0.922199030717214,0.9026364684104919,0.9141034483909607,0.8666667143503824,1.0,0.06,0.8873386184374491,0.017919276530543964,0.8806100090344747,0.018441197151939075,0.868373453617096,0.7614191969235738,0.018441197151939075,0.8583333492279053,0.8833333651224772,0.8914867043495178,0.9061490098635355,0.019948967422048252,0.8333333134651184,0.7548641761144003,0.022047929094116136,0.0009205809762094692,0.04409581313132536,0.08388702849107246,0.025909817971229834,0.0004772142829581614,0.025482157736375865,0.0,0.05110547884585122,0.04409588071664172,0.014415273187719051,0.0005315098687776265,0.04409584692398308,0.04409588071664172,0.025458755595115616,0.0,0.001498948393740758,0.03849001565179121,11.50362261782493,0.0006305872100545582,0.0002311151251264948,0.014617391321986839,0.00040530300744882924,0.0017292603841147496,0.0004504516451735061,0.02285859001149633,0.03822320585871024,0.0005764238827983302,0.0,0.07644644103076977,0.0017292603841147496,0.0006305872100545582,0.03984359664046274,0.0011663656795451993,0.0005315098687776265,0.0011663656795451993,0.0002311151251264948,0.029397223773178497,0.0,0.060827625302982205,0.001498948393740758,0.00046029013609789063,0.0005764238827983302,0.0009205809762094692,0.009871382430784897,0.059101295062045985,0.0009205809762094692,0.022047906565662648,0.04409588071664172,0.00040530300744882924,0.0004504516451735061,0.000531497877656695,0.0,0.043990587889605824
no_init_box_kenn_bottom_up_adapter_bert_ms,0.8472222288449606,0.01797726812462012,0.8611111243565878,0.7888888915379842,0.815883199373881,0.018620014190673828,0.8774427771568298,0.9803921580314636,0.8813779155413309,0.8611111243565878,0.8431468804677328,0.9222183426221212,0.8611111243565878,0.8611111243565878,0.9416667024294535,0.25,0.8877121607462565,0.9333333174387614,30.666666666666668,0.8514200647672018,0.9139949878056844,0.8555676142374674,0.8915201822916666,0.8179789582888285,0.9059170285860697,0.8918986519177755,0.8259680072466532,0.8803195158640543,0.900900900363922,0.6519360343615214,0.8179789582888285,0.8514200647672018,0.8641284704208374,0.9030095934867859,0.9222183426221212,0.9030095934867859,0.9139949878056844,0.8518518805503845,1.0,0.016666666666666666,0.8877121607462565,0.017687312016884487,0.8803195158640543,0.01797726812462012,0.8644464810689291,0.7752999862035116,0.01797726812462012,0.8472222487131754,0.8611111243565878,0.8915201822916666,0.9059170285860697,0.019659011935194332,0.8333333134651184,0.7671728730201721,0.004811282067636909,0.00020088769930494936,0.00962249530975839,0.05091749168001303,0.014719705373140568,0.00011862545941370468,0.0067928423250991155,0.0,0.03213379565848286,0.00962249530975839,0.008070934659681327,0.0001864288685808648,0.00962249530975839,0.00962249530975839,0.014433777377395275,0.0,0.0003995821827622604,0.03333333134651634,11.590225767142474,0.0003154007380212988,0.00013635563140552035,0.008024896917584434,0.00021455879213786396,0.000377370301004241,0.00012069347940036706,0.005682159036525494,0.010189258009671614,0.00012577862941550095,0.0,0.02037854974893047,0.000377370301004241,0.0003154007380212988,0.01316183827734539,0.0003560276340082063,0.0001864288685808648,0.0003560276340082063,0.00013635563140552035,0.006414968195943388,0.0,0.005773502691896258,0.0003995821827622604,0.00010044331195313577,0.00012577862941550095,0.00020088769930494936,0.005360918259858493,0.021462798478478762,0.00020088769930494936,0.004811247654879171,0.00962249530975839,0.00021455879213786396,0.00012069347940036706,0.00030133101125808437,0.0,0.009070784551625768
no_init_box_kenn_horizontal_adapter_bert_ms,0.6611111164093018,0.010206449156006178,0.4888888895511627,0.700000007947286,0.6005577544371287,0.015603106779356798,0.7394958337148031,0.9803921580314636,0.8194823662439982,0.4888889292875926,0.5403981407483419,0.9239967862764993,0.4888888895511627,0.4888889491558075,0.8666666944821676,0.25,0.8795976241429647,0.2777777711550395,18.666666666666668,0.8397604823112488,0.9132363200187683,0.7732498248418173,0.8899280230204264,0.8033819993336996,0.9027275443077087,0.7473888595898946,0.6190476218859354,0.8754538893699646,0.900900900363922,0.23809524377187094,0.8033819993336996,0.8397604823112488,0.9571984807650248,0.9048969149589539,0.9239967862764993,0.9048969149589539,0.9132363200187683,0.6037037372589111,1.0,0.043333333333333335,0.8795976241429647,0.013801902532577515,0.8754538893699646,0.010206449000785748,0.6628231803576151,0.9435028235117594,0.010206449000785748,0.6611111561457316,0.4888889292875926,0.8899280230204264,0.9027275443077087,0.018093249450127285,0.8333333134651184,0.25641024112701416,0.14345277928500236,0.005989678561428826,0.2869055819418825,0.12018505188323374,0.19885875221643168,0.0023418498494605657,0.13746437602629774,0.0,0.08590587864512486,0.2869055989658435,0.25818860806951577,0.0009039887321795472,0.2869055819418825,0.28690563301376554,0.05773500627130803,0.0,0.008086172154730656,0.48112521285376886,12.42309676905615,0.009805513335411986,0.0008129581728619695,0.07769126595016429,0.001553315603811232,0.011251192400794887,0.0024330790057733153,0.11217463670080556,0.20619652962668886,0.003750398813539076,0.0,0.4123930592533777,0.011251192400794887,0.009805513335411986,0.04953791819976486,0.0008110985365726547,0.0009039887321795472,0.0008110985365726547,0.0008129581728619695,0.19127037238000313,0.0,0.011547005383792518,0.008086172154730656,0.002994839048528517,0.003750398813539076,0.0059896787282420075,0.1704716665275409,0.09785598016181846,0.0059896787282420075,0.14345279198083857,0.2869055989658435,0.001553315603811232,0.0024330790057733153,0.0012053240450323368,0.0,0.4441155652129754
no_init_box_kenn_hybrid_adapter_bert_ms,0.8500000238418579,0.018093250691890717,0.8666666746139526,0.799999992052714,0.8190330862998962,0.018652471403280895,0.8775304953257242,0.9803921580314636,0.8886348009109497,0.8666666944821676,0.8458713889122009,0.9222570061683655,0.8666666746139526,0.8666666944821676,0.9416667024294535,0.25,0.8877173264821371,0.9333333174387614,34.666666666666664,0.8515404462814331,0.9140434861183167,0.8571832180023193,0.891560951868693,0.8181968331336975,0.9059750239054362,0.8934533596038818,0.8260995944341024,0.8803921341896057,0.900900900363922,0.6521992087364197,0.8181968331336975,0.8515404462814331,0.8645723859469095,0.9030168652534485,0.9222570061683655,0.9030168652534485,0.9140434861183167,0.8555555740992228,1.0,0.016666666666666666,0.8877173264821371,0.017745302990078926,0.8803921341896057,0.018093250691890717,0.8663933475812277,0.7765808701515198,0.018093250691890717,0.8500000238418579,0.8666666944821676,0.891560951868693,0.9059750239054362,0.019659011935194332,0.8333333134651184,0.767236610253652,0.0,0.0,0.0,0.03333333134651627,0.012899693520767438,0.0001362831237052805,0.007433538204397286,0.0,0.020584389169241765,3.441275768999911e-08,0.0058431748041648844,0.000173985958099393,0.0,3.441275768999911e-08,0.014433777377395275,0.0,0.0004372571769966975,0.03333333134651634,7.371114795831994,0.00020114811184815984,0.00010052706355316258,0.007203455100440419,0.00019669533076911076,0.0,3.346642013871028e-05,0.00652796248580189,0.011150333622101534,0.0,0.0,0.02230067001417456,0.0,0.00020114811184815984,0.014655874705129298,0.00040358306297853824,0.000173985958099393,0.00040358306297853824,0.00010052706355316258,3.4412757714036146e-08,0.0,0.005773502691896258,0.0004372571769966975,0.0,0.0,0.0,0.0036220507528192253,0.023191855645604373,0.0,0.0,3.441275768999911e-08,0.00019669533076911076,3.346642013871028e-05,0.00030133101125808437,0.0,0.004136503717297177
no_init_box_kenn_top_down_adapter_bert_ms,0.8583333293596903,0.018441197151939075,0.8833333253860474,0.8222222129503886,0.8157263000806173,0.01885266850392024,0.8702829877535502,0.9803921580314636,0.9008710583051046,0.8833333651224772,0.8469640215237936,0.9221796790758768,0.8833333452542623,0.8833333651224772,0.9527778029441833,0.25,0.8872910141944885,0.9444444179534912,30.333333333333332,0.8516964912414551,0.9140939911206564,0.8548929889996847,0.8914866248766581,0.8188504179318746,0.9061490098635355,0.9030428131421407,0.8152283231417338,0.8806100090344747,0.900900900363922,0.6304566661516825,0.8188504179318746,0.8516964912414551,0.8524671395619711,0.9026361107826233,0.9221796790758768,0.9026361107826233,0.9140939911206564,0.8666667143503824,1.0,0.06,0.8872910141944885,0.017919276530543964,0.8806100090344747,0.018441197151939075,0.8680494825045267,0.7601495782534281,0.018441197151939075,0.8583333492279053,0.8833333651224772,0.8914866248766581,0.9061490098635355,0.01989097644885381,0.8333333134651184,0.7539386749267578,0.022047929094116136,0.0009205809762094692,0.04409581313132536,0.08388702849107246,0.021221193426621272,0.0005040118114312188,0.02061337329841051,0.0,0.05110547884585122,0.04409588071664172,0.01289707775781124,0.00038615186567779295,0.04409584692398308,0.04409588071664172,0.029265705246203366,0.0,0.001212567144825273,0.03849001565179121,12.055427546683415,0.0006291532217378848,0.00020417745142332932,0.01184007885005172,0.0003255173984568769,0.0017292603841147496,0.0004504516451735061,0.024142204647353435,0.030920059942335154,0.0005764238827983302,0.0,0.061840119874128234,0.0017292603841147496,0.0006291532217378848,0.03278487989005393,0.0009649652523852324,0.00038615186567779295,0.0009649652523852324,0.00020417745142332932,0.029397223773178497,0.0,0.060827625302982205,0.001212567144825273,0.00046029013609789063,0.0005764238827983302,0.0009205809762094692,0.009446251410998875,0.048085818009571256,0.0009205809762094692,0.022047906565662648,0.04409588071664172,0.0003255173984568769,0.0004504516451735061,0.0006109746707093665,0.0,0.03422395726992306
no_init_kenn_bottom_up_adapter_bert_ms,0.9527777632077535,0.020087849348783493,0.9722222288449606,0.9888888796170553,0.5807815715670586,0.020033560693264008,0.6714212695757548,0.9824561476707458,0.6320080682635307,0.9722222487131754,0.589370829363664,0.8719383676846822,0.9722222089767456,0.9622079531351725,0.9666666984558105,0.375,0.8890586296717325,0.9555555582046509,27.333333333333332,0.8772626916567484,0.8909725944201151,0.6400636633237203,0.8658796548843384,0.8658808867136637,0.9146196047465006,0.9596075415611268,0.5159038280447324,0.8998547593752543,0.9572649598121644,0.449672003587087,0.8658808867136637,0.8772626916567484,0.5847819944222769,0.8403330047925314,0.8719383676846822,0.8403330047925314,0.8909725944201151,0.9592592716217041,0.5821356338759264,0.17666666666666667,0.8890586296717325,0.019890977690617245,0.8998547593752543,0.020296915744741757,0.7642824649810791,0.503970039387544,0.019890977690617245,0.9527778228123983,0.9527778228123983,0.8658796548843384,0.9146196047465006,0.02018093317747116,0.9333333373069764,0.5409010102351507,0.01272936479075304,0.0002233734805793205,0.025458755595115682,0.019245025032274446,0.4354960605977313,0.0001013411681193353,0.27377564387450576,0.0,0.4899529933168834,0.025458729581506082,0.43928448032892803,0.09404689320740946,0.025458762098508163,0.010699599246679414,0.008333325386047419,0.0,0.016104460877764883,0.038490015651791123,13.203534880225572,0.00742072249140064,0.05082772732554471,0.43126574662714523,0.06801306596910786,0.0009983629348938928,0.0002657354241891522,0.0048542840930018635,0.4106634407970898,0.00033281149087022676,0.0,0.35541782566988345,0.0009983629348938928,0.00742072249140064,0.440904287583058,0.1218587445235238,0.09404689320740946,0.1218587445235238,0.05082772732554471,0.016972547086069913,0.47499598014974886,0.20108041509140898,0.016104460877764883,0.0002657488372135988,0.00033281149087022676,0.0005314970647317085,0.21010315045067804,0.4035426509927928,0.00026574883721359967,0.01272936479075301,0.012729364790753029,0.06801306596910786,0.0002657354241891522,0.00017397478222846985,0.0,0.3875012662254192
no_init_kenn_horizontal_adapter_bert_ms,0.9527777632077535,0.020238428687055905,0.9722222288449606,0.9777777592341105,0.7593310872713724,0.020167251427968342,0.7977480888366699,0.9824561476707458,0.9412868817647299,0.9722222487131753,0.8141693075497946,0.9237706065177917,0.9722222089767456,0.9694207310676574,0.9796296755472819,0.375,0.8964896202087402,0.9666666587193807,27.0,0.8809156815210978,0.9191699028015137,0.8406799832979838,0.9035025238990784,0.8658809065818787,0.9146196047465006,0.9660114049911499,0.7053940097490946,0.8998547395070394,0.9572649598121644,0.5032753845055898,0.8658809065818787,0.8809156815210978,0.7597113251686096,0.9071931640307108,0.9237706065177917,0.9071931640307108,0.9191699028015137,0.959259271621704,0.9075126250584921,0.25333333333333335,0.8964896202087402,0.019890977690617245,0.8998547395070394,0.020296915123860042,0.8697792887687683,0.6361946960290273,0.02018093317747116,0.9527778228123983,0.9666666984558104,0.9035025238990784,0.9146196047465006,0.020451558753848076,0.9333333373069764,0.6456679900487264,0.004811247654879171,9.95851438078418e-05,0.00962251251618333,0.019245025032274446,0.1276271229144901,7.315585360734484e-05,0.0705030612869535,0.0,0.024083679621208227,0.00962249530975839,0.06946034095633863,0.0035954511935578468,0.009622529722516,0.0047701244094204885,0.004243130268356673,0.0,0.004147247182623483,0.033333331346516226,13.74772708486752,0.0018244694102752892,0.0017320556830345603,0.08394116613885039,0.002841453503469788,0.00037733588824655093,0.00010041642698603322,0.0035042798417531215,0.10575458735121183,0.00012577862941550095,0.0,0.18262782380741507,0.00037733588824655093,0.0018244694102752892,0.13327882052807433,0.0058451112037781385,0.0035954511935578468,0.0058451112037781385,0.0017320556830345603,0.0064150198150107205,0.029376420253008524,0.19655363983740756,0.004147247182623483,0.00010044223655445647,0.00012577862941550095,0.00020088662390626904,0.04014555277139462,0.16995601289887013,0.0,0.004811247654879171,0.0,0.002841453503469788,0.00010041642698603322,8.858179409451738e-05,0.0,0.15931219119157167
no_init_kenn_hybrid_adapter_bert_ms,0.9555555383364359,0.020115724454323452,0.9777777791023254,1.0,0.585500660041968,0.020090557013948757,0.6799893577893575,0.9824561476707458,0.6517324844996134,0.9777777989705404,0.5959561119476954,0.8697805205980936,0.9777777791023254,0.9635431965192159,0.9694444934527079,0.375,0.8895626465479533,0.9555555383364359,27.333333333333332,0.8776143987973531,0.8897159894307455,0.6402970453103384,0.8639106551806132,0.8660987416903178,0.9146775603294373,0.9623377124468487,0.5287559777498245,0.8999273777008057,0.9572649598121644,0.44640084107716876,0.8660987416903178,0.8776143987973531,0.5878530492385229,0.8371883034706116,0.8697805205980936,0.8371883034706116,0.8897159894307455,0.9629630247751871,0.6111110945542654,0.30333333333333334,0.8895626465479533,0.019948968663811684,0.8999273777008057,0.020412897691130638,0.7694211602210999,0.5147102735936642,0.019832986096541088,0.9555555979410807,0.9500000476837158,0.8639106551806132,0.9146775603294373,0.020238923529783886,0.9333333373069764,0.5334249710043272,0.012729364790753112,0.0002449713064807941,0.025458762098508145,0.0,0.44638329900918233,5.217834387176109e-06,0.2888855852078194,0.0,0.5116486426738689,0.02545872958150606,0.45094673146045916,0.097742106802586,0.025458762098508145,0.011734162914114832,0.012729358287397949,0.0,0.01699325830571655,0.050917517693612684,13.203534880225572,0.007862088823434341,0.05305687640846936,0.438487514334959,0.07153544243862456,0.000998369438103169,0.00026576794094996116,0.0002499742719765649,0.43332838781803085,0.00033280498804217804,0.0,0.3660250182619138,0.000998369438103169,0.007862088823434341,0.4518431617208858,0.1273509414094128,0.097742106802586,0.1273509414094128,0.05305687640846936,0.016972482052085732,0.5057860625827791,0.4406056437828882,0.01699325830571655,0.00026574904044414724,0.00033280498804217804,0.0005314968615008097,0.21767446932742435,0.4265530164308651,0.0001739729195866448,0.012729364790753052,0.008333325386047433,0.07153544243862456,0.00026576794094996116,0.000265748837213598,0.0,0.38757761011693415
no_init_kenn_top_down_adapter_bert_ms,0.9527777632077535,0.0200587281336387,0.9722222089767456,0.9888888796170553,0.5664898157119751,0.020070667068163555,0.656828502813975,0.9824561476707458,0.6064078149696192,0.9722222487131754,0.5703663155436516,0.867915133635203,0.9722222089767456,0.960813065369924,0.9703704118728638,0.375,0.8882002433141073,0.9555555383364359,27.333333333333332,0.8768445253372192,0.8885971506436666,0.6280670215686163,0.8618455727895101,0.8658808867136637,0.9146195848782858,0.9613849719365438,0.4940146630009015,0.8998547593752543,0.9572649598121644,0.4443028581639131,0.8658808867136637,0.8768445253372192,0.5706009815136591,0.8339134653409322,0.867915133635203,0.8339134653409322,0.8885971506436666,0.9592592914899191,0.5437264467279116,0.3866666666666667,0.8882002433141073,0.019890977690617245,0.8998547593752543,0.020296915744741757,0.7541246811548868,0.48922781522075337,0.019832986096541088,0.9527778228123983,0.9500000476837158,0.8618455727895101,0.9146195848782858,0.020258254061142605,0.9333333373069764,0.5321257412433624,0.012729364790753058,0.00021049395415428037,0.025458762098508163,0.019245025032274446,0.43379901522819947,3.216052178314178e-05,0.272515989332493,0.0,0.4777624268729035,0.0254587295815061,0.434616336306416,0.10022154386669489,0.025458762098508163,0.010082668882003033,0.01252568034372911,0.0,0.016030338132693896,0.050917517693612684,13.203534880225572,0.007334853664066482,0.054547701419383476,0.43306560711386305,0.07432402130694354,0.0009983629348938928,0.00026576143969851034,0.0015404948199405114,0.40877399994711233,0.00033281149087022676,0.0,0.36110792437606176,0.0009983629348938928,0.007334853664066482,0.4402235609482834,0.1316205635681078,0.10022154386669489,0.1316205635681078,0.054547701419383476,0.016972521072485206,0.45677547566367416,0.38083242158898883,0.016030338132693896,0.0002657488372135988,0.00033281149087022676,0.0005314970647317085,0.20740320994683206,0.40669794738025844,0.0001739729195866448,0.012729364790753029,0.008333325386047433,0.07432402130694354,0.00026576143969851034,0.00026149665358577296,0.0,0.39012818133830895
smart_init_box_adapter_bert_ms,0.875,0.019078576937317848,0.9166666666666666,0.8444444537162781,0.822951098283132,0.01898094763358434,0.8651223580042521,0.9803921580314636,0.9153439601262411,0.9166667262713114,0.8582916458447775,0.921967069307963,0.9166666666666666,0.9138639370600382,0.9462963342666626,0.25,0.8869874477386475,0.9888888796170553,73.66666666666667,0.852263887723287,0.9141566952069601,0.8583202163378397,0.8915671507517496,0.8201576073964437,0.9064776301383972,0.909187376499176,0.8074874480565389,0.8810457587242126,0.900900900363922,0.6149748961130778,0.8201576073964437,0.852263887723287,0.8425760666529337,0.9023431738217672,0.921967069307963,0.9023431738217672,0.9141566952069601,0.888888955116272,1.0,0.52,0.8869874477386475,0.018267222990592323,0.8810457587242126,0.019137090692917507,0.8766961495081583,0.7473517855008444,0.019021108746528625,0.8750000397364298,0.9111111760139465,0.8915671507517496,0.9064776301383972,0.019755664591987927,0.8333333134651184,0.7578559120496114,0.014433742964637562,0.0005589221956595884,0.02886752034203288,0.03849001565179121,0.006151055007037966,0.00014340840496694223,0.009401268304119009,0.0,0.022910706395877806,0.02886752034203288,0.006698374110847603,0.0001739561566279237,0.02886752034203288,0.026772394715651775,0.0064150198150107205,0.0,0.0005529911562005313,0.019245025032274446,13.279056191361393,0.00039594393037551193,9.000973039586897e-05,0.00347499920495457,9.942028543419488e-05,0.001132076490255057,0.0003013525192317225,0.006869230527731986,0.014101908225577059,0.00037733588824655093,0.0,0.02820384182145483,0.001132076490255057,0.00039594393037551193,0.01514647618408353,0.0004724122363027286,0.0001739561566279237,0.0004724122363027286,9.000973039586897e-05,0.019245059445032162,0.0,0.12288205727444511,0.0005529911562005313,0.00030133101125808567,0.00037733588824655093,0.0006026620225161658,0.005529134583114255,0.020430211811713617,0.000531498080888292,0.014433777377395275,0.02545876209850819,9.942028543419488e-05,0.0003013525192317225,0.0001339253121063167,0.0,0.0163579060168241
