name,test/macro_example/precision/mean,test_pretraining/micro/precision/mean,test_pretraining/macro_types/recall/mean,test_pretraining/macro_example/precision/mean,test_incremental_computer-programming_language/macro_types/recall/mean,test_pretraining/micro/recall/mean,test_pretraining/macro_types/precision/mean,epoch/mean,test_pretraining/macro_example/recall/mean,test_incremental/macro_example/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_computer-programming_language/macro_types/precision/mean,test/micro/f1/mean,test/micro/recall/mean,test/macro_example/f1/mean,test/macro_types/precision/mean,test_incremental_only/macro_types/recall/mean,threshold_pretraining/mean,test_incremental/macro_types/f1/mean,test_incremental_computer/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental/micro/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_types/precision/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/micro/precision/mean,test_pretraining/micro/f1/mean,test_incremental_only/macro_types/precision/mean,test_incremental_computer-algorithm/macro_types/f1/mean,test/macro_types/f1/mean,test/macro_example/recall/mean,test_incremental/macro_example/f1/mean,test_incremental/micro/precision/mean,test_incremental_only/micro/precision/mean,test_incremental_only/macro_example/recall/mean,test/macro_types/recall/mean,test_incremental_computer/macro_types/f1/mean,threshold_incremental/mean,test_incremental_only/micro/f1/mean,test_incremental_computer-algorithm/macro_types/recall/mean,test_incremental_computer-algorithm/macro_types/precision/mean,test_pretraining/macro_types/f1/mean,test_incremental_only/macro_types/f1/mean,test_incremental_only/macro_example/f1/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_computer/macro_types/recall/mean,test_incremental_only/macro_example/precision/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_computer-programming_language/macro_types/f1/mean,test_incremental/micro/recall/mean,test_incremental/macro_example/recall/mean,test/macro_example/precision/std,test_pretraining/micro/precision/std,test_pretraining/macro_types/recall/std,test_pretraining/macro_example/precision/std,test_incremental_computer-programming_language/macro_types/recall/std,test_pretraining/micro/recall/std,test_pretraining/macro_types/precision/std,epoch/std,test_pretraining/macro_example/recall/std,test_incremental/macro_example/precision/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_computer-programming_language/macro_types/precision/std,test/micro/f1/std,test/micro/recall/std,test/macro_example/f1/std,test/macro_types/precision/std,test_incremental_only/macro_types/recall/std,threshold_pretraining/std,test_incremental/macro_types/f1/std,test_incremental_computer/macro_types/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental/micro/f1/std,test_pretraining/macro_example/f1/std,test_incremental_only/micro/recall/std,test_incremental/macro_types/precision/std,test_incremental/macro_example_exclusive/precision/std,test_incremental/macro_types/recall/std,test_incremental_only/macro_example_exclusive/recall/std,test/micro/precision/std,test_pretraining/micro/f1/std,test_incremental_only/macro_types/precision/std,test_incremental_computer-algorithm/macro_types/f1/std,test/macro_types/f1/std,test/macro_example/recall/std,test_incremental/macro_example/f1/std,test_incremental/micro/precision/std,test_incremental_only/micro/precision/std,test_incremental_only/macro_example/recall/std,test/macro_types/recall/std,test_incremental_computer/macro_types/f1/std,threshold_incremental/std,test_incremental_only/micro/f1/std,test_incremental_computer-algorithm/macro_types/recall/std,test_incremental_computer-algorithm/macro_types/precision/std,test_pretraining/macro_types/f1/std,test_incremental_only/macro_types/f1/std,test_incremental_only/macro_example/f1/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_computer/macro_types/recall/std,test_incremental_only/macro_example/precision/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_computer-programming_language/macro_types/f1/std,test_incremental/micro/recall/std,test_incremental/macro_example/recall/std
no_init_box_adapter_bert_ms,0.9230302572250366,0.9038691322008768,0.8134037852287292,0.9230302572250366,0.7222222089767456,0.8787944714228312,0.8883134921391805,40.666666666666664,0.9049311876296997,0.019021108746528625,0.8454097509384155,0.6826038161913554,0.8911552826563517,0.8787944714228312,0.9138910174369812,0.8883134921391805,0.7444444497426351,0.25,0.8265803456306458,0.9803921580314636,0.74444446961085,0.8386721611022949,0.9138910174369812,0.7444444497426351,0.8876653512318929,0.9111111561457316,0.774074117342631,0.74444446961085,0.9038691322008768,0.8911552826563517,0.8413018981615702,0.8676557739575704,0.8492086331049601,0.9049311876296997,0.017649471759796143,0.8958568374315897,0.8164252837498983,0.015541637937227884,0.8134037852287292,0.900900900363922,0.03666666666666667,0.7777179479598999,0.7666666706403097,1.0,0.8492086331049601,0.788968563079834,0.015541637937227884,0.7888889312744141,0.8333333134651184,0.015541637937227884,0.74444446961085,0.6999293168385824,0.7888888915379842,0.01646949661274751,0.0006771318400674547,0.0008913177205269241,0.0039396803219401795,0.0006771318400674547,0.16777408856145667,0.0013132267739800743,0.0023204974909538695,5.033222956847165,0.0008723873376217886,0.0005314980808882939,0.03940797221825828,0.11834493224880878,0.0010186541567019094,0.0013132267739800743,0.000717374613582145,0.0023204974909538695,0.1004619190756302,0.0,0.053725396694244594,0.0,0.10046189105840264,0.04138445645515464,0.000717374613582145,0.1004619190756302,0.039448285501070456,0.025458736084928473,0.06697456382427804,0.10046189105840264,0.0008913177205269241,0.0010186541567019094,0.05917244905337707,0.021368817314984904,0.0031002547925287624,0.0008723873376217886,0.0008227144898350902,0.03675162568236859,0.07033706178202791,0.0020973254464511175,0.0039396803219401795,0.0,0.03785938897200183,0.0828573841035477,0.03333333134651627,0.0,0.0031002547925287624,0.08038503502300495,0.0020973254464511175,0.05023095624168629,0.0,0.0020973254464511175,0.10046189105840264,0.13839672722037485,0.05023092822444705,0.0010486636502661567
no_init_box_kenn_bottom_up_adapter_bert_ms,0.923706809679667,0.9047839840253195,0.810353676478068,0.923706809679667,0.6333333452542623,0.8777777751286825,0.8906953732172648,40.0,0.904254674911499,0.01832521458466848,0.8088127772013346,0.8040794332822164,0.89107612768809,0.8777777751286825,0.9138771295547485,0.8906953732172648,0.6666666467984518,0.25,0.8118738333384196,0.9803921580314636,0.6666667461395264,0.8336257735888163,0.9138771295547485,0.6666666666666666,0.9281572500864664,0.8777778148651123,0.7222222685813904,0.6666667461395264,0.9047839840253195,0.89107612768809,0.9020397265752157,0.822321355342865,0.8486253023147583,0.904254674911499,0.016885442659258842,0.9390205343564352,0.8954545458157858,0.013917884789407252,0.810353676478068,0.900900900363922,0.01,0.7630513111750284,0.699999988079071,1.0,0.8486253023147583,0.7656591931978861,0.013917884789407252,0.7500000596046448,0.8333333134651184,0.013917884789407252,0.6666667461395264,0.7072968284289042,0.75,0.015657619883616764,0.0008118748672149325,0.0010267189713402624,0.0006535947325110453,0.0008118748672149325,0.08819171637640413,0.00021788477965582114,0.0036493706618952555,4.58257569495584,0.00014592010774096742,0.00020088662390627254,0.0024507288189930406,0.18611636350340094,0.0005641439835052046,0.00021788477965582114,0.00043240480714001157,0.0036493706618952555,0.016666680574425982,0.0,0.028442186829774056,0.0,0.016666650772094727,0.02255593086804291,0.00043240480714001157,0.01666668057442601,0.062038805311247155,0.009622529722516081,0.011111140251159668,0.016666650772094727,0.0010267189713402624,0.0005641439835052046,0.09305818003267513,0.04621900122414954,0.0018880925504540173,0.00014592010774096742,5.1163059891295006e-05,0.04905696777368707,0.10030943341325245,0.00034794677048921585,0.0006535947325110453,0.0,0.0,0.043788119250697505,0.06666666269302368,0.0,0.0018880925504540173,0.04107636539636893,0.00034794677048921585,0.008333325386047363,0.0,0.00034794677048921585,0.016666650772094727,0.12717316813170773,0.008333325386047363,0.0001739738509067266
no_init_box_kenn_horizontal_adapter_bert_ms,0.9245187044143676,0.9052677551905314,0.7940137982368469,0.9245187044143676,0.0,0.8723311424255371,0.8749290704727173,27.666666666666668,0.9005625247955322,0.017397355288267136,0.6553515195846558,0.0,0.8884939352671305,0.8723311424255371,0.9123830993970236,0.8749290704727173,0.2500000049670537,0.25,0.5286083916823069,0.9803921580314636,0.2500000149011612,0.697694460550944,0.9123830993970236,0.2500000049670537,0.6601307392120361,0.8333333730697632,0.444444477558136,0.2500000149011612,0.9052677551905314,0.8884939352671305,0.5,0.6446244021256765,0.8325053254763285,0.9005625247955322,0.01368165947496891,0.9847335616747538,1.0,0.005219206990053256,0.7940137982368469,0.900900900363922,0.02,0.3906265099843343,0.5000000099341074,1.0,0.8325053254763285,0.32231220106283825,0.005219206990053256,0.541666716337204,0.8333333134651184,0.005219206990053256,0.2500000149011612,0.0,0.5416666766007742,0.011308281371990839,0.0,0.00014993553230956434,0.004575192928314209,0.0,0.0,0.0015250444412231445,0.0,0.5773502691896255,0.0012178421020507812,0.0,0.04294291304470001,0.0,0.0008632839345060629,0.0015250444412231445,0.000625014351535724,0.0,0.11666666716337212,0.0,0.055882039460258236,0.0,0.11666668206453394,0.049046258543952496,0.000625014351535724,0.11666666716337212,0.0,0.0,0.07777780294418335,0.11666668206453394,0.00014993553230956434,0.0008632839345060629,0.0,0.21340607379484766,0.0025148124568842726,0.0012178421020507812,0.00089651170785482,0.0016283149058914689,0.0,0.0024356299545615946,0.004575192928314209,0.0,0.01,0.15086418470868537,0.23333333432674425,0.0,0.0025148124568842726,0.10670303689742383,0.0024356299545615946,0.058333322405820835,0.0,0.0024356299545615946,0.11666668206453394,0.0,0.05833335220813815,0.001217815093696236
no_init_box_kenn_hybrid_adapter_bert_ms,0.923571507136027,0.9046024282773336,0.8110072811444601,0.923571507136027,0.6666666865348816,0.8779956499735514,0.890227754910787,43.333333333333336,0.9043706258138021,0.018557179098327957,0.8184330066045126,0.7802298863728842,0.8911003073056539,0.8779956499735514,0.9138700564702352,0.890227754910787,0.6833333571751913,0.25,0.8157104651133219,0.9803921580314636,0.6833333969116211,0.8352270722389221,0.9138700564702352,0.6833333373069763,0.9202073812484741,0.8888889153798422,0.7333333889643351,0.6833333969116211,0.9046024282773336,0.8911003073056539,0.890114943186442,0.8213594555854797,0.8487709959348043,0.9043706258138021,0.017086283614238102,0.9303699334462484,0.8798418045043945,0.014265832180778185,0.8110072811444601,0.900900900363922,0.013333333333333334,0.7677785952885946,0.700000007947286,1.0,0.8487709959348043,0.7720200816790262,0.014265832180778185,0.758333424727122,0.8333333134651184,0.014265832180778185,0.6833333969116211,0.7178679704666138,0.7583333253860474,0.015831593424081802,0.0009027572242651207,0.001144390292827298,0.0006535947325110175,0.0009027572242651207,0.1154700469553736,0.00021788477965584886,0.0038568112131469458,2.886751345948128,8.856330291566218e-05,0.00020088769930494687,0.008632856135869256,0.19669726974602722,0.0006329657554883461,0.00021788477965584886,0.00043337677007663925,0.0038568112131469458,0.016666680574425982,0.0,0.030849448337450874,0.0,0.016666650772094727,0.025243182597810127,0.00043337677007663925,0.016666650772094727,0.06556577878079146,0.009622460897000652,0.011111080646568197,0.016666650772094727,0.001144390292827298,0.0006329657554883461,0.09834863487301362,0.06275045253179104,0.0020223909501628627,8.856330291566218e-05,0.00018022812248374363,0.05388809983593,0.10866579670267043,0.0003479472361506079,0.0006535947325110175,0.0,0.005773502691896258,0.048901268055833225,0.08819169384796602,0.0,0.0020223909501628627,0.04486873014218674,0.0003479472361506079,0.008333355188387528,0.0,0.0003479472361506079,0.016666650772094727,0.14976127865519157,0.008333325386047363,0.00017397478222846985
no_init_box_kenn_top_down_adapter_bert_ms,0.9231655597686768,0.9040436148643494,0.8125323255856832,0.9231655597686768,0.699999988079071,0.8785039981206259,0.8888015747070312,41.0,0.9047378897666931,0.018789144232869148,0.8342678546905518,0.7074955900510153,0.8910906910896301,0.8785039981206259,0.9138587117195129,0.8888015747070312,0.7222222089767456,0.25,0.82169508934021,0.9803921580314636,0.7222222685813904,0.8359598914782206,0.9138587117195129,0.7222222288449606,0.8959626158078512,0.9000000357627869,0.7592593232790629,0.7222222685813904,0.9040436148643494,0.8910906910896301,0.8537477850914001,0.8534107406934103,0.8489565054575602,0.9047378897666931,0.01741686339179675,0.9042604565620422,0.8315130074818929,0.015077708289027214,0.8125323255856832,0.900900900363922,0.04666666666666667,0.7719681660334269,0.7444444497426351,1.0,0.8489565054575602,0.7818482319513956,0.015077708289027214,0.7777778307596842,0.8333333134651184,0.015077708289027214,0.7222222487131754,0.7015713651974996,0.7777777910232544,0.016237531478206318,0.0009008853840421332,0.001175170962707761,0.002641474120486834,0.0009008853840421332,0.13333332538604736,0.0008805093992487027,0.0031610043615011036,5.5677643628300215,0.0005884913037773903,0.0003479477018117896,0.0244465935131573,0.16120997084440464,0.000907508518078142,0.0008805093992487027,0.000661783808116662,0.0031610043615011036,0.06735753107772063,0.0,0.04561303710000622,0.0,0.06735755320020947,0.036741403329136925,0.000661783808116662,0.06735755811631125,0.05373664369991901,0.01666668057449705,0.044905015802372196,0.06735755320020947,0.001175170962707761,0.000907508518078142,0.08060496828863277,0.012569294164882906,0.002678973109845282,0.0005884913037773903,0.0005103666260034352,0.05053757041092841,0.09578543336467463,0.0014062110530095701,0.002641474120486834,0.0,0.046188021535170064,0.07308735584438324,0.019244990619516757,0.0,0.002678973109845282,0.06855829058747884,0.0014062110530095701,0.03367879749357118,0.0,0.0014062110530095701,0.0673575261616081,0.1411956073312597,0.03367876553886032,0.0007031060257970376
no_init_kenn_bottom_up_adapter_bert_ms,0.9269504348436991,0.9118373195330302,0.8610878586769104,0.9269504348436991,0.8111111124356588,0.8982570966084799,0.900267501672109,99.0,0.9134984413782755,0.019794326275587082,0.9188933173815409,0.7729036410649618,0.9049946069717407,0.8982570966084799,0.9201746781667074,0.900267501672109,0.850000003973643,0.375,0.8672649065653483,0.9824561476707458,0.8472222685813904,0.8831908901532491,0.9201746781667074,0.850000003973643,0.8619717558224996,0.9481482108434042,0.8777778148651123,0.8500000635782877,0.9118373195330302,0.9049946069717407,0.8017295797665914,0.841595470905304,0.8802336653073629,0.9134984413782755,0.019183577348788578,0.8788638114929199,0.7958148320515951,0.017745302990078926,0.8610878586769104,0.9572649598121644,0.48,0.8158507943153381,0.8888888955116272,0.8305555582046509,0.8802336653073629,0.8189520239830017,0.017716173082590103,0.8916667501131693,0.9333333373069764,0.017687312016884487,0.8486047188440958,0.7891780535380045,0.8916666706403097,0.018615171313285828,0.0013476814255363938,0.0024703290132537074,0.0019608139991760254,0.0013476814255363938,0.08388702849107246,0.0006535947325110314,0.0051485294579384335,35.510561809129406,0.0004999582117885012,6.696292490120906e-05,0.011995456765038194,0.07552694551317032,0.0009770671119025127,0.0006535947325110314,0.00043437161364315915,0.0051485294579384335,0.04999998211860953,0.0,0.03676451928579616,0.0,0.04589640631664755,0.03454232173878697,0.00043437161364315915,0.04999998211860953,0.08752551030536125,0.003207475494747646,0.03333330154418945,0.0500000119209408,0.0024703290132537074,0.0009770671119025127,0.13128826103029098,0.06364702256161382,0.0018883237894316942,0.0004999582117885012,0.0002504267898521399,0.08173590664848356,0.1284815471128789,0.0010438412427902222,0.0019608139991760254,0.0,0.3609709129556009,0.05841473863730055,0.10183500937362319,0.19009013532070676,0.0018883237894316942,0.060062391819118356,0.0010004644912110906,0.0250000059604704,0.0,0.0009581718480921121,0.04792223189373285,0.06119180148198846,0.0250000059604704,0.0005219206213951111
no_init_kenn_horizontal_adapter_bert_ms,0.9268054962158203,0.9120348890622457,0.8610878586769104,0.9268054962158203,0.8222222129503886,0.8982570767402649,0.9007098277409872,95.66666666666667,0.9134790698687235,0.019890977690617245,0.9210415283838908,0.6864575147628784,0.9050929347674052,0.8982570767402649,0.9200937151908875,0.9007098277409872,0.8499999841054281,0.375,0.8724308609962463,0.9824561476707458,0.8500000635782877,0.8855298360188802,0.9200937151908875,0.8500000238418579,0.8694913983345032,0.9527778228123983,0.8777778148651123,0.8500000635782877,0.9120348890622457,0.9050929347674052,0.8130089441935221,0.9016076525052389,0.8804492155710856,0.9134790698687235,0.01922842487692833,0.881135900815328,0.7935657898585001,0.017745302990078926,0.8610878586769104,0.9572649598121644,0.5366666666666666,0.817994236946106,0.8777777751286825,0.9395604332288107,0.8804492155710856,0.8283042907714844,0.017745302990078926,0.8916667302449545,0.9333333373069764,0.017745302990078926,0.8500000437100729,0.7436855832735697,0.8916666706403097,0.01861517069240411,0.0007629337534095297,0.00096027126279899,0.0026143789291381836,0.0007629337534095297,0.0838870284910725,0.0008714795112609863,0.00203120028806836,44.76978147515725,0.0006413908800388286,0.00010044223655445721,0.01978851279127464,0.06294580264456949,0.0001158470566338754,0.0008714795112609863,0.0002401609161170513,0.00203120028806836,0.06666666269303256,0.0,0.005794221838543052,0.0,0.06666666269303256,0.0042188869105335,0.0002401609161170513,0.06666666269302368,0.03453079375198843,0.004811247654879195,0.04444444179534912,0.06666666269303256,0.00096027126279899,0.0001158470566338754,0.05179618193074116,0.01869849793824025,0.0004289866425183207,0.0006413908800388286,0.000413119446904419,0.034302647753539875,0.0536846259977151,0.0013917889446020126,0.0026143789291381836,0.0,0.3707200201409864,0.008787424929563371,0.10715167491612136,0.0739210024112457,0.0004289866425183207,0.007849752237225822,0.0013917889446020126,0.033333361148851964,0.0,0.0013917889446020126,0.06666669249534829,0.0075697580740321626,0.03333333134651628,0.000695894472301214
no_init_kenn_hybrid_adapter_bert_ms,0.9272017478942871,0.9121958613395692,0.8617414633433024,0.9272017478942871,0.8444444338480631,0.8984749515851339,0.9016508460044861,100.66666666666667,0.9136530756950378,0.019697674239675205,0.9210445483525594,0.8073435425758362,0.9052810072898865,0.8984749515851339,0.9203766783078512,0.9016508460044861,0.8666666746139526,0.375,0.8834685285886129,0.9824561476707458,0.8611111442248026,0.8947688539822897,0.9203766783078512,0.8666666746139526,0.8854888081550598,0.9435185591379801,0.8888889153798422,0.8666667143503824,0.9121958613395692,0.9052810072898865,0.837005098660787,0.8558201392491659,0.8812322815259298,0.9136530756950378,0.019228488206863403,0.8955387870470682,0.8310234149297079,0.018093250071009,0.8617414633433024,0.9572649598121644,0.6033333333333334,0.8392422397931417,0.8888888955116272,0.8666666746139526,0.8812322815259298,0.8425552646319071,0.018034727002183597,0.9000000953674316,0.9333333373069764,0.01797726812462012,0.863863448301951,0.8237116932868958,0.899999996026357,0.018789144853750866,0.0017164734072719,0.0030949329357557644,0.001729237855676583,0.0017164734072719,0.05091749168001303,0.000576423882798325,0.006484354156140187,33.4863156129983,0.0004863432251906856,0.00023436916175555313,0.006235391587587525,0.1042621541241752,0.0012455715592523512,0.000576423882798325,0.0006009163406877883,0.006484354156140187,0.044095813131325295,0.0,0.044818449916596795,0.0,0.03469443364258258,0.04432587850994593,0.0006009163406877883,0.04409586945242499,0.1102338438873834,0.011226267469889915,0.029397246301616664,0.04409588071664166,0.0030949329357557644,0.0012455715592523512,0.165350810219884,0.09376620795202942,0.002259243674633368,0.0004863432251906856,0.00013017519185375725,0.10370113726679275,0.16677337427159575,0.0009205820322299398,0.001729237855676583,0.0,0.4657610259922285,0.07537831194460722,0.10183500937362319,0.2309400939107472,0.002259243674633368,0.07370444002156053,0.0008212670936591233,0.02204790656566262,0.0,0.0007243109004539848,0.03933861915976012,0.07175282244494507,0.02204794035832084,0.00046029013609788847
no_init_kenn_top_down_adapter_bert_ms,0.814596951007843,0.7589302857716879,0.8641379475593567,0.814596951007843,0.9111111164093018,0.8992737929026285,0.8808907866477966,107.66666666666667,0.9142329692840577,0.01940771813193957,0.9289226134618124,0.3042882022758325,0.8179638187090555,0.8992737929026285,0.858850340048472,0.8808907866477966,0.9277777671813965,0.375,0.6340097586313883,0.9824561476707458,0.8527778188387553,0.3879365896185239,0.858850340048472,0.9277777870496114,0.5325679282347361,0.9296296834945679,0.9296296834945679,0.9277778069178263,0.7589302857716879,0.8179638187090555,0.307623786230882,0.3279462270438671,0.8723349769910177,0.9142329692840577,0.01939295729001363,0.35448360443115234,0.30709406174719334,0.0193690558274587,0.8641379475593567,0.9572649598121644,0.3,0.3223964025576909,0.9444444378217062,0.310959388812383,0.8723349769910177,0.3237263076007366,0.018539441749453545,0.9305555820465088,0.9333333373069764,0.017803293963273365,0.888039251168569,0.3191837357978026,0.930555542310079,0.019427047421534855,0.11083558416683668,0.14740078365410605,0.004905573023751398,0.11083558416683668,0.15396006260716483,0.0016352254206748469,0.01803707168192026,24.006943440041123,0.0011718576381632283,0.0003728316622756167,0.023496725075121544,0.4425574229059746,0.0857401321045439,0.0016352254206748469,0.06156516231802773,0.01803707168192026,0.1250925766778897,0.0,0.19520301279651686,0.0,0.06028477955023571,0.4318513294068729,0.06156516231802773,0.12509254226513197,0.3066303691336129,0.017858603730021728,0.08339505111859313,0.1250925078523743,0.14740078365410605,0.0857401321045439,0.45994553017540785,0.4503336677110391,0.006263354809098759,0.0011718576381632283,0.0004905361910314746,0.483040757701548,0.4611024765622481,0.002611535789369622,0.004905573023751398,0.0,0.5022947341949744,0.4233591531555279,0.09622505633585686,0.4773896410061259,0.006263354809098759,0.42198441332257586,0.0018936986811450447,0.06254628833894478,0.0,0.0012585559835570604,0.09070812564420637,0.3936839025827759,0.06254625392618714,0.0013057684323841503
smart_init_box_adapter_bert_ms,0.9188645680745443,0.8949857155481974,0.8138395349184672,0.9188645680745443,0.7555555601914724,0.8789397279421488,0.8755706350008646,30.333333333333332,0.9051051537195841,0.013898554568489393,0.7112673918406168,0.4797135293483734,0.886868437131246,0.8789397279421488,0.9119252562522888,0.8755706350008646,0.7555555502573649,0.25,0.702200730641683,0.9803921580314636,0.42777779698371887,0.7065441608428955,0.9119252562522888,0.7555555502573649,0.6710370779037476,0.6657408078511556,0.7814814845720927,0.7555555800596873,0.8949857155481974,0.886868437131246,0.5163595080375671,0.5695726672808329,0.8435166875521342,0.9051051537195841,0.014849006198346615,0.6703839699427286,0.5096470713615417,0.015773602450887363,0.8138395349184672,0.900900900363922,0.32333333333333336,0.5619989434878031,0.7555555601914724,0.5530054668585459,0.8435166875521342,0.5639817118644714,0.01128646389891704,0.7944444616635641,0.8333333134651184,0.008930642623454332,0.5406216681003571,0.5545621713002523,0.7944444417953491,0.016585479180018108,0.004061557457374562,0.00726846098032787,0.010962740632329295,0.004061557457374562,0.25239592849170583,0.0036542520104467084,0.006544215476375072,19.347695814575268,0.002531976454211801,0.002126254989761107,0.00959384785438526,0.11997996427542769,0.0019029892301864416,0.0036542520104467084,0.0008796993911684218,0.006544215476375072,0.27954989560068494,0.0,0.04048500399181227,0.0,0.0602848193735693,0.03273146075438346,0.0008796993911684218,0.27954989560068494,0.11125148953551829,0.10184760882991956,0.186366606148568,0.279549893823881,0.00726846098032787,0.0019029892301864416,0.16687723430327742,0.04185486776757099,0.0031392672747745233,0.002531976454211801,0.00020028966153309838,0.16257569016822526,0.15555578499575728,0.0058361145193445525,0.010962740632329295,0.0,0.23501772982763097,0.04647103059561408,0.30792014242070853,0.21592929895830723,0.0031392672747745233,0.04454944498937577,0.0026864657865813568,0.13977492114828305,0.0,0.0012585556509805964,0.12868170983863872,0.05283710640019635,0.13977495549982633,0.002918057500281212
