name,test_incremental_only/micro/recall/mean,test_incremental_art/macro_types/precision/mean,test_incremental_only/macro_types/precision/mean,threshold_incremental/mean,test_pretraining/micro/recall/mean,test_incremental/macro_example/f1/mean,test_incremental_art-film/macro_types/f1/mean,test_incremental_only/macro_types/recall/mean,test_incremental_art-film/macro_types/recall/mean,threshold_pretraining/mean,test_incremental_only/macro_example/f1/mean,test/macro_example/recall/mean,test_incremental/macro_example/recall/mean,test_pretraining/macro_example/precision/mean,test/macro_types/f1/mean,test/macro_example/f1/mean,test_incremental_only/macro_example/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_pretraining/macro_types/f1/mean,test_incremental_art/macro_types/f1/mean,test/micro/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental/macro_types/recall/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental/micro/recall/mean,test_incremental_only/micro/precision/mean,test_incremental_only/macro_example/precision/mean,test/macro_types/recall/mean,test_incremental/macro_types/f1/mean,test_pretraining/micro/f1/mean,test_incremental/macro_example/precision/mean,test_incremental/micro/f1/mean,test_incremental/micro/precision/mean,test_pretraining/macro_types/recall/mean,test_incremental_art/macro_types/recall/mean,test/macro_types/precision/mean,test_incremental_art-film/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/f1/mean,epoch/mean,test_incremental_only/micro/f1/mean,test/micro/recall/mean,test/micro/precision/mean,test_pretraining/macro_types/precision/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_types/f1/mean,test_incremental/macro_example_exclusive/recall/mean,test_pretraining/micro/precision/mean,test/macro_example/precision/mean,test_incremental_only/micro/recall/std,test_incremental_art/macro_types/precision/std,test_incremental_only/macro_types/precision/std,threshold_incremental/std,test_pretraining/micro/recall/std,test_incremental/macro_example/f1/std,test_incremental_art-film/macro_types/f1/std,test_incremental_only/macro_types/recall/std,test_incremental_art-film/macro_types/recall/std,threshold_pretraining/std,test_incremental_only/macro_example/f1/std,test/macro_example/recall/std,test_incremental/macro_example/recall/std,test_pretraining/macro_example/precision/std,test/macro_types/f1/std,test/macro_example/f1/std,test_incremental_only/macro_example/recall/std,test_incremental_only/macro_example_exclusive/recall/std,test_pretraining/macro_types/f1/std,test_incremental_art/macro_types/f1/std,test/micro/f1/std,test_pretraining/macro_example/f1/std,test_incremental/macro_types/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental/macro_types/recall/std,test_incremental/macro_example_exclusive/f1/std,test_incremental/macro_example_exclusive/precision/std,test_incremental/micro/recall/std,test_incremental_only/micro/precision/std,test_incremental_only/macro_example/precision/std,test/macro_types/recall/std,test_incremental/macro_types/f1/std,test_pretraining/micro/f1/std,test_incremental/macro_example/precision/std,test_incremental/micro/f1/std,test_incremental/micro/precision/std,test_pretraining/macro_types/recall/std,test_incremental_art/macro_types/recall/std,test/macro_types/precision/std,test_incremental_art-film/macro_types/precision/std,test_incremental_only/macro_example_exclusive/f1/std,epoch/std,test_incremental_only/micro/f1/std,test/micro/recall/std,test/micro/precision/std,test_pretraining/macro_types/precision/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_types/f1/std,test_incremental/macro_example_exclusive/recall/std,test_pretraining/micro/precision/std,test/macro_example/precision/std
box_adapter_bert_ms,1.0,0.7111111283302307,0.0139860138297081,0.9899999999999999,0.8815674185752869,0.012852883897721767,0.027586206793785095,1.0,1.0,0.25,0.013221991248428822,0.9072083234786988,0.01235212292522192,0.5609313249588013,0.8454766869544983,0.6932331919670105,0.013221990317106249,1.0,0.8454766869544983,0.7619048357009888,0.6887881755828857,0.6932331919670105,0.3625485599040985,1.0,0.9102563858032228,0.947158694267273,0.9871795177459716,0.9090909361839294,0.0139860138297081,0.013221990317106249,0.8198940753936768,0.5185588598251343,0.6887881755828857,0.013395964168012142,0.04931313917040825,0.02534395456314087,0.8198940753936768,0.8205128312110901,0.8727073073387146,0.0139860138297081,1.0,9.333333333333334,0.027586206793785095,0.8815674185752869,0.5651929974555969,0.8727073073387146,0.9072083234786988,0.027586206793785095,0.9102563858032228,0.5651929974555969,0.5609313249588013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.055050463303893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
classifier_adapter_bert_ms,1.0,0.707317054271698,0.03037569858133793,0.9899999999999999,0.8997372984886169,0.012564490549266338,0.058960430324077606,1.0,1.0,0.375,0.013221991248428822,0.9152517318725586,0.011830202303826807,0.7715842723846436,0.8754157423973083,0.8372999429702759,0.013221990317106249,1.0,0.8754157423973083,0.7250000238418579,0.800000011920929,0.8372999429702759,0.3688463866710663,1.0,0.8717948794364929,0.9259063601493835,0.9871795177459716,0.8701298832893372,0.03037569858133793,0.013221990317106249,0.864309549331665,0.518374502658844,0.800000011920929,0.013395964168012142,0.09788166731595992,0.051857586950063705,0.864309549331665,0.7435897588729858,0.8868111371994019,0.03037569858133793,1.0,5.333333333333333,0.058960430324077606,0.8997372984886169,0.7201682329177856,0.8868111371994019,0.9152517318725586,0.058960430324077606,0.8717949390411377,0.7201682329177856,0.7715842723846436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kenn_bottom_up_adapter_bert_ms,0.9824561278025309,0.707317054271698,0.029850679139296215,0.9899999999999999,0.899591346581777,0.0124986224497358,0.05794089784224828,0.9824561278025309,0.9824561278025309,0.375,0.012990025493005911,0.9151357412338257,0.011714219736556212,0.7715262969334921,0.875230610370636,0.8372172514597574,0.012990025182565054,0.9824561278025309,0.875230610370636,0.7250000238418579,0.7998962004979452,0.8372172514597574,0.368583877881368,0.9824561278025309,0.8630229433377584,0.921052356561025,0.9871795177459716,0.8614718715349833,0.029850679139296215,0.012990025182565054,0.8639586766560873,0.5165502031644186,0.7998962004979452,0.013395964168012142,0.09693121661742528,0.05135477955142657,0.8639586766560873,0.7435897588729858,0.8868006467819214,0.029850679139296215,0.9824561278025309,31.0,0.05794089784224828,0.899591346581777,0.7200934688250223,0.8868006467819214,0.9151357412338257,0.05794089784224828,0.8632478713989258,0.7200934688250223,0.7715262969334921,0.01519343900375576,0.0,0.000454834061792689,0.0,0.0001263980590542094,5.704344749244795e-05,0.0008832222078186859,0.01519343900375576,0.01519343900375576,0.0,0.00020088823700428827,0.00010045083974388347,0.00010044384965247343,0.00010041642698616943,0.00016032908247014073,8.803348428802123e-05,0.00020088769930494985,0.01519343900375576,0.00016032908247014073,0.0,9.797876583073165e-05,8.803348428802123e-05,0.0002274162367329656,0.01519343900375576,0.007596719501877855,0.004203690417579401,0.0,0.007498058125534717,0.000454834061792689,0.00020088769930494985,0.00030386465054417413,0.0015799002853040072,9.797876583073165e-05,0.0,0.0008238685230023765,0.00043589322887832956,0.00030386465054417413,0.0,9.088095928452453e-06,0.000454834061792689,0.01519343900375576,0.0,0.0008832222078186859,0.0001263980590542094,9.040349345376581e-05,9.088095928452453e-06,0.00010045083974388347,0.0008832222078186859,0.007401977706019483,9.040349345376581e-05,0.00010041642698616943
kenn_horizontal_adapter_bert_ms,0.9736841917037964,0.707317054271698,0.029600000008940697,0.9899999999999999,0.8995183706283569,0.012465688399970531,0.05745341628789902,0.9736841917037964,0.9736841917037964,0.375,0.012874042615294456,0.9150777459144592,0.011656228452920914,0.7715842723846436,0.8751381635665894,0.8372271060943604,0.012874042615294456,0.9736841917037964,0.8751381635665894,0.7250000238418579,0.799883246421814,0.8372271060943604,0.3684585392475128,0.9736841917037964,0.8586369752883911,0.9186253547668456,0.9871795177459716,0.8571428656578064,0.029600000008940697,0.012874042615294456,0.8637832403182983,0.515643835067749,0.799883246421814,0.013395964168012142,0.0964912325143814,0.05112316086888313,0.8637832403182983,0.7435897588729858,0.8867956399917603,0.029600000008940697,0.9736841917037964,28.666666666666668,0.05745341628789902,0.8995183706283569,0.7201191782951355,0.8867956399917603,0.9150777459144592,0.05745341628789902,0.8589743375778198,0.7201191782951355,0.7715842723846436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.516611478423583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kenn_hybrid_adapter_bert_ms,1.0,0.707317054271698,0.030367611596981686,0.9899999999999999,0.8997372984886169,0.012564490549266338,0.058945197612047195,1.0,1.0,0.375,0.013221991248428822,0.9152517318725586,0.011830202303826807,0.7715262969334921,0.8754156629244486,0.8372658093770345,0.013221990317106249,1.0,0.8754156629244486,0.7250000238418579,0.7999740441640218,0.8372658093770345,0.36884234348932904,1.0,0.8717948794364929,0.9259063601493835,0.9871795177459716,0.8701298832893372,0.030367611596981686,0.013221990317106249,0.864309549331665,0.5183704892794291,0.7999740441640218,0.013395964168012142,0.09785785277684529,0.05184421812494596,0.864309549331665,0.7435897588729858,0.8868109782536825,0.030367611596981686,1.0,27.0,0.058945197612047195,0.8997372984886169,0.7201261719067892,0.8868109782536825,0.9152517318725586,0.058945197612047195,0.8717949390411377,0.7201261719067892,0.7715262969334921,0.0,0.0,1.4007067785029749e-05,0.0,0.0,0.0,2.638383117373712e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00010041642698616943,1.3765103083210753e-07,5.9121117738940876e-05,0.0,0.0,1.3765103083210753e-07,0.0,4.497747432176509e-05,5.9121117738940876e-05,7.0029961931718365e-06,0.0,0.0,0.0,0.0,0.0,1.4007067785029749e-05,0.0,0.0,6.95137705662482e-06,4.497747432176509e-05,0.0,4.124799170536675e-05,2.315548434144026e-05,0.0,0.0,2.75302061640178e-07,1.4007067785029749e-05,0.0,3.4641016151377544,2.638383117373712e-05,0.0,7.285180806364437e-05,2.75302061640178e-07,0.0,2.638383117373712e-05,0.0,7.285180806364437e-05,0.00010041642698616943
kenn_top_down_adapter_bert_ms,1.0,0.707317054271698,0.030367611596981686,0.9899999999999999,0.8997372984886169,0.012564490549266338,0.058945197612047195,1.0,1.0,0.375,0.013221991248428822,0.9152517318725586,0.011830202303826807,0.7715262969334921,0.8754156629244486,0.8372658093770345,0.013221990317106249,1.0,0.8754156629244486,0.7250000238418579,0.7999740441640218,0.8372658093770345,0.36884234348932904,1.0,0.8717948794364929,0.9259063601493835,0.9871795177459716,0.8701298832893372,0.030367611596981686,0.013221990317106249,0.864309549331665,0.5183704892794291,0.7999740441640218,0.013395964168012142,0.09785785277684529,0.05184421812494596,0.864309549331665,0.7435897588729858,0.8868109782536825,0.030367611596981686,1.0,29.0,0.058945197612047195,0.8997372984886169,0.7201261719067892,0.8868109782536825,0.9152517318725586,0.058945197612047195,0.8717949390411377,0.7201261719067892,0.7715262969334921,0.0,0.0,1.4007067785029749e-05,0.0,0.0,0.0,2.638383117373712e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00010041642698616943,1.3765103083210753e-07,5.9121117738940876e-05,0.0,0.0,1.3765103083210753e-07,0.0,4.497747432176509e-05,5.9121117738940876e-05,7.0029961931718365e-06,0.0,0.0,0.0,0.0,0.0,1.4007067785029749e-05,0.0,0.0,6.95137705662482e-06,4.497747432176509e-05,0.0,4.124799170536675e-05,2.315548434144026e-05,0.0,0.0,2.75302061640178e-07,1.4007067785029749e-05,0.0,3.4641016151377544,2.638383117373712e-05,0.0,7.285180806364437e-05,2.75302061640178e-07,0.0,2.638383117373712e-05,0.0,7.285180806364437e-05,0.00010041642698616943
