name,test/macro_types/precision/mean,test_incremental/macro_types/recall/mean,test_incremental_only/macro_example/recall/mean,test_incremental_art/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/f1/mean,test/macro_types/f1/mean,test/macro_example/precision/mean,test_incremental_art-film/macro_types/f1/mean,test_incremental_art-film/macro_types/precision/mean,test/micro/recall/mean,test/macro_example/f1/mean,test_pretraining/macro_example/f1/mean,test/macro_example/recall/mean,epoch/mean,threshold_pretraining/mean,test_pretraining/micro/precision/mean,test_pretraining/macro_types/recall/mean,test_incremental_art/macro_types/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental/macro_example/f1/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/micro/f1/mean,test_incremental_only/macro_types/precision/mean,test_incremental/macro_example/recall/mean,test_pretraining/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental_only/macro_example/f1/mean,test_incremental_art/macro_types/recall/mean,test_incremental_only/macro_types/f1/mean,test_incremental/macro_types/precision/mean,test_incremental/micro/f1/mean,test_pretraining/micro/recall/mean,test_incremental/macro_types/f1/mean,test_incremental_only/micro/precision/mean,test_incremental_only/macro_example/precision/mean,test_incremental/macro_example_exclusive/precision/mean,test/micro/f1/mean,threshold_incremental/mean,test_pretraining/macro_types/f1/mean,test_pretraining/macro_example/precision/mean,test/micro/precision/mean,test_incremental/macro_example/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental/micro/recall/mean,test_incremental/micro/precision/mean,test/macro_types/recall/mean,test_incremental_only/micro/recall/mean,test_incremental_only/macro_types/recall/mean,test_incremental_art-film/macro_types/recall/mean,test_incremental/macro_example_exclusive/recall/mean,test_pretraining/micro/f1/mean,test/macro_types/precision/std,test_incremental/macro_types/recall/std,test_incremental_only/macro_example/recall/std,test_incremental_art/macro_types/f1/std,test_incremental_only/macro_example_exclusive/f1/std,test/macro_types/f1/std,test/macro_example/precision/std,test_incremental_art-film/macro_types/f1/std,test_incremental_art-film/macro_types/precision/std,test/micro/recall/std,test/macro_example/f1/std,test_pretraining/macro_example/f1/std,test/macro_example/recall/std,epoch/std,threshold_pretraining/std,test_pretraining/micro/precision/std,test_pretraining/macro_types/recall/std,test_incremental_art/macro_types/precision/std,test_incremental/macro_example_exclusive/f1/std,test_incremental/macro_example/f1/std,test_pretraining/macro_example/recall/std,test_incremental_only/micro/f1/std,test_incremental_only/macro_types/precision/std,test_incremental/macro_example/recall/std,test_pretraining/macro_types/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental_only/macro_example/f1/std,test_incremental_art/macro_types/recall/std,test_incremental_only/macro_types/f1/std,test_incremental/macro_types/precision/std,test_incremental/micro/f1/std,test_pretraining/micro/recall/std,test_incremental/macro_types/f1/std,test_incremental_only/micro/precision/std,test_incremental_only/macro_example/precision/std,test_incremental/macro_example_exclusive/precision/std,test/micro/f1/std,threshold_incremental/std,test_pretraining/macro_types/f1/std,test_pretraining/macro_example/precision/std,test/micro/precision/std,test_incremental/macro_example/precision/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental/micro/recall/std,test_incremental/micro/precision/std,test/macro_types/recall/std,test_incremental_only/micro/recall/std,test_incremental_only/macro_types/recall/std,test_incremental_art-film/macro_types/recall/std,test_incremental/macro_example_exclusive/recall/std,test_pretraining/micro/f1/std
box_adapter_bert_ms,0.8727073073387146,0.9102563858032228,0.013221990317106249,0.7619048357009888,1.0,0.8454766869544983,0.5609313249588013,0.027586206793785095,0.0139860138297081,0.8815674185752869,0.6932331919670105,0.6932331919670105,0.9072083234786988,7.666666666666667,0.25,0.5651929974555969,0.8198940753936768,0.7111111283302307,0.947158694267273,0.012852883897721767,0.9072083234786988,0.027586206793785095,0.0139860138297081,0.01235212292522192,0.8727073073387146,1.0,0.013221991248428822,0.8205128312110901,0.027586206793785095,0.3625485599040985,0.04931313917040825,0.8815674185752869,0.5185588598251343,0.0139860138297081,0.013221990317106249,0.9871795177459716,0.6887881755828857,0.9899999999999999,0.8454766869544983,0.5609313249588013,0.5651929974555969,0.013395964168012142,1.0,0.9090909361839294,0.02534395456314087,0.8198940753936768,1.0,1.0,1.0,0.9102563858032228,0.6887881755828857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.618802153517007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
classifier_adapter_bert_ms,0.8868111371994019,0.8717948794364929,0.013221990317106249,0.7250000238418579,1.0,0.8754157423973083,0.7715842723846436,0.058960430324077606,0.03037569858133793,0.8997372984886169,0.8372999429702759,0.8372999429702759,0.9152517318725586,5.0,0.375,0.7201682329177856,0.864309549331665,0.707317054271698,0.9259063601493835,0.012564490549266338,0.9152517318725586,0.058960430324077606,0.03037569858133793,0.011830202303826807,0.8868111371994019,1.0,0.013221991248428822,0.7435897588729858,0.058960430324077606,0.3688463866710663,0.09788166731595992,0.8997372984886169,0.518374502658844,0.03037569858133793,0.013221990317106249,0.9871795177459716,0.800000011920929,0.9899999999999999,0.8754157423973083,0.7715842723846436,0.7201682329177856,0.013395964168012142,1.0,0.8701298832893372,0.051857586950063705,0.864309549331665,1.0,1.0,1.0,0.8717949390411377,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kenn_bottom_up_adapter_bert_ms,0.8867954810460409,0.8586369752883911,0.012874042615294456,0.7250000238418579,0.9736841917037964,0.8751380840937296,0.7715262969334921,0.05743855983018875,0.029592112948497135,0.8995183706283569,0.837192972501119,0.837192972501119,0.9150777459144592,66.33333333333333,0.375,0.720077117284139,0.8637832403182983,0.707317054271698,0.9186253547668456,0.012465688399970531,0.9150777459144592,0.05743855983018875,0.029592112948497135,0.011656228452920914,0.8867954810460409,0.9736841917037964,0.012874042615294456,0.7435897588729858,0.05743855983018875,0.36845459540685016,0.09646773835023244,0.8995183706283569,0.5156399806340536,0.029592112948497135,0.012874042615294456,0.9871795177459716,0.7998572786649069,0.9899999999999999,0.8751380840937296,0.7715262969334921,0.720077117284139,0.013395964168012142,0.9736841917037964,0.8571428656578064,0.051109970857699714,0.8637832403182983,0.9736841917037964,0.9736841917037964,0.9736841917037964,0.8589743375778198,0.7998572786649069,2.75302061640178e-07,0.0,0.0,0.0,0.0,1.3765103083210753e-07,0.00010041642698616943,2.5732139574679295e-05,1.3660789410613385e-05,0.0,5.9121117738940876e-05,5.9121117738940876e-05,0.0,2.0816659994661335,0.0,7.285180806364437e-05,0.0,0.0,0.0,0.0,0.0,2.5732139574679295e-05,1.3660789410613385e-05,0.0,2.75302061640178e-07,0.0,0.0,0.0,2.5732139574679295e-05,6.8309324046497305e-06,4.069308598735712e-05,0.0,6.676074994960605e-06,1.3660789410613385e-05,0.0,0.0,4.497747432176509e-05,0.0,1.3765103083210753e-07,0.00010041642698616943,7.285180806364437e-05,0.0,0.0,0.0,2.284576952208605e-05,0.0,0.0,0.0,0.0,0.0,4.497747432176509e-05
kenn_horizontal_adapter_bert_ms,0.8867953221003214,0.8586369752883911,0.012874042615294456,0.7250000238418579,0.9736841917037964,0.87513800462087,0.7714683016141256,0.05742372448245684,0.029584238305687904,0.8995183706283569,0.8371588190396627,0.8371588190396627,0.9150777459144592,48.333333333333336,0.375,0.7200350761413574,0.8637832403182983,0.707317054271698,0.9186253547668456,0.012465688399970531,0.9150777459144592,0.05742372448245684,0.029584238305687904,0.011656228452920914,0.8867953221003214,0.9736841917037964,0.012874042615294456,0.7435897588729858,0.05742372448245684,0.36845065156618756,0.09644427647193271,0.8995183706283569,0.5156361063321432,0.029584238305687904,0.012874042615294456,0.9871795177459716,0.7998313307762146,0.9899999999999999,0.87513800462087,0.7714683016141256,0.7200350761413574,0.013395964168012142,0.9736841917037964,0.8571428656578064,0.05109680195649465,0.8637832403182983,0.9736841917037964,0.9736841917037964,0.9736841917037964,0.8589743375778198,0.7998313307762146,5.506041233043931e-07,0.0,0.0,0.0,0.0,2.75302061640178e-07,0.0002008672667300529,5.142771559429644e-05,2.7300070847660003e-05,0.0,0.00011827664823559578,0.00011827664823559578,0.0,4.932882862316246,0.0,0.00014566920336959874,0.0,0.0,0.0,0.0,0.0,5.142771559429644e-05,2.7300070847660003e-05,0.0,5.506041233043931e-07,0.0,0.0,0.0,5.142771559429644e-05,1.3661864809287442e-05,8.1330251243475e-05,0.0,1.3386562747635245e-05,2.7300070847660003e-05,0.0,0.0,8.992053588584019e-05,0.0,2.75302061640178e-07,0.0002008672667300529,0.00014566920336959874,0.0,0.0,0.0,4.565497548910995e-05,0.0,0.0,0.0,0.0,0.0,8.992053588584019e-05
kenn_hybrid_adapter_bert_ms,0.886810819307963,0.8717948794364929,0.013221990317106249,0.7250000238418579,1.0,0.8754156033198038,0.7714683016141256,0.05892998476823171,0.03035953703025977,0.8997372984886169,0.8372316360473633,0.8372316360473633,0.9152517318725586,54.333333333333336,0.375,0.7200841307640076,0.864309549331665,0.707317054271698,0.9259063601493835,0.012564490549266338,0.9152517318725586,0.05892998476823171,0.03035953703025977,0.011830202303826807,0.886810819307963,1.0,0.013221991248428822,0.7435897588729858,0.05892998476823171,0.36883830030759174,0.09783407052357991,0.8997372984886169,0.5183665156364441,0.03035953703025977,0.013221990317106249,0.9871795177459716,0.7999481161435446,0.9899999999999999,0.8754156033198038,0.7714683016141256,0.7200841307640076,0.013395964168012142,1.0,0.8701298832893372,0.05183086916804314,0.864309549331665,1.0,1.0,1.0,0.8717949390411377,0.7999481161435446,5.506041233043931e-07,0.0,0.0,0.0,0.0,2.4088930395017895e-07,0.0002008672667300529,5.2733249589767716e-05,2.7992627596493484e-05,0.0,0.00011831106099330982,0.00011831106099330982,0.0,18.502252115170556,0.0,0.00014566920336959874,0.0,0.0,0.0,0.0,0.0,5.2733249589767716e-05,2.7992627596493484e-05,0.0,5.506041233043931e-07,0.0,0.0,0.0,5.2733249589767716e-05,1.4005992386355692e-05,8.244006267948625e-05,0.0,1.3833928597821566e-05,2.7992627596493484e-05,0.0,0.0,8.988612312812614e-05,0.0,2.4088930395017895e-07,0.0002008672667300529,0.00014566920336959874,0.0,0.0,0.0,4.6276555925175505e-05,0.0,0.0,0.0,0.0,0.0,8.988612312812614e-05
kenn_top_down_adapter_bert_ms,0.886800487836202,0.8630229433377584,0.012990025182565054,0.7250000238418579,0.9824561278025309,0.8752305308977762,0.7714683016141256,0.05792606249451637,0.02984280449648698,0.899591346581777,0.8371830979983012,0.8371830979983012,0.9151357412338257,67.0,0.375,0.7200514276822408,0.8639586766560873,0.707317054271698,0.921052356561025,0.0124986224497358,0.9151357412338257,0.05792606249451637,0.02984280449648698,0.011714219736556212,0.886800487836202,0.9824561278025309,0.012990025493005911,0.7435897588729858,0.05792606249451637,0.3685799340407054,0.09690775473912555,0.899591346581777,0.5165463288625082,0.02984280449648698,0.012990025182565054,0.9871795177459716,0.7998702526092529,0.9899999999999999,0.8752305308977762,0.7714683016141256,0.7200514276822408,0.013395964168012142,0.9824561278025309,0.8614718715349833,0.051341610650221504,0.8639586766560873,0.9824561278025309,0.9824561278025309,0.9824561278025309,0.8632478713989258,0.7998702526092529,9.234937796065731e-06,0.007596719501877855,0.00020088769930494985,0.0,0.01519343900375576,0.0001603980408627573,0.0002008672667300529,0.0008968953186252276,0.0004621050201556592,0.0001263980590542094,0.00014398466843804764,0.00014398466843804764,0.00010045083974388347,2.0,0.0,0.00016170106646451392,0.00030386465054417413,0.0,0.004203690417579401,5.704344749244795e-05,0.00010045083974388347,0.0008968953186252276,0.0004621050201556592,0.00010044384965247343,9.234937796065731e-06,0.01519343900375576,0.00020088823700428827,0.0,0.0008968953186252276,0.00023105786738874984,0.0008463688544674874,0.0001263980590542094,0.0015832873940802375,0.0004621050201556592,0.00020088769930494985,0.0,0.00013672010205333532,0.0,0.0001603980408627573,0.0002008672667300529,0.00016170106646451392,0.0,0.01519343900375576,0.007498058125534717,0.0004485944037650484,0.00030386465054417413,0.01519343900375576,0.01519343900375576,0.01519343900375576,0.007401977706019483,0.00013672010205333532
