name,test_incremental_only/macro_example/f1/mean,test_incremental/macro_example/precision/mean,test/macro_example/precision/mean,test/macro_types/f1/mean,test_pretraining/micro/f1/mean,test_incremental_only/macro_types/f1/mean,test_incremental_only/macro_types/recall/mean,test_incremental_medicine-symptom/macro_types/recall/mean,test_incremental_medicine-medical_treatment/macro_types/f1/mean,test/micro/recall/mean,test_incremental_medicine-drug/macro_types/precision/mean,test_incremental_medicine-drug/macro_types/recall/mean,test_incremental_medicine-drug/macro_types/f1/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_medicine/macro_types/precision/mean,test_incremental/micro/f1/mean,test_incremental_only/micro/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental_medicine/macro_types/f1/mean,test_incremental/macro_example_exclusive/f1/mean,test/micro/precision/mean,test_pretraining/macro_types/f1/mean,threshold_incremental/mean,test/macro_types/recall/mean,test_incremental_medicine-symptom/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental/micro/recall/mean,test_pretraining/micro/recall/mean,test_incremental_medicine/macro_types/recall/mean,test_incremental_medicine-symptom/macro_types/f1/mean,test_incremental_medicine-medical_treatment/macro_types/precision/mean,test/micro/f1/mean,test_incremental/micro/precision/mean,test_incremental_only/macro_example/precision/mean,test_incremental_only/macro_example_exclusive/f1/mean,test/macro_example/recall/mean,test_incremental_only/micro/precision/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_example/recall/mean,test_incremental/macro_types/recall/mean,test_pretraining/macro_types/precision/mean,test_pretraining/macro_example/precision/mean,test/macro_types/precision/mean,test_incremental/macro_example/f1/mean,test_incremental_only/micro/recall/mean,epoch/mean,test_incremental/macro_types/f1/mean,test_incremental/macro_example/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental_medicine-medical_treatment/macro_types/recall/mean,test_incremental/macro_example_exclusive/precision/mean,threshold_pretraining/mean,test_pretraining/macro_types/recall/mean,test_incremental_only/macro_types/precision/mean,test/macro_example/f1/mean,test_pretraining/micro/precision/mean,test_incremental/macro_types/precision/mean,test_incremental_only/macro_example/f1/std,test_incremental/macro_example/precision/std,test/macro_example/precision/std,test/macro_types/f1/std,test_pretraining/micro/f1/std,test_incremental_only/macro_types/f1/std,test_incremental_only/macro_types/recall/std,test_incremental_medicine-symptom/macro_types/recall/std,test_incremental_medicine-medical_treatment/macro_types/f1/std,test/micro/recall/std,test_incremental_medicine-drug/macro_types/precision/std,test_incremental_medicine-drug/macro_types/recall/std,test_incremental_medicine-drug/macro_types/f1/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_medicine/macro_types/precision/std,test_incremental/micro/f1/std,test_incremental_only/micro/f1/std,test_pretraining/macro_example/f1/std,test_incremental_medicine/macro_types/f1/std,test_incremental/macro_example_exclusive/f1/std,test/micro/precision/std,test_pretraining/macro_types/f1/std,threshold_incremental/std,test/macro_types/recall/std,test_incremental_medicine-symptom/macro_types/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental/micro/recall/std,test_pretraining/micro/recall/std,test_incremental_medicine/macro_types/recall/std,test_incremental_medicine-symptom/macro_types/f1/std,test_incremental_medicine-medical_treatment/macro_types/precision/std,test/micro/f1/std,test_incremental/micro/precision/std,test_incremental_only/macro_example/precision/std,test_incremental_only/macro_example_exclusive/f1/std,test/macro_example/recall/std,test_incremental_only/micro/precision/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_example/recall/std,test_incremental/macro_types/recall/std,test_pretraining/macro_types/precision/std,test_pretraining/macro_example/precision/std,test/macro_types/precision/std,test_incremental/macro_example/f1/std,test_incremental_only/micro/recall/std,epoch/std,test_incremental/macro_types/f1/std,test_incremental/macro_example/recall/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental_medicine-medical_treatment/macro_types/recall/std,test_incremental/macro_example_exclusive/precision/std,threshold_pretraining/std,test_pretraining/macro_types/recall/std,test_incremental_only/macro_types/precision/std,test/macro_example/f1/std,test_pretraining/micro/precision/std,test_incremental/macro_types/precision/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.01050221361219883,0.02447228009502093,0.9223827123641968,0.8305816650390625,0.8844032287597656,0.4556638499101003,0.3638888994852702,0.6333333253860474,0.11809781442085902,0.8673997322718302,0.7624434431393942,0.3888889054457347,0.5007598996162415,0.5808720588684082,0.9102563858032228,0.6634037494659424,0.4255549410978953,0.9101295073827108,0.9044586420059204,0.7028841972351074,0.9020900328954061,0.8305816650390625,0.02,0.7901225288709005,0.6508569518725077,0.43037975827852887,0.5614973306655884,0.8673997322718302,0.8987341523170471,0.6397054195404053,0.4888888994852702,0.8844032287597656,0.8145114978154501,0.01183020199338595,0.3820678691069285,0.8981984456380209,0.6809845566749573,0.8981984456380209,0.009452563400069872,0.49760021766026813,0.8754532933235168,0.9223827123641968,0.8754532933235168,0.01932075433433056,0.31481481591860455,27.333333333333332,0.5789404908816019,0.015966905901829403,0.34388186534245807,0.06944444651405017,0.8902953664461771,0.25,0.7901225288709005,0.6340631147225698,0.9101295073827108,0.9020900328954061,0.7031114101409912,0.0012847075493296759,0.00010044331195313502,0.0011642641221625233,0.0037056282280036397,0.0006421238867201249,0.03281260735282046,0.026498305665883026,0.06666666269302368,0.14214443332280827,0.0007773869256781017,0.36171510542518837,0.12619797277368447,0.17971245739529754,0.023142717208331828,0.0,0.008739220157770455,0.008318478181986784,0.0003960655106832063,0.0,0.017413644860918603,0.0021496613001396364,0.0037056282280036397,0.017320508075688773,0.001528734765763089,0.12456671728897167,0.045639886319345783,0.019281022465635775,0.0007773869256781017,0.0,0.08663053558394394,0.42860670893555125,0.0006421238867201249,0.06381690297358993,0.0012545412136431482,0.04673734802285096,0.00046242550068529664,0.12563397296333842,0.00046242550068529664,0.0013173062785292607,0.019873730030446585,0.009421604804650095,0.0011642641221625233,0.009421604804650095,0.00047866232019903214,0.03338473066457627,3.511884584284246,0.03347617773798375,0.0006361424095680957,0.047923272562929796,0.08673608589602559,0.0036541014707568236,0.0,0.001528734765763089,0.16330771109678302,0.0003960655106832063,0.0021496613001396364,0.12248079708004155
no_init_box_kenn_horizontal_adapter_bert_ms,0.011744290279845396,0.02170803335805734,0.715936005115509,0.8256954153378805,0.7440942823886871,0.23041527718305588,0.5518518636624018,0.7222222288449606,0.01095140352845192,0.8720712860425314,0.2534794711197416,0.600000003973643,0.26495158051451045,0.6884669661521912,0.9102563858032228,0.4462187886238098,0.2549548267076413,0.7577614188194275,0.9044586420059204,0.6954143643379211,0.7067014873027802,0.8256954153378805,0.006666666666666667,0.8009665608406067,0.4495579106733203,0.40084389845530194,0.6773618459701538,0.8720712860425314,0.8987341523170471,0.4152204133570194,0.005567153915762901,0.7440942823886871,0.5655789456019799,0.011018325729916493,0.4272543142239253,0.9008640845616659,0.4763975941265623,0.9008640845616659,0.014555787667632103,0.6385724147160848,0.8524997433026632,0.715936005115509,0.8524997433026632,0.019115425646305084,0.5154320995012919,19.333333333333332,0.44572649399439496,0.018924456400175888,0.5295358697573344,0.3333333333333333,0.7897327542304993,0.25,0.8009665608406067,0.23620151542127132,0.7577614188194275,0.7067014873027802,0.40471524000167847,0.006120803960485863,0.0050396748364597375,0.35851561226964024,0.010012280157016816,0.24276434701328006,0.22244567105304214,0.4202194168628351,0.2545875364408581,0.0189683873254678,0.010259828437805086,0.4300310649453283,0.529150264465762,0.44113749005913594,0.24107317841570128,0.0,0.3545052933224515,0.24116194322051787,0.26381629929817974,0.0,0.05679245201040451,0.3397215135661143,0.010012280157016816,0.005773502691896258,0.02424343124497407,0.38879480799418653,0.18959191246214874,0.2544653003344026,0.010259828437805086,0.0,0.34192690118209607,0.009642593435657371,0.24276434701328006,0.473634972944393,0.005211469225641848,0.22267328841029474,0.005911645435794806,0.4038795432698845,0.005911645435794806,0.011605918265006667,0.31516456547082705,0.012525323263413792,0.35851561226964024,0.012525323263413792,0.0015611003471629964,0.44060195739487984,2.516611478423583,0.11314037052798562,0.006626576040819099,0.42222036839843086,0.5773502691896258,0.1833420943979418,0.0,0.02424343124497407,0.2171052953475201,0.26381629929817974,0.3397215135661143,0.16282896815547673
no_init_box_kenn_hybrid_adapter_bert_ms,0.011497109197080135,0.02441428912182649,0.9216674963633219,0.8305650154749552,0.8842934370040894,0.4685123066107432,0.39953704675038654,0.6777777870496114,0.12899105995893478,0.8681184450785319,0.7365967432657877,0.4444444477558136,0.541208823521932,0.5984529058138529,0.9102563858032228,0.6661984523137411,0.44375983874003094,0.9099944631258646,0.9044586420059204,0.7149719993273417,0.9010844230651855,0.8305650154749552,0.013333333333333334,0.7921791672706604,0.5995438396930695,0.472573846578598,0.5793226559956869,0.8681184450785319,0.8987341523170471,0.6319106221199036,0.4333333373069763,0.8842934370040894,0.7856276233990988,0.01299002580344677,0.41826192537943524,0.8986140489578247,0.6290799776713053,0.8986140489578247,0.010322431102395058,0.5243363380432129,0.8729010820388794,0.9216674963633219,0.8729010820388794,0.019653022289276123,0.3456790049870809,28.666666666666668,0.5842649539311727,0.01645016608138879,0.37552743156750995,0.07638889054457347,0.8881856600443522,0.25,0.7921791672706604,0.5898246467113495,0.9099944631258646,0.9010844230651855,0.6699325640996298,0.0005311471667733556,0.0005314978776566979,0.00116210483682914,0.0027982444325061365,0.0006145511658374206,0.029694398288443218,0.029928320484673174,0.019244990619516757,0.13879747669765038,0.0004488436397373146,0.34493911948348605,0.17105337111932012,0.2063367975756196,0.009513193070958024,0.0,0.010431188783909662,0.008207796142605198,0.0004831497883525438,0.0,0.007302242515681714,0.0017172262139019874,0.0027982444325061365,0.005773502691896258,0.0017266289805031524,0.1256873137823715,0.026350195880066332,0.011131903510786053,0.0004488436397373146,0.0,0.07987994827126194,0.4041451938404571,0.0006145511658374206,0.04856993425556769,0.0007243098565372791,0.019323008520594796,0.00017641037596201776,0.08748695224775234,0.00017641037596201776,0.0005592466242503553,0.022446251427839826,0.00820810166174237,0.00116210483682914,0.00820810166174237,0.0002007218013834357,0.019274690394302792,3.214550253664318,0.029099636650836886,0.0002614958274408641,0.02034525475046828,0.0841969169197124,0.019335772057621145,0.0,0.0017266289805031524,0.14227385052362132,0.0004831497883525438,0.0017172262139019874,0.10670541862075257
no_init_box_kenn_top_down_adapter_bert_ms,0.014274164102971554,0.02453027106821537,0.9181493520736694,0.8315814336140951,0.8828779260317484,0.5038106242815653,0.48425928751627606,0.7888888915379842,0.21895424649119377,0.8700589338938395,0.6126023381948471,0.5111111104488373,0.5440971950689951,0.647679328918457,0.9102563858032228,0.6521488030751547,0.4582302471001943,0.9088704387346903,0.9044586420059204,0.7502858837445577,0.8960819641749064,0.8315814336140951,0.01,0.7970669666926066,0.5044784049193064,0.5864978830019633,0.6274509827295939,0.8700589338938395,0.8987341523170471,0.6070536275704702,0.46111111839612323,0.8828779260317484,0.6797843178113302,0.016121550152699154,0.5192904869715372,0.8997777303059896,0.4940599004427592,0.8997777303059896,0.012816052262981733,0.5878780086835226,0.8692225615183512,0.9181493520736694,0.8692225615183512,0.020623724907636642,0.42901234825452167,27.0,0.6042570273081461,0.01780329334239165,0.46624473730723065,0.15277777798473835,0.8924050529797872,0.25,0.7970669666926066,0.5260639687379202,0.9088704387346903,0.8960819641749064,0.6221120754877726,0.0018256637725413878,0.00017397291958332062,0.0020511866081414,0.004046822454131699,0.0020824194828762176,0.069863245881594,0.052084856693929135,0.09622502192309915,0.1563512860808237,0.001063582923661274,0.3510175209328102,0.1835856739669772,0.26038946172552013,0.03295466748222304,0.0,0.04665125390524003,0.07337535753496115,0.0014179066708755823,0.0,0.022121009706179477,0.0031774991478828334,0.004046822454131699,0.0,0.0030049082734215585,0.16078977747523998,0.062441518714900494,0.026379042745780713,0.001063582923661274,0.0,0.1443347263541831,0.11344765383493113,0.0020824194828762176,0.07091880785239636,0.0017163824862001392,0.06641726189970416,0.0008107681734924445,0.11046407038031708,0.0008107681734924445,0.001876442640649248,0.039063627685954457,0.005354284246651929,0.0020511866081414,0.005354284246651929,0.000608058403332182,0.04567484832893969,3.605551275463989,0.052823770761322886,0.00090585229171364,0.06826453633479536,0.11474105316240424,0.00632914900782063,0.0,0.0030049082734215585,0.0928078365610712,0.0014179066708755823,0.0031774991478828334,0.06960591002807773
no_init_kenn_bottom_up_adapter_bert_ms,0.021971700092156727,0.022945179293553036,0.8559577862421671,0.8634853561719259,0.8540951609611511,0.3442106942335765,0.8680556019147238,0.9333333373069764,0.3059340715408325,0.8978007634480795,0.24250458180904388,0.899999996026357,0.31439147641261417,0.8663853605588278,0.9333333373069764,0.38869770367940265,0.279025932153066,0.8834526737531027,0.9090908765792848,0.8492146929105123,0.8156704703966776,0.8634853561719259,0.05333333333333334,0.8619162638982137,0.23905746142069498,0.7559775312741598,0.866310179233551,0.8978007634480795,0.8860759735107422,0.38001585006713867,0.19299987455209097,0.8540951609611511,0.263736367225647,0.020780174682537716,0.7993248701095581,0.9135312835375468,0.17555521180232367,0.9135312835375468,0.02342843885223071,0.8725606600443522,0.8650912841161092,0.8559577862421671,0.8650912841161092,0.023343063270052273,0.8518518408139547,18.666666666666668,0.5452864269415537,0.023815047616759937,0.8523206909497579,0.7708333333333334,0.8347398042678833,0.375,0.8619162638982137,0.22485398749510446,0.8834526737531027,0.8156704703966776,0.40197381377220154,0.0007353907579531263,0.0009915185873546183,0.04138718169141497,0.0033148375868450827,0.02958814459971921,0.14841200200502166,0.05176290421729818,0.0,0.048481915306431055,0.001493788986503089,0.3216414087884674,0.03333333134651631,0.3603269676326373,0.038344037699670645,0.0,0.16062329487502017,0.1418822051590365,0.021473241447216986,0.0,0.006578454496214795,0.055352543972875534,0.0033148375868450827,0.023094010767585032,0.00298629834575329,0.028934392205651437,0.03805271280145362,0.0370492223121554,0.001493788986503089,0.0,0.03699232837936397,0.040460756017347554,0.02958814459971921,0.14747539973873727,0.0010459868208723432,0.026753322639211614,0.001011721757912927,0.11111881057947526,0.001011721757912927,0.002016393932878074,0.038822171965709106,0.007323932752069031,0.04138718169141497,0.007323932752069031,0.00018082734486183098,0.0641500260863187,1.1547005383792517,0.08224040163950282,0.0010539945400727159,0.07335583393042747,0.1267242357127855,0.036071161485090854,0.0,0.00298629834575329,0.12694848484892796,0.021473241447216986,0.055352543972875534,0.09521134787753506
no_init_kenn_horizontal_adapter_bert_ms,0.021990447615583737,0.02296451044579347,0.8835092584292094,0.8647850155830383,0.8730061650276184,0.40547271569569904,0.8731481631596884,0.9333333373069764,0.3527479867140452,0.8978726665178934,0.1936135689417521,0.9222221970558167,0.30206499497095746,0.8663853804270426,0.9333333373069764,0.45925040046374005,0.33405086398124695,0.8982482751210531,0.9090908765792848,0.8500009179115295,0.849502682685852,0.8647850155830383,0.05000000000000001,0.8622100551923116,0.3689595013856888,0.7573839823404948,0.868092676003774,0.8978726665178934,0.8860759735107422,0.5198409259319305,0.23078368604183197,0.8730061650276184,0.312644084294637,0.02081883698701859,0.8000069459279379,0.9134964942932129,0.20787384609381357,0.9134964942932129,0.023370447258154552,0.8763801058133444,0.8673757910728455,0.8835092584292094,0.8673757910728455,0.023364674299955368,0.854938268661499,19.0,0.578314741452535,0.02381504699587822,0.850210984547933,0.7638888955116272,0.8354430596033732,0.375,0.8622100551923116,0.2644522587458293,0.8982482751210531,0.849502682685852,0.4316725234190623,0.0005986320108724901,0.0008542641511484204,0.0044796912378276595,0.0021156304760063006,0.0035714956758634265,0.04669868683990145,0.0390456172503172,0.0,0.08762177901081628,0.0010635829236612514,0.14836312447173475,0.03849001565179121,0.18815983101161568,0.026546556734681943,0.0,0.02405986935656626,0.022023807503024653,0.0021977742116294657,0.0,0.006800439019970231,0.0071980533884187905,0.0021156304760063006,0.010000000000000004,0.0022526373979211297,0.13167934395721678,0.034858041666843496,0.026379062884316528,0.0010635829236612514,0.0,0.13393151269322473,0.06682561226578004,0.0035714956758634265,0.02338935570763976,0.000958170946232873,0.021778046076267,0.0006771318400674574,0.017320557703330915,0.0006771318400674574,0.0013954077686616675,0.0292842215068428,0.002099662887835694,0.0044796912378276595,0.002099662887835694,0.00018692933330252757,0.04567483825967125,1.7320508075688772,0.03035724969845822,0.0007297078558201517,0.05076460808766726,0.07887374101939616,0.031077847153158332,0.0,0.0022526373979211297,0.03639427866250901,0.0021977742116294657,0.0071980533884187905,0.02729570664360894
no_init_kenn_hybrid_adapter_bert_ms,0.02218098317583402,0.023177144428094227,0.8602107365926107,0.8646182815233866,0.8556670149167379,0.38707121709982556,0.8680556019147238,0.9333333373069764,0.377962405482928,0.8978008031845093,0.23741907502214113,0.8999999761581421,0.3216918334364891,0.8663853804270426,0.9333333373069764,0.4216323147217433,0.3111192087332408,0.885351558526357,0.9090908765792848,0.8540357351303101,0.8197576006253561,0.8646182815233866,0.06,0.8619162440299988,0.29033904274304706,0.7679325143496195,0.8663101394971212,0.8978008031845093,0.8860759735107422,0.4125799039999644,0.2649240891138713,0.8556670149167379,0.2921747788786888,0.021108790611227352,0.806938628355662,0.9135158260663351,0.1981695219874382,0.9135158260663351,0.023428439473112423,0.8725606401761373,0.8673628369967142,0.8602107365926107,0.8673628369967142,0.02347558302183946,0.8518518606821696,19.333333333333332,0.5713037550449371,0.02381504699587822,0.8523206909497579,0.7708333134651184,0.8431786497433981,0.375,0.8619162440299988,0.26422741015752155,0.885351558526357,0.8197576006253561,0.43150389194488525,0.0006900932501564135,0.000745661972520478,0.05927033888310223,0.005248646335211267,0.04448563009991987,0.20747003277221773,0.036084391824351615,0.0,0.2222154003815354,0.0011203417398773109,0.28342003215773365,0.0,0.325774833047506,0.029258314235996702,0.0,0.18387674438257076,0.15646284046511613,0.03216289258797023,0.0,0.006382175462140016,0.07880054484422751,0.005248646335211267,0.03605551275463988,0.0020817997774259097,0.22057734155895298,0.02838316355202128,0.027786925337305986,0.0011203417398773109,0.0,0.2535032702284695,0.19069188583812957,0.04448563009991987,0.15061744768327737,0.0007801911512704667,0.025105468396540744,0.0007684142273866748,0.11082012919431261,0.0007684142273866748,0.0015689812295657801,0.027063276661901274,0.009172739310597387,0.05927033888310223,0.009172739310597387,0.00017543143866139807,0.048112510961549546,5.033222956847167,0.11622382365661289,0.0008042474245444158,0.0570791297860876,0.10825317547305482,0.027127016635166052,0.0,0.0020817997774259097,0.15899441672080888,0.03216289258797023,0.07880054484422751,0.11924583070465727
no_init_kenn_top_down_adapter_bert_ms,0.02178384301563104,0.023486429825425148,0.7925230264663696,0.8602510293324789,0.7986192107200623,0.21969402581453323,0.8375000158945719,0.9333333373069764,0.15484138578176498,0.8967227339744568,0.20676464463273683,0.9333333174387614,0.26813801005482674,0.842475414276123,0.9333333373069764,0.2729545583327611,0.18426000823577246,0.8464791377385458,0.9090908765792848,0.8469341198603312,0.7266344229380289,0.8602510293324789,0.13666666666666666,0.8601534565289816,0.13111687948306402,0.7791842818260193,0.8395721713701884,0.8967227339744568,0.8860759735107422,0.22018659114837646,0.09391458829243977,0.7986192107200623,0.18501306076844534,0.02141807849208514,0.7924907008806864,0.9129224022229513,0.11642911781867345,0.9129224022229513,0.02232660601536433,0.8496439655621847,0.8604227304458618,0.7925230264663696,0.8604227304458618,0.023280372843146324,0.8055555621782938,23.666666666666668,0.4762669603029887,0.023157813896735508,0.8122362891832987,0.6458333233992258,0.8544304172197977,0.375,0.8601534565289816,0.14393204326430956,0.8464791377385458,0.7266344229380289,0.34128235777219135,0.001791942066693202,0.0009332797269454748,0.09399402148147763,0.002563260823588427,0.07475614813880717,0.1955417818832054,0.10046185644889416,0.0,0.046873640389929645,0.002916744876653377,0.3080878527654727,0.057735040684065646,0.3673761589440434,0.06752153180279169,0.0,0.21240388041768876,0.15929443443461275,0.05180927390049483,0.0,0.03161337088267969,0.12865366585638424,0.002563260823588427,0.07371114795831993,0.005795869424381427,0.10304165651367603,0.048903912714642804,0.0723409114283477,0.002916744876653377,0.0,0.15101826854555642,0.04159411523640384,0.07475614813880717,0.17783259807080118,0.0013442627647706651,0.06519037308091122,0.001789289831882994,0.11716625802628214,0.001789289831882994,0.0032282920351968582,0.07534644095479485,0.008701869882558723,0.09399402148147763,0.008701869882558723,0.0008689814000497168,0.12525693782319722,5.507570547286102,0.09660837982302216,0.0018560199696198343,0.11744441242538065,0.24999998509883897,0.03395245577197803,0.0,0.005795869424381427,0.15083252311515458,0.05180927390049483,0.12865366585638424,0.11312439366371727
smart_init_box_adapter_bert_ms,0.016379615912834804,0.01793860737234354,0.9132838646570841,0.8401363889376322,0.8773613373438517,0.5304286976655325,0.8277777830759684,0.9222222169240316,0.4886280695597331,0.8788270751635233,0.39803792039553326,0.8666666547457377,0.498469074567159,0.850210964679718,0.9102563858032228,0.6337881882985433,0.509605348110199,0.9090149799982706,0.9044586420059204,0.7181827227274576,0.8761797547340393,0.8401363889376322,0.30333333333333334,0.8168853720029196,0.38555394609769184,0.5035162170728048,0.8449197808901469,0.8788270751635233,0.8987341523170471,0.5185990035533905,0.5770270129044851,0.8773613373438517,0.5491519669691721,0.013840562974413237,0.5958863099416097,0.9048287272453308,0.4356836477915446,0.9048287272453308,0.022442588582634926,0.8455168604850769,0.8650384942690531,0.9132838646570841,0.8650384942690531,0.019741279383500416,0.805555542310079,30.333333333333332,0.6512400309244791,0.0233704491207997,0.8164557218551636,0.6944444378217062,0.652601957321167,0.25,0.8168853720029196,0.4535396595795949,0.9090149799982706,0.8761797547340393,0.5677188038825989,0.00016310381206923561,0.004654251505611257,0.0076570384727497175,0.00013061990836293243,0.007733506157096122,0.10522879561539214,0.2105208760044358,0.0192450250322745,0.1544001484687006,0.005789453144531697,0.2326887454024079,0.17320505322668156,0.14578363721658735,0.12975970393043748,0.0,0.08508829819329496,0.06921501679758685,0.002139885668452584,0.0,0.04254302401137902,0.02141241358725865,0.00013061990836293243,0.19087517736293877,0.012145432696387088,0.22284356171206376,0.12303999780685144,0.14359060244963964,0.005789453144531697,0.0,0.20042005094957815,0.2797050578791457,0.007733506157096122,0.2118569352333381,0.0033821012651071175,0.005933670392326389,0.003238772384617898,0.2141365740507701,0.003238772384617898,0.00602913026547841,0.15789070861544183,0.014138827250932151,0.0076570384727497175,0.014138827250932151,0.0011694151109332466,0.24862447205714922,30.171730698343,0.0568475754593791,0.0035668113383713965,0.21933824817326328,0.43915032052391606,0.16932050486290287,0.0,0.012145432696387088,0.24507331584069203,0.002139885668452584,0.02141241358725865,0.18380494184246893
smart_init_classifier_adapter_bert_ms,0.020317170148094494,0.022355602433284123,0.9231539368629454,0.8724393645922343,0.900111198425293,0.6935585141181946,0.7819444934527079,0.8777777751286825,0.6636745731035868,0.8956446846326193,0.5812444786230723,0.8222222129503886,0.6707573533058167,0.8178621927897135,0.9333333373069764,0.7647226254145304,0.6734893520673116,0.9177452723185221,0.9090908765792848,0.8136012554168701,0.9046371579170227,0.8724393645922343,0.35333333333333333,0.8569483359654745,0.5713846385478973,0.7158931493759155,0.8128342231114706,0.8956446846326193,0.8860759735107422,0.6880507469177246,0.7405791680018107,0.900111198425293,0.7267912824948629,0.01967834308743477,0.7391335169474283,0.9124023715655009,0.6140305995941162,0.9124023715655009,0.021166782826185226,0.8079773187637329,0.8885267972946167,0.9231539368629454,0.8885267972946167,0.022364125897487003,0.7592592835426331,21.666666666666668,0.7513903379440308,0.022481249645352364,0.7700422008832296,0.6458333233992258,0.8132911324501038,0.375,0.8569483359654745,0.6310694416364034,0.9177452723185221,0.9046371579170227,0.7066353956858317,0.0012955192099427131,0.001642030620291187,0.002068822566385903,0.001563426233376092,0.001620693047730433,0.04032341059959693,0.06527778506279218,0.05091751769361275,0.10061856597395377,0.002156108617851249,0.16297053335467637,0.019244990619516757,0.1159831735774585,0.048584300138590546,0.0,0.03063427257701181,0.04578662506116157,0.0009998892213577027,0.0,0.02497556637209096,0.0045194735054339,0.001563426233376092,0.06027713773341703,0.0037660300732052002,0.08406889404705825,0.06554809440050693,0.05347594618797579,0.002156108617851249,0.0,0.05331524736384912,0.09851214029674848,0.001620693047730433,0.0680769203922546,0.001801774604555902,0.047130677798055666,0.001247324448860801,0.08157008397903909,0.001247324448860801,0.0022705605114303317,0.04895830154418945,0.004888740905982985,0.002068822566385903,0.004888740905982985,0.0006865235513673603,0.09259259700775146,1.5275252316519463,0.02633251300451247,0.0013354772201655558,0.08260239164319047,0.22916667163372056,0.05973663082342485,0.0,0.0037660300732052002,0.08473839672853907,0.0009998892213577027,0.0045194735054339,0.06355380045026728
