name,instance,run_id,test_incremental/macro_example_exclusive/precision,test_incremental/macro_types/precision,test_incremental_only/macro_types/recall,test_pretraining/macro_example/recall,test_pretraining/macro_types/precision,test_incremental/macro_types/f1,test_incremental_only/macro_types/f1,test_incremental_medicine-drug/macro_types/recall,test_incremental_medicine-medical_treatment/macro_types/recall,test/micro/precision,test/macro_example/precision,test_pretraining/micro/recall,test_pretraining/macro_example/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_types/precision,threshold_pretraining,test_incremental_medicine-symptom/macro_types/f1,test_incremental_medicine-drug/macro_types/precision,test_incremental_medicine-symptom/macro_types/precision,test_incremental_medicine-medical_treatment/macro_types/f1,test_incremental_only/micro/precision,test_incremental_only/macro_example_exclusive/precision,test/micro/f1,test_incremental_only/micro/f1,test/micro/recall,test/macro_types/precision,test_incremental/micro/precision,test_incremental/macro_example/f1,test_incremental_only/macro_example/f1,test_incremental/macro_example/precision,test_incremental_medicine/macro_types/recall,test_pretraining/macro_example/precision,test_incremental_only/macro_example/recall,test_incremental_only/macro_example/precision,test/macro_example/f1,test_pretraining/macro_types/recall,epoch,test_incremental_medicine-symptom/macro_types/recall,test_incremental_medicine-medical_treatment/macro_types/precision,test/macro_types/f1,test_pretraining/micro/precision,test_incremental_medicine/macro_types/precision,threshold_incremental,test_incremental/micro/f1,test_incremental/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test/macro_example/recall,test_incremental/macro_example/recall,test_incremental/micro/recall,test_incremental/macro_example_exclusive/recall,test_incremental_only/micro/recall,test/macro_types/recall,test_pretraining/micro/f1,test_pretraining/macro_types/f1,test_incremental_medicine/macro_types/f1,test_incremental_medicine-drug/macro_types/f1
box_adapter_bert_ms,1,3jnjy0h4,0.552742600440979,0.43897688388824463,0.9458333253860474,0.9066109657287598,0.8551352620124817,0.5972607731819153,0.4343264102935791,0.9666666388511658,0.9375,0.8571129441261292,0.9048422574996948,0.882061243057251,0.9057257771492004,0.5897796750068665,0.6911259889602661,0.28188368678092957,0.25,0.34567904472351074,0.25217390060424805,0.21212121844291687,0.5421686768531799,0.27945205569267273,0.4303797781467438,0.869408130645752,0.4312896132469177,0.882061243057251,0.8551352620124817,0.3905192017555237,0.018997548148036003,0.01621175743639469,0.015193691477179527,0.8987341523170471,0.9048422574996948,0.025748085230588913,0.011830201372504234,0.9057257771492004,0.8236962556838989,10,0.9333333373069764,0.3813559412956238,0.8391213417053223,0.8571129441261292,0.9102563858032228,0.15000000000000002,0.5492063760757446,0.9340585470199584,0.9367088675498962,0.9066109657287598,0.025342149659991264,0.9251337051391602,0.9219409227371216,0.9444444179534912,0.8236962556838989,0.869408130645752,0.8391213417053223,0.9044586420059204,0.3999999463558197
box_adapter_bert_ms,0,242fz6x8,0.8544303774833679,0.4229126870632171,0.576388955116272,0.90114825963974,0.8538995385169983,0.5145777463912964,0.3587939143180847,0.7333333492279053,0.2291666716337204,0.7626319527626038,0.8139526844024658,0.8721431493759155,0.8553339242935181,0.6157780289649963,0.7659608125686646,0.26046478748321533,0.25,0.5897436141967773,0.027227722108364105,0.4791666567325592,0.25,0.0625,0.7088607549667358,0.8137195110321045,0.11155378818511964,0.8721431493759155,0.8538995385169983,0.13039013743400574,0.021054593846201897,0.016926396638154984,0.023486431688070297,0.8987341523170471,0.8139526844024658,0.01496172696352005,0.01948503777384758,0.8553339242935181,0.8023821711540222,72,0.7666666507720947,0.2750000059604645,0.8273396492004395,0.7626319527626038,0.9102563858032228,0.8400000000000001,0.2187768965959549,0.6569752097129822,0.5443037748336792,0.90114825963974,0.019079100340604786,0.6791443824768066,0.694092869758606,0.5185185074806213,0.8023821711540222,0.8137195110321045,0.8273396492004395,0.9044586420059204,0.0525059700012207
classifier_adapter_bert_ms,2,12ctaqmw,0.7668776512145996,0.6291086077690125,0.8611111640930176,0.9137670993804932,0.8825632333755493,0.7292657494544983,0.654384970664978,0.8333333134651184,0.9166666865348816,0.8986194729804993,0.9210392236709596,0.8982319831848145,0.9173887372016908,0.7645983099937439,0.8166877031326294,0.5277004241943359,0.375,0.6849314570426941,0.3731343150138855,0.5813953280448914,0.7457627654075623,0.5222222208976746,0.6877636909484863,0.8984256982803345,0.6527777314186096,0.8982319831848145,0.8825632333755493,0.6431372761726379,0.02244896814227104,0.02101714164018631,0.02107979729771614,0.8860759735107422,0.9210392236709596,0.023660404607653614,0.018905125558376312,0.9173887372016908,0.8615156412124634,21,0.8333333134651184,0.6285714507102966,0.87191241979599,0.8986194729804993,0.9333333373069764,0.28,0.7420814633369446,0.867352306842804,0.8607594966888428,0.9137670993804932,0.02400835230946541,0.8770053386688232,0.8734177350997925,0.8703703880310059,0.8615156412124634,0.8984256982803345,0.87191241979599,0.9090908765792848,0.5154638886451721
classifier_adapter_bert_ms,1,13725flf,0.8291139602661133,0.608069896697998,0.7097222805023193,0.9109892845153807,0.8809448480606079,0.6731420755386353,0.5864400863647461,0.800000011920929,0.3958333432674408,0.8994789123535156,0.9194966554641724,0.8932729363441467,0.915223240852356,0.6876019239425659,0.7950708866119385,0.4996487498283386,0.375,0.5436893105506897,0.6153846383094788,0.3835616409778595,0.44186046719551086,0.4733333289623261,0.6983122825622559,0.8963651657104492,0.5503876209259033,0.8932729363441467,0.8809448480606079,0.6266666650772095,0.021854763850569725,0.018900681287050247,0.022790536284446716,0.8860759735107422,0.9194966554641724,0.018615171313285828,0.019195083528757095,0.915223240852356,0.8527816534042358,22,0.9333333373069764,0.5,0.8666344881057739,0.8994789123535156,0.9333333373069764,0.4,0.6844660043716431,0.7538106441497803,0.6772152185440063,0.9109892845153807,0.020992808043956757,0.7540106773376465,0.7637131214141846,0.6574074029922485,0.8527816534042358,0.8963651657104492,0.8666344881057739,0.9090908765792848,0.695652186870575
classifier_adapter_bert_ms,0,398wjwo3,0.8649789094924927,0.6208837032318115,0.7750000357627869,0.912421703338623,0.8819305300712585,0.7002075910568237,0.6200483441352844,0.8333333134651184,0.625,0.8996967077255249,0.921097218990326,0.8954290747642517,0.9167388677597046,0.7804994583129883,0.8400171995162964,0.5167338848114014,0.375,0.7123287916183472,0.4098360538482666,0.604651153087616,0.5769230127334595,0.5062500238418579,0.7890295386314392,0.8975578546524048,0.6044776439666748,0.8954290747642517,0.8819305300712585,0.6425532102584839,0.023090243339538578,0.021454231813549995,0.023776385933160785,0.8860759735107422,0.921097218990326,0.021224774420261383,0.021688703447580338,0.9167388677597046,0.8565476536750793,23,0.8666666746139526,0.5357142686843872,0.8690537810325623,0.8996967077255249,0.9333333373069764,0.43,0.7156398296356201,0.8027690052986145,0.7721519470214844,0.912421703338623,0.022442590445280075,0.8074866533279419,0.8164557218551636,0.75,0.8565476536750793,0.8975578546524048,0.8690537810325623,0.9090908765792848,0.5494505167007446
