name,threshold_pretraining/mean,test/macro_types/recall/mean,test_pretraining/micro/f1/mean,test_incremental_only/macro_example/recall/mean,test_incremental_medicine-symptom/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/precision/mean,test/micro/precision/mean,test_incremental_only/micro/recall/mean,epoch/mean,test_incremental_medicine-medical_treatment/macro_types/f1/mean,test_incremental/micro/recall/mean,test_incremental_only/micro/f1/mean,test_pretraining/micro/precision/mean,test_incremental_medicine/macro_types/f1/mean,test_incremental_medicine-medical_treatment/macro_types/precision/mean,test_incremental/macro_types/f1/mean,test_incremental/macro_example_exclusive/recall/mean,test/micro/recall/mean,test/macro_example/f1/mean,test_incremental_only/macro_types/f1/mean,test_incremental/macro_example/precision/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_medicine-symptom/macro_types/precision/mean,test_incremental_only/macro_types/recall/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_medicine-medical_treatment/macro_types/recall/mean,threshold_incremental/mean,test/macro_example/recall/mean,test_pretraining/macro_types/f1/mean,test_pretraining/macro_example/precision/mean,test_incremental/micro/f1/mean,test/macro_types/precision/mean,test/macro_example/precision/mean,test_pretraining/macro_example/f1/mean,test_incremental_only/macro_types/precision/mean,test_incremental_medicine/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test/micro/f1/mean,test_pretraining/micro/recall/mean,test_pretraining/macro_types/recall/mean,test_incremental/macro_types/recall/mean,test_pretraining/macro_example/recall/mean,test_incremental/macro_example/recall/mean,test_incremental_only/macro_example/precision/mean,test_incremental_medicine-symptom/macro_types/f1/mean,test_incremental/micro/precision/mean,test_incremental_medicine/macro_types/precision/mean,test_incremental_medicine-drug/macro_types/recall/mean,test_incremental/macro_types/precision/mean,test_incremental_only/macro_example/f1/mean,test_pretraining/macro_types/precision/mean,test_incremental_medicine-drug/macro_types/f1/mean,test/macro_types/f1/mean,test_incremental/macro_example/f1/mean,test_incremental_only/micro/precision/mean,test_incremental_medicine-drug/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,threshold_pretraining/std,test/macro_types/recall/std,test_pretraining/micro/f1/std,test_incremental_only/macro_example/recall/std,test_incremental_medicine-symptom/macro_types/recall/std,test_incremental_only/macro_example_exclusive/precision/std,test/micro/precision/std,test_incremental_only/micro/recall/std,epoch/std,test_incremental_medicine-medical_treatment/macro_types/f1/std,test_incremental/micro/recall/std,test_incremental_only/micro/f1/std,test_pretraining/micro/precision/std,test_incremental_medicine/macro_types/f1/std,test_incremental_medicine-medical_treatment/macro_types/precision/std,test_incremental/macro_types/f1/std,test_incremental/macro_example_exclusive/recall/std,test/micro/recall/std,test/macro_example/f1/std,test_incremental_only/macro_types/f1/std,test_incremental/macro_example/precision/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_medicine-symptom/macro_types/precision/std,test_incremental_only/macro_types/recall/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_medicine-medical_treatment/macro_types/recall/std,threshold_incremental/std,test/macro_example/recall/std,test_pretraining/macro_types/f1/std,test_pretraining/macro_example/precision/std,test_incremental/micro/f1/std,test/macro_types/precision/std,test/macro_example/precision/std,test_pretraining/macro_example/f1/std,test_incremental_only/macro_types/precision/std,test_incremental_medicine/macro_types/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test/micro/f1/std,test_pretraining/micro/recall/std,test_pretraining/macro_types/recall/std,test_incremental/macro_types/recall/std,test_pretraining/macro_example/recall/std,test_incremental/macro_example/recall/std,test_incremental_only/macro_example/precision/std,test_incremental_medicine-symptom/macro_types/f1/std,test_incremental/micro/precision/std,test_incremental_medicine/macro_types/precision/std,test_incremental_medicine-drug/macro_types/recall/std,test_incremental/macro_types/precision/std,test_incremental_only/macro_example/f1/std,test_pretraining/macro_types/precision/std,test_incremental_medicine-drug/macro_types/f1/std,test/macro_types/f1/std,test_incremental/macro_example/f1/std,test_incremental_only/micro/precision/std,test_incremental_medicine-drug/macro_types/precision/std,test_incremental_only/macro_example_exclusive/recall/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.25,0.7950904766718546,0.8846628665924072,0.011830202303826809,0.700000007947286,0.5443038046360016,0.9005373318990072,0.39814814925193787,21.666666666666668,0.1970207393169403,0.6096256573994955,0.4828424354394277,0.9005373318990072,0.9044586420059204,0.36512820919354755,0.6040124297142029,0.6286919911702474,0.8693402409553528,0.9101610581080118,0.5009944041570028,0.024820227175951004,0.9029536048571268,0.5803355773289999,0.4500000278155009,0.740806519985199,0.13888889054457346,0.01,0.8992983102798462,0.8316421508789062,0.9212905168533325,0.6815118193626404,0.8717252214749655,0.9212905168533325,0.9101610581080118,0.5694435238838196,0.8987341523170471,0.48061654965082806,0.8846628665924072,0.8693402409553528,0.7950904766718546,0.5621835390726725,0.8992983102798462,0.01728137272099654,0.0149617251008749,0.6337875922520956,0.774411658445994,0.9102563858032228,0.5111111104488373,0.6546467343966166,0.013211101914445559,0.8717252214749655,0.6109225650628408,0.8316421508789062,0.020363156373302143,0.6203367312749227,0.762866755326589,0.4303797483444214,0.0,0.0033462286936014217,0.0004580016676984223,0.0020063606106363687,0.03333333134651627,0.09127977677152237,0.0007496067913672859,0.06676945719631372,6.027713773341707,0.17383184770141083,0.03856203666558416,0.048466446644574994,0.0007496067913672859,0.0,0.32337471710149546,0.05974929010638708,0.03941250429287921,0.0015547986479845293,0.00020308152119348795,0.07837758068477774,0.00010044438735181359,0.0036541014707568236,0.04993144768540548,0.05800171792465247,0.02748244922034968,0.1272937698462789,0.0,0.001013974981520191,0.004625250153938555,0.0006795753044281774,0.019181663945698438,0.0067689134646947875,0.0006795753044281774,0.00020308152119348795,0.11732800750894753,0.0,0.08087683776826717,0.0004580016676984223,0.0015547986479845293,0.0033462286936014217,0.043501255616232366,0.001013974981520191,0.0010833648547991619,0.0025090816523788283,0.03498875186637153,0.01302602456730717,0.0,0.09622503912947801,0.08799602828804852,0.002223127232081369,0.0067689134646947875,0.12454920957340453,0.004625250153938555,0.0007554339909497753,0.0077168845357085455,0.18670330127594179,0.07299090396992301
no_init_box_kenn_horizontal_adapter_bert_ms,0.25,0.7992571592330933,0.8853467106819153,0.012004175533850988,0.7333333293596903,0.594936728477478,0.9010274211565653,0.43518519401550293,15.333333333333334,0.0,0.6310160358746847,0.5243075688680013,0.9010274211565653,0.9044586420059204,0.0,0.5881286263465881,0.639240543047587,0.8702026804288229,0.9104257225990295,0.4812035361925761,0.024762235581874847,0.9008438587188721,0.5738383134206136,0.5222222407658895,0.7478070457776388,0.0,0.013333333333333334,0.8995747963587443,0.8306687275568644,0.9215418299039205,0.7017441789309183,0.8646516799926758,0.9215418299039205,0.9104257225990295,0.4468350112438202,0.8987341523170471,0.5036758184432983,0.8853467106819153,0.8702026804288229,0.7992571592330933,0.6163501739501953,0.8995747963587443,0.017571329449613888,0.01635351466635863,0.6436890959739685,0.79055255651474,0.9102563858032228,0.8333333333333334,0.5626903374989828,0.013844951055943966,0.8646516799926758,0.7956522107124329,0.8306687275568644,0.020555585622787476,0.6602019866307577,0.7666666706403097,0.43670886754989624,0.0,0.0006409883499145508,0.00041091167600786614,0.00030133128010811325,0.033333331346516296,0.012658238410949707,0.0008128172472962542,0.00925925374031069,3.2145502536643185,0.0,0.005347579717663776,0.014293801015540427,0.0008128172472962542,0.0,0.0,0.013999325155505234,0.005581781007088509,0.00021561980316149297,0.0003484656830709353,0.01970749016460599,0.00010044438735181359,0.003654118677014137,0.005778144601247766,0.01111111044885059,0.0031326742450662084,0.0,0.005773502691896258,0.00013176710982868383,0.000946144185764786,0.0006869575394935284,0.009220254195688001,0.001792278185813304,0.0006869575394935284,0.0003484656830709353,0.03106620932665259,0.0,0.011450183288778256,0.00041091167600786614,0.00021561980316149297,0.0006409883499145508,0.008333325386047363,0.00013176710982868383,0.00015343028003731365,0.00034794677048963094,0.015417311763226828,0.02110343161800178,0.0,0.03333333134651628,0.0232996381051861,0.00031474058185625376,0.001792278185813304,0.04003250664601492,0.000946144185764786,8.610865585939291e-05,0.03647732011133379,0.08819169384796599,0.010962356031042411
no_init_box_kenn_hybrid_adapter_bert_ms,0.25,0.7952240308125814,0.8848332762718201,0.011714219736556212,0.6888888875643412,0.5485232472419739,0.9008122285207113,0.40123456716537476,21.666666666666668,0.2232764189441999,0.6114081939061483,0.4906301995118459,0.9008122285207113,0.9044586420059204,0.6904761989911398,0.6369505723317465,0.6279887755711874,0.8694121042887369,0.9102552533149719,0.539815217256546,0.024762236202756565,0.900843878587087,0.5917508403460184,0.4523148437341054,0.7398354609807333,0.14583333333333334,0.013333333333333334,0.899278998374939,0.8345200816790262,0.9215031862258911,0.6858221689860026,0.8779165347417196,0.9215031862258911,0.9102552533149719,0.676759680112203,0.8987341523170471,0.47950950264930725,0.8848332762718201,0.8694121042887369,0.7952240308125814,0.5639196435610453,0.899278998374939,0.017262043431401253,0.015077708599468073,0.6363636255264282,0.781635065873464,0.9102563858032228,0.522222230831782,0.7351338267326355,0.013180671880642572,0.8779165347417196,0.6148114701112112,0.8345200816790262,0.020336464668313663,0.6344718933105469,0.7480519413948059,0.4261603554089864,0.0,0.0025368678774515385,0.0004894926893447185,0.0013057672535817567,0.019244990619516757,0.06244155295042519,0.0006399121166846118,0.045674841280451066,6.027713773341707,0.09323694603142532,0.026379062884316504,0.03654547418627967,0.0006399121166846118,0.0,0.27042420132012446,0.03221715043777423,0.025781005564324895,0.001063582923661274,0.00012015561654225176,0.041110488256237226,0.00010044384965679232,0.0036541014707568236,0.0410563763848704,0.043971739781353575,0.016899047500291225,0.07511565019455375,0.005773502691896258,0.0006409576212487905,0.0027381158344573827,0.0004639625549315574,0.01612426529507829,0.005337029519135399,0.0004639625549315574,0.00012015561654225176,0.09250839593349336,0.0,0.05306278736758346,0.0004894926893447185,0.001063582923661274,0.0025368678774515385,0.032978816759585944,0.0006409576212487905,0.0007086634981574824,0.0017163828008647673,0.03030306100845337,0.015857384179426344,0.0,0.1071516795516563,0.06938128599071054,0.0014585803191659759,0.005337029519135399,0.12920657803094632,0.0027381158344573827,0.00046451863838110647,0.02785489844904651,0.1656696743066704,0.04750351368270004
no_init_box_kenn_top_down_adapter_bert_ms,0.25,0.7992304364840189,0.8828459978103638,0.013975875762601694,0.7888888915379842,0.649789035320282,0.8948800166447958,0.4753086467583974,21.666666666666668,0.3333333233992259,0.6541889508565267,0.4796982208887736,0.8948800166447958,0.9044586420059204,0.642857144276301,0.6300463279088339,0.6722925901412964,0.8711369832356771,0.9086942275365194,0.5371667544047037,0.024878219390908878,0.905063271522522,0.4977080225944519,0.5217592914899191,0.7714747587839762,0.2430555522441864,0.02,0.9003073771794637,0.8336721460024515,0.9172408183415731,0.6587804555892944,0.8712309797604879,0.9172408183415731,0.9086942275365194,0.5608762303988138,0.8987341523170471,0.5703128377596537,0.8828459978103638,0.8711369832356771,0.7992304364840189,0.6160029768943787,0.9003073771794637,0.018479857593774796,0.017861284936467808,0.6019311944643656,0.6660660703976949,0.9102563858032228,0.5333333313465118,0.6482212543487549,0.015676657669246197,0.8712309797604879,0.5196382403373718,0.8336721460024515,0.0212061603864034,0.49004759391148883,0.5420634945233663,0.5084388256072998,0.0,0.0010082524394443178,0.0017149030285013194,0.0007031056033191266,0.08388706007038475,0.014616423088950371,0.003744117009601808,0.010691682485305673,6.027713773341707,0.030386860801132638,0.006174853178980397,0.03530593110800455,0.003744117009601808,0.0,0.31134992307352205,0.043866524584210365,0.009970117114052079,0.0002489763020030982,0.0010674270951669977,0.05860083678495813,0.0001739738509067266,0.0063291192054748535,0.09993837813787126,0.017476492723250872,0.007376623883986156,0.05242940119517506,0.017320508075688773,0.0001264047062662144,0.003176655971517851,0.0022799840995256634,0.030053198554005064,0.006419879963151558,0.0022799840995256634,0.0010674270951669977,0.1112782832042748,0.0,0.01942181892705121,0.0017149030285013194,0.0002489763020030982,0.0010082524394443178,0.013107360660757354,0.0001264047062662144,0.00027405580783539324,0.0004017748609116385,0.0649041150820006,0.06667477884371377,0.0,0.0577350234776868,0.08345870180479785,0.0005338618456022761,0.006419879963151558,0.17533839387477954,0.003176655971517851,0.0002027678982902621,0.08270690426613769,0.2805721180823367,0.02557883073909896
no_init_kenn_bottom_up_adapter_bert_ms,0.375,0.8656021555264791,0.8002852002779642,0.025690095499157906,0.9444444378217062,0.74753870566686,0.7228972713152567,0.9259259303410848,16.333333333333332,0.15472753097613653,0.9090909163157145,0.1525516485174497,0.7228972713152567,0.9090908765792848,0.08530813331405322,0.4555285672346751,0.9106891751289368,0.8995256423950195,0.8439252575238546,0.1672300398349762,0.02259723221262296,0.8220816453297933,0.10746836041410764,0.93194446961085,0.863980789979299,0.8958333333333334,0.016666666666666666,0.9146659970283508,0.8615172704060873,0.7846341331799825,0.2294230510791143,0.8574708104133606,0.7846341331799825,0.8439252575238546,0.09276542936762174,0.8860759735107422,0.8305482864379883,0.8002852002779642,0.8995256423950195,0.8656021555264791,0.9204773108164469,0.9146659970283508,0.025032862400015194,0.020548210789759953,0.1889317979415258,0.13264068216085434,0.9333333373069764,0.9555555582046509,0.30290740728378296,0.022829962894320488,0.8574708104133606,0.1536725014448166,0.8615172704060873,0.02374894917011261,0.08372029786308606,0.08551978692412376,0.9345991810162863,0.0,0.0020955983006553077,0.04582373305414395,0.0008581908025696243,0.019244990619516702,0.0067817572491436435,0.07204591311087298,0.04811251096154962,0.5773502691896263,0.06572483544241893,0.027786925337305958,0.05796600566734948,0.07204591311087298,0.0,0.03823638452974356,0.03756838701358263,0.021341742799005366,0.0011203417398773109,0.03410812905309705,0.06825993881587315,0.00017716562050571033,0.006445266023818995,0.060855932205881584,0.036324157407031044,0.006389961956879989,0.11023965673472327,0.005773502691896258,0.0005792009429801529,0.002195719397000325,0.057397103512015456,0.07742842686211066,0.0023119256892273356,0.057397103512015456,0.03410812905309705,0.040073455299341455,0.0,0.015123135698126526,0.04582373305414395,0.0011203417398773109,0.0020955983006553077,0.02724315395016299,0.0005792009429801529,0.0005866388087444324,0.00018641583113780726,0.09889580247934296,0.049254729166324944,0.0,0.03849001565179109,0.03005509537490076,0.0004157020133294749,0.0023119256892273356,0.08843600770262097,0.002195719397000325,0.0001756462932468773,0.03364629145099851,0.05426995099122356,0.0312207694267203
no_init_kenn_horizontal_adapter_bert_ms,0.375,0.8636790712674459,0.8756107091903687,0.024704245229562122,0.9333333373069764,0.7855133612950643,0.854079027970632,0.8888888955116272,15.666666666666666,0.35693321625391644,0.8877005378405253,0.3793703416983287,0.854079027970632,0.9090908765792848,0.22926654915014902,0.5807488759358724,0.8902953465779623,0.8986632227897644,0.9005049665768942,0.40436535080273944,0.023273796464006107,0.846694827079773,0.3349829614162445,0.8986111481984457,0.8672892451286316,0.8402777711550394,0.04666666666666666,0.9141054153442383,0.8655341267585754,0.8875183661778768,0.4991116722424825,0.8674138387044271,0.8875183661778768,0.9005049665768942,0.2651112874348958,0.8860759735107422,0.8370284040768942,0.8756107091903687,0.8986632227897644,0.8636790712674459,0.895477294921875,0.9141054153442383,0.024472281336784363,0.021592052032550175,0.48804935812950134,0.3541242182254791,0.9333333373069764,0.9222222169240316,0.43216679493586224,0.023008088891704876,0.8674138387044271,0.3582246055205663,0.8655341267585754,0.02383989281952381,0.2461126297712326,0.23108432938655218,0.8987341721852621,0.0,0.0025753542211193986,0.01549175135919721,0.0010864633680617178,0.0,0.04304691404537284,0.030055659743202033,0.05632186620744604,1.5275252316519468,0.03886759593007128,0.03252817022206739,0.09567038749288946,0.030055659743202033,0.0,0.03699164483488561,0.045644877981771394,0.025924472336231942,0.001311485663766622,0.011913624865371088,0.08644163238760931,0.0009864177421900781,0.03588561851987302,0.09516853397454444,0.04463932294917796,0.01293469276115537,0.11474106629573175,0.02081665999466132,0.0007021139169147286,0.0013021029558368325,0.02350310703161465,0.1046298760146241,0.004278485603675426,0.02350310703161465,0.011913624865371088,0.0741605450986955,0.0,0.013090203241791951,0.01549175135919721,0.001311485663766622,0.0025753542211193986,0.03347950565710767,0.0007021139169147286,0.0007126077121231221,0.0011832673470493376,0.0993138382146956,0.1021841010402491,0.0,0.0192450250322745,0.05562040744289661,0.0003598242823490701,0.004278485603675426,0.16098808593949235,0.0013021029558368325,0.0003555483635204333,0.0785290878115734,0.11796641965779346,0.03952534631421089
no_init_kenn_hybrid_adapter_bert_ms,0.375,0.864907701810201,0.8334311644236246,0.025342147797346115,0.9333333373069764,0.7623066107432047,0.7772671580314636,0.9135802388191223,16.333333333333332,0.19413607319196066,0.9019607901573181,0.20030759771664938,0.7772671580314636,0.9090908765792848,0.1096771036585172,0.47986852129300434,0.9036568204561869,0.8992381691932678,0.8692830204963684,0.2173384726047516,0.022790536284446716,0.8291139602661133,0.13342473655939102,0.9199074506759644,0.8643431663513184,0.881944457689921,0.023333333333333334,0.9144726991653442,0.8620798389116923,0.8287062048912048,0.29561882714430493,0.8592799305915833,0.8287062048912048,0.8692830204963684,0.12412362297375996,0.8860759735107422,0.8336271643638611,0.8334311644236246,0.8992381691932678,0.864907701810201,0.9114495515823364,0.9144726991653442,0.02483955832819144,0.02095414822300275,0.23244107762972513,0.17876046895980835,0.9333333373069764,0.9444444378217062,0.3264260490735372,0.022914594660202663,0.8592799305915833,0.220953402419885,0.8620798389116923,0.02375890997548898,0.11349793275197347,0.12926902373631796,0.9219409426053365,0.0,0.003293379136014884,0.022008922678593786,0.00145902934240867,0.0,0.019142989919549696,0.03983270293854938,0.06949587593216103,0.5773502691896263,0.019707024257473713,0.040136666108024445,0.04547067674405544,0.03983270293854938,0.0,0.014043803256023949,0.017344790990186713,0.033512658991224034,0.001618259931125769,0.01593564074927884,0.042993544859784884,0.0004181802323470201,0.015213309215908992,0.032547746690402876,0.05708538563159458,0.00799088458636424,0.13393958978220452,0.005773502691896256,0.000913403772425105,0.0007864493725867239,0.02986742146855107,0.06402550190547875,0.0017034900790832137,0.02986742146855107,0.01593564074927884,0.029527160470315682,0.0,0.012378847061802326,0.022008922678593786,0.001618259931125769,0.003293379136014884,0.04281406605205946,0.000913403772425105,0.0009211907285705141,0.000526199646988681,0.05074575131562687,0.048960423141265065,0.0,0.05091751769361263,0.022145356295678386,0.0003402683766511041,0.0017034900790832137,0.11591461539635681,0.0007864493725867239,0.00021965305279433495,0.030570484520651958,0.07518101673071666,0.05307910540696702
no_init_kenn_top_down_adapter_bert_ms,0.375,0.8649611274401346,0.745882252852122,0.02545813036461671,0.9333333373069764,0.7742616136868795,0.6415100495020548,0.9166666666666666,14.333333333333334,0.09838498383760452,0.903743326663971,0.09941154221693675,0.6415100495020548,0.9090908765792848,0.052320106575886406,0.4210371474424998,0.9057665467262268,0.8993100523948669,0.8098111550013224,0.10179615020751953,0.02309982230265935,0.8403657277425131,0.052796006202697754,0.9208333492279053,0.8709701100985209,0.8958333333333334,0.07666666666666667,0.9145306944847108,0.8600771029790243,0.7290476560592651,0.15716025233268738,0.8552531599998474,0.7290476560592651,0.8098111550013224,0.05432638650139173,0.8860759735107422,0.8417236804962158,0.745882252852122,0.8993100523948669,0.8649611274401346,0.9121440052986145,0.9145306944847108,0.024897549922267597,0.021282764772574108,0.09948975841204326,0.08708685139815013,0.9333333373069764,0.9333333373069764,0.2740781207879384,0.02313714971144994,0.8552531599998474,0.10723876704772313,0.8600771029790243,0.023941070462266605,0.05297375408311685,0.05786304175853729,0.9261603355407715,0.0,0.002437011882226029,0.06810671739519929,0.0011048812707789325,0.0,0.05735137809929138,0.09846561169742347,0.056321851509030386,3.7859388972001824,0.022843027374594267,0.032528135925766685,0.03819872186980467,0.09846561169742347,0.0,0.013056135034706463,0.017451657871252784,0.026209070791221544,0.001311485663766622,0.048073821340879445,0.041071714980788016,0.0012029959316688537,0.04376469739993678,0.019282897598407112,0.04224145110003795,0.015951903123480604,0.12672422101437167,0.015275252316519463,0.000711614581945745,0.0006501329362571401,0.07640463040602859,0.05950787410389853,0.0013400145088042332,0.07640463040602859,0.048073821340879445,0.023226849121812103,0.0,0.025484836704168654,0.06810671739519929,0.001311485663766622,0.002437011882226029,0.03168103688057501,0.000711614581945745,0.0007204293125841053,0.0015764642720450727,0.03444512096275966,0.03602534575453765,0.0,0.0,0.017420137069750423,0.0007005224859422441,0.0013400145088042332,0.06742973502136829,0.0006501329362571401,0.000438483288584085,0.02154426577096709,0.038189382529813784,0.04019530544715551
smart_init_box_adapter_bert_ms,0.25,0.819209078947703,0.8831816911697388,0.02395035947362582,0.9333333373069764,0.7770745356877645,0.886509358882904,0.8518518408139547,60.333333333333336,0.6515090266863505,0.8716577688852946,0.6088616450627645,0.886509358882904,0.9044586420059204,0.5711081822713217,0.7078919410705566,0.8790435989697775,0.879905104637146,0.9095245401064554,0.6249284942944845,0.022964509824911754,0.8354430397351583,0.5106418828169504,0.8680556019147238,0.8559156854947408,0.7708333333333334,0.31,0.9053835272789001,0.8425113956133524,0.9137091437975565,0.709593931833903,0.8671931028366089,0.9137091437975565,0.9095245401064554,0.4908864200115204,0.8987341523170471,0.8200959960619608,0.8831816911697388,0.879905104637146,0.819209078947703,0.8757252097129822,0.9053835272789001,0.024162994076808293,0.021360086898008983,0.6588118275006613,0.6022562583287557,0.9102563858032228,0.899999996026357,0.5957288940747579,0.022542651742696762,0.8671931028366089,0.5353769560654958,0.8425113956133524,0.023527258386214573,0.47897017002105713,0.390909085671107,0.8713080286979675,0.0,0.004373413423723267,0.0028321067521325963,0.0020609324726519737,0.0,0.027855523377704493,0.0067989664056643095,0.0962250563358568,6.658328118479392,0.121605401796705,0.05557381626185423,0.05318395822922922,0.0067989664056643095,0.0,0.08794730259126532,0.02438521432229309,0.04690631673486833,0.0022406834797546217,0.001156715005074198,0.035327098421158894,0.0006535277775264134,0.02377514932055581,0.057571203830123194,0.07580585233317234,0.01917526497405331,0.1987373159251144,0.04582575694955839,0.001272256859119497,0.002134138567393432,0.0029428756969246826,0.041547848964409925,0.0025625406889646348,0.0029428756969246826,0.001156715005074198,0.04441760624986376,0.0,0.03476249259490673,0.0028321067521325963,0.0022406834797546217,0.004373413423723267,0.0568544023545498,0.001272256859119497,0.0012893537802328484,0.0007656893562663257,0.0492508425415503,0.06566859564899313,0.0,0.03333333134651631,0.0333131833632434,0.0009555450109589285,0.0025625406889646348,0.12226050882188269,0.002134138567393432,0.0005270882673469147,0.06593939652571822,0.1225588027938755,0.07497619640130264
smart_init_classifier_adapter_bert_ms,0.375,0.8610882957776388,0.898577868938446,0.02348642920454343,0.9111111164093018,0.7362869381904602,0.8997344374656677,0.8364197611808777,16.333333333333332,0.6549554069836935,0.8573974967002869,0.6531054774920145,0.8997344374656677,0.9090908765792848,0.5982570946216583,0.7345409194628397,0.8635724186897278,0.8974414269129435,0.9170402685801188,0.6623197595278422,0.02232660601536433,0.8122363289197286,0.5285714368025461,0.8537037372589111,0.8369099299112955,0.750000019868215,0.19666666666666666,0.9134539763132731,0.8721989393234253,0.9206584294637045,0.7438077529271444,0.8836172223091125,0.9206584294637045,0.9170402685801188,0.5459700226783752,0.8860759735107422,0.7904123663902283,0.898577868938446,0.8974414269129435,0.8610882957776388,0.8617967565854391,0.9134539763132731,0.023737726112206776,0.0202389241506656,0.6652024189631144,0.6603787144025167,0.9333333373069764,0.899999996026357,0.6428108612696329,0.021726713826258976,0.8836172223091125,0.6493391394615173,0.8721989393234253,0.02300483174622059,0.5409917930761973,0.5110815564791361,0.854430357615153,0.0,0.0032383437384099494,0.002680282928401596,0.0014240343844877706,0.03849001565179132,0.0203452717474309,0.005975587465266473,0.058804210653234115,2.3094010767585034,0.10872500781795849,0.03396177851628636,0.05822587263539654,0.005975587465266473,0.0,0.16340567065239095,0.038331310589393555,0.030304459981765463,0.001369283629122695,0.0010190805413355353,0.059152306481794405,0.0006054446648241638,0.022025912969789705,0.08010764939440929,0.05613126852393412,0.02059135018986863,0.07216878364870322,0.11150485789118487,0.0008100976567064595,0.0022451311122773433,0.0025339326256732723,0.04420524882101213,0.004670015493235021,0.0025339326256732723,0.0010190805413355353,0.08094711754843004,0.0,0.025833493939563894,0.002680282928401596,0.001369283629122695,0.0032383437384099494,0.04209846859932944,0.0008100976567064595,0.0008330034774360781,0.000559246431103425,0.05145712347172469,0.07356726786776843,0.0,0.057735040684065764,0.06071036043485467,0.000710104878493082,0.004670015493235021,0.06905942518711833,0.0022451311122773433,0.0005660118447412486,0.08118829049256339,0.07970222407084308,0.051806047945517755
