name,instance,run_id,test/macro_example/f1,test_pretraining/micro/f1,test_incremental_medicine-drug/macro_types/f1,test_incremental_only/micro/precision,test/macro_types/recall,test_incremental/micro/recall,test_pretraining/macro_types/precision,test_pretraining/macro_example/precision,test_incremental_medicine-symptom/macro_types/f1,test_incremental_only/macro_example_exclusive/f1,test/macro_types/f1,test_incremental_medicine/macro_types/f1,test_incremental_medicine-drug/macro_types/recall,test_incremental_only/micro/f1,test_incremental/micro/precision,test_incremental_only/macro_example_exclusive/precision,threshold_pretraining,test_incremental_medicine-medical_treatment/macro_types/precision,test/micro/precision,test_incremental/macro_types/f1,test_incremental_only/micro/recall,test_incremental/macro_example/recall,test_incremental_only/macro_example_exclusive/recall,test_pretraining/macro_types/f1,test_pretraining/micro/precision,test_incremental_only/macro_types/precision,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example/precision,epoch,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_incremental_medicine-drug/macro_types/precision,test_incremental_medicine-symptom/macro_types/recall,test_incremental_medicine-medical_treatment/macro_types/f1,threshold_incremental,test_incremental_only/macro_types/recall,test_incremental_only/macro_types/f1,test_incremental/macro_types/precision,test/macro_example/precision,test_pretraining/micro/recall,test_pretraining/macro_types/recall,test_incremental_only/macro_example/f1,test_incremental/macro_example_exclusive/f1,test_pretraining/macro_example/recall,test/macro_example/recall,test_incremental_medicine/macro_types/recall,test/micro/recall,test_incremental/micro/f1,test_incremental_only/macro_example/recall,test_incremental_medicine/macro_types/precision,test/macro_types/precision,test_incremental/macro_example/f1,test_pretraining/macro_example/f1,test/micro/f1,test_incremental_medicine-medical_treatment/macro_types/recall,test_incremental/macro_types/recall,test_incremental_medicine-symptom/macro_types/precision
no_init_box_kenn_horizontal_adapter_bert_ms,2,jn5v78nv,0.909973680973053,0.8836543560028076,0.38297876715660095,0.6410256624221802,0.7829911112785339,0.5133689641952515,0.8775793313980103,0.923184871673584,0.3333333432674408,0.25617843866348267,0.8275913596153259,0.9044586420059204,0.30000001192092896,0.3401360511779785,0.8205128312110901,0.3164556920528412,0.25,0.8999999761581421,0.9026309847831726,0.5210705995559692,0.23148147761821747,0.014265831559896467,0.2151898741722107,0.8275913596153259,0.9026309847831726,0.6709150671958923,0.8987341523170471,0.008698677644133568,56,0.02470424398779869,0.5189874172210693,0.529411792755127,0.23333333432674408,0.3103448152542114,0.02,0.24027779698371887,0.3538350462913513,0.7307503819465637,0.923184871673584,0.8654592633247375,0.7829911112785339,0.007041786331683397,0.6580018997192383,0.8971352577209473,0.8971352577209473,0.8987341523170471,0.8654592633247375,0.6315789222717285,0.0059151011519134045,0.9102563858032228,0.8775793313980103,0.018087035045027733,0.909973680973053,0.8836543560028076,0.1875,0.40489187836647034,0.5833333134651184
no_init_box_kenn_horizontal_adapter_bert_ms,1,9o0hcysc,0.9093737602233888,0.8830138444900513,0.4285714626312256,0.59375,0.7813084125518799,0.4812834262847901,0.8629112243652344,0.9227789640426636,0.4000000059604645,0.20819951593875885,0.8200848698616028,0.9044586420059204,0.30000001192092896,0.27142855525016785,0.8181818127632141,0.2405063360929489,0.25,0.0,0.9027026891708374,0.4481809735298157,0.17592592537403107,0.013627927750349045,0.1835443079471588,0.8200848698616028,0.9027026891708374,0.4166666865348816,0.8797468543052673,0.0066109951585531235,38,0.02418232336640358,0.4957805871963501,0.75,0.3333333432674408,0.0,0.06999999999999999,0.2111111283302307,0.28023600578308105,0.5400640964508057,0.9227789640426636,0.8641656041145325,0.7813084125518799,0.005722951143980026,0.6341733336448669,0.8963524103164673,0.8963524103164673,0.8987341523170471,0.8641656041145325,0.6060606241226196,0.00504523329436779,0.9102563858032228,0.8629112243652344,0.017432043328881264,0.9093737602233888,0.8830138444900513,0.0,0.3830168843269348,0.5
no_init_box_kenn_horizontal_adapter_bert_ms,0,0357lp2c,0.4531327486038208,0.4637763202190399,0.020661156624555588,0.01252609584480524,0.8268212676048279,0.9572192430496216,0.839595377445221,0.3019601106643677,0.020661156624555588,0.6260870099067688,0.8331593871116638,0.9044586420059204,1.0,0.024742266163229942,0.02057471312582493,0.4556962549686432,0.25,0.016701461747288704,0.3144282400608063,0.3812341988086701,1.0,0.026270005851984024,1.0,0.8331593871116638,0.3144282400608063,0.012526096776127815,0.5780590772628784,0.012526096776127815,29,0.01588958501815796,0.9556962251663208,0.010438413359224796,1.0,0.03285421058535576,0.0,1.0,0.02474226802587509,0.2369586676359177,0.3019601106643677,0.883354902267456,0.8268212676048279,0.017209768295288086,0.7203872203826904,0.90742290019989,0.90742290019989,0.8987341523170471,0.883354902267456,0.04028356075286865,0.027487821877002716,0.9102563858032228,0.839595377445221,0.019801875576376915,0.4531327486038208,0.4637763202190399,1.0,0.9746835231781006,0.010438413359224796
no_init_box_kenn_hybrid_adapter_bert_ms,2,ut030e1t,0.9105039238929749,0.884611189365387,0.3913043439388275,0.7111111283302307,0.7869975566864014,0.5508021116256714,0.8808929324150085,0.9234168529510498,0.5106382966041565,0.3430265784263611,0.831302285194397,0.9044586420059204,0.30000001192092896,0.41830065846443176,0.8373983502388,0.405063271522522,0.25,0.9166666865348816,0.9029867649078368,0.574616551399231,0.29629629850387573,0.015425655990839005,0.297468364238739,0.831302285194397,0.9029867649078368,0.7283496856689453,0.8987341523170471,0.011134307831525804,49,0.02470424398779869,0.5611814856529236,0.5625,0.4000000059604645,0.36666667461395264,0.02,0.30972224473953247,0.43462520837783813,0.7738263607025146,0.9234168529510498,0.8669685125350952,0.7869975566864014,0.009429053403437138,0.690934419631958,0.8979471325874329,0.8979471325874329,0.8987341523170471,0.8669685125350952,0.664516031742096,0.008176757022738457,0.9102563858032228,0.8808929324150085,0.018992282450199127,0.9105039238929749,0.884611189365387,0.2291666716337204,0.45697522163391113,0.7058823704719543
no_init_box_kenn_top_down_adapter_bert_ms,2,dl2cirax,0.9093855023384094,0.8830288052558899,0.2816901206970215,0.49462366104125977,0.7945295572280884,0.625668466091156,0.8718419075012207,0.9193865060806274,0.6031745672225952,0.5032036304473877,0.831392228603363,0.9044586420059204,0.3333333432674408,0.4577114284038544,0.6842105388641357,0.5822784900665283,0.25,0.8947368264198303,0.8964674472808838,0.6012933254241943,0.42592594027519226,0.017571330070495605,0.4430379867553711,0.831392228603363,0.8964674472808838,0.5714656114578247,0.8860759735107422,0.016005568206310272,50,0.02435629814863205,0.6392405033111572,0.2439024448394775,0.6333333253860474,0.5074626803398132,0.01,0.44027775526046753,0.4973664879798889,0.6561632752418518,0.9193865060806274,0.8699870705604553,0.7945295572280884,0.013831972144544125,0.7426860928535461,0.8995998501777649,0.8995998501777649,0.8987341523170471,0.8699870705604553,0.6536312699317932,0.012178149074316025,0.9102563858032228,0.8718419075012207,0.020414823666214943,0.9093855023384094,0.8830288052558899,0.3541666567325592,0.5548918843269348,0.5757575631141663
no_init_box_kenn_bottom_up_adapter_bert_ms,2,05hpmvgq,0.909947395324707,0.8835932016372681,0.3333333432674408,0.5666666626930237,0.7877988219261169,0.5614973306655884,0.8744308948516846,0.921967089176178,0.4615384638309479,0.3647286295890808,0.8288572430610657,0.9044586420059204,0.30000001192092896,0.4047619104385376,0.760869562625885,0.4303797483444214,0.25,0.9285714030265808,0.900402843952179,0.5572296380996704,0.31481480598449707,0.01571561209857464,0.3164557218551636,0.8288572430610657,0.900402843952179,0.6163420081138611,0.8924050331115723,0.011830201372504234,50,0.02453027106821537,0.5717299580574036,0.375,0.4000000059604645,0.4193548560142517,0.01,0.32361114025115967,0.4243938028812408,0.6898205876350403,0.921967089176178,0.8673997521400452,0.7877988219261169,0.010025594383478165,0.696950376033783,0.8982370495796204,0.8982370495796204,0.8987341523170471,0.8673997521400452,0.6461538076400757,0.008698677644133568,0.9102563858032228,0.8744308948516846,0.01915764808654785,0.909947395324707,0.8835932016372681,0.2708333432674408,0.46739187836647034,0.5454545617103577
no_init_box_kenn_hybrid_adapter_bert_ms,1,iyypv1nt,0.9096565246582032,0.8833829164505005,0.39024391770362854,0.6285714507102966,0.7832314968109131,0.4973261952400207,0.8640767335891724,0.9230109453201294,0.5185185670852661,0.2506329119205475,0.8216702938079834,0.9044586420059204,0.2666666805744171,0.307692289352417,0.8230088353157043,0.27848100662231445,0.25,0.0,0.90276837348938,0.4703689813613891,0.20370370149612427,0.014207840897142889,0.2278481125831604,0.8216702938079834,0.90276837348938,0.43686869740486145,0.8734177350997925,0.007654836401343346,46,0.02400835230946541,0.5168776512145996,0.7272727489471436,0.46666666865348816,0.0,0.02,0.24444445967674255,0.31348326802253723,0.55521559715271,0.9230109453201294,0.864812433719635,0.7832314968109131,0.0068893530406057835,0.649430513381958,0.8966829776763916,0.8966829776763916,0.8987341523170471,0.864812433719635,0.6200000047683716,0.00626304792240262,0.9102563858032228,0.8640767335891724,0.01785143092274666,0.9096565246582032,0.8833829164505005,0.0,0.4080168604850769,0.5833333134651184
no_init_box_kenn_top_down_adapter_bert_ms,1,r1wqmjt8,0.9099876284599304,0.8843746781349182,0.6153846383094788,0.6229507923126221,0.7932475209236145,0.5828877091407776,0.8827170729637146,0.9217931032180786,0.6176470518112183,0.4204407036304474,0.8355941772460938,0.9044586420059204,0.5333333611488342,0.4497041702270508,0.7841726541519165,0.48101264238357544,0.25,1.0,0.9010964632034302,0.6427119970321655,0.35185185074806213,0.016469497233629227,0.3734177350997925,0.8355941772460938,0.9010964632034302,0.7599681615829468,0.905063271522522,0.013221990317106249,46,0.02487821877002716,0.5991561412811279,0.7272727489471436,0.699999988079071,0.040816325694322586,0.02,0.41805559396743774,0.5393930673599243,0.7975401878356934,0.9217931032180786,0.8682621717453003,0.7932475209236145,0.011556997895240784,0.7210041880607605,0.8984806537628174,0.8984806537628174,0.8987341523170471,0.8682621717453003,0.6687116026878357,0.0102644395083189,0.9102563858032228,0.8827170729637146,0.019818833097815514,0.9099876284599304,0.8843746781349182,0.02083333395421505,0.5382251739501953,0.5526315569877625
no_init_box_kenn_bottom_up_adapter_bert_ms,1,en309jln,0.9095669388771056,0.8834598660469055,0.39024391770362854,0.6097561120986938,0.7851545810699463,0.5133689641952515,0.8637561798095703,0.9224889874458312,0.5666666626930237,0.2851578891277313,0.822581946849823,0.9044586420059204,0.2666666805744171,0.33557045459747314,0.8067227005958557,0.3164556920528412,0.25,0.0,0.9022251963615416,0.4849543571472168,0.23148147761821747,0.014671769924461842,0.2594936788082123,0.822581946849823,0.9022251963615416,0.431313157081604,0.8734177350997925,0.008698677644133568,46,0.02400835230946541,0.5337553024291992,0.7272727489471436,0.5666666626930237,0.0,0.01,0.2777777910232544,0.33792340755462646,0.5510489344596863,0.9224889874458312,0.8654592633247375,0.7851545810699463,0.007838369347155094,0.6625927686691284,0.8970019221305847,0.8970019221305847,0.8987341523170471,0.8654592633247375,0.6274509429931641,0.0071329157799482346,0.9102563858032228,0.8637561798095703,0.01821323297917843,0.9095669388771056,0.8834598660469055,0.0,0.43301689624786377,0.5666666626930237
no_init_box_kenn_hybrid_adapter_bert_ms,0,r9gwf9zf,0.9102322459220886,0.8842893838882446,0.4390243887901306,0.7297297120094299,0.7864366769790649,0.5240641832351685,0.8684531450271606,0.9235328435897828,0.6545454859733582,0.30689743161201477,0.8254125118255615,0.9044586420059204,0.30000001192092896,0.3724137842655182,0.852173924446106,0.3417721688747406,0.25,0.0,0.9034870862960817,0.5184731483459473,0.25,0.014961726032197475,0.27848100662231445,0.8254125118255615,0.9034870862960817,0.5127272605895996,0.8734176754951477,0.009394572116434574,46,0.02400835230946541,0.544303834438324,0.8181818127632141,0.6000000238418579,0.0,0.08,0.30000001192092896,0.3785234987735748,0.6121095418930054,0.9235328435897828,0.8658904433250427,0.7864366769790649,0.008435942232608795,0.6706600785255432,0.8973093032836914,0.8973093032836914,0.8987341523170471,0.8658904433250427,0.6490066051483154,0.007654836401343346,0.9102563858032228,0.8684531450271606,0.018434984609484673,0.9102322459220886,0.8842893838882446,0.0,0.4496835470199585,0.7200000286102295
