name,test_pretraining/macro_example/f1/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_example/precision/mean,test_pretraining/macro_example/precision/mean,test_incremental_location-geography/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental/micro/f1/mean,test/macro_types/precision/mean,test/macro_types/recall/mean,test/macro_example/recall/mean,test_incremental/macro_example/recall/mean,test_incremental_only/macro_types/precision/mean,test_incremental_location-geography-island/macro_types/recall/mean,test_incremental_location-geography-mountain/macro_types/precision/mean,test_pretraining/micro/f1/mean,test_pretraining/macro_types/f1/mean,test_incremental/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/macro_types/f1/mean,test_incremental_only/micro/f1/mean,test_incremental_only/macro_example/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test/micro/recall/mean,test_incremental/micro/recall/mean,test_incremental_location-geography-mountain/macro_types/f1/mean,test_incremental_location-geography-body_of_water/macro_types/recall/mean,test/micro/precision/mean,test_pretraining/macro_types/recall/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_location-geography-body_of_water/macro_types/f1/mean,test_incremental/macro_example_exclusive/recall/mean,threshold_incremental/mean,test/macro_example/precision/mean,test_incremental/macro_types/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental_location-geography-island/macro_types/f1/mean,test_incremental_location-geography-body_of_water/macro_types/precision/mean,test_pretraining/micro/recall/mean,test_pretraining/micro/precision/mean,test_incremental_only/micro/precision/mean,test_incremental_location-geography-mountain/macro_types/recall/mean,epoch/mean,test/micro/f1/mean,threshold_pretraining/mean,test_incremental/micro/precision/mean,test_incremental/macro_example/f1/mean,test_incremental_location-geography/macro_types/recall/mean,test_incremental/macro_types/f1/mean,test_incremental_only/macro_types/recall/mean,test/macro_example/f1/mean,test_pretraining/macro_types/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_only/macro_types/f1/mean,test_incremental_only/macro_example/precision/mean,test_incremental_location-geography/macro_types/precision/mean,test_incremental_location-geography-island/macro_types/precision/mean,test_pretraining/macro_example/recall/mean,test_pretraining/macro_example/f1/std,test_incremental_only/micro/recall/std,test_incremental/macro_example/precision/std,test_pretraining/macro_example/precision/std,test_incremental_location-geography/macro_types/f1/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental/micro/f1/std,test/macro_types/precision/std,test/macro_types/recall/std,test/macro_example/recall/std,test_incremental/macro_example/recall/std,test_incremental_only/macro_types/precision/std,test_incremental_location-geography-island/macro_types/recall/std,test_incremental_location-geography-mountain/macro_types/precision/std,test_pretraining/micro/f1/std,test_pretraining/macro_types/f1/std,test_incremental/macro_types/precision/std,test_incremental_only/macro_example_exclusive/recall/std,test/macro_types/f1/std,test_incremental_only/micro/f1/std,test_incremental_only/macro_example/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test/micro/recall/std,test_incremental/micro/recall/std,test_incremental_location-geography-mountain/macro_types/f1/std,test_incremental_location-geography-body_of_water/macro_types/recall/std,test/micro/precision/std,test_pretraining/macro_types/recall/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_location-geography-body_of_water/macro_types/f1/std,test_incremental/macro_example_exclusive/recall/std,threshold_incremental/std,test/macro_example/precision/std,test_incremental/macro_types/recall/std,test_incremental_only/macro_example/f1/std,test_incremental_location-geography-island/macro_types/f1/std,test_incremental_location-geography-body_of_water/macro_types/precision/std,test_pretraining/micro/recall/std,test_pretraining/micro/precision/std,test_incremental_only/micro/precision/std,test_incremental_location-geography-mountain/macro_types/recall/std,epoch/std,test/micro/f1/std,threshold_pretraining/std,test_incremental/micro/precision/std,test_incremental/macro_example/f1/std,test_incremental_location-geography/macro_types/recall/std,test_incremental/macro_types/f1/std,test_incremental_only/macro_types/recall/std,test/macro_example/f1/std,test_pretraining/macro_types/precision/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_only/macro_types/f1/std,test_incremental_only/macro_example/precision/std,test_incremental_location-geography/macro_types/precision/std,test_incremental_location-geography-island/macro_types/precision/std,test_pretraining/macro_example/recall/std
box_adapter_bert_ms,0.686177651087443,0.6185185114542643,0.031162636975447338,0.5985305507977804,0.6153846383094788,0.6185185412565867,0.08671895414590836,0.7120401461919149,0.6648099819819132,0.8039128383000692,0.023598091676831245,0.10704742123683293,0.5444444517294565,0.037260519030193485,0.6862969199816386,0.6875854929288229,0.33028554916381836,0.6185185412565867,0.6875854929288229,0.05353702728947004,0.027462588002284367,0.6185185611248016,0.7905833721160889,0.5314814746379852,0.06829091906547546,0.7777777711550394,0.6063229441642761,0.6648099819819132,0.7018518845240275,0.35875693211952847,0.53148153424263,0.9766666666666666,0.5985305507977804,0.5749999980131785,0.027462588002284367,0.03143760251502196,0.26759517068664235,0.7905833721160889,0.6063229441642761,0.027979755774140358,0.5333333313465118,25.666666666666668,0.6862969199816386,0.26,0.04721206178267797,0.026857150097688038,0.4444444477558136,0.41579439242680866,0.6185185412565867,0.686177651087443,0.7120401461919149,0.6048827370007833,0.174208485831817,0.027462588002284367,1.0,0.016286554125448067,0.8039128383000692,0.0006883436520214172,0.18899777869297346,0.005128915802541403,0.0021744223178923596,0.0,0.188997801469854,0.013821227402147675,0.0046796842318324846,0.011339856115787313,0.0027738790151958805,0.004195805419124791,0.0779950486981514,0.3404789621933648,0.04105262905597566,0.0007722857560570271,0.007073980627455304,0.05849628534260842,0.188997801469854,0.007073980627455304,0.015280709087677152,0.008391612955331373,0.1889978353431628,0.003300282245983015,0.09449890628314082,0.0729422119398475,0.019245025032274446,0.0010914087854769273,0.011339856115787313,0.11551460347751855,0.26750016996203446,0.09449890628314082,0.011547005383792535,0.0021744223178923596,0.14174834219604743,0.008391612955331373,0.006066703967694404,0.23049961042053838,0.003300282245983015,0.0010914087854769273,0.007960718563991526,0.20816658753891704,33.201405592735576,0.0007722857560570271,0.0,0.007448114330670084,0.004622069115046434,0.0,0.06650575238459096,0.188997801469854,0.0006883436520214172,0.0046796842318324846,0.1040993088949097,0.11645463806834322,0.008391612955331373,0.0,0.0031572605749474467,0.0027738790151958805
classifier_adapter_bert_ms,0.862276554107666,0.6962962945302328,0.031299674262603126,0.8624581893285116,0.7837837934494019,0.6827160716056824,0.6822566588719686,0.8495324651400248,0.8073005278905233,0.8621093233426412,0.029764841000239056,0.623593827088674,0.6444444457689921,0.6027499039967855,0.8509487907091776,0.8278089364369711,0.7176953752835592,0.6962963541348776,0.8278089364369711,0.625760555267334,0.030915966257452965,0.6893991033236185,0.853447159131368,0.6703703800837199,0.5879595875740051,0.8111111124356588,0.8485355973243713,0.8073005278905233,0.7049383322397867,0.6889910201231638,0.6703703999519348,0.48333333333333334,0.8624581893285116,0.6833333174387614,0.030609724422295887,0.5963869690895081,0.6455581585566202,0.853447159131368,0.8485355973243713,0.6216874420642853,0.6333333452542623,22.333333333333332,0.8509487907091776,0.33,0.731765458981196,0.030505113303661346,0.644444465637207,0.6861034035682678,0.6962963143984476,0.862276554107666,0.8495324651400248,0.6870429913202921,0.6265180905659994,0.030312995115915935,1.0,0.622473398844401,0.8621093233426412,0.002600411698522914,0.0320750302495382,0.0019739298191837305,0.0056391318509533194,0.0,0.043992085811308076,0.12314153331500993,0.016983667702415925,0.001924499061951683,0.0004509791897374499,0.0007120757725450615,0.2830610316473051,0.050917491680013006,0.2791085928506789,0.00621336605683649,0.007115780172956532,0.21229578954152215,0.0320750302495382,0.007115780172956532,0.17483290700216572,0.0014241477811938374,0.03809607677679577,0.0005601020444232514,0.016037515124769086,0.16353376643506987,0.019244990619516757,0.012847252905333855,0.001924499061951683,0.04445731746551125,0.19981126589857942,0.016037497918417933,0.22898325994127458,0.0056391318509533194,0.024056238274395927,0.0016914855876672549,0.17104529623585335,0.2928665111095161,0.0005601020444232514,0.012847252905333855,0.2813821697752148,0.033333331346516296,1.5275252316519465,0.00621336605683649,0.0,0.2495755036119189,0.0013034062235608528,0.0,0.10211851616213216,0.03207501304317317,0.002600411698522914,0.016983667702415925,0.0293556087896477,0.17585978532205213,0.0019532707345566317,0.0,0.3019782054473611,0.0004509791897374499
kenn_bottom_up_adapter_bert_ms,0.8590301672617594,0.7518518567085266,0.03346488997340202,0.8552436629931132,0.7837837934494019,0.7425926327705383,0.6436207493146261,0.8449676036834717,0.8106338779131571,0.8628904620806376,0.030998191485802334,0.5475127299626669,0.6888888875643412,0.6269625524679819,0.8490607142448425,0.8273751934369405,0.6606345176696777,0.7518518964449564,0.8273751934369405,0.5694308380285898,0.03338266660769781,0.7471803426742554,0.8544172843297323,0.6981481512387594,0.6545381943384806,0.8111111124356588,0.8438322146733602,0.8106338779131571,0.7537037332852682,0.5556838115056356,0.6981481711069742,0.15333333333333335,0.8552436629931132,0.725000003973643,0.033175246169169746,0.5653738677501678,0.47166875501473743,0.8544172843297323,0.8438322146733602,0.5023845434188843,0.7555555502573649,24.666666666666668,0.8490607142448425,0.33,0.6276257832845052,0.03217733899752299,0.644444465637207,0.6777755419413248,0.7518518765767416,0.8590301672617594,0.8449676036834717,0.7247051994005839,0.6054371496041616,0.03297154977917671,1.0,0.5439068178335825,0.8628904620806376,0.0041906675448413954,0.09049473103264769,0.0033470050355043947,0.009164239279071553,0.0,0.08357989537258943,0.10263176607180835,0.014049532121421977,0.0054296746652256036,0.0012832507829463118,0.0020090103998618484,0.23415895858516106,0.12619794522222935,0.22246509481787066,0.005068407316407901,0.004644511619584336,0.17561919926485894,0.0904947993374079,0.004644511619584336,0.14989536158270275,0.004018020799723702,0.08696590364796247,0.0015802342823804918,0.04524737222482947,0.09963353407631176,0.019244990619516757,0.011230497326814418,0.0054296746652256036,0.07538199763534649,0.2403033559412002,0.045247406377211044,0.180092568789868,0.009164239279071553,0.06787104796956328,0.003861337986300605,0.13931072918673393,0.3183019918247364,0.0015802342823804918,0.011230497326814418,0.26265500686413384,0.12619794522222935,7.571877794400365,0.005068407316407901,0.0,0.22782000026910268,0.00262004332992919,0.0,0.06911144497700851,0.0904947651850277,0.0041906675448413954,0.014049532121421977,0.059009257297868226,0.12681678041886768,0.0037109962323697942,0.0,0.24790037776358392,0.0012832507829463118
kenn_hybrid_adapter_bert_ms,0.8593934377034506,0.7481481432914734,0.03313599588970343,0.8560275435447693,0.7837837934494019,0.7388889392217001,0.6482645471890768,0.8453530669212341,0.8104116519292196,0.8628356258074442,0.030915967499216396,0.5539367496967316,0.699999988079071,0.60206738114357,0.8492218454678854,0.8274277846018473,0.6654525498549143,0.7481482028961182,0.8274277846018473,0.5754769345124563,0.03321822049717108,0.7434768875439962,0.854352593421936,0.6962963143984476,0.617205003897349,0.8222222328186035,0.8442350427309672,0.8104116519292196,0.7462963263193766,0.5515669782956442,0.6962963342666626,0.18000000000000002,0.8560275435447693,0.7222222089767456,0.033010811234513916,0.5989569822947184,0.45823754866917926,0.854352593421936,0.8442350427309672,0.5157405336697897,0.7222222288449606,28.333333333333332,0.8492218454678854,0.33,0.6413923799991608,0.03197221520046393,0.644444465637207,0.6758914192517599,0.7481481830279032,0.8593934377034506,0.8453530669212341,0.7200853824615479,0.6020301481088003,0.03280710242688656,1.0,0.601505309343338,0.8628356258074442,0.0042944385402747705,0.11239991807756902,0.004486258588678741,0.009843434144833288,0.0,0.10584755164561525,0.1017730661881362,0.014674468209240439,0.006744007006377732,0.0016054657977085643,0.002495312715819987,0.24457470101217474,0.1154700469553736,0.2121390066691031,0.005549102291463663,0.004295390471837579,0.1834310150700489,0.11239991807756902,0.004295390471837579,0.14282642271452534,0.004990623774481122,0.10905678266604527,0.0019627386450081353,0.05619997622413283,0.07897586850380758,0.03849001565179121,0.012693183222371361,0.006744007006377732,0.10104051196605447,0.21582737718931796,0.05619996051182631,0.21166010488516723,0.009843434144833288,0.08429993782166112,0.004842184418399075,0.16280565544906736,0.2961980819121317,0.0019627386450081353,0.012693183222371361,0.25589847364247903,0.1835856811818523,12.013880860626733,0.005549102291463663,0.0,0.22774468852264135,0.0034132055886432443,0.0,0.07037220406753973,0.11239993378988758,0.0042944385402747705,0.014674468209240439,0.0768729763712622,0.1363717530841258,0.0046996917106837946,0.0,0.28953980875630003,0.0016054657977085643
kenn_top_down_adapter_bert_ms,0.8530767957369486,0.8111111124356588,0.03532861918210983,0.8428624669710795,0.7837837934494019,0.7895062565803528,0.5536165237426758,0.8361038962999979,0.8141894340515137,0.8637263774871826,0.032313764095306396,0.3997841676076253,0.799999992052714,0.4416649838288625,0.8411766688028971,0.8249390721321106,0.5498380959033966,0.8111111720403036,0.8249390721321106,0.47236740589141846,0.03601381306846937,0.8000670671463013,0.8554520606994629,0.7277777791023254,0.5537493725617727,0.8222222129503886,0.8276391625404358,0.8141894340515137,0.7956790526707967,0.4193068991104762,0.7277778188387553,0.15,0.8428624669710795,0.7694444457689921,0.03552344813942909,0.514155258735021,0.32775960862636566,0.8554520606994629,0.8276391625404358,0.3758866985638936,0.8111111124356588,31.333333333333332,0.8411766688028971,0.33,0.48882850011189777,0.03374809895952543,0.644444465637207,0.6268139481544495,0.8111111720403036,0.8530767957369486,0.8361038962999979,0.7600822448730469,0.5015532771746317,0.03505454088250796,1.0,0.42992783586184186,0.8637263774871826,0.010566466590399766,0.06186402873053947,0.002375007166118904,0.02089618445924392,0.0,0.05720794940867542,0.18088117838878356,0.0149746487022589,0.003711846862392837,0.0008934951983049316,0.0013734009760796647,0.24957740303092196,0.08819171637640416,0.19183079477767806,0.013062633107087532,0.00609429881582659,0.18718302670609863,0.06186402873053947,0.00609429881582659,0.22421688822547123,0.0027468002794549394,0.058649152187688465,0.0010802782077098077,0.03093204648120165,0.1468968168244642,0.019244990619516757,0.02566924339148433,0.003711846862392837,0.05349042637222295,0.2779763130965705,0.030932014365269732,0.1562049935181331,0.02089618445924392,0.046398018871581855,0.0026040566287662513,0.18275743904425767,0.28794614384476597,0.0010802782077098077,0.02566924339148433,0.2697481443835833,0.10715167491612139,16.623276853055575,0.013062633107087532,0.0,0.27651212271924747,0.0017951905621883713,0.0,0.10661435136570423,0.06186402873053947,0.010566466590399766,0.0149746487022589,0.04043164285319757,0.19320006188497285,0.002540066274148083,0.0,0.27774026294650767,0.0008934951983049316
