name,test_incremental_only/micro/f1/mean,test/macro_example/recall/mean,threshold_incremental/mean,test_incremental_location-geography-body_of_water/macro_types/recall/mean,test/macro_example/f1/mean,test/macro_types/precision/mean,test_incremental/micro/recall/mean,test_incremental/micro/precision/mean,test_incremental_location-geography-island/macro_types/f1/mean,test_incremental_location-geography-mountain/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_location-geography-mountain/macro_types/f1/mean,test_incremental_location-geography/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental/micro/f1/mean,test/macro_example/precision/mean,test_incremental_only/macro_types/f1/mean,test_pretraining/macro_example/precision/mean,test_incremental_only/macro_types/precision/mean,test_pretraining/macro_types/precision/mean,threshold_pretraining/mean,test_incremental/macro_example/f1/mean,test_incremental_location-geography/macro_types/precision/mean,test/macro_types/recall/mean,test_incremental_only/micro/precision/mean,test_incremental/macro_types/precision/mean,test_incremental_location-geography-mountain/macro_types/precision/mean,test/micro/precision/mean,test_pretraining/micro/f1/mean,test_incremental/macro_types/recall/mean,test_incremental_location-geography-island/macro_types/recall/mean,test/macro_types/f1/mean,test_pretraining/micro/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental_location-geography-body_of_water/macro_types/precision/mean,epoch/mean,test_pretraining/macro_types/f1/mean,test_pretraining/macro_example/f1/mean,test_pretraining/micro/precision/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental_location-geography-body_of_water/macro_types/f1/mean,test_incremental_only/micro/recall/mean,test_pretraining/macro_types/recall/mean,test_incremental/macro_example/recall/mean,test_incremental/macro_example/precision/mean,test_incremental_only/macro_example/recall/mean,test/micro/f1/mean,test_incremental_only/macro_example/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test/micro/recall/mean,test_incremental/macro_types/f1/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_location-geography/macro_types/recall/mean,test_incremental_location-geography-island/macro_types/precision/mean,test_incremental_only/micro/f1/std,test/macro_example/recall/std,threshold_incremental/std,test_incremental_location-geography-body_of_water/macro_types/recall/std,test/macro_example/f1/std,test/macro_types/precision/std,test_incremental/micro/recall/std,test_incremental/micro/precision/std,test_incremental_location-geography-island/macro_types/f1/std,test_incremental_location-geography-mountain/macro_types/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_location-geography-mountain/macro_types/f1/std,test_incremental_location-geography/macro_types/f1/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental/micro/f1/std,test/macro_example/precision/std,test_incremental_only/macro_types/f1/std,test_pretraining/macro_example/precision/std,test_incremental_only/macro_types/precision/std,test_pretraining/macro_types/precision/std,threshold_pretraining/std,test_incremental/macro_example/f1/std,test_incremental_location-geography/macro_types/precision/std,test/macro_types/recall/std,test_incremental_only/micro/precision/std,test_incremental/macro_types/precision/std,test_incremental_location-geography-mountain/macro_types/precision/std,test/micro/precision/std,test_pretraining/micro/f1/std,test_incremental/macro_types/recall/std,test_incremental_location-geography-island/macro_types/recall/std,test/macro_types/f1/std,test_pretraining/micro/recall/std,test_incremental_only/macro_example/f1/std,test_incremental_location-geography-body_of_water/macro_types/precision/std,epoch/std,test_pretraining/macro_types/f1/std,test_pretraining/macro_example/f1/std,test_pretraining/micro/precision/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_types/recall/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental_location-geography-body_of_water/macro_types/f1/std,test_incremental_only/micro/recall/std,test_pretraining/macro_types/recall/std,test_incremental/macro_example/recall/std,test_incremental/macro_example/precision/std,test_incremental_only/macro_example/recall/std,test/micro/f1/std,test_incremental_only/macro_example/precision/std,test_incremental/macro_example_exclusive/recall/std,test/micro/recall/std,test_incremental/macro_types/f1/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_location-geography/macro_types/recall/std,test_incremental_location-geography-island/macro_types/precision/std
box_adapter_bert_ms,0.0400505984822909,0.8012953797976176,0.9633333333333333,0.7666666507720947,0.6912322243054708,0.7128049532572428,0.4425925811131795,0.04131279761592547,0.028059165614346664,0.22222222511967024,0.44074074427286786,0.5777778228123983,0.021039007231593132,0.6153846383094788,0.4407407542069753,0.07556735475858052,0.6077806750933329,0.1872646907965342,0.6077806750933329,0.11979459474484126,0.7128049532572428,0.26,0.022248697156707447,1.0,0.6541433334350586,0.020979190866152447,0.3398459355036418,0.017139603694279987,0.6126303474108378,0.6891267895698547,0.4416666626930237,0.3333333383003871,0.6822152733802795,0.7874789635340372,0.01956914861996969,0.3270633618036906,7.666666666666667,0.6822152733802795,0.6912322243054708,0.6126303474108378,0.8012953797976176,0.44074076414108276,0.4407407542069753,0.4495777090390523,0.44074074427286786,0.6541433334350586,0.019651372606555622,0.025653674577673275,0.01956914861996969,0.6891267895698547,0.01956914861996969,0.4425926407178243,0.7874789635340372,0.384119172890981,0.5010901788870493,0.4444444477558136,0.015180802283187708,0.0033357942158413465,0.0007595411822931772,0.0057735026918962545,0.0,0.004272243824199164,0.0025537749451108984,0.025660010434527467,0.0010281478111855145,0.019426948170573017,0.24570382460163434,0.05132002086905495,0.05471589611007999,0.012718275078649746,0.0,0.05132001226586767,0.0020908417295131664,0.00701871853461135,0.05654962332596305,0.00701871853461135,0.04256242990069442,0.0025537749451108984,0.0,0.0016310347808797478,0.0,0.0030791847340195973,0.0017147242679691457,0.031921824684102845,0.01732847310169172,0.005094017284949593,0.0028885036435705195,0.03849001565179121,0.10000000149011622,0.002843184960631771,0.0008961770361802637,0.002278638600707009,0.12506768663588969,2.516611478423583,0.002843184960631771,0.004272243824199164,0.005094017284949593,0.0007595411822931772,0.051320055281812646,0.05132001226586767,0.1173714448365089,0.05132002086905495,0.0030791847340195973,0.0011393193003535048,0.0024294158735733763,0.002278638600707009,0.0028885036435705195,0.002278638600707009,0.025660010434527467,0.0008961770361802637,0.03493612756165656,0.036734536159897115,0.0,0.011353322858722632
classifier_adapter_bert_ms,0.6554582913716634,0.8613967299461365,0.42333333333333334,0.7555555502573649,0.8629219730695089,0.852307120958964,0.6462962826093038,0.7969611684481303,0.6202407280604044,0.5777777830759684,0.6097639203071594,0.624691387017568,0.6175963878631592,0.7837837934494019,0.6481481989224752,0.7133690714836121,0.8644528985023499,0.6579323410987854,0.8644528985023499,0.6698380907376608,0.852307120958964,0.33,0.028204585735996563,1.0,0.8044116695721945,0.6650623877843221,0.7523785829544067,0.6658040086428324,0.8537123203277588,0.8531586329142252,0.6472222407658895,0.6111111243565878,0.8276645541191101,0.8526063958803812,0.027073876311381657,0.7013912995656332,29.333333333333332,0.8276645541191101,0.8629219730695089,0.8537123203277588,0.8613967299461365,0.6481481790542603,0.5759259263674418,0.7236626942952474,0.6481481393178304,0.8044116695721945,0.02869593786696593,0.027736665681004524,0.028778160611788433,0.8531586329142252,0.025571451832850773,0.6462963223457336,0.8526063958803812,0.6954494714736938,0.6352300047874451,0.644444465637207,0.6423189441363016,0.04111778172126818,0.0002136516082964159,0.025166114784235843,0.019244990619516757,0.0006232703156908324,0.004205853616624564,0.006414985402253007,0.05218787219556726,0.028495596903232452,0.06938886728516518,0.023974400768027992,0.020649045784430317,0.046183160699486636,0.0,0.012830005217263726,0.023810895957210372,0.0010810703235977176,0.038721571370226755,0.0010810703235977176,0.07009728994888212,0.004205853616624564,0.0,0.0005699027282767588,0.0,0.0007698133898837444,0.074830462785393,0.05257298210149857,0.013219860868009622,0.0015459076215876958,0.0008605590062791437,0.009622495309758367,0.05091751769361268,0.0023057365031154977,0.00022406146542392895,0.0010644770137673031,0.13196783453174435,4.932882862316248,0.0023057365031154977,0.0006232703156908324,0.0015459076215876958,0.0002136516082964159,0.012830039630021441,0.03255260242943758,0.07239772379580578,0.012830005217263726,0.0007698133898837444,0.00028483009393804546,0.000916830591462848,0.0005696612632747696,0.0008605590062791437,0.0014453548689261286,0.0064150198150107205,0.00022406146542392895,0.02672773364710941,0.012835543790024497,0.0,0.100780705643335
kenn_bottom_up_adapter_bert_ms,0.5382523238658905,0.8626712163289388,0.09333333333333334,0.799999992052714,0.8586131930351257,0.841196616490682,0.6907407442728678,0.5955945551395416,0.48866628607114154,0.7111111084620158,0.7246381640434265,0.7444445093472799,0.5718130171298981,0.7837837934494019,0.7370371023813883,0.627429723739624,0.8546244899431864,0.5601640343666077,0.8546244899431864,0.48466284076372784,0.841196616490682,0.33,0.03181127458810806,1.0,0.8097449938456217,0.4491504629453023,0.6134971380233765,0.5491427580515543,0.8430728316307068,0.8485526045163473,0.7138888835906982,0.700000007947286,0.8251128395398458,0.8541585803031921,0.03217435938616594,0.46782273054122925,44.333333333333336,0.8251128395398458,0.8586131930351257,0.8430728316307068,0.8626712163289388,0.7370370825131735,0.7129630049069723,0.58268075188001,0.7370370427767435,0.8097449938456217,0.03066929740210374,0.033053772523999214,0.03272487906118234,0.8485526045163473,0.03165597654879093,0.6907407840092977,0.8541585803031921,0.6479647755622864,0.716460645198822,0.644444465637207,0.43702301383018494,0.08258495918251624,0.001676506913338595,0.10214368964029708,0.03333333134651627,0.003293766068362448,0.010618177762197797,0.05940374292567612,0.1560547953569623,0.1099723872850356,0.18358568118185226,0.10908052803232236,0.08407078317664622,0.10317493520958397,0.0,0.11880755460157955,0.0685177277748337,0.007663179967347296,0.10052267021030403,0.007663179967347296,0.17696978596856652,0.010618177762197797,0.0,0.0031354584891304872,0.0,0.007128434249007583,0.14637997674308798,0.13272733942418846,0.23850824447996374,0.009918889530527667,0.00424814729422724,0.08910564086664534,0.1452966159538809,0.0028240964628730297,0.002074622664416645,0.004843238969573729,0.142722336891772,10.969655114602888,0.0028240964628730297,0.003293766068362448,0.009918889530527667,0.001676506913338595,0.11880753602043737,0.10097265281432045,0.12134391902690654,0.11880750164532328,0.007128434249007583,0.002637562506413015,0.0037327927744517765,0.005275123938603725,0.00424814729422724,0.004483245771005404,0.0594037773007898,0.002074622664416645,0.05086172538006202,0.07061749017737702,0.0,0.2514021187155268
kenn_hybrid_adapter_bert_ms,0.571138471364975,0.8626575072606405,0.12333333333333334,0.799999992052714,0.8594589432080587,0.8436921040217081,0.6907407442728678,0.6449593702952067,0.5285933713118235,0.7222222089767456,0.7236408392588297,0.7469136118888855,0.5510118107000986,0.7837837934494019,0.7370370825131735,0.6475385824839274,0.8563292225201925,0.5765987038612366,0.8563292225201925,0.5262544254461924,0.8436921040217081,0.33,0.031863596911231674,1.0,0.8097449938456217,0.5179866055647532,0.6446908414363861,0.5203135311603546,0.8446695605913798,0.8493516246477762,0.7138888637224833,0.6888888875643412,0.826278825600942,0.8541585803031921,0.03213007810215155,0.5538326303164164,46.333333333333336,0.826278825600942,0.8594589432080587,0.8446695605913798,0.8626575072606405,0.7370370825131735,0.7111111481984457,0.6366937458515167,0.7370370427767435,0.8097449938456217,0.03066929740210374,0.033163403471310936,0.03272487906118234,0.8493516246477762,0.031573754424850144,0.6907407840092977,0.8541585803031921,0.6594710350036621,0.7176390488942465,0.644444465637207,0.5046171049276987,0.11934203398150314,0.0016635142323766707,0.1537313674346694,0.03333333134651627,0.004171491796997071,0.014712796171095206,0.05940374292567612,0.22126725882769355,0.11143628771224394,0.19245007825895602,0.10845351330884004,0.0772986626597611,0.10391087192928221,0.0,0.11880753602043737,0.0910077321120984,0.00947223676474559,0.1214798591512121,0.00947223676474559,0.2452132147154965,0.014712796171095206,0.0,0.002986162804049396,0.0,0.007128434249007583,0.242499377639896,0.18390993046258666,0.2517284274884185,0.011733821916054816,0.005132337436241606,0.08910562228549905,0.13471503757489034,0.003907108005077639,0.002074622664416645,0.004815399500632988,0.21186218119145972,15.14375558880073,0.003907108005077639,0.004171491796997071,0.011733821916054816,0.0016635142323766707,0.11880753602043737,0.10015420025941618,0.15459358877080268,0.11880750164532328,0.007128434249007583,0.002637562506413015,0.003432105530607592,0.005275123938603725,0.005132337436241606,0.00444690738310719,0.0594037773007898,0.002074622664416645,0.06258609925271538,0.06725498834304214,0.0,0.2937289682543346
kenn_top_down_adapter_bert_ms,0.5471869806448618,0.8623833854993185,0.18666666666666668,0.7666666706403097,0.8589516878128052,0.8407914241154989,0.6814814805984497,0.600518137216568,0.5098964472611746,0.6888888875643412,0.7119572162628174,0.7308642466862997,0.6071561376253763,0.7837837934494019,0.7185185551643372,0.6350075006484985,0.855564534664154,0.5713593463102976,0.855564534664154,0.4779091576735179,0.8407914241154989,0.33,0.03131134745975336,1.0,0.8086339036623637,0.4483000536759694,0.608431855837504,0.5435592333475748,0.844587504863739,0.8491774201393127,0.699999988079071,0.700000007947286,0.8243959744771322,0.8538352052370707,0.031611318389574684,0.48832442859808606,47.333333333333336,0.8243959744771322,0.8589516878128052,0.844587504863739,0.8623833854993185,0.7185185551643372,0.7055556178092957,0.5690476298332214,0.7185185154279073,0.8086339036623637,0.030258181194464367,0.03245080324510733,0.0319026472667853,0.8491774201393127,0.031327083706855774,0.6814815203348795,0.8538352052370707,0.6501195629437765,0.7052011887232462,0.644444465637207,0.40184377630551654,0.11029199191549742,0.0007614048884508313,0.05773502691896258,0.03333333134651628,0.003870795329696041,0.006242701128066798,0.026254543355682572,0.11914605650200706,0.05462316728863863,0.06938885774078345,0.056344638966719165,0.049908447979118864,0.04335915663916108,0.0,0.05250904256738403,0.07914414268983642,0.007145428484714641,0.09178532956425904,0.007145428484714641,0.10404461699027669,0.006242701128066798,0.0,0.001652277217954197,0.0,0.0031505403258762503,0.12327666019532389,0.07803348373717399,0.03109566774755434,0.007220926212770321,0.00397724421547413,0.03938179296153076,0.08819169384796602,0.004442495470337172,0.0009169374953733595,0.0025017347295886445,0.2540735102725083,13.428824718989123,0.004442495470337172,0.003870795329696041,0.007220926212770321,0.0007614048884508313,0.05250904256738403,0.06009252180878,0.21692814937179203,0.05250907620088394,0.0031505403258762503,0.0011657163484173852,0.0022159648556004117,0.0023314347989284723,0.00397724421547413,0.002668145049790085,0.026254566478708444,0.0009169374953733595,0.06022368567632808,0.037212958500652926,0.0,0.04472522096503817
