name,instance,run_id,test_incremental_only/micro/f1,test/macro_example/recall,threshold_incremental,test_incremental_location-geography-body_of_water/macro_types/recall,test/macro_example/f1,test/macro_types/precision,test_incremental/micro/recall,test_incremental/micro/precision,test_incremental_location-geography-island/macro_types/f1,test_incremental_location-geography-mountain/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/precision,test_incremental_location-geography-mountain/macro_types/f1,test_incremental_location-geography/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental/micro/f1,test/macro_example/precision,test_incremental_only/macro_types/f1,test_pretraining/macro_example/precision,test_incremental_only/macro_types/precision,test_pretraining/macro_types/precision,threshold_pretraining,test_incremental/macro_example/f1,test_incremental_location-geography/macro_types/precision,test/macro_types/recall,test_incremental_only/micro/precision,test_incremental/macro_types/precision,test_incremental_location-geography-mountain/macro_types/precision,test/micro/precision,test_pretraining/micro/f1,test_incremental/macro_types/recall,test_incremental_location-geography-island/macro_types/recall,test/macro_types/f1,test_pretraining/micro/recall,test_incremental_only/macro_example/f1,test_incremental_location-geography-body_of_water/macro_types/precision,epoch,test_pretraining/macro_types/f1,test_pretraining/macro_example/f1,test_pretraining/micro/precision,test_pretraining/macro_example/recall,test_incremental_only/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test_incremental_location-geography-body_of_water/macro_types/f1,test_incremental_only/micro/recall,test_pretraining/macro_types/recall,test_incremental/macro_example/recall,test_incremental/macro_example/precision,test_incremental_only/macro_example/recall,test/micro/f1,test_incremental_only/macro_example/precision,test_incremental/macro_example_exclusive/recall,test/micro/recall,test_incremental/macro_types/f1,test_incremental/macro_example_exclusive/f1,test_incremental_location-geography/macro_types/recall,test_incremental_location-geography-island/macro_types/precision
kenn_hybrid_adapter_bert_ms,0,303onxoq,0.6792453527450562,0.86073899269104,0.3,0.7666666507720947,0.8629220724105835,0.8595871329307556,0.6222222447395325,0.8818897604942322,0.6530612111091614,0.5,0.6000000238418579,0.6611111164093018,0.6122449040412903,0.7837837934494019,0.6000000238418579,0.7296417355537415,0.8651161789894104,0.6824506521224976,0.8651161789894104,0.7911714911460876,0.8595871329307556,0.33,0.028464214876294136,1,0.8015227913856506,0.782608687877655,0.8433786630630493,0.7894737124443054,0.8560842275619507,0.853919506072998,0.6111111044883728,0.5333333611488342,0.8295401334762573,0.8517656326293945,0.026640353724360463,0.7419354915618896,57,0.8295401334762573,0.8629220724105835,0.8560842275619507,0.86073899269104,0.6000000238418579,0.6000000238418579,0.7540983557701111,0.6000000238418579,0.8015227913856506,0.02762703411281109,0.02935372292995453,0.026640353724360463,0.853919506072998,0.026640353724360463,0.6222222447395325,0.8517656326293945,0.7086995244026184,0.64107745885849,0.644444465637207,0.8421052694320679
kenn_top_down_adapter_bert_ms,0,2kgta6e0,0.4221453368663788,0.8618078231811523,0.12,0.7666666507720947,0.8544998168945312,0.8337550759315491,0.6611111164093018,0.4630350172519684,0.45000001788139343,0.6666666865348816,0.6664814949035645,0.6870371103286743,0.5797101855278015,0.7837837934494019,0.6777778267860413,0.5446224212646484,0.8473147749900818,0.4707787930965424,0.8473147749900818,0.3606371581554413,0.8337550759315491,0.33,0.029918218031525612,1,0.8061894774436951,0.3065326511859894,0.520477831363678,0.5128205418586731,0.8362495303153992,0.8446024656295776,0.6694444417953491,0.6000000238418579,0.8197405934333801,0.8531237840652466,0.02959217131137848,0.2090909034013748,57,0.8197405934333801,0.8544998168945312,0.8362495303153992,0.8618078231811523,0.6777778267860413,0.6555556058883667,0.3285714387893677,0.6777777671813965,0.8061894774436951,0.02935372479259968,0.030504850670695305,0.030093733221292496,0.8446024656295776,0.029107052832841873,0.6611111164093018,0.8531237840652466,0.585636556148529,0.6738248467445374,0.644444465637207,0.36000001430511475
kenn_bottom_up_adapter_bert_ms,0,1fej60h4,0.6000000238418579,0.86073899269104,0.21,0.7666666507720947,0.8611801266670227,0.851839542388916,0.6222222447395325,0.7567567825317383,0.6153846383094788,0.5,0.6000000238418579,0.6500000953674316,0.6122449040412903,0.7837837934494019,0.6000000238418579,0.6829268932342529,0.8616216778755188,0.6294972896575928,0.8616216778755188,0.6620447635650635,0.851839542388916,0.33,0.028230246156454086,1,0.8015227913856506,0.6000000238418579,0.7465335726737976,0.7894737124443054,0.8525927066802979,0.8521789908409119,0.6111111044883728,0.5333333611488342,0.8259155750274658,0.8517656326293945,0.026640353724360463,0.4693877696990967,48,0.8259155750274658,0.8611801266670227,0.8525927066802979,0.86073899269104,0.6000000238418579,0.6000000238418579,0.5822784900665283,0.6000000238418579,0.8015227913856506,0.02762703411281109,0.028860384598374367,0.026640353724360463,0.8521789908409119,0.026640353724360463,0.6222222447395325,0.8517656326293945,0.6720682978630066,0.6358079314231873,0.644444465637207,0.7272727489471436
box_adapter_bert_ms,2,na1pzjg2,0.0439024418592453,0.8021724224090576,0.97,0.7666666507720947,0.6862990856170654,0.715749979019165,0.4722222089767456,0.04250000044703483,0.05035971105098725,0.5,0.5,0.638888955116272,0.017720023170113564,0.6153846383094788,0.5,0.07798165082931519,0.5996761918067932,0.25247931480407715,0.5996761918067932,0.16887781023979187,0.715749979019165,0.26,0.02411198616027832,1,0.6576988697052002,0.022959183901548386,0.3766583502292633,0.00901984330266714,0.6067482829093933,0.6857914328575134,0.4861111044883728,0.23333333432674408,0.6854975819587708,0.7885137796401978,0.022200293838977817,0.4693877696990967,5,0.6854975819587708,0.6862990856170654,0.6067482829093933,0.8021724224090576,0.5000000596046448,0.5,0.5822784900665283,0.5,0.6576988697052002,0.020966945216059685,0.028367042541503903,0.022200293838977817,0.6857914328575134,0.022200293838977817,0.4722222685813904,0.7885137796401978,0.42444202303886414,0.5430555939674377,0.4444444477558136,0.02822580561041832
box_adapter_bert_ms,1,3ad036wz,0.038124676793813705,0.8008568286895752,0.96,0.7666666507720947,0.6936855912208557,0.7112025022506714,0.4277777671813965,0.04071919620037079,0.014806377701461315,0.03333333507180214,0.41111111640930176,0.5611111521720886,0.035087719559669495,0.6153846383094788,0.41111111640930176,0.0743602067232132,0.6118123531341553,0.1518026441335678,0.6118123531341553,0.09308759868144988,0.7112025022506714,0.26,0.02155451849102974,1,0.6523655652999878,0.019989194348454475,0.3198156952857971,0.03703703731298447,0.6155713796615601,0.6907944679260254,0.4194444417953491,0.4333333373069763,0.6805146336555481,0.786961555480957,0.018253576010465625,0.2346938848495483,8,0.6805146336555481,0.6936855912208557,0.6155713796615601,0.8008568286895752,0.41111111640930176,0.41111111640930176,0.359375,0.41111111640930176,0.6523655652999878,0.01899358630180359,0.024913664907217022,0.018253576010465625,0.6907944679260254,0.018253576010465625,0.42777782678604126,0.786961555480957,0.3629166781902313,0.4854557514190674,0.4444444477558136,0.0075318654999136925
box_adapter_bert_ms,0,ufksx05r,0.038124676793813705,0.80085688829422,0.96,0.7666666507720947,0.6937119960784912,0.7114623785018921,0.4277777671813965,0.04071919620037079,0.01901140809059143,0.13333334028720856,0.41111111640930176,0.5333333611488342,0.010309278964996338,0.6153846383094788,0.41111114621162415,0.0743602067232132,0.6118534803390503,0.1575121134519577,0.6118534803390503,0.097418375313282,0.7114623785018921,0.26,0.02107958681881428,1,0.6523655652999878,0.019989194348454475,0.32306376099586487,0.005361930467188358,0.6155713796615601,0.6907944679260254,0.4194444417953491,0.3333333432674408,0.6806336045265198,0.786961555480957,0.018253576010465625,0.27710843086242676,10,0.6806336045265198,0.6937119960784912,0.6155713796615601,0.80085688829422,0.41111111640930176,0.41111114621162415,0.40707963705062866,0.41111111640930176,0.6523655652999878,0.01899358630180359,0.023680316284298897,0.018253576010465625,0.6907944679260254,0.018253576010465625,0.42777782678604126,0.786961555480957,0.36499881744384766,0.47475919127464294,0.4444444477558136,0.00978473573923111
classifier_adapter_bert_ms,2,1m5v3g5s,0.616216242313385,0.8611500263214111,0.45,0.7333333492279053,0.8623298406600952,0.8486278057098389,0.6388888955116272,0.7516340017318726,0.5882353782653809,0.5,0.5823065042495728,0.609259307384491,0.5660377144813538,0.7837837934494019,0.6333333849906921,0.6906906962394714,0.8635128140449524,0.6206767559051514,0.8635128140449524,0.6085162162780762,0.8486278057098389,0.33,0.027693644165992737,1,0.8035227656364441,0.6000000238418579,0.7063871622085571,0.6521739363670349,0.8523476719856262,0.8523476719856262,0.6361111402511597,0.6666666865348816,0.8254595398902893,0.8523476719856262,0.025854751467704773,0.6470588445663452,27,0.8254595398902893,0.8623298406600952,0.8523476719856262,0.8611500263214111,0.6333333253860474,0.5388888716697693,0.6875,0.6333333253860474,0.8035227656364441,0.028367044404149055,0.027051471173763275,0.02812037244439125,0.8523476719856262,0.023926984518766403,0.6388888955116272,0.8523476719856262,0.6694097518920898,0.6237223744392395,0.644444465637207,0.5263158082962036
classifier_adapter_bert_ms,1,15npzmgc,0.6982249021530151,0.8615201115608215,0.4,0.7666666507720947,0.8635722994804382,0.8568919897079468,0.6499999761581421,0.8540145754814148,0.6296296119689941,0.6333333253860474,0.626548707485199,0.6481481790542603,0.6551724076271057,0.7837837934494019,0.6555556058883667,0.738170325756073,0.8656342029571533,0.6979698538780212,0.8656342029571533,0.746252179145813,0.8568919897079468,0.33,0.02881921268999577,1,0.8048561215400696,0.746835470199585,0.8096891641616821,0.6785714030265808,0.8553912043571472,0.8540614247322083,0.6527777910232544,0.5666666626930237,0.830059289932251,0.8527357578277588,0.027819130569696423,0.8518518805503845,26,0.830059289932251,0.8635722994804382,0.8553912043571472,0.8615201115608215,0.6555556058883667,0.6000000238418579,0.8070175051689148,0.6555555462837219,0.8048561215400696,0.028860384598374367,0.028778161853551865,0.029107054695487022,0.8540614247322083,0.026640355587005615,0.6500000357627869,0.8527357578277588,0.7228158116340637,0.6490728259086609,0.644444465637207,0.7083333134651184
classifier_adapter_bert_ms,0,35d7rtc3,0.6519337296485901,0.8615200519561768,0.42,0.7666666507720947,0.8628637790679932,0.8514015674591064,0.6499999761581421,0.7852349281311035,0.6428571939468384,0.6000000238418579,0.6204365491867065,0.6166666746139526,0.6315790414810181,0.7837837934494019,0.6555556058883667,0.7112461924552917,0.8642116785049438,0.6551504135131836,0.8642116785049438,0.654745876789093,0.8514015674591064,0.33,0.02810090035200119,1,0.8048561215400696,0.6483516693115234,0.741059422492981,0.6666666865348816,0.8533980846405029,0.8530668020248413,0.6527777910232544,0.6000000238418579,0.82747483253479,0.8527357578277588,0.027547746896743774,0.6052631735801697,35,0.82747483253479,0.8628637790679932,0.8533980846405029,0.8615200519561768,0.6555556058883667,0.5888888835906982,0.6764705777168274,0.6555555462837219,0.8048561215400696,0.028860384598374367,0.027380364015698433,0.029107054695487022,0.8530668020248413,0.026147015392780304,0.6500000357627869,0.8527357578277588,0.694122850894928,0.6328948140144348,0.644444465637207,0.692307710647583
