name,test/macro_example/recall/mean,test_incremental/micro/precision/mean,test_incremental_only/macro_types/f1/mean,test/macro_types/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental_medicine/macro_types/precision/mean,epoch/mean,test_incremental/micro/f1/mean,test_pretraining/micro/precision/mean,test_incremental/macro_types/recall/mean,test_incremental/macro_example/precision/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_medicine-symptom/macro_types/precision/mean,test_incremental_medicine-medical_treatment/macro_types/f1/mean,test/macro_example/f1/mean,test_pretraining/macro_types/f1/mean,test_pretraining/macro_types/recall/mean,test_pretraining/macro_types/precision/mean,test/macro_types/recall/mean,test_incremental_medicine/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_pretraining/macro_example/precision/mean,test_incremental_only/macro_example/recall/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_example/f1/mean,test_incremental_only/macro_types/recall/mean,test_incremental_medicine/macro_types/recall/mean,test_incremental_medicine-drug/macro_types/recall/mean,test_incremental_medicine-drug/macro_types/precision/mean,test_pretraining/micro/recall/mean,test_incremental/macro_types/f1/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_medicine-drug/macro_types/f1/mean,test_incremental/macro_example/recall/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental/macro_example_exclusive/precision/mean,threshold_incremental/mean,threshold_pretraining/mean,test/micro/recall/mean,test_incremental_medicine-medical_treatment/macro_types/recall/mean,test/macro_example/precision/mean,test/micro/f1/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental_medicine-medical_treatment/macro_types/precision/mean,test_incremental_only/micro/f1/mean,test_incremental_only/micro/precision/mean,test_pretraining/micro/f1/mean,test_pretraining/macro_example/recall/mean,test_incremental/macro_types/precision/mean,test_incremental_only/macro_example/f1/mean,test_incremental_only/macro_example/precision/mean,test_incremental_medicine-symptom/macro_types/recall/mean,test_incremental/micro/recall/mean,test_incremental_only/macro_types/precision/mean,test_incremental_medicine-symptom/macro_types/f1/mean,test/micro/precision/mean,test/macro_types/precision/mean,test/macro_example/recall/std,test_incremental/micro/precision/std,test_incremental_only/macro_types/f1/std,test/macro_types/f1/std,test_pretraining/macro_example/f1/std,test_incremental_medicine/macro_types/precision/std,epoch/std,test_incremental/micro/f1/std,test_pretraining/micro/precision/std,test_incremental/macro_types/recall/std,test_incremental/macro_example/precision/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_medicine-symptom/macro_types/precision/std,test_incremental_medicine-medical_treatment/macro_types/f1/std,test/macro_example/f1/std,test_pretraining/macro_types/f1/std,test_pretraining/macro_types/recall/std,test_pretraining/macro_types/precision/std,test/macro_types/recall/std,test_incremental_medicine/macro_types/f1/std,test_incremental_only/macro_example_exclusive/recall/std,test_pretraining/macro_example/precision/std,test_incremental_only/macro_example/recall/std,test_incremental_only/micro/recall/std,test_incremental/macro_example/f1/std,test_incremental_only/macro_types/recall/std,test_incremental_medicine/macro_types/recall/std,test_incremental_medicine-drug/macro_types/recall/std,test_incremental_medicine-drug/macro_types/precision/std,test_pretraining/micro/recall/std,test_incremental/macro_types/f1/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_medicine-drug/macro_types/f1/std,test_incremental/macro_example/recall/std,test_incremental/macro_example_exclusive/recall/std,test_incremental/macro_example_exclusive/precision/std,threshold_incremental/std,threshold_pretraining/std,test/micro/recall/std,test_incremental_medicine-medical_treatment/macro_types/recall/std,test/macro_example/precision/std,test/micro/f1/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental_medicine-medical_treatment/macro_types/precision/std,test_incremental_only/micro/f1/std,test_incremental_only/micro/precision/std,test_pretraining/micro/f1/std,test_pretraining/macro_example/recall/std,test_incremental/macro_types/precision/std,test_incremental_only/macro_example/f1/std,test_incremental_only/macro_example/precision/std,test_incremental_medicine-symptom/macro_types/recall/std,test_incremental/micro/recall/std,test_incremental_only/macro_types/precision/std,test_incremental_medicine-symptom/macro_types/f1/std,test/micro/precision/std,test/macro_types/precision/std
box_adapter_bert_ms,0.9044846693674723,0.45710381865501404,0.5114149550596873,0.8373773296674093,0.9044044216473898,0.9102563858032228,47.666666666666664,0.588892380396525,0.8722353378931681,0.8267668883005778,0.022326607257127762,0.7589607040087382,0.35104896624883014,0.5495063265164694,0.9044044216473898,0.8373773296674093,0.8154430588086446,0.8605247735977173,0.8154430588086446,0.9044586420059204,0.8164557019869486,0.9043261607487997,0.022442589824398358,0.7777777910232544,0.022731769209106762,0.8027778267860413,0.8987341523170471,0.8333333333333334,0.2853405276934306,0.8781802455584208,0.630102276802063,0.8269760211308798,0.40504491329193115,0.02319647433857123,0.8438819249471029,0.8122363289197286,0.34,0.25,0.8781802455584208,0.6527777910232544,0.9043261607487997,0.8751944700876871,0.7137834231058756,0.4895171622435252,0.4547291398048401,0.32170135776201886,0.8751944700876871,0.9044846693674723,0.5090407729148865,0.020862176393469174,0.01962035211424033,0.9222222169240316,0.8288769920667013,0.3753022452195485,0.49551721413930255,0.8722353378931681,0.8605247735977173,0.0007462180699679543,0.023202902055449982,0.03670868199678709,0.002162040989163357,0.0013024254565130072,0.0,14.047538337136986,0.021395527520753847,0.003462234911151455,0.03352804683411277,0.0009039930337742525,0.029633846513915332,0.16273886818250485,0.0382733973626368,0.0013024254565130072,0.002162040989163357,0.0025790846567616344,0.0017373307676629716,0.0025790846567616344,0.0,0.05023575872199473,0.002374305243998522,0.0013808718163212874,0.05632186620744604,8.369658305207731e-05,0.044704095778366225,0.0,0.09999999403953704,0.14197622739208993,0.0013115199600892981,0.026785313955370295,0.0030449342603184612,0.13830999487902798,0.0008118763299925029,0.029535864080770715,0.032887050886761866,0.02645751311064589,0.0,0.0013115199600892981,0.1463285347171183,0.002374305243998522,0.001642372449862883,0.06889186500599608,0.058296554872461,0.027876990924549892,0.02285706706027892,0.001642372449862883,0.0007462180699679543,0.0225849704586281,0.0008145703858864079,0.0018936883853197914,0.019245025032274512,0.03252815062418832,0.030113264981328998,0.16309794330415214,0.003462234911151455,0.0017373307676629716
classifier_adapter_bert_ms,0.9135216474533081,0.6518557469050089,0.658563494682312,0.8720471064249674,0.916963001092275,0.9333333373069764,17.333333333333332,0.7412136793136597,0.8994032343228658,0.8652689854303995,0.02228794681529204,0.7930562496185303,0.5249275167783102,0.6315139730771383,0.916963001092275,0.8720471064249674,0.8613553643226624,0.8830134669939677,0.8613553643226624,0.9090908765792848,0.8628691832224528,0.9204322497049967,0.023718394339084625,0.8425925970077515,0.023042339210708935,0.8583333889643351,0.8860759735107422,0.899999996026357,0.5366013248761495,0.8975851734479269,0.7319201429684957,0.8382744590441386,0.6723251144091288,0.02385370930035909,0.8677918513615926,0.8108298778533936,0.19000000000000003,0.375,0.8975851734479269,0.7638888955116272,0.9204322497049967,0.8984906276067098,0.7341772317886353,0.5449861784776052,0.6491342981656393,0.5296266376972198,0.8984906276067098,0.9135216474533081,0.6349620819091797,0.021799389272928238,0.02018093317747116,0.9111111164093018,0.8609625697135925,0.5355050166447958,0.662563701470693,0.8994032343228658,0.8830134669939677,0.0008462742946737079,0.03908350509189699,0.03257913231345976,0.001882021845591185,0.0006904077874648958,0.0,4.041451884327381,0.027092506562339844,0.0031084983949663135,0.04059826182906393,0.0003193900335806266,0.028978076282572377,0.07672016723264116,0.10802839146315989,0.0006904077874648958,0.001882021845591185,0.0031229638048098276,0.002139822193395926,0.0031229638048098276,0.0,0.05270038221575094,0.0016796340180077589,0.001448619713074559,0.06071700536225139,0.0005703513785349991,0.054131037182701416,0.0,0.033333331346516365,0.025270026767636206,0.001413840882486193,0.023517985101248612,0.02074926086421776,0.029104684334025306,0.0008608000413095162,0.031315699940853314,0.011619342412405202,0.10000000000000002,0.0,0.001413840882486193,0.09394270171511238,0.0016796340180077589,0.0014985426554413109,0.011163516957179449,0.12585864444536118,0.03881770396421644,0.044087727904934065,0.0014985426554413109,0.0008462742946737079,0.027817870903063063,0.000796544490087599,0.0003068595040544269,0.03849001565179132,0.03506650251400303,0.03709047625584719,0.051938272068243974,0.0031084983949663135,0.002139822193395926
kenn_bottom_up_adapter_bert_ms,0.9146466851234436,0.10951653619607289,0.14007187883059183,0.8609978159268697,0.8345710039138794,0.9333333373069764,15.666666666666666,0.19468750059604645,0.6972503860791525,0.9194356600443522,0.02267455371717612,0.8335226575533549,0.09557877977689107,0.13252089669307074,0.8345710039138794,0.8609978159268697,0.865522027015686,0.856522778669993,0.865522027015686,0.9090908765792848,0.9324894746144613,0.767793079217275,0.025632104525963467,0.9259259303410848,0.023782283067703247,0.9305555820465088,0.8860759735107422,0.9555555582046509,0.061473775655031204,0.8995256622632345,0.44131728013356525,0.8651933868726095,0.11516065895557404,0.025013531868656475,0.9099859396616617,0.8248945474624634,0.02,0.375,0.8995256622632345,0.9027777711550394,0.767793079217275,0.7849931915601095,0.7538678050041199,0.07194691275556882,0.12612963716189066,0.06789398565888405,0.7849931915601095,0.9146466851234436,0.290583203236262,0.02291172246138255,0.02072218433022499,0.9333333373069764,0.9090908964474996,0.07633316020170848,0.1679119418064753,0.6972503860791525,0.856522778669993,0.000711614581945745,0.028808773677462367,0.05462018848118981,0.001919785832683334,0.01896629771916159,0.0,3.055050463303893,0.045906954134804986,0.046926685180094685,0.033866173925686464,0.00010044384965679158,0.01885857347644188,0.07301410305124208,0.05042709764776803,0.01896629771916159,0.001919785832683334,0.0026050857186610916,0.0018550310381981905,0.0026050857186610916,0.0,0.040195271034397816,0.03210794511078507,0.0011048807330792019,0.0563218858053311,0.00027437298513594704,0.045154883900877116,0.0,0.03849001565179109,0.01626307762153157,0.0013115052617751388,0.02986341157449992,0.009981617962253275,0.02827707960618059,0.0007204298123633388,0.026209052399294344,0.003654118677014137,0.01,0.0,0.0013115052617751388,0.11474106629573175,0.03210794511078507,0.029884942010257855,0.0043917374908788555,0.029365244612569577,0.0339546007519434,0.01952273238547023,0.029884942010257855,0.000711614581945745,0.024115443652677145,0.0005183813812743272,0.00012071912964317683,0.0,0.032528150624188325,0.03215393189540911,0.11602250846068977,0.046926685180094685,0.0018550310381981905
kenn_horizontal_adapter_bert_ms,0.9141054153442383,0.3541242182254791,0.40436535080273944,0.8655341267585754,0.9005049665768942,0.9333333373069764,15.666666666666666,0.4991116722424825,0.854079027970632,0.8954773346583048,0.023273796464006107,0.8370284040768942,0.3349829614162445,0.35693321625391644,0.9005049665768942,0.8655341267585754,0.8636790712674459,0.8674138387044271,0.8636790712674459,0.9090908765792848,0.8987341721852621,0.8875183661778768,0.024704245229562122,0.8888888955116272,0.02383989281952381,0.8986111481984457,0.8860759735107422,0.9222222169240316,0.23108432938655218,0.8986632227897644,0.5807489156723022,0.8672892451286316,0.3582246055205663,0.024472281336784363,0.8902953465779623,0.846694827079773,0.04666666666666666,0.375,0.8986632227897644,0.8402777711550394,0.8875183661778768,0.8756107091903687,0.7855133612950643,0.22926654915014902,0.3793703416983287,0.2461126297712326,0.8756107091903687,0.9141054153442383,0.43216679493586224,0.023008088891704876,0.021592052032550175,0.9333333373069764,0.8877005378405253,0.2651112874348958,0.48804935812950134,0.854079027970632,0.8674138387044271,0.0007021139169147286,0.1021841010402491,0.08644163238760931,0.0013021029558368325,0.011913624865371088,0.0,1.5275252316519468,0.1046298760146241,0.030055659743202033,0.03347948618471414,0.0009864177421900781,0.013090203241791951,0.09516853397454444,0.03886759593007128,0.011913624865371088,0.0013021029558368325,0.0025753542211193986,0.004278485603675426,0.0025753542211193986,0.0,0.03952534631421089,0.02350310703161465,0.0010864633680617178,0.05632186620744604,0.0003555483635204333,0.04463932294917796,0.0,0.0192450250322745,0.11796641965779346,0.001311485663766622,0.04564491147090021,0.01293469276115537,0.16098808593949235,0.0007126077121231221,0.025924472336231942,0.03588561851987302,0.02081665999466132,0.0,0.001311485663766622,0.11474106629573175,0.02350310703161465,0.01549175135919721,0.04304691404537284,0.03699164483488561,0.09567038749288946,0.0785290878115734,0.01549175135919721,0.0007021139169147286,0.05562040744289661,0.0003598242823490701,0.0011832673470493376,0.0,0.03252817022206739,0.0741605450986955,0.0993138382146956,0.030055659743202033,0.004278485603675426
kenn_hybrid_adapter_bert_ms,0.9139604369799296,0.27403364330530167,0.2959734797477722,0.8633487820625305,0.8707526326179504,0.9333333373069764,14.333333333333334,0.37903014818827313,0.7851790388425192,0.886796772480011,0.02294517991443475,0.8232533931732178,0.22779674952228865,0.2798687567313512,0.8707526326179504,0.8633487820625305,0.8630113403002421,0.8637551466623942,0.8630113403002421,0.9090908765792848,0.8924050529797872,0.833903988202413,0.024530272309978802,0.8734567960103353,0.02360907259086768,0.8870370586713155,0.8860759735107422,0.9222222169240316,0.1758299544453621,0.8983038862546285,0.5240761538346609,0.8588921030362447,0.2807842791080475,0.02431763770679633,0.8846694827079773,0.8347398638725281,0.05666666666666667,0.375,0.8983038862546285,0.805555542310079,0.833903988202413,0.8354755441347758,0.7644163171450297,0.20145405953129134,0.28721363345781964,0.19508705536524454,0.8354755441347758,0.9139604369799296,0.38460352023442584,0.022629443556070328,0.021012139196197193,0.9333333373069764,0.8787878553072611,0.20169360314806303,0.31975643585125607,0.7851790388425192,0.8637551466623942,0.000734288637005326,0.2412111400713738,0.24243778465953467,0.004944256343730237,0.04367851461149616,0.0,5.033222956847166,0.2572562621089523,0.10410571826237915,0.03320834983076531,0.0001771662301942061,0.02350776826370028,0.26127494843675836,0.23423841580029725,0.04367851461149616,0.004944256343730237,0.0025544938178176766,0.011497981836957554,0.0025544938178176766,0.0,0.04150280555808294,0.0800846149043676,0.0011408205597458585,0.056575007375369454,0.00042199383120313677,0.044277708784364676,0.0,0.01924502503227456,0.12854256860893598,0.0013174002243462556,0.13271088670745942,0.0153520657769987,0.17463642478588037,0.0007343001105445002,0.02671366088937577,0.006445292037339928,0.06350852961085884,0.0,0.0013174002243462556,0.11846335904538385,0.0800846149043676,0.05915881857593215,0.014818059664053094,0.210009623289052,0.23374920651508993,0.19176755339889273,0.05915881857593215,0.000734288637005326,0.14947371181122546,0.0006461772644045238,0.00040731674179710504,0.0,0.03267434283543621,0.19929831306068088,0.30992084664844083,0.10410571826237915,0.011497981836957554
kenn_top_down_adapter_bert_ms,0.9146466652552286,0.06012091785669327,0.07055475562810898,0.8598806063334147,0.7761851946512858,0.9333333373069764,16.333333333333332,0.11246744046608607,0.5737909475962321,0.9204773306846619,0.022983839735388756,0.8440227309862772,0.037434106692671776,0.07868819187084834,0.7761851946512858,0.8598806063334147,0.8656021555264791,0.8542377750078837,0.8656021555264791,0.9090908765792848,0.9324894746144613,0.6750209728876749,0.02563210390508175,0.9259259303410848,0.023936354865630467,0.9319444894790649,0.8860759735107422,0.9666666587193807,0.031548259779810905,0.8995256622632345,0.40637605388959247,0.8707984884579977,0.060876996566851936,0.025013532489538193,0.9099859396616617,0.8361463149388632,0.05333333333333334,0.375,0.8995256622632345,0.8958333333333334,0.6750209728876749,0.6995348135630289,0.7728551427523295,0.04119720309972763,0.06956367194652557,0.036208738262454666,0.6995348135630289,0.9146466652552286,0.26087822516759235,0.023200346156954765,0.021244104951620102,0.9333333373069764,0.9090908964474996,0.036726524432500206,0.07183786233266194,0.5737909475962321,0.8542377750078837,0.000718645738048655,0.0139283015187276,0.013916526592984577,0.001095690012216371,0.029683377401696555,0.0,2.309401076758503,0.02402755601026158,0.057106905254144816,0.03429598770693566,0.0010149844171894254,0.015545597873563107,0.010594015576229085,0.004570098288746589,0.029683377401696555,0.001095690012216371,0.002638146633915719,0.00043944780742853813,0.002638146633915719,0.0,0.04069050950093659,0.04575524441367016,0.0011184932485007095,0.0563218858053311,0.00034472201579636335,0.04572798481615473,0.0,0.033333331346516226,0.012365119413802406,0.0013115052617751388,0.003858052359846364,0.012540920161242393,0.022944383525006374,0.0007250832894260394,0.026378327275867187,0.036924854151143265,0.025166114784235832,0.0,0.0013115052617751388,0.11023965673472327,0.04575524441367016,0.04151275566436796,0.04114372240080693,0.0027547230289559086,0.01396930281148006,0.007679237509930056,0.04151275566436796,0.000718645738048655,0.005712567065700776,0.00042731520026147846,0.0011309525415949947,0.0,0.032528150624188325,0.007616745385827819,0.019700943052810675,0.057106905254144816,0.00043944780742853813
