name,instance,run_id,test_incremental/macro_types/recall,test_incremental_only/macro_example/f1,test_incremental/macro_example_exclusive/f1,test_incremental_medicine-symptom/macro_types/f1,test/macro_types/f1,test/macro_example/recall,test_pretraining/micro/f1,test_incremental_only/macro_example_exclusive/f1,epoch,test/micro/recall,test/macro_types/recall,test_incremental_only/macro_types/f1,test_pretraining/macro_example/precision,test_incremental_medicine/macro_types/precision,threshold_pretraining,test_incremental/macro_types/f1,test_pretraining/micro/precision,test_incremental/macro_example/f1,test/macro_types/precision,test_pretraining/macro_example/f1,test_incremental_only/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test/macro_example/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental_only/micro/recall,test_incremental/macro_example_exclusive/recall,test_incremental_medicine-symptom/macro_types/recall,test_incremental/micro/f1,test_incremental/micro/precision,test_incremental_only/macro_example/precision,test_pretraining/macro_types/precision,test_incremental_only/macro_example/recall,test_incremental_medicine/macro_types/recall,test_incremental_medicine-drug/macro_types/recall,test/macro_example/precision,test/micro/precision,test_incremental_only/micro/precision,test_incremental/micro/recall,test_incremental/macro_example/precision,test_incremental_only/macro_types/precision,test/micro/f1,test_incremental_medicine-medical_treatment/macro_types/precision,test_incremental_medicine-drug/macro_types/precision,test_incremental_medicine-medical_treatment/macro_types/f1,test_incremental_medicine-medical_treatment/macro_types/recall,test_incremental_only/micro/f1,threshold_incremental,test_pretraining/macro_types/f1,test_pretraining/macro_types/recall,test_incremental/macro_example/recall,test_incremental_medicine-drug/macro_types/f1,test_incremental/macro_example_exclusive/precision,test_incremental_medicine/macro_types/f1,test_pretraining/macro_example/recall,test_incremental/macro_types/precision,test_incremental_medicine-symptom/macro_types/precision,test_pretraining/micro/recall
kenn_horizontal_adapter_bert_ms,2,1ddoftc9,0.7152690291404724,0.01899123005568981,0.7875855565071106,0.7200000286102295,0.8603328466415405,0.910681962966919,0.8819082379341125,0.6908961534500122,24,0.8928417563438416,0.8498169183731079,0.43893465399742126,0.901380181312561,0.9333333373069764,0.375,0.5746569037437439,0.8712392449378967,0.021649008616805077,0.8711123466491699,0.9060072302818298,0.6583333611488342,0.6645569801330566,0.9060072302818298,0.7194092869758606,0.6388888955116272,0.7552742958068848,0.8999999761581421,0.4973165988922119,0.37365591526031494,0.019774995744228363,0.8711123466491699,0.018267223611474037,0.8860759735107422,0.5333333611488342,0.901380181312561,0.8712392449378967,0.23232322931289673,0.7433155179023743,0.022616561502218246,0.32921814918518066,0.8819082379341125,0.2888889014720917,0.09876543283462524,0.3768116235733032,0.5416666865348816,0.34074074029922485,0.13,0.8603328466415405,0.8498169183731079,0.02076084539294243,0.1666666716337204,0.8227849006652832,0.9090908765792848,0.910681962966919,0.480246901512146,0.6000000238418579,0.8928417563438416
kenn_horizontal_adapter_bert_ms,1,1mk4835p,0.8361023664474487,0.02061256393790245,0.8279932737350464,0.414814829826355,0.8625946640968323,0.912346363067627,0.8715798258781433,0.7498798966407776,51,0.8962914943695068,0.8591117858886719,0.37417829036712646,0.8800336122512817,0.9333333373069764,0.375,0.5548296570777893,0.8481942415237427,0.022759729996323586,0.8661059141159058,0.8958987593650818,0.8194445371627808,0.7594937086105347,0.8958987593650818,0.7405063509941101,0.7870370149612427,0.8206751346588135,0.9333333373069764,0.4384724199771881,0.29807692766189575,0.02035490609705448,0.8661059141159058,0.020876824855804443,0.8860759735107422,0.8999999761581421,0.8800336122512817,0.8481942415237427,0.1910112351179123,0.8288770318031311,0.022964511066675183,0.24244146049022677,0.8715798258781433,0.11450381577014924,0.3461538553237915,0.19354838132858276,0.625,0.30741408467292786,0.03,0.8625946640968323,0.8591117858886719,0.02255857177078724,0.5,0.8354430198669434,0.9090908765792848,0.912346363067627,0.41516441106796265,0.2666666805744171,0.8962914943695068
kenn_horizontal_adapter_bert_ms,0,3vb0ng7n,0.6058939695358276,0.015781207010149956,0.761250376701355,0.6419753432273865,0.8570238351821899,0.908710241317749,0.8931975960731506,0.5741164088249207,71,0.8889607787132263,0.8414034247398376,0.4270436465740204,0.9177975058555604,0.9333333373069764,0.375,0.5525524616241455,0.8974749445915222,0.020925112068653107,0.8732351064682007,0.9132311940193176,0.5125000476837158,0.5253164768218994,0.9132311940193176,0.6329114437103271,0.4722222089767456,0.6708861589431763,0.8666666746139526,0.6050000190734863,0.5680751204490662,0.017397355288267136,0.8732351064682007,0.01443980634212494,0.8860759735107422,0.4000000059604645,0.9177975058555604,0.8974749445915222,0.3695652186870575,0.6470588445663452,0.02418232336640358,0.3660131096839905,0.8931975960731506,0.2549019753932953,0.3333333432674408,0.2626262903213501,0.2708333432674408,0.414634108543396,0.37,0.8570238351821899,0.8414034247398376,0.01844119653105736,0.3636363744735718,0.8797467947006226,0.9090908765792848,0.908710241317749,0.5078431367874146,0.5098039507865906,0.8889607787132263
kenn_hybrid_adapter_bert_ms,2,kvyqsihl,0.8621439933776855,0.020763875916600227,0.811197817325592,0.0809248611330986,0.8575250506401062,0.9134481549263,0.6775742769241333,0.7553845643997192,25,0.8973695635795593,0.8611149787902832,0.06168265640735626,0.6449000835418701,0.9333333373069764,0.375,0.3963576853275299,0.5442657470703125,0.022298062220215797,0.8539649248123169,0.7560348510742188,0.8541667461395264,0.8607594966888428,0.7560348510742188,0.6729958057403564,0.8333333134651184,0.8649789094924927,0.9333333373069764,0.09267303347587584,0.048989590257406235,0.01849918812513351,0.8539649248123169,0.02366040274500847,0.8860759735107422,0.8999999761581421,0.6449000835418701,0.5442657470703125,0.02820432558655739,0.855614960193634,0.020992809906601902,0.031996626406908035,0.6775742769241333,0.036496348679065704,0.01719745248556137,0.06951340287923813,0.7291666865348816,0.05456198751926422,0.02,0.8575250506401062,0.8611149787902832,0.02377638779580593,0.03375000134110451,0.7637131214141846,0.9090908765792848,0.9134481549263,0.2573308050632477,0.04229607433080673,0.8973695635795593
kenn_top_down_adapter_bert_ms,2,3i7rut0y,0.7861023545265198,0.0198421161621809,0.8005648851394653,0.05970149487257004,0.8544312119483948,0.9120157957077026,0.6755084991455078,0.7218511700630188,47,0.8949978351593018,0.8552656173706055,0.049602724611759186,0.6564171314239502,0.9333333373069764,0.375,0.3823048174381256,0.5424725413322449,0.022005783393979073,0.8535985350608826,0.7633897066116333,0.7527778148651123,0.7594936490058899,0.7633897066116333,0.6877637505531311,0.7314814925193787,0.8080168962478638,0.9333333373069764,0.08617697656154633,0.04555181786417961,0.018905125558376312,0.8535985350608826,0.020876826718449593,0.8860759735107422,0.699999988079071,0.6564171314239502,0.5424725413322449,0.024718398228287697,0.7967914342880249,0.02180468663573265,0.02564631961286068,0.6755084991455078,0.02964426949620247,0.016457680612802505,0.056603774428367615,0.625,0.04782082140445709,0.03,0.8544312119483948,0.8552656173706055,0.02221062406897545,0.032159265130758286,0.7932490110397339,0.9090908765792848,0.9120157957077026,0.2525680661201477,0.03083700500428677,0.8949978351593018
kenn_bottom_up_adapter_bert_ms,2,1ptb68dm,0.8538106679916382,0.020483748987317085,0.806033730506897,0.08722741901874542,0.8572418689727783,0.9133321642875672,0.682634711265564,0.745193600654602,25,0.8971539735794067,0.8604739308357239,0.06387650966644287,0.6498562693595886,0.9333333373069764,0.375,0.3965316712856293,0.5509068965911865,0.022156110033392903,0.8540340662002563,0.7593897581100464,0.8430556058883667,0.8481012582778931,0.7593897581100464,0.6645569801330566,0.8240740895271301,0.8586497902870178,0.9333333373069764,0.09467103332281113,0.05012610182166099,0.018267223611474037,0.8540340662002563,0.023312456905841827,0.8860759735107422,0.8666666746139526,0.6498562693595886,0.5509068965911865,0.028737487271428108,0.8502673506736755,0.020876826718449593,0.033195845782756805,0.682634711265564,0.03691983222961426,0.016916070133447647,0.07028112560510635,0.7291666865348816,0.05553822219371796,0.02,0.8572418689727783,0.8604739308357239,0.02360241487622261,0.03318442776799202,0.7594937086105347,0.9090908765792848,0.9133321642875672,0.25823020935058594,0.04575163498520851,0.8971539735794067
kenn_hybrid_adapter_bert_ms,1,hqlm9x69,0.8204773664474487,0.02052740566432476,0.8235357403755188,0.3888888955116272,0.8626511693000793,0.9120447635650636,0.8790604472160339,0.7467817664146423,47,0.8956446647644043,0.8579098582267761,0.3986855447292328,0.8923393487930298,0.9333333373069764,0.375,0.5664837956428528,0.8630791902542114,0.022637203335762024,0.8674451112747192,0.902084469795227,0.7986111640930176,0.7405062913894653,0.902084469795227,0.7531645894050598,0.7592592835426331,0.8080168962478638,0.9333333373069764,0.49111467599868774,0.35185185074806213,0.020702853798866272,0.8674451112747192,0.02035490609705448,0.8860759735107422,0.8999999761581421,0.8923393487930298,0.8630791902542114,0.22969187796115875,0.8128342032432556,0.0230804905295372,0.2656528651714325,0.8790604472160339,0.1542857140302658,0.3970588147640228,0.24215245246887207,0.5625,0.352688193321228,0.04,0.8626511693000793,0.8579098582267761,0.02221062406897545,0.5510203838348389,0.8396624326705933,0.9090908765792848,0.9120447635650636,0.43257296085357666,0.2456140369176865,0.8956446647644043
kenn_top_down_adapter_bert_ms,1,37tc6cuw,0.8308939933776855,0.020963452756404877,0.8371222615242004,0.15774647891521454,0.8578000068664551,0.9123347401618958,0.8202901482582092,0.7626450657844543,47,0.8960759043693542,0.8587111234664917,0.15014545619487762,0.8129892349243164,0.9333333373069764,0.375,0.4358144998550415,0.7563239336013794,0.02301066927611828,0.8568909764289856,0.8598018288612366,0.8125000596046448,0.7594937086105347,0.8598018288612366,0.7658227682113647,0.7777777910232544,0.8185653686523438,0.9333333373069764,0.23674097657203672,0.13824057579040527,0.021050801500678062,0.8568909764289856,0.020876826718449593,0.8860759735107422,0.8999999761581421,0.8129892349243164,0.7563239336013794,0.08084696531295776,0.8235294222831726,0.023544419556856155,0.08271539956331253,0.8202901482582092,0.06791569292545319,0.09407665580511092,0.12210527062416077,0.6041666865348816,0.14646904170513153,0.09,0.8578000068664551,0.8587111234664917,0.02250058017671108,0.17034700512886047,0.8565401434898376,0.9090908765792848,0.9123347401618958,0.2953698933124542,0.08615384250879288,0.8960759043693542
kenn_bottom_up_adapter_bert_ms,1,swsphblp,0.8256856203079224,0.02052888087928295,0.8226495981216431,0.323699414730072,0.8607621788978577,0.9121607542037964,0.8676132559776306,0.746835470199585,47,0.8958603143692017,0.8583105206489563,0.310814768075943,0.876461386680603,0.9333333373069764,0.375,0.5183534026145935,0.841093122959137,0.02261284552514553,0.863227903842926,0.8939548134803772,0.8055555820465088,0.746835470199585,0.8939548134803772,0.746835470199585,0.7685185074806213,0.8122363090515137,0.9333333373069764,0.41018766164779663,0.27370303869247437,0.02052888087928295,0.863227903842926,0.0205288790166378,0.8860759735107422,0.8999999761581421,0.876461386680603,0.841093122959137,0.17148759961128235,0.8181818127632141,0.02290651947259903,0.19255498051643372,0.8676132559776306,0.1171548143029213,0.2647058963775635,0.19512195885181427,0.5833333134651184,0.2804054021835327,0.03,0.8607621788978577,0.8583105206489563,0.02232660725712776,0.40909090638160706,0.8333333730697632,0.9090908765792848,0.9121607542037964,0.3777495622634888,0.1958041936159134,0.8958603143692017
kenn_hybrid_adapter_bert_ms,0,203e6zz3,0.6819356679916382,0.01797427423298359,0.7645151019096375,0.3522012531757355,0.8539624214172363,0.9102470278739928,0.8649440407752991,0.6538995504379272,86,0.8913324475288391,0.8472527861595154,0.24123193323612213,0.8759394884109497,0.9333333373069764,0.375,0.4590003192424774,0.8400731682777405,0.021014856174588203,0.8607791066169739,0.8927637934684753,0.6138889193534851,0.6455696225166321,0.8927637934684753,0.6624472141265869,0.5740740895271301,0.7341772317886353,0.9333333373069764,0.3631361722946167,0.24444444477558136,0.01820923201739788,0.8607791066169739,0.017745302990078926,0.8860759735107422,0.5333333611488342,0.8759394884109497,0.8400731682777405,0.13333334028720856,0.7058823704719543,0.021920669823884964,0.1501091867685318,0.8649440407752991,0.1621621549129486,0.07111111283302307,0.22641506791114807,0.375,0.21640491485595703,0.01,0.8539624214172363,0.8472527861595154,0.02018093317747116,0.1254901885986328,0.7974684238433838,0.9090908765792848,0.9102470278739928,0.3459152281284332,0.21705426275730133,0.8913324475288391
