name,instance,run_id,test_incremental_ORGANIZATION-POLITICAL/macro_types/precision,threshold_pretraining,test_incremental/micro/precision,test_incremental_only/macro_example_exclusive/precision,test/macro_example/recall,test_incremental_ORGANIZATION/macro_types/precision,test_incremental_ORGANIZATION-CORPORATION/macro_types/precision,test_pretraining/macro_example/f1,test_incremental_only/macro_example/precision,test_incremental_ORGANIZATION-CORPORATION/macro_types/f1,test_incremental_ORGANIZATION-MUSEUM/macro_types/precision,test/macro_types/f1,test_pretraining/micro/precision,test_incremental/macro_example_exclusive/recall,test/micro/f1,test_incremental_only/macro_example/f1,test_incremental_ORGANIZATION-RELIGIOUS/macro_types/f1,test/macro_types/precision,test_incremental/micro/recall,test_incremental_only/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental_ORGANIZATION-POLITICAL/macro_types/f1,test_incremental_ORGANIZATION-POLITICAL/macro_types/recall,test_incremental_only/micro/f1,test/micro/recall,threshold_incremental,test_pretraining/micro/f1,test_incremental_only/macro_types/f1,test/macro_example/precision,test_incremental/macro_types/recall,test_pretraining/macro_types/recall,test_incremental_ORGANIZATION-GOVERNMENT/macro_types/f1,test_incremental/macro_types/precision,test/macro_types/recall,test_incremental/macro_types/f1,test/macro_example/f1,test_incremental/macro_example/f1,test_pretraining/micro/recall,test_pretraining/macro_types/f1,test_incremental_only/macro_example/recall,test_incremental_ORGANIZATION/macro_types/recall,test_incremental_ORGANIZATION-RELIGIOUS/macro_types/precision,test_incremental_ORGANIZATION-CORPORATION/macro_types/recall,test_incremental_ORGANIZATION-EDUCATIONAL/macro_types/recall,test_incremental_ORGANIZATION-EDUCATIONAL/macro_types/precision,test_incremental_only/micro/recall,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/f1,test_incremental/micro/f1,epoch,test_incremental_only/micro/precision,test_incremental_ORGANIZATION-RELIGIOUS/macro_types/recall,test_incremental_ORGANIZATION-GOVERNMENT/macro_types/precision,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/precision,test_pretraining/macro_types/precision,test_incremental_ORGANIZATION-MUSEUM/macro_types/recall,test_incremental_ORGANIZATION-GOVERNMENT/macro_types/recall,test_incremental/macro_example/recall,test/micro/precision,test_incremental_ORGANIZATION-EDUCATIONAL/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_ORGANIZATION/macro_types/f1,test_incremental_ORGANIZATION-MUSEUM/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental_only/macro_types/recall
kenn_horizontal_adapter_bert_ms,2,2wyksujj,0.6086956262588501,0.25,0.6745454668998718,0.6181818246841431,0.8297361135482788,0.8697317838668823,0.6578947305679321,0.8048936128616333,0.12818095088005066,0.3448275923728943,0.3333333432674408,0.7808508276939392,0.7414469718933105,0.7270916700363159,0.7778758406639099,0.1231190264225006,0.6304348111152649,0.7375476360321045,0.724609375,0.5371879935264587,0.5937694907188416,0.736842155456543,0.9333333373069764,0.5236364006996155,0.8180692791938782,0.06999999999999999,0.7778758406639099,0.6036547422409058,0.7814954519271851,0.7196763753890991,0.8295561075210571,0.6779661178588867,0.5846942663192749,0.8295561075210571,0.6452010273933411,0.8048936128616333,0.17879730463027954,0.8180692791938782,0.7808508276939392,0.11844171583652496,0.9043824672698976,0.4677419364452362,0.23364485800266263,0.4545454680919647,0.44117647409439087,0.5517241358757019,0.7814954519271851,0.7557926774024963,0.6986817121505737,25,0.4982698857784271,0.9666666388511658,0.7142857313156128,0.1861451417207718,0.7868525981903076,0.7375476360321045,0.8999999761581421,0.6451612710952759,0.17200753092765808,0.7414469718933105,0.447761207818985,0.8297361135482788,0.88671875,0.4864864945411682,0.5712120532989502,0.6888919472694397
kenn_horizontal_adapter_bert_ms,1,oif8uxc0,0.9285714030265808,0.25,0.793749988079071,0.688636302947998,0.8323279619216919,0.8697317838668823,0.8048780560493469,0.8153534531593323,0.1427898108959198,0.4459459781646729,0.508474588394165,0.812688410282135,0.7775831818580627,0.7483400106430054,0.8002403378486633,0.13543973863124847,0.9354838132858276,0.7905399203300476,0.744140625,0.7314929366111755,0.6531888842582703,0.8965517282485962,0.8666666746139526,0.6416667103767395,0.8242574334144592,0.16,0.8002403378486633,0.7220955491065979,0.7990574836730957,0.7402859926223755,0.8361137509346008,0.7796609997749329,0.7512413263320923,0.8361137509346008,0.7457234263420105,0.8153534531593323,0.18828736245632172,0.8242574334144592,0.812688410282135,0.12880930304527283,0.9043824672698976,0.90625,0.30841121077537537,0.3939394056797027,0.4193548262119293,0.5900382995605469,0.7990574836730957,0.7959079146385193,0.7681450843811035,27,0.7031963467597961,0.9666666388511658,0.8214285969734192,0.2010681629180908,0.8499336242675781,0.7905399203300476,1.0,0.7419354915618896,0.17703425884246826,0.7775831818580627,0.4062500298023224,0.8323279619216919,0.88671875,0.6741573214530945,0.6212121248245239,0.7129366397857666
kenn_horizontal_adapter_bert_ms,0,1z10meea,0.8965517282485962,0.25,0.7673469185829163,0.675000011920929,0.8294690847396851,0.8697317838668823,0.7346938848495483,0.8103615045547485,0.13996228575706482,0.46153849363327026,0.37837839126586914,0.8061139583587646,0.7701683044433594,0.7426959276199341,0.7948487401008606,0.1332111656665802,0.9333333373069764,0.7876072525978088,0.734375,0.7207398414611816,0.6424412131309509,0.8813559412956238,0.8666666746139526,0.6081632971763611,0.8211633563041687,0.15000000000000002,0.7948487401008606,0.69661945104599,0.7921143770217896,0.7069641947746277,0.8255112767219543,0.7058823108673096,0.7420244216918945,0.8255112767219543,0.724070131778717,0.8103615045547485,0.18656739592552185,0.8211633563041687,0.8061139583587646,0.12708136439323425,0.9043824672698976,0.9333333373069764,0.336448609828949,0.3939394056797027,0.48148149251937866,0.5708812475204468,0.7921143770217896,0.7886375188827515,0.7504990100860596,27,0.6506550312042236,0.9333333373069764,0.8999999761581421,0.198868989944458,0.8406374454498291,0.7876072525978088,0.9333333373069764,0.5806451439857483,0.17569902539253235,0.7701683044433594,0.43333330750465393,0.8294690847396851,0.88671875,0.5384615063667297,0.6128787994384766,0.674061119556427
kenn_hybrid_adapter_bert_ms,2,2xrluzd5,0.5918367505073547,0.25,0.6162601709365845,0.5859848260879517,0.8327206969261169,0.8697317838668823,0.4761904776096344,0.8038152456283569,0.12150486558675766,0.3529411852359772,0.28431373834609985,0.7700406312942505,0.7196969985961914,0.743027925491333,0.7678983807563782,0.12370283156633376,0.6904761791229248,0.7134345173835754,0.740234375,0.4487731456756592,0.5965849161148071,0.7341772317886353,0.9666666388511658,0.4943089187145233,0.823019802570343,0.12,0.7678983807563782,0.5511372089385986,0.7768491506576538,0.7411962151527405,0.8364033699035645,0.5714285969734192,0.5089101195335388,0.8364033699035645,0.6034722328186035,0.8038152456283569,0.17042790353298187,0.823019802570343,0.7700406312942505,0.12598177790641785,0.9043824672698976,0.5370370149612427,0.28037384152412415,0.3939394056797027,0.32499998807907104,0.5823754668235779,0.7768491506576538,0.7204144597053528,0.6725820899009705,12,0.4293785393238067,0.9666666388511658,0.47826087474823,0.16539427638053894,0.6991367936134338,0.7134345173835754,0.9666666388511658,0.7096773982048035,0.17577756941318512,0.7196969985961914,0.3561643660068512,0.8327206969261169,0.88671875,0.4393939375877381,0.6075757145881653,0.7139984369277954
kenn_top_down_adapter_bert_ms,2,2dlg93e9,0.20895522832870483,0.25,0.2644295394420624,0.6266666650772095,0.8372761607170105,0.8697317838668823,0.29032257199287415,0.7171399593353271,0.12994030117988586,0.3435114324092865,0.1492537260055542,0.7224349975585938,0.4939405024051666,0.7739043831825256,0.6199585199356079,0.13512827455997467,0.16111111640930176,0.6322174668312073,0.76953125,0.15097728371620178,0.6516867876052856,0.3414634168148041,0.9333333373069764,0.2241610735654831,0.8323019742965698,0.15000000000000002,0.6199585199356079,0.25061723589897156,0.6271531581878662,0.7609436511993408,0.8426865935325623,0.1621621549129486,0.2536565065383911,0.8426865935325623,0.3804815113544464,0.7171399593353271,0.1742403507232666,0.8323019742965698,0.7224349975585938,0.14074772596359253,0.9043824672698976,0.08787878602743149,0.420560747385025,0.42424243688583374,0.07734806835651398,0.6398467421531677,0.6271531581878662,0.7365299463272095,0.39360639452934265,13,0.1358828246593475,0.9666666388511658,0.09210526198148727,0.16621336340904236,0.7025991678237915,0.6322174668312073,1.0,0.6774193644523621,0.1830819994211197,0.4939405024051666,0.13084112107753754,0.8372761607170105,0.88671875,0.25974026322364807,0.6787878274917603,0.7370371222496033
kenn_bottom_up_adapter_bert_ms,2,3htjv39c,0.6829268336296082,0.25,0.7148594260215759,0.5507575869560242,0.8249450922012329,0.8697317838668823,0.5454545617103577,0.8072117567062378,0.11420043557882308,0.317880779504776,0.3461538553237915,0.7781924605369568,0.7550548911094666,0.6995351910591125,0.7809978723526001,0.1098802164196968,0.9508196711540222,0.749604344367981,0.6953125,0.58139568567276,0.529922366142273,0.7887323498725891,0.9333333373069764,0.5180723071098328,0.8087871074676514,0.19,0.7809978723526001,0.5971087217330933,0.7902248501777649,0.6552215218544006,0.8090477585792542,0.42307692766189575,0.6225866079330444,0.8090477585792542,0.6384872794151306,0.8072117567062378,0.17352195084095,0.8087871074676514,0.7781924605369568,0.10587495565414427,0.9043824672698976,0.9354838728904724,0.22429905831813812,0.3030303120613098,0.4545454680919647,0.49425286054611206,0.7902248501777649,0.7334931492805481,0.7049504518508911,12,0.5443037748336792,0.9666666388511658,0.523809552192688,0.18237511813640592,0.7709163427352905,0.749604344367981,0.8999999761581421,0.35483869910240173,0.16548854112625122,0.7550548911094666,0.36363640427589417,0.8249450922012329,0.88671875,0.5,0.510606050491333,0.6136946678161621
kenn_hybrid_adapter_bert_ms,1,3uxe4902,0.675000011920929,0.25,0.7405189871788025,0.6318181753158569,0.8287935853004456,0.8697317838668823,0.7272727489471436,0.8117276430130005,0.13100847601890564,0.42384105920791626,0.4838709533214569,0.7873499393463135,0.7623990774154663,0.7327357530593872,0.7892536520957947,0.1265413463115692,0.920634925365448,0.7547469139099121,0.724609375,0.6002519130706787,0.6102744936943054,0.7714285850524902,0.8999999761581421,0.57485032081604,0.8180692791938782,0.21,0.7892536520957947,0.630732536315918,0.7953503131866455,0.6987470388412476,0.8228967785835266,0.53125,0.6387491226196289,0.8228967785835266,0.6674023866653442,0.8117276430130005,0.18082059919834137,0.8180692791938782,0.7873499393463135,0.12236882746219636,0.9043824672698976,0.8787878751754761,0.29906541109085083,0.27272728085517883,0.3214285671710968,0.5517241358757019,0.7953503131866455,0.7643451690673828,0.7324777841567993,13,0.6000000238418579,0.9666666388511658,0.5151515007019043,0.18897268176078796,0.798804759979248,0.7547469139099121,1.0,0.5483871102333069,0.173342764377594,0.7623990774154663,0.2950819730758667,0.8287935853004456,0.88671875,0.6521738767623901,0.5901514887809753,0.6644744277000427
kenn_top_down_adapter_bert_ms,1,agph5hhz,0.8666666746139526,0.25,0.705440878868103,0.675000011920929,0.8306000232696533,0.8697317838668823,0.7777777910232544,0.804364800453186,0.139962300658226,0.3916083872318268,0.4054054021835327,0.7968083024024963,0.7514156103134155,0.740371823310852,0.7847427725791931,0.13234305381774902,0.865671694278717,0.7628006935119629,0.734375,0.6297824382781982,0.6382544636726379,0.8666666746139526,0.8666666746139526,0.5590994358062744,0.8211633563041687,0.27,0.7847427725791931,0.6653379797935486,0.7797361016273499,0.7336104512214661,0.833989679813385,0.7419354915618896,0.6640608906745911,0.833989679813385,0.6971052885055542,0.804364800453186,0.18486738204956055,0.8211633563041687,0.7968083024024963,0.1255105286836624,0.9043824672698976,0.7837837934494019,0.2616822421550751,0.3939394056797027,0.203125,0.5708812475204468,0.7797361016273499,0.781451404094696,0.7196171879768372,30,0.5477941036224365,0.9666666388511658,0.7419354915618896,0.1957273036241531,0.827357292175293,0.7628006935119629,1.0,0.7419354915618896,0.17514923214912417,0.7514156103134155,0.2680412530899048,0.8306000232696533,0.88671875,0.5769230723381042,0.6053030490875244,0.705148458480835
kenn_bottom_up_adapter_bert_ms,1,387vs7rc,0.9629629850387572,0.25,0.8008565306663513,0.6659090518951416,0.8298146724700928,0.8697317838668823,0.7878788113594055,0.8141456842422485,0.1380772888660431,0.37142854928970337,0.5263158082962036,0.8125869631767273,0.779411792755127,0.7363878488540649,0.799155592918396,0.13045237958431244,0.9508196711540222,0.793023407459259,0.73046875,0.7405990362167358,0.6291361451148987,0.9122806787490844,0.8666666746139526,0.6295503377914429,0.8199257254600525,0.19,0.799155592918396,0.7208005785942078,0.7990574836730957,0.7309402227401733,0.8331400752067566,0.7540983557701111,0.7590465545654297,0.8331400752067566,0.7447283267974854,0.8141456842422485,0.18579117953777313,0.8199257254600525,0.8125869631767273,0.1236255019903183,0.9043824672698976,0.9354838728904724,0.2429906576871872,0.3939394056797027,0.4642857015132904,0.5632184147834778,0.7990574836730957,0.785356342792511,0.7640449404716492,29,0.7135922312736511,0.9666666388511658,0.7666666507720947,0.19902607798576355,0.8413015007972717,0.793023407459259,1.0,0.7419354915618896,0.1742067188024521,0.779411792755127,0.4262295067310333,0.8298146724700928,0.88671875,0.6896551847457886,0.5962121486663818,0.7020331621170044
kenn_hybrid_adapter_bert_ms,0,28y2oe6o,0.707317054271698,0.25,0.6573913097381592,0.637499988079071,0.830364465713501,0.8697317838668823,0.5394737124443054,0.8043628931045532,0.132186621427536,0.4480874538421631,0.4107142984867096,0.7756869196891785,0.7350663542747498,0.7456839084625244,0.7762850522994995,0.13023389875888824,0.9180328249931335,0.7331962585449219,0.73828125,0.5212329626083374,0.6280825734138489,0.8169013857841492,0.9666666388511658,0.5252174139022827,0.8224009871482849,0.14,0.7762850522994995,0.5849210619926453,0.7799402475357056,0.700345516204834,0.823405385017395,0.4938271641731262,0.5710184574127197,0.823405385017395,0.6291041970252991,0.8043628931045532,0.1782248616218567,0.8224009871482849,0.7756869196891785,0.1283380538225174,0.9043824672698976,0.9032257795333862,0.38317757844924927,0.3030303120613098,0.1666666716337204,0.5785440802574158,0.7799402475357056,0.7533727288246155,0.695492148399353,12,0.48089173436164856,0.9333333373069764,0.4000000059604645,0.18008169531822205,0.7612217664718628,0.7331962585449219,0.7666666507720947,0.6451612710952759,0.1764059066772461,0.7350663542747498,0.2150537669658661,0.830364465713501,0.88671875,0.5348837375640869,0.6189393997192383,0.6663393378257751
