name,instance,run_id,test_incremental/macro_example/recall,test_pretraining/macro_example/recall,test_incremental_only/macro_example_exclusive/precision,test_incremental_other-event/macro_types/precision,test/micro/f1,test_pretraining/micro/f1,test_pretraining/micro/precision,test_incremental/macro_types/f1,test_pretraining/macro_example/f1,test_incremental/micro/f1,test_incremental_other-event-sports_event/macro_types/recall,test_pretraining/macro_example/precision,test/micro/recall,test_incremental/macro_types/precision,test_incremental/macro_example/precision,test_incremental_other-event-election/macro_types/precision,threshold_pretraining,test_incremental/micro/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_types/recall,test_incremental_other-event-protest/macro_types/recall,test/macro_types/precision,test/macro_types/f1,test_incremental_other-event/macro_types/f1,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_types/f1,test/macro_example/f1,test_incremental_other-event-holiday/macro_types/f1,test_incremental_other-event-protest/macro_types/f1,test_incremental/macro_types/recall,test_pretraining/macro_types/f1,test_incremental_only/micro/precision,test_incremental_other-event-violent_conflict/macro_types/f1,test_incremental_other-event-sports_event/macro_types/precision,test/macro_example/recall,test_pretraining/macro_types/recall,test_pretraining/macro_types/precision,test/macro_types/recall,test_incremental/micro/recall,test_incremental_other-event-holiday/macro_types/precision,test_incremental_other-event-election/macro_types/f1,test_incremental_other-event-natural_disaster/macro_types/f1,epoch,test/micro/precision,threshold_incremental,test_incremental_only/micro/recall,test_incremental_only/macro_example/recall,test_incremental_only/macro_types/precision,test_incremental_other-event-election/macro_types/recall,test_incremental/macro_example/f1,test_incremental_other-event-sports_event/macro_types/f1,test_incremental_other-event-violent_conflict/macro_types/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental_only/macro_example/precision,test_incremental_other-event/macro_types/recall,test_incremental_other-event-natural_disaster/macro_types/precision,test_incremental/macro_example_exclusive/precision,test_incremental_other-event-protest/macro_types/precision,test/macro_example/precision,test_incremental_other-event-violent_conflict/macro_types/recall,test_pretraining/micro/recall,test_incremental_only/micro/f1,test_incremental_only/macro_example/f1,test_incremental_other-event-holiday/macro_types/recall,test_incremental_other-event-natural_disaster/macro_types/recall
kenn_hybrid_adapter_bert_ms,2,3tub4fb4,0.06750534474849701,0.843299388885498,0.4679802656173706,0.8721461296081543,0.8279920816421509,0.8279920816421509,0.8249860405921936,0.44340914487838745,0.8460175395011902,0.5602350831031799,0.6666666865348816,0.8487533330917358,0.8310202360153198,0.39504021406173706,0.0925012305378914,0.2976190447807312,0.33,0.5386064052581787,0.43075457215309143,0.7126538157463074,0.4460944533348083,0.30000001192092896,0.8018674850463867,0.7870097160339355,0.8662131428718567,0.6163663864135742,0.3696158528327942,0.8460175395011902,0.5333333611488342,0.2686567008495331,0.505275309085846,0.7870097160339355,0.3044871687889099,0.14173229038715365,0.3030303120613098,0.843299388885498,0.7726925611495972,0.8018674850463867,0.7726925611495972,0.5836734771728516,0.5333333611488342,0.4347825944423675,0.27826085686683655,82,0.8249860405921936,0.81,0.3544776141643524,0.03996053338050842,0.31552252173423767,0.8064516186714172,0.0780508816242218,0.4166666865348816,0.22499999403953552,0.39901477098464966,0.04686729237437248,0.8603603839874268,0.290909081697464,0.8445945978164673,0.2432432472705841,0.8487533330917358,0.1034482792019844,0.8310202360153198,0.32758623361587524,0.04313920810818672,0.5333333611488342,0.2666666805744171
kenn_top_down_adapter_bert_ms,2,2ug2ypzi,0.0673408955335617,0.843176007270813,0.46305418014526367,0.8721461296081543,0.8277279734611511,0.8277279734611511,0.8246462941169739,0.44228267669677734,0.8457920551300049,0.5577298998832703,0.6666666865348816,0.8484244346618652,0.8308327198028564,0.3947100043296814,0.0925012305378914,0.2906976640224457,0.33,0.5357142686843872,0.4272305071353912,0.7116491198539734,0.4433166682720184,0.30000001192092896,0.8018239736557007,0.7868256568908691,0.8662131428718567,0.6148648858070374,0.3683958053588867,0.8457920551300049,0.5423729419708252,0.27272728085517883,0.502894401550293,0.7868256568908691,0.30031949281692505,0.1428571343421936,0.28985506296157837,0.843176007270813,0.7723780870437622,0.8018239736557007,0.7723780870437622,0.581632673740387,0.5517241358757019,0.4273504316806793,0.2631579041481018,82,0.8246462941169739,0.81,0.3507462739944458,0.03971385955810547,0.3151373267173767,0.8064516186714172,0.07794084399938583,0.4040403962135315,0.2307692319154739,0.3965517282485962,0.04637395218014717,0.8603603839874268,0.2777777910232544,0.8445945978164673,0.25,0.8484244346618652,0.1034482792019844,0.8308327198028564,0.3235800266265869,0.04278628155589104,0.5333333611488342,0.25
kenn_bottom_up_adapter_bert_ms,2,sxxqh5t6,0.06832757592201233,0.8439818024635315,0.467980295419693,0.8721461296081543,0.8442584276199341,0.8442584276199341,0.8567290902137756,0.6422607898712158,0.8541616201400757,0.7044631838798523,0.6000000238418579,0.8645899295806885,0.8321455121040344,0.855165958404541,0.09225456416606904,0.8125,0.33,0.8613569140434265,0.4364310801029206,0.7168320417404175,0.45654740929603577,0.30000001192092896,0.8626388311386108,0.8158501982688904,0.8662131428718567,0.6238739490509033,0.5946011543273926,0.8541616201400757,0.7083333134651184,0.44999998807907104,0.5142350196838379,0.8158501982688904,0.8416666388511658,0.3047618865966797,0.8181818127632141,0.8439818024635315,0.773875892162323,0.8626388311386108,0.773875892162323,0.5959183573722839,0.9444444179534912,0.8253968954086304,0.375,65,0.8567290902137756,0.36000000000000004,0.3768656849861145,0.040947213768959045,0.8523359298706055,0.8387096524238586,0.07850848883390427,0.6923076510429382,0.8888888955116272,0.4088670015335083,0.046867288649082184,0.8603603839874268,0.75,0.8423423767089844,0.8999999761581421,0.8645899295806885,0.18390804529190063,0.8321455121040344,0.5206185579299927,0.043707698583602905,0.5666666626930237,0.25
kenn_hybrid_adapter_bert_ms,1,1q5ht8ib,0.07613879442214966,0.8497127890586853,0.6502463221549988,0.8721461296081543,0.8455868363380432,0.8455868363380432,0.8521904945373535,0.6714471578598022,0.8548060655593872,0.7311111092567444,0.699999988079071,0.8599607348442078,0.8390847444534302,0.7385005950927734,0.0864989310503006,0.6785714030265808,0.33,0.8024390339851379,0.596947431564331,0.739479660987854,0.5747559070587158,0.4333333373069763,0.8472301959991455,0.8161438703536987,0.8662131428718567,0.6951952576637268,0.6377396583557129,0.8548060655593872,0.8235294222831726,0.48148149251937866,0.6155565977096558,0.8161438703536987,0.7225130796432495,0.5303030610084534,0.875,0.8497127890586853,0.7872580289840698,0.8472301959991455,0.7872580289840698,0.6714285612106323,0.7368420958518982,0.6440678238868713,0.47826087474823,59,0.8521904945373535,0.22,0.5149253606796265,0.05525406822562218,0.71622633934021,0.6129032373428345,0.08098889142274857,0.7777777910232544,0.7777777910232544,0.5517241358757019,0.0651208683848381,0.8603603839874268,0.6875,0.7897898554801941,0.5416666865348816,0.8599607348442078,0.40229883790016174,0.8390847444534302,0.6013071537017822,0.05978309363126755,0.9333333373069764,0.36666667461395264
kenn_top_down_adapter_bert_ms,1,3cqfbmwv,0.0758921205997467,0.849638819694519,0.6576354503631592,0.8721461296081543,0.8410757780075073,0.8410757780075073,0.8434553146362305,0.6114735007286072,0.8511791229248047,0.686974823474884,0.7666666507720947,0.852725088596344,0.8387096524238586,0.6103607416152954,0.0866633802652359,0.36000001430511475,0.33,0.7077922224998474,0.5985825061798096,0.7388588190078735,0.5712953209877014,0.4333333373069763,0.8303060531616211,0.808002769947052,0.8662131428718567,0.6929429769515991,0.5690034031867981,0.8511791229248047,0.7999999523162842,0.4193548262119293,0.6125903129577637,0.808002769947052,0.5596708059310913,0.514285683631897,0.5348837375640869,0.849638819694519,0.786866307258606,0.8303060531616211,0.786866307258606,0.6673469543457031,0.699999988079071,0.444444477558136,0.4235294461250305,85,0.8434553146362305,0.2,0.5074626803398132,0.05500739812850952,0.5667299032211304,0.5806451439857483,0.08092088252305984,0.6301369667053223,0.6792452931404114,0.5492610931396484,0.06586087495088577,0.8603603839874268,0.7200000286102295,0.791291356086731,0.40625,0.852725088596344,0.4137931168079376,0.8387096524238586,0.5322896838188171,0.05994683504104614,0.9333333373069764,0.30000001192092896
kenn_bottom_up_adapter_bert_ms,1,24x6gh8r,0.07613879442214966,0.8499101400375366,0.6371099948883057,0.8721461296081543,0.8435938358306885,0.8435938358306885,0.848151683807373,0.6418562531471252,0.853212296962738,0.7113513350486755,0.699999988079071,0.8565402626991272,0.8390847444534302,0.6729814410209656,0.08617004007101059,0.4146341383457184,0.33,0.7563218474388123,0.591350793838501,0.7381607294082642,0.5723365545272827,0.46666666865348816,0.8385767936706543,0.8119617104530334,0.8662131428718567,0.6951952576637268,0.6041852235794067,0.853212296962738,0.7999999523162842,0.5185185670852661,0.6134828329086304,0.8119617104530334,0.6388888955116272,0.5147058963775635,0.75,0.8499101400375366,0.7869841456413269,0.8385767936706543,0.7869841456413269,0.6714285612106323,0.699999988079071,0.4722222089767456,0.48936164379119873,72,0.848151683807373,0.1,0.5149253606796265,0.05525406822562218,0.6397873163223267,0.5483871102333069,0.08084443211555481,0.7241379022598267,0.7142857313156128,0.5517241954803467,0.06380529701709747,0.8603603839874268,0.6764705777168274,0.7867868542671204,0.5833333134651184,0.8565402626991272,0.40229883790016174,0.8390847444534302,0.5702478885650635,0.059222593903541565,0.9333333373069764,0.38333332538604736
kenn_hybrid_adapter_bert_ms,0,2mwyi937,0.07243874669075012,0.8466951847076416,0.5763547420501709,0.8721461296081543,0.8177394270896912,0.8177394270896912,0.8010433316230774,0.4725382626056671,0.8382677435874939,0.5095120668411255,0.7666666507720947,0.8300064206123352,0.8351463079452515,0.3938247561454773,0.09447458386421204,0.6538461446762085,0.33,0.4283727407455444,0.531202495098114,0.7487307786941528,0.5456124544143677,0.5666666626930237,0.8017069697380066,0.7927334904670715,0.8662131428718567,0.6614114046096802,0.39868780970573425,0.8382677435874939,0.5306122303009033,0.3333333134651184,0.5905764102935791,0.7927334904670715,0.23399999737739563,0.09696969389915466,0.12169311940670012,0.8466951847076416,0.7839587330818176,0.8017069697380066,0.7839587330818176,0.6285714507102966,0.38235294818878174,0.5964912176132202,0.4094488322734833,69,0.8010433316230774,0.93,0.4365671575069427,0.04933398962020874,0.31410452723503113,0.5483871102333069,0.08200208097696304,0.21004565060138705,0.10256410390138626,0.4926108419895172,0.057720769196748734,0.8603603839874268,0.3880597054958343,0.8626126646995544,0.2361111044883728,0.8300064206123352,0.09195402264595032,0.8351463079452515,0.3046875,0.05319886654615402,0.8666666746139526,0.4333333373069763
kenn_top_down_adapter_bert_ms,0,1x8nuly6,0.07317875325679779,0.8470569849014282,0.5911329984664917,0.8721461296081543,0.8182151913642883,0.8182151913642883,0.8014388680458069,0.4778092503547669,0.8386966586112976,0.5140495896339417,0.7666666507720947,0.8304997682571411,0.8357089161872864,0.3982994258403778,0.09546126425266266,0.6800000071525574,0.33,0.43194442987442017,0.5460690855979919,0.7564536929130554,0.5530836582183838,0.5666666626930237,0.8022980093955994,0.7934548258781433,0.8662131428718567,0.6681681871414185,0.4048868715763092,0.8386966586112976,0.5416666865348816,0.31481480598449707,0.5969803929328918,0.7934548258781433,0.23952095210552216,0.1111111119389534,0.12568305432796478,0.8470569849014282,0.7848045825958252,0.8022980093955994,0.7848045825958252,0.6346938610076904,0.3939394056797027,0.6071428656578064,0.41791045665740967,73,0.8014388680458069,0.93,0.447761207818985,0.050814006477594376,0.31932494044303894,0.5483871102333069,0.08284790813922882,0.21596242487430573,0.119999997317791,0.5073891878128052,0.05920078977942467,0.8603603839874268,0.37837839126586914,0.8716217279434204,0.21794871985912323,0.8304997682571411,0.1034482792019844,0.8357089161872864,0.3120936453342438,0.05468772351741791,0.8666666746139526,0.46666666865348816
kenn_bottom_up_adapter_bert_ms,0,xw1eqf1r,0.07802993059158325,0.8506419062614441,0.6945812702178955,0.8721461296081543,0.8441975116729736,0.8441975116729736,0.8480318188667297,0.6744784712791443,0.8539746999740601,0.7194861173629761,0.7666666507720947,0.8573337197303772,0.8403975963592529,0.662695050239563,0.08785560727119446,0.7333333492279053,0.33,0.7567567825317383,0.6386954188346863,0.7546628713607788,0.6577432155609131,0.699999988079071,0.837218165397644,0.8164319396018982,0.8662131428718567,0.7124625444412231,0.6424158215522766,0.8539746999740601,0.7792208194732666,0.6666666865348816,0.6866884827613831,0.8164319396018982,0.644444465637207,0.1607142835855484,0.6969696879386902,0.8506419062614441,0.7966527938842773,0.837218165397644,0.7966527938842773,0.6857143044471741,0.6382978558540344,0.7213114500045776,0.6837607026100159,69,0.8480318188667297,0.06999999999999999,0.5410447716712952,0.05920078605413437,0.6277865171432495,0.7096773982048035,0.0826517716050148,0.7301586866378784,0.36000001430511475,0.5911329984664917,0.0695609301328659,0.8603603839874268,0.7017543911933899,0.8021772503852844,0.6363636255264282,0.8573337197303772,0.1034482792019844,0.8403975963592529,0.5882353186607361,0.06396406888961792,1.0,0.6666666865348816
box_adapter_bert_ms,2,14j7s41u,0.08501891046762466,0.8040553331375122,0.1789819449186325,0.8298969268798828,0.7172845005989075,0.7172845005989075,0.6536563038825989,0.3562052845954895,0.792011559009552,0.31219109892845154,0.9666666388511658,0.780323326587677,0.7946361303329468,0.22551795840263367,0.02699274010956287,0.09931506961584093,0.26,0.1955624371767044,0.29612860083580017,0.3741365671157837,0.8674082159996033,1.0,0.679803729057312,0.6850441098213196,0.7740384936332703,0.7762762904167175,0.2181871384382248,0.792011559009552,0.17554858326911926,0.18808776140213013,0.8470964431762695,0.6850441098213196,0.125,0.33595797419548035,0.10000000149011612,0.8040553331375122,0.6903659105300903,0.679803729057312,0.6903659105300903,0.7734693884849548,0.0968858152627945,0.17956656217575073,0.21714285016059875,17,0.6536563038825989,0.02,0.8134328126907349,0.08584114164113998,0.12478811293840408,0.9354838728904724,0.04097597673535347,0.18125000596046448,0.2176870703697205,0.8571428656578064,0.017924683168530464,0.7252252101898193,0.1310344785451889,0.24646076560020447,0.10380622744560242,0.780323326587677,0.7356321811676025,0.7946361303329468,0.21669979393482208,0.02965668775141239,0.9333333373069764,0.6333333253860474
