name,test_incremental/macro_example_exclusive/precision/mean,test_incremental_LOCATION-CONTINENT/macro_types/f1/mean,test_incremental_LOCATION-RIVER/macro_types/precision/mean,test_incremental/macro_example/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,epoch/mean,test_pretraining/micro/precision/mean,test_incremental_LOCATION/macro_types/f1/mean,test_incremental/micro/recall/mean,test/micro/precision/mean,test_incremental_only/micro/precision/mean,test_pretraining/macro_types/precision/mean,test_incremental_LOCATION-RIVER/macro_types/f1/mean,test_incremental/macro_types/f1/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_types/recall/mean,test_incremental_only/macro_types/recall/mean,test_incremental_LOCATION-RIVER/macro_types/recall/mean,test_pretraining/macro_types/f1/mean,test_incremental_only/macro_types/precision/mean,test_incremental_LOCATION-CONTINENT/macro_types/precision/mean,test_incremental_only/micro/f1/mean,test_incremental/macro_example/precision/mean,test_pretraining/macro_example/precision/mean,test/macro_types/f1/mean,test_incremental_LOCATION-REGION/macro_types/recall/mean,test_incremental_LOCATION-CONTINENT/macro_types/recall/mean,test/macro_example/f1/mean,test_incremental/macro_example_exclusive/f1/mean,test_pretraining/micro/f1/mean,test/macro_types/precision/mean,test_pretraining/micro/recall/mean,test/macro_types/recall/mean,test_incremental/macro_types/precision/mean,test_incremental/macro_example/f1/mean,test_incremental_only/macro_example/f1/mean,test_incremental_only/macro_example/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/micro/f1/mean,test_incremental/micro/f1/mean,test_incremental_LOCATION-REGION/macro_types/precision/mean,test_pretraining/macro_example/recall/mean,threshold_pretraining/mean,test_incremental_LOCATION/macro_types/recall/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_LOCATION/macro_types/precision/mean,threshold_incremental/mean,test_incremental_only/macro_example/recall/mean,test/micro/recall/mean,test/macro_example/precision/mean,test_incremental/micro/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_pretraining/macro_example/f1/mean,test_pretraining/macro_types/recall/mean,test_incremental_only/macro_types/f1/mean,test_incremental_LOCATION-REGION/macro_types/f1/mean,test/macro_example/recall/mean,test_incremental/macro_example_exclusive/precision/std,test_incremental_LOCATION-CONTINENT/macro_types/f1/std,test_incremental_LOCATION-RIVER/macro_types/precision/std,test_incremental/macro_example/recall/std,test_incremental_only/macro_example_exclusive/f1/std,epoch/std,test_pretraining/micro/precision/std,test_incremental_LOCATION/macro_types/f1/std,test_incremental/micro/recall/std,test/micro/precision/std,test_incremental_only/micro/precision/std,test_pretraining/macro_types/precision/std,test_incremental_LOCATION-RIVER/macro_types/f1/std,test_incremental/macro_types/f1/std,test_incremental_only/micro/recall/std,test_incremental/macro_types/recall/std,test_incremental_only/macro_types/recall/std,test_incremental_LOCATION-RIVER/macro_types/recall/std,test_pretraining/macro_types/f1/std,test_incremental_only/macro_types/precision/std,test_incremental_LOCATION-CONTINENT/macro_types/precision/std,test_incremental_only/micro/f1/std,test_incremental/macro_example/precision/std,test_pretraining/macro_example/precision/std,test/macro_types/f1/std,test_incremental_LOCATION-REGION/macro_types/recall/std,test_incremental_LOCATION-CONTINENT/macro_types/recall/std,test/macro_example/f1/std,test_incremental/macro_example_exclusive/f1/std,test_pretraining/micro/f1/std,test/macro_types/precision/std,test_pretraining/micro/recall/std,test/macro_types/recall/std,test_incremental/macro_types/precision/std,test_incremental/macro_example/f1/std,test_incremental_only/macro_example/f1/std,test_incremental_only/macro_example/precision/std,test_incremental_only/macro_example_exclusive/recall/std,test/micro/f1/std,test_incremental/micro/f1/std,test_incremental_LOCATION-REGION/macro_types/precision/std,test_pretraining/macro_example/recall/std,threshold_pretraining/std,test_incremental_LOCATION/macro_types/recall/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_LOCATION/macro_types/precision/std,threshold_incremental/std,test_incremental_only/macro_example/recall/std,test/micro/recall/std,test/macro_example/precision/std,test_incremental/micro/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test_pretraining/macro_example/f1/std,test_pretraining/macro_types/recall/std,test_incremental_only/macro_types/f1/std,test_incremental_LOCATION-REGION/macro_types/f1/std,test/macro_example/recall/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.8961039185523987,0.626865009466807,0.6666666666666666,0.09932976712783177,0.232838807006677,46.0,0.8017433881759644,0.8990228176116943,0.614503820737203,0.8017433881759644,1.0,0.8069408734639486,0.29279278715451557,0.5184574027856191,0.21296296268701553,0.40527599056561786,0.24166668951511383,0.18888889253139496,0.7898681163787842,0.6666666766007742,1.0,0.34025969604651135,0.13006597757339478,0.8273640871047974,0.7898681163787842,0.06944444278875987,0.46666667858759564,0.826729933420817,0.7756327589352926,0.8071812589963278,0.8069408734639486,0.81271360317866,0.7739450136820475,0.7254902124404907,0.11258005102475484,0.01909234467893839,0.021677661687135696,0.20881225913763046,0.8071812589963278,0.7344357967376709,0.3333333333333333,0.8261074423789978,0.17499999999999996,0.8961039185523987,0.684343417485555,0.901960790157318,0.1466666666666667,0.01712221248696248,0.81271360317866,0.8273640871047974,0.9144648710886637,0.26436780889829,0.826729933420817,0.7739450136820475,0.35335518916447956,0.1149425208568573,0.8261074423789978,0.0,0.14384778964061853,0.5773502691896258,0.0055766868909297475,0.13938858985311048,17.435595774162696,0.0017117383293426252,0.0,0.04872955245699664,0.0017117383293426252,0.0,0.05263155698777371,0.2607559546728608,0.1388026330096048,0.11821430413829102,0.09370369864992845,0.12493826580525697,0.17105338563833664,0.03505884546382122,0.3333333283662797,0.0,0.16770294773074404,0.0,0.0,0.03505884546382122,0.12028130321344221,0.1452966296281242,0.002575667748316157,0.024946733085576458,0.005176816219547717,0.05263155698777371,0.008726691538597491,0.019727083188398484,0.25,0.0036209244920822575,0.01142960224193092,0.01203312317652285,0.1307181755033724,0.005176816219547717,0.03726163491151356,0.5773502691896258,0.005135952901334941,0.0,0.0,0.03842117546755393,0.0,0.10408329997330665,0.010718644727538352,0.008726691538597491,0.0,0.006369373130707941,0.14674879436257407,0.002575667748316157,0.019727083188398484,0.1798715460981068,0.1990862860741222,0.005135952901334941
no_init_box_kenn_horizontal_adapter_bert_ms,0.8982684214909872,0.7361575961112976,0.6666666666666666,0.0998010238011678,0.24530889093875885,44.0,0.8020085096359253,0.8990228176116943,0.6221374074618021,0.8020085096359253,1.0,0.8069408734639486,0.2144522269566854,0.5312992831071218,0.23148148755232492,0.42194265127182007,0.2638889104127884,0.1333333378036817,0.7916967074076334,0.6666666766007742,1.0,0.3644835402568181,0.1303801437218984,0.8273640871047974,0.7916967074076334,0.06944444278875987,0.5888889034589132,0.8269395430882772,0.7785530090332031,0.8079875508944193,0.8069408734639486,0.8140806555747986,0.7774537801742554,0.7254902124404907,0.1130039170384407,0.020114864843587082,0.023562675341963768,0.2145593836903572,0.8079875508944193,0.7400726477305094,0.3333333333333333,0.8265263438224792,0.17499999999999996,0.8961039185523987,0.6875901818275452,0.901960790157318,0.04666666666666666,0.01759346512456735,0.8140806555747986,0.8273640871047974,0.9153951406478882,0.28735631704330444,0.8269395430882772,0.7774537801742554,0.3761196931203206,0.1149425208568573,0.8265263438224792,0.003749029062767335,0.09635571312496392,0.5773502691896258,0.005907572709248338,0.14797677038058335,20.784609690826528,0.001857404763445497,0.0,0.053435091461455524,0.001857404763445497,0.0,0.05263155698777371,0.23249339923457407,0.1464007987327143,0.12962963432073601,0.09884314722339896,0.13179086511070523,0.1527525295060096,0.035749082305785246,0.3333333283662797,0.0,0.1633111735655377,0.0005441517312265033,0.0,0.035749082305785246,0.12028130321344221,0.12619796621381477,0.002597138325834222,0.02723889766624769,0.005646785945643204,0.05263155698777371,0.00956938522202912,0.020809075856773548,0.25,0.0039536215996112695,0.012133812403301037,0.013195097313395587,0.13579930001873433,0.005646785945643204,0.03943369587540554,0.5773502691896258,0.0051964766353181846,0.0,0.0,0.040700915038501435,0.0,0.020816659994661323,0.011135286458260375,0.00956938522202912,0.0,0.006394104426938566,0.16091953856604457,0.002597138325834222,0.020809075856773548,0.18785981425325052,0.1990862860741222,0.0051964766353181846
no_init_box_kenn_hybrid_adapter_bert_ms,0.8982684214909872,0.7467320164044698,0.6666666666666666,0.10137187192837398,0.2844255417585373,49.0,0.8024584849675497,0.8990228176116943,0.6348600387573242,0.8024584849675497,1.0,0.8244847456614176,0.29419705271720886,0.5743666887283325,0.26234567662080127,0.4455537796020508,0.2953703850507736,0.1888888974984487,0.802849292755127,0.7777777910232544,1.0,0.41090338428815204,0.1303801437218984,0.8273640871047974,0.802849292755127,0.09722222139437993,0.600000003973643,0.827649732430776,0.7856844067573547,0.8093437949816386,0.8244847456614176,0.8163590828577677,0.7824245691299438,0.8088235457738241,0.11403902620077133,0.02332235686480999,0.02670436662932237,0.25287356972694397,0.8093437949816386,0.750014046827952,0.6666666666666666,0.8279400865236918,0.17499999999999996,0.8961039185523987,0.6984126766522726,0.901960790157318,0.09333333333333334,0.020735155170162518,0.8163590828577677,0.8273640871047974,0.9171383182207743,0.3256705005963643,0.827649732430776,0.7824245691299438,0.4277903934319814,0.16622457404931387,0.8279400865236918,0.003749029062767335,0.0784823838789451,0.5773502691896258,0.0038616366426140725,0.09669779899900902,17.08800749063506,0.0012290491993813017,0.0,0.03546402541502195,0.0012290491993813017,0.0,0.030386809181996065,0.2555850249142145,0.08923595529693122,0.08603308214983059,0.06422391603170123,0.08563187942211904,0.16442943606087895,0.021358744467829694,0.19245007825895602,0.0,0.1044322691084486,0.0005441517312265033,0.0,0.021358744467829694,0.10485880880489773,0.09999999403953701,0.001677481265976538,0.018148867894292653,0.003742071292155967,0.030386809181996065,0.006351061174581641,0.01352081455674672,0.14433756729740646,0.002634234106251389,0.007929038037122296,0.008757372822840975,0.08847589708370394,0.003742071292155967,0.025901176369720818,0.5773502691896258,0.0033593312266928053,0.0,0.0,0.026605166125218398,0.0,0.07094598884597587,0.007254855691511015,0.006351061174581641,0.0,0.004130571565446827,0.10679969165152495,0.001677481265976538,0.01352081455674672,0.1188039996877706,0.17274672452964152,0.0033593312266928053
no_init_box_kenn_top_down_adapter_bert_ms,0.8982684214909872,0.7530763347943624,0.6666666666666666,0.10163367787996928,0.29059172173341113,45.333333333333336,0.802544375260671,0.8990228176116943,0.6374045809110006,0.802544375260671,1.0,0.8069408734639486,0.35247209668159485,0.5540153483549753,0.2685185174147288,0.4552759826183319,0.3083333472410838,0.2444444497426351,0.7951864997545878,0.6666666766007742,1.0,0.4157608449459076,0.1303801437218984,0.827395518620809,0.7951864997545878,0.06944444278875987,0.6111111243565878,0.8277939955393473,0.7866528630256653,0.8096087972323099,0.8069408734639486,0.8168147603670756,0.784471352895101,0.7254902124404907,0.11417957892020543,0.02382797251145045,0.02733270451426506,0.2586206818620364,0.8096087972323099,0.7517001231511434,0.3333333333333333,0.8282018899917603,0.17499999999999996,0.8961039185523987,0.7002164721488953,0.901960790157318,0.26,0.021206408739089966,0.8168147603670756,0.827395518620809,0.9173604448636373,0.3333333333333333,0.8277939955393473,0.784471352895101,0.4145312358935674,0.1149425208568573,0.8282018899917603,0.003749029062767335,0.09946143854707759,0.5773502691896258,0.005190926281620259,0.12971721024345656,18.77054430040145,0.0015123068546857104,0.0,0.04335044985451145,0.0015123068546857104,0.0,0.05263155698777371,0.32367751958839297,0.12706895229513424,0.10516496834624768,0.0893407498242119,0.11912100289293111,0.23412564055521956,0.0326865755036253,0.3333333283662797,0.0,0.13747260091418262,0.0005441517312265033,5.4440982690937664e-05,0.0326865755036253,0.12028130321344221,0.13471503757489037,0.00239378221624721,0.023494049225074812,0.004589423515684095,0.05263155698777371,0.0077633652615772255,0.01880858564050035,0.25,0.0034100631215058363,0.010636566991369943,0.010704822482297352,0.1247272032337278,0.004589423515684095,0.032374795040581265,0.5773502691896258,0.004749940745963022,0.0,0.0,0.03576349217290569,0.0,0.38223029707232786,0.010227396196684467,0.0077633652615772255,5.4440982690937664e-05,0.005335917034518366,0.13054961895445363,0.00239378221624721,0.01880858564050035,0.15820074414886282,0.1990862860741222,0.004749940745963022
no_init_kenn_bottom_up_adapter_bert_ms,0.7732683817545573,0.6254328886667887,0.35063521564006805,0.12289244929949443,0.743382195631663,45.0,0.7312962611516317,0.8874598741531372,0.8129770954449972,0.7312962611516317,0.36473651727040607,0.7462694446245829,0.4423733055591583,0.6138502160708109,0.6944444378217062,0.7792343099912008,0.7402777870496114,0.8222222328186035,0.7988698283831278,0.3920666178067525,0.48260048031806946,0.46693750222524005,0.1122368797659874,0.7768876552581787,0.7988698283831278,0.4652777711550395,0.9333333174387614,0.8132140040397644,0.8083080053329468,0.7886903285980225,0.7462694446245829,0.8564593195915222,0.859879732131958,0.5137951572736105,0.11732274293899536,0.06095593919356664,0.06157712762554487,0.7375478943188986,0.7886903285980225,0.6700477004051208,0.3429641127586365,0.8532830476760864,0.25,0.8961039185523987,0.8466810981432596,0.8789808750152588,0.05000000000000001,0.06047753492991129,0.8564593195915222,0.7768876552581787,0.5771801074345907,0.7509578466415405,0.8132140040397644,0.859879732131958,0.5013059477011362,0.3941841920216878,0.8532830476760864,0.018278544696874264,0.10942103719962336,0.21650654124034643,0.0034606266899831328,0.10567755327113107,8.54400374531753,0.028691914826463043,0.0,0.02881617374865931,0.028691914826463043,0.1174173561354807,0.017753787246139477,0.13796631230307896,0.04037847367527933,0.06990587615506268,0.05940239424937752,0.07920322229527903,0.1924500782589561,0.005485410990541894,0.11244075392805211,0.130412884150301,0.0797698416213761,0.0026530506088672575,0.017052521650423143,0.005485410990541894,0.06364686947756464,0.057735040684065646,0.008382881712272623,0.020838053677214124,0.014747284454485133,0.017753787246139477,0.005160541206923324,0.012505757088350538,0.08433053734208527,0.003024566067983093,0.008665355342962497,0.010687521898346352,0.08334985643531523,0.014747284454485133,0.06287264647805395,0.07182430308778748,0.0031377237447826633,0.0,0.0,0.023842295648336294,0.0,0.04358898943540674,0.006834527353067718,0.005160541206923324,0.017052521650423143,0.10902913503806196,0.1303386132837231,0.008382881712272623,0.012505757088350538,0.07036110180529893,0.06953447494702804,0.0031377237447826633
no_init_kenn_horizontal_adapter_bert_ms,0.7355700135231018,0.656576802333196,0.2693815256158511,0.1245156576236089,0.7568303545316061,44.333333333333336,0.7101518511772156,0.8874598741531372,0.8269720276196798,0.7101518511772156,0.3295466750860214,0.7408426205317179,0.4006618708372116,0.6008277833461761,0.7283950845400492,0.799373189608256,0.76712965965271,0.8444444338480631,0.7976106603940328,0.3576966921488444,0.5298531949520111,0.4395134747028351,0.1067651038368543,0.7506545384724935,0.7976106603940328,0.534722218910853,0.9222222169240316,0.7985714475313822,0.7881586949030558,0.7764483292897543,0.7408426205317179,0.8589655955632528,0.8641195297241211,0.488017737865448,0.11439815411965053,0.062058658649524055,0.061420043309529625,0.7758620778719584,0.7764483292897543,0.6352352102597555,0.2738553235928218,0.8545921047528585,0.25,0.8961039185523987,0.8578643401463827,0.8789808750152588,0.023333333333333334,0.06361922745903333,0.8589655955632528,0.7506545384724935,0.5302113791306814,0.7490421732266744,0.7985714475313822,0.8641195297241211,0.4747861325740814,0.3433942198753357,0.8545921047528585,0.12018513048886224,0.19915825024871808,0.12919747508930068,0.0022727580289895752,0.07596010361473544,8.736894948054106,0.06205385823157233,0.0,0.022036278222567745,0.06205385823157233,0.14033652649407904,0.02347200472921986,0.1681017257124476,0.09194468174841981,0.05345836080739186,0.032564908404624456,0.04341991113233222,0.09622502192309915,0.01429192356102353,0.14865616323002073,0.21520077200082954,0.14336017600600684,0.01744439711740008,0.05272088724677985,0.01429192356102353,0.1463285205735627,0.06938886728516518,0.030136494187994196,0.0716533928996658,0.03744111221820275,0.02347200472921986,0.003946351815453684,0.006855739015958013,0.11149213994060678,0.010400213758929439,0.006228584024001414,0.011175104063871793,0.05010227711967871,0.03744111221820275,0.12710763048443927,0.10781820699568725,0.0025051494723162425,0.0,0.0,0.015658393429775166,0.0,0.015275252316519466,0.0041082926552763206,0.003946351815453684,0.05272088724677985,0.16052927776026352,0.13628487121045715,0.030136494187994196,0.006855739015958013,0.1514881187870455,0.08836515644860815,0.0025051494723162425
no_init_kenn_hybrid_adapter_bert_ms,0.7157287200291952,0.5514249006907145,0.25320184230804443,0.12268300106128056,0.7341425816218058,49.0,0.7163515289624532,0.8874598741531372,0.8104325731595358,0.7163515289624532,0.31192852556705475,0.7355634172757467,0.3848077952861786,0.5759601394335429,0.6882716019948324,0.7778454422950745,0.7384259104728699,0.8444444537162781,0.7926056782404581,0.3242618143558502,0.4130884160598119,0.4194907645384471,0.10388522346814473,0.7679442962010702,0.7926056782404581,0.4375,0.9333333174387614,0.8081429799397787,0.7728134989738464,0.7795069813728333,0.7355634172757467,0.8560036420822144,0.8595873117446899,0.46294158697128296,0.11217085768779118,0.06019830579559008,0.06063462048768997,0.7337164680163065,0.7795069813728333,0.6347514192263285,0.30649516979853314,0.8530735969543457,0.25,0.8961039185523987,0.8452381094296774,0.8789808750152588,0.04666666666666667,0.06016336505611738,0.8560036420822144,0.7679442962010702,0.5302017827828726,0.7394635876019796,0.8081429799397787,0.8595873117446899,0.44106648365656537,0.34555354714393616,0.8530735969543457,0.08384192900373665,0.17768388226418133,0.06162763404860873,0.0038509711670643683,0.08505029540707298,18.33030277982336,0.03804195848563859,0.0,0.034421747582357984,0.03804195848563859,0.08662263688704382,0.014786952223455777,0.07173036960281244,0.04070233820375651,0.08350460391930668,0.05537837538352652,0.07383786056573864,0.10183500937362319,0.0037301151075070467,0.09365069236428662,0.18807022339658244,0.068287465230398,0.01216932117067801,0.020727338477961932,0.0037301151075070467,0.1627135361866553,0.057735040684065646,0.010027051336631895,0.04631521079252081,0.020327141558864645,0.014786952223455777,0.006164410053402418,0.01165862959641218,0.07023799378925566,0.0067224633681548,0.00697396621458911,0.00856218899560665,0.08909593071248251,0.020327141558864645,0.0709265680923059,0.033206336553170956,0.0036917726679463934,0.0,0.0,0.026531716847824686,0.0,0.03214550253664318,0.0073056948832153565,0.006164410053402418,0.020727338477961932,0.10824707350707025,0.10441929937819466,0.010027051336631895,0.01165862959641218,0.07862482680801966,0.05016148823013692,0.0036917726679463934
no_init_kenn_top_down_adapter_bert_ms,0.7808441718419393,0.5458552440007528,0.20116334408521652,0.121112160384655,0.7182029684384664,51.666666666666664,0.6955896615982056,0.8874598741531372,0.796437660853068,0.6955896615982056,0.27869077026844025,0.7338859836260477,0.32016876836617786,0.563096801439921,0.6543209950129191,0.7597898642222086,0.7143518527348837,0.8555555542310079,0.7900055845578512,0.31363802154858905,0.41092975934346515,0.37600530683994293,0.11333647867043813,0.7533459067344666,0.7900055845578512,0.3541666716337204,0.9333333174387614,0.7989927728970846,0.803349236647288,0.7650938034057617,0.7338859836260477,0.8534973661104838,0.8557861646016439,0.4549737274646759,0.11660299946864446,0.05889129017790159,0.06105351075530052,0.6973179976145426,0.7650938034057617,0.5933499832948049,0.3288209140300751,0.8517122467358907,0.25,0.8961039185523987,0.834415594736735,0.8789808750152588,0.12333333333333334,0.05717876305182775,0.8534973661104838,0.7533459067344666,0.4893006185690562,0.7445721626281738,0.7989927728970846,0.8557861646016439,0.4201273024082184,0.2946822593609492,0.8517122467358907,0.11740181287364757,0.2037235025557847,0.10093364865170154,0.0037700310349464417,0.09979356171722871,20.132891827388665,0.07133664862001543,0.0,0.03246145340994528,0.07133664862001543,0.1288894513821152,0.023432762741290285,0.14588409878184674,0.09053403108239624,0.07874907659682229,0.04868421360354239,0.06491230152564287,0.10715166255469391,0.014163501588821494,0.14840760952836857,0.22430662120514203,0.13589885224862505,0.01704041729637248,0.04669528795409745,0.014163501588821494,0.18042196772494748,0.057735040684065646,0.02675002731735368,0.06599138810359703,0.04409519204868047,0.023432762741290285,0.005813341804041534,0.01024930005002963,0.11130569470216885,0.009578407752278185,0.008182888740207407,0.010459204196035583,0.08909590123572936,0.04409519204868047,0.13678500669769053,0.16781293730607502,0.0034665390793093193,0.0,0.0,0.025974005460744836,0.0,0.05507570547286104,0.007305700450156738,0.005813341804041534,0.04669528795409745,0.16740105638483405,0.12755415311121765,0.02675002731735368,0.01024930005002963,0.1528581215409681,0.14172790447386982,0.0034665390793093193
smart_init_box_adapter_bert_ms,0.6619769334793091,0.5263157884279887,0.4594116707642873,0.12095506985982259,0.5110584199428558,68.33333333333333,0.7361495097478231,0.8990228176116943,0.8155216375986735,0.7361495097478231,0.41965606808662415,0.7689160903294882,0.4995402495066325,0.6167240142822266,0.7006172935167948,0.7639565467834473,0.7199074228604635,0.6888889074325562,0.8064935604731241,0.4258429904778798,0.41032608350118,0.48249510924021405,0.09608335668841998,0.7958619395891825,0.8064935604731241,0.6041666766007742,0.8666666547457377,0.8201664487520853,0.7135592699050903,0.7866419355074564,0.7689160903294882,0.848712702592214,0.8494567076365153,0.5448724329471588,0.10357033709685008,0.04190582657853762,0.03393025572101275,0.6973180373509725,0.7866419355074564,0.6787218650182089,0.4077911873658498,0.8466331760088602,0.17499999999999996,0.8961039185523987,0.8333333333333334,0.901960790157318,0.24,0.05717875932653745,0.848712702592214,0.7958619395891825,0.616451621055603,0.4137931168079376,0.8201664487520853,0.8494567076365153,0.4956306417783101,0.4429580271244049,0.8466331760088602,0.236493758440413,0.18421053460666154,0.27376526165346804,0.008820541715355748,0.037956456303208506,33.20140559273558,0.07222831026040791,0.0,0.08511820415326855,0.07222831026040791,0.18270790130851552,0.029777799269674894,0.2192350836478335,0.0696892491075075,0.20649047833519388,0.1368209620382428,0.18242798311614486,0.10183500937362319,0.00634259175526888,0.18859273871819213,0.19419368471468965,0.12400713383801583,0.03432613948222836,0.029943978359747082,0.00634259175526888,0.32742154344662144,0.1201850518832337,0.012703104940566184,0.14705929999662418,0.036612617288786245,0.029777799269674894,0.015243324449564744,0.028804407690818778,0.14144454328473913,0.02134508089272454,0.0031123593666041744,0.0025715826759347893,0.19458361374832592,0.036612617288786245,0.1262389503946846,0.09881680522919487,0.007484764888834517,0.0,0.0,0.06077013534690517,0.0,0.1212435565298214,0.015955486661543002,0.015243324449564744,0.029943978359747082,0.20749956448062407,0.03136152371943802,0.012703104940566184,0.028804407690818778,0.13601337886355572,0.025874684342241515,0.007484764888834517
smart_init_classifier_adapter_bert_ms,0.6863275567690531,0.56791090965271,0.4431939671436946,0.11901769538720448,0.595556378364563,72.33333333333333,0.7384384075800577,0.8874598741531372,0.7786259452501932,0.7384384075800577,0.3953479429086049,0.7462180852890015,0.5465966959794363,0.5938701629638672,0.6111111044883728,0.7167343099912008,0.6569444537162781,0.7666666706403097,0.7931832671165466,0.3917413353919983,0.4510100980599721,0.464851717154185,0.09961775690317154,0.789763331413269,0.7931832671165466,0.3819444427887599,0.8222222129503886,0.8187505205472311,0.7421503663063049,0.7900117635726929,0.7462180852890015,0.8503075838088989,0.846721887588501,0.5135512252648672,0.10772021611531575,0.04883449772993723,0.046182844787836075,0.6475095748901367,0.7900117635726929,0.6759854157765707,0.2810198813676834,0.8500366806983948,0.25,0.8961039185523987,0.819985568523407,0.8789808750152588,0.19666666666666668,0.05309456090132395,0.8503075838088989,0.789763331413269,0.6090088486671448,0.5632183949152628,0.8187505205472311,0.846721887588501,0.47898484269777936,0.30654607713222504,0.8500366806983948,0.13377336990242475,0.21664517714457293,0.1892479813745407,0.003269977955270206,0.08989462436687747,46.60829682935575,0.04211380338378153,0.0,0.030294846862884122,0.04211380338378153,0.1665370389676649,0.025200151461503503,0.1794987455903248,0.09347899730289108,0.07349307069716074,0.041965101215070216,0.05595345102568775,0.08819171637640416,0.01670574501287898,0.15960102318839803,0.22164927104822663,0.13712002876316956,0.019416676406276263,0.013529992705101577,0.01670574501287898,0.20018798682051567,0.10715167491612136,0.007427763687913276,0.07936803356502363,0.02489535985575299,0.025200151461503503,0.005425321004066176,0.008834767339233168,0.11970077082972926,0.011519958174431771,0.0073711912374623155,0.011019449427661853,0.07412083714257908,0.02489535985575299,0.10349254240846054,0.09678602781710313,0.003031082784648604,0.0,0.0,0.022528859274328263,0.0,0.07371114795831994,0.006077770255179509,0.005425321004066176,0.013529992705101577,0.15319370923039433,0.13438665822456103,0.007427763687913276,0.008834767339233168,0.14485145819797418,0.12996357859219354,0.003031082784648604
