name,instance,run_id,test_pretraining/macro_example/precision,test_incremental_LOCATION-CONTINENT/macro_types/f1,test/micro/recall,test/macro_example/recall,test_incremental/macro_example/f1,threshold_incremental,test_incremental_LOCATION/macro_types/recall,test_incremental_LOCATION/macro_types/precision,test_incremental/macro_types/precision,threshold_pretraining,test_incremental/macro_types/f1,test_incremental/micro/precision,test_incremental/macro_example_exclusive/precision,test_incremental_LOCATION/macro_types/f1,test/macro_types/f1,test/macro_example/f1,test_incremental_only/micro/recall,test_incremental_only/macro_types/recall,test/macro_types/precision,test_incremental_LOCATION-RIVER/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,test/micro/f1,test/micro/precision,test_incremental/macro_example/recall,test_pretraining/macro_types/f1,test_incremental_only/micro/precision,test_incremental_LOCATION-REGION/macro_types/f1,test/macro_example/precision,test_incremental_LOCATION-REGION/macro_types/recall,test_incremental_LOCATION-CONTINENT/macro_types/recall,test_incremental/macro_example_exclusive/recall,test_incremental_LOCATION-RIVER/macro_types/recall,test_incremental_LOCATION-CONTINENT/macro_types/precision,test_incremental/micro/f1,test_pretraining/macro_example/f1,test_incremental_only/macro_types/f1,test_incremental_only/macro_example/recall,test_pretraining/micro/recall,test_incremental/macro_types/recall,test_incremental_only/macro_example/precision,test_incremental_LOCATION-REGION/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,epoch,test_pretraining/micro/f1,test_pretraining/micro/precision,test_incremental_only/macro_types/precision,test/macro_types/recall,test_incremental/micro/recall,test_incremental_only/macro_example/f1,test_incremental/macro_example_exclusive/f1,test_pretraining/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_LOCATION-RIVER/macro_types/precision,test_incremental_only/micro/f1,test_pretraining/macro_example/recall,test_pretraining/macro_types/precision,test_incremental/macro_example/precision
kenn_horizontal_adapter_bert_ms,2,2uiphp9z,0.7854225635528564,0.8219177722930908,0.8612440228462219,0.8562676310539246,0.12325350940227509,0.02,0.8961039185523987,0.8789808750152588,0.5753992795944214,0.25,0.6793811917304993,0.6395348906517029,0.8311688899993896,0.8874598741531372,0.8110306859016418,0.8193164467811584,0.7592592835426331,0.8069444894790649,0.7592387199401855,0.5,0.8103448152542114,0.8015267252922058,0.7495538592338562,0.12598177790641785,0.8110306859016418,0.4385026693344116,0.4385964572429657,0.7854225635528564,0.5208333134651184,1.0,0.8679653406143188,0.8999999761581421,0.6976743936538696,0.7260726690292358,0.8193164467811584,0.5973655581474304,0.06644675135612488,0.8612440228462219,0.8292343020439148,0.07068803161382675,0.3787878751754761,0.8620690107345581,54,0.8015267252922058,0.7495538592338562,0.4742053747177124,0.8704060316085815,0.8396946787834167,0.0685018002986908,0.8491686582565308,0.8704060316085815,0.8354070782661438,0.3461538553237915,0.5559321641921997,0.8562676310539246,0.7592387199401855,0.12064090371131896
kenn_horizontal_adapter_bert_ms,1,2xps9yuv,0.7765473127365112,0.7123287916183472,0.8544087409973145,0.8517122268676758,0.11699553579092026,0.04,0.8961039185523987,0.8789808750152588,0.526203989982605,0.25,0.6234045028686523,0.6051872968673706,0.7748917937278748,0.8874598741531372,0.799218475818634,0.8123948574066162,0.6666666865348816,0.7208333611488342,0.7488818168640137,0.49541282653808594,0.7183908224105835,0.7944073677062988,0.7422803044319153,0.12189757823944092,0.799218475818634,0.378947377204895,0.32758620381355286,0.7765473127365112,0.3958333432674408,0.8666666746139526,0.8398268222808838,0.8999999761581421,0.604651153087616,0.6896551847457886,0.8123948574066162,0.5215675234794617,0.05890669301152229,0.8544087409973145,0.7646510004997253,0.06456173211336136,0.27941176295280457,0.7873563170433044,42,0.7944073677062988,0.7422803044319153,0.4086117148399353,0.8568096160888672,0.8015267252922058,0.06160470470786095,0.8060535788536072,0.8568096160888672,0.7512941956520081,0.3417721390724182,0.48322153091430664,0.8517122268676758,0.7488818168640137,0.11247250437736513
kenn_horizontal_adapter_bert_ms,0,cmihoe0u,0.6899937391281128,0.43548384308815,0.8612440228462219,0.8557964563369751,0.10294541716575624,0.01,0.8961039185523987,0.8789808750152588,0.3624499440193176,0.25,0.4996976554393768,0.3459119498729706,0.600649356842041,0.8874598741531372,0.7825828194618225,0.7640030384063721,0.7592592835426331,0.7736111283302307,0.7144073247909546,0.2065727859735489,0.7988505959510803,0.7334108948707581,0.6386213898658752,0.12566761672496796,0.7825828194618225,0.17118997871875763,0.2639999985694885,0.6899937391281128,0.6875,0.8999999761581421,0.8658008575439453,0.7333333492279053,0.28723403811454773,0.48997777700424194,0.7640030384063721,0.3054253160953522,0.06550423800945282,0.8612440228462219,0.8042342662811279,0.04901036620140076,0.16336633265018463,0.5977011919021606,37,0.7334108948707581,0.6386213898658752,0.1902729868888855,0.8651429414749146,0.8396946787834167,0.056069470942020416,0.7092538475990295,0.8651429414749146,0.6837897896766663,0.12021858245134354,0.2793867290019989,0.8557964563369751,0.7144073247909546,0.08718190342187881
kenn_hybrid_adapter_bert_ms,2,9i4k6ezy,0.7730756998062134,0.39716312289237976,0.8503075838088989,0.8499842882156372,0.12551511824131012,0.96,0.8961039185523987,0.8789808750152588,0.359954297542572,0.25,0.48424744606018066,0.4047619104385376,0.9155844449996948,0.8874598741531372,0.7766609787940979,0.8097078800201416,0.6111111044883728,0.6875000596046448,0.7138818502426147,0.2967032492160797,0.6436781883239746,0.7530266642570496,0.6757197380065918,0.1189129799604416,0.7766609787940979,0.19020172953605652,0.1666666865348816,0.7730756998062134,0.2291666716337204,0.9333333373069764,0.8192641139030457,0.8999999761581421,0.2522522509098053,0.5326370596885681,0.8097078800201416,0.2939576804637909,0.0527803935110569,0.8503075838088989,0.7396509647369385,0.06220546364784241,0.130952388048172,0.7586206793785095,107,0.7530266642570496,0.6757197380065918,0.18694540858268735,0.8515464067459106,0.7786259651184082,0.057106658816337585,0.8647504448890686,0.8515464067459106,0.6964386701583862,0.17763157188892365,0.29010990262031555,0.8499842882156372,0.7138818502426147,0.13289350271224976
kenn_top_down_adapter_bert_ms,2,1usfz1n6,0.7828620672225952,0.6593406796455383,0.855775773525238,0.8535972237586975,0.12338383495807648,0.05,0.8961039185523987,0.8789808750152588,0.5238357186317444,0.25,0.6291825771331787,0.5872576236724854,0.8560606241226196,0.8874598741531372,0.8010256290435791,0.8167008757591248,0.6851851940155029,0.7513889074325562,0.7483832836151123,0.39416059851646423,0.7298851013183594,0.7921543717384338,0.7373380661010742,0.12252591550350188,0.8010256290435791,0.36274510622024536,0.4047619104385376,0.7828620672225952,0.3541666567325592,1.0,0.8441558480262756,0.8999999761581421,0.49180328845977783,0.6805778741836548,0.8167008757591248,0.5266982913017273,0.059849198907613754,0.855775773525238,0.7875676155090332,0.06880301237106323,0.4722222089767456,0.8390804529190063,107,0.7921543717384338,0.7373380661010742,0.40545397996902466,0.8616341352462769,0.8091602921485901,0.06401452422142029,0.8500664830207825,0.8616341352462769,0.7806829214096069,0.25233644247055054,0.47435900568962097,0.8535972237586975,0.7483832836151123,0.12425385415554048
kenn_bottom_up_adapter_bert_ms,2,3jlqetq2,0.7907633781433105,0.5137614607810974,0.847573459148407,0.8480992317199707,0.1250736266374588,0.86,0.8961039185523987,0.8789808750152588,0.399720311164856,0.25,0.5113381147384644,0.483091801404953,0.9253246784210204,0.8874598741531372,0.7788994908332825,0.8184283971786499,0.5740740895271301,0.6472222805023193,0.722253680229187,0.3404255211353302,0.5977011919021606,0.7716241478919983,0.708166778087616,0.11702795326709747,0.7788994908332825,0.24124513566493988,0.17391304671764374,0.7907633781433105,0.2083333283662796,0.9333333373069764,0.8062770366668701,0.800000011920929,0.3544303774833679,0.5917159914970398,0.8184283971786499,0.35012122988700867,0.04901036620140076,0.847573459148407,0.7094426155090332,0.058435432612895966,0.1492537260055542,0.7126436233520508,106,0.7716241478919983,0.708166778087616,0.23996677994728088,0.845186710357666,0.7633587718009949,0.05330951884388923,0.8617086410522461,0.845186710357666,0.6501310467720032,0.21621622145175937,0.3397260308265686,0.8480992317199707,0.722253680229187,0.13430725038051605
kenn_hybrid_adapter_bert_ms,1,34fltr8e,0.7968111634254456,0.7761194705963135,0.8523581624031067,0.8504555225372314,0.11724939197301865,0.16,0.8961039185523987,0.8789808750152588,0.6385958194732666,0.25,0.6867574453353882,0.731448769569397,0.7857142686843872,0.8874598741531372,0.8104209303855896,0.8227599263191223,0.6388888955116272,0.6916667222976685,0.7725432515144348,0.6849314570426941,0.6896551847457886,0.808952271938324,0.769753098487854,0.12064090371131896,0.8104209303855896,0.5476190447807312,0.3829787075519562,0.7968111634254456,0.375,0.8666666746139526,0.8311688303947449,0.8333333134651184,0.7027027010917664,0.7596330046653748,0.8227599263191223,0.6179710626602173,0.05655042454600334,0.8523581624031067,0.7427759766578674,0.06409047544002533,0.3913043439388275,0.7816091775894165,43,0.808952271938324,0.769753098487854,0.5584675073623657,0.8522043228149414,0.7900763154029846,0.06008481979370117,0.807802677154541,0.8522043228149414,0.7327585816383362,0.5813953280448914,0.5897436141967773,0.8504555225372314,0.7725432515144348,0.11404335498809814
kenn_top_down_adapter_bert_ms,1,17bb13p4,0.7489004135131836,0.7105262875556946,0.8550922870635986,0.85218346118927,0.11424440890550612,0.09,0.8961039185523987,0.8789808750152588,0.4528305530548096,0.25,0.5719498991966248,0.4377593398094177,0.738095223903656,0.8874598741531372,0.7913609743118286,0.7972106337547302,0.6759259104728699,0.7361111640930176,0.733434796333313,0.25806450843811035,0.7298850417137146,0.7623400092124939,0.6877405047416687,0.12236883491277696,0.7913609743118286,0.22461538016796112,0.2571428418159485,0.7489004135131836,0.375,0.8999999761581421,0.8430736064910889,0.9333333373069764,0.5869565010070801,0.5672042965888977,0.7972106337547302,0.4370442032814026,0.059849195182323456,0.8550922870635986,0.7761093378067017,0.06738924980163574,0.19565217196941376,0.8218390941619873,52,0.7623400092124939,0.6877405047416687,0.31078043580055237,0.8592218160629272,0.805343508720398,0.06339581310749054,0.7870994806289673,0.8592218160629272,0.7731374502182007,0.14973261952400208,0.3371824324131012,0.85218346118927,0.733434796333313,0.10713163018226624
kenn_bottom_up_adapter_bert_ms,1,5eyogoeb,0.7818096280097961,0.7714285850524902,0.8550922870635986,0.8518693447113037,0.1153429001569748,0.06999999999999999,0.8961039185523987,0.8789808750152588,0.5532561540603638,0.25,0.6438280344009399,0.6279761791229248,0.7532467246055603,0.8874598741531372,0.8029308915138245,0.8153372406959534,0.6759259104728699,0.7277777791023254,0.7545770406723022,0.5,0.7183908224105835,0.7978315949440002,0.7477585077285767,0.12205466628074646,0.8029308915138245,0.4078212380409241,0.3539823293685913,0.7818096280097961,0.4166666567325592,0.8999999761581421,0.8409091234207153,0.8666666746139526,0.675000011920929,0.7056856155395508,0.8153372406959534,0.5520519018173218,0.05890669301152229,0.8550922870635986,0.7698593139648438,0.06597549468278885,0.3076923191547394,0.8045976758003235,42,0.7978315949440002,0.7477585077285767,0.44468122720718384,0.8579061031341553,0.805343508720398,0.06224102899432182,0.7946677207946777,0.8579061031341553,0.7590543627738953,0.3513513505458832,0.5087108016014099,0.8518693447113037,0.7545770406723022,0.10933081805706024
kenn_hybrid_adapter_bert_ms,0,1u8kvnmr,0.6541762351989746,0.2710280418395996,0.8612440228462219,0.8557964563369751,0.09492278844118118,0.02,0.8961039185523987,0.8789808750152588,0.3077956438064575,0.25,0.4461557865142822,0.23732469975948337,0.5254328846931458,0.8874598741531372,0.7761569619178772,0.7415255904197693,0.7592592835426331,0.7819445133209229,0.7029011249542236,0.11548556387424468,0.7988505959510803,0.6761470437049866,0.5565370917320251,0.12566760182380676,0.7761569619178772,0.1064935028553009,0.21908126771450043,0.6541762351989746,0.6458333134651184,0.9666666388511658,0.8658008575439453,0.7333333492279053,0.15760870277881622,0.37005889415740967,0.7415255904197693,0.20415017008781433,0.06550423800945282,0.8612440228462219,0.8104842901229858,0.047596611082553864,0.1319148987531662,0.5804598331451416,32,0.6761470437049866,0.5565370917320251,0.11740055680274963,0.8664586544036865,0.8396946787834167,0.05513273924589157,0.6539810299873352,0.8664586544036865,0.6723659634590149,0.06267806142568588,0.1867881417274475,0.8557964563369751,0.7029011249542236,0.07626453042030334
