name,test/macro_example/f1/mean,threshold_pretraining/mean,test/macro_types/precision/mean,test_incremental/macro_example/precision/mean,test_incremental_only/macro_types/recall/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_only/macro_types/f1/mean,test_incremental/macro_types/precision/mean,test_incremental_LOCATION/macro_types/f1/mean,test_incremental_LOCATION-CONTINENT/macro_types/f1/mean,test_incremental_LOCATION-CONTINENT/macro_types/recall/mean,test_incremental_LOCATION-REGION/macro_types/precision/mean,test_incremental_LOCATION/macro_types/precision/mean,threshold_incremental/mean,test_incremental/macro_types/recall/mean,test_incremental_only/macro_types/precision/mean,test_incremental_LOCATION-RIVER/macro_types/f1/mean,test_incremental_LOCATION-RIVER/macro_types/precision/mean,test/macro_types/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental_LOCATION-REGION/macro_types/recall/mean,test_pretraining/micro/recall/mean,test_incremental/macro_example/f1/mean,test_incremental_only/macro_example/recall/mean,test_incremental_only/macro_example/f1/mean,test_pretraining/macro_types/precision/mean,test_incremental_LOCATION/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_pretraining/macro_types/f1/mean,test_pretraining/macro_types/recall/mean,test/macro_example/precision/mean,test_pretraining/micro/precision/mean,test_incremental_only/micro/precision/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental/micro/recall/mean,test_incremental_only/macro_example/precision/mean,epoch/mean,test/micro/precision/mean,test_incremental_LOCATION-RIVER/macro_types/recall/mean,test/micro/recall/mean,test/macro_types/recall/mean,test/macro_example/recall/mean,test_pretraining/micro/f1/mean,test_incremental/macro_types/f1/mean,test_pretraining/macro_example/recall/mean,test_incremental_LOCATION-REGION/macro_types/f1/mean,test/micro/f1/mean,test_incremental/micro/f1/mean,test_incremental/micro/precision/mean,test_incremental_only/micro/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental_only/micro/f1/mean,test_incremental/macro_example/recall/mean,test_pretraining/macro_example/precision/mean,test_incremental_LOCATION-CONTINENT/macro_types/precision/mean,test/macro_example/f1/std,threshold_pretraining/std,test/macro_types/precision/std,test_incremental/macro_example/precision/std,test_incremental_only/macro_types/recall/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_only/macro_types/f1/std,test_incremental/macro_types/precision/std,test_incremental_LOCATION/macro_types/f1/std,test_incremental_LOCATION-CONTINENT/macro_types/f1/std,test_incremental_LOCATION-CONTINENT/macro_types/recall/std,test_incremental_LOCATION-REGION/macro_types/precision/std,test_incremental_LOCATION/macro_types/precision/std,threshold_incremental/std,test_incremental/macro_types/recall/std,test_incremental_only/macro_types/precision/std,test_incremental_LOCATION-RIVER/macro_types/f1/std,test_incremental_LOCATION-RIVER/macro_types/precision/std,test/macro_types/f1/std,test_pretraining/macro_example/f1/std,test_incremental_LOCATION-REGION/macro_types/recall/std,test_pretraining/micro/recall/std,test_incremental/macro_example/f1/std,test_incremental_only/macro_example/recall/std,test_incremental_only/macro_example/f1/std,test_pretraining/macro_types/precision/std,test_incremental_LOCATION/macro_types/recall/std,test_incremental_only/macro_example_exclusive/precision/std,test_pretraining/macro_types/f1/std,test_pretraining/macro_types/recall/std,test/macro_example/precision/std,test_pretraining/micro/precision/std,test_incremental_only/micro/precision/std,test_incremental/macro_example_exclusive/precision/std,test_incremental/macro_example_exclusive/f1/std,test_incremental/micro/recall/std,test_incremental_only/macro_example/precision/std,epoch/std,test/micro/precision/std,test_incremental_LOCATION-RIVER/macro_types/recall/std,test/micro/recall/std,test/macro_types/recall/std,test/macro_example/recall/std,test_pretraining/micro/f1/std,test_incremental/macro_types/f1/std,test_pretraining/macro_example/recall/std,test_incremental_LOCATION-REGION/macro_types/f1/std,test/micro/f1/std,test_incremental/micro/f1/std,test_incremental/micro/precision/std,test_incremental_only/micro/recall/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental_only/micro/f1/std,test_incremental/macro_example/recall/std,test_pretraining/macro_example/precision/std,test_incremental_LOCATION-CONTINENT/macro_types/precision/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.8329663475354513,0.17499999999999996,0.8297948439915975,0.12566761175791422,0.6870370705922445,0.8286435802777609,0.7520491282145182,0.7435783743858337,0.8340466022491455,0.8990228176116943,0.9283435940742493,0.8666666547457377,0.5181627770264944,0.901960790157318,0.01,0.7393037676811218,0.8114085793495178,0.8075937827428182,0.9160627921422323,0.8369547526041666,0.8329663475354513,0.4722222189108531,0.8450672229131063,0.12289586663246155,0.05765001351634661,0.06166661158204079,0.8297948439915975,0.8961039185523987,0.8084291219711304,0.8369547526041666,0.8442666530609131,0.8215624491373698,0.7952670454978943,0.7494861682256063,0.8658008972803751,0.8467046419779459,0.7951653997103373,0.06628966331481934,20.0,0.7952670454978943,0.7222222288449606,0.8450672229131063,0.8442666530609131,0.8446957667668661,0.8194046020507812,0.7835490902264913,0.8446957667668661,0.49078577756881714,0.8194046020507812,0.8177967667579651,0.8422839641571045,0.6512345671653748,0.7030651370684305,0.6955313881238302,0.12027436991532643,0.8215624491373698,1.0,0.0021027006351620535,0.0,0.009236470419547914,0.004249998334324329,0.011311858607749577,0.005960590145554594,0.020605517624684985,0.029838681857584138,0.043873259507544046,0.0,0.019139740973940236,0.033333331346516296,0.11055317858096612,0.0,0.0,0.008483842727254,0.0584976862038797,0.05890090674513463,0.0716515556191449,0.005344910640963933,0.0021027006351620535,0.03182344124218273,0.0010441013463067053,0.0024296158695864697,0.0019045471902738396,0.0016896155467847377,0.009236470419547914,0.0,0.01755773601728773,0.005344910640963933,0.001786113367143926,0.003649794937497563,0.005891517421416905,0.08795786494004733,0.02928088386516218,0.01673912968016841,0.005830259003957693,0.0014397015372604348,3.605551275463989,0.005891517421416905,0.05091749168001303,0.0010441013463067053,0.001786113367143926,0.0006348465541607351,0.00339057583033685,0.023069650434195357,0.0006348465541607351,0.060178641503596184,0.00339057583033685,0.019935036055993262,0.03840453516248826,0.014143763224809897,0.023226718749892225,0.043667175730277036,0.0008651563342999319,0.003649794937497563,0.0
no_init_box_kenn_horizontal_adapter_bert_ms,0.8311490615208944,0.17499999999999996,0.8246944546699524,0.12252591798702876,0.6851851940155029,0.8297258416811625,0.755909283955892,0.7290211121241251,0.8098196784655253,0.8990228176116943,0.9283435940742493,0.8666666547457377,0.42349402109781903,0.901960790157318,0.01,0.7379148602485657,0.7791060209274292,0.784514844417572,0.9138239622116089,0.8342205882072449,0.8311490615208944,0.4999999900658925,0.8452950517336527,0.12146340062220891,0.0579641821483771,0.06198313335577647,0.8246944546699524,0.8961039185523987,0.8122605284055074,0.8342205882072449,0.8439742724100748,0.8178343375523885,0.790034810702006,0.6709828575452169,0.8441558678944906,0.8368354837099711,0.796437660853068,0.06660383194684982,24.333333333333332,0.790034810702006,0.6888889074325562,0.8452950517336527,0.8439742724100748,0.8449051976203918,0.816730777422587,0.772137443224589,0.8449051976203918,0.4584767023722331,0.816730777422587,0.8020453850428263,0.8077707290649414,0.6543209950129191,0.7068965633710226,0.6624536315600077,0.12043146044015886,0.8178343375523885,1.0,0.00022358579649336873,0.0,0.0016441536372552822,0.0026238307226634314,0.012904953381692756,0.004373878710916018,0.015731341162523484,0.004749891810520934,0.007809860694942018,0.0,0.019139740973940236,0.033333331346516296,0.00519879134259806,0.0,0.0,0.009678723054930116,0.010413150454102944,0.01538560025011426,0.036421861480670066,0.0006227141056534585,0.00022358579649336873,0.020833328366281385,0.0010441013463067144,0.00155039342724319,0.0012468202171761883,0.001289940752678684,0.0016441536372552822,0.0,0.017557742520676795,0.0006227141056534585,0.0020376311957905654,0.0008060764378212691,0.0005663878494783694,0.005005843201182224,0.018077147429106252,0.010681596975222519,0.005830265507324979,0.0014397015372604348,6.658328118479393,0.0005663878494783694,0.03849001565179121,0.0010441013463067144,0.0020376311957905654,0.0005049395899280073,0.00018496973469703503,0.003378643026872505,0.0005049395899280073,0.010678339665138536,0.00018496973469703503,0.0011643865014307894,0.0036533642961906246,0.014143756721396538,0.01520546795233921,0.004855866718700089,0.0006348508557554403,0.0008060764378212691,0.0
no_init_box_kenn_hybrid_adapter_bert_ms,0.8319544593493143,0.17499999999999996,0.825810968875885,0.12189757823944092,0.6976852416992188,0.8329725861549377,0.767454981803894,0.7390500704447428,0.8151232798894247,0.8990228176116943,0.9283435940742493,0.8666666547457377,0.4402472972869873,0.901960790157318,0.01,0.7472898761431376,0.7861774365107218,0.8152256608009338,0.9182850122451782,0.8357520898183187,0.8319544593493143,0.4930555522441864,0.845978577931722,0.12139103561639786,0.058906689286231995,0.06292985876401265,0.825810968875885,0.8961039185523987,0.8237547675768534,0.8357520898183187,0.8459479411443075,0.8191014528274536,0.7913551131884257,0.6906665960947672,0.8398268818855286,0.8363369305928549,0.8002544641494751,0.06754633784294128,20.0,0.7913551131884257,0.7333333293596903,0.845978577931722,0.8459479411443075,0.8452193737030029,0.8177534937858582,0.7796008189519247,0.8452193737030029,0.4646131892999013,0.8177534937858582,0.8080367843310038,0.8161319096883138,0.6635802586873373,0.7183908025423685,0.6764589548110962,0.12090271214644115,0.8191014528274536,1.0,0.001162487993428186,0.0,0.0052470526146688404,0.00259546223895127,0.00400936157481342,0.0022528988123595287,0.0075349293882249506,0.014409605299916854,0.024923473652741515,0.0,0.019139740973940236,0.033333331346516296,0.03701257821156828,0.0,0.0,0.0030070039748789053,0.033231333210514476,0.0459718557278469,0.0678028825149319,0.0026225391471493996,0.001162487993428186,0.012028136343576822,0.0003946455053726729,0.0014381807658279606,0.000816234049240323,0.0006178532484588209,0.0052470526146688404,0.0,0.006636190608787343,0.0026225391471493996,0.0006330742978403392,0.002211006487087747,0.0030739070913802648,0.03959045721881405,0.017881721736258436,0.009908506663648481,0.002203620939705234,0.0005441560328212146,3.605551275463989,0.0030739070913802648,0.03333333134651627,0.0003946455053726729,0.0006330742978403392,0.00023993643754288723,0.0016224701958969022,0.011157063362929383,0.00023993643754288723,0.022075966643378526,0.0016224701958969022,0.009329823496267773,0.019177111348997203,0.005345849845842259,0.009954303119559848,0.019060360785156983,0.0003269964831809982,0.002211006487087747,0.0
no_init_box_kenn_top_down_adapter_bert_ms,0.8293215036392212,0.17499999999999996,0.811877429485321,0.11875588695208232,0.7199074427286783,0.8383838534355164,0.7872640093167623,0.7077616055806478,0.748938798904419,0.8990228176116943,0.9470915993054708,0.9111110965410868,0.3572043677171071,0.901960790157318,0.013333333333333334,0.7639565269152323,0.6979315082232157,0.7498958706855774,0.7477011680603027,0.8302211960156759,0.8293215036392212,0.4930555522441864,0.8473456303278605,0.1201891228556633,0.06032044937213262,0.06455416232347488,0.811877429485321,0.8961039185523987,0.8467432856559753,0.8302211960156759,0.8494567275047302,0.8132893244425455,0.7821518381436666,0.5924085179964701,0.8181818326314291,0.828056255976359,0.8078880310058594,0.0694313496351242,20.0,0.7821518381436666,0.7555555502573649,0.8473456303278605,0.8494567275047302,0.8460048039754232,0.8134362498919169,0.755858321984609,0.8460048039754232,0.4136297404766083,0.8134362498919169,0.7841502626736959,0.7622522711753845,0.6820987661679586,0.7356321612993876,0.6331051786740621,0.12168813248475392,0.8132893244425455,0.9888888796170553,0.0015104201988606284,0.0,0.007947090138491215,0.002942981472095082,0.017586486809062895,0.0027236091018532373,0.010852814770255046,0.021871321394130713,0.03774863863619174,0.0,0.03291455738006499,0.0693888672851652,0.03468131671199543,0.0,0.005773502691896258,0.013189898842166963,0.05033149913331422,0.06355274029689909,0.1041369077833059,0.003399306350483922,0.0015104201988606284,0.012028136343576822,0.0010441013463067144,0.0013492727330361254,0.00047125294805063785,0.0008899081775936906,0.007947090138491215,0.0,0.017557775037687226,0.003399306350483922,0.0027767891795241325,0.003334186576773582,0.005302380886249264,0.04633298050946594,0.020275979550716184,0.009295940541595311,0.005830232990314508,0.0014397015372604348,3.605551275463989,0.005302380886249264,0.019244990619516733,0.0010441013463067144,0.0027767891795241325,0.000551660927167061,0.0024767040435293816,0.01596841270530065,0.000551660927167061,0.024138191900066237,0.0024767040435293816,0.013179958372532186,0.028830398447756696,0.01414373070779685,0.005747109651591323,0.022360475639850982,0.00039532167305932395,0.003334186576773582,0.01924502503227447
no_init_kenn_bottom_up_adapter_bert_ms,0.8206487894058228,0.25,0.7686619361241659,0.12064089874426524,0.8166666825612386,0.8751803835233053,0.8738001187642416,0.6403983036677042,0.6201594074567159,0.8874598741531372,0.8531468510627747,0.9666666587193807,0.49085506796836853,0.8789808750152588,0.11,0.8365259965260824,0.5338855882485708,0.48718387881914776,0.33959413568178815,0.8169661561648051,0.8206487894058228,0.5833333333333334,0.8626110752423605,0.1236996203660965,0.06864592929681142,0.07164996365706126,0.7686619361241659,0.8961039185523987,0.913793126742045,0.8169661561648051,0.8719411691029867,0.7873965501785278,0.7530584732691447,0.48062707980473834,0.8311688303947449,0.8522422115008036,0.8473282257715861,0.07492930938800176,22.0,0.7530584732691447,0.899999996026357,0.8626110752423605,0.8719411691029867,0.8568960030873617,0.8040222922960917,0.709784726301829,0.8568960030873617,0.5261889497439066,0.8040222922960917,0.7408601641654968,0.6616570949554443,0.7777777711550394,0.8371647596359253,0.5880638758341471,0.12702901164690653,0.7873965501785278,0.7712075114250183,0.006384996116382054,0.0,0.019061327996876973,0.0060858861453760545,0.025268611984113246,0.005338604957334205,0.014740761286914367,0.08958286905347045,0.09054126973207463,0.0,0.07201125403718882,0.057735040684065646,0.17017351743259918,0.0,0.08888194417315588,0.018951449978624295,0.1207217052602994,0.08826985504545341,0.09101389761646443,0.011001821761518312,0.006384996116382054,0.036084391824351594,0.0018084591083988677,0.003219455174074575,0.0011859660059883638,0.0012087183938586214,0.019061327996876973,0.0,0.015205479216579183,0.011001821761518312,0.003989772563124538,0.011597627858273821,0.02077923312976978,0.12922670745697076,0.04192941839221104,0.022180825493507757,0.010098293551848285,0.0012468195131634904,1.7320508075688772,0.02077923312976978,0.03333333134651631,0.0018084591083988677,0.003989772563124538,0.0008162189941943984,0.012058746224534986,0.06063482804018595,0.0008162189941943984,0.11257060146971845,0.012058746224534986,0.05877596810811162,0.09157592834828363,0.024497693987129206,0.014463285538449642,0.10024037624172039,0.0007748797890711789,0.011597627858273821,0.1167399816629332
no_init_kenn_horizontal_adapter_bert_ms,0.8233439524968466,0.25,0.7755520343780518,0.12289244929949443,0.816203753153483,0.8755411307017008,0.8737255334854126,0.6757611433664957,0.6528874635696411,0.8874598741531372,0.8867715001106262,0.9555555383364359,0.4936172068119049,0.8789808750152588,0.11666666666666665,0.836178739865621,0.5775229930877686,0.5599431792894999,0.4108454982439677,0.8208848436673483,0.8233439524968466,0.6041666865348816,0.8628389239311218,0.12493867675463359,0.06864592929681142,0.07164384673039119,0.7755520343780518,0.8961039185523987,0.913793126742045,0.8208848436673483,0.8718680540720621,0.7923080921173096,0.7628194292386373,0.5295759737491608,0.8466811180114746,0.86077880859375,0.8486005266507467,0.07492931187152863,22.0,0.7628194292386373,0.8888888756434122,0.8628389239311218,0.8718680540720621,0.8569483757019043,0.8097329139709473,0.7329517006874084,0.8569483757019043,0.5403472185134888,0.8097329139709473,0.7673698862393697,0.7011210521062216,0.7808641990025839,0.8371647596359253,0.629732588926951,0.127081369360288,0.7923080921173096,0.8281061848004659,0.005116418408429904,0.0,0.009536760651862979,0.003569431761368273,0.024467073120628735,0.006758663031717289,0.01628996322900725,0.04930421214795723,0.04529964979259445,0.0,0.04413865663294082,0.050917517693612684,0.11958398330910917,0.0,0.055075705472861024,0.01835028721808793,0.06039958408220859,0.06034885525892181,0.06378537103516717,0.006949685396189734,0.005116418408429904,0.0625,0.002197225192939981,0.0021776964753558413,0.0014397047889631487,0.0013357499704243338,0.009536760651862979,0.0,0.02072158119121771,0.006949685396189734,0.003863251781340834,0.009165355967315767,0.010131802383591541,0.07269593058761972,0.024591950141633054,0.015003449632113112,0.012269276131203535,0.0016991277011058484,1.7320508075688772,0.010131802383591541,0.019244990619516733,0.002197225192939981,0.003863251781340834,0.0010692543014112607,0.006334146976050312,0.03518276706152134,0.0010692543014112607,0.09224362982825718,0.006334146976050312,0.032330338760272644,0.04782373530952927,0.029764342640376005,0.01755773601728773,0.05957932861157438,0.000980983484284821,0.009165355967315767,0.05002838630976709
no_init_kenn_hybrid_adapter_bert_ms,0.8265662590662638,0.25,0.7813435594240824,0.12189757823944092,0.7930555939674377,0.8672438661257426,0.8566106756528219,0.6856329441070557,0.6803973118464152,0.8874598741531372,0.8743589917818705,0.9555555582046509,0.5360827545324961,0.8789808750152588,0.24333333333333332,0.818817655245463,0.6142028073469797,0.6236652334531149,0.49382715423901874,0.8223610520362854,0.8265662590662638,0.534722218910853,0.8605604966481527,0.12377634892861049,0.06660383194684982,0.07024045785268147,0.7813435594240824,0.8961039185523987,0.906130294005076,0.8223610520362854,0.8682130972544352,0.7992564837137858,0.7690543135007223,0.5878609617551168,0.8398268620173136,0.8527708252271017,0.8358778556187948,0.07430096964041392,21.666666666666668,0.7690543135007223,0.8888888955116272,0.8605604966481527,0.8682130972544352,0.8558487693468729,0.8121532797813416,0.7398403684298197,0.8558487693468729,0.5283646782239279,0.8121532797813416,0.7803928057352701,0.7359108130137125,0.749999980131785,0.8122605482737223,0.6509284575780233,0.12587705502907434,0.7992564837137858,0.8126984238624573,0.0034333068228450995,0.0,0.01777507741908296,0.00587546687302513,0.0493788297830923,0.013957823482592033,0.0418265584001116,0.06030395795622487,0.08443152473135487,0.0,0.0453635889813257,0.07698003130358241,0.11529601541589304,0.0,0.18009256878986799,0.03703414161720338,0.11257536643681897,0.116951517441812,0.15038054674811802,0.007167482805310116,0.0034333068228450995,0.04811252816792844,0.0036168956883596,0.002417215644314566,0.0035992587207035022,0.0034296990016744844,0.01777507741908296,0.0,0.03911985572185865,0.007167482805310116,0.007796657510763648,0.007781252398814371,0.016554959564502512,0.12536663651801436,0.040479653894916146,0.016653607035948495,0.020196587103696543,0.0032077581605256355,1.1547005383792517,0.016554959564502512,0.03849001565179123,0.0036168956883596,0.007796657510763648,0.0018740417467858674,0.008037631223310634,0.04017403253123271,0.0018740417467858674,0.05582616591078408,0.008037631223310634,0.04081762070653828,0.08220040032037369,0.048995399238470995,0.04389441158058227,0.06814828347466532,0.0020259254563864976,0.007781252398814371,0.08536081814859847
no_init_kenn_top_down_adapter_bert_ms,0.8191236853599548,0.25,0.7678612271944681,0.12299716969331105,0.7870370546976725,0.8650793631871542,0.8531862497329712,0.6234918634096781,0.61635622382164,0.8874598741531372,0.8273240129152933,0.9444444179534912,0.5005197028319041,0.8789808750152588,0.3066666666666667,0.8143037358919779,0.5288147330284119,0.4719175199667613,0.3322757234176,0.8143937985102335,0.8191236853599548,0.527777781089147,0.8601048191388448,0.12421699116627376,0.06597549468278885,0.06995966533819835,0.7678612271944681,0.8961039185523987,0.9080459872881571,0.8143937985102335,0.8672628005345663,0.7857890725135803,0.7508663932482401,0.4727633595466614,0.8474026322364807,0.8558066685994467,0.8333333532015482,0.07445805768171947,21.666666666666668,0.7508663932482401,0.8888888955116272,0.8601048191388448,0.8672628005345663,0.8555345932642618,0.8015553951263428,0.6973300377527872,0.8555345932642618,0.5086748898029327,0.8015553951263428,0.7301318645477295,0.6567557056744894,0.7438271641731262,0.8045976956685384,0.5676320592562357,0.12556288639704385,0.7857890725135803,0.7536486387252808,0.007788619869165175,0.0,0.021619665468530013,0.004897408596985646,0.034143349053842545,0.010055784225235143,0.031286547669414355,0.09894560346476888,0.10269338974931366,0.0,0.11897811012321742,0.03849001565179121,0.1187671170764959,0.0,0.17243356208503416,0.025607473198672865,0.1369245540562617,0.1360697007701856,0.12906043546774698,0.010742874683838523,0.007788619869165175,0.04336805040456278,0.00258779541773684,0.0020942728367863276,0.002623831391745633,0.0025654325494079326,0.021619665468530013,0.0,0.030410924640490677,0.010742874683838523,0.005391029038698163,0.01503019426772141,0.029239723800856085,0.1385285034545831,0.03374126156490616,0.01442876441745888,0.014450142954308682,0.0024936390263269785,1.1547005383792517,0.029239723800856085,0.03849001565179123,0.00258779541773684,0.005391029038698163,0.0013079525274663055,0.016101440126699645,0.06407468415341992,0.0013079525274663055,0.07228764313455409,0.016101440126699645,0.07196584801466988,0.11517169392364121,0.035054992510026736,0.03199868612364337,0.10515843091191697,0.0014595640359995968,0.01503019426772141,0.18780757746203197
smart_init_box_adapter_bert_ms,0.8365355928738912,0.17499999999999996,0.8364085555076599,0.1326316843430201,0.7518518765767416,0.8484848539034525,0.8136982321739197,0.7988734642664591,0.8654617269833883,0.8990228176116943,0.9050264557202657,0.899999996026357,0.8663713932037354,0.901960790157318,0.31333333333333335,0.7879148324330648,0.8532954454421997,0.8150230248769125,0.7790625294049581,0.8453463315963745,0.8365355928738912,0.4999999900658925,0.8493962287902832,0.12771106759707132,0.06330505634347598,0.06672171751658122,0.8364085555076599,0.8961039185523987,0.8601532578468323,0.8453463315963745,0.8545005718866984,0.8257304231325785,0.801378091176351,0.846420149008433,0.9137807091077169,0.8798794945081075,0.8193384210268656,0.07053094357252121,85.33333333333333,0.801378091176351,0.8555555542310079,0.8493962287902832,0.8545005718866984,0.8476280371348063,0.824686865011851,0.8246011137962341,0.8476280371348063,0.6318997542063395,0.824686865011851,0.8490222295125326,0.8811106085777283,0.709876537322998,0.7720306317011515,0.7716240286827087,0.12315425773461659,0.8257304231325785,0.9144522150357565,0.0002981312933324736,0.0,0.003489828467493667,0.0014079326266689183,0.02861017746041039,0.008590115995589299,0.02533814383129834,0.010419396076408712,0.016576600124672,0.0,0.024594636655279833,0.057735040684065715,0.10266205812361104,0.0,0.05686240703077327,0.021457647080649664,0.022102148036439995,0.013321403939305119,0.032701054597596965,0.0013032977998893795,0.0002981312933324736,0.036084374617972766,0.002197225192939981,0.0007423864836556215,0.0022270558596044774,0.002077681023468652,0.003489828467493667,0.0,0.023226753162649938,0.0013032977998893795,0.004517420756841921,0.00041560462722115633,0.0009916039255994337,0.020305071032321476,0.009700111057858304,0.005114684093148454,0.012269276131203561,0.0019045461148778943,16.258331197676263,0.0009916039255994337,0.019245025032274446,0.002197225192939981,0.004517420756841921,0.0009810192758555954,0.000623414258372389,0.00735945508298868,0.0009810192758555954,0.03860219301044007,0.000623414258372389,0.003490039048329375,0.008207785805455003,0.02976436427287171,0.02715988780393759,0.010895493433461781,0.0012468195131634988,0.00041560462722115633,0.05884428141594543
smart_init_classifier_adapter_bert_ms,0.8280739386876425,0.25,0.7872084379196167,0.11815372854471207,0.7768518924713135,0.8639971017837524,0.8442612091700236,0.7051901419957479,0.7082553307215372,0.8874598741531372,0.8870538870493571,0.9111110965410868,0.505654364824295,0.8789808750152588,0.39666666666666667,0.8066648642222086,0.6513468623161316,0.6929037968317667,0.578401525815328,0.824502170085907,0.8280739386876425,0.5416666666666666,0.859649141629537,0.12151055286327998,0.06581840912501018,0.06922782709201176,0.7872084379196167,0.8961039185523987,0.8908045887947083,0.824502170085907,0.8656546274820963,0.8025604685147604,0.7695245345433553,0.5808636645476023,0.8140332102775574,0.8371604283650717,0.830788811047872,0.07304429511229198,28.333333333333332,0.7695245345433553,0.8777777751286825,0.859649141629537,0.8656546274820963,0.8552727897961935,0.8120511770248413,0.7525318662325541,0.8552727897961935,0.494176318248113,0.8120511770248413,0.7790606816609701,0.7355269392331442,0.7376543283462524,0.8026820023854574,0.6456399162610372,0.1254057983557383,0.8025604685147604,0.8699845671653748,0.002004968538375627,0.0,0.01558365805057457,0.010314582212992392,0.026583079919250394,0.005960550463771486,0.014145415248267545,0.05694019999341333,0.07402235353224448,0.0,0.044329810200728535,0.0693888672851652,0.2859281190724896,0.0,0.14742229591663986,0.01993732213661409,0.0986964875697023,0.078953089214379,0.11312383030411295,0.008009204510955072,0.002004968538375627,0.020833343267447887,0.0017201606652451627,0.0052743380362623065,0.0014396982855632316,0.0011598963855068774,0.01558365805057457,0.0,0.025051200093933062,0.008009204510955072,0.004197369657375146,0.004153110650090015,0.012857277014157892,0.10784614021769404,0.0710635020299391,0.0363381880337069,0.009605388617965371,0.002054144832018117,10.115993936995679,0.012857277014157892,0.019244990619516757,0.0017201606652451627,0.004197369657375146,0.0008651265738948578,0.006819403784889269,0.040279428492063826,0.0008651265738948578,0.12936342705986367,0.006819403784889269,0.03585508407475405,0.06612857406821272,0.02330195608676047,0.01755776853427647,0.0655801920654352,0.0008651590399271946,0.004153110650090015,0.08045714721593372
