name,instance,run_id,test/macro_example/f1,threshold_pretraining,test/macro_types/precision,test_incremental/macro_example/precision,test_incremental_only/macro_types/recall,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_only/macro_types/f1,test_incremental/macro_types/precision,test_incremental_LOCATION/macro_types/f1,test_incremental_LOCATION-CONTINENT/macro_types/f1,test_incremental_LOCATION-CONTINENT/macro_types/recall,test_incremental_LOCATION-REGION/macro_types/precision,test_incremental_LOCATION/macro_types/precision,threshold_incremental,test_incremental/macro_types/recall,test_incremental_only/macro_types/precision,test_incremental_LOCATION-RIVER/macro_types/f1,test_incremental_LOCATION-RIVER/macro_types/precision,test/macro_types/f1,test_pretraining/macro_example/f1,test_incremental_LOCATION-REGION/macro_types/recall,test_pretraining/micro/recall,test_incremental/macro_example/f1,test_incremental_only/macro_example/recall,test_incremental_only/macro_example/f1,test_pretraining/macro_types/precision,test_incremental_LOCATION/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test_pretraining/macro_types/f1,test_pretraining/macro_types/recall,test/macro_example/precision,test_pretraining/micro/precision,test_incremental_only/micro/precision,test_incremental/macro_example_exclusive/precision,test_incremental/macro_example_exclusive/f1,test_incremental/micro/recall,test_incremental_only/macro_example/precision,epoch,test/micro/precision,test_incremental_LOCATION-RIVER/macro_types/recall,test/micro/recall,test/macro_types/recall,test/macro_example/recall,test_pretraining/micro/f1,test_incremental/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_LOCATION-REGION/macro_types/f1,test/micro/f1,test_incremental/micro/f1,test_incremental/micro/precision,test_incremental_only/micro/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental_only/micro/f1,test_incremental/macro_example/recall,test_pretraining/macro_example/precision,test_incremental_LOCATION-CONTINENT/macro_types/precision
no_init_box_kenn_horizontal_adapter_bert_ms,2,4mxklokc,0.8313297033309937,0.175,0.826444149017334,0.12016964703798294,0.6708333492279053,0.8246753215789795,0.737770676612854,0.725635290145874,0.8181308507919312,0.8990228176116943,0.9285714626312256,0.8666666746139526,0.4181818068027496,0.901960790157318,0.01,0.7271509766578674,0.7901875972747803,0.7843137383460999,0.9523809552192688,0.8340063691139221,0.8313297033309937,0.4791666567325592,0.8441558480262756,0.11993356049060822,0.05655042082071304,0.06049580127000809,0.826444149017334,0.8961039185523987,0.7931034564971924,0.8340063691139221,0.8417081832885742,0.8187244534492493,0.7906529903411865,0.6764705777168274,0.8279221057891846,0.8262954950332642,0.7900763154029846,0.06503298878669739,17,0.7906529903411865,0.6666666865348816,0.8441558480262756,0.8417081832885742,0.8443292379379272,0.8165289163589478,0.7699626684188843,0.8443292379379272,0.446601927280426,0.8165289163589478,0.8007736802101135,0.8117647171020508,0.6388888955116272,0.6896551847457886,0.6571428775787354,0.11969839781522752,0.8187244534492493,1.0
no_init_box_kenn_horizontal_adapter_bert_ms,1,bz0y5cjh,0.8308990001678467,0.175,0.8231815099716187,0.12535344064235687,0.6888889074325562,0.8322511315345764,0.7641310691833496,0.7269772291183472,0.8026330471038818,0.8990228176116943,0.9090909361839294,0.8333333134651184,0.4285714328289032,0.901960790157318,0.01,0.7406926155090332,0.7695238590240479,0.800000011920929,0.8799999952316284,0.8337332606315613,0.8308990001678467,0.5,0.8455228805541992,0.1230335608124733,0.058906689286231995,0.06265730410814285,0.8231815099716187,0.8961039185523987,0.8160919547080994,0.8337332606315613,0.8445590734481812,0.8171536326408386,0.789910614490509,0.6698113083839417,0.8636363744735718,0.8476532697677612,0.7977099418640137,0.06691800057888031,30,0.789910614490509,0.7333333492279053,0.8455228805541992,0.8445590734481812,0.8451146483421326,0.8167712688446045,0.7704198360443115,0.8451146483421326,0.4615384638309479,0.8167712688446045,0.8023032546043396,0.80694979429245,0.6574074029922485,0.7183908224105835,0.6635513305664062,0.12079799175262453,0.8171536326408386,1.0
no_init_box_kenn_horizontal_adapter_bert_ms,0,hfgh3hsj,0.8312184810638428,0.175,0.8244577050209045,0.12205466628074646,0.6958333253860474,0.8322510719299316,0.7658261060714722,0.7344508171081543,0.8086951375007629,0.8990228176116943,0.9473683834075928,0.8999999761581421,0.4237288236618042,0.901960790157318,0.01,0.7459009885787964,0.7776066064834595,0.7692307829856873,0.9090909361839294,0.8349221348762512,0.8312184810638428,0.5208333134651184,0.8462064266204834,0.12142308056354524,0.058435436338186264,0.06279629468917847,0.8244577050209045,0.8961039185523987,0.8275861740112305,0.8349221348762512,0.8456555604934692,0.8176249265670776,0.7895408272743225,0.6666666865348816,0.8409091234207153,0.8365576863288879,0.8015267252922058,0.06786050647497177,26,0.7895408272743225,0.6666666865348816,0.8462064266204834,0.8456555604934692,0.8452717065811157,0.816892147064209,0.7760298252105713,0.8452717065811157,0.4672897160053253,0.816892147064209,0.8030592203140259,0.8045976758003235,0.6666666865348816,0.7126436829566956,0.6666666865348816,0.12079799175262453,0.8176249265670776,1.0
no_init_box_kenn_hybrid_adapter_bert_ms,2,xkf2mrl8,0.8320876955986023,0.175,0.8274926543235779,0.12064090371131896,0.6930556297302246,0.8311688303947449,0.760867714881897,0.7413278818130493,0.8231111764907837,0.8990228176116943,0.9285714626312256,0.8666666746139526,0.43396225571632385,0.901960790157318,0.01,0.7438176870346069,0.796828031539917,0.8301886916160583,0.95652174949646,0.8362608551979065,0.8320876955986023,0.4791666567325592,0.8455228805541992,0.12064090371131896,0.058435432612895966,0.062389716506004333,0.8274926543235779,0.8961039185523987,0.8160919547080994,0.8362608551979065,0.8452169299125671,0.8196040987968445,0.7919334173202515,0.6960784196853638,0.8311688899993896,0.8311688303947449,0.7977099418640137,0.06691800057888031,16,0.7919334173202515,0.7333333492279053,0.8455228805541992,0.8452169299125671,0.8449575901031494,0.817851185798645,0.7814581394195557,0.8449575901031494,0.4554455578327179,0.817851185798645,0.8085106015205383,0.8196078538894653,0.6574074029922485,0.7126436829566956,0.6761904954910278,0.12064090371131896,0.8196040987968445,1.0
no_init_box_kenn_top_down_adapter_bert_ms,2,1tv4eiel,0.8301819562911987,0.175,0.8161658644676208,0.1163996160030365,0.7263889312744141,0.838744580745697,0.7889388799667358,0.7257396578788757,0.769308865070343,0.8990228176116943,0.9655172228813172,0.9333333373069764,0.35384616255760193,0.901960790157318,0.01,0.768817663192749,0.7250916361808777,0.7931035161018372,0.8214285969734192,0.8329697847366333,0.8301819562911987,0.4791666567325592,0.847573459148407,0.11901015788316728,0.060320451855659485,0.06469149142503738,0.8161658644676208,0.8961039185523987,0.8505747318267822,0.8329697847366333,0.8504801392555237,0.8148915767669678,0.7843137383460999,0.6115702390670776,0.801948070526123,0.8199336528778076,0.8091602921485901,0.0697455182671547,16,0.7843137383460999,0.7666666507720947,0.847573459148407,0.8504801392555237,0.8460571765899658,0.8147174715995789,0.7690632343292236,0.8460571765899658,0.40707963705062866,0.8147174715995789,0.7910448312759399,0.7737226486206055,0.6851851940155029,0.7356321811676025,0.6462882161140442,0.12174049019813538,0.8148915767669678,1.0
no_init_box_kenn_bottom_up_adapter_bert_ms,2,26o9wtel,0.8333978056907654,0.175,0.8316102027893066,0.12535344064235687,0.6791666746139526,0.8246753215789795,0.737770676612854,0.7441586852073669,0.8426694273948669,0.8990228176116943,0.9285714626312256,0.8666666746139526,0.5121951103210449,0.901960790157318,0.01,0.7334010004997253,0.8229056596755981,0.8301886916160583,0.95652174949646,0.8372781872749329,0.8333978056907654,0.4375,0.8441558480262756,0.12246066331863403,0.05655042082071304,0.06049580127000809,0.8316102027893066,0.8961039185523987,0.7931034564971924,0.8372781872749329,0.843023955821991,0.8227458000183105,0.7967742085456848,0.7666666507720947,0.8636363744735718,0.8437063097953796,0.7900763154029846,0.06503298878669739,16,0.7967742085456848,0.7333333492279053,0.8441558480262756,0.843023955821991,0.8443292379379272,0.8197809457778931,0.7842473983764648,0.8443292379379272,0.47191011905670166,0.8197809457778931,0.8198019862174988,0.8518518805503845,0.6388888955116272,0.6896551847457886,0.696969747543335,0.11969839036464693,0.8227458000183105,1.0
no_init_box_kenn_hybrid_adapter_bert_ms,1,z6k427gr,0.8330445885658264,0.175,0.8300110101699829,0.12488218396902084,0.7000000476837158,0.8354978561401367,0.775671124458313,0.7521851062774658,0.8350735306739807,0.8990228176116943,0.9090909361839294,0.8333333134651184,0.47999998927116394,0.901960790157318,0.01,0.7490259408950806,0.8127777576446533,0.8518518805503845,0.9583333134651184,0.8380829691886902,0.8330445885658264,0.5,0.8462064266204834,0.12304919958114624,0.059849195182323456,0.06360357254743576,0.8300110101699829,0.8961039185523987,0.8275861740112305,0.8380829691886902,0.8463134765625,0.821017861366272,0.7940987944602966,0.7272727489471436,0.8603896498680115,0.8477610349655151,0.8015267252922058,0.06786050647497177,21,0.7940987944602966,0.7666666507720947,0.8462064266204834,0.8463134765625,0.8454288244247437,0.8193249106407166,0.78971266746521,0.8454288244247437,0.48979589343070984,0.8193249106407166,0.8171206712722778,0.8333333134651184,0.6666666865348816,0.7298850417137146,0.6956521272659302,0.12126924097537994,0.821017861366272,1.0
no_init_box_kenn_top_down_adapter_bert_ms,1,9mxe34wz,0.8302050828933716,0.175,0.8167591094970703,0.12205466628074646,0.7000000476837158,0.8354978561401367,0.775671124458313,0.7141331434249878,0.7721267342567444,0.8990228176116943,0.9090909361839294,0.8333333134651184,0.39344263076782227,0.901960790157318,0.02,0.7490259408950806,0.7288486957550049,0.7796610593795776,0.7931034564971924,0.8312736749649048,0.8302050828933716,0.5,0.8462064266204834,0.12166068702936172,0.059849195182323456,0.06360357254743576,0.8167591094970703,0.8961039185523987,0.8275861740112305,0.8312736749649048,0.8463134765625,0.8155199289321899,0.7860317230224609,0.626086950302124,0.8409091234207153,0.838194727897644,0.8015267252922058,0.06786050647497177,21,0.7860317230224609,0.7666666507720947,0.8462064266204834,0.8463134765625,0.8454288244247437,0.8150098919868469,0.7604009509086609,0.8454288244247437,0.4403669834136963,0.8150098919868469,0.792452871799469,0.7835820913314819,0.6666666865348816,0.7298850417137146,0.6457398533821106,0.12126924097537994,0.8155199289321899,1.0
no_init_box_kenn_bottom_up_adapter_bert_ms,1,m73yhugr,0.8348198533058167,0.175,0.8379888534545898,0.13006597757339478,0.7000000476837158,0.8354978561401367,0.775671124458313,0.7731226682662964,0.8729682564735413,0.8990228176116943,0.9090909361839294,0.8333333134651184,0.6315789222717285,0.901960790157318,0.01,0.7490259408950806,0.8633041381835938,0.8518518805503845,0.9583333134651184,0.8421306014060974,0.8348198533058167,0.5,0.8462064266204834,0.12551367282867432,0.059849195182323456,0.06360357254743576,0.8379888534545898,0.8961039185523987,0.8275861740112305,0.8421306014060974,0.8463134765625,0.8244737386703491,0.8002585768699646,0.8275862336158752,0.8961039781570435,0.8647403120994568,0.8015267252922058,0.06786050647497177,21,0.8002585768699646,0.7666666507720947,0.8462064266204834,0.8463134765625,0.8454288244247437,0.8225913047790527,0.8062616586685181,0.8454288244247437,0.5581395030021667,0.8225913047790527,0.8366534113883972,0.875,0.6666666865348816,0.7298850417137146,0.7384616136550903,0.12126924097537994,0.8244737386703491,1.0
no_init_box_kenn_hybrid_adapter_bert_ms,0,4fcndcsj,0.8307310938835144,0.175,0.8199292421340942,0.12016964703798294,0.7000000476837158,0.8322510719299316,0.7658261060714722,0.7236372232437134,0.7871851325035095,0.8990228176116943,0.9473683834075928,0.8999999761581421,0.4067796468734741,0.901960790157318,0.01,0.7490260004997253,0.7489265203475952,0.7636364102363586,0.8399999737739563,0.8329124450683594,0.8307310938835144,0.5,0.8462064266204834,0.12048300355672836,0.05843544006347656,0.06279628723859787,0.8199292421340942,0.8961039185523987,0.8275861740112305,0.8329124450683594,0.8463134169578552,0.8166823983192444,0.788033127784729,0.6486486196517944,0.8279221057891846,0.8300809264183044,0.8015267252922058,0.06786050647497177,23,0.788033127784729,0.699999988079071,0.8462064266204834,0.8463134169578552,0.8452717065811157,0.8160843849182129,0.7676316499710083,0.8452717065811157,0.44859811663627625,0.8160843849182129,0.7984790802001953,0.7954545617103577,0.6666666865348816,0.7126436829566956,0.6575342416763306,0.12079799175262453,0.8166823983192444,1.0
