name,instance,run_id,epoch,test_incremental/micro/recall,test_pretraining/macro_example/f1,test_incremental_only/macro_types/precision,test_incremental_only/micro/f1,test_incremental_only/macro_types/recall,test_incremental_only/macro_types/f1,test/macro_types/f1,test/macro_types/precision,test_pretraining/macro_example/recall,test_incremental_only/macro_example_exclusive/precision,test_incremental/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/recall,test_incremental/macro_example_exclusive/precision,test/micro/precision,test/micro/recall,test_incremental/micro/precision,test_incremental_only/micro/recall,test_incremental_only/micro/precision,test_incremental_other-language/macro_types/precision,test_incremental_other-language/macro_types/recall,threshold_incremental,test_pretraining/macro_types/f1,test_incremental_only/macro_example/f1,test_incremental/macro_example/precision,test_incremental_only/macro_example/precision,test_pretraining/micro/f1,test_pretraining/micro/recall,test_incremental_only/macro_example/recall,test/micro/f1,test/macro_types/recall,test_pretraining/macro_types/recall,test_incremental_other-language/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental/micro/f1,test/macro_example/precision,test_incremental/macro_types/precision,test_incremental_other-language-programming_language/macro_types/recall,test/macro_example/f1,threshold_pretraining,test/macro_example/recall,test_incremental/macro_types/f1,test_pretraining/micro/precision,test_incremental/macro_example/f1,test_pretraining/macro_example/precision,test_pretraining/macro_types/precision,test_incremental_other-language-programming_language/macro_types/f1,test_incremental_other-language-programming_language/macro_types/precision,test_incremental/macro_types/recall,test_incremental/macro_example/recall,test_incremental_only/macro_example_exclusive/f1
kenn_hybrid_adapter_bert_ms,2,1ndrfdiv,45,0.6818181872367859,0.8247015476226807,0.040376849472522736,0.07761965692043304,1.0,0.07761965692043304,0.8322799205780029,0.8467962741851807,0.8645212650299072,1.0,0.6455171704292297,0.6206896305084229,0.6724137663841248,0.7524991631507874,0.8570867776870728,0.07751937955617905,1.0,0.040376849472522736,0.9677419066429138,0.517241358757019,0.99,0.8322799205780029,0.01480019837617874,0.019240256398916245,0.01480019837617874,0.8013949990272522,0.8570867776870728,0.01480019837617874,0.8013949990272522,0.8182529211044312,0.8182529211044312,0.6741572618484497,1.0,0.13921114802360535,0.7883884906768799,0.504059374332428,1.0,0.8247015476226807,0.33,0.8645212650299072,0.6056797504425049,0.7524991631507874,0.0184706449508667,0.7883884906768799,0.8467962741851807,0.07761965692043304,0.040376849472522736,0.7586206793785095,0.01776023581624031,1.0
kenn_top_down_adapter_bert_ms,2,38y5sqv0,55,0.6818181872367859,0.8247015476226807,0.040376849472522736,0.07761965692043304,1.0,0.07761965692043304,0.8322799205780029,0.8467962741851807,0.8645212650299072,1.0,0.6455171704292297,0.6206896305084229,0.6724137663841248,0.7524991631507874,0.8570867776870728,0.07751937955617905,1.0,0.040376849472522736,0.9677419066429138,0.517241358757019,0.99,0.8322799205780029,0.01480019837617874,0.019240256398916245,0.01480019837617874,0.8013949990272522,0.8570867776870728,0.01480019837617874,0.8013949990272522,0.8182529211044312,0.8182529211044312,0.6741572618484497,1.0,0.13921114802360535,0.7883884906768799,0.504059374332428,1.0,0.8247015476226807,0.33,0.8645212650299072,0.6056797504425049,0.7524991631507874,0.0184706449508667,0.7883884906768799,0.8467962741851807,0.07761965692043304,0.040376849472522736,0.7586206793785095,0.01776023581624031,1.0
kenn_bottom_up_adapter_bert_ms,2,1qibvs8b,45,0.6818181872367859,0.8247015476226807,0.040376849472522736,0.07761965692043304,1.0,0.07761965692043304,0.8322799205780029,0.8467962741851807,0.8645212650299072,1.0,0.6455171704292297,0.6206896305084229,0.6724137663841248,0.7524991631507874,0.8570867776870728,0.07751937955617905,1.0,0.040376849472522736,0.9677419066429138,0.517241358757019,0.99,0.8322799205780029,0.01480019837617874,0.019240256398916245,0.01480019837617874,0.8013949990272522,0.8570867776870728,0.01480019837617874,0.8013949990272522,0.8182529211044312,0.8182529211044312,0.6741572618484497,1.0,0.13921114802360535,0.7883884906768799,0.504059374332428,1.0,0.8247015476226807,0.33,0.8645212650299072,0.6056797504425049,0.7524991631507874,0.0184706449508667,0.7883884906768799,0.8467962741851807,0.07761965692043304,0.040376849472522736,0.7586206793785095,0.01776023581624031,1.0
kenn_hybrid_adapter_bert_ms,1,3iswpa6n,47,0.6818181872367859,0.8247015476226807,0.040376849472522736,0.07761965692043304,1.0,0.07761965692043304,0.8322799205780029,0.8467962741851807,0.8645212650299072,1.0,0.6455171704292297,0.6206896305084229,0.6724137663841248,0.7524991631507874,0.8570867776870728,0.07751937955617905,1.0,0.040376849472522736,0.9677419066429138,0.517241358757019,0.99,0.8322799205780029,0.01480019837617874,0.019240256398916245,0.01480019837617874,0.8013949990272522,0.8570867776870728,0.01480019837617874,0.8013949990272522,0.8182529211044312,0.8182529211044312,0.6741572618484497,1.0,0.13921114802360535,0.7883884906768799,0.504059374332428,1.0,0.8247015476226807,0.33,0.8645212650299072,0.6056797504425049,0.7524991631507874,0.0184706449508667,0.7883884906768799,0.8467962741851807,0.07761965692043304,0.040376849472522736,0.7586206793785095,0.01776023581624031,1.0
kenn_top_down_adapter_bert_ms,1,3l0aart4,54,0.6818181872367859,0.8247015476226807,0.040376849472522736,0.07761965692043304,1.0,0.07761965692043304,0.8322799205780029,0.8467962741851807,0.8645212650299072,1.0,0.6455171704292297,0.6206896305084229,0.6724137663841248,0.7524991631507874,0.8570867776870728,0.07751937955617905,1.0,0.040376849472522736,0.9677419066429138,0.517241358757019,0.99,0.8322799205780029,0.01480019837617874,0.019240256398916245,0.01480019837617874,0.8013949990272522,0.8570867776870728,0.01480019837617874,0.8013949990272522,0.8182529211044312,0.8182529211044312,0.6741572618484497,1.0,0.13921114802360535,0.7883884906768799,0.504059374332428,1.0,0.8247015476226807,0.33,0.8645212650299072,0.6056797504425049,0.7524991631507874,0.0184706449508667,0.7883884906768799,0.8467962741851807,0.07761965692043304,0.040376849472522736,0.7586206793785095,0.01776023581624031,1.0
kenn_bottom_up_adapter_bert_ms,1,2v106rpp,46,0.6818181872367859,0.8247015476226807,0.040376849472522736,0.07761965692043304,1.0,0.07761965692043304,0.8322799205780029,0.8467962741851807,0.8645212650299072,1.0,0.6455171704292297,0.6206896305084229,0.6724137663841248,0.7524991631507874,0.8570867776870728,0.07751937955617905,1.0,0.040376849472522736,0.9677419066429138,0.517241358757019,0.99,0.8322799205780029,0.01480019837617874,0.019240256398916245,0.01480019837617874,0.8013949990272522,0.8570867776870728,0.01480019837617874,0.8013949990272522,0.8182529211044312,0.8182529211044312,0.6741572618484497,1.0,0.13921114802360535,0.7883884906768799,0.504059374332428,1.0,0.8247015476226807,0.33,0.8645212650299072,0.6056797504425049,0.7524991631507874,0.0184706449508667,0.7883884906768799,0.8467962741851807,0.07761965692043304,0.040376849472522736,0.7586206793785095,0.01776023581624031,1.0
kenn_hybrid_adapter_bert_ms,0,278b7x2c,38,0.625,0.8549883365631104,0.121359221637249,0.2118644118309021,0.8333333134651184,0.2118644118309021,0.831290602684021,0.8484834432601929,0.8636989593505859,0.8333333730697632,0.5688348412513733,0.5775861740112305,0.5603448152542114,0.8283001184463501,0.8561052083969116,0.2320675104856491,0.8333333134651184,0.121359221637249,0.9677419066429138,0.517241358757019,0.02,0.831290602684021,0.012333497405052183,0.01603354699909687,0.012333497405052183,0.8419731855392456,0.8561052083969116,0.012333497405052183,0.8419731855392456,0.8147807121276855,0.8147807121276855,0.6741572618484497,0.8333333730697632,0.3384615480899811,0.8464516401290894,0.5445505380630493,0.8333333134651184,0.8549883365631104,0.33,0.8636989593505859,0.6029130220413208,0.8283001184463501,0.01627647876739502,0.8464516401290894,0.8484834432601929,0.2118644118309021,0.121359221637249,0.6752873659133911,0.016526885330677032,0.833333432674408
kenn_top_down_adapter_bert_ms,0,1g71o2hh,45,0.625,0.8568676710128784,0.1428571492433548,0.2439024448394775,0.8333333134651184,0.2439024448394775,0.831505537033081,0.8489313125610352,0.8636989593505859,0.8333333730697632,0.5818646550178528,0.5775861740112305,0.5862069129943848,0.8332059383392334,0.8561052083969116,0.2669903039932251,0.8333333134651184,0.1428571492433548,0.9677419066429138,0.517241358757019,0.1,0.831505537033081,0.012333497405052183,0.016773555427789688,0.012333497405052183,0.8445004224777222,0.8561052083969116,0.012333497405052183,0.8445004224777222,0.8147807121276855,0.8147807121276855,0.6741572618484497,0.8333333730697632,0.3741496801376343,0.8501434922218323,0.5552995204925537,0.8333333134651184,0.8568676710128784,0.33,0.8636989593505859,0.609443724155426,0.8332059383392334,0.016649305820465088,0.8501434922218323,0.8489313125610352,0.2439024448394775,0.1428571492433548,0.6752873659133911,0.016526885330677032,0.833333432674408
kenn_bottom_up_adapter_bert_ms,0,1siydhtg,38,0.6590909361839294,0.853365421295166,0.11618257313966752,0.2066420614719391,0.9333333373069764,0.2066420614719391,0.8323216438293457,0.8483755588531494,0.8641923666000366,0.9333333969116212,0.6077280044555664,0.6034482717514038,0.6120689511299133,0.8233962059020996,0.8566941618919373,0.2132352888584137,0.9333333373069764,0.11618257313966752,0.9677419066429138,0.517241358757019,0.02,0.8323216438293457,0.01381351798772812,0.017513565719127655,0.01381351798772812,0.8397151827812195,0.8566941618919373,0.01381351798772812,0.8397151827812195,0.816864013671875,0.816864013671875,0.6741572618484497,0.9333333969116212,0.32222220301628113,0.8428064584732056,0.5419622659683228,0.9333333373069764,0.853365421295166,0.33,0.8641923666000366,0.6203645467758179,0.8233962059020996,0.017389357089996338,0.8428064584732056,0.8483755588531494,0.2066420614719391,0.11618257313966752,0.7252873182296753,0.017266895622015,0.9333333969116212
box_adapter_bert_ms,2,387v50mg,31,0.5227272510528564,0.6808226704597473,0.014800197444856169,0.029168693348765373,1.0,0.029168693348765373,0.703702449798584,0.7353264093399048,0.8069413900375366,1.0,0.5538461208343506,0.5,0.6206896305084229,0.5985218286514282,0.7948566675186157,0.022504892200231552,1.0,0.014800197444856169,0.9411764740943908,0.27586206793785095,0.99,0.703702449798584,0.01480019837617874,0.01776023581624031,0.01480019837617874,0.6828569173812866,0.7948566675186157,0.01480019837617874,0.6828569173812866,0.6746863722801208,0.6746863722801208,0.4266666769981384,1.0,0.04315197095274925,0.5887980461120605,0.4779883325099945,1.0,0.6808226704597473,0.26,0.8069413900375366,0.5464975237846375,0.5985218286514282,0.015847595408558846,0.5887980461120605,0.7353264093399048,0.029168693348765373,0.014800197444856169,0.6379310488700867,0.01430685631930828,1.0
box_adapter_bert_ms,1,1bajtwe5,25,0.5227272510528564,0.6808226704597473,0.014800197444856169,0.029168693348765373,1.0,0.029168693348765373,0.703702449798584,0.7353264093399048,0.8069413900375366,1.0,0.5538461208343506,0.5,0.6206896305084229,0.5985218286514282,0.7948566675186157,0.022504892200231552,1.0,0.014800197444856169,0.9411764740943908,0.27586206793785095,0.99,0.703702449798584,0.01480019837617874,0.01776023581624031,0.01480019837617874,0.6828569173812866,0.7948566675186157,0.01480019837617874,0.6828569173812866,0.6746863722801208,0.6746863722801208,0.4266666769981384,1.0,0.04315197095274925,0.5887980461120605,0.4779883325099945,1.0,0.6808226704597473,0.26,0.8069413900375366,0.5464975237846375,0.5985218286514282,0.015847595408558846,0.5887980461120605,0.7353264093399048,0.029168693348765373,0.014800197444856169,0.6379310488700867,0.01430685631930828,1.0
box_adapter_bert_ms,0,2g68pyk9,35,0.5227272510528564,0.6808226704597473,0.014800197444856169,0.029168693348765373,1.0,0.029168693348765373,0.703702449798584,0.7353264093399048,0.8069413900375366,1.0,0.5538461208343506,0.5,0.6206896305084229,0.5985218286514282,0.7948566675186157,0.022504892200231552,1.0,0.014800197444856169,0.9411764740943908,0.27586206793785095,0.99,0.703702449798584,0.01480019837617874,0.01776023581624031,0.01480019837617874,0.6828569173812866,0.7948566675186157,0.01480019837617874,0.6828569173812866,0.6746863722801208,0.6746863722801208,0.4266666769981384,1.0,0.04315197095274925,0.5887980461120605,0.4779883325099945,1.0,0.6808226704597473,0.26,0.8069413900375366,0.5464975237846375,0.5985218286514282,0.015847595408558846,0.5887980461120605,0.7353264093399048,0.029168693348765373,0.014800197444856169,0.6379310488700867,0.01430685631930828,1.0
classifier_adapter_bert_ms,2,37b9f44v,44,0.6818181872367859,0.8241162896156311,0.03999999910593033,0.07692307978868484,1.0,0.07692307978868484,0.8322761058807373,0.8467884063720703,0.8645212650299072,1.0,0.6206896305084229,0.6206896305084229,0.6206896305084229,0.7515923380851746,0.8570867776870728,0.07682458311319351,1.0,0.03999999910593033,0.9677419066429138,0.517241358757019,0.99,0.8322761058807373,0.01480019837617874,0.01776023581624031,0.01480019837617874,0.8008805513381958,0.8570867776870728,0.01480019837617874,0.8008805513381958,0.8182529211044312,0.8182529211044312,0.6741572618484497,1.0,0.13808974623680115,0.787319540977478,0.503870964050293,1.0,0.8241162896156311,0.33,0.8645212650299072,0.6055436730384827,0.7515923380851746,0.01776023581624031,0.787319540977478,0.8467884063720703,0.07692307978868484,0.03999999910593033,0.7586206793785095,0.01776023581624031,1.0
classifier_adapter_bert_ms,1,1oof3a3a,10,0.6818181872367859,0.8241162896156311,0.03999999910593033,0.07692307978868484,1.0,0.07692307978868484,0.8322761058807373,0.8467884063720703,0.8645212650299072,1.0,0.6206896305084229,0.6206896305084229,0.6206896305084229,0.7515923380851746,0.8570867776870728,0.07682458311319351,1.0,0.03999999910593033,0.9677419066429138,0.517241358757019,0.99,0.8322761058807373,0.01480019837617874,0.01776023581624031,0.01480019837617874,0.8008805513381958,0.8570867776870728,0.01480019837617874,0.8008805513381958,0.8182529211044312,0.8182529211044312,0.6741572618484497,1.0,0.13808974623680115,0.787319540977478,0.503870964050293,1.0,0.8241162896156311,0.33,0.8645212650299072,0.6055436730384827,0.7515923380851746,0.01776023581624031,0.787319540977478,0.8467884063720703,0.07692307978868484,0.03999999910593033,0.7586206793785095,0.01776023581624031,1.0
classifier_adapter_bert_ms,0,1dalmjwt,21,0.6818181872367859,0.8241613507270813,0.04005340486764908,0.07702182978391647,1.0,0.07702182978391647,0.8322767615318298,0.8467895984649658,0.8645212650299072,1.0,0.6206896305084229,0.6206896305084229,0.6206896305084229,0.7517217397689819,0.8570867776870728,0.07692307978868484,1.0,0.04005340486764908,0.9677419066429138,0.517241358757019,0.99,0.8322767615318298,0.01480019837617874,0.01776023581624031,0.01480019837617874,0.8009539246559143,0.8570867776870728,0.01480019837617874,0.8009539246559143,0.8182529211044312,0.8182529211044312,0.6741572618484497,1.0,0.13824884593486786,0.7874017953872681,0.5038976669311523,1.0,0.8241613507270813,0.33,0.8645212650299072,0.6055629253387451,0.7517217397689819,0.01776023581624031,0.7874017953872681,0.8467895984649658,0.07702182978391647,0.04005340486764908,0.7586206793785095,0.01776023581624031,1.0
