name,instance,run_id,test_pretraining/micro/precision,threshold_pretraining,test_incremental_only/macro_example_exclusive/recall,test_incremental_ORGANIZATION-EDUCATIONAL/macro_types/f1,epoch,test_pretraining/macro_example/recall,test/macro_example/precision,test_incremental_only/macro_example/f1,test_incremental_ORGANIZATION-CORPORATION/macro_types/f1,test_incremental_ORGANIZATION-POLITICAL/macro_types/recall,test_incremental_ORGANIZATION-RELIGIOUS/macro_types/recall,test_incremental_only/macro_types/f1,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/f1,test_incremental_ORGANIZATION-POLITICAL/macro_types/precision,test_incremental_ORGANIZATION-RELIGIOUS/macro_types/precision,test_incremental/macro_example/f1,test_pretraining/macro_example/precision,test_incremental_only/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_incremental/macro_types/precision,test_incremental_ORGANIZATION/macro_types/recall,test_incremental_ORGANIZATION-POLITICAL/macro_types/f1,test_incremental_only/macro_types/precision,test_incremental_ORGANIZATION/macro_types/f1,test_incremental_ORGANIZATION-GOVERNMENT/macro_types/recall,test/micro/f1,test_incremental_only/macro_types/recall,test_incremental_ORGANIZATION-RELIGIOUS/macro_types/f1,test_pretraining/macro_types/f1,test_incremental_ORGANIZATION-MUSEUM/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test/macro_types/recall,test_pretraining/macro_types/recall,test_incremental_ORGANIZATION/macro_types/precision,test_incremental_ORGANIZATION-CORPORATION/macro_types/recall,test_incremental_ORGANIZATION-GOVERNMENT/macro_types/precision,test_pretraining/micro/f1,test/macro_types/precision,test_pretraining/macro_example/f1,test/macro_example/recall,test_pretraining/macro_types/precision,test/micro/precision,test_incremental_only/micro/recall,test_incremental_ORGANIZATION-MUSEUM/macro_types/precision,test_incremental_ORGANIZATION-EDUCATIONAL/macro_types/precision,test_incremental_ORGANIZATION-MUSEUM/macro_types/f1,test_incremental_only/micro/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_ORGANIZATION-CORPORATION/macro_types/precision,test_incremental/micro/f1,test_incremental/macro_example/recall,test_incremental/macro_types/recall,test_incremental_only/micro/precision,threshold_incremental,test_incremental/macro_types/f1,test/macro_example/f1,test_incremental/micro/recall,test_pretraining/micro/recall,test/macro_types/f1,test_incremental_only/macro_example/recall,test_incremental_ORGANIZATION-GOVERNMENT/macro_types/f1,test_incremental_ORGANIZATION-EDUCATIONAL/macro_types/recall,test/micro/recall,test_incremental/micro/precision,test_incremental/macro_example_exclusive/precision
kenn_hybrid_adapter_bert_ms,2,3lstnwq6,0.7657550573348999,0.25,0.4212121069431305,0.4137930870056152,65,0.816383957862854,0.7926012873649597,0.09299508482217787,0.23622049391269684,0.9333333373069764,0.699999988079071,0.5724184513092041,0.1866163909435272,0.7191025614738464,0.800000011920929,0.4117647111415863,0.1701175570487976,0.7926012873649597,0.099434494972229,0.6606906056404114,0.6421186327934265,0.9043824672698976,0.8615384697914124,0.60418301820755,0.88671875,0.22580644488334656,0.7810794711112976,0.5438271760940552,0.5185185670852661,0.7725282907485962,0.8999999761581421,0.4795454442501068,0.7899929881095886,0.7899929881095886,0.8697317838668823,0.14018692076206207,0.5833333134651184,0.7810794711112976,0.7558190226554871,0.8043168783187866,0.816383957862854,0.7558190226554871,0.7657550573348999,0.4214559495449066,0.6000000238418579,0.47999998927116394,0.7200000286102295,0.4899777173995972,0.4484899342060089,0.75,0.7013527750968933,0.1562990844249725,0.5953351259231567,0.585106372833252,0.09,0.6178425550460815,0.8043168783187866,0.658203125,0.7970296740531921,0.7725282907485962,0.08733898401260376,0.3255814015865326,0.3636363744735718,0.7970296740531921,0.7505567669868469,0.788844645023346
kenn_top_down_adapter_bert_ms,2,2wmo66nc,0.6920192837715149,0.25,0.43712118268013,0.3529411554336548,66,0.8181903958320618,0.7485009431838989,0.09418478608131409,0.2080000191926956,0.9333333373069764,0.800000011920929,0.4795447289943695,0.17643731832504272,0.7047638893127441,0.6363636255264282,0.1428571492433548,0.16672548651695251,0.7485009431838989,0.09802073240280151,0.6679947376251221,0.47785571217536926,0.9043824672698976,0.7567567229270935,0.41254302859306335,0.88671875,0.22580644488334656,0.7418891787528992,0.5725301504135132,0.24242426455020905,0.7477278709411621,0.8999999761581421,0.4727272689342499,0.797821044921875,0.797821044921875,0.8697317838668823,0.1214953288435936,0.1944444477558136,0.7418891787528992,0.7035535573959351,0.7817956805229187,0.8181903958320618,0.7035535573959351,0.6920192837715149,0.4367816150188446,0.4909090995788574,0.2884615361690521,0.6352941393852234,0.35962146520614624,0.4542275071144104,0.7222222089767456,0.5951134562492371,0.1580270230770111,0.6199376583099365,0.30563002824783325,0.09,0.5397022366523743,0.7817956805229187,0.666015625,0.7995049357414246,0.7477278709411621,0.09063776582479476,0.20895521342754364,0.4545454680919647,0.7995049357414246,0.5378549098968506,0.745816707611084
kenn_bottom_up_adapter_bert_ms,2,2ktiacd8,0.6719549894332886,0.25,0.5303030014038086,0.31683170795440674,49,0.8267514705657959,0.7373670339584351,0.10722224414348602,0.3694267272949219,0.9333333373069764,0.9333333373069764,0.46653690934181213,0.1593151092529297,0.6908400058746338,0.699999988079071,0.14432989060878754,0.16343149542808533,0.7373670339584351,0.10461828112602234,0.7091633677482605,0.44333845376968384,0.9043824672698976,0.7999999523162842,0.3722728490829468,0.88671875,0.22580644488334656,0.7355741858482361,0.6247249841690063,0.25,0.74756920337677,0.8999999761581421,0.5045453906059265,0.8120560050010681,0.8120560050010681,0.8697317838668823,0.2710280418395996,0.21875,0.7355741858482361,0.6925708055496216,0.77950519323349,0.8267514705657959,0.6925708055496216,0.6719549894332886,0.517241358757019,0.3552631437778473,0.23529411852359772,0.509433925151825,0.3744798600673675,0.5171036124229431,0.5799999833106995,0.5871856808662415,0.1677662581205368,0.6646760702133179,0.29347825050354004,0.03,0.5318999290466309,0.77950519323349,0.70703125,0.8125,0.74756920337677,0.10995915532112122,0.2222222089767456,0.4848484992980957,0.8125,0.5020804405212402,0.673439621925354
kenn_hybrid_adapter_bert_ms,1,3qgie084,0.7744629979133606,0.25,0.4840908944606781,0.23728814721107483,57,0.8194156289100647,0.7981778383255005,0.10594113916158676,0.36496347188949585,0.800000011920929,0.699999988079071,0.6157900094985962,0.19431352615356445,0.7475654482841492,0.9230769276618958,0.91304349899292,0.17685100436210632,0.7981778383255005,0.11215833574533464,0.6859229803085327,0.7102952003479004,0.9043824672698976,0.8571428656578064,0.6837224960327148,0.88671875,0.5483871102333069,0.7885783910751343,0.560136616230011,0.7924527525901794,0.7858851552009583,0.8666666746139526,0.5409091114997864,0.7944409847259521,0.7944409847259521,0.8697317838668823,0.23364485800266263,0.6538461446762085,0.7885783910751343,0.7775115966796875,0.8086572885513306,0.8194156289100647,0.7775115966796875,0.7744629979133606,0.4597701132297516,0.5098039507865906,0.26923078298568726,0.6419753432273865,0.5417607426643372,0.5109252333641052,0.8333333134651184,0.7267016172409058,0.16226831078529358,0.6093146800994873,0.6593406796455383,0.18000000000000002,0.6559412479400635,0.8086572885513306,0.677734375,0.8032178282737732,0.7858851552009583,0.10037699341773988,0.5964912176132202,0.21212121844291687,0.8032178282737732,0.7832956910133362,0.8213812112808228
kenn_top_down_adapter_bert_ms,1,124xqu9a,0.7541931867599487,0.25,0.4999999403953552,0.2857142984867096,57,0.8213792443275452,0.7879515886306763,0.11049944907426834,0.3571428656578064,0.800000011920929,0.699999988079071,0.6053814888000488,0.19070059061050415,0.7461857795715332,0.8888888955116272,0.875,0.17652462422847748,0.7879515886306763,0.11828462779521942,0.6945551633834839,0.6561399102210999,0.9043824672698976,0.8421052694320679,0.6205412745475769,0.88671875,0.5483871102333069,0.7796711921691895,0.590944766998291,0.7777777910232544,0.7809823155403137,0.8999999761581421,0.5704545378684998,0.8028432130813599,0.8028432130813599,0.8697317838668823,0.23364485800266263,0.5862069129943848,0.7796711921691895,0.7602803707122803,0.8043182492256165,0.8213792443275452,0.7602803707122803,0.7541931867599487,0.48275861144065857,0.3802816867828369,0.23529411852359772,0.5346534252166748,0.5080645084381104,0.5329086780548096,0.7575757503509521,0.7003968358039856,0.16431039571762085,0.6357215642929077,0.5361701846122742,0.19,0.6457693576812744,0.8043182492256165,0.689453125,0.8069307208061218,0.7809823155403137,0.10367577522993088,0.5666667222976685,0.3636363744735718,0.8069307208061218,0.711693525314331,0.8061089515686035
kenn_bottom_up_adapter_bert_ms,1,3pziedxr,0.7627118825912476,0.25,0.5113636255264282,0.2608695924282074,58,0.8216148614883423,0.7927426695823669,0.11161267757415771,0.39716312289237976,0.800000011920929,0.699999988079071,0.6169758439064026,0.19180017709732056,0.7504763603210449,0.8888888955116272,0.91304349899292,0.1775396317243576,0.7927426695823669,0.117813378572464,0.6985391974449158,0.682765007019043,0.9043824672698976,0.8421052694320679,0.6516039371490479,0.88671875,0.5806451439857483,0.7844905257225037,0.585842490196228,0.7924527525901794,0.784761369228363,0.8999999761581421,0.5681818127632141,0.8014516830444336,0.8014516830444336,0.8697317838668823,0.2616822421550751,0.6428571343421936,0.7844905257225037,0.7687519788742065,0.80692058801651,0.8216148614883423,0.7687519788742065,0.7627118825912476,0.48659002780914307,0.3913043439388275,0.25,0.5454545021057129,0.5313807725906372,0.5382775068283081,0.8235294222831726,0.7151514887809753,0.1652529090642929,0.631348192691803,0.5852534770965576,0.08,0.6560507416725159,0.80692058801651,0.69140625,0.8075494766235352,0.784761369228363,0.10603204369544984,0.6101694703102112,0.27272728085517883,0.8075494766235352,0.7405857443809509,0.810757040977478
kenn_hybrid_adapter_bert_ms,0,c39co73z,0.7683144807815552,0.25,0.46136361360549927,0.2456140369176865,20,0.8167452216148376,0.801853597164154,0.10036927461624146,0.2620689570903778,0.7666666507720947,0.8666666746139526,0.5765305757522583,0.201696515083313,0.7528303265571594,0.9200000166893004,0.6499999761581421,0.17809653282165527,0.801853597164154,0.1055607870221138,0.6739708185195923,0.6552397012710571,0.9043824672698976,0.8363636136054993,0.6194910407066345,0.88671875,0.6451612710952759,0.7830045819282532,0.5391421318054199,0.7428571581840515,0.7740882039070129,0.5666666626930237,0.5090909004211426,0.7887152433395386,0.7887152433395386,0.8697317838668823,0.17757008969783783,0.8695651888847351,0.7830045819282532,0.7599939107894897,0.8092309236526489,0.8167452216148376,0.7599939107894897,0.7683144807815552,0.4291187822818756,0.48571428656578064,0.2916666567325592,0.5230769515037537,0.5022421479225159,0.4840536415576935,0.5,0.7077244520187378,0.1594407856464386,0.5913193225860596,0.6054053902626038,0.51,0.621640682220459,0.8092309236526489,0.662109375,0.7982673048973083,0.7740882039070129,0.09566446393728256,0.7407407164573669,0.21212121844291687,0.7982673048973083,0.7600896954536438,0.8525896668434143
kenn_top_down_adapter_bert_ms,0,ahm9tj2o,0.6823161244392395,0.25,0.5098484754562378,0.3252032697200775,66,0.8219603896141052,0.7374018430709839,0.1112271174788475,0.2748091518878937,0.8999999761581421,0.9333333373069764,0.531593382358551,0.18347470462322235,0.7357739806175232,0.75,0.3218390941619873,0.17406152188777924,0.7374018430709839,0.11734212934970856,0.6998672485351562,0.515313982963562,0.9043824672698976,0.8181817531585693,0.4562443196773529,0.88671875,0.6129032373428345,0.7404471635818481,0.6367536187171936,0.47863245010375977,0.7621469497680664,0.6000000238418579,0.5659090876579285,0.8153365850448608,0.8153365850448608,0.8697317838668823,0.1682243049144745,0.5757575631141663,0.7404471635818481,0.7154721021652222,0.7773885130882263,0.8219603896141052,0.7154721021652222,0.6823161244392395,0.49808427691459656,0.11764705926179886,0.2222222238779068,0.19672131538391113,0.38011693954467773,0.536418080329895,0.75,0.5969899892807007,0.1655670702457428,0.6749863028526306,0.30732861161231995,0.06999999999999999,0.5844405889511108,0.7773885130882263,0.697265625,0.8094059228897095,0.7621469497680664,0.10571787506341934,0.5937499403953552,0.6060606241226196,0.8094059228897095,0.5219298005104065,0.775564432144165
kenn_bottom_up_adapter_bert_ms,0,29u6fpdc,0.7777108550071716,0.25,0.46590906381607056,0.2857142686843872,20,0.8172163963317871,0.8018535375595093,0.10131403803825378,0.26760563254356384,0.800000011920929,0.8666666746139526,0.6046277284622192,0.19934025406837463,0.7501502633094788,0.959999978542328,0.8666666746139526,0.17746251821517944,0.8018535375595093,0.10650329291820526,0.6759628057479858,0.706569492816925,0.9043824672698976,0.8727272748947144,0.6793757677078247,0.88671875,0.6451612710952759,0.7881563305854797,0.544697642326355,0.8666666746139526,0.7832165360450745,0.5666666626930237,0.5136363506317139,0.790230393409729,0.790230393409729,0.8697317838668823,0.17757008969783783,0.7692307829856873,0.7881563305854797,0.7763261795043945,0.8094620704650879,0.8172163963317871,0.7763261795043945,0.7777108550071716,0.4329501986503601,0.5,0.4375,0.53125,0.5292739868164062,0.48860999941825867,0.5428571701049805,0.7241746187210083,0.15991203486919403,0.5960812568664551,0.6807228922843933,0.29000000000000004,0.6466397047042847,0.8094620704650879,0.6640625,0.7988861203193665,0.7832165360450745,0.09660696983337402,0.7017543911933899,0.21212121844291687,0.7988861203193665,0.7962529063224792,0.8426295518875122
box_adapter_bert_ms,2,242zhi28,0.4115262031555176,0.175,0.9727271795272828,0.17486339807510376,22,0.8592522144317627,0.66923987865448,0.0670575425028801,0.4713958501815796,1.0,1.0,0.22681237757205963,0.06556259095668793,0.4265628457069397,0.08955223858356476,0.08955223858356476,0.10091166943311693,0.66923987865448,0.04021363705396652,0.9256308078765868,0.22927236557006836,0.912350594997406,0.16438356041908264,0.12818999588489532,0.8723810315132141,0.9677419066429138,0.5606628656387329,0.9833426475524902,0.16438356041908264,0.7499595880508423,1.0,0.19393938779830933,0.9036369323730468,0.9036369323730468,0.8357664346694946,0.962616801261902,0.09090909361839294,0.5606628656387329,0.6409553289413452,0.7524354457855225,0.8592522144317627,0.6409553289413452,0.4115262031555176,0.977011501789093,0.09090909361839294,0.09609609842300416,0.1666666716337204,0.22626441717147827,0.32340022921562195,0.3121212124824524,0.34832674264907837,0.21897581219673157,0.9732009768486024,0.1279478222131729,0.03,0.37111523747444153,0.7524354457855225,0.9453125,0.8793317079544067,0.7499595880508423,0.201696515083313,0.16620498895645142,0.9696969985961914,0.8793317079544067,0.2134980112314224,0.2771390676498413
