name,test_incremental_only/macro_types/f1/mean,test/micro/recall/mean,test/macro_example/precision/mean,test_pretraining/micro/precision/mean,test_incremental_PRODUCT/macro_types/f1/mean,test/micro/f1/mean,test/micro/precision/mean,test_incremental/macro_example/recall/mean,test_incremental_PRODUCT-VEHICLE/macro_types/recall/mean,test_incremental_PRODUCT-VEHICLE/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/f1/mean,test/macro_example/f1/mean,test_pretraining/macro_types/f1/mean,test_incremental_only/micro/precision/mean,test_incremental_only/macro_example/precision/mean,test_incremental/macro_types/precision/mean,test_incremental_only/macro_example/f1/mean,test_incremental_PRODUCT-WEAPON/macro_types/f1/mean,test/macro_types/recall/mean,test_incremental/macro_types/f1/mean,test_incremental_PRODUCT-WEAPON/macro_types/precision/mean,test_pretraining/macro_example/recall/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental/macro_example_exclusive/recall/mean,epoch/mean,test_pretraining/macro_types/precision/mean,test_incremental_only/macro_types/recall/mean,test_pretraining/micro/recall/mean,test_incremental_only/macro_example/recall/mean,test_incremental_only/macro_types/precision/mean,test_pretraining/macro_example/precision/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental/micro/f1/mean,test_pretraining/micro/f1/mean,test_pretraining/macro_types/recall/mean,test_incremental/macro_example/f1/mean,test_incremental/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental/micro/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental_PRODUCT-VEHICLE/macro_types/precision/mean,test_incremental/micro/recall/mean,test_incremental_PRODUCT/macro_types/precision/mean,threshold_pretraining/mean,test_incremental_PRODUCT-WEAPON/macro_types/recall/mean,test/macro_types/precision/mean,test_incremental_only/micro/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental/macro_example/precision/mean,test_incremental_only/micro/recall/mean,test/macro_types/f1/mean,test_incremental_PRODUCT/macro_types/recall/mean,test/macro_example/recall/mean,threshold_incremental/mean,test_incremental_only/macro_types/f1/std,test/micro/recall/std,test/macro_example/precision/std,test_pretraining/micro/precision/std,test_incremental_PRODUCT/macro_types/f1/std,test/micro/f1/std,test/micro/precision/std,test_incremental/macro_example/recall/std,test_incremental_PRODUCT-VEHICLE/macro_types/recall/std,test_incremental_PRODUCT-VEHICLE/macro_types/f1/std,test_incremental_only/macro_example_exclusive/f1/std,test/macro_example/f1/std,test_pretraining/macro_types/f1/std,test_incremental_only/micro/precision/std,test_incremental_only/macro_example/precision/std,test_incremental/macro_types/precision/std,test_incremental_only/macro_example/f1/std,test_incremental_PRODUCT-WEAPON/macro_types/f1/std,test/macro_types/recall/std,test_incremental/macro_types/f1/std,test_incremental_PRODUCT-WEAPON/macro_types/precision/std,test_pretraining/macro_example/recall/std,test_incremental/macro_example_exclusive/f1/std,test_incremental/macro_example_exclusive/recall/std,epoch/std,test_pretraining/macro_types/precision/std,test_incremental_only/macro_types/recall/std,test_pretraining/micro/recall/std,test_incremental_only/macro_example/recall/std,test_incremental_only/macro_types/precision/std,test_pretraining/macro_example/precision/std,test_incremental/macro_example_exclusive/precision/std,test_incremental/micro/f1/std,test_pretraining/micro/f1/std,test_pretraining/macro_types/recall/std,test_incremental/macro_example/f1/std,test_incremental/macro_types/recall/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental/micro/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental_PRODUCT-VEHICLE/macro_types/precision/std,test_incremental/micro/recall/std,test_incremental_PRODUCT/macro_types/precision/std,threshold_pretraining/std,test_incremental_PRODUCT-WEAPON/macro_types/recall/std,test/macro_types/precision/std,test_incremental_only/micro/f1/std,test_pretraining/macro_example/f1/std,test_incremental/macro_example/precision/std,test_incremental_only/micro/recall/std,test/macro_types/f1/std,test_incremental_PRODUCT/macro_types/recall/std,test/macro_example/recall/std,threshold_incremental/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.8311440944671631,0.8541813890139262,0.8279924392700195,0.8043477932612101,0.9493670463562012,0.828515867392222,0.8043477932612101,0.06487590322891872,0.8222222129503886,0.9018623034159342,0.7111111680666605,0.8382062713305155,0.8537190357844034,1.0,0.040213633328676224,0.991342067718506,0.040213633328676224,0.7496381600697836,0.8556765715281168,0.874752402305603,1.0,0.8486752510070801,0.8936782081921896,0.8497942686080933,42.333333333333336,0.8517708778381348,0.7111111283302307,0.8541813890139262,0.040213633328676224,1.0,0.8279924392700195,0.9423868656158447,0.902809719244639,0.828515867392222,0.8556765715281168,0.06822613626718521,0.7827160557111105,0.7111111680666605,0.9832866589228312,0.7111111680666605,1.0,0.834515372912089,0.9740259647369384,0.17499999999999996,0.600000003973643,0.8517708778381348,0.8311440547307333,0.8382062713305155,0.07194470365842183,0.7111110885938009,0.8537190357844034,0.92592591047287,0.8486752510070801,0.01,0.006594551171963047,0.0004080320681203322,0.0,7.519187558767001e-05,0.0,0.0002318043359077843,7.519187558767001e-05,0.0002720801672079629,0.05091751769361268,0.030962929790179294,0.009622512516183387,0.0001769848128820884,0.0005323309489544901,0.0,0.0005441560328212146,0.0,0.0005441560328212146,0.026054836293066447,0.0010691699691684614,0.004014626726742443,0.0,0.0003627792917369029,0.0012165942231810675,0.0035638884263089424,12.503332889007368,0.0,0.009622529722516081,0.0004080320681203322,0.0005441560328212146,0.0,0.0,0.007127776852617885,0.0024332572718775386,0.0002318043359077843,0.0010691699691684614,9.287573145384498e-05,0.006414985402253007,0.009622512516183387,8.086998060902774e-05,0.009622512516183387,0.0,0.0040946708011666616,0.0,0.0,0.03333333134651628,0.0,0.006594516759205332,0.0001769848128820884,0.0005441517312265003,0.009622495309758367,0.0005323309489544901,0.0,0.0003627792917369029,0.0
no_init_box_kenn_horizontal_adapter_bert_ms,0.8077631195386251,0.8527679642041525,0.8276259104410807,0.8040869235992432,0.9493670463562012,0.8277121384938558,0.8040869235992432,0.06393339484930038,0.8222222129503886,0.9018623034159342,0.6777778466542562,0.8375841379165649,0.8518702785174052,1.0,0.03832861905296644,0.991342067718506,0.03832861905296644,0.6956522464752197,0.8519728581110636,0.8606375058492025,1.0,0.8477850953737894,0.8813114762306213,0.8374485969543457,29.0,0.8517708778381348,0.6777777870496114,0.8527679642041525,0.03832861905296644,1.0,0.8276259104410807,0.9300411939620972,0.8943041563034058,0.8277121384938558,0.8519728581110636,0.06728202104568481,0.7604938348134359,0.6777778466542562,0.983000914255778,0.6777778466542562,1.0,0.8203309774398804,0.9740259647369384,0.17499999999999996,0.5333333611488342,0.8517708778381348,0.8077630996704102,0.8375841379165649,0.07100219527880351,0.6777777671813965,0.8518702785174052,0.92592591047287,0.8477850953737894,0.01,0.018178597911620575,0.0010795253658211499,0.0001813552331107374,0.00019947230256546781,0.0,0.0006142656496801827,0.00019947230256546781,0.0007198483298607572,0.05091751769361268,0.030962929790179294,0.02545872958150609,0.0004259564483695535,0.0014147955988602383,0.0,0.001439703163111102,0.0,0.001439703163111102,0.0,0.0028287578476783267,0.010904123747504641,0.0,0.0007198808469429575,0.007929570406153528,0.009429162476394805,14.0,0.0,0.025458788112107823,0.0010795253658211499,0.001439703163111102,0.0,0.0001813552331107374,0.007127776852617885,0.00654166009547959,0.0006142656496801827,0.0028287578476783267,0.0006053679346016092,0.01697249505893042,0.02545872958150609,0.00022157509674713115,0.02545872958150609,0.0,0.010833506654187659,0.0,0.0,0.0,0.0,0.01817857206407274,0.0004259564483695535,0.0005441603344159288,0.025458762098508163,0.0014147955988602383,0.0,0.0007198808469429575,0.0
no_init_box_kenn_hybrid_adapter_bert_ms,0.8075229922930399,0.8527679443359375,0.8277829885482788,0.8040867447853088,0.9493670463562012,0.8277118603388468,0.8040867447853088,0.06393339236577351,0.8222222129503886,0.9018623034159342,0.6777778466542562,0.8376389344533285,0.8518682718276978,1.0,0.038328620294729866,0.991342067718506,0.038328620294729866,0.6952410737673441,0.8519728581110636,0.8605460921923319,1.0,0.8477327426274618,0.8849550088246664,0.8374485969543457,28.0,0.8517708778381348,0.6777777870496114,0.8527679443359375,0.038328620294729866,1.0,0.8277829885482788,0.9382716417312622,0.8942708571751913,0.8277118603388468,0.8519728581110636,0.06756018102169037,0.7604938348134359,0.6777778466542562,0.9829984108606974,0.6777778466542562,1.0,0.8203309774398804,0.9740259647369384,0.17499999999999996,0.5333333412806193,0.8517708778381348,0.8075229724248251,0.8376389344533285,0.07163053750991821,0.6777777671813965,0.8518682718276978,0.92592591047287,0.8477327426274618,0.013333333333333334,0.02772389837158342,0.0016320938597235908,0.00023993643754288723,0.0003017654723241227,0.0,0.0009289723942741204,0.0003017654723241227,0.0010883163672371435,0.05091751769361268,0.030962929790179294,0.03848998123903349,0.0006929342492311216,0.0021409553079225646,0.0,0.0021766262820822153,0.0,0.0021766262820822153,0.028371035591464852,0.0042766798766738215,0.01657669421261424,0.0,0.0011789982857638868,0.007997524890879923,0.01425555370523577,12.489995996796797,0.0,0.03849003285818159,0.0016320938597235908,0.0021766262820822153,0.0,0.00023993643754288723,0.0,0.009923228399351308,0.0009289723942741204,0.0042766798766738215,0.000610564052004414,0.025659993228165916,0.03848998123903349,0.0003375203275808016,0.03848998123903349,0.0,0.016378752030182027,0.0,0.0,0.033333331346516296,0.0,0.027723881165188532,0.0006929342492311216,0.0,0.03849001565179121,0.0021409553079225646,0.0,0.0011789982857638868,0.005773502691896257
no_init_box_kenn_top_down_adapter_bert_ms,0.830995500087738,0.8541814088821411,0.8279924392700195,0.8043476740519205,0.9493670463562012,0.8285157084465027,0.8043476740519205,0.06487590074539185,0.8222222129503886,0.9018623034159342,0.7111111680666605,0.8382061719894409,0.8537176847457886,1.0,0.04021363457043966,0.991342067718506,0.04021363457043966,0.75,0.8556765715281168,0.8746942480405172,1.0,0.8486752510070801,0.893648366133372,0.8497942686080933,30.0,0.8517708778381348,0.7111111283302307,0.8541814088821411,0.04021363457043966,1.0,0.8279924392700195,0.9423868656158447,0.9027881224950155,0.8285157084465027,0.8556765715281168,0.06822385390599568,0.7827160755793253,0.7111111680666605,0.9832850893338522,0.7111111680666605,1.0,0.8345153530438741,0.9740259647369384,0.17499999999999996,0.6000000238418579,0.8517708778381348,0.8309954802195231,0.8382061719894409,0.07194470365842183,0.7111111084620158,0.8537176847457886,0.92592591047287,0.8486752510070801,0.02,0.017475445810591687,0.0010795188622449343,0.0,0.000198958539445442,0.0,0.0006134397107784977,0.000198958539445442,0.0007198532074106939,0.05091751769361268,0.030962929790179294,0.02545873608492844,0.0003932446692983851,0.0014086368902826935,0.0,0.001439703163111102,0.0,0.001439703163111102,0.0,0.0028287578476783267,0.010632243086199065,0.0,0.0008060841808783062,0.0024415935480348924,0.009429162476394805,12.0,0.0,0.025458762098508163,0.0010795188622449343,0.001439703163111102,0.0,0.0,0.007127776852617885,0.006441617641472172,0.0006134397107784977,0.0028287578476783267,0.00018639955711598154,0.01697248205208574,0.02545873608492844,0.00021425212983659689,0.02545873608492844,0.0,0.010833513157570002,0.0,0.0,0.0,0.0,0.017475439064198187,0.0003932446692983851,0.0005441517312265003,0.025458755595115727,0.0014086368902826935,0.0,0.0008060841808783062,0.017320508075688773
no_init_kenn_bottom_up_adapter_bert_ms,0.5021977722644806,0.8711425264676412,0.775274912516276,0.736932615439097,0.9161290526390076,0.7980015675226847,0.736932615439097,0.06817467510700226,0.9222221970558167,0.49731828769048053,0.8911314010620117,0.8159028887748718,0.819399893283844,0.35402711232503253,0.049324534833431244,0.5614222486813863,0.05039385457833608,0.5018386046091715,0.8855058153470358,0.6863735715548197,0.3624883492787679,0.8615038196245829,0.8336171905199686,0.8930041790008545,20.666666666666668,0.7626514832178751,0.9111110965410868,0.8711425264676412,0.05152371898293495,0.36240360140800476,0.775274912516276,0.7818930347760519,0.6553162733713785,0.7980015675226847,0.8855058153470358,0.06364089747269948,0.8995885054270426,0.9111111760139465,0.5339256127675375,0.8722222646077474,0.36231883863608044,0.8912529349327087,0.9594594836235046,0.25,0.899999996026357,0.7626514832178751,0.49438799420992535,0.8159028887748718,0.05969211459159851,0.9111110965410868,0.819399893283844,0.8765432238578796,0.8615038196245829,0.05333333333333334,0.16868042564594504,0.0014711471383286078,0.029976392523320808,0.04096798349386731,0.0,0.023797358301379613,0.04096798349386731,0.0009809948182386687,0.03849001565179121,0.1939279058502635,0.021450114970391336,0.01638115370971247,0.009237257927723997,0.15748702970739864,0.0005441560328212146,0.1081735976996053,0.0012130121003314464,0.16221126229876692,0.003854913740695916,0.07871782364597128,0.15008394531602795,0.000920412929692144,0.0031790935086534523,0.01284978246108948,4.041451884327381,0.018028932590727135,0.0346944336425826,0.0014711471383286078,0.001961986057333374,0.16226038006106586,0.029976392523320808,0.014403313398371496,0.13954419575161556,0.023797358301379613,0.003854913740695916,0.00024270593309675556,0.023129649470804117,0.03469442409820874,0.17414684908189434,0.009622512516183363,0.20086453137292629,0.014763578935090017,0.0,0.0,0.03333333134651634,0.018028932590727135,0.16435804540253013,0.01638115370971247,0.0010995920747565867,0.0346944336425826,0.009237257927723997,0.0,0.000920412929692144,0.04163331998932266
no_init_kenn_horizontal_adapter_bert_ms,0.6582382122675577,0.869257926940918,0.7959995667139689,0.7689221898714701,0.9161290526390076,0.8159218231836954,0.7689221898714701,0.06691800057888031,0.8888888756434122,0.6861788829167684,0.8510138392448425,0.8268495202064514,0.8288042147954305,0.5315928955872854,0.04728243499994278,0.6832791964213053,0.04812518755594889,0.6210110286871592,0.8805675506591797,0.7613938252131144,0.525594542423884,0.8602994879086813,0.8648184736569723,0.8765432635943095,20.333333333333332,0.7829609513282776,0.8666666547457377,0.869257926940918,0.04901036620140076,0.5451889832814535,0.7959995667139689,0.8545953631401062,0.7726960976918539,0.8159218231836954,0.8805675506591797,0.06602289776007335,0.8699588974316915,0.8666667342185974,0.7036763827006022,0.8361111680666605,0.5647834738095602,0.8723404407501221,0.9594594836235046,0.25,0.8444444338480631,0.7829609513282776,0.6454348564147949,0.8268495202064514,0.06524243205785751,0.8666666746139526,0.8288042147954305,0.8765432238578796,0.8602994879086813,0.07333333333333333,0.10116825549965015,0.0021201372146606445,0.014298185590135357,0.018600891593204008,0.0,0.009679476574158087,0.018600891593204008,0.0014137625694274902,0.019244990619516733,0.0689921881599088,0.03964581178826953,0.0072023408714293035,0.0066243526212090755,0.15878197458460075,0.001784137818369733,0.09537783518417274,0.0022419869801666684,0.16586483697867294,0.005555510520935059,0.050152386041950145,0.21290329836263072,0.0013360018166459315,0.016064682063707432,0.018518537282951705,3.511884584284246,0.01589632147310905,0.049999982118609516,0.0021201372146606445,0.002827521413564682,0.14306674825865254,0.014298185590135357,0.04085970406437749,0.08023522333438557,0.009679476574158087,0.005555510520935059,0.0012264273498440118,0.033333331346516296,0.050000011920928955,0.13633237243728344,0.031549481713659615,0.10439179727551177,0.02127659320831299,0.0,0.0,0.08388706007038478,0.01589632147310905,0.11742832476655955,0.0072023408714293035,0.0031193610847846894,0.050000011920928955,0.0066243526212090755,0.0,0.0013360018166459315,0.05131601439446884
no_init_kenn_hybrid_adapter_bert_ms,0.5222445329030355,0.8709069490432739,0.7775578300158182,0.7395864327748617,0.9161290526390076,0.7993969718615214,0.7395864327748617,0.06801759203275044,0.9222221970558167,0.5028029580911001,0.8826530377070109,0.8170716563860575,0.8209269642829895,0.3848104526599248,0.048696198811133705,0.5806932846705118,0.04991440102458,0.5375433762868246,0.8848885297775269,0.697038451830546,0.4127858281135559,0.8613467415173849,0.8268768390019735,0.8909465670585632,21.0,0.765863319238027,0.9055555462837219,0.8709069490432739,0.05120954910914103,0.3913101504246394,0.7775578300158182,0.7716049750645956,0.6679573853810629,0.7993969718615214,0.8848885297775269,0.06312631070613861,0.8958848317464193,0.9055556058883667,0.5568357606728872,0.8611111640930176,0.36983450253804523,0.8888888756434122,0.9594594836235046,0.25,0.8888888955116272,0.765863319238027,0.5156009197235107,0.8170716563860575,0.05890669301152229,0.9055555462837219,0.8209269642829895,0.8765432238578796,0.8613467415173849,0.07333333333333333,0.19735591826901333,0.0016320938597235908,0.03158867983776498,0.04377068250924138,0.0,0.025185413202216445,0.04377068250924138,0.0010883142164461637,0.03849001565179121,0.20186909046128187,0.024608075200739248,0.01711280366067914,0.01174856279450314,0.2086804526517449,0.0007198528009430343,0.13804218135242197,0.0013915984409798429,0.2067011898304737,0.004276645463916108,0.09497706552983909,0.21185172379753625,0.0010459019471545578,0.004183489289349435,0.01425555370523569,4.0,0.023007051127057154,0.03849001565179121,0.0016320938597235908,0.0021766284328795724,0.20706327901918506,0.03158867983776498,0.011456330560760102,0.1572755207118635,0.025185413202216445,0.004276645463916108,0.0003193807029026021,0.025660010434527453,0.03849001565179121,0.20938837993953263,0.012729371294197817,0.2147650847625186,0.01637871761742437,0.0,0.0,0.03849001565179128,0.023007051127057154,0.19814824464196248,0.01711280366067914,0.0008746121366197847,0.03849001565179121,0.01174856279450314,0.0,0.0010459019471545578,0.07571877794400365
no_init_kenn_top_down_adapter_bert_ms,0.39335398375988007,0.8706713716189066,0.7543041110038757,0.7024979988733927,0.9161290526390076,0.7763896385828654,0.7024979988733927,0.06786050895849864,0.9222221970558167,0.4185352673133214,0.8800768852233887,0.8037763237953186,0.81247345606486,0.2506728420654933,0.048696196327606835,0.4949438273906708,0.049768718580404915,0.36054642001787823,0.8842712640762329,0.6330267985661825,0.23222655554612479,0.8612420161565145,0.8299649159113566,0.888888935248057,24.666666666666668,0.7515717347462972,0.8999999761581421,0.8706713716189066,0.05089538047711054,0.26268596450487774,0.7543041110038757,0.7784636815388998,0.554506778717041,0.7763896385828654,0.8842712640762329,0.0633620669444402,0.8921811183293661,0.9000000556310018,0.4192401518424352,0.8611111442248026,0.2931453933318456,0.8865248163541158,0.9594594836235046,0.25,0.8777777751286825,0.7515717347462972,0.38057490189870197,0.8037763237953186,0.05943030615647634,0.9000000158945719,0.81247345606486,0.8765432238578796,0.8612420161565145,0.10666666666666667,0.16585642243679868,0.0018697702528615331,0.04313743062145264,0.06642314600790464,0.0,0.041325939359573544,0.06642314600790464,0.0012468166971087227,0.03849001565179121,0.22379522646011646,0.0370763402840174,0.02457828659958374,0.008161713470033288,0.11945423101303748,0.0017841369983845024,0.0882212259384527,0.0020966831683284105,0.1080428210102195,0.004899507257767118,0.07311956524114353,0.0840600165434118,0.0012201331248537129,0.010152672970256427,0.01633182227459629,7.505553499465135,0.014703519811890218,0.044095813131325295,0.0018697702528615331,0.0024936383223111993,0.132331817508862,0.04313743062145264,0.010149938548920967,0.16463149857409234,0.041325939359573544,0.004899507257767118,0.0007750828581611303,0.029397223773178518,0.04409582439555638,0.16610092401678841,0.031549481713659615,0.19345108975229325,0.018764206477590643,0.0,0.0,0.06938885774078349,0.014703519811890218,0.1537363629965593,0.02457828659958374,0.0007748797890711776,0.04409584692398299,0.008161713470033288,0.0,0.0012201331248537129,0.08326663997864531
smart_init_box_adapter_bert_ms,0.8681375781695048,0.8591283957163492,0.8271808425585429,0.8026007016499838,0.9493670463562012,0.8299009799957275,0.8026007016499838,0.06817467759052913,0.8666666547457377,0.9120715657869974,0.8235771656036377,0.8393938342730204,0.8553367455800375,0.9125718673070272,0.04633992910385132,0.9355798363685608,0.04657363643248876,0.8214088479677836,0.8686395088831583,0.8957388599713644,0.8649715383847555,0.8519740303357443,0.9060282309850057,0.8930041591326395,65.0,0.8424772421518961,0.8277777632077535,0.8591283957163492,0.04681118205189705,0.9163567225138346,0.8271808425585429,0.9197531342506409,0.9144505262374878,0.8299009799957275,0.8686395088831583,0.06916896998882294,0.8604938387870789,0.8277778228123983,0.9475531180699667,0.819444497426351,0.9677419265111288,0.8841607371966044,0.9740259647369384,0.17499999999999996,0.7888888915379842,0.8424772421518961,0.8663402795791626,0.8393938342730204,0.07021677742401759,0.8277777830759684,0.8553367455800375,0.92592591047287,0.8519740303357443,0.5533333333333333,0.006382901460812359,0.001778511339463047,0.000578909149142543,0.0015435635070457211,0.0,0.0004033178623866614,0.0015435635070457211,0.0011859625520001637,0.057735040684065674,0.005162601911057683,0.037768670920605756,0.00039146432756043576,0.0011440729885668875,0.05771035465997874,0.001904549801955508,0.035909462950716536,0.002135837153794536,0.013018534021875885,0.004660403849073771,0.004566346966488159,0.08789773962046298,0.001178986374000943,0.0024048987988322603,0.015534661075653131,6.557438524302,0.005984888173563811,0.041943543851141914,0.001778511339463047,0.0023719248572863696,0.05386413593142048,0.000578909149142543,0.01349266381844452,0.004644448317467594,0.0004033178623866614,0.004660403849073771,0.00018359873832936286,0.027962363883233074,0.04194348463993088,0.02464068137626146,0.033678733584154324,0.05587262223701564,0.017848315440563943,0.0,0.0,0.05091749168001303,0.005984888173563811,0.010237659612968335,0.00039146432756043576,0.0010300690410984879,0.04194351227183409,0.0011440729885668875,0.0,0.001178986374000943,0.06806859285554046
smart_init_classifier_adapter_bert_ms,0.7043139735857645,0.8694935242335001,0.8060686985651652,0.77694038550059,0.9161290526390076,0.8206002910931905,0.77694038550059,0.06707508613665898,0.9111110965410868,0.7308387955029806,0.8507630626360575,0.8323468565940857,0.8322820464769999,0.5948837200800577,0.04696826760967573,0.7170141140619913,0.04811100661754608,0.6768690347671509,0.8811848560969034,0.7862589955329895,0.5790309111277262,0.8604041934013367,0.8173450628916422,0.8786008954048157,25.333333333333332,0.7885834574699402,0.8722222248713175,0.8694935242335001,0.04932453607519468,0.5957914590835571,0.8060686985651652,0.7647462487220764,0.8108829657236735,0.8206002910931905,0.8811848560969034,0.06239862615863482,0.8736625512441,0.8722222844759623,0.7581183711687723,0.8305555979410807,0.6125520070393881,0.8747044801712036,0.9594594836235046,0.25,0.8333333333333334,0.7885834574699402,0.7035804986953735,0.8323468565940857,0.05838307614127795,0.8722222248713175,0.8322820464769999,0.8765432238578796,0.8604041934013367,0.3133333333333333,0.055812508801085264,0.0010795253658211499,0.003586959159760005,0.00725513394642459,0.0,0.0035731763925920313,0.00725513394642459,0.0007198491427816153,0.01924502503227452,0.0400467964187347,0.012799746562170953,0.0016087973874176918,0.004276079604455708,0.09039664100174315,0.00027207909181566244,0.05946891881537002,0.0007238300860323765,0.07200725417362949,0.002828731834168368,0.029417960187801667,0.11564192939578498,0.0006540096690169564,0.015413420049790391,0.009429162476394805,6.8068592855540455,0.009911496849697166,0.02545872958150609,0.0010795253658211499,0.0014397035695730808,0.08920337822305503,0.003586959159760005,0.03345333643406524,0.03414464380943971,0.0035731763925920313,0.002828731834168368,0.0011767077461382201,0.01697248205208574,0.02545872958150609,0.06662860847118587,0.004811247654879171,0.06299718842329846,0.010833506654187659,0.0,0.0,0.03333333134651628,0.009911496849697166,0.05685625584581806,0.0016087973874176918,0.002553930936105286,0.02545872958150609,0.004276079604455708,0.0,0.0006540096690169564,0.23028967265887834
