name,instance,run_id,test_incremental_only/macro_types/f1,test/micro/recall,test/macro_example/precision,test_pretraining/micro/precision,test_incremental_PRODUCT/macro_types/f1,test/micro/f1,test/micro/precision,test_incremental/macro_example/recall,test_incremental_PRODUCT-VEHICLE/macro_types/recall,test_incremental_PRODUCT-VEHICLE/macro_types/f1,test_incremental_only/macro_example_exclusive/f1,test/macro_example/f1,test_pretraining/macro_types/f1,test_incremental_only/micro/precision,test_incremental_only/macro_example/precision,test_incremental/macro_types/precision,test_incremental_only/macro_example/f1,test_incremental_PRODUCT-WEAPON/macro_types/f1,test/macro_types/recall,test_incremental/macro_types/f1,test_incremental_PRODUCT-WEAPON/macro_types/precision,test_pretraining/macro_example/recall,test_incremental/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/recall,epoch,test_pretraining/macro_types/precision,test_incremental_only/macro_types/recall,test_pretraining/micro/recall,test_incremental_only/macro_example/recall,test_incremental_only/macro_types/precision,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/precision,test_incremental/micro/f1,test_pretraining/micro/f1,test_pretraining/macro_types/recall,test_incremental/macro_example/f1,test_incremental/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental/micro/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental_PRODUCT-VEHICLE/macro_types/precision,test_incremental/micro/recall,test_incremental_PRODUCT/macro_types/precision,threshold_pretraining,test_incremental_PRODUCT-WEAPON/macro_types/recall,test/macro_types/precision,test_incremental_only/micro/f1,test_pretraining/macro_example/f1,test_incremental/macro_example/precision,test_incremental_only/micro/recall,test/macro_types/f1,test_incremental_PRODUCT/macro_types/recall,test/macro_example/recall,threshold_incremental
no_init_box_kenn_horizontal_adapter_bert_ms,2,m0tsdft4,0.8235294222831726,0.8537102341651917,0.8278353214263916,0.8042609691619873,0.9493670463562012,0.8282482028007507,0.8042609691619873,0.06456173211336136,0.8666666746139526,0.9285714626312256,0.7000000476837158,0.83799809217453,0.8531043529510498,1.0,0.03958529606461525,0.991342067718506,0.03958529606461525,0.6956522464752197,0.8544420003890991,0.8701165914535522,1.0,0.8484134674072266,0.8895723819732666,0.8456790447235107,43,0.8517708778381348,0.7000000476837158,0.8537102341651917,0.03958529606461525,1.0,0.8278353214263916,0.9382716417312622,0.9000000357627869,0.8282482028007507,0.8544420003890991,0.06791269034147263,0.7753086090087891,0.7000000476837158,0.9831932783126832,0.7000000476837158,1.0,0.8297872543334961,0.9740259647369384,0.175,0.5333333611488342,0.8517708778381348,0.8235293626785278,0.83799809217453,0.07163053750991821,0.699999988079071,0.8531043529510498,0.92592591047287,0.8484134674072266,0.01
no_init_box_kenn_horizontal_adapter_bert_ms,1,9memri8u,0.7878787517547607,0.851590096950531,0.8275212049484253,0.8038692474365234,0.9493670463562012,0.8270418643951416,0.8038692474365234,0.06314797699451447,0.7666666507720947,0.8679245114326477,0.6500000953674316,0.8371471166610718,0.8503261804580688,1.0,0.03675777465105057,0.991342067718506,0.03675777465105057,0.6956522464752197,0.8488864302635193,0.848720908164978,1.0,0.8469996452331543,0.8737610578536987,0.8271605372428894,15,0.8517708778381348,0.6499999761581421,0.851590096950531,0.03675777465105057,1.0,0.8275212049484253,0.9259259700775146,0.8871595859527588,0.8270418643951416,0.8488864302635193,0.0667056068778038,0.7419753074645996,0.6500000953674316,0.982758641242981,0.6500000953674316,1.0,0.8085106611251831,0.9740259647369384,0.175,0.5333333611488342,0.8517708778381348,0.7878787517547607,0.8371471166610718,0.07068802416324615,0.6499999761581421,0.8503261804580688,0.92592591047287,0.8469996452331543,0.01
no_init_box_kenn_horizontal_adapter_bert_ms,0,4z20csmd,0.8118811845779419,0.8530035614967346,0.8275212049484253,0.8041305541992188,0.9493670463562012,0.827846348285675,0.8041305541992188,0.06409047544002533,0.8333333134651184,0.9090909361839294,0.6833333969116211,0.837607204914093,0.8521803021430969,1.0,0.03864278644323349,0.991342067718506,0.03864278644323349,0.6956522464752197,0.8525901436805725,0.8630750179290771,1.0,0.8479421734809875,0.8806009888648987,0.839506208896637,29,0.8517708778381348,0.6833333373069763,0.8530035614967346,0.03864278644323349,1.0,0.8275212049484253,0.9259259700775146,0.8957528471946716,0.827846348285675,0.8525901436805725,0.06722776591777802,0.764197587966919,0.6833333969116211,0.98305082321167,0.6833333969116211,1.0,0.8226950168609619,0.9740259647369384,0.175,0.5333333611488342,0.8517708778381348,0.8118811845779419,0.837607204914093,0.07068802416324615,0.6833333373069763,0.8521803021430969,0.92592591047287,0.8479421734809875,0.01
no_init_box_kenn_hybrid_adapter_bert_ms,2,0ir5qoae,0.8235294222831726,0.8537102341651917,0.8278353214263916,0.8042609691619873,0.9493670463562012,0.8282482028007507,0.8042609691619873,0.06456173211336136,0.8666666746139526,0.9285714626312256,0.7000000476837158,0.83799809217453,0.8531043529510498,1.0,0.03958529606461525,0.991342067718506,0.03958529606461525,0.6956522464752197,0.8544420003890991,0.8701165914535522,1.0,0.8484134674072266,0.8895723819732666,0.8456790447235107,42,0.8517708778381348,0.7000000476837158,0.8537102341651917,0.03958529606461525,1.0,0.8278353214263916,0.9382716417312622,0.9000000357627869,0.8282482028007507,0.8544420003890991,0.06791269034147263,0.7753086090087891,0.7000000476837158,0.9831932783126832,0.7000000476837158,1.0,0.8297872543334961,0.9740259647369384,0.175,0.5333333611488342,0.8517708778381348,0.8235293626785278,0.83799809217453,0.07163053750991821,0.699999988079071,0.8531043529510498,0.92592591047287,0.8484134674072266,0.02
no_init_box_kenn_top_down_adapter_bert_ms,2,i1e9onmm,0.8461538553237915,0.8551236987113953,0.8279924392700195,0.8045212626457214,0.9493670463562012,0.8290510773658752,0.8045212626457214,0.06550423800945282,0.8666666746139526,0.9285714626312256,0.7333333492279053,0.8385381698608398,0.8549463748931885,1.0,0.04147031158208847,0.991342067718506,0.04147031158208847,0.75,0.8581457138061523,0.8839374780654907,1.0,0.849355936050415,0.8963557481765747,0.8580247163772583,42,0.8517708778381348,0.7333333492279053,0.8551236987113953,0.04147031158208847,1.0,0.8279924392700195,0.9382716417312622,0.9083969593048096,0.8290510773658752,0.8581457138061523,0.06843054294586182,0.7975308895111084,0.7333333492279053,0.9834710955619812,0.7333333492279053,1.0,0.8439716100692749,0.9740259647369384,0.175,0.6000000238418579,0.8517708778381348,0.8461538553237915,0.8385381698608398,0.07163053750991821,0.7333333492279053,0.8549463748931885,0.92592591047287,0.849355936050415,0.01
no_init_box_kenn_bottom_up_adapter_bert_ms,2,lt0puqom,0.8349514603614807,0.8544169664382935,0.8279924392700195,0.8043912053108215,0.9493670463562012,0.8286496996879578,0.8043912053108215,0.06503298878669739,0.8666666746139526,0.9285714626312256,0.7166666984558105,0.8383084535598755,0.8540263772010803,1.0,0.04052780196070671,0.991342067718506,0.04052780196070671,0.7234042882919312,0.8562938570976257,0.8770702481269836,1.0,0.8488847017288208,0.8929758071899414,0.8518518805503845,42,0.8517708778381348,0.7166666984558105,0.8544169664382935,0.04052780196070671,1.0,0.8279924392700195,0.9382716417312622,0.9042145609855652,0.8286496996879578,0.8562938570976257,0.06817251443862915,0.7864197492599487,0.7166666984558105,0.9833333492279052,0.7166666984558105,1.0,0.8368794322013855,0.9740259647369384,0.175,0.5666666626930237,0.8517708778381348,0.8349514007568359,0.8383084535598755,0.07163053750991821,0.7166666388511658,0.8540263772010803,0.92592591047287,0.8488847017288208,0.01
no_init_box_kenn_hybrid_adapter_bert_ms,1,tdu40758,0.7755101919174194,0.8508833646774292,0.8275212049484253,0.8037382960319519,0.9493670463562012,0.8266391754150391,0.8037382960319519,0.06267671287059784,0.7666666507720947,0.8679245114326477,0.6333334445953369,0.8368401527404785,0.8493961095809937,1.0,0.035815268754959106,0.991342067718506,0.035815268754959106,0.6666666865348816,0.8470345735549927,0.8414049744606018,1.0,0.8463713526725769,0.8757202625274658,0.8209877014160156,18,0.8517708778381348,0.6333333253860474,0.8508833646774292,0.035815268754959106,1.0,0.8275212049484253,0.9382716417312622,0.8828125,0.8266391754150391,0.8470345735549927,0.06685516238212585,0.7308642268180847,0.6333334445953369,0.982608675956726,0.6333334445953369,1.0,0.8014184236526489,0.9740259647369384,0.175,0.5,0.8517708778381348,0.7755101919174194,0.8368401527404785,0.07163053750991821,0.6333333253860474,0.8493961095809937,0.92592591047287,0.8463713526725769,0.01
no_init_box_kenn_top_down_adapter_bert_ms,1,wi0xvzpt,0.8118811845779419,0.8530035614967346,0.8279924392700195,0.8041305541992188,0.9493670463562012,0.827846348285675,0.8041305541992188,0.06409047544002533,0.7666666507720947,0.8679245114326477,0.6833333969116211,0.8377718925476074,0.8521803021430969,1.0,0.03864279016852379,0.991342067718506,0.03864279016852379,0.75,0.8525901436805725,0.8630750179290771,1.0,0.8477851152420044,0.8916135430335999,0.839506208896637,18,0.8517708778381348,0.6833333373069763,0.8530035614967346,0.03864279016852379,1.0,0.8279924392700195,0.9506173133850098,0.8957528471946716,0.827846348285675,0.8525901436805725,0.0680685043334961,0.764197587966919,0.6833333969116211,0.98305082321167,0.6833333969116211,1.0,0.8226950168609619,0.9740259647369384,0.175,0.6000000238418579,0.8517708778381348,0.8118811845779419,0.8377718925476074,0.07257303595542908,0.6833333373069763,0.8521803021430969,0.92592591047287,0.8477851152420044,0.04
no_init_box_kenn_bottom_up_adapter_bert_ms,1,ph6ffq2j,0.8235293626785278,0.8537102341651917,0.8279924392700195,0.8042609691619873,0.9493670463562012,0.8282482028007507,0.8042609691619873,0.06456173211336136,0.7666666507720947,0.8679245114326477,0.7000000476837158,0.8380019068717957,0.8531043529510498,1.0,0.03958529606461525,0.991342067718506,0.03958529606461525,0.7755101919174194,0.8544420003890991,0.8701167106628418,1.0,0.8482563495635986,0.8950830101966858,0.8456790447235107,30,0.8517708778381348,0.699999988079071,0.8537102341651917,0.03958529606461525,1.0,0.8279924392700195,0.9506173133850098,0.9000000357627869,0.8282482028007507,0.8544420003890991,0.06833337992429733,0.7753086686134338,0.7000000476837158,0.9831932783126832,0.7000000476837158,1.0,0.8297872543334961,0.9740259647369384,0.175,0.6333333253860474,0.8517708778381348,0.8235293626785278,0.8380019068717957,0.07257303595542908,0.699999988079071,0.8531043529510498,0.92592591047287,0.8482563495635986,0.01
no_init_box_kenn_hybrid_adapter_bert_ms,0,grs2dda7,0.8235293626785278,0.8537102341651917,0.8279924392700195,0.8042609691619873,0.9493670463562012,0.8282482028007507,0.8042609691619873,0.06456173211336136,0.8333333134651184,0.9090909361839294,0.7000000476837158,0.8380785584449768,0.8531043529510498,1.0,0.03958529606461525,0.991342067718506,0.03958529606461525,0.7234042882919312,0.8544420003890991,0.8701167106628418,1.0,0.8484134078025818,0.8895723819732666,0.8456790447235107,24,0.8517708778381348,0.699999988079071,0.8537102341651917,0.03958529606461525,1.0,0.8279924392700195,0.9382716417312622,0.9000000357627869,0.8282482028007507,0.8544420003890991,0.06791269034147263,0.7753086686134338,0.7000000476837158,0.9831932783126832,0.7000000476837158,1.0,0.8297872543334961,0.9740259647369384,0.175,0.5666666626930237,0.8517708778381348,0.8235293626785278,0.8380785584449768,0.07163053750991821,0.699999988079071,0.8531043529510498,0.92592591047287,0.8484134078025818,0.01
