name,test_incremental_only/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test/macro_types/f1/mean,test_incremental/macro_types/f1/mean,test_pretraining/macro_types/recall/mean,test_incremental/macro_example/f1/mean,test_incremental_only/micro/recall/mean,test_incremental_PRODUCT-WEAPON/macro_types/recall/mean,test/micro/recall/mean,test_incremental_only/micro/precision/mean,test_incremental/macro_example/precision/mean,test_incremental/macro_example_exclusive/precision/mean,test/macro_types/recall/mean,test_incremental/macro_example/recall/mean,test_incremental_PRODUCT/macro_types/f1/mean,test_incremental_PRODUCT-VEHICLE/macro_types/f1/mean,test/micro/precision/mean,test_incremental/macro_types/precision/mean,test_incremental_PRODUCT-VEHICLE/macro_types/recall/mean,test/micro/f1/mean,test_incremental/micro/recall/mean,test_pretraining/macro_types/f1/mean,test_pretraining/macro_example/f1/mean,test/macro_example/f1/mean,test/macro_types/precision/mean,test_pretraining/macro_types/precision/mean,test_incremental/micro/precision/mean,test_incremental_only/macro_example/recall/mean,test_incremental_PRODUCT/macro_types/recall/mean,test/macro_example/precision/mean,test_incremental_only/macro_types/f1/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental/micro/f1/mean,test_pretraining/micro/recall/mean,test_incremental_only/micro/f1/mean,test_pretraining/micro/precision/mean,test_incremental/macro_example_exclusive/f1/mean,epoch/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental_PRODUCT-VEHICLE/macro_types/precision/mean,test_pretraining/macro_example/precision/mean,test_incremental_PRODUCT/macro_types/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental/macro_types/recall/mean,test_incremental_only/macro_types/precision/mean,test/macro_example/recall/mean,test_incremental_only/macro_example/precision/mean,test_incremental_PRODUCT-WEAPON/macro_types/f1/mean,test_incremental_PRODUCT-WEAPON/macro_types/precision/mean,test_pretraining/micro/f1/mean,threshold_incremental/mean,threshold_pretraining/mean,test_incremental_only/macro_types/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test/macro_types/f1/std,test_incremental/macro_types/f1/std,test_pretraining/macro_types/recall/std,test_incremental/macro_example/f1/std,test_incremental_only/micro/recall/std,test_incremental_PRODUCT-WEAPON/macro_types/recall/std,test/micro/recall/std,test_incremental_only/micro/precision/std,test_incremental/macro_example/precision/std,test_incremental/macro_example_exclusive/precision/std,test/macro_types/recall/std,test_incremental/macro_example/recall/std,test_incremental_PRODUCT/macro_types/f1/std,test_incremental_PRODUCT-VEHICLE/macro_types/f1/std,test/micro/precision/std,test_incremental/macro_types/precision/std,test_incremental_PRODUCT-VEHICLE/macro_types/recall/std,test/micro/f1/std,test_incremental/micro/recall/std,test_pretraining/macro_types/f1/std,test_pretraining/macro_example/f1/std,test/macro_example/f1/std,test/macro_types/precision/std,test_pretraining/macro_types/precision/std,test_incremental/micro/precision/std,test_incremental_only/macro_example/recall/std,test_incremental_PRODUCT/macro_types/recall/std,test/macro_example/precision/std,test_incremental_only/macro_types/f1/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_example/f1/std,test_incremental/micro/f1/std,test_pretraining/micro/recall/std,test_incremental_only/micro/f1/std,test_pretraining/micro/precision/std,test_incremental/macro_example_exclusive/f1/std,epoch/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental_PRODUCT-VEHICLE/macro_types/precision/std,test_pretraining/macro_example/precision/std,test_incremental_PRODUCT/macro_types/precision/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental/macro_types/recall/std,test_incremental_only/macro_types/precision/std,test/macro_example/recall/std,test_incremental_only/macro_example/precision/std,test_incremental_PRODUCT-WEAPON/macro_types/f1/std,test_incremental_PRODUCT-WEAPON/macro_types/precision/std,test_pretraining/micro/f1/std,threshold_incremental/std,threshold_pretraining/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.39444445073604584,0.3944444755713145,0.8357884287834167,0.7220199704170227,0.820491373538971,0.06239177659153938,0.39444444080193836,0.18888889501492181,0.8407538334528605,1.0,0.07068802416324615,0.9259259700775146,0.820491373538971,0.05592208355665207,0.9493670463562012,0.7394957741101583,0.8018380403518677,0.991342067718506,0.5999999940395355,0.8208305637041727,0.6997635960578918,0.8357884287834167,0.8335196574529012,0.8335196574529012,0.8517708778381348,0.8517708778381348,0.9800354838371277,0.022306000503400963,0.92592591047287,0.8273640871047974,0.5554758012294769,0.8397737542788187,0.022305999882519245,0.8155816992123922,0.8407538334528605,0.555475781361262,0.8018380403518677,0.8172553380330404,35.666666666666664,0.3944444755713145,1.0,0.8273640871047974,0.9740259647369384,0.7325102885564169,0.3944444755713145,0.5716049273808798,1.0,0.8397737542788187,0.022306000503400963,0.308143675327301,1.0,0.8208305637041727,0.013333333333333334,0.17499999999999996,0.1397749563882282,0.13977496497611397,0.008101742900359423,0.07780051491262654,0.015530556533771774,0.002510063216106454,0.1397749469119405,0.1071516783927718,0.005926851788546002,0.0,0.0,0.0,0.015530556533771774,0.0039521648059340575,0.0,0.14555044494275524,0.001123746962078605,0.0,0.1732050704330604,0.003417251390723637,0.05947870076318671,0.008101742900359423,0.001949446577558828,0.001949446577558828,0.0,0.0,0.0017460595739814642,0.007904333146966973,0.0,0.0,0.15356209395523124,0.0039521616225465465,0.00790433266574922,0.04193001284159677,0.005926851788546002,0.15356207528350382,0.001123746962078605,0.03287874898037094,5.507570547286103,0.13977496497611397,0.0,0.0,0.0,0.05176848861223959,0.13977496497611397,0.09318330485108779,0.0,0.0039521616225465465,0.007904333146966973,0.16003586596321875,0.0,0.003417251390723637,0.005773502691896258,0.0
no_init_box_kenn_horizontal_adapter_bert_ms,0.4222222367922465,0.4222222566604614,0.8370155692100525,0.7366681297620138,0.8235778013865153,0.06283679356177647,0.42222221692403156,0.21111111839612326,0.841931680838267,0.9888888796170553,0.07053094108899434,0.9238683581352234,0.8235778013865153,0.05670750637849172,0.9493670463562012,0.7633605599403381,0.8018826643625895,0.9865111509958903,0.6333333353201548,0.8214165767033895,0.7115839123725891,0.8370155692100525,0.8338277339935303,0.8338277339935303,0.8509657382965088,0.8509657382965088,0.9773473540941874,0.023876846457521122,0.92592591047287,0.8272070089975992,0.5867414673169454,0.8405592242876688,0.023876846457521122,0.8229835033416748,0.841931680838267,0.5858894189198812,0.8018826643625895,0.8230845133463541,32.0,0.4222222566604614,0.9855072498321533,0.8272070089975992,0.9740259647369384,0.7427983482678732,0.4222222566604614,0.590123454729716,0.9927536249160767,0.8405592242876688,0.023876846457521122,0.34490838646888733,1.0,0.8214165767033895,0.013333333333333334,0.17499999999999996,0.10584755164561523,0.10584754304242686,0.005794674866456474,0.05576689981707117,0.01176083524809529,0.0018155836350410158,0.10584753443923639,0.0693888684782112,0.00448821509829275,0.01924502503227447,0.00027207586561324865,0.0035638884263090227,0.01176083524809529,0.0029928592559159374,0.0,0.11003296178133513,0.0007434182296637365,0.008367393210704338,0.14529663304668483,0.002506003314180109,0.04504151646386401,0.005794674866456474,0.00141023542422658,0.00141023542422658,0.0013945425932789083,0.0013945425932789083,0.004789542336764847,0.005985723351124841,0.0,0.00027206726242380813,0.10845425577254243,0.0029928603314624278,0.005985723351124841,0.03022690275269772,0.00448821509829275,0.1077519016435212,0.0007434182296637365,0.02378196444792661,3.0,0.10584754304242686,0.025102179632112823,0.00027206726242380813,0.0,0.03920278989578854,0.10584754304242686,0.0705650459013294,0.012551089816056411,0.0029928603314624278,0.005985723351124841,0.09729716022639147,0.0,0.002506003314180109,0.005773502691896257,0.0
no_init_box_kenn_hybrid_adapter_bert_ms,0.42222222685813904,0.4222222566604614,0.8374156554539999,0.7385688225428263,0.8235778013865153,0.06290868297219276,0.42222221692403156,0.22222222884496054,0.841931680838267,1.0,0.07068802416324615,0.9259259700775146,0.8235778013865153,0.05670750637849172,0.9493670463562012,0.761140783627828,0.8020628094673157,0.991342067718506,0.6222222149372101,0.8215119242668152,0.7115839322408041,0.8374156554539999,0.8339081406593323,0.8339081406593323,0.8517708778381348,0.8517708778381348,0.9804170529047648,0.023876845836639404,0.92592591047287,0.8273640871047974,0.5896872381369272,0.840559184551239,0.023876845215757687,0.8242508769035339,0.841931680838267,0.5896872182687124,0.8020628094673157,0.8240261872609457,35.666666666666664,0.4222222566604614,1.0,0.8273640871047974,0.9740259647369384,0.7427983482678732,0.4222222566604614,0.590123454729716,1.0,0.840559184551239,0.023876845836639404,0.3617151081562042,1.0,0.8215119242668152,0.013333333333333334,0.17499999999999996,0.09179285051137835,0.09179285051137835,0.005290741968673517,0.04920250930088337,0.010199197195022346,0.0016169745854751141,0.09179284059092614,0.05091751119021182,0.0038922894700018826,0.0,0.0,0.0,0.010199197195022346,0.002595460097035549,0.0,0.10806018872783944,0.0007354736022836681,0.0,0.13471505478126922,0.002240272718293849,0.03906077275326361,0.005290741968673517,0.0012783855977082953,0.0012783855977082953,0.0,0.0,0.0010865706538814737,0.005190924139704389,0.0,0.0,0.09442621608781798,0.002595444652786534,0.00519092368877472,0.026951409043206916,0.0038922894700018826,0.0944261965202722,0.0007354736022836681,0.02118036698306531,5.507570547286103,0.09179285051137835,0.0,0.0,0.0,0.03399734863423875,0.09179285051137835,0.061195217440786646,0.0,0.002595444652786534,0.005190924139704389,0.06919079662872435,0.0,0.002240272718293849,0.005773502691896258,0.0
no_init_box_kenn_top_down_adapter_bert_ms,0.5,0.5000000496705373,0.8415180246035258,0.7778432369232178,0.8322197794914246,0.06432433426380157,0.4999999900658925,0.2555555651585261,0.8452296853065491,0.9895833333333334,0.0708451122045517,0.9279835820198059,0.8322197794914246,0.058906689286231995,0.9493670463562012,0.8474701642990112,0.8025051355361938,0.986897607644399,0.7444444497426351,0.8233133554458618,0.7446808417638143,0.8415180246035258,0.8349901437759399,0.8349901437759399,0.851030151049296,0.851030151049296,0.9783058563868204,0.02827521227300167,0.92592591047287,0.8273640871047974,0.6649889349937439,0.8427583773930868,0.02827521227300167,0.8456265131632487,0.8452296853065491,0.6640883684158325,0.8025051355361938,0.8425693909327189,35.666666666666664,0.5000000496705373,0.9866666595141093,0.8273640871047974,0.9740259647369384,0.7716049353281657,0.5000000496705373,0.6419753034909567,0.9933333396911621,0.8427583773930868,0.02827521227300167,0.4068278968334198,1.0,0.8233133554458618,0.023333333333333334,0.17499999999999996,0.016666650772094727,0.016666665673258127,0.0005114745672784089,0.006195238019766933,0.0018518567085266113,0.0003344888240805188,0.016666665673258148,0.019245016429085035,0.0007067322731018066,0.01804219591217582,0.0007198532074106939,0.009429162476394866,0.0018518567085266113,0.0004712529480457306,0.0,0.024625355704975753,0.0002068919978445893,0.007698030660564533,0.050917517693612656,0.0002757527128600085,0.00709220767023265,0.0005114745672784089,0.00023574098167779574,0.00023574098167779574,0.0012829764327959633,0.0012829764327959633,0.005048639483638838,0.0009425077587366104,0.0,0.0004712343215942383,0.012549041833717092,0.0004712641242307241,0.0009425077587366104,0.0031104266642629557,0.0007067322731018066,0.01133593866227544,0.0002068919978445893,0.0043813170497156865,5.507570547286103,0.016666665673258127,0.023094023156177756,0.0004712343215942383,0.0,0.0061728358269697164,0.016666665673258127,0.01111111044885059,0.01154699437170997,0.0004712641242307241,0.0009425077587366104,0.024638020356174014,0.0,0.0002757527128600085,0.015275252316519468,0.0
no_init_kenn_bottom_up_adapter_bert_ms,0.8277777830759684,0.7999145984649658,0.8238738179206848,0.7153290708859762,0.8762465715408325,0.061686368038256965,0.8277777632077535,0.7888888915379842,0.8676089445749918,0.4926118204991023,0.058278353263934456,0.7633745272954305,0.8762465715408325,0.0658184066414833,0.9161290526390076,0.5535102238257726,0.7370720108350118,0.6554345488548279,0.8666666547457377,0.7953569293022156,0.855791966120402,0.8238738179206848,0.8153213461240133,0.8153213461240133,0.7783202131589254,0.7783202131589254,0.6295739312966665,0.04681118453542391,0.8765432238578796,0.7769714196523031,0.5593736519416174,0.8591999014218649,0.04523550594846407,0.6821561753749847,0.8676089445749918,0.5526461154222488,0.7370720108350118,0.8080153266588846,52.333333333333336,0.8277778228123983,0.4760086064537366,0.7769714196523031,0.9594594836235046,0.8621399601300558,0.7750000556310018,0.8440329631169637,0.5034220864375433,0.8591999014218649,0.04382657880584399,0.5583071211973826,0.5308355689048767,0.7953569293022156,0.11,0.25,0.1084400759670133,0.07792433636576321,0.015871488888923767,0.12821552917043572,0.012048903097661821,0.0008606672042490084,0.10844013398613944,0.11706279835509788,0.004598168786656309,0.3241888193429544,0.003964634574402022,0.05193181060327636,0.012048903097661821,0.003066165244096816,0.0,0.29809815818634244,0.07841448482020076,0.22195590431111153,0.09999999403953702,0.04564078476975923,0.046144715516407905,0.015871488888923767,0.028612077760372823,0.028612077760372823,0.036992657259025445,0.036992657259025445,0.32593224397352444,0.006132332682992765,0.0,0.052871132098464856,0.27641491476432595,0.0029901190272285543,0.004406650283306333,0.24187845535579033,0.004598168786656309,0.2756734968514336,0.07841448482020076,0.01127366767667533,5.8594652770823155,0.10844013398613944,0.31127663378494347,0.052871132098464856,0.0,0.04016301185232812,0.05204166716654304,0.07229342469319748,0.3329338679450912,0.0029901190272285543,0.0029429758051184806,0.2555627213098399,0.3737901677781348,0.04564078476975923,0.14798648586948743,0.0
no_init_kenn_horizontal_adapter_bert_ms,0.7777777711550394,0.7707380255063375,0.8395124673843384,0.8280511498451233,0.8706910014152527,0.06483445564905803,0.7777777910232544,0.7222222288449606,0.8654888272285461,0.785757581392924,0.06529479722181956,0.8552812337875366,0.8706910014152527,0.06440465152263641,0.9161290526390076,0.7912114063898722,0.7880848447481791,0.8488697409629822,0.8333333333333334,0.8249708612759908,0.8345153530438741,0.8395124673843384,0.8333723545074463,0.8333723545074463,0.8105593919754028,0.8105593919754028,0.8799127340316772,0.04398366312185923,0.8765432238578796,0.8102680643399557,0.782508134841919,0.85783851146698,0.0435855562488238,0.8559820652008057,0.8654888272285461,0.7786994775136312,0.7880848447481791,0.8492513497670492,48.333333333333336,0.7777778506278992,0.7585009733835856,0.8102680643399557,0.9594594836235046,0.8436214129130045,0.7638889749844869,0.8106996218363444,0.7935747901598612,0.85783851146698,0.04319823905825615,0.766059676806132,0.828648587067922,0.8249708612759908,0.13999999999999999,0.25,0.0384899984454239,0.032463871287504144,0.0029690065297463377,0.012144566429018677,0.004276645463916108,0.00032303817972581793,0.03849001565179121,0.050917491680013006,0.0016320938597235908,0.0824036189115145,0.001179006557685311,0.015443516514005417,0.004276645463916108,0.0010883120656424291,0.0,0.03274572124024409,0.0029583250873916355,0.055747143980556434,0.03333333134651627,0.0008960232339513749,0.01637871761742431,0.0029690065297463377,0.0008298965315600526,0.0008298965315600526,0.00929119121343448,0.00929119121343448,0.04160045789362002,0.0021766262820822153,0.0,0.0025247412140688235,0.018863051762265794,0.0010883378752107086,0.0018358436367292368,0.010778831357575356,0.0016320938597235908,0.0194431971101206,0.0029583250873916355,0.004231460099589764,8.504900548115383,0.03849001565179121,0.08283666952010914,0.0025247412140688235,0.0,0.014255588117993484,0.026787927227511957,0.025660010434527477,0.08362072985082494,0.0010883378752107086,0.0015148662836804612,0.021790427126457842,0.1174282160873829,0.0008960232339513749,0.13892443989449804,0.0
no_init_kenn_hybrid_adapter_bert_ms,0.8555555542310079,0.8231064478556315,0.8243648012479147,0.7145966490109762,0.8793329993883768,0.062261633574962616,0.8555555542310079,0.8222222129503886,0.8687868118286133,0.48249084254105884,0.058697243531545006,0.7688614726066589,0.8793329993883768,0.06660383194684982,0.9161290526390076,0.5550980468591055,0.7315703630447388,0.6466903984546661,0.8888888756434122,0.7923160592714945,0.8676123023033142,0.8243648012479147,0.8141969641049703,0.8141969641049703,0.7768628398577372,0.7768628398577372,0.6140752484401067,0.04838202893733978,0.8765432238578796,0.7744947075843811,0.5514933516581854,0.859985331694285,0.04654701550801595,0.672626276810964,0.8687868118286133,0.5468200594186783,0.7315703630447388,0.8155506054560343,52.333333333333336,0.8555556138356527,0.4715270971258481,0.7744947075843811,0.9594594836235046,0.8724280198415121,0.7944445013999939,0.8625514705975851,0.4903058409690857,0.859985331694285,0.04492616901795069,0.5420088072617849,0.5090845624605814,0.7923160592714945,0.20333333333333337,0.25,0.11706279835509788,0.08232326591776447,0.016150735566920635,0.13213110364343553,0.013006982938140416,0.000770011077160753,0.11706279835509788,0.1503083007136649,0.004963802715721126,0.3378291039499626,0.003950083301306338,0.051741201567345664,0.013006982938140416,0.0033099793524477227,0.0,0.30721161000810926,0.08478994683614359,0.23028864089558548,0.0838870284910725,0.049899606806920606,0.04981397016818238,0.016150735566920635,0.030858197377086068,0.030858197377086068,0.038381447928129954,0.038381447928129954,0.3336369938675676,0.0066199512795283065,0.0,0.056696621657805334,0.28607410421016344,0.0032358666423742554,0.004655415393019817,0.2515375730110528,0.004963802715721126,0.2843901507614797,0.08478994683614359,0.010086160396103147,5.8594652770823155,0.11706279835509785,0.3198896550439179,0.056696621657805334,0.0,0.043356636195088755,0.05357582046109755,0.0780418749991025,0.34543293800678176,0.0032358666423742554,0.00302973469198129,0.26268325154455,0.38268528199372265,0.049899606806920606,0.3177000681985028,0.0
no_init_kenn_top_down_adapter_bert_ms,0.8166666626930237,0.7963671485582987,0.8252826929092407,0.720004677772522,0.8750120004018148,0.06275007873773575,0.8166666626930237,0.7888888915379842,0.8671378095944723,0.5291401023666064,0.06047753617167473,0.7921810944875082,0.8750120004018148,0.06550424049297969,0.9161290526390076,0.5775783757368723,0.726421038309733,0.6780356268088022,0.8444444338480631,0.7876362204551697,0.8510638276735941,0.8252826929092407,0.8108323415120443,0.8108323415120443,0.7820870478947958,0.7820870478947958,0.6395045618216196,0.04618284602959951,0.8765432238578796,0.7699916362762451,0.5617926120758057,0.8588857452074686,0.045034896582365036,0.6718661387761434,0.8671378095944723,0.5578301846981049,0.726421038309733,0.8219486077626547,57.333333333333336,0.8166667222976685,0.5348416194319725,0.7699916362762451,0.9594594836235046,0.8580247362454733,0.7777778307596842,0.8366255561510721,0.5373236536979675,0.8588857452074686,0.0439836618800958,0.5408924321333567,0.5398057252168655,0.7876362204551697,0.25333333333333335,0.25,0.10929063328507149,0.08459827651039149,0.019181751131032567,0.15186575543083536,0.01214340925312829,0.0008585764250478297,0.10929065600912333,0.13471505723932448,0.004634230724129663,0.38169859855054755,0.004164960395778044,0.05455585507516167,0.01214340925312829,0.0030902139405105736,0.0,0.3402181982071407,0.10301343714974383,0.25973955536829446,0.08388706007038478,0.06189367083935531,0.04650664308201568,0.019181751131032567,0.037964312559510514,0.037964312559510514,0.04328991478873204,0.04328991478873204,0.3780899347147813,0.00618043015342638,0.0,0.06862243362278664,0.3256669364867626,0.003006578148952945,0.004784066403331356,0.28991278152183647,0.004634230724129663,0.3222009437562256,0.10301343714974383,0.011246316135374728,2.886751345948128,0.10929065600912333,0.37469180269074015,0.06862243362278664,0.0,0.0404780232690168,0.06254627775041478,0.0728604100705461,0.3896093001258724,0.003006578148952945,0.003537016115966467,0.3110412947412281,0.4235571449842169,0.06189367083935531,0.26083200212652846,0.0
smart_init_box_adapter_bert_ms,0.6277777751286825,0.47800429662068683,0.8188392321268717,0.6777906020482382,0.8464173078536987,0.058504629880189896,0.6277777850627899,0.5555555621782938,0.8506478269894918,0.47108493248621625,0.05524138857920965,0.7235940098762512,0.8464173078536987,0.06251963352163632,0.9493670463562012,0.5680530865987142,0.7780537605285645,0.6393945217132568,0.700000007947286,0.8126999537150065,0.7990543643633524,0.8188392321268717,0.8301157156626383,0.8301157156626383,0.7931130131085714,0.7931130131085714,0.6993941267331442,0.035501097639401756,0.92592591047287,0.8144831657409668,0.5297144651412964,0.8463713526725769,0.027031346534689266,0.7428356210390726,0.8506478269894918,0.5292028586069742,0.7780537605285645,0.7663384675979614,45.0,0.6277778148651123,0.4839273194471995,0.8144831657409668,0.9740259647369384,0.8189300298690796,0.39444446563720703,0.7271605134010315,0.4720787803332011,0.8463713526725769,0.02230600081384182,0.48639840881029767,0.4602302412192027,0.8126999537150065,0.5333333333333333,0.17499999999999996,0.1294575493968291,0.17040782445631453,0.019605626072825382,0.11862287799197385,0.014384177555174724,0.006245138018172347,0.1294575749756269,0.10715167491612135,0.005489385986454682,0.2307834278595879,0.00902700633633763,0.11824269103058786,0.014384177555174724,0.003660439500817248,0.0,0.19630423180166862,0.015664628209618132,0.15484013768645338,0.16666665673256012,0.010574118812003378,0.055088318865055726,0.019605626072825382,0.004907394467796651,0.004907394467796651,0.025806674417473335,0.025806674417473335,0.14754032526962546,0.007320878442097888,0.0,0.006805021458672256,0.18662419631284358,0.003660414721353936,0.009636636328817186,0.10145867984787957,0.005489385986454682,0.18596367727044077,0.015664628209618132,0.08180369434912348,38.31448812133603,0.12945758264926904,0.2087515871076376,0.006805021458672256,0.0,0.04794727258558324,0.18490488588383014,0.08630504998375127,0.23226016219473142,0.003660414721353936,0.0104564511350423,0.1699460533835932,0.2558882784264416,0.010574118812003378,0.028867513459481322,0.0
smart_init_classifier_adapter_bert_ms,0.7111111084620158,0.6466848850250244,0.8249644637107849,0.7420394023259481,0.863283614317576,0.05898137390613556,0.7111111283302307,0.7333333492279053,0.8626619577407837,0.6044350862503052,0.05623625343044599,0.7366255323092142,0.863283614317576,0.0625196322798729,0.9161290526390076,0.6199474632740021,0.7773381074269613,0.7258711258570353,0.6888888875643412,0.8177379568417867,0.8061465819676717,0.8249644637107849,0.830079178015391,0.830079178015391,0.7900596261024475,0.7900596261024475,0.7714847326278687,0.04021363208691279,0.8765432238578796,0.8057911992073059,0.6456012825171152,0.8559011220932007,0.03657029941678047,0.7845677932103475,0.8626619577407837,0.6429110964139303,0.7773381074269613,0.7725832462310791,62.0,0.7111111879348755,0.5850251416365305,0.8057911992073059,0.9594594836235046,0.8189300696055094,0.6055556138356527,0.7662551601727804,0.6090768873691559,0.8559011220932007,0.03424442311127981,0.6689563790957133,0.6331286728382111,0.8177379568417867,0.53,0.25,0.06309895555545132,0.13010196825623493,0.014638298457833158,0.08865130042442744,0.007011016344851993,0.0056665327270965194,0.0630989896667781,0.06666666269302368,0.002675576980005704,0.2044054083183487,0.009045664083235958,0.11848704212542381,0.007011016344851993,0.001784137818369733,0.0,0.18110746594305618,0.01476219017154914,0.13676254331841606,0.06938885774078345,0.008871336799074208,0.026850620278558866,0.014638298457833158,0.00474524934334183,0.00474524934334183,0.02279377322653166,0.02279377322653166,0.13997782017115645,0.0035682739967690066,0.0,0.008018608150149032,0.14695168534787995,0.0018206344374080041,0.0073573219253419714,0.08418580283676524,0.002675576980005704,0.14727027071145155,0.01476219017154914,0.07422454638311252,51.468436929831086,0.0630989896667781,0.24759229786694278,0.008018608150149032,0.0,0.0233700002545936,0.17918283435166654,0.04206597474354995,0.20514382231039108,0.0018206344374080041,0.010132862999725928,0.11297632401110556,0.17485564166767728,0.008871336799074208,0.18520259177452136,0.0
