
####### Data ontonotes_shimaoka ######

### FAMILY location/geography ###

# SUBSET 10 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_location_geography_subset10

# SUBSET 20 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_location_geography_subset20

# SUBSET 40 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_location_geography_subset40

### FAMILY location/structure ###

# SUBSET 10 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_location_structure_subset10

# SUBSET 20 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_location_structure_subset20

# SUBSET 40 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_location_structure_subset40

### FAMILY location/transit ###

# SUBSET 10 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_location_transit_subset10

# SUBSET 20 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_location_transit_subset20

# SUBSET 40 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_location_transit_subset40

### FAMILY organization/company ###

# SUBSET 10 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_organization_company_subset10

# SUBSET 20 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_organization_company_subset20

# SUBSET 40 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_organization_company_subset40

### FAMILY other/art ###

# SUBSET 10 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_other_art_subset10

# SUBSET 20 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_other_art_subset20

# SUBSET 40 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_other_art_subset40

### FAMILY other/health ###

# SUBSET 10 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_other_health_subset10

# SUBSET 20 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_other_health_subset20

# SUBSET 40 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_other_health_subset40

### FAMILY other/language ###

# SUBSET 10 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_other_language_subset10

# SUBSET 20 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_other_language_subset20

# SUBSET 40 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_other_language_subset40

### FAMILY other/living_thing ###

# SUBSET 10 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_other_living_thing_subset10

# SUBSET 20 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_other_living_thing_subset20

# SUBSET 40 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_other_living_thing_subset40

### FAMILY other/product ###

# SUBSET 10 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_other_product_subset10

# SUBSET 20 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_other_product_subset20

# SUBSET 40 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_other_product_subset40

### FAMILY person/artist ###

# SUBSET 10 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_person_artist_subset10

# SUBSET 20 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_person_artist_subset20

# SUBSET 40 #
Processing runs from insides-lab-unimib-wandb/ontonotes_shimaoka_specialization_person_artist_subset40
