metric,projector,instance,family,subset,precision,recall,f1,epoch
test_incremental_only/macro_example,no_init_box_kenn_bottom_up_adapter_bert_ms,2,location/geography,10,0.019240256398916245,0.019240256398916245,0.019240256398916245,56
test_incremental_only/micro,no_init_box_kenn_bottom_up_adapter_bert_ms,2,location/geography,10,1.0,0.4333333373069763,0.604651153087616,56
test_incremental_only/macro_example_exclusive,no_init_box_kenn_bottom_up_adapter_bert_ms,2,location/geography,10,0.4333333671092987,0.4333333671092987,0.4333333671092987,56
test/macro_types,no_init_box_kenn_bottom_up_adapter_bert_ms,2,location/geography,10,0.7656172513961792,0.6536989212036133,0.7052454948425293,56
test_incremental/micro,no_init_box_kenn_bottom_up_adapter_bert_ms,2,location/geography,10,1.0,0.43888887763023376,0.6100385785102844,56
test_incremental_location-geography-mountain/macro_types,no_init_box_kenn_bottom_up_adapter_bert_ms,2,location/geography,10,1.0,0.5333333611488342,0.6956522464752197,56
test/micro,no_init_box_kenn_bottom_up_adapter_bert_ms,2,location/geography,10,0.8494871258735657,0.7873496413230896,0.817238986492157,56
test_pretraining/micro,no_init_box_kenn_bottom_up_adapter_bert_ms,2,location/geography,10,0.8494871258735657,0.7873496413230896,0.817238986492157,56
test_incremental/macro_types,no_init_box_kenn_bottom_up_adapter_bert_ms,2,location/geography,10,1.0,0.43611112236976624,0.6073501110076904,56
test_incremental_location-geography-body_of_water/macro_types,no_init_box_kenn_bottom_up_adapter_bert_ms,2,location/geography,10,1.0,0.5,0.6666666865348816,56
test_incremental/macro_example,no_init_box_kenn_bottom_up_adapter_bert_ms,2,location/geography,10,0.025653675198554993,0.0194869264960289,0.02214907296001911,56
test/macro_example,no_init_box_kenn_hybrid_adapter_bert_ms,1,location/geography,10,0.8584983348846436,0.8005279898643494,0.8285002708435059,56
test_incremental/macro_example_exclusive,no_init_box_kenn_hybrid_adapter_bert_ms,1,location/geography,10,0.5444445013999939,0.41111114621162415,0.46847546100616455,56
test_pretraining/macro_example,no_init_box_kenn_hybrid_adapter_bert_ms,1,location/geography,10,0.8584983348846436,0.8005279898643494,0.8285002708435059,56
test_incremental_location-geography-island/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,1,location/geography,10,1.0,0.10000000149011612,0.1818181872367859,56
test_incremental_location-geography/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,1,location/geography,10,1.0,0.4444444477558136,0.6153846383094788,56
test_incremental_only/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,1,location/geography,10,1.0,0.3777778148651123,0.5483871102333069,56
test_pretraining/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,1,location/geography,10,0.7656172513961792,0.6503655910491943,0.7033010721206665,56
test_incremental_only/macro_example,no_init_box_kenn_hybrid_adapter_bert_ms,1,location/geography,10,0.016773557290434837,0.016773557290434837,0.016773557290434837,56
