name,instance,run_id,test_incremental/micro/f1,test_incremental/micro/recall,test_incremental_metropolitan_transit/macro_types/recall,epoch,test_pretraining/macro_example/recall,test_incremental_only/macro_example/f1,test/micro/precision,test_pretraining/macro_example/precision,test_incremental_metropolitan_transit-transit_line/macro_types/precision,test_incremental/macro_types/precision,test_incremental_metropolitan_transit/macro_types/f1,test/macro_example/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_example/recall,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_example/precision,test/macro_types/f1,test/macro_types/recall,test/macro_types/precision,test_incremental_only/micro/f1,test_incremental_only/macro_types/f1,test_incremental_metropolitan_transit/macro_types/precision,test/micro/recall,threshold_incremental,test_incremental/micro/precision,test_incremental/macro_example/f1,test_incremental_metropolitan_transit-transit_line/macro_types/f1,test/macro_example/f1,test_incremental_only/macro_types/recall,test_incremental_only/macro_types/precision,test_pretraining/macro_types/f1,test_pretraining/micro/precision,test_pretraining/macro_types/recall,test_incremental/macro_example/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental_metropolitan_transit-transit_line/macro_types/recall,threshold_pretraining,test/macro_example/precision,test_pretraining/micro/recall,test_pretraining/macro_example/f1,test_incremental_only/micro/recall,test_incremental/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test_pretraining/macro_types/precision,test/micro/f1,test_pretraining/micro/f1,test_incremental/macro_types/f1,test_incremental/macro_example_exclusive/precision,test_incremental_only/micro/precision,test_incremental/macro_example_exclusive/recall
no_init_box_kenn_horizontal_adapter_bert_ms,2,miv2nwzv,0.7680000066757202,0.800000011920929,0.800000011920929,98,0.9062166810035706,0.008350730873644352,0.9022032618522644,0.9230688810348512,0.6000000238418579,0.7799999713897705,0.8727272748947144,0.9062166810035706,0.8000000715255737,0.008350730873644352,0.008350730873644352,0.8163264989852905,0.008350730873644352,0.8487796783447266,0.8158940672874451,0.8844276070594788,0.6857142448425293,0.6857142448425293,0.959999978542328,0.8800438642501831,0.04,0.7384615540504456,0.008521153591573238,0.6857142448425293,0.914565086364746,0.800000011920929,0.6000000238418579,0.8487796783447266,0.9022032618522644,0.8158940672874451,0.008698677644133568,0.800000011920929,0.800000011920929,0.25,0.9230688810348512,0.8800438642501831,0.914565086364746,0.800000011920929,0.800000011920929,0.800000011920929,0.8844276070594788,0.8909858465194702,0.8909858465194702,0.789873480796814,0.8333333730697632,0.6000000238418579,0.800000011920929
no_init_box_kenn_horizontal_adapter_bert_ms,1,x4gtty2k,0.800000011920929,0.7333333492279053,0.800000011920929,41,0.9054628014564514,0.006958941929042339,0.9043537378311156,0.924170732498169,0.800000011920929,0.8799999952316284,0.8727272748947144,0.9054628014564514,0.6666667461395264,0.007654836401343346,0.006958941929042339,0.7801418900489807,0.006958941929042339,0.8491659164428711,0.8132274150848389,0.8884276151657104,0.7272727489471436,0.7272727489471436,0.959999978542328,0.8791666626930237,0.1,0.8799999952316284,0.008143442682921886,0.7272727489471436,0.9147211909294128,0.6666666865348816,0.800000011920929,0.8491659164428711,0.9043537378311156,0.8132274150848389,0.008698677644133568,0.6666667461395264,0.6666666865348816,0.25,0.924170732498169,0.8791666626930237,0.9147211909294128,0.6666666865348816,0.7333333492279053,0.6666667461395264,0.8884276151657104,0.8915823698043823,0.8915823698043823,0.800000011920929,0.8333333730697632,0.800000011920929,0.73333340883255
no_init_box_kenn_horizontal_adapter_bert_ms,0,mc0ppwbn,0.8644067645072937,0.8500000238418579,0.800000011920929,35,0.9066226482391356,0.009394572116434574,0.9043008089065552,0.924170732498169,0.8181818127632141,0.889090895652771,0.8727272748947144,0.9066226482391356,0.9000000953674316,0.008872651495039463,0.009394572116434574,0.8742857575416565,0.009394572116434574,0.851870059967041,0.8178940415382385,0.8887912034988403,0.8571428060531616,0.8571428060531616,0.959999978542328,0.8807017803192139,0.01,0.8793103694915771,0.009126156568527222,0.8571428060531616,0.9153125882148744,0.8999999761581421,0.8181818127632141,0.851870059967041,0.9043008089065552,0.8178940415382385,0.009394572116434574,0.9000000953674316,0.8999999761581421,0.25,0.924170732498169,0.8807017803192139,0.9153125882148744,0.8999999761581421,0.8500000238418579,0.9000000953674316,0.8887912034988403,0.8923453092575073,0.8923453092575073,0.869106113910675,0.9000000953674316,0.8181818127632141,0.8500000238418579
no_init_box_kenn_hybrid_adapter_bert_ms,2,wi2c37nl,0.7680000066757202,0.800000011920929,0.800000011920929,65,0.9062166810035706,0.008350730873644352,0.9022032618522644,0.9230688810348512,0.6000000238418579,0.7799999713897705,0.8727272748947144,0.9062166810035706,0.8000000715255737,0.008350730873644352,0.008350730873644352,0.8163264989852905,0.008350730873644352,0.8487796783447266,0.8158940672874451,0.8844276070594788,0.6857142448425293,0.6857142448425293,0.959999978542328,0.8800438642501831,0.060000000000000005,0.7384615540504456,0.008521153591573238,0.6857142448425293,0.914565086364746,0.800000011920929,0.6000000238418579,0.8487796783447266,0.9022032618522644,0.8158940672874451,0.008698677644133568,0.800000011920929,0.800000011920929,0.25,0.9230688810348512,0.8800438642501831,0.914565086364746,0.800000011920929,0.800000011920929,0.800000011920929,0.8844276070594788,0.8909858465194702,0.8909858465194702,0.789873480796814,0.8333333730697632,0.6000000238418579,0.800000011920929
no_init_box_kenn_top_down_adapter_bert_ms,2,1kt1d7eu,0.7580645680427551,0.7833333611488342,0.800000011920929,45,0.9060426950454712,0.008002784103155136,0.9021812677383424,0.9230688810348512,0.5897436141967773,0.774871826171875,0.8727272748947144,0.9060426950454712,0.7666667103767395,0.008176757954061031,0.008002784103155136,0.80756014585495,0.008002784103155136,0.8483244180679321,0.8152273893356323,0.8842225074768066,0.6666666865348816,0.6666666865348816,0.959999978542328,0.8798245787620544,0.18000000000000002,0.734375,0.00842964742332697,0.6666666865348816,0.9144765734672546,0.7666666507720947,0.5897436141967773,0.8483244180679321,0.9021812677383424,0.8152273893356323,0.008698677644133568,0.7666667103767395,0.7666666507720947,0.25,0.9230688810348512,0.8798245787620544,0.9144765734672546,0.7666666507720947,0.7833333015441895,0.7666667103767395,0.8842225074768066,0.8908627033233643,0.8908627033233643,0.7790795564651489,0.8333333730697632,0.5897436141967773,0.7833333611488342
no_init_box_kenn_bottom_up_adapter_bert_ms,2,mt5osurc,0.7559055089950562,0.800000011920929,0.800000011920929,76,0.9062166810035706,0.008350730873644352,0.9017977714538574,0.9228368997573853,0.5714285969734192,0.7657142877578735,0.8727272748947144,0.9062166810035706,0.8000000715255737,0.008350730873644352,0.008350730873644352,0.8163264989852905,0.008350730873644352,0.8485164642333984,0.8158940672874451,0.8838561773300171,0.6666666865348816,0.6666666865348816,0.959999978542328,0.8800438642501831,0.060000000000000005,0.7164179086685181,0.008521153591573238,0.6666666865348816,0.9144512414932252,0.800000011920929,0.5714285969734192,0.8485164642333984,0.9017977714538574,0.8158940672874451,0.008698677644133568,0.800000011920929,0.800000011920929,0.25,0.9228368997573853,0.8800438642501831,0.9144512414932252,0.800000011920929,0.800000011920929,0.800000011920929,0.8838561773300171,0.8907880187034607,0.8907880187034607,0.7824817299842834,0.8333333730697632,0.5714285969734192,0.800000011920929
no_init_box_kenn_hybrid_adapter_bert_ms,1,4460ea7r,0.8000000715255737,0.800000011920929,0.800000011920929,46,0.906158685684204,0.008350730873644352,0.9032185673713684,0.9232428669929504,0.6857143044471741,0.822857141494751,0.8727272748947144,0.906158685684204,0.8000000715255737,0.008350730873644352,0.008350730873644352,0.8163264989852905,0.008350730873644352,0.8495683073997498,0.8158940672874451,0.8861418962478638,0.7384615540504456,0.7384615540504456,0.959999978542328,0.8800438642501831,0.04,0.800000011920929,0.008521153591573238,0.7384615540504456,0.9146210551261902,0.800000011920929,0.6857143044471741,0.8495683073997498,0.9032185673713684,0.8158940672874451,0.008698677644133568,0.800000011920929,0.800000011920929,0.25,0.9232428669929504,0.8800438642501831,0.9146210551261902,0.800000011920929,0.800000011920929,0.800000011920929,0.8861418962478638,0.8914806246757507,0.8914806246757507,0.8112676739692688,0.8333333730697632,0.6857143044471741,0.800000011920929
no_init_box_kenn_top_down_adapter_bert_ms,1,86zls32n,0.8225806951522827,0.8500000238418579,0.800000011920929,37,0.906622588634491,0.009394572116434574,0.9030807018280028,0.9235908389091492,0.692307710647583,0.8261538743972778,0.8727272748947144,0.906622588634491,0.9000000357627869,0.008872651495039463,0.009394572116434574,0.8897196650505066,0.009394572116434574,0.8507120013237,0.8178940415382385,0.8862737417221069,0.782608687877655,0.782608687877655,0.959999978542328,0.8807017803192139,0.14,0.796875,0.00928726140409708,0.782608687877655,0.9150280952453612,0.8999999761581421,0.692307710647583,0.8507120013237,0.9030807018280028,0.8178940415382385,0.009742519818246365,0.9000000357627869,0.8999999761581421,0.25,0.9235908389091492,0.8807017803192139,0.9150280952453612,0.8999999761581421,0.8500000238418579,0.9000000357627869,0.8862737417221069,0.8917508721351624,0.8917508721351624,0.8379073143005371,0.9333333969116212,0.692307710647583,0.8500000238418579
no_init_box_kenn_bottom_up_adapter_bert_ms,1,cfyc3eti,0.7819549441337585,0.8666666746139526,0.800000011920929,30,0.9067965745925904,0.009742519818246365,0.9014811515808104,0.922315001487732,0.5833333134651184,0.7716666460037231,0.8727272748947144,0.9067965745925904,0.9333333969116212,0.009046625345945358,0.009742519818246365,0.898765504360199,0.009742519818246365,0.8500663042068481,0.8185607194900513,0.88409423828125,0.7179487347602844,0.7179487347602844,0.959999978542328,0.8809210658073425,0.01,0.7123287916183472,0.00938168540596962,0.7179487347602844,0.9144899845123292,0.9333333373069764,0.5833333134651184,0.8500663042068481,0.9014811515808104,0.8185607194900513,0.009742519818246365,0.9333333969116212,0.9333333373069764,0.25,0.922315001487732,0.8809210658073425,0.9144899845123292,0.9333333373069764,0.8666666746139526,0.9333333969116212,0.88409423828125,0.8910824656486511,0.8910824656486511,0.8164123296737671,0.9333333969116212,0.5833333134651184,0.8666667342185974
no_init_box_kenn_hybrid_adapter_bert_ms,0,4i5t54vs,0.8360655307769775,0.8500000238418579,0.800000011920929,52,0.9066226482391356,0.009394572116434574,0.9034870862960817,0.9237648248672484,0.7297297120094299,0.8448648452758789,0.8727272748947144,0.9066226482391356,0.9000000953674316,0.008872651495039463,0.009394572116434574,0.8742857575416565,0.009394572116434574,0.8510566353797913,0.8178940415382385,0.8870221972465515,0.8059700727462769,0.8059700727462769,0.959999978542328,0.8807017803192139,0.04,0.8225806355476379,0.009126156568527222,0.8059700727462769,0.9151134490966796,0.8999999761581421,0.7297297120094299,0.8510566353797913,0.9034870862960817,0.8178940415382385,0.009394572116434574,0.9000000953674316,0.8999999761581421,0.25,0.9237648248672484,0.8807017803192139,0.9151134490966796,0.8999999761581421,0.8500000238418579,0.9000000953674316,0.8870221972465515,0.891948938369751,0.891948938369751,0.8474246263504028,0.9000000953674316,0.7297297120094299,0.8500000238418579
no_init_box_kenn_top_down_adapter_bert_ms,0,0n76w7wj,0.6835442781448364,0.8999999761581421,0.800000011920929,79,0.907057523727417,0.010438413359224796,0.8968980312347412,0.9201693534851074,0.4109589159488678,0.685479462146759,0.8727272748947144,0.907057523727417,1.0,0.009394572116434574,0.010438413359224796,0.9473685026168824,0.010438413359224796,0.8491852283477783,0.8198940753936768,0.8806467652320862,0.582524299621582,0.582524299621582,0.959999978542328,0.8813596367835999,0.02,0.5510203838348389,0.009889023378491402,0.582524299621582,0.9135664105415344,1.0,0.4109589159488678,0.8491852283477783,0.8968980312347412,0.8198940753936768,0.010438413359224796,1.0,1.0,0.25,0.9201693534851074,0.8813596367835999,0.9135664105415344,1.0,0.8999999761581421,1.0,0.8806467652320862,0.8890609741210938,0.8890609741210938,0.7782270312309265,1.0,0.4109589159488678,0.9000000953674316
no_init_box_kenn_bottom_up_adapter_bert_ms,0,jvx1zcdt,0.8500000238418579,0.8500000238418579,0.800000011920929,71,0.9066226482391356,0.009394572116434574,0.903893768787384,0.9238808155059814,0.7714285850524902,0.8657143115997314,0.8727272748947144,0.9066226482391356,0.9000000953674316,0.008872651495039463,0.009394572116434574,0.8742857575416565,0.009394572116434574,0.8514403104782104,0.8178940415382385,0.8878561854362488,0.8307691812515259,0.8307691812515259,0.959999978542328,0.8807017803192139,0.06999999999999999,0.8500000238418579,0.009126156568527222,0.8307691812515259,0.9151703715324402,0.8999999761581421,0.7714285850524902,0.8514403104782104,0.903893768787384,0.8178940415382385,0.009394572116434574,0.9000000953674316,0.8999999761581421,0.25,0.9238808155059814,0.8807017803192139,0.9151703715324402,0.8999999761581421,0.8500000238418579,0.9000000953674316,0.8878561854362488,0.8921471238136292,0.8921471238136292,0.8577852249145508,0.9000000953674316,0.7714285850524902,0.8500000238418579
smart_init_box_adapter_bert_ms,2,bx1sca04,0.7826087474822998,0.75,0.800000011920929,20,0.9057527780532836,0.007306889165192843,0.9035601615905762,0.9237648248672484,0.699999988079071,0.8299999833106995,0.8727272748947144,0.9057527780532836,0.7000000476837158,0.007828810252249241,0.007306889165192843,0.7894736528396606,0.007306889165192843,0.8486137986183167,0.8138940334320068,0.886427640914917,0.699999988079071,0.699999988079071,0.959999978542328,0.8793859481811523,0.72,0.8181818127632141,0.008240852504968643,0.699999988079071,0.9146701693534852,0.699999988079071,0.699999988079071,0.8486137986183167,0.9035601615905762,0.8138940334320068,0.008698677644133568,0.7000000476837158,0.699999988079071,0.25,0.9237648248672484,0.8793859481811523,0.9146701693534852,0.699999988079071,0.75,0.7000000476837158,0.886427640914917,0.8913092017173767,0.8913092017173767,0.7879747152328491,0.8333333730697632,0.699999988079071,0.75
smart_init_box_adapter_bert_ms,1,vzww9iye,0.813559353351593,0.800000011920929,0.800000011920929,36,0.9062166810035706,0.008350730873644352,0.9036253094673156,0.9235908389091492,0.7272727489471436,0.8436363935470581,0.8727272748947144,0.9062166810035706,0.8000000715255737,0.008350730873644352,0.008350730873644352,0.8000000715255737,0.008350730873644352,0.8499501347541809,0.8158940672874451,0.8869730234146118,0.7619048357009888,0.7619048357009888,0.959999978542328,0.8800438642501831,0.66,0.8275862336158752,0.008350730873644352,0.7619048357009888,0.9148212671279908,0.800000011920929,0.7272727489471436,0.8499501347541809,0.9036253094673156,0.8158940672874451,0.008350730873644352,0.8000000715255737,0.800000011920929,0.25,0.9235908389091492,0.8800438642501831,0.9148212671279908,0.800000011920929,0.800000011920929,0.8000000715255737,0.8869730234146118,0.8916786909103394,0.8916786909103394,0.8212389349937439,0.8000000715255737,0.7272727489471436,0.8000000715255737
smart_init_box_adapter_bert_ms,0,vkr4iu4a,0.7412587404251099,0.8833333253860474,0.800000011920929,40,0.9069705605506896,0.01009046658873558,0.8996865153312683,0.9221700429916382,0.5,0.7300000190734863,0.8727272748947144,0.9069705605506896,0.9666666984558104,0.00922059826552868,0.01009046658873558,0.9231231808662416,0.01009046658873558,0.8496538996696472,0.819227397441864,0.8824275732040405,0.6590908765792847,0.6590908765792847,0.959999978542328,0.8811403512954712,0.21,0.6385542154312134,0.009635940194129944,0.6590908765792847,0.9145070910453796,0.9666666388511658,0.5,0.8496538996696472,0.8996865153312683,0.819227397441864,0.01009046658873558,0.9666666984558104,0.9666666388511658,0.25,0.9221700429916382,0.8811403512954712,0.9145070910453796,0.9666666388511658,0.8833333253860474,0.9666666984558104,0.8824275732040405,0.890316903591156,0.890316903591156,0.7993801236152649,0.9666666984558104,0.5,0.8833333849906921
no_init_kenn_horizontal_adapter_bert_ms,2,206g48zh,0.8000000715255737,0.8666666746139526,0.8666666746139526,23,0.9144166707992554,0.009046625345945358,0.9114768505096436,0.9270471334457396,0.6499999761581421,0.7583333253860474,0.8666666746139526,0.9144166707992554,0.8666666746139526,0.009046625345945358,0.009046625345945358,0.8830189108848572,0.009046625345945358,0.8800226449966431,0.8616428375244141,0.8992036581039429,0.7428571581840515,0.7428571581840515,0.8666666746139526,0.8986842036247253,0.96,0.7428571581840515,0.009217316284775734,0.7428571581840515,0.9206885695457458,0.8666666746139526,0.6499999761581421,0.8800226449966431,0.9114768505096436,0.8616428375244141,0.009394573047757149,0.8666666746139526,0.8666666746139526,0.375,0.9270471334457396,0.8986842036247253,0.9206885695457458,0.8666666746139526,0.8666666746139526,0.8666666746139526,0.8992036581039429,0.9050352573394777,0.9050352573394777,0.808888852596283,0.9000000953674316,0.6499999761581421,0.8666666746139526
no_init_kenn_horizontal_adapter_bert_ms,1,16kq93gr,0.7625898718833923,0.8833333253860474,0.8666666746139526,41,0.91459059715271,0.009394573047757149,0.9098778963088988,0.925713300704956,0.5510203838348389,0.7088435292243958,0.8666666746139526,0.91459059715271,0.9000000953674316,0.00922059826552868,0.009394573047757149,0.8915888071060181,0.009394573047757149,0.8794203400611877,0.8623095154762268,0.8972240686416626,0.6835442781448364,0.6835442781448364,0.8666666746139526,0.898903489112854,0.87,0.6708860993385315,0.009306772612035276,0.6835442781448364,0.9201183319091796,0.8999999761581421,0.5510203838348389,0.8794203400611877,0.9098778963088988,0.8623095154762268,0.009394573047757149,0.9000000953674316,0.8999999761581421,0.375,0.925713300704956,0.898903489112854,0.9201183319091796,0.8999999761581421,0.8833333253860474,0.9000000953674316,0.8972240686416626,0.9043574333190918,0.9043574333190918,0.7865270972251892,0.9000000953674316,0.5510203838348389,0.8833333849906921
no_init_kenn_horizontal_adapter_bert_ms,0,36hvote1,0.7941175699234009,0.8999999761581421,0.8666666746139526,45,0.9147065877914428,0.009742519818246365,0.910706341266632,0.9262351989746094,0.6086956262588501,0.7376811504364014,0.8666666746139526,0.9147065877914428,0.9333333969116212,0.009394572116434574,0.009742519818246365,0.9163637161254884,0.009742519818246365,0.8803211450576782,0.8629761934280396,0.898377537727356,0.736842155456543,0.736842155456543,0.8666666746139526,0.8991228342056274,0.89,0.7105262875556946,0.0095653822645545,0.736842155456543,0.9204347729682922,0.9333333373069764,0.6086956262588501,0.8803211450576782,0.910706341266632,0.8629761934280396,0.009742519818246365,0.9333333969116212,0.9333333373069764,0.375,0.9262351989746094,0.8991228342056274,0.9204347729682922,0.9333333373069764,0.8999999761581421,0.9333333969116212,0.898377537727356,0.9048774838447572,0.9048774838447572,0.8107964396476746,0.9333333969116212,0.6086956262588501,0.9000000953674316
