name,test_incremental/macro_example/f1/mean,test_incremental_only/micro/precision/mean,test_incremental_only/macro_types/precision/mean,test_incremental/micro/recall/mean,test_pretraining/macro_example/recall/mean,test_incremental/macro_example/precision/mean,test_incremental_metropolitan_transit-transit_line/macro_types/recall/mean,test_incremental/micro/precision/mean,test_pretraining/macro_example/f1/mean,test_incremental_metropolitan_transit/macro_types/recall/mean,threshold_incremental/mean,threshold_pretraining/mean,test_incremental_only/macro_example/precision/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental/macro_example_exclusive/precision/mean,test/macro_example/precision/mean,test_pretraining/macro_types/recall/mean,test_pretraining/macro_types/precision/mean,test_incremental_metropolitan_transit-transit_line/macro_types/f1/mean,test_pretraining/micro/precision/mean,test_incremental/macro_types/precision/mean,test_incremental/macro_types/recall/mean,test_pretraining/macro_example/precision/mean,test/macro_example/f1/mean,test/macro_example/recall/mean,test/micro/precision/mean,test/macro_types/recall/mean,test/micro/f1/mean,test/micro/recall/mean,test/macro_types/f1/mean,test_incremental/micro/f1/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/macro_types/precision/mean,test_pretraining/macro_types/f1/mean,test_incremental_only/macro_types/f1/mean,test_incremental_only/macro_types/recall/mean,epoch/mean,test_pretraining/micro/recall/mean,test_incremental/macro_example/recall/mean,test_incremental_metropolitan_transit-transit_line/macro_types/precision/mean,test_incremental_metropolitan_transit/macro_types/precision/mean,test_incremental_only/micro/recall/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental/macro_types/f1/mean,test_incremental_only/macro_example/recall/mean,test_incremental_only/micro/f1/mean,test_incremental_only/macro_example/f1/mean,test_incremental_metropolitan_transit/macro_types/f1/mean,test_pretraining/micro/f1/mean,test_incremental/macro_example/f1/std,test_incremental_only/micro/precision/std,test_incremental_only/macro_types/precision/std,test_incremental/micro/recall/std,test_pretraining/macro_example/recall/std,test_incremental/macro_example/precision/std,test_incremental_metropolitan_transit-transit_line/macro_types/recall/std,test_incremental/micro/precision/std,test_pretraining/macro_example/f1/std,test_incremental_metropolitan_transit/macro_types/recall/std,threshold_incremental/std,threshold_pretraining/std,test_incremental_only/macro_example/precision/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental/macro_example_exclusive/precision/std,test/macro_example/precision/std,test_pretraining/macro_types/recall/std,test_pretraining/macro_types/precision/std,test_incremental_metropolitan_transit-transit_line/macro_types/f1/std,test_pretraining/micro/precision/std,test_incremental/macro_types/precision/std,test_incremental/macro_types/recall/std,test_pretraining/macro_example/precision/std,test/macro_example/f1/std,test/macro_example/recall/std,test/micro/precision/std,test/macro_types/recall/std,test/micro/f1/std,test/micro/recall/std,test/macro_types/f1/std,test_incremental/micro/f1/std,test_incremental/macro_example_exclusive/f1/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_only/macro_example_exclusive/recall/std,test/macro_types/precision/std,test_pretraining/macro_types/f1/std,test_incremental_only/macro_types/f1/std,test_incremental_only/macro_types/recall/std,epoch/std,test_pretraining/micro/recall/std,test_incremental/macro_example/recall/std,test_incremental_metropolitan_transit-transit_line/macro_types/precision/std,test_incremental_metropolitan_transit/macro_types/precision/std,test_incremental_only/micro/recall/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental/macro_types/f1/std,test_incremental_only/macro_example/recall/std,test_incremental_only/micro/f1/std,test_incremental_only/macro_example/f1/std,test_incremental_metropolitan_transit/macro_types/f1/std,test_pretraining/micro/f1/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.008703849899272123,0.6977342764536539,0.6977342764536539,0.7944444616635641,0.9060813784599304,0.009162607292334238,0.7888888915379842,0.8071326414744059,0.9147237340609232,0.800000011920929,0.03333333333333333,0.25,0.008234748461594185,0.7888889710108439,0.8777778546015421,0.9235328237215678,0.8156718413035074,0.886382261912028,0.7370551029841105,0.9032798806826273,0.8288671175638834,0.7944444616635641,0.9235328237215678,0.9147237340609232,0.9060813784599304,0.9032798806826273,0.8156718413035074,0.8914726972579956,0.8799707690874735,0.849557121594747,0.799413800239563,0.833828846613566,0.7944444815317789,0.7888889710108439,0.886382261912028,0.849557121594747,0.7370551029841105,0.7888888915379842,50.333333333333336,0.8799707690874735,0.008292739590009054,0.6977342764536539,0.959999978542328,0.7888888915379842,0.7888889710108439,0.8105348547299703,0.008234748461594185,0.7370551029841105,0.008234748461594185,0.8727272748947144,0.8914726972579956,0.0005057029425180032,0.11661806907180176,0.11661806907180176,0.05853141332110522,0.0005511795297878919,0.0004017748609105587,0.11706279835509788,0.07630937854466759,0.0005185638499328941,0.0,0.0404145188432738,0.0,0.0012219500706958219,0.11706282664221049,0.03849005006454892,0.000740408994165814,0.00234123661872208,0.002332358299592137,0.10400338554582036,0.0011717787376938952,0.05830903556822928,0.05853141332110522,0.000740408994165814,0.0005185638499328941,0.0005511795297878919,0.0011717787376938952,0.00234123661872208,0.0007703476959673537,0.0007701647282683231,0.0020178941220196332,0.056508309416292105,0.04844628496879229,0.058531416149823684,0.11706282664221049,0.002332358299592137,0.0020178941220196332,0.10400338554582036,0.11706279835509788,20.55075018906447,0.0007701647282683231,0.0006109751568941022,0.11661806907180176,0.0,0.11706279835509788,0.11706282664221049,0.050956017144331026,0.0012219500706958219,0.10400338554582036,0.0012219500706958219,0.0,0.0007703476959673537
no_init_box_kenn_horizontal_adapter_bert_ms,0.007864084715644518,0.8409722248713175,0.8409722248713175,0.7055555582046509,0.9052501320838928,0.00846671313047409,0.6111111044883728,0.8975781997044882,0.9146218498547872,0.800000011920929,0.060000000000000005,0.25,0.006379030489673217,0.6111111640930176,0.8111111720403036,0.924190104007721,0.812116265296936,0.8892470399538676,0.6929088234901428,0.9044550458590189,0.9004861116409302,0.7055555582046509,0.924190104007721,0.9146218498547872,0.9052501320838928,0.9044550458590189,0.812116265296936,0.8914430141448975,0.878801167011261,0.8489286104838053,0.7860957582791647,0.7533792853355408,0.7055555979410807,0.6111111640930176,0.8892470399538676,0.8489286104838053,0.6929088234901428,0.6111111044883728,57.0,0.878801167011261,0.007364880759268999,0.8409722248713175,0.959999978542328,0.6111111044883728,0.6111111640930176,0.7879758675893148,0.006379030489673217,0.6929088234901428,0.006379030489673217,0.8727272748947144,0.8914430141448975,0.0005205952211714529,0.17330946075065437,0.17330946075065437,0.07698003130358241,0.0007700542791876304,0.00020088716160560972,0.15396006260716483,0.09733506563216257,0.0004155326229139042,0.0,0.07810249675906655,0.0,0.0016070987715180775,0.15396006260716483,0.019244990619516757,0.0005388014705268505,0.0030791847340195973,0.0034661832587086602,0.12360582983337116,0.0011642083099998467,0.08665472595691236,0.07698003130358241,0.0005388014705268505,0.0004155326229139042,0.0007700542791876304,0.0011642083099998467,0.0030791847340195973,0.0006586119920818998,0.0010128706975613985,0.0021579640386740063,0.056450454962164255,0.049872966409975426,0.07698001409720934,0.15396006260716483,0.0034661832587086602,0.0021579640386740063,0.12360582983337116,0.15396006260716483,23.430749027719962,0.0010128706975613985,0.0008035494529714475,0.17330946075065437,0.0,0.15396006260716483,0.15396006260716483,0.05739320001998014,0.0016070987715180775,0.12360582983337116,0.0016070987715180775,0.0,0.0006586119920818998
no_init_box_kenn_hybrid_adapter_bert_ms,0.008651138128091892,0.699277659257253,0.699277659257253,0.7944444417953491,0.9061006903648376,0.0090466250355045,0.7888888915379842,0.8045088450113932,0.9146954417228699,0.800000011920929,0.06999999999999999,0.25,0.008234748616814613,0.7888889312744141,0.8666667540868124,0.9234554966290792,0.8156718214352926,0.8864131569862366,0.7253550092379252,0.9031456112861633,0.8296388188997904,0.7944444815317789,0.9234554966290792,0.9146954417228699,0.9061006903648376,0.9031456112861633,0.8156718214352926,0.8914066354433695,0.8799707690874735,0.8495667179425558,0.7940989335378011,0.8287790417671204,0.7944444815317789,0.7888889312744141,0.8864131569862366,0.8495667179425558,0.7253550092379252,0.7888888915379842,57.333333333333336,0.8799707690874735,0.008292739590009054,0.699277659257253,0.959999978542328,0.7888888915379842,0.7888889312744141,0.807917594909668,0.008234748616814613,0.7253550092379252,0.008234748616814613,0.8727272748947144,0.8914066354433695,0.0007437422746438956,0.1088158479979558,0.1088158479979558,0.08221472457546868,0.000758339349930735,0.0006026620225161684,0.1644294088738462,0.08101450184599096,0.00026522618291715394,0.0,0.10392304845413265,0.0,0.0017163822659347066,0.16442944915093735,0.057735040684065646,0.000699130353727214,0.003288575772141691,0.0021762854585343047,0.04113748058328835,0.0012567033056533514,0.0544079239989779,0.08221470443692311,0.000699130353727214,0.00026522618291715394,0.000758339349930735,0.0012567033056533514,0.003288575772141691,0.0002606166000506142,0.0010817640006867376,0.0009743855906743714,0.01906168488116422,0.07125053285807147,0.08221470443692311,0.16442944915093735,0.0021762854585343047,0.0009743855906743714,0.04113748058328835,0.1644294088738462,12.858201014657274,0.0010817640006867376,0.0008581910228347067,0.1088158479979558,0.0,0.1644294088738462,0.16442944915093735,0.02508096197426569,0.0017163822659347066,0.04113748058328835,0.0017163822659347066,0.0,0.0002606166000506142
no_init_box_kenn_top_down_adapter_bert_ms,0.008736041684945425,0.6853408018747965,0.6853408018747965,0.800000011920929,0.9061393737792969,0.009162607292334238,0.799999992052714,0.7985833485921224,0.9147343635559082,0.800000011920929,0.18333333333333332,0.25,0.008350730718423923,0.8000000913937887,0.8777778546015421,0.9234941800435384,0.8158940672874451,0.886134405930837,0.7349537014961243,0.9031515320142111,0.8226703802744547,0.800000011920929,0.9234941800435384,0.9147343635559082,0.9061393737792969,0.9031515320142111,0.8158940672874451,0.8914476831754049,0.8800438642501831,0.849563737710317,0.7980046470959982,0.8369128108024597,0.8000000317891439,0.8000000715255737,0.886134405930837,0.849563737710317,0.7349537014961243,0.799999992052714,59.333333333333336,0.8800438642501831,0.008350730873644352,0.6853408018747965,0.959999978542328,0.799999992052714,0.8000000715255737,0.8104154864947001,0.008350730718423923,0.7349537014961243,0.008350730718423923,0.8727272748947144,0.8914476831754049,0.0005217101771158297,0.10074626440779967,0.10074626440779967,0.06009252180878,0.0005632488309268505,0.0004017748609105587,0.12018501882052557,0.06654305852027403,0.0005012129486884808,0.0,0.19731531449264988,0.0,0.0012545410844918103,0.1201850518832337,0.03849005006454892,0.0007297347496279532,0.0024036836797855276,0.0020149310470992804,0.09523852433127798,0.0010494673850512445,0.05037314553079754,0.06009252180878,0.0007297347496279532,0.0005012129486884808,0.0005632488309268505,0.0010494673850512445,0.0024036836797855276,0.0006925955191705266,0.0007907029312819175,0.0018952842886567512,0.051316201608361776,0.04997977584497254,0.060092530074458354,0.12018504361756,0.0020149310470992804,0.0018952842886567512,0.09523852433127798,0.12018501882052557,26.501572280401277,0.0007907029312819175,0.0006272707359727463,0.10074626440779967,0.0,0.12018501882052557,0.12018504361756,0.04754214224908365,0.0012545410844918103,0.09523852433127798,0.0012545410844918103,0.0,0.0006925955191705266
no_init_kenn_bottom_up_adapter_bert_ms,0.009418502139548462,0.6731481552124023,0.6731481552124023,0.8833333452542623,0.9145422577857971,0.009626537561416626,0.8999999761581421,0.754978358745575,0.920752207438151,0.8666666746139526,0.8766666666666666,0.375,0.009394572426875433,0.9000000754992167,0.9222222963968912,0.9270471135775248,0.8623095353444418,0.8996666073799133,0.7686002651850382,0.9116321404774984,0.7699074149131775,0.8833333253860474,0.9270471135775248,0.920752207438151,0.9145422577857971,0.9116321404774984,0.8623095353444418,0.9052229523658752,0.898903508981069,0.8805914918581644,0.8135666449864706,0.9022925098737081,0.8833333849906921,0.9000000556310018,0.8996666073799133,0.8805914918581644,0.7686002651850382,0.8999999761581421,77.33333333333333,0.898903508981069,0.009220598575969538,0.6731481552124023,0.8666666746139526,0.8999999761581421,0.9000000556310018,0.8223459124565125,0.009394572426875433,0.7686002651850382,0.009394572426875433,0.8666666746139526,0.9052229523658752,0.00036140517612229543,0.06726199778791797,0.06726199778791797,0.03333333134651627,0.00027862575481483066,0.00040177432321121943,0.06666666269302368,0.041682270422997277,0.00023436305551182159,0.0,0.020816659994661358,0.0,0.0006958944723012138,0.06666663289070346,0.03848998123903344,0.00041817713282608205,0.0013333261014141097,0.0013452319804600778,0.05210947256773482,0.0007637155540096052,0.033630998893958985,0.03333330154418945,0.00041817713282608205,0.00023436305551182159,0.00027862575481483066,0.0007637155540096052,0.0013333261014141097,0.0004213563258506819,0.00043860077891720253,0.001013510516884045,0.02834784292416873,0.03462258484831135,0.03333336114883423,0.06666666269303252,0.0013452319804600778,0.001013510516884045,0.05210947256773482,0.06666666269302368,15.885003409925138,0.00043860077891720253,0.000347947236150607,0.06726199778791797,0.0,0.06666666269302368,0.06666666269303252,0.02536556709024866,0.0006958944723012138,0.05210947256773482,0.0006958944723012138,0.0,0.0004213563258506819
no_init_kenn_horizontal_adapter_bert_ms,0.009323767075935999,0.5196248292922974,0.5196248292922974,0.8666666746139526,0.9143682916959127,0.009626537561416626,0.8666666547457377,0.6449692249298096,0.9196418722470602,0.8666666746139526,0.88,0.375,0.009046625345945358,0.8666667342185974,0.9222222963968912,0.924978772799174,0.861642857392629,0.8965961337089539,0.6387946208318075,0.9090561072031657,0.69314573208491,0.8666666547457377,0.924978772799174,0.9196418722470602,0.9143682916959127,0.9090561072031657,0.861642857392629,0.903838574886322,0.8986842036247253,0.8787684639294943,0.7347209254900614,0.8932168881098429,0.8666667342185974,0.8666667342185974,0.8965961337089539,0.8787684639294943,0.6387946208318075,0.8666666547457377,75.33333333333333,0.8986842036247253,0.0090466250355045,0.5196248292922974,0.8666666746139526,0.8666666547457377,0.8666667342185974,0.7677670319875082,0.009046625345945358,0.6387946208318075,0.009046625345945358,0.8666666746139526,0.903838574886322,0.0004905346997412361,0.097803260260282,0.097803260260282,0.06009252180878,0.0005699145738961338,0.00040177432321121943,0.12018501882052557,0.08482938323457281,0.0006228680939574271,0.0,0.036055512754639925,0.0,0.0012545414719454925,0.12018502708620586,0.03848998123903344,0.0018433001270152898,0.002403708476792944,0.0019560472731370193,0.03650426886776416,0.0023746344251694327,0.048901625755057396,0.060092497011747945,0.0018433001270152898,0.0006228680939574271,0.0005699145738961338,0.0023746344251694327,0.002403708476792944,0.0007762425548063479,0.0007907029312819175,0.00031301102876811883,0.03159757225103537,0.04699319297281885,0.06009252180878,0.12018502708620586,0.0019560472731370193,0.00031301102876811883,0.03650426886776416,0.12018501882052557,15.307950004273376,0.0007907029312819175,0.0006272706068215741,0.097803260260282,0.0,0.12018501882052557,0.12018502708620586,0.005107691731438425,0.0012545414719454925,0.03650426886776416,0.0012545414719454925,0.0,0.0007762425548063479
no_init_kenn_hybrid_adapter_bert_ms,0.009392975829541685,0.7395833333333334,0.7395833333333334,0.8888888756434122,0.9146292606989542,0.009510555304586887,0.9111110965410868,0.7944700519243876,0.9210250775019327,0.8666666746139526,0.94,0.375,0.009510555304586887,0.9111111958821615,0.9111111958821615,0.9275110562642416,0.8625317414601644,0.9009952743848165,0.8141320943832397,0.9123151302337646,0.803125003973643,0.8888888756434122,0.9275110562642416,0.9210250775019327,0.9146292606989542,0.9123151302337646,0.8625317414601644,0.9055965741475425,0.8989766041437784,0.8813433448473612,0.8383354147275289,0.8998471101125082,0.888888955116272,0.9111111958821615,0.9009952743848165,0.8813433448473612,0.8141320943832397,0.9111110965410868,74.33333333333333,0.8989766041437784,0.009278589549163978,0.7395833333333334,0.8666666746139526,0.9111110965410868,0.9111111958821615,0.8433082898457845,0.009510555304586887,0.8141320943832397,0.009510555304586887,0.8666666746139526,0.9055965741475425,0.00014930835249700951,0.09107288584046436,0.09107288584046436,0.00962249530975839,6.696722649585821e-05,0.00020088716160560972,0.0192450250322745,0.05276649964913588,0.00023773813253864096,0.0,0.036055512754639876,0.0,0.00020088716160560972,0.019244990619516813,0.019244990619516813,0.0005055231014784511,0.00038490669494186015,0.0018214620800531926,0.05125230930584241,0.0008811110054319587,0.04553643882979625,0.00962249530975839,0.0005055231014784511,0.00023773813253864096,6.696722649585821e-05,0.0008811110054319587,0.00038490669494186015,0.00041335645961551067,0.0001266389483581836,0.000816713501036795,0.027525217481884686,0.01430380039153968,0.009622529722516081,0.019244990619516813,0.0018214620800531926,0.000816713501036795,0.05125230930584241,0.0192450250322745,13.61371857110809,0.0001266389483581836,0.00010044384965247343,0.09107288584046436,0.0,0.0192450250322745,0.019244990619516813,0.023416182044954475,0.00020088716160560972,0.05125230930584241,0.00020088716160560972,0.0,0.00041335645961551067
no_init_kenn_top_down_adapter_bert_ms,0.009448889022072157,0.6986836989720663,0.6986836989720663,0.8888888955116272,0.9146002729733785,0.009626537561416626,0.9111110965410868,0.7705559531847636,0.9208960135777792,0.8666666746139526,0.9466666666666667,0.375,0.009510554994146029,0.9111111561457316,0.9222222963968912,0.9272790749867758,0.8625317414601644,0.9001772999763489,0.7895730137825012,0.911909023920695,0.7826751867930094,0.8888888756434122,0.9272790749867758,0.9208960135777792,0.9146002729733785,0.911909023920695,0.8625317414601644,0.9053965210914612,0.8989766041437784,0.8809520800908407,0.8250754872957865,0.9052035609881083,0.888888935248057,0.9111111561457316,0.9001772999763489,0.8809520800908407,0.7895730137825012,0.9111110965410868,75.33333333333333,0.8989766041437784,0.009278589859604836,0.6986836989720663,0.8666666746139526,0.9111110965410868,0.9111111561457316,0.8321094512939453,0.009510554994146029,0.7895730137825012,0.009510554994146029,0.8666666746139526,0.9053965210914612,0.0003267006163870988,0.06900816427423137,0.06900816427423137,0.025458762098508163,0.0001886263013461087,0.00040177432321121943,0.05091749168001303,0.04189491913787351,0.000237641680561778,0.0,0.015275252316519444,0.0,0.0005314978776566977,0.050917511190231385,0.03848998123903344,0.00038027347315282295,0.0010183673927799922,0.0013801550561095219,0.05109773517237237,0.0007350288345149146,0.03450408213711568,0.02545872958150611,0.00038027347315282295,0.000237641680561778,0.0001886263013461087,0.0007350288345149146,0.0010183673927799922,0.00041969526585588243,0.0003349966332406168,0.0009373363412499716,0.027982692416802527,0.03129790367723725,0.02545878811210784,0.050917511190231385,0.0013801550561095219,0.0009373363412499716,0.05109773517237237,0.05091749168001303,15.307950004273376,0.0003349966332406168,0.0002657490404441474,0.06900816427423137,0.0,0.05091749168001303,0.050917511190231385,0.024363218215907832,0.0005314978776566977,0.05109773517237237,0.0005314978776566977,0.0,0.00041969526585588243
smart_init_box_adapter_bert_ms,0.008916583843529224,0.6872387031714121,0.6872387031714121,0.8222222328186035,0.9063906272252401,0.009278589859604836,0.8444444338480631,0.7784393231074015,0.9146624207496643,0.800000011920929,0.39333333333333337,0.25,0.008814660366624594,0.8444445133209229,0.888888955116272,0.9230882326761881,0.8167829513549805,0.886172354221344,0.7251651287078857,0.9022424022356669,0.8236193458239237,0.8222222328186035,0.9230882326761881,0.9146624207496643,0.9063906272252401,0.9022424022356669,0.8167829513549805,0.8911515673001608,0.8803362647692362,0.8500529925028483,0.7870756189028422,0.854208787282308,0.8222222526868185,0.8444445133209229,0.886172354221344,0.8500529925028483,0.7251651287078857,0.8444444338480631,34.333333333333336,0.8803362647692362,0.00858269538730383,0.6872387031714121,0.959999978542328,0.8444444338480631,0.8444445133209229,0.8156818946202596,0.008814660366624594,0.7251651287078857,0.008814660366624594,0.8727272748947144,0.8911515673001608,0.0008438908441573939,0.22442967441312076,0.22442967441312076,0.07876358592306151,0.0007243279014310629,0.000875647761668747,0.15752716133565164,0.16771042303135322,0.0003946574407297568,0.0,0.27574142476844743,0.0,0.0016443339601880222,0.15752717184612297,0.08388703243849063,0.0014113932089942318,0.0031505298153886078,0.004488581992112484,0.08816366823064363,0.00322562408073074,0.11221484507641784,0.07876358592306151,0.0014113932089942318,0.0003946574407297568,0.0007243279014310629,0.00322562408073074,0.0031505298153886078,0.0011515376070046959,0.0010363700535110057,0.0007192403162318752,0.06136609747920238,0.08084473148116544,0.0787636090460921,0.15752717184612297,0.004488581992112484,0.0007192403162318752,0.08816366823064363,0.15752716133565164,14.433756729740644,0.0010363700535110057,0.0008221669308262057,0.22442967441312076,0.0,0.15752716133565164,0.15752717184612297,0.02583520551228033,0.0016443339601880222,0.08816366823064363,0.0016443339601880222,0.0,0.0011515376070046959
smart_init_classifier_adapter_bert_ms,0.008954199962317944,0.8896198670069376,0.8896198670069376,0.8388888835906982,0.9142040014266968,0.009162607913215956,0.8111110925674438,0.870449165503184,0.9210474093755087,0.8666666746139526,0.8733333333333334,0.375,0.008466713751355806,0.8111111720403036,0.8777778546015421,0.9279943108558655,0.860531747341156,0.9039960304896036,0.837964653968811,0.9134780367215475,0.87814329067866,0.8388888835906982,0.9279943108558655,0.9210474093755087,0.9142040014266968,0.9134780367215475,0.860531747341156,0.905834436416626,0.8983186880747477,0.8817245562871298,0.8516769210497538,0.8578123648961385,0.838888943195343,0.8111111720403036,0.9039960304896036,0.8817245562871298,0.837964653968811,0.8111110925674438,6.666666666666667,0.8983186880747477,0.008756669238209724,0.8896198670069376,0.8666666746139526,0.8111110925674438,0.8111111720403036,0.8554398814837137,0.008466713751355806,0.837964653968811,0.008466713751355806,0.8666666746139526,0.905834436416626,0.00030533687133480207,0.15649252647392803,0.15649252647392803,0.03849001565179121,0.0003348017197219055,0.00020088769930494898,0.07698003130358241,0.07930405861469879,8.699735042356139e-05,0.0,0.09291573243177567,0.0,0.0008035497218211171,0.07698006571634013,0.019245025032274446,0.0005197367431992888,0.0015395923670097986,0.0031298419235162855,0.038813753365699075,0.001193434556816305,0.0782462527266093,0.03849001565179121,0.0005197367431992888,8.699735042356139e-05,0.0003348017197219055,0.001193434556816305,0.0015395923670097986,0.00033143477203207084,0.0005064525551595442,0.0006992619806614455,0.02074816735490617,0.029251257003212707,0.03849001565179121,0.07698006571634013,0.0031298419235162855,0.0006992619806614455,0.038813753365699075,0.07698003130358241,1.1547005383792517,0.0005064525551595442,0.0004017743232112205,0.15649252647392803,0.0,0.07698003130358241,0.07698006571634013,0.019731963138371948,0.0008035497218211171,0.038813753365699075,0.0008035497218211171,0.0,0.00033143477203207084
