name,instance,run_id,test/micro/f1,test_incremental/macro_types/f1,test_incremental/macro_types/recall,test/macro_types/recall,test_incremental/macro_types/precision,test_pretraining/macro_example/precision,test_incremental_only/macro_example/recall,test_incremental/macro_example/f1,test_pretraining/macro_example/f1,test_incremental_only/macro_types/f1,test_pretraining/micro/recall,test_pretraining/micro/precision,test_incremental_only/micro/recall,test_incremental/macro_example_exclusive/f1,test_incremental_metropolitan_transit-transit_line/macro_types/recall,test/micro/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental_only/micro/f1,epoch,threshold_incremental,test_pretraining/micro/f1,test_incremental_metropolitan_transit/macro_types/precision,test/macro_types/f1,test_incremental_only/macro_types/recall,test_incremental/macro_example_exclusive/recall,test_incremental/macro_example_exclusive/precision,test_incremental_metropolitan_transit/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,threshold_pretraining,test_incremental/micro/f1,test_incremental_metropolitan_transit-transit_line/macro_types/precision,test/macro_example/f1,test/macro_example/recall,test_incremental_metropolitan_transit-transit_line/macro_types/f1,test_incremental/micro/precision,test_incremental_only/macro_example/f1,test_incremental_only/macro_types/precision,test/macro_types/precision,test_pretraining/macro_types/recall,test_pretraining/macro_example/recall,test_pretraining/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental_metropolitan_transit/macro_types/recall,test_incremental/micro/recall,test_incremental/macro_example/recall,test/macro_example/precision,test_incremental_only/micro/precision,test_incremental/macro_example/precision,test_incremental_only/macro_example/precision,test/micro/recall,test_pretraining/macro_types/f1
no_init_box_kenn_horizontal_adapter_bert_ms,2,2ixvpuxp,0.8918018341064453,0.8318685293197632,0.8166666626930237,0.8165607452392578,0.8476470708847046,0.9238227605819702,0.008698677644133568,0.00861081201583147,0.9149941205978394,0.78125,0.8802631497383118,0.903647005558014,0.8333333134651184,0.824915885925293,0.8333333134651184,0.903647005558014,0.833333432674408,0.78125,112,0.72,0.8918018341064453,0.959999978542328,0.8503854274749756,0.8333333134651184,0.8166667222976685,0.8333333730697632,0.8727272748947144,0.8333333730697632,0.25,0.8235294222831726,0.7352941036224365,0.9149941205978394,0.9063326120376588,0.78125,0.8305084705352783,0.008698677644133568,0.7352941036224365,0.8871334791183472,0.8165607452392578,0.9063326120376588,0.8871334791183472,0.8333333730697632,0.800000011920929,0.8166666626930237,0.008524704724550247,0.9238227605819702,0.7352941036224365,0.008698677644133568,0.008698677644133568,0.8802631497383118,0.8503854274749756
no_init_box_kenn_horizontal_adapter_bert_ms,1,5tjwcxpy,0.8912055492401123,0.8261489272117615,0.8833333253860474,0.819227397441864,0.7759183645248413,0.9225469827651978,0.01009046658873558,0.009635940194129944,0.9146776795387268,0.7341772317886353,0.8811403512954712,0.9015032649040222,0.9666666388511658,0.9231231808662416,0.9666666388511658,0.9015032649040222,0.9666666984558104,0.7341772317886353,41,0.05,0.8912055492401123,0.959999978542328,0.8505043983459473,0.9666666388511658,0.8833333849906921,0.9666666984558104,0.8727272748947144,0.9666666984558104,0.25,0.7910447716712952,0.5918367505073547,0.9146776795387268,0.906941533088684,0.7341772317886353,0.7162162065505981,0.01009046658873558,0.5918367505073547,0.884264349937439,0.819227397441864,0.906941533088684,0.884264349937439,0.9666666984558104,0.800000011920929,0.8833333253860474,0.00922059826552868,0.9225469827651978,0.5918367505073547,0.01009046658873558,0.01009046658873558,0.8811403512954712,0.8505043983459473
no_init_box_kenn_horizontal_adapter_bert_ms,0,wfx7nrkp,0.891849935054779,0.8425671458244324,0.8500000238418579,0.8178940415382385,0.8352631330490112,0.9234168529510498,0.009394572116434574,0.009126156568527222,0.9149426817893982,0.7941175699234009,0.8807017803192139,0.9032838344573976,0.8999999761581421,0.8742857575416565,0.8999999761581421,0.9032838344573976,0.9000000953674316,0.7941175699234009,29,0.03,0.891849935054779,0.959999978542328,0.8508799076080322,0.8999999761581421,0.8500000238418579,0.9000000953674316,0.8727272748947144,0.9000000953674316,0.25,0.8292683362960815,0.7105262875556946,0.9149426817893982,0.9066226482391356,0.7941175699234009,0.8095238208770752,0.009394572116434574,0.7105262875556946,0.8866381645202637,0.8178940415382385,0.9066226482391356,0.8866381645202637,0.9000000953674316,0.800000011920929,0.8500000238418579,0.008872651495039463,0.9234168529510498,0.7105262875556946,0.009394572116434574,0.009394572116434574,0.8807017803192139,0.8508799076080322
no_init_box_kenn_hybrid_adapter_bert_ms,2,918w2vl0,0.892571210861206,0.8808989524841309,0.800000011920929,0.8158940672874451,0.9800000190734864,0.9246926307678224,0.008350730873644352,0.008350730873644352,0.91536146402359,0.888888955116272,0.8800438642501831,0.9054602980613708,0.800000011920929,0.8000000715255737,0.800000011920929,0.9054602980613708,0.8000000715255737,0.888888955116272,34,0.5800000000000001,0.892571210861206,0.959999978542328,0.8524464964866638,0.800000011920929,0.8000000715255737,0.8000000715255737,0.8727272748947144,0.8000000715255737,0.25,0.8807339668273926,1.0,0.91536146402359,0.9062166810035706,0.888888955116272,0.9795918464660645,0.008350730873644352,1.0,0.8924275636672974,0.8158940672874451,0.9062166810035706,0.8924275636672974,0.8000000715255737,0.800000011920929,0.800000011920929,0.008350730873644352,0.9246926307678224,1.0,0.008350730873644352,0.008350730873644352,0.8800438642501831,0.8524464964866638
no_init_box_kenn_top_down_adapter_bert_ms,2,hpjucqw2,0.8924719095230103,0.8727272748947144,0.800000011920929,0.8158940672874451,0.959999978542328,0.9245187044143676,0.008350730873644352,0.008350730873644352,0.9152761697769164,0.8727272748947144,0.8800438642501831,0.9052560329437256,0.800000011920929,0.8000000715255737,0.800000011920929,0.9052560329437256,0.8000000715255737,0.8727272748947144,34,0.79,0.8924719095230103,0.959999978542328,0.8520813584327698,0.800000011920929,0.8000000715255737,0.8000000715255737,0.8727272748947144,0.8000000715255737,0.25,0.8727272748947144,0.959999978542328,0.9152761697769164,0.9062166810035706,0.8727272748947144,0.959999978542328,0.008350730873644352,0.959999978542328,0.8916276097297668,0.8158940672874451,0.9062166810035706,0.8916276097297668,0.8000000715255737,0.800000011920929,0.800000011920929,0.008350730873644352,0.9245187044143676,0.959999978542328,0.008350730873644352,0.008350730873644352,0.8800438642501831,0.8520813584327698
no_init_box_kenn_bottom_up_adapter_bert_ms,2,uzzxw4qe,0.891900897026062,0.8371977210044861,0.8166666626930237,0.8165607452392578,0.8587878942489624,0.9238808155059814,0.008698677644133568,0.00861081201583147,0.9150521159172058,0.7936508059501648,0.8802631497383118,0.9038504958152772,0.8333333134651184,0.824915885925293,0.8333333134651184,0.9038504958152772,0.833333432674408,0.7936508059501648,36,0.29000000000000004,0.891900897026062,0.959999978542328,0.8505901098251343,0.8333333134651184,0.8166667222976685,0.8333333730697632,0.8727272748947144,0.8333333730697632,0.25,0.8305084705352783,0.7575757503509521,0.9150521159172058,0.90639066696167,0.7936508059501648,0.8448275923728943,0.008698677644133568,0.7575757503509521,0.887579083442688,0.8165607452392578,0.90639066696167,0.887579083442688,0.8333333730697632,0.800000011920929,0.8166666626930237,0.008524704724550247,0.9238808155059814,0.7575757503509521,0.008698677644133568,0.008698677644133568,0.8802631497383118,0.8505901098251343
no_init_box_kenn_hybrid_adapter_bert_ms,1,fa558lr7,0.8898483514785767,0.794269323348999,0.8999999761581421,0.8198940753936768,0.7107692360877991,0.9211552143096924,0.010438413359224796,0.009889023378491402,0.9140520095825196,0.6315789818763733,0.8813596367835999,0.8985021114349365,1.0,0.9473685026168824,1.0,0.8985021114349365,1.0,0.6315789818763733,41,0.03,0.8898483514785767,0.959999978542328,0.849655270576477,1.0,0.9000000953674316,1.0,0.8727272748947144,1.0,0.25,0.7200000286102295,0.4615384638309479,0.9140520095825196,0.907057523727417,0.6315789818763733,0.6000000238418579,0.010438413359224796,0.4615384638309479,0.8816583752632141,0.8198940753936768,0.907057523727417,0.8816583752632141,1.0,0.800000011920929,0.8999999761581421,0.009394572116434574,0.9211552143096924,0.4615384638309479,0.010438413359224796,0.010438413359224796,0.8813596367835999,0.849655270576477
no_init_box_kenn_top_down_adapter_bert_ms,1,720g6jus,0.8900454044342041,0.7988228797912598,0.8999999761581421,0.8198940753936768,0.7180952429771423,0.9213871955871582,0.010438413359224796,0.009889023378491402,0.9141662120819092,0.6451613306999207,0.8813596367835999,0.898904025554657,1.0,0.9473685026168824,1.0,0.898904025554657,1.0,0.6451613306999207,36,0.14,0.8900454044342041,0.959999978542328,0.8497912883758545,1.0,0.9000000953674316,1.0,0.8727272748947144,1.0,0.25,0.7297297716140747,0.4761904776096344,0.9141662120819092,0.907057523727417,0.6451613306999207,0.6136363744735718,0.010438413359224796,0.4761904776096344,0.8819514513015747,0.8198940753936768,0.907057523727417,0.8819514513015747,1.0,0.800000011920929,0.8999999761581421,0.009394572116434574,0.9213871955871582,0.4761904776096344,0.010438413359224796,0.010438413359224796,0.8813596367835999,0.8497912883758545
no_init_box_kenn_bottom_up_adapter_bert_ms,1,mr2qv32l,0.8898483514785767,0.794269323348999,0.8999999761581421,0.8198940753936768,0.7107692360877991,0.9211552143096924,0.010438413359224796,0.009889023378491402,0.9140520095825196,0.6315789818763733,0.8813596367835999,0.8985021114349365,1.0,0.9473685026168824,1.0,0.8985021114349365,1.0,0.6315789818763733,39,0.02,0.8898483514785767,0.959999978542328,0.849655270576477,1.0,0.9000000953674316,1.0,0.8727272748947144,1.0,0.25,0.7200000286102295,0.4615384638309479,0.9140520095825196,0.907057523727417,0.6315789818763733,0.6000000238418579,0.010438413359224796,0.4615384638309479,0.8816583752632141,0.8198940753936768,0.907057523727417,0.8816583752632141,1.0,0.800000011920929,0.8999999761581421,0.009394572116434574,0.9211552143096924,0.4615384638309479,0.010438413359224796,0.010438413359224796,0.8813596367835999,0.849655270576477
no_init_box_kenn_hybrid_adapter_bert_ms,0,1obarvob,0.8886677622795105,0.7713013291358948,0.8999999761581421,0.8198940753936768,0.6748051643371582,0.9195024371147156,0.010438413359224796,0.009889023378491402,0.9132375717163086,0.5607476234436035,0.8813596367835999,0.8960980772972107,1.0,0.9473685026168824,1.0,0.8960980772972107,1.0,0.5607476234436035,82,0.01,0.8886677622795105,0.959999978542328,0.8489866852760315,1.0,0.9000000953674316,1.0,0.8727272748947144,1.0,0.25,0.6666666865348816,0.3896103799343109,0.9132375717163086,0.907057523727417,0.5607476234436035,0.529411792755127,0.010438413359224796,0.3896103799343109,0.8802198171615601,0.8198940753936768,0.907057523727417,0.8802198171615601,1.0,0.800000011920929,0.8999999761581421,0.009394572116434574,0.9195024371147156,0.3896103799343109,0.010438413359224796,0.010438413359224796,0.8813596367835999,0.8489866852760315
