name,test_incremental/micro/f1/mean,test_incremental/micro/recall/mean,test_incremental_metropolitan_transit/macro_types/recall/mean,epoch/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_example/f1/mean,test/micro/precision/mean,test_pretraining/macro_example/precision/mean,test_incremental_metropolitan_transit-transit_line/macro_types/precision/mean,test_incremental/macro_types/precision/mean,test_incremental_metropolitan_transit/macro_types/f1/mean,test/macro_example/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental/macro_example/recall/mean,test_incremental_only/macro_example/recall/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_only/macro_example/precision/mean,test/macro_types/f1/mean,test/macro_types/recall/mean,test/macro_types/precision/mean,test_incremental_only/micro/f1/mean,test_incremental_only/macro_types/f1/mean,test_incremental_metropolitan_transit/macro_types/precision/mean,test/micro/recall/mean,threshold_incremental/mean,test_incremental/micro/precision/mean,test_incremental/macro_example/f1/mean,test_incremental_metropolitan_transit-transit_line/macro_types/f1/mean,test/macro_example/f1/mean,test_incremental_only/macro_types/recall/mean,test_incremental_only/macro_types/precision/mean,test_pretraining/macro_types/f1/mean,test_pretraining/micro/precision/mean,test_pretraining/macro_types/recall/mean,test_incremental/macro_example/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental_metropolitan_transit-transit_line/macro_types/recall/mean,threshold_pretraining/mean,test/macro_example/precision/mean,test_pretraining/micro/recall/mean,test_pretraining/macro_example/f1/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_pretraining/macro_types/precision/mean,test/micro/f1/mean,test_pretraining/micro/f1/mean,test_incremental/macro_types/f1/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_only/micro/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental/micro/f1/std,test_incremental/micro/recall/std,test_incremental_metropolitan_transit/macro_types/recall/std,epoch/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_example/f1/std,test/micro/precision/std,test_pretraining/macro_example/precision/std,test_incremental_metropolitan_transit-transit_line/macro_types/precision/std,test_incremental/macro_types/precision/std,test_incremental_metropolitan_transit/macro_types/f1/std,test/macro_example/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental/macro_example/recall/std,test_incremental_only/macro_example/recall/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_only/macro_example/precision/std,test/macro_types/f1/std,test/macro_types/recall/std,test/macro_types/precision/std,test_incremental_only/micro/f1/std,test_incremental_only/macro_types/f1/std,test_incremental_metropolitan_transit/macro_types/precision/std,test/micro/recall/std,threshold_incremental/std,test_incremental/micro/precision/std,test_incremental/macro_example/f1/std,test_incremental_metropolitan_transit-transit_line/macro_types/f1/std,test/macro_example/f1/std,test_incremental_only/macro_types/recall/std,test_incremental_only/macro_types/precision/std,test_pretraining/macro_types/f1/std,test_pretraining/micro/precision/std,test_pretraining/macro_types/recall/std,test_incremental/macro_example/precision/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental_metropolitan_transit-transit_line/macro_types/recall/std,threshold_pretraining/std,test/macro_example/precision/std,test_pretraining/micro/recall/std,test_pretraining/macro_example/f1/std,test_incremental_only/micro/recall/std,test_incremental/macro_types/recall/std,test_incremental_only/macro_example_exclusive/precision/std,test_pretraining/macro_types/precision/std,test/micro/f1/std,test_pretraining/micro/f1/std,test_incremental/macro_types/f1/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_only/micro/precision/std,test_incremental/macro_example_exclusive/recall/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.7959534923235575,0.8388889034589132,0.800000011920929,59.0,0.9065453012784322,0.009162607602775097,0.9023908972740173,0.9230109055836996,0.6420634984970093,0.801031748453776,0.8727272748947144,0.9065453012784322,0.8777778546015421,0.008756669238209724,0.009162607602775097,0.8631259202957153,0.009162607602775097,0.850007692972819,0.8174496094385783,0.8852688670158386,0.7384615341822306,0.7384615341822306,0.959999978542328,0.8805555701255798,0.04666666666666667,0.7595822413762411,0.009009665188690027,0.7384615341822306,0.9147038658459982,0.8777777751286825,0.6420634984970093,0.850007692972819,0.9023908972740173,0.8174496094385783,0.009278589859604836,0.8777778347333273,0.8777777751286825,0.25,0.9230109055836996,0.8805555701255798,0.9147038658459982,0.8777777751286825,0.8388889034589132,0.8777778347333273,0.8852688670158386,0.8913392027219137,0.8913392027219137,0.8188930948575338,0.888888955116272,0.6420634984970093,0.838888923327128,0.048584091476843984,0.03469443364258258,0.0,25.238858928247925,0.0002975836989725011,0.0007243098565372795,0.0013111175100916452,0.0007972778095683413,0.11219146484165916,0.056095749602974525,0.0,0.0002975836989725011,0.06938886728516526,0.00036215492826863975,0.0007243098565372795,0.0423373815595387,0.0007243098565372795,0.0014628040447685325,0.0013877674195708891,0.002243842844445831,0.08395229834942172,0.08395229834942172,0.0,0.00045651255022464125,0.03214550253664318,0.0783307842362261,0.00044193487311974176,0.08395229834942172,0.00040446992718169516,0.06938885774078353,0.11219146484165916,0.0014628040447685325,0.0013111175100916452,0.0013877674195708891,0.0005314983857347285,0.06938890069050375,0.06938885774078353,0.0,0.0007972778095683413,0.00045651255022464125,0.00040446992718169516,0.06938885774078353,0.03469443364258258,0.06938890069050375,0.002243842844445831,0.0007150014816152756,0.0007150014816152756,0.03771299158248972,0.05091752419701641,0.11219146484165916,0.03469445750353986
no_init_box_kenn_horizontal_adapter_bert_ms,0.8108022610346476,0.7944444616635641,0.800000011920929,58.0,0.9061007102330526,0.008234748306373755,0.9036192695299784,0.923803448677063,0.739393949508667,0.84969695409139,0.8727272748947144,0.9061007102330526,0.7888889710108439,0.008292739590009054,0.008234748306373755,0.8235847155253092,0.008234748306373755,0.8499385515848795,0.8156718413035074,0.8872154752413431,0.7567099332809448,0.7567099332809448,0.959999978542328,0.8799707690874735,0.05000000000000001,0.832590639591217,0.008596917614340782,0.7567099332809448,0.9148662885030111,0.7888888915379842,0.739393949508667,0.8499385515848795,0.9036192695299784,0.8156718413035074,0.008930642468233904,0.788888951142629,0.7888888915379842,0.25,0.923803448677063,0.8799707690874735,0.9148662885030111,0.7888888915379842,0.7944444616635641,0.788888951142629,0.8872154752413431,0.8916378418604533,0.8916378418604533,0.8196598688761393,0.8555556138356527,0.739393949508667,0.7944444815317789,0.04910277159524747,0.05853141332110522,0.0,34.77067730142742,0.000588555906041774,0.001221950313788205,0.0012265841492830542,0.0006361542389535319,0.12106049873955604,0.06053026652757415,0.0,0.000588555906041774,0.11706282664221049,0.0006109751568941022,0.001221950313788205,0.04748976971018049,0.001221950313788205,0.0016838463231199604,0.00234123661872208,0.0024211992624701725,0.08942510143026691,0.08942510143026691,0.0,0.0007701647282683231,0.045825756949558406,0.08151890857017004,0.0004957184539633607,0.08942510143026691,0.0003943091850114375,0.11706279835509788,0.12106049873955604,0.0016838463231199604,0.0012265841492830542,0.00234123661872208,0.0004017748609105583,0.1170628238135071,0.11706279835509788,0.0,0.0006361542389535319,0.0007701647282683231,0.0003943091850114375,0.11706279835509788,0.05853141332110522,0.1170628238135071,0.0024211992624701725,0.0006814268821975056,0.0006814268821975056,0.043120007179538254,0.03849005006454889,0.12106049873955604,0.058531382205284484
no_init_box_kenn_hybrid_adapter_bert_ms,0.8013552029927572,0.8166666825612386,0.800000011920929,54.333333333333336,0.9063326716423035,0.008698677954574427,0.9029696385065714,0.9233588576316833,0.6718146800994873,0.8159073193868002,0.8727272748947144,0.9063326716423035,0.833333412806193,0.008524704414109388,0.008698677954574427,0.8356462518374125,0.008698677954574427,0.8498015403747559,0.8165607253710429,0.8858639001846313,0.7433819572130839,0.7433819572130839,0.959999978542328,0.8802631696065267,0.04666666666666667,0.7870140671730042,0.0087228212505579,0.7433819572130839,0.914766530195872,0.8333333333333334,0.6718146800994873,0.8498015403747559,0.9029696385065714,0.8165607253710429,0.008930642468233904,0.8333333730697632,0.8333333333333334,0.25,0.9233588576316833,0.8802631696065267,0.914766530195872,0.8333333333333334,0.8166666825612386,0.8333333730697632,0.8858639001846313,0.891471803188324,0.891471803188324,0.8161885937054952,0.8555556138356527,0.6718146800994873,0.8166666825612386,0.034052990746257845,0.028867520342032812,0.0,9.71253485622231,0.00025279573631667494,0.0006026620225161681,0.0006771450992456975,0.00036218065335990343,0.06597232499896433,0.03298617872025052,0.0,0.00025279573631667494,0.057735040684065674,0.00030133101125808437,0.0006026620225161681,0.03346279352954903,0.0006026620225161681,0.0011562575622910765,0.0011546856720679385,0.00131944530697301,0.06027871773409016,0.06027871773409016,0.0,0.0003798480195590747,0.011547005383792518,0.04353712253617527,0.0003492986316049072,0.06027871773409016,0.00030174106178572347,0.05773500627130793,0.06597232499896433,0.0011562575622910765,0.0006771450992456975,0.0011546856720679385,0.0004017748609105583,0.057735075096823366,0.05773500627130793,0.0,0.00036218065335990343,0.0003798480195590747,0.00030174106178572347,0.05773500627130793,0.028867520342032812,0.057735075096823366,0.00131944530697301,0.00048160652196541174,0.00048160652196541174,0.02908943411138104,0.03849005006454889,0.06597232499896433,0.028867520342032812
no_init_box_kenn_top_down_adapter_bert_ms,0.7547298471132914,0.8444444537162781,0.800000011920929,53.666666666666664,0.9065742691357931,0.009278589859604836,0.9007200002670288,0.9222763578097025,0.564336746931076,0.7621683875719706,0.8727272748947144,0.9065742691357931,0.8888889153798422,0.008814660521845022,0.009278589859604836,0.8815494378407797,0.009278589859604836,0.8494072159131368,0.8176718354225159,0.8837143381436666,0.6772665580113729,0.6772665580113729,0.959999978542328,0.8806286652882894,0.11333333333333334,0.6940901279449463,0.009201977401971817,0.6772665580113729,0.9143570264180502,0.8888888756434122,0.564336746931076,0.8494072159131368,0.9007200002670288,0.8176718354225159,0.00962653694053491,0.8888889153798422,0.8888888756434122,0.25,0.9222763578097025,0.8806286652882894,0.9143570264180502,0.8888888756434122,0.8444444338480631,0.8888889153798422,0.8837143381436666,0.8905581831932068,0.8905581831932068,0.7984046339988708,0.9222222566604614,0.564336746931076,0.8444444934527079,0.06957816889172333,0.05853138503399429,0.0,22.300971578236975,0.0005091369107526608,0.00122194982760345,0.003340333947861331,0.0018432879383135778,0.1423847525116284,0.07119238428163073,0.0,0.0005091369107526608,0.11706279835509788,0.0006109746707093694,0.00122194982760345,0.070261359327954,0.00122194982760345,0.0012091721590352896,0.002341264905875665,0.0028476996256925793,0.1004624734039549,0.1004624734039549,0.0,0.0007701364412803893,0.08326663997864532,0.12778214374394692,0.0007334163656422601,0.1004624734039549,0.0007381389883216379,0.11706282664221049,0.1423847525116284,0.0012091721590352896,0.003340333947861331,0.002341264905875665,0.0008756478233471887,0.11706279835509788,0.11706282664221049,0.0,0.0018432879383135778,0.0007701364412803893,0.0007381389883216379,0.11706282664221049,0.058531416149823684,0.11706279835509788,0.0028476996256925793,0.0013705609120998222,0.0013705609120998222,0.034212980184141886,0.08388703243849074,0.1423847525116284,0.05853144160822276
no_init_kenn_bottom_up_adapter_bert_ms,0.8074901898701986,0.8833333253860474,0.8666666746139526,37.333333333333336,0.91459059715271,0.009394573047757149,0.9114293654759725,0.9269311428070068,0.6563543081283569,0.7615104913711548,0.8666666746139526,0.91459059715271,0.9000000953674316,0.00922059826552868,0.009394573047757149,0.8915888071060181,0.009394573047757149,0.8804309169451395,0.8623095154762268,0.899330715338389,0.758227010567983,0.758227010567983,0.8666666746139526,0.898903489112854,0.89,0.7441857655843099,0.009306772612035276,0.758227010567983,0.9207195043563843,0.8999999761581421,0.6563543081283569,0.8804309169451395,0.9114293654759725,0.8623095154762268,0.009394573047757149,0.9000000953674316,0.8999999761581421,0.375,0.9269311428070068,0.898903489112854,0.9207195043563843,0.8999999761581421,0.8833333253860474,0.9000000953674316,0.899330715338389,0.9051229953765869,0.9051229953765869,0.8177316784858704,0.9000000953674316,0.6563543081283569,0.8833333849906921,0.02151858344630667,0.0,0.0,10.016652800877813,0.0,0.0,0.0007116500658658576,0.000521898269653237,0.05529543908414944,0.02764773355240226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000529992376275122,0.0,0.0011059249949195917,0.037113968199452146,0.037113968199452146,0.0,0.0,0.08185352771872446,0.036426744346028536,0.0,0.037113968199452146,0.000257462268281913,0.0,0.05529543908414944,0.000529992376275122,0.0007116500658658576,0.0,0.0,0.0,0.0,0.0,0.000521898269653237,0.0,0.000257462268281913,0.0,0.0,0.0,0.0011059249949195917,0.00035094406507184587,0.00035094406507184587,0.015968458154641416,0.0,0.05529543908414944,0.0
no_init_kenn_horizontal_adapter_bert_ms,0.7855691711107889,0.8833333253860474,0.8666666746139526,36.333333333333336,0.9145712852478027,0.00939457273731629,0.9106870293617249,0.9263318777084351,0.6032386620839437,0.7349526683489481,0.8666666746139526,0.9145712852478027,0.9000000556310018,0.009220598575969538,0.00939457273731629,0.8969904780387878,0.00939457273731629,0.8799213767051697,0.8623095154762268,0.8982684214909872,0.7210811972618103,0.7210811972618103,0.8666666746139526,0.898903508981069,0.9066666666666666,0.7080898483594259,0.009363157053788504,0.7210811972618103,0.9204138914744059,0.899999996026357,0.6032386620839437,0.8799213767051697,0.9106870293617249,0.8623095154762268,0.009510555304586887,0.9000000556310018,0.899999996026357,0.375,0.9263318777084351,0.898903508981069,0.9204138914744059,0.899999996026357,0.8833333253860474,0.9000000556310018,0.8982684214909872,0.9047567248344421,0.9047567248344421,0.8020707964897156,0.9111111958821615,0.6032386620839437,0.8833333849906921,0.02011683625751241,0.016666650772094727,0.0,11.71893055416463,0.00014592010774085344,0.00034794723615060724,0.0007996520157376041,0.000672151417671048,0.0497149249987012,0.0248574624993506,0.0,0.00014592010774085344,0.03333336114885205,0.0001739733852448161,0.00034794723615060724,0.017316250915927357,0.00034794723615060724,0.00045886148298697634,0.0006666779518127441,0.0009942954161476576,0.03264675002276127,0.03264675002276127,0.0,0.00021931529112599908,0.04725815626252611,0.03604733700017468,0.00018075365977956198,0.03264675002276127,0.00028569173619371935,0.03333333134651634,0.0497149249987012,0.00045886148298697634,0.0007996520157376041,0.0006666779518127441,0.00020088716160560972,0.03333336114885205,0.03333333134651634,0.0,0.000672151417671048,0.00021931529112599908,0.00028569173619371935,0.03333333134651634,0.016666650772094727,0.03333336114885205,0.0009942954161476576,0.00035468070793629505,0.00035468070793629505,0.013494986558318144,0.019244990619516813,0.0497149249987012,0.016666710376739502
no_init_kenn_hybrid_adapter_bert_ms,0.8201465408007304,0.8833333253860474,0.8666666746139526,36.0,0.91459059715271,0.009394573047757149,0.9118350148200989,0.9272597233454386,0.6913875540097555,0.7790271242459615,0.8666666746139526,0.91459059715271,0.9000000953674316,0.00922059826552868,0.009394573047757149,0.8915888071060181,0.009394573047757149,0.8807664116223654,0.8623095154762268,0.9000313878059387,0.7806763648986816,0.7806763648986816,0.8666666746139526,0.898903489112854,0.9366666666666666,0.766219437122345,0.009306772612035276,0.7806763648986816,0.9208814899126688,0.8999999761581421,0.6913875540097555,0.8807664116223654,0.9118350148200989,0.8623095154762268,0.009394573047757149,0.9000000953674316,0.8999999761581421,0.375,0.9272597233454386,0.898903489112854,0.9208814899126688,0.8999999761581421,0.8833333253860474,0.9000000953674316,0.9000313878059387,0.9053229292233785,0.9053229292233785,0.8276267250378927,0.9000000953674316,0.6913875540097555,0.8833333849906921,0.026045742771919376,0.0,0.0,9.643650760992955,0.0,0.0,0.0008441338054475818,0.000641394472120583,0.07016749912163628,0.035083753625230245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000672169508224377,0.0,0.0014033501246970717,0.04573223976774271,0.04573223976774271,0.0,0.0,0.06658328118479391,0.04488541984055168,0.0,0.04573223976774271,0.0003163303649250564,0.0,0.07016749912163628,0.000672169508224377,0.0008441338054475818,0.0,0.0,0.0,0.0,0.0,0.000641394472120583,0.0,0.0003163303649250564,0.0,0.0,0.0,0.0014033501246970717,0.00041613504851144577,0.00041613504851144577,0.01998045220158535,0.0,0.07016749912163628,0.0
no_init_kenn_top_down_adapter_bert_ms,0.5487480275332928,0.8944444457689921,0.8666666746139526,37.666666666666664,0.914658268292745,0.009626537250975767,0.826793392499288,0.8513202865918478,0.4251901687433322,0.6459284126758575,0.8666666746139526,0.914658268292745,0.9222222765286764,0.009336580832799276,0.009626537250975767,0.9079242746035258,0.009626537250975767,0.8784266908963522,0.8627539674441019,0.8947074214617411,0.49974240114291507,0.49974240114291507,0.8666666746139526,0.899049699306488,0.62,0.4946751147508621,0.009477288462221624,0.49974240114291507,0.8782341281572977,0.9222222169240316,0.4251901687433322,0.8784266908963522,0.826793392499288,0.8627539674441019,0.009626537250975767,0.9222222765286764,0.9222222169240316,0.375,0.8513202865918478,0.899049699306488,0.8782341281572977,0.9222222169240316,0.8944444457689921,0.9222222765286764,0.8947074214617411,0.8566616574923197,0.8566616574923197,0.7373032172520956,0.9222222765286764,0.4251901687433322,0.8944445053736368,0.4236935014608879,0.034694433642582595,0.0,10.214368964029708,0.00028159884564418785,0.0007243093345789612,0.1459948077226399,0.1303098980500564,0.3578288203158985,0.17891440234751074,0.0,0.00028159884564418785,0.06938882433544988,0.0003621545554412969,0.0007243093345789612,0.05141005103052553,0.0007243093345789612,0.002744031209124765,0.0013878008248822992,0.007156548736036213,0.40525999801321233,0.40525999801321233,0.0,0.00045651255022464125,0.5301886456724625,0.4033603674687814,0.0005366388564959737,0.40525999801321233,0.0731884982652304,0.06938886728516519,0.3578288203158985,0.002744031209124765,0.1459948077226399,0.0013878008248822992,0.0007243093345789612,0.06938882433544988,0.06938886728516519,0.0,0.1303098980500564,0.00045651255022464125,0.0731884982652304,0.06938886728516519,0.034694433642582595,0.06938882433544988,0.007156548736036213,0.08354521144334195,0.08354521144334195,0.11981291098608271,0.06938882433544988,0.3578288203158985,0.034694433642582595
smart_init_box_adapter_bert_ms,0.7791422804196676,0.8111111124356588,0.800000011920929,32.0,0.9063133398691813,0.008582695542524258,0.9022906621297201,0.9231752355893453,0.6424242456754049,0.8012121319770813,0.8727272748947144,0.9063133398691813,0.8222222725550333,0.00846671313047409,0.008582695542524258,0.8375323017438253,0.008582695542524258,0.8494059443473816,0.8163384993871053,0.8852760791778564,0.7069985667864481,0.7069985667864481,0.959999978542328,0.8801900545756022,0.53,0.7614407539367676,0.00874250785758098,0.7069985667864481,0.9146661758422852,0.8222222129503886,0.6424242456754049,0.8494059443473816,0.9022906621297201,0.8163384993871053,0.0090466250355045,0.8222222725550333,0.8222222129503886,0.25,0.9231752355893453,0.8801900545756022,0.9146661758422852,0.8222222129503886,0.8111111124356588,0.8222222725550333,0.8852760791778564,0.891101598739624,0.891101598739624,0.8028645912806193,0.8666667143503824,0.6424242456754049,0.8111111521720886,0.036274742629114856,0.06735752616160808,0.0,10.583005244258363,0.000614618381577472,0.001406211763540837,0.0022554925121524624,0.0008748582155228592,0.12409452118646427,0.06204725367958951,0.0,0.000614618381577472,0.13471505232321612,0.0007031055265047862,0.001406211763540837,0.07431049935439027,0.001406211763540837,0.0007018261525363966,0.002694314909919808,0.0024819045569667002,0.05176304304725886,0.05176304304725886,0.0,0.0008862907425430737,0.27874719729532704,0.10652669520970452,0.0007756831305173618,0.05176304304725886,0.00015712610801522402,0.13471505232321618,0.12409452118646427,0.0007018261525363966,0.0022554925121524624,0.002694314909919808,0.0009205816802230941,0.13471505232321612,0.13471505232321618,0.0,0.0008748582155228592,0.0008862907425430737,0.00015712610801522402,0.13471505232321618,0.06735752616160808,0.13471505232321612,0.0024819045569667002,0.0007042303763336115,0.0007042303763336115,0.016903645028763792,0.08819169384796594,0.12409452118646427,0.06735755320020947
smart_init_classifier_adapter_bert_ms,0.8319895466168722,0.8777777751286825,0.8666666746139526,8.0,0.9145326217015585,0.009278590480486551,0.9123019774754842,0.9275110562642416,0.7326754331588745,0.7996710737546285,0.8666666746139526,0.9145326217015585,0.8888889749844869,0.00916260729233424,0.009278590480486551,0.8832814494768778,0.009278590480486551,0.8810453216234843,0.8620872894922892,0.900857150554657,0.8014186024665833,0.8014186024665833,0.8666666746139526,0.8988303939501444,0.9400000000000001,0.7917547623316447,0.00922005685667197,0.8014186024665833,0.9209760626157125,0.8888888756434122,0.7326754331588745,0.8810453216234843,0.9123019774754842,0.8620872894922892,0.009278590480486551,0.8888889749844869,0.8888888756434122,0.375,0.9275110562642416,0.8988303939501444,0.9209760626157125,0.8888888756434122,0.8777777751286825,0.8888889749844869,0.900857150554657,0.9055159489313761,0.9055159489313761,0.8364829023679098,0.8888889749844869,0.7326754331588745,0.8777778347333273,0.018836855741286695,0.00962249530975839,0.0,2.0,0.00010041642698619347,0.0002008876993049486,0.000721607457618232,0.00043782348013872506,0.07137576737695588,0.03568786702345612,0.0,0.00010041642698619347,0.01924502503227447,0.00010044331195313627,0.0002008876993049486,0.014388765490315774,0.0002008876993049486,0.0004902106104489562,0.00038490669494186015,0.0014275340160370801,0.03422958243690843,0.03422958243690843,0.0,0.00012660453560044553,0.04582575694955833,0.04216097510330856,0.00015019609410595934,0.03422958243690843,0.00017758109691604307,0.019244990619516733,0.07137576737695588,0.0004902106104489562,0.000721607457618232,0.00038490669494186015,0.0002008876993049486,0.01924502503227447,0.019244990619516733,0.0,0.00043782348013872506,0.00012660453560044553,0.00017758109691604307,0.019244990619516733,0.00962249530975839,0.01924502503227447,0.0014275340160370801,0.0002943043562232705,0.0002943043562232705,0.015083281151493402,0.01924502503227447,0.07137576737695588,0.00962249530975839
