name,instance,run_id,test_pretraining/macro_types/f1,test/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_CONTACT_INFO/macro_types/precision,test_incremental/micro/precision,test_incremental/macro_example/f1,test_incremental/macro_types/precision,test/micro/f1,threshold_incremental,test_incremental_only/macro_example/f1,test_incremental_only/macro_types/precision,test_incremental_CONTACT_INFO/macro_types/recall,test/micro/recall,test_incremental/micro/f1,test_incremental/macro_types/f1,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental/macro_types/recall,test/macro_types/precision,test_incremental_only/micro/recall,test/macro_example/recall,test_pretraining/macro_example/precision,test_pretraining/micro/precision,test_incremental/macro_example/precision,test_incremental_CONTACT_INFO/macro_types/f1,test_incremental_only/macro_example/precision,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_types/f1,test_pretraining/macro_types/precision,test_incremental_only/macro_example/recall,epoch,test_pretraining/micro/recall,test_incremental_CONTACT_INFO-url/macro_types/precision,test_incremental/micro/recall,test_incremental_only/micro/precision,test_pretraining/macro_example/recall,test_incremental_CONTACT_INFO-url/macro_types/f1,test_pretraining/macro_types/recall,test_incremental/macro_example/recall,threshold_pretraining,test_incremental_only/macro_types/recall,test/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test/macro_example/f1,test_pretraining/macro_example/f1,test_incremental/macro_example_exclusive/recall,test_incremental_CONTACT_INFO-url/macro_types/recall,test/micro/precision,test_pretraining/micro/f1,test/macro_example/precision,test_incremental_only/micro/f1
kenn_top_down_adapter_bert_ms,0,1fwjtwlj,0.8382997512817383,0.889228343963623,1.0,0.6363636255264282,0.5420560836791992,0.02779597043991089,0.5562770366668701,0.8212100863456726,0.32,0.02827521041035652,0.4761904776096344,0.9333333373069764,0.8722021579742432,0.6946107745170593,0.7061777710914612,0.9830508828163148,1.0,0.9666666984558104,0.7928888201713562,1.0,0.8611372709274292,0.8136192560195923,0.7758510112762451,0.02827521041035652,0.7567567229270935,0.02827521041035652,1,0.6451613306999207,0.7928888201713562,0.02827521041035652,30,0.8722021579742432,0.4761904776096344,0.9666666388511658,0.4761904776096344,0.8611372709274292,0.6451613306999207,0.889228343963623,0.02733270451426506,0.25,1.0,0.8382997512817383,1.0,0.8367041349411011,0.8367041349411011,0.9666666984558104,1.0,0.7758510112762451,0.8212100863456726,0.8136192560195923,0.6451613306999207
kenn_bottom_up_adapter_bert_ms,0,3uh8x3x4,0.842751681804657,0.889228343963623,1.0,0.6363636255264282,0.6236559152603149,0.02779597043991089,0.6243042945861816,0.8251366019248962,0.09,0.02827521041035652,0.6122449040412903,0.9333333373069764,0.8722021579742432,0.758169949054718,0.7586488723754883,0.9830508828163148,1.0,0.9666666984558104,0.8008920550346375,1.0,0.8611372709274292,0.8151900768280029,0.7828904986381531,0.02827521041035652,0.7567567229270935,0.02827521041035652,1,0.7594937086105347,0.8008920550346375,0.02827521041035652,34,0.8722021579742432,0.6122449040412903,0.9666666388511658,0.6122449040412903,0.8611372709274292,0.7594937086105347,0.889228343963623,0.02733270451426506,0.25,1.0,0.842751681804657,1.0,0.8375339508056641,0.8375339508056641,0.9666666984558104,1.0,0.7828904986381531,0.8251366019248962,0.8151900768280029,0.7594937086105347
box_adapter_bert_ms,2,25jit748,0.8308394551277161,0.881173849105835,1.0,0.7179487347602844,0.05435801297426224,0.02779597043991089,0.37356579303741455,0.6176090836524963,0.99,0.02827521041035652,0.029182879254221916,0.9333333373069764,0.8635379076004028,0.10292811691761015,0.5388820171356201,0.9830508828163148,1.0,0.9666666984558104,0.7859447002410889,1.0,0.8556393384933472,0.4801916480064392,0.48070740699768066,0.02827521041035652,0.8115941882133484,0.02827521041035652,1,0.05671077221632004,0.7859447002410889,0.02827521041035652,5,0.8635379076004028,0.029182879254221916,0.9666666388511658,0.029182879254221916,0.8556393384933472,0.05671077221632004,0.881173849105835,0.02733270451426506,0.175,1.0,0.8308394551277161,1.0,0.615153968334198,0.615153968334198,0.9666666984558104,1.0,0.48070740699768066,0.6176090836524963,0.4801916480064392,0.05671077221632004
box_adapter_bert_ms,1,38m0cqj3,0.8308394551277161,0.881173849105835,1.0,0.7179487347602844,0.05435801297426224,0.02779597043991089,0.37356579303741455,0.6176090836524963,0.99,0.02827521041035652,0.029182879254221916,0.9333333373069764,0.8635379076004028,0.10292811691761015,0.5388820171356201,0.9830508828163148,1.0,0.9666666984558104,0.7859447002410889,1.0,0.8556393384933472,0.4801916480064392,0.48070740699768066,0.02827521041035652,0.8115941882133484,0.02827521041035652,1,0.05671077221632004,0.7859447002410889,0.02827521041035652,5,0.8635379076004028,0.029182879254221916,0.9666666388511658,0.029182879254221916,0.8556393384933472,0.05671077221632004,0.881173849105835,0.02733270451426506,0.175,1.0,0.8308394551277161,1.0,0.615153968334198,0.615153968334198,0.9666666984558104,1.0,0.48070740699768066,0.6176090836524963,0.4801916480064392,0.05671077221632004
box_adapter_bert_ms,0,jcx4s2ml,0.8308394551277161,0.881173849105835,1.0,0.7179487347602844,0.05435801297426224,0.02779597043991089,0.37356579303741455,0.6176090836524963,0.99,0.02827521041035652,0.029182879254221916,0.9333333373069764,0.8635379076004028,0.10292811691761015,0.5388820171356201,0.9830508828163148,1.0,0.9666666984558104,0.7859447002410889,1.0,0.8556393384933472,0.4801916480064392,0.48070740699768066,0.02827521041035652,0.8115941882133484,0.02827521041035652,1,0.05671077221632004,0.7859447002410889,0.02827521041035652,14,0.8635379076004028,0.029182879254221916,0.9666666388511658,0.029182879254221916,0.8556393384933472,0.05671077221632004,0.881173849105835,0.02733270451426506,0.175,1.0,0.8308394551277161,1.0,0.615153968334198,0.615153968334198,0.9666666984558104,1.0,0.48070740699768066,0.6176090836524963,0.4801916480064392,0.05671077221632004
classifier_adapter_bert_ms,2,yrb4pe67,0.8247955441474915,0.889228343963623,1.0,0.6363636255264282,0.124731183052063,0.02779597043991089,0.35381126403808594,0.7321212887763977,0.99,0.02827521041035652,0.07125891000032425,0.9333333373069764,0.8722021579742432,0.22095239162445068,0.5180208683013916,0.9830508828163148,1.0,0.9666666984558104,0.7690693140029907,1.0,0.8611372709274292,0.7334119081497192,0.6308094263076782,0.02827521041035652,0.7567567229270935,0.02827521041035652,1,0.13303770124912262,0.7690693140029907,0.02827521041035652,5,0.8722021579742432,0.07125891000032425,0.9666666388511658,0.07125891000032425,0.8611372709274292,0.13303770124912262,0.889228343963623,0.02733270451426506,0.25,1.0,0.8247955441474915,1.0,0.7921590805053711,0.7921590805053711,0.9666666984558104,1.0,0.6308094263076782,0.7321212887763977,0.7334119081497192,0.13303770124912262
classifier_adapter_bert_ms,1,1a821wjn,0.8247955441474915,0.889228343963623,1.0,0.6363636255264282,0.124731183052063,0.02779597043991089,0.35381126403808594,0.7321212887763977,0.99,0.02827521041035652,0.07125891000032425,0.9333333373069764,0.8722021579742432,0.22095239162445068,0.5180208683013916,0.9830508828163148,1.0,0.9666666984558104,0.7690693140029907,1.0,0.8611372709274292,0.7334119081497192,0.6308094263076782,0.02827521041035652,0.7567567229270935,0.02827521041035652,1,0.13303770124912262,0.7690693140029907,0.02827521041035652,5,0.8722021579742432,0.07125891000032425,0.9666666388511658,0.07125891000032425,0.8611372709274292,0.13303770124912262,0.889228343963623,0.02733270451426506,0.25,1.0,0.8247955441474915,1.0,0.7921590805053711,0.7921590805053711,0.9666666984558104,1.0,0.6308094263076782,0.7321212887763977,0.7334119081497192,0.13303770124912262
classifier_adapter_bert_ms,0,39ets6mh,0.8247955441474915,0.889228343963623,1.0,0.6363636255264282,0.124731183052063,0.02779597043991089,0.35381126403808594,0.7321212887763977,0.99,0.02827521041035652,0.07125891000032425,0.9333333373069764,0.8722021579742432,0.22095239162445068,0.5180208683013916,0.9830508828163148,1.0,0.9666666984558104,0.7690693140029907,1.0,0.8611372709274292,0.7334119081497192,0.6308094263076782,0.02827521041035652,0.7567567229270935,0.02827521041035652,1,0.13303770124912262,0.7690693140029907,0.02827521041035652,5,0.8722021579742432,0.07125891000032425,0.9666666388511658,0.07125891000032425,0.8611372709274292,0.13303770124912262,0.889228343963623,0.02733270451426506,0.25,1.0,0.8247955441474915,1.0,0.7921590805053711,0.7921590805053711,0.9666666984558104,1.0,0.6308094263076782,0.7321212887763977,0.7334119081497192,0.13303770124912262
