name,instance,run_id,test_incremental_CONTACT_INFO-url/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,threshold_incremental,test_incremental_only/micro/recall,test_incremental_only/macro_example_exclusive/f1,test/macro_example/f1,test_pretraining/macro_types/recall,test_pretraining/micro/recall,test_pretraining/macro_types/f1,test_incremental_CONTACT_INFO/macro_types/precision,test_incremental/macro_types/recall,test_incremental_only/macro_example/precision,test_incremental/micro/f1,test/micro/recall,test_pretraining/macro_example/f1,test_incremental/macro_example/recall,test_incremental_only/macro_example/recall,test_incremental/micro/recall,test/macro_types/recall,test_incremental/macro_example/f1,test_incremental/macro_example_exclusive/f1,test_incremental_only/micro/f1,test_pretraining/macro_types/precision,test_incremental_CONTACT_INFO/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test_pretraining/macro_example/recall,test_incremental/macro_example/precision,test_pretraining/micro/precision,test_incremental_only/macro_types/recall,test_incremental_only/macro_types/precision,test_incremental/macro_example_exclusive/precision,test_incremental_CONTACT_INFO-url/macro_types/recall,test_incremental_only/macro_types/f1,test_pretraining/micro/f1,test/macro_types/precision,test_incremental/micro/precision,threshold_pretraining,test/macro_example/recall,test_incremental/macro_types/f1,test_incremental/macro_types/precision,test_incremental_only/macro_example/f1,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/recall,test/micro/precision,test/macro_example/precision,test_incremental_CONTACT_INFO/macro_types/f1,epoch,test/micro/f1,test/macro_types/f1,test_incremental_only/micro/precision,test_incremental_CONTACT_INFO-url/macro_types/precision
kenn_hybrid_adapter_bert_ms,2,2c59taaf,0.451127827167511,1.0,0.56,1.0,1.0,0.8342887759208679,0.889228343963623,0.8722021579742432,0.8321802616119385,0.6363636255264282,0.9666666984558104,0.02827521041035652,0.5603864789009094,0.8722021579742432,0.8342887759208679,0.02733270451426506,0.02827521041035652,0.9666666388511658,0.889228343963623,0.02779597043991089,0.9830508828163148,0.451127827167511,0.7820106744766235,0.9333333373069764,1.0,0.8611372709274292,0.02827521041035652,0.7564182877540588,1.0,0.291262149810791,1.0,1.0,0.451127827167511,0.8101945519447327,0.7820106744766235,0.3945578336715698,0.25,0.8611372709274292,0.6268562078475952,0.4638128876686096,0.02827521041035652,0.8090637922286987,0.9666666984558104,0.7564182877540588,0.8090637922286987,0.7567567229270935,18,0.8101945519447327,0.8321802616119385,0.291262149810791,0.291262149810791
kenn_top_down_adapter_bert_ms,2,yh5dnzbm,0.5042016506195068,1.0,0.52,1.0,1.0,0.8356646299362183,0.889228343963623,0.8722021579742432,0.8337037563323975,0.6363636255264282,0.9666666984558104,0.02827521041035652,0.6010362505912781,0.8722021579742432,0.8356646299362183,0.02733270451426506,0.02827521041035652,0.9666666388511658,0.889228343963623,0.02779597043991089,0.9830508828163148,0.5042016506195068,0.7847058176994324,0.9333333373069764,1.0,0.8611372709274292,0.02827521041035652,0.7631080150604248,1.0,0.33707866072654724,1.0,1.0,0.5042016506195068,0.8140161633491516,0.7847058176994324,0.43609023094177246,0.25,0.8611372709274292,0.6474488377571106,0.4867211580276489,0.02827521041035652,0.8116556406021118,0.9666666984558104,0.7631080150604248,0.8116556406021118,0.7567567229270935,18,0.8140161633491516,0.8337037563323975,0.33707866072654724,0.33707866072654724
kenn_bottom_up_adapter_bert_ms,2,3jlafruz,0.7692307829856873,1.0,0.21,1.0,1.0,0.837782621383667,0.889228343963623,0.8722021579742432,0.8431668877601624,0.6363636255264282,0.9666666984558104,0.02827521041035652,0.7631579041481018,0.8722021579742432,0.837782621383667,0.02733270451426506,0.02827521041035652,0.9666666388511658,0.889228343963623,0.02779597043991089,0.9830508828163148,0.7692307829856873,0.8016423583030701,0.9333333373069764,1.0,0.8611372709274292,0.02827521041035652,0.7833982110023499,1.0,0.625,1.0,1.0,0.7692307829856873,0.8254185318946838,0.8016423583030701,0.6304348111152649,0.25,0.8611372709274292,0.7633389234542847,0.6306818127632141,0.02827521041035652,0.8156613111495972,0.9666666984558104,0.7833982110023499,0.8156613111495972,0.7567567229270935,18,0.8254185318946838,0.8431668877601624,0.625,0.625
kenn_hybrid_adapter_bert_ms,1,3m0wviqg,0.7733333110809326,0.9666666984558104,0.19,0.9666666388511658,0.9666666984558104,0.8375595808029175,0.8872675895690918,0.8714801669120789,0.8429153561592102,0.6363636255264282,0.949999988079071,0.02733270451426506,0.7651007175445557,0.8714801669120789,0.8375595808029175,0.02686145156621933,0.02733270451426506,0.949999988079071,0.8872675895690918,0.02709502913057804,0.9582608938217164,0.7733333110809326,0.802786111831665,0.9333333373069764,0.9666666984558104,0.860666036605835,0.02733270451426506,0.7842755317687988,0.9666666388511658,0.644444465637207,0.9666666984558104,0.9666666388511658,0.7733333110809326,0.8255813717842102,0.802786111831665,0.6404494643211365,0.25,0.860666036605835,0.7650682926177979,0.6404040455818176,0.02733270451426506,0.8156613111495972,0.9500000476837158,0.7842755317687988,0.8156613111495972,0.7567567229270935,18,0.8255813717842102,0.8429153561592102,0.644444465637207,0.644444465637207
kenn_top_down_adapter_bert_ms,1,37k30b1p,0.5042016506195068,1.0,0.51,1.0,1.0,0.8356646299362183,0.889228343963623,0.8722021579742432,0.8337037563323975,0.6363636255264282,0.9666666984558104,0.02827521041035652,0.6010362505912781,0.8722021579742432,0.8356646299362183,0.02733270451426506,0.02827521041035652,0.9666666388511658,0.889228343963623,0.02779597043991089,0.9830508828163148,0.5042016506195068,0.7847058176994324,0.9333333373069764,1.0,0.8611372709274292,0.02827521041035652,0.7631080150604248,1.0,0.33707866072654724,1.0,1.0,0.5042016506195068,0.8140161633491516,0.7847058176994324,0.43609023094177246,0.25,0.8611372709274292,0.6474488377571106,0.4867211580276489,0.02827521041035652,0.8116556406021118,0.9666666984558104,0.7631080150604248,0.8116556406021118,0.7567567229270935,13,0.8140161633491516,0.8337037563323975,0.33707866072654724,0.33707866072654724
kenn_bottom_up_adapter_bert_ms,1,3w2k098x,0.7594937086105347,1.0,0.21,1.0,1.0,0.837782621383667,0.889228343963623,0.8722021579742432,0.842751681804657,0.6363636255264282,0.9666666984558104,0.02827521041035652,0.758169949054718,0.8722021579742432,0.837782621383667,0.02733270451426506,0.02827521041035652,0.9666666388511658,0.889228343963623,0.02779597043991089,0.9830508828163148,0.7594937086105347,0.8008920550346375,0.9333333373069764,1.0,0.8611372709274292,0.02827521041035652,0.7828904986381531,1.0,0.6122449040412903,1.0,1.0,0.7594937086105347,0.8251366019248962,0.8008920550346375,0.6236559152603149,0.25,0.8611372709274292,0.7586488723754883,0.6243042945861816,0.02827521041035652,0.8156613111495972,0.9666666984558104,0.7828904986381531,0.8156613111495972,0.7567567229270935,13,0.8251366019248962,0.842751681804657,0.6122449040412903,0.6122449040412903
kenn_hybrid_adapter_bert_ms,0,1g3hxiab,0.234375,1.0,0.88,1.0,1.0,0.8241011500358582,0.889228343963623,0.8722021579742432,0.8268709182739258,0.6363636255264282,0.9666666984558104,0.02827521041035652,0.35151514410972595,0.8722021579742432,0.8241011500358582,0.02733270451426506,0.02827521041035652,0.9666666388511658,0.889228343963623,0.02779597043991089,0.9830508828163148,0.234375,0.7726860642433167,0.9333333373069764,1.0,0.8611372709274292,0.02827521041035652,0.7023255825042725,1.0,0.13274335861206055,1.0,1.0,0.234375,0.7780998349189758,0.7726860642433167,0.21481481194496155,0.25,0.8611372709274292,0.55022132396698,0.3845534920692444,0.02827521041035652,0.7901194095611572,0.9666666984558104,0.7023255825042725,0.7901194095611572,0.7567567229270935,12,0.7780998349189758,0.8268709182739258,0.13274335861206055,0.13274335861206055
kenn_top_down_adapter_bert_ms,0,315j08bp,0.25,0.9666666984558104,0.85,0.9666666388511658,0.9666666984558104,0.826495349407196,0.8872675895690918,0.8714801669120789,0.8263857960700989,0.6363636255264282,0.949999988079071,0.02733270451426506,0.3725490272045135,0.8714801669120789,0.826495349407196,0.02686145156621933,0.02733270451426506,0.949999988079071,0.8872675895690918,0.02755020558834076,0.9743589758872986,0.25,0.773322582244873,0.9333333373069764,0.9666666984558104,0.8608231544494629,0.02827521041035652,0.7116745114326477,0.9666666388511658,0.1435643583536148,1.0,0.9666666388511658,0.25,0.7835118770599365,0.773322582244873,0.23170731961727145,0.25,0.8608231544494629,0.5529488921165466,0.3899639844894409,0.02733270451426506,0.7948004603385925,0.9500000476837158,0.7116745114326477,0.7948004603385925,0.7567567229270935,12,0.7835118770599365,0.8263857960700989,0.1435643583536148,0.1435643583536148
kenn_bottom_up_adapter_bert_ms,0,28h6bddt,0.4027777910232544,0.9666666984558104,0.6,0.9666666388511658,0.9666666984558104,0.8331801295280457,0.8872675895690918,0.8714801669120789,0.8300933837890625,0.6363636255264282,0.949999988079071,0.02733270451426506,0.5229357481002808,0.8714801669120789,0.8331801295280457,0.02686145156621933,0.02733270451426506,0.949999988079071,0.8872675895690918,0.02755020558834076,0.9743589758872986,0.4027777910232544,0.7798415422439575,0.9333333373069764,0.9666666984558104,0.8608231544494629,0.02827521041035652,0.7506219148635864,0.9666666388511658,0.25438597798347473,1.0,0.9666666388511658,0.4027777910232544,0.8065486550331116,0.7798415422439575,0.3607594966888428,0.25,0.8608231544494629,0.6064407229423523,0.4453747868537903,0.02733270451426506,0.8072572946548462,0.9500000476837158,0.7506219148635864,0.8072572946548462,0.7567567229270935,12,0.8065486550331116,0.8300933837890625,0.25438597798347473,0.25438597798347473
box_adapter_bert_ms,2,jgg66h7f,0.05671077221632004,1.0,0.99,1.0,1.0,0.615153968334198,0.881173849105835,0.8635379076004028,0.8308394551277161,0.7179487347602844,0.9666666984558104,0.02827521041035652,0.10292811691761015,0.8635379076004028,0.615153968334198,0.02733270451426506,0.02827521041035652,0.9666666388511658,0.881173849105835,0.02779597043991089,0.9830508828163148,0.05671077221632004,0.7859447002410889,0.9333333373069764,1.0,0.8556393384933472,0.02827521041035652,0.48070740699768066,1.0,0.029182879254221916,1.0,1.0,0.05671077221632004,0.6176090836524963,0.7859447002410889,0.05435801297426224,0.175,0.8556393384933472,0.5388820171356201,0.37356579303741455,0.02827521041035652,0.4801916480064392,0.9666666984558104,0.48070740699768066,0.4801916480064392,0.8115941882133484,17,0.6176090836524963,0.8308394551277161,0.029182879254221916,0.029182879254221916
