name,test_incremental_only/macro_types/f1/mean,test_incremental_only/macro_types/precision/mean,test/macro_example/f1/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental_GPE-STATE_PROVINCE/macro_types/precision/mean,test/macro_example/recall/mean,test_pretraining/micro/f1/mean,test_incremental_only/macro_example_exclusive/f1/mean,test/macro_types/recall/mean,test_incremental/micro/precision/mean,test_incremental_GPE-CITY/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/precision/mean,test/macro_example/precision/mean,test_pretraining/macro_types/precision/mean,test_incremental/macro_example/precision/mean,test_incremental/macro_example_exclusive/recall/mean,epoch/mean,test/macro_types/f1/mean,test/macro_types/precision/mean,test_pretraining/micro/precision/mean,test_pretraining/macro_types/recall/mean,test_incremental_only/macro_example/precision/mean,test_incremental_only/micro/f1/mean,test_incremental/macro_types/f1/mean,test_incremental_GPE-CITY/macro_types/recall/mean,threshold_incremental/mean,test_incremental/macro_types/precision/mean,test_incremental_GPE-COUNTRY/macro_types/f1/mean,test_incremental/macro_example/recall/mean,test_incremental_only/micro/precision/mean,test_pretraining/macro_types/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental_only/micro/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental/macro_example_exclusive/f1/mean,threshold_pretraining/mean,test_incremental/micro/f1/mean,test_incremental/macro_example/f1/mean,test/micro/precision/mean,test_incremental/micro/recall/mean,test/micro/recall/mean,test_incremental_GPE-CITY/macro_types/precision/mean,test_incremental_GPE/macro_types/recall/mean,test_incremental_only/macro_types/recall/mean,test_incremental_GPE/macro_types/precision/mean,test_incremental_only/macro_example/recall/mean,test_incremental_GPE-COUNTRY/macro_types/recall/mean,test_pretraining/micro/recall/mean,test_incremental_GPE-COUNTRY/macro_types/precision/mean,test_incremental/macro_types/recall/mean,test_pretraining/macro_example/precision/mean,test_incremental_GPE-STATE_PROVINCE/macro_types/recall/mean,test_incremental_GPE/macro_types/f1/mean,test_incremental_GPE-STATE_PROVINCE/macro_types/f1/mean,test_incremental/macro_example_exclusive/precision/mean,test/micro/f1/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_types/f1/std,test_incremental_only/macro_types/precision/std,test/macro_example/f1/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental_GPE-STATE_PROVINCE/macro_types/precision/std,test/macro_example/recall/std,test_pretraining/micro/f1/std,test_incremental_only/macro_example_exclusive/f1/std,test/macro_types/recall/std,test_incremental/micro/precision/std,test_incremental_GPE-CITY/macro_types/f1/std,test_incremental_only/macro_example_exclusive/precision/std,test/macro_example/precision/std,test_pretraining/macro_types/precision/std,test_incremental/macro_example/precision/std,test_incremental/macro_example_exclusive/recall/std,epoch/std,test/macro_types/f1/std,test/macro_types/precision/std,test_pretraining/micro/precision/std,test_pretraining/macro_types/recall/std,test_incremental_only/macro_example/precision/std,test_incremental_only/micro/f1/std,test_incremental/macro_types/f1/std,test_incremental_GPE-CITY/macro_types/recall/std,threshold_incremental/std,test_incremental/macro_types/precision/std,test_incremental_GPE-COUNTRY/macro_types/f1/std,test_incremental/macro_example/recall/std,test_incremental_only/micro/precision/std,test_pretraining/macro_types/f1/std,test_pretraining/macro_example/f1/std,test_incremental_only/micro/recall/std,test_incremental_only/macro_example/f1/std,test_incremental/macro_example_exclusive/f1/std,threshold_pretraining/std,test_incremental/micro/f1/std,test_incremental/macro_example/f1/std,test/micro/precision/std,test_incremental/micro/recall/std,test/micro/recall/std,test_incremental_GPE-CITY/macro_types/precision/std,test_incremental_GPE/macro_types/recall/std,test_incremental_only/macro_types/recall/std,test_incremental_GPE/macro_types/precision/std,test_incremental_only/macro_example/recall/std,test_incremental_GPE-COUNTRY/macro_types/recall/std,test_pretraining/micro/recall/std,test_incremental_GPE-COUNTRY/macro_types/precision/std,test_incremental/macro_types/recall/std,test_pretraining/macro_example/precision/std,test_incremental_GPE-STATE_PROVINCE/macro_types/recall/std,test_incremental_GPE/macro_types/f1/std,test_incremental_GPE-STATE_PROVINCE/macro_types/f1/std,test_incremental/macro_example_exclusive/precision/std,test/micro/f1/std,test_pretraining/macro_example/recall/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.5608954330285391,0.8125737110773722,0.8298423290252686,0.43137259284655255,0.95652174949646,0.8341187636057535,0.8126588662465414,0.43610931436220807,0.803782045841217,0.7899405161539713,0.47218067447344464,0.44117651383082074,0.8256100018819174,0.8299788236618042,0.09189443786938985,0.6928105155626932,39.666666666666664,0.8166406154632568,0.8299788236618042,0.7986398935317993,0.803782045841217,0.042412816236416497,0.543371299902598,0.6637910604476929,0.35185185074806213,0.01,0.8058588107426962,0.41567979256312054,0.06660383194684982,0.8006203969319662,0.8166406154632568,0.8298423290252686,0.4128440320491791,0.041925678650538124,0.8032087882359823,0.17499999999999996,0.7320744792620341,0.07721704989671707,0.7986398935317993,0.6824644406636556,0.8271858096122742,0.7553140123685201,0.970588207244873,0.4306345184644063,0.7857142686843872,0.041470310340325035,0.3178294599056244,0.8271858096122742,0.7258852322896322,0.5656229257583618,0.8256100018819174,0.6222222248713175,0.8684210181236267,0.7424308657646179,0.9558824102083842,0.8126588662465414,0.8341187636057535,0.05614429963656042,0.04820717509865861,0.0008116369819275172,0.05458593793017555,0.04347825050354,0.001342115467991157,0.0022495030631687423,0.053922339900178556,0.009811980086894635,0.017421804354878202,0.12278089028183106,0.054585935253848715,0.0004734400511437094,0.007611690062137257,0.00047125294805065086,0.026997870683955434,0.5773502691896263,0.006468300976700389,0.007611690062137257,0.0020944208643733303,0.009811980086894635,0.005247656427211274,0.0485056629811391,0.03560367938555574,0.13127265686870962,0.0,0.03615540408361764,0.1525235970366156,0.002595464268136607,0.058330965372130915,0.006468300976700389,0.0008116369819275172,0.05108040648281804,0.005183861022959115,0.019862515000334136,0.0,0.01799303714390974,0.0019095025588183388,0.0020944208643733303,0.02638751917873897,0.0038031096320784385,0.02506379451223356,0.0,0.06214251466423877,0.0,0.005247656092670682,0.15484483547134187,0.0038031096320784385,0.11385304700115863,0.04660687014126714,0.0004734400511437094,0.1644294290123894,0.0,0.12080329959301245,0.004901945591093679,0.0022495030631687423,0.001342115467991157
no_init_box_kenn_horizontal_adapter_bert_ms,0.40739397207895917,0.7881710131963094,0.8274653553962708,0.27450982729593915,0.9547511339187622,0.8290396928787231,0.8070693810780843,0.27916253606478375,0.7791979908943176,0.7838483055432638,0.3340696046749751,0.28431374828020733,0.8258979916572571,0.8261257807413737,0.09205152342716853,0.6143791476885477,29.666666666666668,0.8019749919573466,0.8261257807413737,0.7980876366297404,0.7791979908943176,0.027332703893383343,0.39641762773195904,0.5717609326044718,0.22222222884496054,0.01,0.7875568469365438,0.316374992330869,0.05906377484401067,0.7799522479375204,0.8019749919573466,0.8274653553962708,0.26605505247910816,0.026837488636374474,0.748461643854777,0.17499999999999996,0.6839063167572021,0.07195389270782471,0.7980876366297404,0.6066350738207499,0.8162568211555481,0.7083333333333334,0.970588207244873,0.27493542432785034,0.7857142686843872,0.026390197376410168,0.22480620443820953,0.8162568211555481,0.7014285723368326,0.44884859522183734,0.8258979916572571,0.37777779002984363,0.8684210181236267,0.5241079727808634,0.9575163920720419,0.8070693810780843,0.8290396928787231,0.04013569223143247,0.03878656375803604,2.27420426665262e-05,0.00980392098428328,0.04021807188931184,0.0007867169444168875,0.0014914633625009537,0.012690951132684026,0.005089686609206808,0.018033003309945495,0.12435091795147687,0.019607856869699458,0.0007906591357452099,0.006124218513275538,0.0007198523944815778,0.00566033083221723,2.081665999466133,0.005489484839068676,0.006124218513275538,0.0020005701421502513,0.005089686609206808,0.001885014586150723,0.027615918032289296,0.026904604361001613,0.10015420439224336,0.0,0.02908993590000616,0.17404830758024803,0.0005441571082230803,0.07725051515844736,0.005489484839068676,2.27420426665262e-05,0.01834862679243138,0.0012200554127949105,0.002201058724460964,0.0,0.01138383633082077,0.00021160019466582905,0.0020005701421502513,0.0094786584377445,0.0013661384582519531,0.08779712139601373,0.0,0.03223458838847482,0.0,0.0009425077587372235,0.1513117907104553,0.0013661384582519531,0.05611577932752587,0.024175956058391925,0.0007906591357452099,0.167774110272234,0.0,0.17624063692088565,0.007487852077872244,0.0014914633625009537,0.0007867169444168875
no_init_box_kenn_hybrid_adapter_bert_ms,0.5800046920776367,0.8250403006871542,0.830310066541036,0.4542483985424042,0.95652174949646,0.8349042137463888,0.8138627608617147,0.45898133516311646,0.8064793745676676,0.7970331311225891,0.45373237133026123,0.46405232946077984,0.8257670998573303,0.8319472471872965,0.09189443786938985,0.7042484283447266,36.0,0.8190034627914429,0.8319472471872965,0.799477219581604,0.8064793745676676,0.044612000385920204,0.5678921341896057,0.6764477094014486,0.3333333283662796,0.02,0.8152087728182474,0.47956526279449463,0.06770342340071996,0.824172298113505,0.8190034627914429,0.830310066541036,0.43425076206525165,0.04412449772159258,0.8109294573465983,0.17499999999999996,0.7415600220362345,0.07795928666989009,0.799477219581604,0.6935229102770487,0.8287795980771383,0.7365079522132874,0.970588207244873,0.44771748781204224,0.7857142686843872,0.04366949448982874,0.38759690523147583,0.8287795980771383,0.7820911010106405,0.5784351428349813,0.8257670998573303,0.6222222248713175,0.8684210181236267,0.7424308657646179,0.9558824102083842,0.8138627608617147,0.8349042137463888,0.018454444872503094,0.0430577941628154,0.0003230038578505198,0.03711704579941803,0.04347825050354,0.0010300815393828944,0.0004011751902667758,0.029011396200028596,0.0030918226554372463,0.014559691303021038,0.1329961947225389,0.020408472271736013,0.0005229830516349028,0.006798591508070004,0.00047125294805065086,0.01575758443683711,6.928203230275509,0.0035176209456950487,0.006798591508070004,0.0017448954382047726,0.0030918226554372463,0.0019619845660235257,0.007510552931623266,0.014115541820655277,0.127293761717029,0.01,0.032293315055069764,0.22390324874836937,0.001514861261852911,0.05104828216953001,0.0035176209456950487,0.0003230038578505198,0.019097852089685403,0.002789028963832316,0.01091964514800532,0.0,0.002586335424605318,0.0010497630208852822,0.0017448954382047726,0.009865698109094528,0.001421888584241066,0.0714814576390408,0.0,0.019581622269388248,0.0,0.0035682718648110804,0.24427831137235387,0.001421888584241066,0.06522355694386577,0.014686202052759218,0.0005229830516349028,0.1644294290123894,0.0,0.12080329959301245,0.004901945591093679,0.0004011751902667758,0.0010300815393828944
no_init_box_kenn_top_down_adapter_bert_ms,0.6168092489242554,0.7721063494682312,0.830845057964325,0.5261438290278116,0.9598662257194519,0.837286631266276,0.8147204120953878,0.5325039029121399,0.8179304798444113,0.7743798891703287,0.4830423096815745,0.5392157634099325,0.824510415395101,0.8235892454783121,0.09142318367958069,0.7407407959302267,36.0,0.8206503589948019,0.8235892454783121,0.7963354786237081,0.8179304798444113,0.05183788761496544,0.6006729006767273,0.6943891445795695,0.3888888855775197,0.02666666666666667,0.7755083044370016,0.4961508909861247,0.07121164600054423,0.7643549044926962,0.8206503589948019,0.830845057964325,0.5045871635278066,0.05119264250000318,0.8321141799290975,0.17499999999999996,0.750315805276235,0.07999589045842488,0.7963354786237081,0.7298578222592672,0.8340164025624593,0.6378380060195923,0.970588207244873,0.5202411810557047,0.7857142686843872,0.050581211845080055,0.44961240887641907,0.8340164025624593,0.7186147371927897,0.6328279177347819,0.824510415395101,0.7222222288449606,0.8684210181236267,0.8209472497304281,0.9509804646174113,0.8147204120953878,0.837286631266276,0.029147170449989518,0.08116635648435866,0.0011284539855019853,0.10332949915803072,0.03857044082439198,0.0034184766371654746,0.0016389532064956926,0.09684122618271364,0.01007774866790303,0.03079597460206665,0.09268938320592729,0.08985444604915234,0.001383622754283164,0.012815738329682422,0.00047125667333602905,0.04940839234546085,6.928203230275509,0.0030958074629613115,0.012815738329682422,0.00407924936489871,0.01007774866790303,0.008638220198050224,0.04369885478434182,0.015090000830144352,0.07349308196137751,0.02886751345948129,0.06087475701427636,0.2482362158180382,0.004749908057113136,0.08947414355888308,0.0030958074629613115,0.0011284539855019853,0.08408396304556107,0.009309897443202205,0.030402850699852185,0.0,0.013713264085814964,0.0029227882980004064,0.00407924936489871,0.04343671530132386,0.006260341847131014,0.1265447279233967,0.0,0.06382579070321878,0.0,0.009933651835453864,0.3026235814209106,0.006260341847131014,0.14305377208629436,0.04786933718573366,0.001383622754283164,0.08388706007038475,0.0,0.04159358774613256,0.004901915788680794,0.0016389532064956926,0.0034184766371654746
no_init_kenn_bottom_up_adapter_bert_ms,0.6810243527094523,0.6319675842920939,0.8283861875534058,0.7549020250638326,0.6680194934209188,0.8515289624532064,0.8154275417327881,0.7474128007888794,0.8600730101267496,0.6714951395988464,0.5958421428998312,0.740196148554484,0.8064718842506409,0.7841485341389974,0.08655356615781784,0.8567538857460022,17.0,0.8203301231066386,0.7841485341389974,0.7756539185841879,0.8600730101267496,0.07115928332010905,0.6775355537732443,0.7172568639119467,0.6203703681627909,0.23,0.6520332296689352,0.6931554873784384,0.08236464361349742,0.6286378105481466,0.8203301231066386,0.8283861875534058,0.7370030681292216,0.07185306151707967,0.8777679602305094,0.25,0.749996026357015,0.08438485115766525,0.7756539185841879,0.8499210079511007,0.8595173160235087,0.5866666634877523,0.970588207244873,0.7415015896161398,0.7122302055358887,0.07257304340600967,0.7596899271011353,0.8595173160235087,0.641216516494751,0.7987732291221619,0.8064718842506409,0.8444444338480631,0.821576714515686,0.7411477367083231,0.9003268678983053,0.8154275417327881,0.8515289624532064,0.02052907035966278,0.04851448177609878,0.000851701243430473,0.02136717434037636,0.0916129809339043,0.0008060764378212691,0.0019277296700000856,0.017652366963452345,0.004761064050557085,0.02274534355141894,0.08333091372040703,0.017674249240498135,0.0023321402055293283,0.007660190072890536,0.0023457725692303854,0.010879616730197609,1.0,0.0030346667945137717,0.007660190072890536,0.00450698416810256,0.004761064050557085,0.0016991287343118152,0.01888906194136119,0.016476262060880403,0.1425444943235216,0.06244997998398399,0.0363858738473451,0.038661320110840655,0.001045915561337552,0.04365532186394406,0.0030346667945137717,0.000851701243430473,0.021187143426171607,0.0016970243231167362,0.00611409088633227,0.0,0.010954027662048347,0.0005877819430487259,0.00450698416810256,0.010945046413916288,0.001577446400486417,0.10263202189724459,0.0,0.030153640955190648,0.0,0.0020541473959383274,0.09682166329565674,0.001577446400486417,0.010859940195451405,0.022615192440183667,0.0023321402055293283,0.050917491680013006,0.0,0.04245506605137713,0.024400611883475854,0.0019277296700000856,0.0008060764378212691
no_init_kenn_horizontal_adapter_bert_ms,0.5921990076700846,0.518986165523529,0.8228094379107157,0.7336601813634237,0.5731199582417806,0.8511100808779398,0.804394523302714,0.7228161295255026,0.8558275699615479,0.590618352095286,0.48845601081848145,0.7124183575312296,0.7964027722676595,0.766309380531311,0.08733898649613063,0.8453159928321838,16.0,0.8084271947542826,0.766309380531311,0.757564644018809,0.8558275699615479,0.06848884373903275,0.5734787583351135,0.651663601398468,0.6296296318372091,0.10333333333333333,0.5672971407572428,0.6207375327746073,0.08126505215962727,0.49477654695510864,0.8084271947542826,0.8228094379107157,0.7125382224718729,0.06948844095071156,0.8752081990242004,0.25,0.6892128388086954,0.08413876593112946,0.757564644018809,0.8372827768325806,0.8576957980791727,0.4345654050509135,0.970588207244873,0.7146138747533163,0.7122302055358887,0.07053094605604808,0.7364341020584106,0.8576957980791727,0.5492730538050333,0.7786074082056681,0.7964027722676595,0.7777777711550394,0.821576714515686,0.6445167263348898,0.9084967970848083,0.804394523302714,0.8511100808779398,0.030433375185632012,0.09850358265142667,0.004234912670779158,0.08338135776819641,0.1534252597432991,0.0030239778070329,0.007334828322844347,0.07484849331422834,0.013377127880776515,0.0720651833228123,0.1474776661345689,0.06691371646418467,0.010577233536284088,0.0155531867633121,0.0021133527775645334,0.043303197795761784,1.0,0.002956740812769514,0.0155531867633121,0.01810278131715249,0.013377127880776515,0.0064327957472009355,0.041198367073658954,0.024181083441707153,0.13127266212394523,0.05773502691896259,0.07387766674317632,0.056174333673831275,0.004162986930885402,0.10671411022921713,0.002956740812769514,0.004234912670779158,0.08719619665881326,0.007195612866259976,0.023091824411583733,0.0,0.033280695081206825,0.002219951275300813,0.01810278131715249,0.04504446105276932,0.006492064060027901,0.20781673650933258,0.0,0.08472152419472871,0.0,0.008015930154704587,0.19364334090788485,0.006492064060027901,0.01794979080418488,0.06354110805003617,0.010577233536284088,0.09622502192309917,0.0,0.08236456887887214,0.021983030119530858,0.007334828322844347,0.0030239778070329
no_init_kenn_hybrid_adapter_bert_ms,0.6405197580655416,0.5869458119074503,0.8267615834871928,0.7500000794728597,0.6168981393178304,0.8513980706532797,0.8111319740613302,0.7288422385851542,0.8590190410614014,0.6423506339391073,0.5354629953702291,0.7113290627797445,0.8035710652669271,0.7770398457845052,0.08472091456254323,0.8540305495262146,19.333333333333332,0.8157379627227783,0.7770398457845052,0.768511950969696,0.8590190410614014,0.06838412086168925,0.6382676561673483,0.6887447039286295,0.5925925970077515,0.3433333333333333,0.6182669003804525,0.6737234989802042,0.08210283517837524,0.5854221781094869,0.8157379627227783,0.8267615834871928,0.7308868567148844,0.07006776581207912,0.8656147321065267,0.25,0.7268425822257996,0.08321649084488551,0.768511950969696,0.8467614650726318,0.8590619365374247,0.5391154885292053,0.970588207244873,0.7348263263702393,0.7122302055358887,0.07210178921620052,0.7674418687820435,0.8590619365374247,0.6048237482706705,0.7937668164571127,0.8035710652669271,0.8444444338480631,0.821576714515686,0.6984186371167501,0.8812636733055115,0.8111319740613302,0.8513980706532797,0.048020380927659735,0.12084338681161964,0.003461449914517388,0.08945240686728893,0.15583792742038008,0.003176813240600542,0.00734138646199888,0.046579135463400936,0.014840774941162396,0.0766847980040331,0.019178788724764046,0.010631419394736519,0.009255176878213414,0.019080536814629317,0.0049433800301287925,0.04593605797984769,2.081665999466132,0.004042112032243046,0.019080536814629317,0.018345843531742456,0.014840774941162396,0.0010220562264847781,0.049188511863131695,0.035683692653806824,0.18495357840819512,0.24583192089989722,0.09063253155320079,0.04977581137801746,0.004416097934634032,0.12097720299631205,0.004042112032243046,0.003461449914517388,0.09051162916873698,0.0044779188954115695,0.003433972778216491,0.0,0.035443330531036495,0.0003301216338588251,0.018345843531742456,0.046757190305541096,0.00673891237870461,0.14415862343326702,0.0,0.09399150808082696,0.0,0.008599566673203218,0.04028027054593168,0.00673891237870461,0.0794988410404634,0.07049363883500191,0.009255176878213414,0.08388706007038474,0.0,0.08926148191135456,0.051420853844544194,0.00734138646199888,0.003176813240600542
no_init_kenn_top_down_adapter_bert_ms,0.5043728103240331,0.462376410762469,0.8053337732950846,0.740196148554484,0.5479885141054789,0.8508220911026001,0.7725667556126913,0.7206457257270813,0.8575026194254557,0.5218071589867274,0.37280017137527466,0.7042484283447266,0.7667661507924398,0.7573709885279337,0.08529688666264217,0.8485839366912842,22.333333333333332,0.8034383455912272,0.7573709885279337,0.7092122435569763,0.8575026194254557,0.06770342340071996,0.49924059212207794,0.6004047095775604,0.564814825852712,0.3433333333333333,0.5248398582140604,0.5235959788163503,0.08157922327518463,0.45826766391595203,0.8034383455912272,0.8053337732950846,0.7186544338862101,0.06927978992462158,0.8654009501139323,0.25,0.6080085734526316,0.08319593717654546,0.7092122435569763,0.8404423594474792,0.8581511775652567,0.38223204265038174,0.970588207244873,0.7252225677172343,0.7122302055358887,0.07115928332010905,0.7441860636075338,0.8581511775652567,0.45690858860810596,0.7865639527638754,0.7667661507924398,0.8666666547457377,0.821576714515686,0.6069901684919993,0.8872549732526144,0.7725667556126913,0.8508220911026001,0.2363302082691707,0.28702044005710886,0.03842698490144481,0.10950150880861714,0.33370328277840805,0.004048814101827415,0.07018502085676315,0.07078868584339396,0.018597781241761445,0.25892149248938595,0.17021768626268477,0.03962208230986272,0.07044344581303669,0.0453190467123631,0.004571672017604775,0.05665799749410399,3.5118845842842457,0.018160913296852953,0.0453190467123631,0.11636369474595834,0.018597781241761445,0.003809096224086785,0.23900938116653436,0.15317175517025064,0.2157626083331571,0.23755701070129112,0.21526534595384053,0.2541892904736635,0.0054468555062857,0.2878433927573191,0.018160913296852953,0.03842698490144481,0.11323247053025456,0.006805321253827635,0.00627619065659087,0.0,0.21596992577080304,0.0006033597300517663,0.11636369474595834,0.058494501073258875,0.008430581071998152,0.2595621765766093,0.0,0.11778575175387643,0.0,0.010527007462386028,0.06152909580402048,0.008430581071998152,0.2774023588362847,0.08833931470984675,0.07044344581303669,0.1201850518832337,0.0,0.2819977397351886,0.04755432263524898,0.07018502085676315,0.004048814101827415
smart_init_box_adapter_bert_ms,0.4050283332665761,0.26269516348838806,0.8169759511947632,0.93137260278066,0.21079996724923453,0.8532306949297587,0.7634263237317404,0.4862045347690582,0.8802632888158163,0.39127786954243976,0.4043716490268707,0.3289760748545329,0.7837739189465841,0.7431559165318807,0.05016231909394264,0.9493464430173238,16.0,0.8058519760767618,0.7431559165318807,0.6840527256329855,0.8802632888158163,0.0316263505568107,0.40516360600789386,0.5510993599891663,0.9259259104728699,0.13,0.39344992240269977,0.4675748546918233,0.09126609812180202,0.2626334875822067,0.8058519760767618,0.8169759511947632,0.9174311955769857,0.046741618464390434,0.6729163726170858,0.17499999999999996,0.5500198900699615,0.06469129274288814,0.6840527256329855,0.943127969900767,0.8647541006406149,0.2614591370026271,0.970588207244873,0.9150158166885376,0.7857142686843872,0.08953817188739777,0.9302325447400411,0.8647541006406149,0.3158263365427653,0.9289088646570841,0.7837739189465841,0.8888888756434122,0.8684210181236267,0.338527907927831,0.5217865308125814,0.7634263237317404,0.8532306949297587,0.05631447476389508,0.04959026796731402,0.006688892732456172,0.054585937930175535,0.04232370679713873,0.002116785092232923,0.021089455067633323,0.0327650105638072,0.01155573554481917,0.06370834284176412,0.05610867470158572,0.023184962293223983,0.013733193219817901,0.007830026724183007,0.001900224612947774,0.03155750964754032,0.0,0.0029642141255723006,0.007830026724183007,0.03624996051401548,0.01155573554481917,0.002228903095577711,0.05624074918615136,0.030540648336653823,0.08486252081815324,0.09539392014169455,0.03719268805368866,0.05871892022364566,0.003033806491949176,0.0495357932466438,0.0029642141255723006,0.006688892732456172,0.07509496018469011,0.003149886992576408,0.008296454009180278,0.0,0.06023532845404746,0.0007975830435017453,0.03624996051401548,0.038793137992917934,0.005591071584678307,0.049467460740787485,0.0,0.07318626232648523,0.0,0.005247658099916137,0.08385003658205548,0.005591071584678307,0.057161910879083046,0.05488972948082027,0.013733193219817901,0.050917517693612704,0.0,0.05351641715386836,0.019766063020868283,0.021089455067633323,0.002116785092232923
smart_init_classifier_adapter_bert_ms,0.4323980510234833,0.3204491337140401,0.8184806903203329,0.7124183575312296,0.23738549649715424,0.8508482575416565,0.7817874352137247,0.4188208381334941,0.8570515314737955,0.46074291070302326,0.4404908021291097,0.29684100051720935,0.7886211077372233,0.7349614302317301,0.06283380215366681,0.8409586747487386,12.0,0.7910123268763224,0.7349614302317301,0.7183801929155985,0.8570515314737955,0.028537021329005558,0.4326159755388896,0.5392001072565714,0.7407407363255819,0.08666666666666667,0.41839438676834106,0.5099141200383505,0.08084615816672643,0.3195514480272929,0.7910123268763224,0.8184806903203329,0.7278287410736084,0.04026363665858904,0.7263811429341634,0.25,0.5893373489379883,0.0698311651746432,0.7183801929155985,0.8451816836992899,0.8588342467943827,0.3244294325510661,0.970588207244873,0.7223658164342245,0.7122302055358887,0.06848884622255962,0.7596899271011353,0.8588342467943827,0.39953242739041644,0.7844214042027792,0.7886211077372233,0.6666666666666666,0.821576714515686,0.34038659930229187,0.6535948117574056,0.7817874352137247,0.8508482575416565,0.012077602035867179,0.0473496799607281,0.002323529996418902,0.2206063935844127,0.057340746217103285,0.00788678044748954,0.014276383436231685,0.11372610532558113,0.03330006606870808,0.06992425589783133,0.027033981362288708,0.075911555211404,0.010950242958354613,0.007476276437069205,0.009054868129065174,0.11094676906000317,1.0,0.009655625403704887,0.007476276437069205,0.03430399677231663,0.03330006606870808,0.007297811960887786,0.013412482106728036,0.004825009905120806,0.21215626627668288,0.06110100926607787,0.03551226716125251,0.040401843126446436,0.010665952504474573,0.04768103921985414,0.009655625403704887,0.002323529996418902,0.2100763753725908,0.010933139681231191,0.02464207343982383,0.0,0.03589903363880567,0.00236897934376255,0.03430399677231663,0.10852286531544655,0.015640950997458165,0.04640633002703397,0.0,0.21090058734493095,0.0,0.021208151866607326,0.20973252768643957,0.015640950997458165,0.06453335427360415,0.15817546612591846,0.010950242958354613,0.2333333364554814,0.0,0.05350835818041781,0.09418842922751994,0.014276383436231685,0.00788678044748954
