name,test_pretraining/macro_types/f1/mean,test/macro_types/recall/mean,test_incremental/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/f1/mean,threshold_pretraining/mean,test_incremental/micro/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental_GPE-CITY/macro_types/f1/mean,test_pretraining/micro/precision/mean,epoch/mean,test_incremental_only/macro_example/precision/mean,test_incremental_GPE-CITY/macro_types/precision/mean,test_incremental_GPE-STATE_PROVINCE/macro_types/f1/mean,test_incremental/macro_types/recall/mean,test_incremental_GPE-CITY/macro_types/recall/mean,test_incremental_only/micro/recall/mean,test_incremental_only/macro_example/recall/mean,test_pretraining/micro/recall/mean,test_incremental/macro_types/f1/mean,test_incremental/micro/precision/mean,test_incremental_GPE-STATE_PROVINCE/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/precision/mean,test/macro_example/recall/mean,test/macro_types/precision/mean,test_incremental_GPE-COUNTRY/macro_types/recall/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_only/micro/f1/mean,test_pretraining/macro_types/precision/mean,test_incremental_GPE-COUNTRY/macro_types/f1/mean,threshold_incremental/mean,test_incremental_only/micro/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_GPE/macro_types/recall/mean,test_incremental_only/macro_types/precision/mean,test/micro/f1/mean,test/macro_example/f1/mean,test_pretraining/micro/f1/mean,test_incremental_GPE/macro_types/f1/mean,test/micro/precision/mean,test_pretraining/macro_example/recall/mean,test_pretraining/macro_example/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test/macro_types/f1/mean,test_pretraining/macro_types/recall/mean,test_incremental/macro_example/recall/mean,test_incremental/micro/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental/macro_example/precision/mean,test_incremental_GPE-COUNTRY/macro_types/precision/mean,test_incremental_GPE-STATE_PROVINCE/macro_types/precision/mean,test_incremental/macro_example/f1/mean,test_incremental_only/macro_types/recall/mean,test_incremental_GPE/macro_types/precision/mean,test/micro/recall/mean,test/macro_example/precision/mean,test_incremental_only/macro_types/f1/mean,test_pretraining/macro_types/f1/std,test/macro_types/recall/std,test_incremental/macro_types/precision/std,test_incremental_only/macro_example_exclusive/f1/std,threshold_pretraining/std,test_incremental/micro/f1/std,test_pretraining/macro_example/f1/std,test_incremental_GPE-CITY/macro_types/f1/std,test_pretraining/micro/precision/std,epoch/std,test_incremental_only/macro_example/precision/std,test_incremental_GPE-CITY/macro_types/precision/std,test_incremental_GPE-STATE_PROVINCE/macro_types/f1/std,test_incremental/macro_types/recall/std,test_incremental_GPE-CITY/macro_types/recall/std,test_incremental_only/micro/recall/std,test_incremental_only/macro_example/recall/std,test_pretraining/micro/recall/std,test_incremental/macro_types/f1/std,test_incremental/micro/precision/std,test_incremental_GPE-STATE_PROVINCE/macro_types/recall/std,test_incremental_only/macro_example_exclusive/precision/std,test/macro_example/recall/std,test/macro_types/precision/std,test_incremental_GPE-COUNTRY/macro_types/recall/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_only/micro/f1/std,test_pretraining/macro_types/precision/std,test_incremental_GPE-COUNTRY/macro_types/f1/std,threshold_incremental/std,test_incremental_only/micro/precision/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_GPE/macro_types/recall/std,test_incremental_only/macro_types/precision/std,test/micro/f1/std,test/macro_example/f1/std,test_pretraining/micro/f1/std,test_incremental_GPE/macro_types/f1/std,test/micro/precision/std,test_pretraining/macro_example/recall/std,test_pretraining/macro_example/precision/std,test_incremental/macro_example_exclusive/f1/std,test/macro_types/f1/std,test_pretraining/macro_types/recall/std,test_incremental/macro_example/recall/std,test_incremental/micro/recall/std,test_incremental_only/macro_example/f1/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental/macro_example/precision/std,test_incremental_GPE-COUNTRY/macro_types/precision/std,test_incremental_GPE-STATE_PROVINCE/macro_types/precision/std,test_incremental/macro_example/f1/std,test_incremental_only/macro_types/recall/std,test_incremental_GPE/macro_types/precision/std,test/micro/recall/std,test/macro_example/precision/std,test_incremental_only/macro_types/f1/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.8297425111134847,0.8339987397193909,0.7847732106844584,0.634422779083252,0.17499999999999996,0.7823017438252767,0.8330805699030558,0.6245324810345968,0.7972829143206278,26.333333333333332,0.06251963476339976,0.6997126340866089,0.8337329228719076,0.7091522415479025,0.5833333333333334,0.608562688032786,0.05953502903381983,0.8417577346165975,0.7449003656705221,0.7811087171236674,0.7555555502573649,0.6503268678983053,0.8414493401845297,0.825539747873942,0.5271317958831787,0.9460784792900085,0.68133012453715,0.825539747873942,0.5987326304117838,0.013333333333333334,0.7743450999259949,0.7903050978978475,0.970588207244873,0.7844595313072205,0.8189162214597067,0.8330805699030558,0.8189162214597067,0.8684210181236267,0.7972829143206278,0.8414493401845297,0.8248769442240397,0.8611790537834167,0.8297425111134847,0.8339987397193909,0.07597653816143672,0.7835703094800314,0.06099068745970726,0.6192810932795206,0.09095192948977153,0.7211251258850098,0.9325407942136129,0.0827900618314743,0.6220069328943888,0.7857142686843872,0.8417577346165975,0.8248769442240397,0.6935255726178488,0.003784274523646759,0.005987335810297419,0.011611897048288643,0.027604460800224773,0.0,0.008301494179414334,0.0007433633994408559,0.15060463222138584,0.0008065354143880927,8.386497083606082,0.0027207823149059816,0.043054582591637275,0.024830027678914086,0.028439821168993788,0.2222222387790687,0.026483955092282782,0.0025954640426704583,0.0019718166037974738,0.019185668840202594,0.005834674303082189,0.050917517693612656,0.028301499303284166,0.0010459362627051624,0.0024446139026457216,0.15131180559694277,0.004901945590972914,0.019474915339199816,0.0024446139026457216,0.09940430283175256,0.005773502691896258,0.014320135730977443,0.01370341335278639,0.0,0.015482558644552424,0.0011312854197380899,0.0007433633994408559,0.0011312854197380899,0.0,0.0008065354143880927,0.0010459362627051624,0.000658712161865693,0.009914383516686585,0.003784274523646759,0.005987335810297419,0.001317388342679292,0.013681308017395368,0.0026537733997695247,0.026997865272811006,0.0004712529480506266,0.04284870696788456,0.01911858038578899,0.0009531325648966463,0.03791981169754222,0.0,0.0019718166037974738,0.000658712161865693,0.027653067929692608
no_init_box_kenn_horizontal_adapter_bert_ms,0.8222248156865438,0.816139837106069,0.7984146277109782,0.5166897773742676,0.17499999999999996,0.7546690702438354,0.8314810395240784,0.5615384678045908,0.7979521751403809,26.0,0.051209550350904465,0.7045454581578573,0.7478014230728149,0.6243223349253336,0.48148149251937866,0.4984709620475769,0.04822494462132454,0.8335610230763754,0.7005766828854879,0.7850397229194641,0.6111111044883728,0.5326797962188721,0.8376531600952148,0.8284116387367249,0.4341085304816564,0.9542484283447266,0.6090267101923624,0.8284116387367249,0.5174896915753683,0.01,0.784114936987559,0.7314815521240234,0.970588207244873,0.8026480873425802,0.8153666853904724,0.8314810395240784,0.8153666853904724,0.8684210181236267,0.7979521751403809,0.8376531600952148,0.8254005710283915,0.8280601898829142,0.8222248156865438,0.816139837106069,0.07032149533430736,0.7266982595125834,0.04967234035332998,0.5016340514024099,0.09173735231161119,0.7367321054140726,0.9666666587193807,0.07960615803798039,0.5089003841082255,0.7857142686843872,0.8335610230763754,0.8254005710283915,0.6225944956143697,0.0018991158121697618,0.003496125395219344,0.013135625241565243,0.028859410613227453,0.0,0.006426132169872353,0.0003322488062899338,0.15412367583619108,0.0005397263578682374,2.0,0.002879406732683408,0.08359120959131609,0.021128538499798257,0.016606596878383898,0.1849535560284611,0.028028001772552946,0.0026796612978993344,0.0020867784479407687,0.010145258066508449,0.003993527959941454,0.03849001565179121,0.02995147334518329,0.0010624874669097593,0.0027654067925253238,0.22103221666034925,0.01132059283876212,0.01847752236554875,0.0027654067925253238,0.17923394546546184,0.0,0.011473624590756883,0.014275985499324675,0.0,0.017514151973393885,0.0007789130486548932,0.0003322488062899338,0.0007789130486548932,0.0,0.0005397263578682374,0.0010624874669097593,0.0009057944532756843,0.009225488330657183,0.0018991158121697618,0.003496125395219344,0.001372430730428499,0.014478902932645706,0.0027744229547870657,0.027873725528216008,0.0010883120656424291,0.08150475822999102,0.028867520342032812,0.0008868976996102243,0.02214213636528938,0.0,0.0020867784479407687,0.0009057944532756843,0.01573034488921175
no_init_box_kenn_hybrid_adapter_bert_ms,0.8323320746421814,0.8383167187372843,0.7891665697097778,0.6671220262845358,0.17499999999999996,0.7894021073977152,0.8338044087092081,0.6354317367076874,0.797039806842804,24.333333333333332,0.06566132356723149,0.6756944457689921,0.8337329228719076,0.7296625375747681,0.6111111243565878,0.639143725236257,0.06267672032117844,0.8440345923105875,0.7578598658243815,0.7800065279006958,0.7555555502573649,0.6830065846443176,0.8426013191541036,0.8264646530151367,0.5813953479131063,0.9493464628855387,0.6989585757255554,0.8264646530151367,0.6327304244041443,0.01,0.7732168237368265,0.8066449364026388,0.970588207244873,0.7903173168500265,0.8198610146840414,0.8338044087092081,0.8198610146840414,0.8684210181236267,0.797039806842804,0.8426013191541036,0.8251911203066508,0.8721046050389608,0.8323320746421814,0.8383167187372843,0.07754738380511601,0.7993681033452352,0.06413425008455913,0.6519608298937479,0.09126610060532887,0.7627166906992594,0.9325407942136129,0.08384039501349132,0.6493540207544962,0.7857142686843872,0.8440345923105875,0.8251911203066508,0.7122377157211304,0.003927704044968237,0.004486688201108618,0.03408972710540832,0.028571195557000797,0.0,0.0053582807230109575,0.0002970789991701659,0.15244640600542766,0.0022266536251401084,4.932882862316247,0.0028794112037721408,0.08004810909600671,0.024830027678914086,0.021311741560905,0.20971763241259814,0.028027975758962338,0.002623831391745633,0.0020867784479407687,0.017596525684093537,0.01565288542393996,0.050917517693612656,0.02995147334518329,0.001030049725651882,0.007176791826706358,0.22184634109565365,0.010204246873300644,0.011313891610483644,0.007176791826706358,0.13202822419009863,0.0,0.03800256197882177,0.014087713665996328,0.0,0.04545298541835111,0.0007771369437156354,0.0002970789991701659,0.0007771369437156354,0.0,0.0022266536251401084,0.001030049725651882,0.0012175931390138316,0.0066217163285389805,0.003927704044968237,0.004486688201108618,0.0013543291116620885,0.014478902932645706,0.0027467161767583694,0.027292942201823222,0.0009809906425732942,0.10976053195933902,0.01911858038578899,0.0006365810165650837,0.02841562686841736,0.0,0.0020867784479407687,0.0012175931390138316,0.02248587451594648
no_init_box_kenn_top_down_adapter_bert_ms,0.830956220626831,0.8451075752576193,0.7455880443255106,0.7161665360132853,0.17499999999999996,0.785224437713623,0.8330267071723938,0.6166944205760956,0.7925992409388224,26.333333333333332,0.0703738604982694,0.590273509422938,0.8431456089019775,0.7619192004203796,0.6481481492519379,0.6850153009096781,0.06738925228516261,0.8474499185880026,0.753418485323588,0.7511289119720459,0.7777777910232544,0.732026219367981,0.8442768851915995,0.8172902464866638,0.6511627733707428,0.9411765336990356,0.6965945561726888,0.8172902464866638,0.6541997790336609,0.013333333333333334,0.7106465299924215,0.8311547438303629,0.970588207244873,0.7322126428286234,0.8191022078196207,0.8330267071723938,0.8191022078196207,0.8684210181236267,0.7925992409388224,0.8442768851915995,0.8220755855242411,0.8826747536659241,0.830956220626831,0.8451075752576193,0.07990365475416183,0.8230647643407186,0.06884918361902237,0.7009804447491964,0.09048067778348924,0.6835351983706156,0.9228291908899943,0.08485656728347142,0.6923629442850748,0.7857142686843872,0.8474499185880026,0.8220755855242411,0.7112569212913513,0.002640762726964861,0.005248647566459314,0.01652069751417905,0.038272718939513055,0.0,0.005277704208399742,0.00020754653134262853,0.14598896590777857,0.0025165575392924722,8.386497083606082,0.0038090956095738486,0.11123109107997121,0.013507168623649445,0.024931118911108646,0.18495356498035648,0.037077558760076096,0.003557887162573219,0.002760564384663967,0.012446001535696577,0.01568207479445058,0.03849001565179121,0.039622104432317104,0.0012961526971793135,0.0034780570057856798,0.21314304990777178,0.0,0.011676080775234137,0.0034780570057856798,0.12668812207078642,0.005773502691896258,0.03180970179652384,0.018938239841276214,0.0,0.02202756329273545,0.0007743654259744774,0.00020754653134262853,0.0007743654259744774,0.0,0.0025165575392924722,0.0012961526971793135,0.001551745394710313,0.010658523849825907,0.002640762726964861,0.005248647566459314,0.0018206444013158527,0.01915379926965417,0.0036793726496792494,0.037008968413074196,0.0,0.041551522078113384,0.033817107573897304,0.0010246696493580267,0.033241473322636855,0.0,0.002760564384663967,0.001551745394710313,0.01722329881842674
no_init_kenn_bottom_up_adapter_bert_ms,0.821541448434194,0.8717802365620931,0.6179864207903544,0.8144377867380778,0.25,0.7302110393842062,0.8250562151273092,0.571307490269343,0.7633588314056396,13.333333333333334,0.07681432366371155,0.49169755975405377,0.7564102411270142,0.8543826540311178,0.7407407561937968,0.8103975653648376,0.07995601246754329,0.8649817705154419,0.7140191992123922,0.6252094705899557,0.899999996026357,0.7990196744600931,0.85433030128479,0.7769807974497477,0.8062015374501547,0.8948802351951599,0.6542684237162272,0.7769807974497477,0.6907661159833273,0.13333333333333333,0.5624307990074158,0.8954248825709025,0.970588207244873,0.5865718523661295,0.8108482559521993,0.8250562151273092,0.8108482559521993,0.821576714515686,0.7633588314056396,0.85433030128479,0.7978427012761434,0.894761323928833,0.821541448434194,0.8717802365620931,0.08608231445153554,0.887835701306661,0.0782965545852979,0.8316994110743204,0.08602994680404663,0.6099227666854858,0.6580952405929565,0.08601851761341095,0.8156474431355795,0.7122302055358887,0.8649817705154419,0.7978427012761434,0.6763728658358256,0.007580632656236118,0.007954863353163815,0.08030704471592885,0.0328827466038588,0.0,0.05798298184733827,0.007936904014198947,0.21584660207097217,0.02250894359814846,0.5773502691896258,0.0016991277011058484,0.24341079843094174,0.05121785631545001,0.037785751066426516,0.06990587615506265,0.05530012800900537,0.005681163599670309,0.0041172864699535305,0.048824225302405946,0.08995457052629663,0.057735040684065715,0.01767428230321403,0.0018625533624922067,0.016906735425221864,0.14951396859267602,0.017007071759242934,0.09037093199955826,0.016906735425221864,0.07306631993755396,0.09073771725877466,0.1354203588474065,0.029547584285478556,0.0,0.10707606452480968,0.011462813093176656,0.007936904014198947,0.011462813093176656,0.0,0.02250894359814846,0.0018625533624922067,0.0159171071989223,0.007689930354193911,0.007580632656236118,0.007954863353163815,0.0028405780916729672,0.02856735049828611,0.0031612074706856667,0.059095231197701846,0.0016349848019690768,0.060974119400338214,0.08525272684425823,0.0007392771249298798,0.0503809796092811,0.0,0.0041172864699535305,0.0159171071989223,0.06716298747933795
no_init_kenn_horizontal_adapter_bert_ms,0.8069037596384684,0.8714017073313395,0.4964342514673869,0.8119684060414633,0.25,0.6469528675079346,0.8128454089164734,0.42014648020267487,0.7329361836115519,13.333333333333334,0.07629071176052094,0.30709660053253174,0.6045377453168234,0.8525846004486084,0.7314814925193787,0.8134556611378988,0.07995601743459702,0.8652094602584839,0.6256330211957296,0.5135729511578878,0.8555555542310079,0.7935730417569479,0.8545921047528585,0.7513908545176188,0.8527131676673889,0.9025055170059204,0.5288001596927643,0.7513908545176188,0.6238781809806824,0.04,0.40027840932210285,0.89596954981486,0.970588207244873,0.42450225353240967,0.7933086156845093,0.8128454089164734,0.7933086156845093,0.821576714515686,0.7329361836115519,0.8545921047528585,0.7752016186714172,0.8991086880366007,0.8069037596384684,0.8714017073313395,0.08613467216491699,0.8894154826800028,0.07805916666984558,0.8316994309425354,0.08676301191250484,0.4954134126504262,0.4709967374801636,0.08643645544846852,0.8132501244544983,0.7122302055358887,0.8652094602584839,0.7752016186714172,0.5540000398953756,0.0062071677635246614,0.003265343576520697,0.060434674658148106,0.01732399347619948,0.0,0.07646414976239316,0.011738547098788611,0.1805615297742535,0.03264358124744902,0.5773502691896258,0.001416668681668826,0.16076059737755014,0.06402313489032466,0.015510477583876746,0.06990588010247836,0.026483955092282782,0.0030297325673609224,0.0019718510165551636,0.04576016910690599,0.09571072848953113,0.019245025032274446,0.014736122643332761,0.0010692878680928573,0.01272308120771848,0.11705169327425247,0.012691917309732964,0.0993739010443922,0.01272308120771848,0.029070992252482938,0.02,0.11092630281639099,0.015182309919678018,0.0,0.08057953586584986,0.018542277682109802,0.011738547098788611,0.018542277682109802,0.0,0.03264358124744902,0.0010692878680928573,0.021982394989193257,0.006062038300050809,0.0062071677635246614,0.003265343576520697,0.0014595625659148252,0.013681308017395368,0.001665452250175287,0.031515224500097895,0.0012201460739643163,0.028550900691807757,0.07696559455513094,0.0005827806061356207,0.02068064799099141,0.0,0.0019718510165551636,0.021982394989193257,0.06765386899283539
no_init_kenn_hybrid_adapter_bert_ms,0.8263717095057169,0.8764699300130209,0.6406259536743164,0.8457581798235575,0.25,0.7575464049975077,0.8288618127504984,0.6104091902573904,0.7705307602882385,13.666666666666666,0.0796418438355128,0.5244616270065308,0.796457310517629,0.8766586979230245,0.750000019868215,0.8409786025683085,0.08309770375490189,0.8672586480776469,0.7393946647644043,0.6533332467079163,0.9333333373069764,0.8284314274787903,0.8553513685862223,0.7817470033963522,0.8527131875356039,0.897058924039205,0.700122594833374,0.7817470033963522,0.7230515678723654,0.14,0.6035337249437968,0.9117647608121237,0.970588207244873,0.616757889588674,0.8160085082054138,0.8288618127504984,0.8160085082054138,0.821576714515686,0.7705307602882385,0.8553513685862223,0.8039794564247131,0.9042448401451111,0.8263717095057169,0.8764699300130209,0.08765315512816112,0.9036334951718649,0.0813075602054596,0.8643791278203329,0.08623939255873363,0.6309401790301005,0.6948718031247457,0.08693022032578786,0.8453488747278849,0.7122302055358887,0.8672586480776469,0.8039794564247131,0.711535116036733,0.0051284415609767,0.0019938740233079047,0.04911527599229553,0.004919061029659601,0.0,0.0289305047571696,0.0028562291425183006,0.15413356176981077,0.010269173797192731,0.5773502691896255,0.0016991287343118152,0.1773328836756055,0.017184292621889734,0.009470795648283263,0.0734930932255966,0.019097859247974802,0.0019619824781899548,0.001421888584241086,0.03078777204497357,0.04655958655242323,0.0,0.017674274037532484,0.0006348613027138832,0.010340052946521192,0.10741398596363572,0.014244760103181387,0.049390669169152746,0.010340052946521192,0.0592120090881169,0.060000000000000005,0.07854865778846702,0.010204213467961189,0.0,0.06548704597689867,0.005223692466640767,0.0028562291425183006,0.005223692466640767,0.0,0.010269173797192731,0.0006348613027138832,0.005789182920135818,0.0031597907660957775,0.0051284415609767,0.0019938740233079047,0.0009809918356210097,0.009865698109094477,0.00047289193032047004,0.020408493746601173,0.0013694310275374152,0.058178208750481304,0.02602279439726762,0.0003037687045671162,0.01262765570544764,0.0,0.001421888584241086,0.005789182920135818,0.04144398275722369
no_init_kenn_top_down_adapter_bert_ms,0.8102656205495199,0.8759826024373373,0.5075289905071259,0.8511892755826315,0.25,0.6628212332725525,0.8173881371816,0.4313402473926544,0.7387046019236246,14.0,0.08089851836363475,0.30564213295777637,0.7068005800247192,0.8743438720703125,0.7407407561937968,0.8379204869270325,0.08278353760639827,0.8670309782028198,0.6421182155609131,0.5239145159721375,0.9333333373069764,0.8415033221244812,0.8552466432253519,0.753726601600647,0.8527131875356039,0.9079521497090658,0.5480480194091797,0.753726601600647,0.5809067587057749,0.17,0.4072427848974864,0.9101307988166809,0.970588207244873,0.4392952521642049,0.7977385918299357,0.8173881371816,0.7977385918299357,0.821576714515686,0.7387046019236246,0.8552466432253519,0.782741645971934,0.9090370337168375,0.8102656205495199,0.8759826024373373,0.0874960720539093,0.902053713798523,0.08182968199253082,0.8611111640930176,0.08728662381569545,0.4427681863307953,0.5694753726323446,0.08739091952641805,0.8422624667485555,0.7122302055358887,0.8670309782028198,0.782741645971934,0.5771459937095642,0.002787336604045903,0.0012475746255571035,0.02023747170465271,0.015979470911972538,0.0,0.005674513878480101,0.0014675835076021963,0.09773482081109995,0.0020852310496487854,0.0,0.0016549916209629351,0.08094878009705811,0.031122844923641108,0.005925799697172421,0.0892930711861114,0.014013981376094832,0.0014397056018860687,0.001043405482454974,0.017101802245295852,0.0068043558551122065,0.0,0.017215098269767977,0.0004712641242307519,0.004260529974222908,0.10741398596363572,0.01147672935115608,0.008637271145305351,0.004260529974222908,0.1305976108917375,0.03,0.008567726757963747,0.007487878091404093,0.0,0.02698327596823508,0.0011952286550303266,0.0014675835076021963,0.0011952286550303266,0.0,0.0020852310496487854,0.0004712641242307519,0.0025437739733116913,0.009474235948888543,0.002787336604045903,0.0012475746255571035,0.0007198532074106939,0.007239435207829559,0.0015362067245450197,0.014975756182808338,0.0011033243292907717,0.12310361790444657,0.04023244131171257,0.0009108105623305682,0.007901019695416607,0.0,0.001043405482454974,0.0025437739733116913,0.024319878007494893
smart_init_box_adapter_bert_ms,0.8078696131706238,0.8886929551760355,0.3810669680436452,0.5110320250193278,0.17499999999999996,0.5316704412301382,0.8159963488578796,0.3949650625387828,0.670563797156016,10.0,0.03330191969871521,0.2477263162533442,0.3182748854160309,0.9689498146375021,0.9907407363255819,0.9724770585695901,0.09362237155437471,0.868852456410726,0.546423057715098,0.36722467343012494,0.9222222169240316,0.3464052677154541,0.8548277417818705,0.7405489484469095,0.9922480583190918,0.5059913396835327,0.3916028340657552,0.7405489484469095,0.45653488238652545,0.06,0.24618370334307352,0.9733115832010903,0.970588207244873,0.24618454774220785,0.7567280332247416,0.8159963488578796,0.7567280332247416,0.8684210181236267,0.670563797156016,0.8548277417818705,0.7805805802345276,0.6658344666163126,0.8078696131706238,0.8886929551760355,0.09357000390688579,0.971563994884491,0.04912842810153961,0.973856250445048,0.048643836130698524,0.29783883690834045,0.19298846026261648,0.06401047110557556,0.9684037168820699,0.7857142686843872,0.868852456410726,0.7805805802345276,0.3912627200285594,0.002913609139717625,0.002563647210825663,0.029762770121799093,0.007719366570342149,0.0,0.04924124846688377,0.005111703165771403,0.05208950674622409,0.026770910585024822,0.0,0.0005441560328212146,0.041316967814390905,0.03997753160232424,0.012177332854611391,0.016037515124769086,0.015890366172818145,0.0010883120656424291,0.0011830761971753842,0.029138850195435967,0.04747338641799223,0.01924502503227456,0.00566029641938106,0.0004534569082922836,0.006265873482664298,0.013426756848643893,0.0009433913397529364,0.04966321434835926,0.006265873482664298,0.05570073103811819,0.04582575694955839,0.039685006510192994,0.0066036705527551505,0.0,0.03968369981502388,0.016755496693336442,0.005111703165771403,0.016755496693336442,0.0,0.026770910585024822,0.0004534569082922836,0.009667823993085453,0.002364087628888431,0.002913609139717625,0.002563647210825663,0.000634846554160726,0.008208784810437235,0.0007421025167409767,0.011320627251519833,9.06926721368686e-05,0.047917769440921305,0.029830720092207903,0.00022727905826943416,0.016236455277067633,0.0,0.0011830761971753842,0.009667823993085453,0.04954375361374557
smart_init_classifier_adapter_bert_ms,0.811892588933309,0.8714561065038046,0.5372771918773651,0.688632051150004,0.25,0.694100042184194,0.8249224623044332,0.49192144473393756,0.7510767579078674,16.666666666666668,0.05806890750924746,0.37265545129776,0.6147025724252065,0.8528429865837097,0.7314814726511637,0.8165137569109598,0.0791705921292305,0.8654371698697408,0.6581744352976481,0.5695968369642893,0.8333333333333334,0.6040305495262146,0.8543302814165751,0.7599893808364868,0.8759689927101135,0.7644336422284445,0.5948130091031393,0.7599893808364868,0.6863310138384501,0.16,0.4703422288099925,0.8937909007072449,0.970588207244873,0.4789595405260722,0.8041723966598511,0.8249224623044332,0.8041723966598511,0.821576714515686,0.7510767579078674,0.8543302814165751,0.7974791725476583,0.822391152381897,0.811892588933309,0.8714561065038046,0.08592522641023,0.8909952640533447,0.0662021314104398,0.8235294620196024,0.07348936920364697,0.5648687283198038,0.49935442209243774,0.07906116048494975,0.813594659169515,0.7122302055358887,0.8654371698697408,0.7974791725476583,0.6006503800551096,0.013903819254779662,0.011032294929479247,0.07962631741077372,0.17117397291421987,0.0,0.06095416532820511,0.004445435827709783,0.021748450659970508,0.016655036964961803,6.6583281184793925,0.020200682712724505,0.024657598836114427,0.16693598654211142,0.052403406842000684,0.08929304955361572,0.07281883960016236,0.007757812346278418,0.005421603811786786,0.07413684286755275,0.06819279532394688,0.057735040684065646,0.21012676798631988,0.0026218711740720185,0.016763435244373414,0.11933956718870527,0.11167536252897245,0.09931249087154262,0.016763435244373414,0.12073105548870049,0.03464101615137756,0.10169755872838893,0.03975661547540734,0.0,0.1061684290532433,0.011611854858700123,0.004445435827709783,0.011611854858700123,0.0,0.016655036964961803,0.0026218711740720185,0.006238289593172944,0.07976166681205384,0.013903819254779662,0.011032294929479247,0.003822030653257876,0.03761732143634192,0.01645593082767778,0.0806964496502618,0.010735989039672343,0.11311537119032845,0.18358329434342582,0.007667944635377527,0.06987120912266759,0.0,0.005421603811786786,0.006238289593172944,0.1019555342103663
