name,instance,run_id,test_pretraining/macro_types/f1,test/macro_types/recall,test_incremental/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,threshold_pretraining,test_incremental/micro/f1,test_pretraining/macro_example/f1,test_incremental_GPE-CITY/macro_types/f1,test_pretraining/micro/precision,epoch,test_incremental_only/macro_example/precision,test_incremental_GPE-CITY/macro_types/precision,test_incremental_GPE-STATE_PROVINCE/macro_types/f1,test_incremental/macro_types/recall,test_incremental_GPE-CITY/macro_types/recall,test_incremental_only/micro/recall,test_incremental_only/macro_example/recall,test_pretraining/micro/recall,test_incremental/macro_types/f1,test_incremental/micro/precision,test_incremental_GPE-STATE_PROVINCE/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test/macro_example/recall,test/macro_types/precision,test_incremental_GPE-COUNTRY/macro_types/recall,test_incremental/macro_example_exclusive/precision,test_incremental_only/micro/f1,test_pretraining/macro_types/precision,test_incremental_GPE-COUNTRY/macro_types/f1,threshold_incremental,test_incremental_only/micro/precision,test_incremental/macro_example_exclusive/recall,test_incremental_GPE/macro_types/recall,test_incremental_only/macro_types/precision,test/micro/f1,test/macro_example/f1,test_pretraining/micro/f1,test_incremental_GPE/macro_types/f1,test/micro/precision,test_pretraining/macro_example/recall,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/f1,test/macro_types/f1,test_pretraining/macro_types/recall,test_incremental/macro_example/recall,test_incremental/micro/recall,test_incremental_only/macro_example/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental/macro_example/precision,test_incremental_GPE-COUNTRY/macro_types/precision,test_incremental_GPE-STATE_PROVINCE/macro_types/precision,test_incremental/macro_example/f1,test_incremental_only/macro_types/recall,test_incremental_GPE/macro_types/precision,test/micro/recall,test/macro_example/precision,test_incremental_only/macro_types/f1
no_init_box_kenn_horizontal_adapter_bert_ms,2,u5ivx55q,0.822497546672821,0.8137621283531189,0.8127164840698242,0.4848485589027405,0.175,0.748129665851593,0.83145672082901,0.6666666269302368,0.7985564470291138,24,0.048067860305309296,0.6969696879386902,0.7599999904632568,0.6130281686782837,0.6388888955116272,0.4678899049758911,0.045240338891744614,0.8312841653823853,0.6988882422447205,0.7894737124443054,0.6333333253860474,0.5000000596046448,0.8365535736083984,0.8314225673675537,0.20930232107639313,0.960784375667572,0.589595377445221,0.8314225673675537,0.3333333134651184,0.01,0.796875,0.7156863212585449,0.970588207244873,0.8217172026634216,0.8145917057991028,0.83145672082901,0.8145917057991028,0.8684210181236267,0.7985564470291138,0.8365535736083984,0.8264216184616089,0.8203187584877014,0.822497546672821,0.8137621283531189,0.06880301237106323,0.7109004855155945,0.04661126062273979,0.4705882966518402,0.09236568957567216,0.8181818127632141,0.949999988079071,0.07886193692684174,0.4938415288925171,0.7857142686843872,0.8312841653823853,0.8264216184616089,0.6169213056564331
no_init_box_kenn_horizontal_adapter_bert_ms,1,4odnak19,0.8239728212356567,0.820154070854187,0.7956383228302002,0.5411232113838196,0.175,0.7609755992889404,0.831824779510498,0.6333333849906921,0.7977821230888367,26,0.05372290313243866,0.7916666865348816,0.7599999904632568,0.6433899402618408,0.5277777910232544,0.5229358077049255,0.05042412877082825,0.8353825211524963,0.7114602327346802,0.7839195728302002,0.6333333253860474,0.5588235855102539,0.8386741876602173,0.8278271555900574,0.44186046719551086,0.960784375667572,0.6263736486434937,0.8278271555900574,0.5277777314186096,0.01,0.7808219194412231,0.7434641122817993,0.970588207244873,0.7989463806152344,0.8161494731903076,0.831824779510498,0.8161494731903076,0.8684210181236267,0.7977821230888367,0.8386741876602173,0.8250864148139954,0.8382682800292969,0.8239728212356567,0.820154070854187,0.07147344946861267,0.7393364906311035,0.052021272480487823,0.524509847164154,0.09236568957567216,0.6551724076271057,0.949999988079071,0.08058752119541168,0.5343238711357117,0.7857142686843872,0.8353825211524963,0.8250864148139954,0.640374481678009
no_init_box_kenn_horizontal_adapter_bert_ms,0,tir240ba,0.8202040791511536,0.8145033121109009,0.7868890762329102,0.5240975618362427,0.175,0.7549019455909729,0.831161618232727,0.3846153914928436,0.7975179553031921,28,0.05183788761496544,0.625,0.7234042882919312,0.6165488958358765,0.2777777910232544,0.5045871734619141,0.04901036620140076,0.8340163826942444,0.691381573677063,0.7817258834838867,0.5666666626930237,0.5392157435417175,0.8377317190170288,0.8259851932525635,0.6511628031730652,0.9411765336990356,0.6111111044883728,0.8259851932525635,0.6913580298423767,0.01,0.7746478915214539,0.7352942228317261,0.970588207244873,0.7872806787490845,0.8153588771820068,0.831161618232727,0.8153588771820068,0.8684210181236267,0.7975179553031921,0.8377317190170288,0.8246936798095703,0.8255935311317444,0.8202040791511536,0.8145033121109009,0.07068802416324615,0.7298578023910522,0.050384487956762314,0.5098040103912354,0.09048067778348924,0.7368420958518982,1.0,0.07936901599168777,0.49853575229644775,0.7857142686843872,0.8340163826942444,0.8246936798095703,0.610487699508667
no_init_box_kenn_hybrid_adapter_bert_ms,2,4a1zp21c,0.8357945084571838,0.8368955254554749,0.8282667994499207,0.6418201327323914,0.175,0.7923628091812134,0.8340506553649902,0.7631579041481018,0.7996109127998352,30,0.06314796954393387,0.7250000238418579,0.8363636136054993,0.7229118943214417,0.8055555820465088,0.6146789193153381,0.060320451855659485,0.8422130942344666,0.7720115780830383,0.7980769276618958,0.7666666507720947,0.6568627953529358,0.8416588306427002,0.8346962928771973,0.3488371968269348,0.960784375667572,0.7015707492828369,0.8346962928771973,0.4999999403953552,0.01,0.8170731663703918,0.7941176891326904,0.970588207244873,0.8424509763717651,0.8203592896461487,0.8340506553649902,0.8203592896461487,0.8684210181236267,0.7996109127998352,0.8416588306427002,0.826578676700592,0.8695366382598877,0.8357945084571838,0.8368955254554749,0.07634307444095612,0.7867298722267151,0.061701834201812744,0.6274510622024536,0.09236568957567216,0.8823529481887817,0.9200000166893004,0.08359353244304657,0.6403532028198242,0.7857142686843872,0.8422130942344666,0.826578676700592,0.7276297211647034
no_init_box_kenn_top_down_adapter_bert_ms,2,9p11ypxj,0.8316470980644226,0.8423218727111816,0.7643467783927917,0.6810551881790161,0.175,0.7870370149612427,0.8332614898681641,0.7435897588729858,0.7954983711242676,36,0.06691800057888031,0.6904761791229248,0.8421052694320679,0.7486870884895325,0.8055555820465088,0.6513761281967163,0.06409047544002533,0.8449453711509705,0.7564358711242676,0.7692307829856873,0.800000011920929,0.6960784792900085,0.8429940342903137,0.8212394714355469,0.41860464215278625,0.9411765336990356,0.696078360080719,0.8212394714355469,0.52173912525177,0.01,0.7473683953285217,0.8137255907058716,0.970588207244873,0.7572242617607117,0.8194766044616699,0.8332614898681641,0.8194766044616699,0.8684210181236267,0.7954983711242676,0.8429940342903137,0.8237511515617371,0.8728229403495789,0.8316470980644226,0.8423218727111816,0.07822808623313904,0.8056871891021729,0.06547372788190842,0.6666667461395264,0.09048067778348924,0.692307710647583,0.8888888955116272,0.08390945196151733,0.6747201085090637,0.7857142686843872,0.8449453711509705,0.8237511515617371,0.7135953903198242
no_init_box_kenn_bottom_up_adapter_bert_ms,2,78sn5i4b,0.8332095742225647,0.8381195068359375,0.7981547713279724,0.6516291499137878,0.175,0.7895981073379517,0.8338015675544739,0.7631579041481018,0.7981888651847839,36,0.06409047544002533,0.7250000238418579,0.8363636136054993,0.7287258505821228,0.8055555820465088,0.6238532066345215,0.061262957751750946,0.8428961634635925,0.7618618011474609,0.7877358198165894,0.7666666507720947,0.6666667461395264,0.8421300649642944,0.828356921672821,0.3720930218696594,0.9460784792900084,0.6974358558654785,0.828356921672821,0.5,0.01,0.7906976938247681,0.7990196943283081,0.970588207244873,0.8023016452789307,0.8199335932731628,0.8338015675544739,0.8199335932731628,0.8684210181236267,0.7981888651847839,0.8421300649642944,0.8256362080574036,0.8663527965545654,0.8332095742225647,0.8381195068359375,0.07681432366371155,0.7914692163467407,0.0626448318362236,0.6372549533843994,0.09095192700624466,0.761904776096344,0.9200000166893004,0.08328744769096375,0.6481051445007324,0.7857142686843872,0.8428961634635925,0.8256362080574036,0.7170069217681885
no_init_box_kenn_hybrid_adapter_bert_ms,1,kgrh82zt,0.8331376910209656,0.8433418869972229,0.7735520005226135,0.6981080174446106,0.175,0.7926267385482788,0.8338881134986877,0.6764706373214722,0.7957611083984375,21,0.06880301982164383,0.71875,0.8571428656578064,0.7535320520401001,0.6388888955116272,0.6697247624397278,0.06550424546003342,0.8463114500045776,0.763410747051239,0.7713004350662231,0.800000011920929,0.7156863212585449,0.8437008857727051,0.8231773376464844,0.604651153087616,0.9460784792900084,0.7087379097938538,0.8231773376464844,0.6341463327407837,0.01,0.7525773048400879,0.8218954801559448,0.970588207244873,0.7694978713989258,0.8202582001686096,0.8338881134986877,0.8202582001686096,0.8684210181236267,0.7957611083984375,0.8437008857727051,0.82430100440979,0.879625678062439,0.8331376910209656,0.8433418869972229,0.07901350408792496,0.8151658773422241,0.06711311638355255,0.6813725829124451,0.09095193445682526,0.6666666865348816,0.9230769276618958,0.08456343412399292,0.6811800003051758,0.7857142686843872,0.8463114500045776,0.82430100440979,0.7226505279541016
no_init_box_kenn_top_down_adapter_bert_ms,1,1t6vlptj,0.8331828713417053,0.851161777973175,0.7392113208770752,0.7569643259048462,0.175,0.7893570065498352,0.8329509496688843,0.649350643157959,0.7909783720970154,21,0.0744580551981926,0.6097561120986938,0.8571428656578064,0.7906767129898071,0.6944444179534912,0.7247706651687622,0.07115928083658218,0.8504098653793335,0.7640783786773682,0.7416666746139526,0.800000011920929,0.7745099067687988,0.8455859422683716,0.8159477710723877,0.6976743936538696,0.9411765336990356,0.7085201740264893,0.8159477710723877,0.6666666269302368,0.01,0.6929824352264404,0.851307213306427,0.970588207244873,0.723710298538208,0.8196182250976562,0.8329509496688843,0.8196182250976562,0.8684210181236267,0.7909783720970154,0.8455859422683716,0.820688009262085,0.8939889669418335,0.8331828713417053,0.851161777973175,0.08184102922677994,0.8436018824577332,0.07277130335569382,0.7401961088180542,0.09048067778348924,0.6382978558540344,0.9230769276618958,0.0859442725777626,0.7307062745094299,0.7857142686843872,0.8504098653793335,0.820688009262085,0.7271915078163147
no_init_box_kenn_bottom_up_adapter_bert_ms,1,tvlteqh7,0.8303123116493225,0.8367459177970886,0.7773499488830566,0.6490566730499268,0.175,0.7840375304222107,0.8331234455108643,0.6461538076400757,0.7966430187225342,21,0.06409048289060593,0.7241379022598267,0.8571428656578064,0.7222013473510742,0.5833333134651184,0.6238532066345215,0.060791708528995514,0.8428961634635925,0.7487615346908569,0.7767441868782043,0.800000011920929,0.6666667461395264,0.8419729471206665,0.8239769339561462,0.5348837375640869,0.9509804248809814,0.6868686676025391,0.8239769339561462,0.5974026322364807,0.01,0.7640449404716492,0.7973856925964355,0.970588207244873,0.7745618224143982,0.8191171288490295,0.8331234455108643,0.8191171288490295,0.8684210181236267,0.7966430187225342,0.8419729471206665,0.8244580626487732,0.8674363493919373,0.8303123116493225,0.8367459177970886,0.076657235622406,0.7914692163467407,0.06239752843976021,0.6323529481887817,0.09142318367958067,0.6764705777168274,0.9230769276618958,0.08339161425828934,0.6394057273864746,0.7857142686843872,0.8428961634635925,0.8244580626487732,0.7005242109298706
no_init_box_kenn_hybrid_adapter_bert_ms,0,f2i42z3a,0.8280640244483948,0.8347127437591553,0.7656809091567993,0.6614379286766052,0.175,0.7832167744636536,0.8334744572639465,0.46666666865348816,0.7957473993301392,22,0.06503298133611679,0.5833333134651184,0.807692289352417,0.7125436663627625,0.3888888955116272,0.6330274939537048,0.06220546364784241,0.8435792326927185,0.7381572723388672,0.7706422209739685,0.699999988079071,0.6764706373214722,0.8424442410469055,0.8215203285217285,0.7906976938247681,0.9411765336990356,0.6865670680999756,0.8215203285217285,0.764045000076294,0.01,0.75,0.803921639919281,0.970588207244873,0.7590031027793884,0.8189655542373657,0.8334744572639465,0.8189655542373657,0.8684210181236267,0.7957473993301392,0.8424442410469055,0.8246936798095703,0.8671514987945557,0.8280640244483948,0.8347127437591553,0.07728557288646698,0.7962085604667664,0.06358779966831207,0.6470588445663452,0.09048067778348924,0.739130437374115,0.9545454382896424,0.08336421847343445,0.6265288591384888,0.7857142686843872,0.8435792326927185,0.8246936798095703,0.6864328980445862
no_init_box_kenn_top_down_adapter_bert_ms,0,zjqa2obc,0.8280386924743652,0.841839075088501,0.733206033706665,0.7104800939559937,0.175,0.7792792916297913,0.8328676819801331,0.4571428596973419,0.7913209795951843,22,0.06974552571773529,0.47058823704719543,0.8301886916160583,0.7463937997817993,0.4444444477558136,0.6788991093635559,0.06691800057888031,0.8469945192337036,0.7397412061691284,0.7424892783164978,0.7333333492279053,0.7254902720451355,0.8442506790161133,0.8146834969520569,0.8372092843055725,0.9411765336990356,0.6851851344108582,0.8146834969520569,0.7741935849189758,0.02,0.6915887594223022,0.8284314274787903,0.970588207244873,0.7157033681869507,0.8182117938995361,0.8328676819801331,0.8182117938995361,0.8684210181236267,0.7913209795951843,0.8442506790161133,0.8217875957489014,0.8812123537063599,0.8280386924743652,0.841839075088501,0.07964184880256653,0.8199052214622498,0.06830251961946487,0.6960784792900085,0.09048067778348924,0.7200000286102295,0.95652174949646,0.08471597731113434,0.671662449836731,0.7857142686843872,0.8469945192337036,0.8217875957489014,0.692983865737915
