name,instance,run_id,test_incremental/macro_example/precision,test/macro_types/f1,test_incremental_GPE-STATE_PROVINCE/macro_types/recall,test/macro_example/recall,test_incremental_only/macro_types/f1,test/micro/recall,test_incremental_only/micro/precision,test_incremental_GPE-CITY/macro_types/f1,test_incremental/macro_example_exclusive/recall,test/micro/f1,test_pretraining/micro/recall,test_incremental_GPE/macro_types/f1,test_incremental_only/macro_example/f1,test_incremental_only/macro_example_exclusive/recall,test/macro_example/precision,test_incremental/micro/recall,test_incremental_only/micro/recall,threshold_pretraining,test/macro_types/precision,test_incremental/macro_example_exclusive/f1,test_incremental_GPE-STATE_PROVINCE/macro_types/precision,test_incremental/micro/f1,test_incremental_GPE/macro_types/recall,test_incremental_GPE/macro_types/precision,test_incremental_GPE-COUNTRY/macro_types/precision,epoch,test/macro_example/f1,test_incremental_GPE-COUNTRY/macro_types/recall,test_incremental/macro_example/recall,test_pretraining/macro_example/recall,test_incremental_only/micro/f1,test_incremental/macro_types/f1,test/micro/precision,test_pretraining/macro_types/recall,test_incremental_GPE-CITY/macro_types/precision,test_pretraining/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test_pretraining/micro/precision,test_incremental/macro_example/f1,test_incremental/macro_types/precision,test_incremental/micro/precision,test_incremental/macro_types/recall,test_incremental_GPE-COUNTRY/macro_types/f1,test_incremental_GPE-STATE_PROVINCE/macro_types/f1,test_pretraining/macro_types/f1,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example_exclusive/precision,threshold_incremental,test_pretraining/macro_example/f1,test_incremental_only/macro_types/recall,test_incremental_GPE-CITY/macro_types/recall,test_incremental_only/macro_types/precision,test_pretraining/macro_example/precision,test_incremental_only/macro_example/recall,test_incremental_only/macro_example/precision,test/macro_types/recall,test_pretraining/micro/f1
no_init_box_kenn_horizontal_adapter_bert_ms,2,skqbd3sa,0.04932453483343125,0.7895076870918274,1.0,0.8557178974151611,0.06622114777565002,0.8709016442298889,0.03424442186951637,0.06563354283571243,0.9869282245635986,0.4175536632537842,0.8709016442298889,0.8684210181236267,0.050500210374593735,1.0,0.26762712001800537,0.9857819676399232,1.0,0.175,0.7070847153663635,0.6751534938812256,0.02827521227300167,0.11818181723356248,0.970588207244873,0.7857142686843872,0.04052780568599701,36,0.40773460268974304,1.0,0.09487904608249664,0.8557178974151611,0.06622114032506943,0.36299994587898254,0.27460694313049316,0.8936818838119507,0.033930253237485886,0.7070847153663635,0.5253012776374817,0.27460694313049316,0.06490636616945267,0.22211188077926636,0.06285887211561203,0.9926470518112184,0.0778985545039177,0.05499541386961937,0.7895076870918274,0.5130719542503357,0.3562091886997223,0.0,0.40773460268974304,1.0,1.0,0.03424442559480667,0.26762712001800537,0.0961357206106186,0.03424442559480667,0.8936818838119507,0.4175536632537842
no_init_box_kenn_horizontal_adapter_bert_ms,1,51c825w3,0.04932453483343125,0.7895076870918274,1.0,0.8557178974151611,0.06622114777565002,0.8709016442298889,0.03424442186951637,0.06563354283571243,0.9869282245635986,0.4175536632537842,0.8709016442298889,0.8684210181236267,0.050500210374593735,1.0,0.26762712001800537,0.9857819676399232,1.0,0.175,0.7070847153663635,0.6751534938812256,0.02827521227300167,0.11818181723356248,0.970588207244873,0.7857142686843872,0.04052780568599701,52,0.40773460268974304,1.0,0.09487904608249664,0.8557178974151611,0.06622114032506943,0.36299994587898254,0.27460694313049316,0.8936818838119507,0.033930253237485886,0.7070847153663635,0.5253012776374817,0.27460694313049316,0.06490636616945267,0.22211188077926636,0.06285887211561203,0.9926470518112184,0.0778985545039177,0.05499541386961937,0.7895076870918274,0.5130719542503357,0.3562091886997223,0.0,0.40773460268974304,1.0,1.0,0.03424442559480667,0.26762712001800537,0.0961357206106186,0.03424442559480667,0.8936818838119507,0.4175536632537842
no_init_box_kenn_horizontal_adapter_bert_ms,0,z0c2fzd9,0.09095193445682526,0.7411823868751526,0.03333333507180214,0.820688009262085,0.06042708083987236,0.7991803288459778,0.3076923191547394,0.0,0.4950980842113495,0.7967312932014465,0.7991803288459778,0.8684210181236267,0.003770028240978718,0.03921568766236305,0.8259503841400146,0.4881516695022583,0.03669724613428116,0.175,0.7411513924598694,0.6500267386436462,0.25,0.5885714292526245,0.970588207244873,0.7857142686843872,0.5,50,0.8233107924461365,0.06976744532585144,0.04759660363197327,0.820688009262085,0.06557377427816391,0.31594955921173096,0.7942973375320435,0.7412135004997253,0.0,0.7411513924598694,0.03921568766236305,0.7942973375320435,0.062490783631801605,0.3839285671710968,0.7410072088241577,0.2684222459793091,0.12244898080825806,0.05882353335618973,0.7411823868751526,0.9460784792900084,0.03921568766236305,0.04,0.8233107924461365,0.03436692804098129,0.0,0.25,0.8259503841400146,0.003770028240978718,0.003770028240978718,0.7412135004997253,0.7967312932014465
no_init_box_kenn_hybrid_adapter_bert_ms,2,e97xcc8i,0.0933081954717636,0.8153879642486572,0.46666666865348816,0.8276783227920532,0.42302536964416504,0.8148906826972961,0.9642857313156128,0.4000000059604645,0.5980392694473267,0.8082655668258667,0.8148906826972961,0.8684210181236267,0.023950764909386635,0.2352941483259201,0.8275212049484253,0.5971564054489136,0.24770642817020416,0.175,0.8560636639595032,0.7400736212730408,0.9333333373069764,0.6904109716415405,0.970588207244873,0.7857142686843872,1.0,37,0.8275997638702393,0.09302325546741486,0.057492926716804504,0.8276783227920532,0.39416059851646423,0.6019773483276367,0.8017473220825195,0.7784023880958557,1.0,0.8560636639595032,0.24913495779037476,0.8017473220825195,0.07114750146865845,0.9297618865966796,0.8181818127632141,0.4450695514678955,0.1702127605676651,0.6222222447395325,0.8153879642486572,0.9705883264541626,0.2647058963775635,0.01,0.8275997638702393,0.26989665627479553,0.25,0.9777778387069702,0.8275212049484253,0.02262016758322716,0.02544768899679184,0.7784023880958557,0.8082655668258667
no_init_box_kenn_top_down_adapter_bert_ms,2,vune21kv,0.09283694624900818,0.8187600374221802,0.6333333253860474,0.8303487300872803,0.51007479429245,0.8203551769256592,0.945945918560028,0.4680850803852082,0.6372549533843994,0.8112124800682068,0.8203551769256592,0.8684210181236267,0.03151068463921547,0.3137255311012268,0.827049970626831,0.6350710988044739,0.3211009204387665,0.175,0.8481689691543579,0.7678239941596985,0.949999988079071,0.7165775299072266,0.970588207244873,0.7857142686843872,0.8333333134651184,37,0.8286961317062378,0.11627907305955888,0.061262957751750946,0.8303487300872803,0.47945207357406616,0.646136999130249,0.8022711873054504,0.7913222908973694,1.0,0.8481689691543579,0.32777291536331177,0.8022711873054504,0.07381530106067657,0.8922618627548218,0.8220859169960022,0.5064390301704407,0.20408163964748385,0.7599999904632568,0.8187600374221802,0.9656863212585448,0.34313729405403137,0.01,0.8286961317062378,0.3517226576805115,0.3055555522441864,0.9277777671813964,0.827049970626831,0.030160224065184593,0.032987747341394424,0.7913222908973694,0.8112124800682068
no_init_box_kenn_bottom_up_adapter_bert_ms,2,gfx7rw6m,0.0933081954717636,0.8076715469360352,0.20000000298023224,0.8242224454879761,0.2817818522453308,0.8080601096153259,1.0,0.3636363744735718,0.5490196943283081,0.8044882416725159,0.8080601096153259,0.8684210181236267,0.014472044073045254,0.13725492358207703,0.8275212049484253,0.549763023853302,0.15596330165863037,0.175,0.8595724105834961,0.7013283371925354,1.0,0.6553671956062317,0.970588207244873,0.7857142686843872,1.0,37,0.825868546962738,0.06976744532585144,0.0527803935110569,0.8242224454879761,0.2698412537574768,0.5274956226348877,0.8009478449821472,0.761681318283081,1.0,0.8595724105834961,0.1505376547574997,0.8009478449821472,0.06742269545793533,0.9464285373687744,0.811188817024231,0.3656444847583771,0.1304347813129425,0.3333333134651184,0.8076715469360352,0.9705883264541626,0.1666666865348816,0.01,0.825868546962738,0.16399656236171722,0.2222222238779068,1.0,0.8275212049484253,0.013195098377764223,0.016022618860006332,0.761681318283081,0.8044882416725159
no_init_box_kenn_hybrid_adapter_bert_ms,1,qlikqvzf,0.0933081954717636,0.8079962730407715,0.6666666865348816,0.8297989368438721,0.4946027100086212,0.8210382461547852,0.8372092843055725,0.48000001907348633,0.6437909007072449,0.8102460503578186,0.8210382461547852,0.8684210181236267,0.032709743827581406,0.3284313976764679,0.8267357349395752,0.6398104429244995,0.3302752375602722,0.175,0.82323157787323,0.7741129994392395,0.9523809552192688,0.7105262875556946,0.970588207244873,0.7857142686843872,0.5,51,0.8282644748687744,0.09302325546741486,0.06189129501581192,0.8297989368438721,0.4736842215061188,0.6190690994262695,0.7997338771820068,0.7933146357536316,0.8571428656578064,0.82323157787323,0.34024545550346375,0.7997338771820068,0.07441989332437515,0.773809552192688,0.7988165616989136,0.5159028768539429,0.1568627506494522,0.7843137383460999,0.8079962730407715,0.9705883264541626,0.35294121503829956,0.01,0.8282644748687744,0.364341139793396,0.3333333432674408,0.7698413133621216,0.8267357349395752,0.03157398849725723,0.033930253237485886,0.7933146357536316,0.8102460503578186
no_init_box_kenn_top_down_adapter_bert_ms,1,68a1idkt,0.09283694624900818,0.8019899725914001,0.699999988079071,0.8302701711654663,0.48886796832084656,0.8224043846130371,0.7307692170143127,0.4905660152435303,0.6519608497619629,0.8091397285461426,0.8224043846130371,0.8684210181236267,0.0343434102833271,0.34313729405403137,0.8256361484527588,0.649289071559906,0.3486238420009613,0.175,0.8075242042541504,0.7784017324447632,0.91304349899292,0.7043701410293579,0.970588207244873,0.7857142686843872,0.3333333432674408,52,0.827946662902832,0.09302325546741486,0.06267671287059784,0.8302701711654663,0.4720496833324432,0.6037178039550781,0.7962962985038757,0.7965310215950012,0.7647058963775635,0.8075242042541504,0.35723885893821716,0.7962962985038757,0.07483220100402832,0.6991992592811584,0.7696629166603088,0.5311806201934814,0.145454540848732,0.7924527525901794,0.8019899725914001,0.9656863212585448,0.37254905700683594,0.02,0.827946662902832,0.3847114443778992,0.3611111044883728,0.6703609228134155,0.8256361484527588,0.032987747341394424,0.035815268754959106,0.7965310215950012,0.8091397285461426
no_init_box_kenn_bottom_up_adapter_bert_ms,1,gsmn3pz6,0.0933081954717636,0.8006475567817688,0.36666667461395264,0.82430100440979,0.28998908400535583,0.8080601096153259,0.8947368264198303,0.1538461595773697,0.5588235855102539,0.803941547870636,0.8080601096153259,0.8684210181236267,0.016022618860006332,0.1666666716337204,0.8272070288658142,0.549763023853302,0.15596330165863037,0.175,0.8420286178588867,0.7092760801315308,0.9166666865348816,0.6516854166984558,0.970588207244873,0.7857142686843872,0.75,52,0.8257514238357544,0.06976744532585144,0.05372290313243866,0.82430100440979,0.265625,0.5204886198043823,0.7998647689819336,0.7631433010101318,1.0,0.8420286178588867,0.1666666716337204,0.7998647689819336,0.06818675994873047,0.8630952835083008,0.800000011920929,0.3725889325141907,0.12765957415103912,0.523809552192688,0.8006475567817688,0.9705883264541626,0.1666666716337204,0.060000000000000005,0.8257514238357544,0.1732558161020279,0.0833333358168602,0.888888955116272,0.8272070288658142,0.016022618860006332,0.016022618860006332,0.7631433010101318,0.803941547870636
no_init_box_kenn_hybrid_adapter_bert_ms,0,kub5giks,0.09095193445682526,0.7839016914367676,0.46666666865348816,0.8263430595397949,0.3163849115371704,0.8107923269271851,0.699999988079071,0.09756097942590714,0.5784314274787903,0.8036559820175171,0.8107923269271851,0.8684210181236267,0.019792648032307625,0.20588237047195437,0.8259503841400146,0.5687204003334045,0.19266055524349213,0.175,0.7989687323570251,0.7179244756698608,0.8235294222831726,0.6539509892463684,0.970588207244873,0.7857142686843872,0.625,47,0.82614666223526,0.11627907305955888,0.05560791492462158,0.8263430595397949,0.30215829610824585,0.49945807456970215,0.7966442704200745,0.7693924903869629,0.4000000059604645,0.7989687323570251,0.20588235557079315,0.7966442704200745,0.06901818513870239,0.6585609316825867,0.7692307829856873,0.40227240324020386,0.19607844948768616,0.5957447290420532,0.7839016914367676,0.9460784792900084,0.20588237047195437,0.03,0.82614666223526,0.21283377707004547,0.0555555559694767,0.6161764860153198,0.8259503841400146,0.019792648032307625,0.019792648032307625,0.7693924903869629,0.8036559820175171
