name,instance,run_id,test_incremental/macro_example/precision,test_incremental_event-election/macro_types/precision,test_incremental_event-sports_event/macro_types/precision,test_pretraining/macro_types/recall,epoch,test_incremental_event-sports_event/macro_types/recall,test_incremental_event-terrorist_attack/macro_types/f1,test_incremental_only/macro_types/recall,test_incremental_only/macro_example/precision,test_incremental/macro_types/recall,test/macro_types/precision,test_incremental_event-attack/macro_types/f1,test_incremental_event-terrorist_attack/macro_types/recall,test_incremental_only/micro/f1,test_incremental_event-attack/macro_types/recall,test_incremental_event-protest/macro_types/precision,test/micro/recall,threshold_pretraining,test_incremental/macro_types/precision,test_incremental/macro_types/f1,test_incremental_event/macro_types/f1,test_incremental_event-election/macro_types/f1,test_incremental_event-attack/macro_types/precision,test_pretraining/micro/f1,test/macro_example/precision,test_incremental_event-military_conflict/macro_types/f1,test_incremental_event/macro_types/precision,test_incremental_only/macro_types/precision,test_pretraining/macro_example/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental_event-military_conflict/macro_types/precision,test_pretraining/macro_types/f1,test_incremental/macro_example_exclusive/precision,test/micro/f1,test/macro_example/recall,test_incremental_event-natural_disaster/macro_types/precision,test_incremental/macro_example/f1,test_incremental_event-protest/macro_types/f1,test_incremental/macro_example_exclusive/f1,test_incremental_event-election/macro_types/recall,test_pretraining/micro/recall,test_incremental_only/macro_example_exclusive/f1,test/macro_types/recall,test_incremental_event-sports_event/macro_types/f1,test_pretraining/micro/precision,test_pretraining/macro_types/precision,test_incremental_only/macro_example/recall,test/macro_types/f1,threshold_incremental,test_incremental_event-protest/macro_types/recall,test_incremental_event-terrorist_attack/macro_types/precision,test_incremental_only/micro/precision,test_incremental/macro_example/recall,test_incremental_only/macro_types/f1,test/macro_example/f1,test_incremental/micro/f1,test_incremental_only/macro_example_exclusive/recall,test_pretraining/macro_example/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_example/f1,test_incremental_event-natural_disaster/macro_types/recall,test/micro/precision,test_incremental/micro/precision,test_incremental/macro_example_exclusive/recall,test_incremental/micro/recall,test_incremental_event-military_conflict/macro_types/recall,test_incremental_event/macro_types/recall,test_incremental_only/micro/recall,test_incremental_event-natural_disaster/macro_types/f1
classifier_adapter_bert_ms,2,1l4romxr,0.06514480710029602,0.4285714328289032,0.4035087823867798,0.8178305625915527,15,0.7666666507720947,0.7228915691375732,0.5118613243103027,0.034769028425216675,0.5637584924697876,0.8501436710357666,0.30434784293174744,1.0,0.442508727312088,0.20895522832870483,0.42307692766189575,0.8691782355308533,0.375,0.5252033472061157,0.5437983870506287,0.9152541756629944,0.5581395626068115,0.5600000023841858,0.8784518837928772,0.9179473519325256,0.3333333432674408,0.9037656784057616,0.4711230993270874,0.9179473519325256,0.5098274946212769,0.5416666865348816,0.8336740732192993,0.8035458922386169,0.8784518837928772,0.8942356705665588,0.375,0.059561483561992645,0.392857164144516,0.7346768379211426,0.800000011920929,0.8691782355308533,0.4808179438114166,0.8178305625915527,0.5287356376647949,0.8879255652427673,0.8501436710357666,0.03102528303861618,0.8336740732192993,0.31,0.36666667461395264,0.5660377144813538,0.4652014672756195,0.05485966429114342,0.4906480610370636,0.9059364199638368,0.6558317542076111,0.45493197441101074,0.9059364199638368,0.8942356705665588,0.032790642231702805,0.20000000298023224,0.8879255652427673,0.669921875,0.6766809225082397,0.6423221230506897,0.24074074625968933,0.9270386099815368,0.42192691564559937,0.2608695924282074
classifier_adapter_bert_ms,0,1masglsk,0.06331767141819,0.42424243688583374,0.46666666865348816,0.8222677111625671,15,0.9333333373069764,0.7058823704719543,0.5473584532737732,0.037138380110263824,0.5948184728622437,0.8451352119445801,0.32692307233810425,1.0,0.44918033480644226,0.2537313401699066,0.2800000011920929,0.871248185634613,0.375,0.4901443123817444,0.5374320149421692,0.9152541756629944,0.5833333730697632,0.45945945382118225,0.8772405385971069,0.9162570238113404,0.3614457845687866,0.9037656784057616,0.4310555458068848,0.9162570238113404,0.5445699691772461,0.517241358757019,0.8335446119308472,0.7810085415840149,0.8772405385971069,0.89585942029953,0.3243243098258972,0.05975417047739029,0.2545454800128937,0.7370535731315613,0.9333333373069764,0.871248185634613,0.5236359238624573,0.8222677111625671,0.6222222447395325,0.8833158612251282,0.8451352119445801,0.03438877314329147,0.8335446119308472,0.28,0.23333333432674408,0.5454545617103577,0.4433656930923462,0.05657040327787399,0.48229461908340454,0.9059434533119202,0.6524953842163086,0.5042517185211182,0.9059434533119202,0.89585942029953,0.03571072965860367,0.20000000298023224,0.8833158612251282,0.6441605687141418,0.6977825164794922,0.6610487103462219,0.2777777910232544,0.9270386099815368,0.4551495015621186,0.2474226951599121
kenn_horizontal_adapter_bert_ms,2,1rjj29oi,0.06938645243644714,0.7250000238418579,0.6122449040412903,0.8502967357635498,15,1.0,0.9354838132858276,0.7715904712677002,0.05886105448007584,0.791021466255188,0.8735911846160889,0.4537815451622009,0.9666666388511658,0.5753803253173828,0.4029850661754608,0.75,0.8859449625015259,0.375,0.6893358826637268,0.7366862893104553,0.9152541756629944,0.8285714387893677,0.5192307829856873,0.8816561698913574,0.9002841711044312,0.760869562625885,0.9037656784057616,0.658703088760376,0.9002841711044312,0.8630951642990112,0.921052634716034,0.8617866039276123,0.855865478515625,0.8816561698913574,0.9062108993530272,0.17714285850524902,0.06825187057256699,0.8181817531585693,0.8418706655502319,0.9666666388511658,0.8859449625015259,0.8253763318061829,0.8502967357635498,0.7594937086105347,0.8774088025093079,0.8735911846160889,0.05393180251121521,0.8617866039276123,0.14,0.8999999761581421,0.90625,0.4928909838199615,0.06715378910303116,0.7106919288635254,0.9032378196716307,0.7096234560012817,0.7908163070678711,0.9032378196716307,0.9062108993530272,0.05628872290253639,0.5166666507720947,0.8774088025093079,0.6414523720741272,0.8283261656761169,0.7940074801445007,0.6481481194496155,0.9270386099815368,0.6910299062728882,0.26382976770401
kenn_horizontal_adapter_bert_ms,1,1ikjeuwm,0.07202505320310593,0.9655172228813172,0.7692307829856873,0.8390024900436401,26,1.0,0.8709677457809448,0.681236743927002,0.05828114226460457,0.7119619250297546,0.8924994468688965,0.404494434595108,0.8999999761581421,0.6691871285438538,0.26865673065185547,0.7931034564971924,0.8795280456542969,0.375,0.8216936588287354,0.7629021406173706,0.9152541756629944,0.9491525292396544,0.8181818127632141,0.8931161165237427,0.9229297637939452,0.6666666865348816,0.9037656784057616,0.8099690675735474,0.9229297637939452,0.8545917868614197,1.0,0.8649245500564575,0.8884119987487793,0.8931161165237427,0.9026154279708862,0.47999998927116394,0.06719863414764404,0.7796610593795776,0.8288792371749878,0.9333333373069764,0.8795280456542969,0.7601617574691772,0.8390024900436401,0.8695651888847351,0.9071306586265564,0.8924994468688965,0.04668290168046951,0.8649245500564575,0.36000000000000004,0.7666666507720947,0.84375,0.7763158082962036,0.06297843158245087,0.7400463223457336,0.9126595854759216,0.7852147817611694,0.6845238208770752,0.9126595854759216,0.9026154279708862,0.05184123665094376,0.4000000059604645,0.9071306586265564,0.8415417671203613,0.7768239974975586,0.7359550595283508,0.5,0.9270386099815368,0.5880398750305176,0.4363636374473572
kenn_horizontal_adapter_bert_ms,0,150ay5gl,0.07341684401035309,1.0,0.7250000238418579,0.8364211320877075,13,0.9666666388511658,0.9508196711540222,0.6605859994888306,0.0581071712076664,0.6938924789428711,0.8853778839111328,0.3953488171100617,0.9666666388511658,0.5689948201179504,0.2537313401699066,0.7647058963775635,0.8774580955505371,0.375,0.7718427181243896,0.7307948470115662,0.9152541756629944,0.9285714626312256,0.8947368264198303,0.8856158256530762,0.9157388210296632,0.5,0.9037656784057616,0.752996563911438,0.9157388210296632,0.8520407676696777,0.7692307829856873,0.8602035045623779,0.905579388141632,0.8856158256530762,0.9015425443649292,0.1818181872367859,0.06715454906225204,0.8125,0.8283354043960571,0.8666666746139526,0.8774580955505371,0.7442784905433655,0.8364211320877075,0.8285714387893677,0.8939266204833984,0.8853778839111328,0.04505915194749832,0.8602035045623779,0.61,0.8666666746139526,0.9354838728904724,0.5839160680770874,0.06187659874558449,0.7037706971168518,0.908585250377655,0.7233238816261292,0.6607142686843872,0.908585250377655,0.9015425443649292,0.05075803026556969,0.3333333432674408,0.8939266204833984,0.7295238375663757,0.7632331848144531,0.7172284722328186,0.3703703582286834,0.9270386099815368,0.554817259311676,0.2352941334247589
kenn_hybrid_adapter_bert_ms,2,20310qr2,0.06796567142009735,0.7435897588729858,0.5555555820465088,0.850265622138977,20,1.0,0.9508196711540222,0.7713417410850525,0.06002087891101837,0.7908037900924683,0.8755549192428589,0.48275861144065857,0.9666666388511658,0.5722146034240723,0.41791045665740967,0.75,0.8859449625015259,0.375,0.7030823230743408,0.7443675398826599,0.9152541756629944,0.8405797481536865,0.5714285969734192,0.8812931180000305,0.9002261757850647,0.7865168452262878,0.9037656784057616,0.6744133234024048,0.9002261757850647,0.8801019787788391,1.0,0.862725019454956,0.8383404612541199,0.8812931180000305,0.9062398672103882,0.16483516991138458,0.0675719603896141,0.8181817531585693,0.8334841728210449,0.9666666388511658,0.8859449625015259,0.8335452079772949,0.850265622138977,0.7142857313156128,0.8766899108886719,0.8755549192428589,0.05398979410529137,0.862725019454956,0.12,0.8999999761581421,0.9354838728904724,0.4882629215717316,0.06718278676271439,0.7196283936500549,0.9032229781150818,0.7072559595108032,0.7916666269302368,0.9032229781150818,0.9062398672103882,0.05684581398963928,0.5,0.8766899108886719,0.6375939846038818,0.8286838531494141,0.7940074801445007,0.6481481194496155,0.9270386099815368,0.6910299062728882,0.24793389439582825
kenn_top_down_adapter_bert_ms,2,7fxf4rbw,0.06912548840045929,0.7250000238418579,0.49180328845977783,0.8477075099945068,20,1.0,0.9508196711540222,0.7508766055107117,0.06071677431464195,0.7728968262672424,0.8662053942680359,0.4150943160057068,0.9666666388511658,0.4373626410961151,0.3283582031726837,0.529411792755127,0.8840819597244263,0.375,0.637635350227356,0.6987807154655457,0.9152541756629944,0.8285714387893677,0.5641025900840759,0.8631770014762878,0.8739039897918701,0.7173912525177002,0.9037656784057616,0.5996167659759521,0.8739039897918701,0.8903060555458069,0.8684210777282715,0.8568565845489502,0.8526466488838196,0.8631770014762878,0.905282974243164,0.08309455215930939,0.06758410483598709,0.6666666865348816,0.8336339592933655,0.9666666388511658,0.8840819597244263,0.8245604038238525,0.8477075099945068,0.6593406796455383,0.8432379364967346,0.8662053942680359,0.05236604064702988,0.8568565845489502,0.21,0.8999999761581421,0.9354838728904724,0.32676517963409424,0.06610995531082153,0.6667758226394653,0.8893167972564697,0.6005789041519165,0.7678571343421936,0.8893167972564697,0.905282974243164,0.05623307451605797,0.4833333194255829,0.8432379364967346,0.48938679695129395,0.8154506683349609,0.7771535515785217,0.6111111044883728,0.9270386099815368,0.6611295938491821,0.14180928468704224
kenn_bottom_up_adapter_bert_ms,2,qcflnxev,0.06802365928888321,0.7631579041481018,0.5660377144813538,0.8480090498924255,15,1.0,0.9508196711540222,0.7532891035079956,0.05880306661128998,0.7750077843666077,0.876560628414154,0.4285714626312256,0.9666666388511658,0.6121212840080261,0.35820895433425903,0.7352941036224365,0.8847029805183411,0.375,0.7101218700408936,0.7411473989486694,0.9152541756629944,0.8529411554336548,0.5333333611488342,0.886170506477356,0.9083449840545654,0.7865168452262878,0.9037656784057616,0.6824585199356079,0.9083449840545654,0.8622448444366455,1.0,0.8620485067367554,0.8390557765960693,0.886170506477356,0.905369997024536,0.2439024448394775,0.06715739518404007,0.78125,0.8283706307411194,0.9666666388511658,0.8847029805183411,0.8127938508987427,0.8480090498924255,0.7228915691375732,0.8876428008079529,0.876560628414154,0.05242403224110603,0.8620485067367554,0.18000000000000002,0.8333333134651184,0.9354838728904724,0.5626741051673889,0.06631292402744293,0.7161266803741455,0.906855046749115,0.7385159134864807,0.7687074542045593,0.906855046749115,0.905369997024536,0.05543062835931778,0.5,0.8876428008079529,0.6989966630935669,0.8179542422294617,0.7827715277671814,0.6481481194496155,0.9270386099815368,0.6710963249206543,0.32786884903907776
kenn_hybrid_adapter_bert_ms,1,2f6ydu19,0.07173509895801544,0.90625,0.75,0.8378781676292419,19,1.0,0.9354838132858276,0.6722419857978821,0.05862908810377121,0.7040915489196777,0.886794924736023,0.404494434595108,0.9666666388511658,0.6010544300079346,0.26865673065185547,0.8214285969734192,0.8782860636711121,0.375,0.7817621827125549,0.7408968210220337,0.9152541756629944,0.9354838132858276,0.8181818127632141,0.8881214261054993,0.917420506477356,0.5263158082962036,0.9037656784057616,0.764333188533783,0.917420506477356,0.8596938252449036,0.9090909361839294,0.8616428375244141,0.8848354816436768,0.8881214261054993,0.9020065069198608,0.239130437374115,0.06670867651700974,0.7931035161018372,0.8228358030319214,0.9666666388511658,0.8782860636711121,0.7542011737823486,0.8378781676292419,0.8571428656578064,0.8981795310974121,0.886794924736023,0.04581303894519806,0.8616428375244141,0.52,0.7666666507720947,0.90625,0.638059675693512,0.06234052777290344,0.7153357863426208,0.9096481800079346,0.7435158491134644,0.6717686653137207,0.9096481800079346,0.9020065069198608,0.05143473669886589,0.36666667461395264,0.8981795310974121,0.7633135914802551,0.7689557075500488,0.7247191071510315,0.3703703582286834,0.9270386099815368,0.5681062936782837,0.28947368264198303
kenn_top_down_adapter_bert_ms,1,111pt4s9,0.07202505320310593,0.9642857313156128,0.7142857313156128,0.8345362544059753,27,1.0,0.8115941882133484,0.6455066204071045,0.056715380400419235,0.680698037147522,0.8801358938217163,0.3863636255264282,0.9333333373069764,0.5300813317298889,0.2537313401699066,0.71875,0.8766300678253174,0.375,0.7351489067077637,0.7068764567375183,0.9152541756629944,0.931034505367279,0.8095238208770752,0.882199764251709,0.9114474654197692,0.4657534658908844,0.9037656784057616,0.7110608220100403,0.9114474654197692,0.8316326141357422,0.8947368264198303,0.8567297458648682,0.8884119987487793,0.882199764251709,0.9009626507759094,0.15789473056793213,0.06619535386562347,0.7419354915618896,0.8165039420127869,0.8999999761581421,0.8766300678253174,0.725160539150238,0.8345362544059753,0.8333333730697632,0.8878406882286072,0.8801358938217163,0.04384133592247963,0.8567297458648682,0.65,0.7666666507720947,0.7179487347602844,0.5191082954406738,0.061238691210746765,0.6766998767852783,0.9061747193336488,0.6973321437835693,0.6428570747375488,0.9061747193336488,0.9009626507759094,0.04945424199104309,0.3499999940395355,0.8878406882286072,0.685352623462677,0.7553647756576538,0.7097378373146057,0.31481480598449707,0.9270386099815368,0.5415282249450684,0.21761655807495117
