name,instance,run_id,epoch,test_incremental_only/micro/f1,test_incremental/macro_types/f1,test_pretraining/macro_types/f1,test_incremental_art/macro_types/f1,test_incremental_only/macro_types/f1,test_pretraining/macro_example/precision,test_incremental/macro_example/precision,test_pretraining/micro/precision,test_incremental/macro_example/f1,test_incremental/micro/precision,test_incremental_only/macro_example/f1,test_incremental_art/macro_types/recall,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/f1,test_pretraining/macro_example/recall,test_pretraining/macro_types/precision,test_incremental_only/macro_example/recall,test/micro/precision,test_pretraining/micro/f1,test_incremental/macro_types/recall,test_pretraining/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental_art-film/macro_types/precision,test_incremental/macro_example_exclusive/precision,test_incremental/macro_types/precision,threshold_incremental,test_incremental_only/micro/recall,test_incremental_art-film/macro_types/recall,test/micro/f1,test/micro/recall,test_incremental/macro_example/recall,test_incremental_only/macro_types/precision,test/macro_types/f1,test/macro_example/precision,test_incremental_art/macro_types/precision,test_incremental_only/micro/precision,test/macro_example/recall,test_pretraining/macro_example/f1,test_incremental_only/macro_example/precision,test/macro_types/recall,test_incremental/micro/f1,test_incremental/micro/recall,test_incremental_only/macro_types/recall,threshold_pretraining,test_incremental_only/macro_example_exclusive/recall,test_incremental_art-film/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test/macro_example/f1,test/macro_types/precision,test_pretraining/micro/recall
no_init_box_kenn_horizontal_adapter_bert_ms,2,o7a1jyhq,36,0.5666666626930237,0.6836928129196167,0.846520721912384,0.7619048357009888,0.5666666626930237,0.9245766401290894,0.011134307831525804,0.9042889475822448,0.00976693630218506,0.7313432693481445,0.0059151011519134045,0.8205128312110901,0.6410256624221802,0.4473684132099152,0.9045987129211426,0.8878821134567261,0.0059151011519134045,0.9042889475822448,0.8904200792312622,0.6339406371116638,0.8088414072990417,0.7197480797767639,0.7727272510528564,0.8205128908157349,0.7419191598892212,0.09,0.4473684132099152,0.4473684132099152,0.8904200792312622,0.8769702315330505,0.008698677644133568,0.7727272510528564,0.846520721912384,0.9245766401290894,0.7111111283302307,0.7727272510528564,0.9045987129211426,0.9144785404205322,0.0059151011519134045,0.8088414072990417,0.680555522441864,0.6363636255264282,0.4473684132099152,0.25,0.4473684132099152,0.5666666626930237,0.4473684132099152,0.9144785404205322,0.8878821134567261,0.8769702315330505
no_init_box_kenn_horizontal_adapter_bert_ms,1,1kbcrphg,72,0.30434781312942505,0.6150925159454346,0.8445515632629395,0.7619048357009888,0.30434781312942505,0.9245187044143676,0.011134307831525804,0.904891312122345,0.008564851246774197,0.7358490824699402,0.0024356297217309475,0.8205128312110901,0.5128205418586731,0.18421052396297455,0.9029169678688048,0.8899276256561279,0.0024356297217309475,0.904891312122345,0.8895815014839172,0.5023616552352905,0.80357825756073,0.6311637163162231,0.875,0.8205128908157349,0.793055534362793,0.59,0.18421052396297455,0.18421052396297455,0.8895815014839172,0.87478107213974,0.006958942394703627,0.875,0.8445515632629395,0.9245187044143676,0.7111111283302307,0.875,0.9029169678688048,0.913590133190155,0.0024356297217309475,0.80357825756073,0.6000000238418579,0.5064935088157654,0.18421052396297455,0.25,0.18421052396297455,0.30434781312942505,0.18421052396297455,0.913590133190155,0.8899276256561279,0.87478107213974
no_init_box_kenn_horizontal_adapter_bert_ms,0,hto96q8y,40,0.5423728823661804,0.6737118363380432,0.8461340665817261,0.7619048357009888,0.5423728823661804,0.9241127371788024,0.011482255533337591,0.9042673110961914,0.009784878231585026,0.7272727489471436,0.005567153915762901,0.8205128312110901,0.6282051801681519,0.4210526645183563,0.9043087959289552,0.8876656889915466,0.005567153915762901,0.9042673110961914,0.8902967572212219,0.620782732963562,0.808315098285675,0.7210702300071716,0.761904776096344,0.8461538553237915,0.7365079522132874,0.1,0.42105263471603394,0.42105263471603394,0.8902967572212219,0.8767513036727905,0.008524704724550247,0.761904776096344,0.8461340665817261,0.9241127371788024,0.7111111283302307,0.761904776096344,0.9043087959289552,0.9141035079956056,0.005567153915762901,0.808315098285675,0.6713286638259888,0.6233766078948975,0.42105263471603394,0.25,0.42105263471603394,0.5423728823661804,0.42105263471603394,0.9141035079956056,0.8876656889915466,0.8767513036727905
no_init_box_kenn_hybrid_adapter_bert_ms,2,9755bfwq,46,0.5999999642372131,0.700978696346283,0.847222089767456,0.7619048357009888,0.5999999642372131,0.9245766401290894,0.011134307831525804,0.9045146703720092,0.009875647723674774,0.746268630027771,0.006263048388063908,0.8205128312110901,0.6538462042808533,0.4736842215061188,0.904772698879242,0.8887912034988403,0.006263048388063908,0.9045146703720092,0.8906423449516296,0.6470985412597656,0.8093677163124084,0.7277593016624451,0.8181818127632141,0.8205128908157349,0.7646464705467224,0.2,0.4736842215061188,0.4736842215061188,0.8906423449516296,0.8771891593933105,0.008872651495039463,0.8181818127632141,0.847222089767456,0.9245766401290894,0.7111111283302307,0.8181818127632141,0.904772698879242,0.9145674705505372,0.006263048388063908,0.8093677163124084,0.6944444179534912,0.649350643157959,0.4736842215061188,0.25,0.4736842215061188,0.5999999642372131,0.4736842215061188,0.9145674705505372,0.8887912034988403,0.8771891593933105
no_init_box_kenn_top_down_adapter_bert_ms,2,qbo1wu7k,47,0.6575342416763306,0.7119612693786621,0.8477386236190796,0.7619048357009888,0.6575342416763306,0.9242287278175354,0.011482255533337591,0.9032185673713684,0.010642089881002905,0.699999988079071,0.008350730873644352,0.8205128312110901,0.7307692766189575,0.6315789222717285,0.9056541919708252,0.8861418962478638,0.008350730873644352,0.9032185673713684,0.8906891942024231,0.7260458469390869,0.8125256299972534,0.784240186214447,0.6857143044471741,0.8461538553237915,0.6984127163887024,0.02,0.6315789222717285,0.6315789222717285,0.8906891942024231,0.878502607345581,0.009916492737829683,0.6857143044471741,0.8477386236190796,0.9242287278175354,0.7111111283302307,0.6857143044471741,0.9056541919708252,0.914847195148468,0.008350730873644352,0.8125256299972534,0.7133757472038269,0.7272727489471436,0.6315789222717285,0.25,0.6315789222717285,0.6575342416763306,0.6315789222717285,0.914847195148468,0.8861418962478638,0.878502607345581
no_init_box_kenn_bottom_up_adapter_bert_ms,2,ccudsgjh,46,0.5901639461517334,0.6934093832969666,0.8468987345695496,0.7619048357009888,0.5901639461517334,0.9245766401290894,0.011134307831525804,0.9043105244636536,0.009875647723674774,0.7352941036224365,0.006263048388063908,0.8205128312110901,0.6538462042808533,0.4736842215061188,0.904772698879242,0.8880797624588013,0.006263048388063908,0.9043105244636536,0.8905434608459473,0.6470985412597656,0.8093677163124084,0.7277593016624451,0.782608687877655,0.8205128908157349,0.7468599081039429,0.08,0.4736842215061188,0.4736842215061188,0.8905434608459473,0.8771891593933105,0.008872651495039463,0.782608687877655,0.8468987345695496,0.9245766401290894,0.7111111283302307,0.782608687877655,0.904772698879242,0.9145674705505372,0.006263048388063908,0.8093677163124084,0.6896551251411438,0.649350643157959,0.4736842215061188,0.25,0.4736842215061188,0.5901639461517334,0.4736842215061188,0.9145674705505372,0.8880797624588013,0.8771891593933105
no_init_box_kenn_hybrid_adapter_bert_ms,1,asisu1a8,63,0.3404255509376526,0.6270003914833069,0.844967246055603,0.7619048357009888,0.3404255509376526,0.9245187044143676,0.011134307831525804,0.9049128293991088,0.008695363998413086,0.7407407164573669,0.0027835769578814507,0.8205128312110901,0.5256410837173462,0.21052633225917816,0.9030909538269044,0.8902053833007812,0.0027835769578814507,0.9049128293991088,0.8897050619125366,0.5155195593833923,0.8041045665740967,0.6407814621925354,0.8888888955116272,0.8205128908157349,0.800000011920929,0.88,0.21052631735801697,0.21052631735801697,0.8897050619125366,0.875,0.0071329157799482346,0.8888888955116272,0.844967246055603,0.9245187044143676,0.7111111283302307,0.8888888955116272,0.9030909538269044,0.9136791825294496,0.0027835769578814507,0.8041045665740967,0.6106870174407959,0.5194805264472961,0.21052631735801697,0.25,0.21052631735801697,0.3404255509376526,0.21052631735801697,0.9136791825294496,0.8902053833007812,0.875
no_init_box_kenn_top_down_adapter_bert_ms,1,yhqy2dpm,46,0.49056604504585266,0.6693752408027649,0.8462169766426086,0.7619048357009888,0.49056604504585266,0.9245187044143676,0.011134307831525804,0.9048157334327698,0.009312329813838003,0.75,0.004523312672972679,0.8205128312110901,0.5897436141967773,0.34210526943206787,0.9039608240127563,0.8897609710693359,0.004523312672972679,0.9048157334327698,0.8902236223220825,0.5813090801239014,0.806736171245575,0.6862471103668213,0.8666666746139526,0.8205128908157349,0.7888889312744141,0.8,0.34210526943206787,0.34210526943206787,0.8902236223220825,0.8760945796966553,0.008002784103155136,0.8666666746139526,0.8462169766426086,0.9245187044143676,0.7111111283302307,0.8666666746139526,0.9039608240127563,0.9141241908073424,0.004523312672972679,0.806736171245575,0.6569342613220215,0.5844155550003052,0.34210526943206787,0.25,0.34210526943206787,0.49056604504585266,0.34210526943206787,0.9141241908073424,0.8897609710693359,0.8760945796966553
no_init_box_kenn_bottom_up_adapter_bert_ms,1,djqfv6jy,74,0.30434781312942505,0.6150925159454346,0.8445515632629395,0.7619048357009888,0.30434781312942505,0.9245187044143676,0.011134307831525804,0.904891312122345,0.008564851246774197,0.7358490824699402,0.0024356297217309475,0.8205128312110901,0.5128205418586731,0.18421052396297455,0.9029169678688048,0.8899276256561279,0.0024356297217309475,0.904891312122345,0.8895815014839172,0.5023616552352905,0.80357825756073,0.6311637163162231,0.875,0.8205128908157349,0.793055534362793,0.6,0.18421052396297455,0.18421052396297455,0.8895815014839172,0.87478107213974,0.006958942394703627,0.875,0.8445515632629395,0.9245187044143676,0.7111111283302307,0.875,0.9029169678688048,0.913590133190155,0.0024356297217309475,0.80357825756073,0.6000000238418579,0.5064935088157654,0.18421052396297455,0.25,0.18421052396297455,0.30434781312942505,0.18421052396297455,0.913590133190155,0.8899276256561279,0.87478107213974
no_init_box_adapter_bert_ms,2,r2iu7rtx,46,0.6575342416763306,0.7119612693786621,0.8477386236190796,0.7619048357009888,0.6575342416763306,0.9242287278175354,0.011482255533337591,0.9032185673713684,0.010642089881002905,0.699999988079071,0.008350730873644352,0.8205128312110901,0.7307692766189575,0.6315789222717285,0.9056541919708252,0.8861418962478638,0.008350730873644352,0.9032185673713684,0.8906891942024231,0.7260458469390869,0.8125256299972534,0.784240186214447,0.6857143044471741,0.8461538553237915,0.6984127163887024,0.02,0.6315789222717285,0.6315789222717285,0.8906891942024231,0.878502607345581,0.009916492737829683,0.6857143044471741,0.8477386236190796,0.9242287278175354,0.7111111283302307,0.6857143044471741,0.9056541919708252,0.914847195148468,0.008350730873644352,0.8125256299972534,0.7133757472038269,0.7272727489471436,0.6315789222717285,0.25,0.6315789222717285,0.6575342416763306,0.6315789222717285,0.914847195148468,0.8861418962478638,0.878502607345581
