name,test/micro/precision/mean,test/macro_example/recall/mean,test/macro_types/precision/mean,test_incremental_art-film/macro_types/recall/mean,test_incremental/micro/recall/mean,test_incremental/macro_types/f1/mean,test_incremental_art/macro_types/precision/mean,test/micro/recall/mean,test_incremental/macro_example/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_only/macro_example/precision/mean,test/macro_example/precision/mean,test_pretraining/macro_types/precision/mean,test_incremental_only/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/f1/mean,epoch/mean,test/macro_types/f1/mean,threshold_incremental/mean,test_pretraining/micro/f1/mean,test_incremental_art-film/macro_types/f1/mean,test_incremental_art-film/macro_types/precision/mean,test_pretraining/micro/recall/mean,test_incremental/micro/precision/mean,test_incremental_only/macro_example/recall/mean,test_incremental_only/micro/precision/mean,test_incremental/macro_example_exclusive/precision/mean,test/macro_example/f1/mean,test_incremental_only/macro_example/f1/mean,test_pretraining/macro_example/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test/micro/f1/mean,test/macro_types/recall/mean,test_pretraining/micro/precision/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental_only/macro_types/f1/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/micro/f1/mean,test_pretraining/macro_types/f1/mean,test_pretraining/macro_example/f1/mean,test_pretraining/macro_types/recall/mean,test_incremental/micro/f1/mean,test_incremental/macro_types/recall/mean,test_incremental_art/macro_types/recall/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_only/macro_types/recall/mean,threshold_pretraining/mean,test_incremental/macro_example/f1/mean,test_incremental_art/macro_types/f1/mean,test_incremental/macro_example/recall/mean,test/micro/precision/std,test/macro_example/recall/std,test/macro_types/precision/std,test_incremental_art-film/macro_types/recall/std,test_incremental/micro/recall/std,test_incremental/macro_types/f1/std,test_incremental_art/macro_types/precision/std,test/micro/recall/std,test_incremental/macro_example/precision/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_only/macro_example/precision/std,test/macro_example/precision/std,test_pretraining/macro_types/precision/std,test_incremental_only/macro_types/precision/std,test_incremental_only/macro_example_exclusive/f1/std,epoch/std,test/macro_types/f1/std,threshold_incremental/std,test_pretraining/micro/f1/std,test_incremental_art-film/macro_types/f1/std,test_incremental_art-film/macro_types/precision/std,test_pretraining/micro/recall/std,test_incremental/micro/precision/std,test_incremental_only/macro_example/recall/std,test_incremental_only/micro/precision/std,test_incremental/macro_example_exclusive/precision/std,test/macro_example/f1/std,test_incremental_only/macro_example/f1/std,test_pretraining/macro_example/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test/micro/f1/std,test/macro_types/recall/std,test_pretraining/micro/precision/std,test_incremental_only/micro/recall/std,test_incremental/macro_types/precision/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental_only/macro_types/f1/std,test_pretraining/macro_example/recall/std,test_incremental_only/micro/f1/std,test_pretraining/macro_types/f1/std,test_pretraining/macro_example/f1/std,test_pretraining/macro_types/recall/std,test_incremental/micro/f1/std,test_incremental/macro_types/recall/std,test_incremental_art/macro_types/recall/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_only/macro_types/recall/std,threshold_pretraining/std,test_incremental/macro_example/f1/std,test_incremental_art/macro_types/f1/std,test_incremental/macro_example/recall/std
no_init_box_adapter_bert_ms,0.8860416809717814,0.9068777958552042,0.8785294493039449,0.9122807184855143,0.8658008774121603,0.638357400894165,0.7111111283302307,0.8808377186457316,0.012468105182051659,0.8923934102058411,0.012062167127927145,0.9112503131230673,0.8785294493039449,0.30509290595849353,0.9122807184855143,45.666666666666664,0.847258190313975,0.023333333333333334,0.8834082881609598,0.4429321885108948,0.30509290595849353,0.8808377186457316,0.40524566173553467,0.012062167127927145,0.30509290595849353,0.9188034534454346,0.9090404113133749,0.012062166817486286,0.9112503131230673,0.9122807184855143,0.8834082881609598,0.818139652411143,0.8860416809717814,0.9122807184855143,0.508102019627889,0.9122807184855143,0.4429321885108948,0.9068777958552042,0.4429321885108948,0.847258190313975,0.9090404113133749,0.818139652411143,0.542002389828364,0.8663967649141947,0.8205128312110901,0.8675214052200317,0.9122807184855143,0.25,0.012109722631673018,0.7619048357009888,0.011772211020191511,0.011448615949774008,0.0001328709641524818,0.003222232664688015,0.040198028646768656,0.01983799711607194,0.06494442216618199,0.0,0.0003344178304587394,0.00020088716160560972,0.016322566607028362,0.0005314978776566986,0.010073148317230378,0.003222232664688015,0.16111141493990389,0.040198028646768656,39.31072796748151,0.001719618903659662,0.005773502691896256,0.005778398828751142,0.17527586053016112,0.16111141493990389,0.0003344178304587394,0.15043522592603245,0.0005314978776566986,0.16111141493990389,0.014803852173765848,0.005024600269709217,0.0005314983857347285,0.010073148317230378,0.040198028646768656,0.005778398828751142,0.0008039502975634778,0.011448615949774008,0.040198028646768656,0.08055570451782683,0.040198028646768656,0.17527586053016112,0.0001328709641524818,0.17527586053016112,0.001719618903659662,0.005024600269709217,0.0008039502975634778,0.13661707518220043,0.020099030581883327,0.0,0.019583675158986395,0.040198028646768656,0.0,0.0002214953200365445,0.0,0.0002657488372136005
no_init_box_kenn_bottom_up_adapter_bert_ms,0.8970836997032166,0.9064138333002726,0.8812872171401978,0.8421052694320679,0.8311688303947449,0.6806780099868774,0.7111111283302307,0.8802539308865865,0.011656228452920914,0.8459263245264689,0.011134307831525803,0.9202196002006531,0.8812872171401978,0.44297980268796283,0.8421052694320679,41.0,0.8477843403816223,0.02666666666666667,0.8885876933733622,0.577301541964213,0.44297980268796283,0.8802539308865865,0.5420217414697012,0.011134307831525803,0.44297980268796283,0.8589743971824646,0.9132632613182068,0.011134307521084944,0.9202196002006531,0.8421052495638529,0.8885876933733622,0.8167361617088318,0.8970836997032166,0.8421052694320679,0.5770454605420431,0.8421052495638529,0.577301541964213,0.9064138333002726,0.577301541964213,0.8477843403816223,0.9132632613182068,0.8167361617088318,0.6546773115793864,0.8313090403874716,0.8205128312110901,0.8333333730697632,0.8421052694320679,0.25,0.011479166336357594,0.7619048357009888,0.011308281061549982,0.0030278906301364904,8.699298075131115e-05,0.001997352834602715,0.026315808296203613,0.012987017631530762,0.03899512975966223,0.0,0.00021889805861385783,0.0,0.006606403499680618,0.0003479477018117896,0.002715268487343701,0.001997352834602715,0.09986795847253098,0.026315778493931852,6.244997998398398,0.0012054354013968421,0.011547005383792514,0.0015967037652508688,0.09119553807206227,0.09986795847253098,0.00021889805861385783,0.0730701508894123,0.0003479477018117896,0.09986795847253098,0.0,0.0013556500888278163,0.00034794723615060746,0.002715268487343701,0.026315778493886863,0.0015967037652508688,0.0005263090133666992,0.0030278906301364904,0.026315808296203613,0.049933986003405546,0.026315778493886863,0.09119553807206227,8.699298075131115e-05,0.09119553807206227,0.0012054354013968421,0.0013556500888278163,0.0005263090133666992,0.05730226515809088,0.013157904148146793,0.0,0.01282048225402832,0.026315808296203613,0.0,8.964903666983916e-05,0.0,0.0001739733852448148
no_init_box_kenn_horizontal_adapter_bert_ms,0.9009652535120646,0.9059402346611023,0.8837129473686218,0.7631578842798868,0.7922077973683676,0.7059854865074158,0.7111111283302307,0.8795972069104513,0.011482255222896734,0.8195575873057047,0.010090465967853865,0.9227866927782694,0.8837129473686218,0.5642659862836202,0.7631578842798868,46.0,0.848051110903422,0.19999999999999998,0.8901526133219401,0.6468449433644613,0.5642659862836202,0.8795972069104513,0.6321954727172852,0.010090465967853865,0.5642659862836202,0.8461538950602213,0.9142857789993286,0.010090465967853865,0.9227866927782694,0.7631578842798868,0.8901526133219401,0.8151572148005167,0.9009652535120646,0.7631578842798868,0.6376885374387106,0.7631578842798868,0.6468449433644613,0.9059402346611023,0.6468449433644613,0.848051110903422,0.9142857789993286,0.8151572148005167,0.7025737365086874,0.791835347811381,0.8205128312110901,0.7948718070983887,0.7631578842798868,0.25,0.011121345063050589,0.7619048357009888,0.010786360750595728,0.0011307266870399931,0.0004194798105717012,0.001214473136029203,0.09116056519701905,0.044988314340450496,0.029844613633101497,0.0,0.0007583539415676384,0.0003479472361506053,0.034664107994017916,0.0012053240450323364,0.0007856964140155539,0.001214473136029203,0.060723217223086684,0.09116056519701905,17.08800749063506,0.0012705893485266526,0.13453624047073712,0.0006120735508488393,0.05997562468880777,0.060723217223086684,0.0007583539415676384,0.03546655894171175,0.0012053240450323364,0.060723217223086684,0.025641024112724523,0.0005472694550058162,0.0012053240450323364,0.0007856964140155539,0.09116056519701905,0.0006120735508488393,0.001823222316022855,0.0011307266870399931,0.09116056519701905,0.03036162539337463,0.09116056519701905,0.05997562468880777,0.0004194798105717012,0.05997562468880777,0.0012705893485266526,0.0005472694550058162,0.001823222316022855,0.03046163254123269,0.04558024818575182,0.0,0.044411556521297545,0.09116056519701905,0.0,0.00047038978670973754,0.0,0.0006026620225161691
no_init_box_kenn_hybrid_adapter_bert_ms,0.897637148698171,0.906587819258372,0.881643275419871,0.8684210379918417,0.8441558480262756,0.6915581623713175,0.7111111283302307,0.8804728587468466,0.012004175844291845,0.8649272720019022,0.011482254912455877,0.9208381772041321,0.881643275419871,0.46078354120254517,0.8684210379918417,26.666666666666668,0.8482328255971273,0.02,0.8889714876810709,0.6004063089688619,0.46078354120254517,0.8804728587468466,0.5552901824315389,0.011482254912455877,0.46078354120254517,0.884615421295166,0.9136568109194437,0.011482254912455877,0.9208381772041321,0.8684210379918417,0.8889714876810709,0.8172624707221985,0.897637148698171,0.8684210379918417,0.5859473347663879,0.8684210379918417,0.6004063089688619,0.906587819258372,0.6004063089688619,0.8482328255971273,0.9136568109194437,0.8172624707221985,0.6691911816596985,0.8444669246673584,0.8205128312110901,0.8461538751920065,0.8684210379918417,0.25,0.011737008579075336,0.7619048357009888,0.011482254912455877,0.002114850331926196,0.0001506590532369802,0.0015949393117100272,0.04558028259850951,0.022494174376604104,0.03364130805310332,0.0,0.0003791597644049622,0.000347947236150607,0.023022876939703927,0.0006026625602155067,0.001971976430853315,0.0015949393117100272,0.07974837212771585,0.04558028259850951,8.144527815247079,0.0011505743761372233,0.01,0.0011805049896188161,0.07545558029874917,0.07974837212771585,0.0003791597644049622,0.05577256736450157,0.0006026625602155067,0.07974837212771585,0.025641024112701416,0.0010382370387524494,0.0006026625602155067,0.001971976430853315,0.04558028259850951,0.0011805049896188161,0.0009115939516325704,0.002114850331926196,0.04558028259850951,0.0398741814716504,0.04558028259850951,0.07545558029874917,0.0001506590532369802,0.07545558029874917,0.0011505743761372233,0.0010382370387524494,0.0009115939516325704,0.04554784060434317,0.022790158505633616,0.0,0.022205743847911057,0.04558028259850951,0.0,0.00031242000657319077,0.0,0.0003013310112580829
no_init_box_kenn_top_down_adapter_bert_ms,0.8819784124692281,0.9068198005358378,0.878324548403422,0.9035087823867798,0.8614718715349833,0.6308165589968363,0.7111111283302307,0.8807647426923116,0.01235212292522192,0.8860586285591125,0.011946184871097406,0.9074615240097046,0.878324548403422,0.29484792550404865,0.9035087823867798,31.333333333333332,0.8470667401949564,0.02666666666666667,0.8813245892524719,0.417498379945755,0.29484792550404865,0.8807647426923116,0.38467828432718915,0.011946184871097406,0.29484792550404865,0.9102564454078674,0.9071077307065328,0.011946184560656548,0.9074615240097046,0.9035087823867798,0.8813245892524719,0.8179642160733541,0.8819784124692281,0.9035087823867798,0.5029795269171397,0.9035087823867798,0.417498379945755,0.9068198005358378,0.417498379945755,0.8470667401949564,0.9071077307065328,0.8179642160733541,0.5130507747332255,0.8620107968648275,0.8205128312110901,0.8632478912671407,0.9035087823867798,0.25,0.012023760316272577,0.7619048357009888,0.01171422004699707,0.015621632644713992,0.00018108555524361586,0.004241857799671595,0.0401980351501733,0.01983799711607194,0.08015154333892939,0.0,0.0003344178304587394,0.00034794677048921585,0.020510823802535445,0.0005314979792722352,0.013255225622328082,0.004241857799671595,0.2120916992163733,0.0401980351501733,11.67618659209133,0.001924788957017335,0.015275252316519468,0.007709777049688751,0.22155946729496995,0.2120916992163733,0.0003344178304587394,0.19634749902225704,0.0005314979792722352,0.2120916992163733,0.025641024112701416,0.006526263256189386,0.0005314983857347287,0.013255225622328082,0.0401980351501733,0.007709777049688751,0.0008039502975634778,0.015621632644713992,0.0401980351501733,0.10604584978343681,0.0401980351501733,0.22155946729496995,0.00018108555524361586,0.22155946729496995,0.001924788957017335,0.006526263256189386,0.0008039502975634778,0.17385256593032805,0.020099030581883327,0.0,0.019583668655576765,0.0401980351501733,0.0,0.00027832977890646766,0.0,0.00026574904044414854
no_init_kenn_bottom_up_adapter_bert_ms,0.8935671250025431,0.9149887959162394,0.891746461391449,0.9385964870452881,0.8398268421490988,0.6195105314254761,0.707317054271698,0.8992265065511068,0.012584087438881397,0.882497509320577,0.01241011389841636,0.9146563013394674,0.891746461391449,0.27714212238788605,0.938596506913503,16.666666666666668,0.8771783510843912,0.08666666666666667,0.8963676492373148,0.41983790198961896,0.27714212238788605,0.8992265065511068,0.37505866090456647,0.01241011389841636,0.27714212238788605,0.9273504614830017,0.9148109157880148,0.01241011389841636,0.9146563013394674,0.938596506913503,0.8963676492373148,0.8630814750989279,0.8935671250025431,0.9385964870452881,0.4922295808792114,0.938596506913503,0.41983790198961896,0.9149887959162394,0.41983790198961896,0.8771783510843912,0.9148109157880148,0.8630814750989279,0.5117687483628591,0.8410931428273519,0.7435897588729858,0.8418803612391154,0.9385964870452881,0.375,0.01197543554008007,0.7250000238418579,0.011424263628820578,0.010071735702169765,0.00024145376890667187,0.0020022147754366576,0.0401980351501733,0.01983799711607194,0.03371768617526107,0.0,0.0003343918176179571,0.0005314974711940862,0.02852536879086941,0.0005314975728099725,0.0077448973553598055,0.0020022147754366576,0.10011014390753334,0.04019806116376664,8.020806277010642,0.0005527514121474048,0.05131601439446884,0.004905196780456807,0.11208456017696086,0.10011014390753334,0.0003343918176179571,0.1055026455216713,0.0005314975728099725,0.10011014390753334,0.03916731129754746,0.0037562872723050757,0.0005314975728099725,0.0077448973553598055,0.04019806116376664,0.004905196780456807,0.0008039828146419583,0.010071735702169765,0.0401980351501733,0.05005505732452116,0.04019806116376664,0.11208456017696086,0.00024145376890667187,0.11208456017696086,0.0005527514121474048,0.0037562872723050757,0.0008039828146419583,0.09534409794342362,0.020099004568296282,0.0,0.019583610124974286,0.0401980351501733,0.0,0.00038708789856166793,0.0,0.00026574893882834835
no_init_kenn_horizontal_adapter_bert_ms,0.8780015905698141,0.9149308204650879,0.8913432359695435,0.9298245509465536,0.8354978362719218,0.608060359954834,0.707317054271698,0.8991535305976868,0.012468105182051659,0.8762748837471008,0.012294131331145763,0.9002551635106405,0.8913432359695435,0.25698039184014004,0.9298245708147684,18.333333333333332,0.8768909772237142,0.16333333333333333,0.8881394267082214,0.38007016976674396,0.25698039184014004,0.8991535305976868,0.34183284143606824,0.012294131331145763,0.25698039184014004,0.9188034534454346,0.9073025584220886,0.012294131331145763,0.9002551635106405,0.9298245708147684,0.8881394267082214,0.8629060387611389,0.8780015905698141,0.9298245509465536,0.4821487069129944,0.9298245708147684,0.38007016976674396,0.9149308204650879,0.38007016976674396,0.8768909772237142,0.9073025584220886,0.8629060387611389,0.45989816387494403,0.8367071549097697,0.7435897588729858,0.8376068671544393,0.9298245509465536,0.375,0.01189099500576655,0.7250000238418579,0.01136627234518528,0.03974865550829341,0.00023438037910223166,0.003325697054625211,0.040198028646768635,0.01983799711607194,0.06342880799777137,0.0,0.00033438531364888375,0.0005314974711940862,0.028510379621786073,0.0005314974711940866,0.034779060019048944,0.003325697054625211,0.16628550704356057,0.04019806116376663,11.060440015358038,0.0011957406981240328,0.15373136743466942,0.02045982305344671,0.21384599283203576,0.16628550704356057,0.00033438531364888375,0.19432828648076297,0.0005314974711940866,0.16628550704356057,0.03916731129754746,0.017759729852964805,0.0005314974711940866,0.034779060019048944,0.04019806116376663,0.02045982305344671,0.0008039763114787747,0.03974865550829341,0.040198028646768635,0.08314274084955901,0.04019806116376663,0.21384599283203576,0.00023438037910223166,0.21384599283203576,0.0011957406981240328,0.017759729852964805,0.0008039763114787747,0.21207541900748098,0.020099004568296282,0.0,0.019583610124974286,0.040198028646768635,0.0,0.00038688437877112985,0.0,0.00026574904044414686
no_init_kenn_hybrid_adapter_bert_ms,0.890851100285848,0.9150506655375162,0.8914917906125387,0.9561403393745422,0.8484848539034525,0.6161651015281677,0.707317054271698,0.8993724385897318,0.012816052262981733,0.8948776523272196,0.012642078412075838,0.9125686486562093,0.8914917906125387,0.26440858840942383,0.9561403592427572,16.333333333333332,0.8772356510162354,0.07333333333333333,0.8950593670209249,0.40334834655125934,0.26440858840942383,0.8993724385897318,0.3584328492482503,0.012642078412075838,0.26440858840942383,0.944444477558136,0.9137895504633585,0.012642078722516695,0.9125686486562093,0.9561403592427572,0.8950593670209249,0.8634323477745056,0.890851100285848,0.9561403393745422,0.4858628213405609,0.9561403592427572,0.40334834655125934,0.9150506655375162,0.40334834655125934,0.8772356510162354,0.9137895504633585,0.8634323477745056,0.49452399214108783,0.8498650590578715,0.7435897588729858,0.8504273891448975,0.9561403393745422,0.375,0.012143433094024658,0.7250000238418579,0.011540246196091175,0.012627743767604414,0.0002900621768003996,0.002270192507319766,0.05478068997334042,0.027034633038024777,0.03751570353980581,0.0,0.00045570127777806117,0.0007243093345789613,0.0388112401568089,0.0007243093345789631,0.009759172580831529,0.002270192507319766,0.11350915436377028,0.054780699517727134,8.504900548115382,0.0005327260184940451,0.050332229568471665,0.006151084475282646,0.12843230423241828,0.11350915436377028,0.00045570127777806117,0.12154080447312018,0.0007243093345789631,0.11350915436377028,0.053376048086901745,0.004754242144669474,0.000724309707406684,0.009759172580831529,0.054780699517727134,0.006151084475282646,0.0010956329837052445,0.012627743767604414,0.05478068997334042,0.05675457521014083,0.054780699517727134,0.12843230423241828,0.0002900621768003996,0.12843230423241828,0.0005327260184940451,0.004754242144669474,0.0010956329837052445,0.11157092314168736,0.027390328284003132,0.0,0.02668800972692439,0.05478068997334042,0.0,0.0005266662837803447,0.0,0.00036215492826863807
no_init_kenn_top_down_adapter_bert_ms,0.7950873176256815,0.915012001991272,0.8904685179392496,0.9473684231440226,0.8441558480262756,0.5909560720125834,0.707317054271698,0.8992994825045267,0.012700070006151995,0.888677179813385,0.012526096465686956,0.8115769823392233,0.8904685179392496,0.21324480790644884,0.9473684231440226,16.666666666666668,0.8766472538312277,0.14333333333333334,0.8364783326784769,0.3162913837780555,0.21324480790644884,0.8992994825045267,0.28394210028151673,0.012526096465686956,0.21324480790644884,0.9358974695205688,0.8522993723551432,0.012526096776127815,0.8115769823392233,0.9473684231440226,0.8364783326784769,0.8632569114367167,0.7950873176256815,0.9473684231440226,0.46028093496958417,0.9473684231440226,0.3162913837780555,0.915012001991272,0.3162913837780555,0.8766472538312277,0.8522993723551432,0.8632569114367167,0.38121416916449863,0.8454791108767191,0.7435897588729858,0.8461538950602213,0.9473684231440226,0.375,0.012059293066461882,0.7250000238418579,0.011482254912455877,0.17742350818951524,0.0002708762182289947,0.003773180386346606,0.052631586790087656,0.025974035263061523,0.07426346792276492,0.0,0.00043782591853573367,0.0006958940066397709,0.0372736352404411,0.0006958940066397727,0.18394578094741695,0.003773180386346606,0.18865943739567784,0.052631586790087656,8.020806277010642,0.0012902160138802642,0.14640127503998498,0.10704630720933217,0.2620426445263099,0.18865943739567784,0.00043782591853573367,0.2368356825434081,0.0006958940066397727,0.18865943739567784,0.05128204822540275,0.11088912009278841,0.0006958944723010068,0.18394578094741695,0.052631586790087656,0.10704630720933217,0.0010526478291964121,0.17742350818951524,0.052631586790087656,0.09432972121948428,0.052631586790087656,0.2620426445263099,0.0002708762182289947,0.2620426445263099,0.0012902160138802642,0.11088912009278841,0.0010526478291964121,0.2939712080314429,0.026315778493886853,0.0,0.02564102411272451,0.052631586790087656,0.0,0.000505800969500016,0.0,0.0003479472361506053
smart_init_box_adapter_bert_ms,0.8946478764216105,0.9069299697875977,0.8805484175682068,0.9385964870452881,0.878787895043691,0.6823895970980326,0.7111111283302307,0.8810566266377767,0.012584087749322256,0.9032011032104492,0.012410114208857218,0.9190791050593058,0.8805484175682068,0.4060395459334056,0.938596506913503,11.333333333333334,0.8484794894854227,0.19666666666666666,0.8877969980239868,0.5626078546047211,0.4060395459334056,0.8810566266377767,0.5060181617736816,0.012410114208857218,0.4060395459334056,0.9273504614830017,0.9129619797070821,0.012410114208857218,0.9190791050593058,0.938596506913503,0.8877969980239868,0.8186659812927246,0.8946478764216105,0.9385964870452881,0.5585753520329794,0.938596506913503,0.5626078546047211,0.9069299697875977,0.5626078546047211,0.8484794894854227,0.9129619797070821,0.8186659812927246,0.6398766239484152,0.8795546690622965,0.8205128312110901,0.8803419272104899,0.9385964870452881,0.25,0.012256382343669733,0.7619048357009888,0.011946183939774832,0.003964900986737063,0.00014061052798681323,0.001661499718256203,0.030386843594753715,0.01499611625106941,0.027379728408194106,0.0,0.00025276170535075285,0.0004017748609105587,0.021807226907276458,0.0004017753986098976,0.0033115922808443243,0.001661499718256203,0.08307454068792951,0.03038687800751143,2.309401076758503,0.0005372956862226287,0.09073771725877465,0.0018378720164534596,0.07631257855590128,0.08307454068792951,0.00025276170535075285,0.07046584012604284,0.0004017753986098976,0.08307454068792951,0.029607704347531766,0.0015708069909162615,0.0004017753986098976,0.0033115922808443243,0.03038687800751143,0.0018378720164534596,0.0006077637138460863,0.003964900986737063,0.030386843594753715,0.041537270343964754,0.03038687800751143,0.07631257855590128,0.00014061052798681323,0.07631257855590128,0.0005372956862226287,0.0015708069909162615,0.0006077637138460863,0.05355545030091749,0.015193439003755735,0.0,0.014803817761008134,0.030386843594753715,0.0,0.0002959233690041861,0.0,0.00020088769930494898
