name,threshold_pretraining/mean,test_incremental/macro_types/f1/mean,test_incremental/macro_example/precision/mean,test/micro/precision/mean,test_pretraining/macro_example/f1/mean,test_pretraining/macro_types/precision/mean,test_incremental_only/macro_types/recall/mean,test_incremental_art/macro_types/precision/mean,test_incremental_only/macro_types/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test/macro_types/f1/mean,test/macro_types/recall/mean,test/macro_example/recall/mean,test_incremental_only/macro_types/f1/mean,test_incremental/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,epoch/mean,test_incremental/micro/f1/mean,test_incremental/macro_example/recall/mean,test_incremental_art/macro_types/f1/mean,test_pretraining/macro_types/recall/mean,test/macro_example/f1/mean,test_incremental/macro_example_exclusive/f1/mean,test_pretraining/micro/f1/mean,test_incremental/micro/recall/mean,test_incremental_art/macro_types/recall/mean,test_pretraining/macro_example/precision/mean,test_pretraining/micro/precision/mean,test/macro_types/precision/mean,test_incremental_art-film/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/recall/mean,threshold_incremental/mean,test_incremental/micro/precision/mean,test_incremental_only/macro_example/precision/mean,test_pretraining/macro_types/f1/mean,test_incremental/macro_types/recall/mean,test/micro/f1/mean,test/micro/recall/mean,test_incremental_art-film/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental/macro_example_exclusive/precision/mean,test_pretraining/micro/recall/mean,test_incremental_only/micro/f1/mean,test_incremental/macro_example/f1/mean,test_incremental_only/micro/recall/mean,test_incremental_only/micro/precision/mean,test_incremental_only/macro_example/recall/mean,test_incremental_art-film/macro_types/precision/mean,test_incremental_only/macro_example/f1/mean,test/macro_example/precision/mean,test_pretraining/macro_example/recall/mean,threshold_pretraining/std,test_incremental/macro_types/f1/std,test_incremental/macro_example/precision/std,test/micro/precision/std,test_pretraining/macro_example/f1/std,test_pretraining/macro_types/precision/std,test_incremental_only/macro_types/recall/std,test_incremental_art/macro_types/precision/std,test_incremental_only/macro_types/precision/std,test_incremental/macro_example_exclusive/recall/std,test/macro_types/f1/std,test/macro_types/recall/std,test/macro_example/recall/std,test_incremental_only/macro_types/f1/std,test_incremental/macro_types/precision/std,test_incremental_only/macro_example_exclusive/precision/std,epoch/std,test_incremental/micro/f1/std,test_incremental/macro_example/recall/std,test_incremental_art/macro_types/f1/std,test_pretraining/macro_types/recall/std,test/macro_example/f1/std,test_incremental/macro_example_exclusive/f1/std,test_pretraining/micro/f1/std,test_incremental/micro/recall/std,test_incremental_art/macro_types/recall/std,test_pretraining/macro_example/precision/std,test_pretraining/micro/precision/std,test/macro_types/precision/std,test_incremental_art-film/macro_types/f1/std,test_incremental_only/macro_example_exclusive/recall/std,threshold_incremental/std,test_incremental/micro/precision/std,test_incremental_only/macro_example/precision/std,test_pretraining/macro_types/f1/std,test_incremental/macro_types/recall/std,test/micro/f1/std,test/micro/recall/std,test_incremental_art-film/macro_types/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental/macro_example_exclusive/precision/std,test_pretraining/micro/recall/std,test_incremental_only/micro/f1/std,test_incremental/macro_example/f1/std,test_incremental_only/micro/recall/std,test_incremental_only/micro/precision/std,test_incremental_only/macro_example/recall/std,test_incremental_art-film/macro_types/precision/std,test_incremental_only/macro_example/f1/std,test/macro_example/precision/std,test_pretraining/macro_example/recall/std
no_init_box_adapter_bert_ms,0.25,0.6540602246920267,0.011772210709750652,0.8892511129379272,0.9089672168095907,0.8816409707069397,0.7280701597531637,0.7111111283302307,0.46066881716251373,0.7777778108914694,0.8467031717300415,0.8144554495811462,0.905969262123108,0.49897393584251404,0.5858899851640066,0.7280701597531637,40.0,0.582924465338389,0.010554395926495394,0.7619048357009888,0.8144554495811462,0.9089672168095907,0.8198407491048177,0.88414333264033,0.7748917937278748,0.8205128312110901,0.9121317664782206,0.8892511129379272,0.8816409707069397,0.49897393584251404,0.7280701597531637,0.12,0.5187329103549322,0.009626536630094051,0.8467031717300415,0.7742914954821268,0.88414333264033,0.8793053030967712,0.7280701597531637,0.7280701597531637,0.8675214250882467,0.8793053030967712,0.49897393584251404,0.011125187079111734,0.7280701597531637,0.46066881716251373,0.009626536630094051,0.46066881716251373,0.009626536630094051,0.9121317664782206,0.905969262123108,0.0,0.08089424139371805,0.0006109747149080815,0.02265868554008726,0.009293781043174146,0.005934000909723539,0.14493606788823812,0.0,0.296699566078943,0.07060988181755969,0.0014371067107266293,0.002898718291444812,0.0006714637468788988,0.23585739273636247,0.14834979168017684,0.14493606788823812,9.16515138991168,0.20189953040561406,0.0009581716508103816,0.0,0.002898718291444812,0.009293781043174146,0.057388715203851574,0.010691984755641757,0.07152688153385071,0.0,0.019267345389053035,0.02265868554008726,0.005934000909723539,0.23585739273636247,0.14493606788823812,0.10535653752852739,0.26135903042937764,0.0019163438370997149,0.0014371067107266293,0.07246803664970496,0.010691984755641757,0.0012056920938576107,0.14493606788823812,0.14493606788823812,0.04502414450977314,0.0012056920938576107,0.23585739273636247,0.0007787611565463928,0.14493606788823812,0.296699566078943,0.0019163438370997149,0.296699566078943,0.0019163438370997149,0.019267345389053035,0.0006714637468788988
no_init_box_kenn_bottom_up_adapter_bert_ms,0.25,0.6700519124666849,0.011308281682431698,0.8985840082168579,0.9129679997762045,0.8825434048970541,0.6929824550946554,0.7111111283302307,0.5057903726895651,0.7606837749481201,0.846748928229014,0.8137536843617758,0.9057817459106445,0.5627065002918243,0.6084507703781128,0.6929824550946554,40.333333333333336,0.6494208772977194,0.010322430791954199,0.7619048357009888,0.8137536843617758,0.9129679997762045,0.7947633862495422,0.8886826833089193,0.7575757503509521,0.8205128312110901,0.9202795426050822,0.8985840082168579,0.8825434048970541,0.5627065002918243,0.6929824550946554,0.023333333333333334,0.5821042656898499,0.009162607292334238,0.846748928229014,0.7567476232846578,0.8886826833089193,0.8790134191513062,0.6929824550946554,0.6929824550946554,0.8333333929379781,0.8790134191513062,0.5627065002918243,0.010784889260927836,0.6929824550946554,0.5057903726895651,0.009162607292334238,0.5057903726895651,0.009162607292334238,0.9202795426050822,0.9057817459106445,0.0,0.057299415367197785,0.00046029066410821246,0.006237649335182209,0.002388006301105604,0.004107031007145341,0.06622663364290973,0.0,0.2053517318826437,0.03226423595804962,0.0015271518033332365,0.0013245153042364282,0.0002498806071008702,0.13519901634389472,0.10267585165255873,0.06622663364290973,9.073771725877467,0.09000956473177275,0.0004378236649601789,0.0,0.0013245153042364282,0.002388006301105604,0.019314419355968986,0.002827593205246698,0.03268325001010799,0.0,0.005084313002222406,0.006237649335182209,0.004107031007145341,0.13519901634389472,0.06622663364290973,0.015275252316519468,0.14475135193458702,0.0008756481934172544,0.0015271518033332365,0.03311333261111029,0.002827593205246698,0.0005509247869345012,0.06622663364290973,0.06622663364290973,0.033919897845830826,0.0005509247869345012,0.13519901634389472,0.00026209575091237276,0.06622663364290973,0.2053517318826437,0.0008756481934172544,0.2053517318826437,0.0008756481934172544,0.005084313002222406,0.0002498806071008702
no_init_box_kenn_horizontal_adapter_bert_ms,0.25,0.6741397579511007,0.0112502903987964,0.9029980301856995,0.9141344626744589,0.8854646484057108,0.5263157884279887,0.7111111283302307,0.6518518527348837,0.6794872283935547,0.8462779323259989,0.8104203740755717,0.9049447377522787,0.5656066636244456,0.6814815004666647,0.5263157685597738,35.0,0.6756548682848612,0.009220598575969538,0.7619048357009888,0.8104203740755717,0.9141344626744589,0.7454331119855245,0.8901306390762329,0.6753246784210205,0.8205128312110901,0.9235135118166605,0.9029980301856995,0.8854646484057108,0.5656066636244456,0.5263157685597738,0.2366666666666667,0.6821565429369608,0.006958942549924056,0.8462779323259989,0.6734143098195394,0.8901306390762329,0.8776269753774008,0.5263157884279887,0.5263157685597738,0.829059878985087,0.8776269753774008,0.5656066636244456,0.010115480050444603,0.5263157884279887,0.6518518527348837,0.006958942549924056,0.6518518527348837,0.006958942549924056,0.9235135118166605,0.9049447377522787,0.0,0.03535124832153274,0.00020088769930494687,0.0013285001531462843,0.0003595002469332704,0.0018419051461329222,0.16007269017186912,0.0,0.09209541499874188,0.07798415485296661,0.0014174124093173498,0.003201447042167781,0.0008532045043452272,0.09696610911473272,0.04604771888539041,0.1600726754734534,4.358898943540674,0.03551614713514778,0.0010582394780232491,0.0,0.003201447042167781,0.0003595002469332704,0.0520781743121636,0.0004895503431076867,0.07899694422939765,0.0,0.0007388651398008851,0.0013285001531462843,0.0018419051461329222,0.09696610911473272,0.1600726754734534,0.2706165799305973,0.043863067502232435,0.0021164797215889176,0.0014174124093173498,0.08003631813884322,0.0004895503431076867,0.0013315979949310738,0.16007269017186912,0.1600726754734534,0.014803817761008158,0.0013315979949310738,0.09696610911473272,0.0007066975351517926,0.16007269017186912,0.09209541499874188,0.0021164797215889176,0.09209541499874188,0.0021164797215889176,0.0007388651398008851,0.0008532045043452272
no_init_box_kenn_hybrid_adapter_bert_ms,0.25,0.6658480564753214,0.011482255222896734,0.8985793391863505,0.9131775895754496,0.8819377422332764,0.7105263272921244,0.7111111283302307,0.47550709048906964,0.7692307829856873,0.8466618458429972,0.8141045570373535,0.9058977166811625,0.55685426791509,0.5933091044425964,0.7105263272921244,37.0,0.6480844815572103,0.010438413048783938,0.7619048357009888,0.8141045570373535,0.9131775895754496,0.8052271008491516,0.8887602885564169,0.7662337422370911,0.8205128312110901,0.9205791552861532,0.8985793391863505,0.8819377422332764,0.55685426791509,0.7105263272921244,0.02,0.5680894255638123,0.009394572426875433,0.8466618458429972,0.7655195593833923,0.8887602885564169,0.8791593710581461,0.7105263272921244,0.7105263272921244,0.8461538950602213,0.8791593710581461,0.55685426791509,0.010926881184180578,0.7105263272921244,0.47550709048906964,0.009394572426875433,0.47550709048906964,0.009394572426875433,0.9205791552861532,0.9058977166811625,0.0,0.04639870691798752,0.0004602904881047338,0.003781901499473662,0.0013743163247260412,0.003314947867968103,0.04558028259850951,0.0,0.16574869384699134,0.02220577826066877,0.0013244219215798416,0.0009115939516325704,0.00019553287441823207,0.10262600784737594,0.08287435085434926,0.04558028259850951,4.58257569495584,0.06273905876573106,0.000301331011258085,0.0,0.0009115939516325704,0.0013743163247260412,0.004444715877839585,0.0017250980714268642,0.022494174376604104,0.0,0.002997093451534468,0.003781901499473662,0.003314947867968103,0.10262600784737594,0.04558028259850951,0.017320508075688773,0.10655530714921073,0.0006026620225161684,0.0013244219215798416,0.022790158505633616,0.0017250980714268642,0.0003791597644049622,0.04558028259850951,0.04558028259850951,0.033919897845830854,0.0003791597644049622,0.10262600784737594,6.031512213544049e-05,0.04558028259850951,0.16574869384699134,0.0006026620225161684,0.16574869384699134,0.0006026620225161684,0.002997093451534468,0.00019553287441823207
no_init_box_kenn_top_down_adapter_bert_ms,0.25,0.6500298976898193,0.01200417522341013,0.8881723682085673,0.9086699287096659,0.8811322450637817,0.7456140319506327,0.7111111283302307,0.4352323015530904,0.7863248189290365,0.8466594020525614,0.814806322256724,0.9060852328936261,0.4891865849494934,0.5731717050075531,0.7456140319506327,33.666666666666664,0.5747866133848826,0.010670378183325132,0.7619048357009888,0.814806322256724,0.9086699287096659,0.8321637511253357,0.8836793104807535,0.7835497856140137,0.8205128312110901,0.9114262064297994,0.8881723682085673,0.8811322450637817,0.4891865849494934,0.7456140319506327,0.10333333333333333,0.5015153338511785,0.009858501764635244,0.8466594020525614,0.7830634315808614,0.8836793104807535,0.8794512550036112,0.7456140319506327,0.7456140319506327,0.884615441163381,0.8794512550036112,0.4891865849494934,0.011292409151792526,0.7456140319506327,0.4352323015530904,0.009858501764635244,0.4352323015530904,0.009858501764635244,0.9114262064297994,0.9060852328936261,0.0,0.079246468046057,0.0003013307424087739,0.02320006194175517,0.009729491411674241,0.005703275022556198,0.1298126970457726,0.0,0.2851635664421193,0.06324209427816439,0.0013473616125899623,0.002596254947844938,0.000601179799738657,0.2339610686950491,0.14258176967598638,0.1298126970457726,4.509249752822894,0.2025037414794048,0.0008581912431000704,0.0,0.002596254947844938,0.009729491411674241,0.0449338199313412,0.01103593365606276,0.06406341656863991,0.0,0.02002617597149068,0.02320006194175517,0.005703275022556198,0.2339610686950491,0.1298126970457726,0.12858201014657272,0.25504341536724784,0.0017163825805994566,0.0013473616125899623,0.06490634550210923,0.01103593365606276,0.0010798770189358112,0.1298126970457726,0.1298126970457726,0.022205761054269926,0.0010798770189358112,0.2339610686950491,0.0006097492904700219,0.1298126970457726,0.2851635664421193,0.0017163825805994566,0.2851635664421193,0.0017163825805994566,0.02002617597149068,0.000601179799738657
no_init_kenn_bottom_up_adapter_bert_ms,0.375,0.610684851805369,0.012236140047510466,0.8763244152069092,0.9083731174468994,0.8918335636456808,0.9035087823867798,0.707317054271698,0.2814974437157313,0.8247863451639811,0.8768529295921326,0.8623797297477722,0.9148496389389038,0.3872652053833008,0.49440725644429523,0.9035087823867798,29.0,0.457785243789355,0.011192298804720243,0.7250000238418579,0.8623797297477722,0.9083731174468994,0.8615149259567261,0.8871332208315531,0.822510818640391,0.7435897588729858,0.9023428757985433,0.8763244152069092,0.8918335636456808,0.3872652053833008,0.9035087823867798,0.09999999999999999,0.3538441409667333,0.011946184560656548,0.8768529295921326,0.8235492706298828,0.8871332208315531,0.8989346226056417,0.9035087823867798,0.9035088022549947,0.9017094373703003,0.8989346226056417,0.3872652053833008,0.011690703220665455,0.9035087823867798,0.2814974437157313,0.011946184560656548,0.2814974437157313,0.011946184560656548,0.9023428757985433,0.9148496389389038,0.0,0.08328773947520941,0.0005314978776566979,0.04215922919687687,0.015603093954296321,0.004788141712386746,0.054780689973340416,0.0,0.2394058893832631,0.02668802881564687,0.0017483725173748194,0.0010956329837052445,0.00032607687217880256,0.2636122032352352,0.11970293737012873,0.054780689973340416,1.0,0.2400395348163724,0.0003621550773997887,0.0,0.0010956329837052445,0.015603093954296321,0.03240657733863121,0.02169143724360425,0.027034633038024756,0.0,0.030757801172681377,0.04215922919687687,0.004788141712386746,0.2636122032352352,0.054780689973340416,0.13892443989449804,0.24579255529530897,0.0007243098565372783,0.0017483725173748194,0.02739035214497615,0.02169143724360425,0.00045573468303915064,0.054780689973340416,0.054780656568006264,0.03916731129754738,0.00045573468303915064,0.2636122032352352,0.0004397558276949157,0.054780689973340416,0.2394058893832631,0.0007243098565372783,0.2394058893832631,0.0007243098565372783,0.030757801172681377,0.00032607687217880256
no_init_kenn_horizontal_adapter_bert_ms,0.375,0.6250482797622681,0.012352122614781061,0.8949854175249735,0.9150953491528829,0.892318844795227,0.9122807184855143,0.707317054271698,0.30576161046822864,0.8290598392486572,0.8771811127662659,0.8625551660855612,0.9148496389389038,0.4398484428723653,0.5065393447875977,0.9122807184855143,28.666666666666668,0.5256434679031372,0.011250290088355541,0.7250000238418579,0.8625551660855612,0.9150953491528829,0.8677375515302023,0.8969678282737732,0.826839824517568,0.7435897588729858,0.9153715570767721,0.8949854175249735,0.892318844795227,0.4398484428723653,0.9122807184855143,0.13999999999999999,0.39886770645777386,0.012062167127927145,0.8771811127662659,0.827935258547465,0.8969678282737732,0.8990075985590616,0.9122807184855143,0.9122807383537292,0.9102564454078674,0.8990075985590616,0.4398484428723653,0.011775143754978975,0.9122807184855143,0.30576161046822864,0.012062167127927145,0.30576161046822864,0.012062167127927145,0.9153715570767721,0.9148496389389038,0.0,0.04804734387225762,0.0006026620225161681,0.01089295683451059,0.004235859827622971,0.003101924369454085,0.06077372160226525,0.0,0.15509515439687035,0.029607704347531696,0.0008672759106357991,0.0012154930149344825,0.00032607687217880256,0.15202124186129198,0.07754759230067365,0.06077372160226525,2.516611478423583,0.11899462719944359,0.000401775129760498,0.0,0.0012154930149344825,0.004235859827622971,0.03642222186675166,0.005198481060609007,0.02999223250213882,0.0,0.008824663859832929,0.01089295683451059,0.003101924369454085,0.15202124186129198,0.06077372160226525,0.20784609690826528,0.1482877674136885,0.0008035497218211161,0.0008672759106357991,0.03038687800751147,0.005198481060609007,0.0005055922362168856,0.06077372160226525,0.06077368718950756,0.044411556521297545,0.0005055922362168856,0.15202124186129198,0.0004942478555593755,0.06077372160226525,0.15509515439687035,0.0008035497218211161,0.15509515439687035,0.0008035497218211161,0.008824663859832929,0.00032607687217880256
no_init_kenn_hybrid_adapter_bert_ms,0.375,0.6077283024787903,0.012352122614781061,0.8716084361076355,0.9064342180887858,0.8917423486709595,0.9122806986172994,0.707317054271698,0.27693503846724826,0.8290598392486572,0.8768972158432007,0.8625551660855612,0.9148728450139364,0.3702388306458791,0.4921260376771291,0.9122807184855143,28.0,0.43531963725884754,0.011250290088355541,0.7250000238418579,0.8625551660855612,0.9064342180887858,0.8677153984705607,0.8847162326176962,0.826839824517568,0.7435897588729858,0.898544430732727,0.8716084361076355,0.8917423486709595,0.3702388306458791,0.9122807184855143,0.12666666666666668,0.33830761909484863,0.012062167127927145,0.8768972158432007,0.8279352188110352,0.8847162326176962,0.8990075786908468,0.9122806986172994,0.9122807383537292,0.9102564454078674,0.8990075786908468,0.3702388306458791,0.011774842937787374,0.9122806986172994,0.27693503846724826,0.012062167127927145,0.27693503846724826,0.012062167127927145,0.898544430732727,0.9148728450139364,0.0,0.09432229991692867,0.000695894472301214,0.04355035256919008,0.01642864544338611,0.005555057818687432,0.06622660601101045,0.0,0.27775307124194165,0.03226423595804962,0.0020191578154923864,0.00132454688361928,0.0003507319903120331,0.29215163181347864,0.13887651597939146,0.0662266336429097,2.0,0.2553315997882461,0.00043782415838703663,0.0,0.00132454688361928,0.01642864544338611,0.04089536842519906,0.022380788100897123,0.03268327764199979,0.0,0.032374032726776594,0.04355035256919008,0.005555057818687432,0.29215163181347864,0.0662266336429097,0.1934769581457527,0.2724093470007055,0.0008756481934172535,0.0020191578154923864,0.03311330103180086,0.022380788100897123,0.0005509287345606712,0.06622660601101045,0.0662266020636017,0.051282048225402874,0.0005509287345606712,0.29215163181347864,0.0005549476731626593,0.06622660601101045,0.27775307124194165,0.0008756481934172535,0.27775307124194165,0.0008756481934172535,0.032374032726776594,0.0003507319903120331
no_init_kenn_top_down_adapter_bert_ms,0.375,0.6077806154886881,0.012236140668392181,0.8654908339182535,0.903393546740214,0.8917417923609415,0.9035087625185648,0.707317054271698,0.27690820520122844,0.8247863451639811,0.8768075505892435,0.8623797098795573,0.914834181467692,0.37589923044045764,0.4921126365661621,0.9035087823867798,29.333333333333332,0.4411103427410126,0.011192298804720243,0.7250000238418579,0.8623797098795573,0.903393546740214,0.8614691297213236,0.8811405499776205,0.822510818640391,0.7435897588729858,0.8930720090866089,0.8654908339182535,0.8917417923609415,0.37589923044045764,0.9035087823867798,0.23,0.3447466219464938,0.011946184871097406,0.8768075505892435,0.8235492706298828,0.8811405499776205,0.8989346027374268,0.9035087625185648,0.9035088022549947,0.9017094373703003,0.8989346027374268,0.37589923044045764,0.011690081097185612,0.9035087625185648,0.27690820520122844,0.011946184871097406,0.27690820520122844,0.011946184871097406,0.8930720090866089,0.914834181467692,0.0,0.08827883497456591,0.0007243098565372795,0.06095407815639363,0.02429221261293988,0.005069170793455182,0.06622660601101044,0.0,0.25345775596234266,0.03226422806323604,0.0018012914275585123,0.0013245468836192524,0.00033436372551441543,0.2839352393012772,0.1267288714663865,0.06622663759032553,0.5773502691896255,0.2677744471960148,0.0004378240967086271,0.0,0.0013245468836192524,0.02429221261293988,0.041771170087872525,0.03200850770610422,0.03268327764199976,0.0,0.047019291329525995,0.06095407815639363,0.005069170793455182,0.2839352393012772,0.06622663759032553,0.272213151776324,0.2642785413216351,0.0008756482550955004,0.0018012914275585123,0.03311330103180086,0.03200850770610422,0.0005509247869345012,0.06622660601101044,0.06622660995843685,0.05337604808690186,0.0005509247869345012,0.2839352393012772,0.0005668321858158232,0.06622660601101044,0.25345775596234266,0.0008756482550955004,0.25345775596234266,0.0008756482550955004,0.047019291329525995,0.00033436372551441543
smart_init_box_adapter_bert_ms,0.25,0.6687662998835245,0.012584087749322256,0.8846364816029867,0.9085207184155782,0.8800964951515198,0.9385964870452881,0.7111111283302307,0.38344472150007886,0.880341907342275,0.8482648730278015,0.8186659812927246,0.9069106380144755,0.5116805881261826,0.5472779174645742,0.9385964870452881,12.0,0.5792867739995321,0.011946184250215689,0.7619048357009888,0.8186659812927246,0.9085207184155782,0.9031252463658651,0.8827212452888489,0.878787895043691,0.8205128312110901,0.9103031158447266,0.8846364816029867,0.8800964951515198,0.5116805881261826,0.9385964870452881,0.1366666666666667,0.462321142355601,0.01241011389841636,0.8482648730278015,0.8795546491940817,0.8827212452888489,0.8810566266377767,0.9385964870452881,0.9385964870452881,0.9273504614830017,0.8810566266377767,0.5116805881261826,0.012255352921783924,0.9385964870452881,0.38344472150007886,0.01241011389841636,0.38344472150007886,0.012410114208857218,0.9103031158447266,0.9069106380144755,0.0,0.08199712697981552,0.0007243094837098339,0.02488919142155304,0.010394722242777559,0.00443102090362665,0.0547806899733404,0.0,0.2215512497990838,0.026687985865935588,0.0015095904572739387,0.0010956329837052445,0.0002720850144923642,0.24697748135196884,0.11077561276413209,0.0547806899733404,3.4641016151377544,0.21243263511155513,0.00036215507739978826,0.0,0.0010956329837052445,0.010394722242777559,0.039300123183215234,0.012279735052795341,0.02703463303802478,0.0,0.020979338879780478,0.02488919142155304,0.00443102090362665,0.24697748135196884,0.0547806899733404,0.10408329997330663,0.2232372352115878,0.0007243094837098352,0.0015095904572739387,0.027390328284003198,0.012279735052795341,0.0004557012777780678,0.0547806899733404,0.0547806899733404,0.05337604808690174,0.0004557012777780678,0.24697748135196884,0.0005332999809292935,0.0547806899733404,0.2215512497990838,0.0007243094837098352,0.2215512497990838,0.0007243100056682447,0.020979338879780478,0.0002720850144923642
