name,instance,run_id,threshold_pretraining,test_incremental_location-bridge/macro_types/recall,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/f1,test_incremental_location-county/macro_types/recall,test_pretraining/micro/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental_location-body_of_water/macro_types/precision,test/micro/precision,test_incremental_location-province/macro_types/precision,test_incremental/micro/precision,test_incremental_location-cemetery/macro_types/recall,test_incremental_only/micro/precision,test_incremental_only/macro_types/f1,epoch,test/macro_example/f1,test/micro/f1,test_incremental_only/macro_example/precision,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_types/precision,test_incremental_only/micro/f1,test_incremental/macro_example_exclusive/recall,test_incremental/micro/recall,test/macro_types/recall,test_incremental/micro/f1,test_pretraining/macro_example/precision,test_incremental_location-county/macro_types/f1,test_incremental_location/macro_types/precision,test_incremental_only/macro_example/recall,test_incremental/macro_types/f1,test_incremental_location-country/macro_types/recall,test_incremental_only/micro/recall,test_incremental/macro_types/precision,test_incremental_location-country/macro_types/precision,test/micro/recall,test_incremental_location-bridge/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,threshold_incremental,test_pretraining/macro_types/f1,test_incremental_location-cemetery/macro_types/f1,test_incremental_location-city/macro_types/precision,test_incremental/macro_types/recall,test_incremental_only/macro_example/f1,test_incremental_location-city/macro_types/recall,test_incremental/macro_example/recall,test_incremental_location/macro_types/recall,test/macro_example/recall,test_incremental_location-cemetery/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,test_pretraining/micro/f1,test/macro_types/precision,test_pretraining/macro_types/recall,test_incremental_location/macro_types/f1,test_incremental_location-province/macro_types/f1,test_incremental_location-body_of_water/macro_types/f1,test_incremental_location-county/macro_types/precision,test_incremental_location-body_of_water/macro_types/recall,test_pretraining/macro_types/precision,test_incremental_location-bridge/macro_types/f1,test_incremental_location-country/macro_types/f1,test_pretraining/micro/recall,test_pretraining/macro_example/recall,test_incremental_only/macro_types/recall,test_incremental_location-city/macro_types/f1,test/macro_types/f1,test/macro_example/precision,test_incremental/macro_example/f1,test_pretraining/macro_example/f1,test_incremental_location-province/macro_types/recall
kenn_horizontal_adapter_bert_ms,2,2t1izo60,0.375,0.9677419066429138,0.23695197701454165,0.8659021854400635,0.6666666865348816,0.8897899985313416,0.5634408593177795,0.8484848737716675,0.8897899985313416,0.8888888955116272,0.8240417838096619,0.6792452931404114,0.5864022374153137,0.6780073046684265,19,0.9041727781295776,0.8801810145378113,0.07028532028198242,0.8753212690353394,0.7206223607063293,0.5617367625236511,0.8566837906837463,0.8141136169433594,0.8338667750358582,0.8190475702285767,0.9112386703491212,0.6779661774635315,0.9295597672462464,0.06077476590871811,0.7111870050430298,0.3913043439388275,0.5390625,0.7467395067214966,0.6716417670249939,0.8707773685455322,0.23999999463558197,0.6043276786804199,0.18000000000000002,0.8569421768188477,0.7272726893424988,0.9230769276618958,0.6788660287857056,0.06518496572971344,0.2857142984867096,0.23190675675868988,0.9498714804649352,0.8972156047821045,0.782608687877655,0.6516128778457642,0.8801810145378113,0.8813310861587524,0.8338667750358582,0.9396058320999146,0.7272727489471436,0.8615384697914124,0.6896551847457886,0.875,0.8813310861587524,0.3846153914928436,0.49450549483299255,0.8707773685455322,0.8972156047821045,0.6401510238647461,0.4363636374473572,0.8569421768188477,0.9112386703491212,0.23440223932266235,0.9041727781295776,0.6153846383094788
kenn_horizontal_adapter_bert_ms,1,1kmt12i9,0.375,0.9677419066429138,0.22767339646816256,0.8520915508270264,0.8333333134651184,0.8796638250350952,0.5946236848831177,0.7045454382896423,0.8796638250350952,0.6296296119689941,0.7871816158294678,0.7547169923782349,0.5189573168754578,0.6442917585372925,28,0.9024755358695984,0.8764297366142273,0.07028531283140182,0.8410454392433167,0.6152322292327881,0.5434242486953735,0.8634318113327026,0.824440598487854,0.8383769989013672,0.8053804039955139,0.9056947827339172,0.8064516186714172,0.9295597672462464,0.0641382485628128,0.6813350319862366,0.35652172565460205,0.5703125,0.6545231342315674,0.6212121248245239,0.87321937084198,0.21897810697555545,0.6218152642250061,0.06999999999999999,0.8530072569847107,0.64000004529953,0.7954545617103577,0.7104374170303345,0.06707123667001724,0.4166666567325592,0.23373347520828247,0.9498714804649352,0.8992792367935181,0.5555555820465088,0.6516128778457642,0.8764297366142273,0.8681573271751404,0.8383769989013672,0.9396058320999146,0.5151515007019043,0.8157894015312195,0.78125,0.96875,0.8681573271751404,0.3571428656578064,0.4530386626720429,0.87321937084198,0.8992792367935181,0.6762325763702393,0.546875,0.8530072569847107,0.9056947827339172,0.2306636273860931,0.9024755358695984,0.43589743971824646
kenn_horizontal_adapter_bert_ms,0,3b5thcoa,0.375,0.9354838728904724,0.23353050649166107,0.8682162165641785,0.800000011920929,0.8867147564888,0.6499999761581421,0.8611111044883728,0.8867147564888,0.7666666507720947,0.8140703439712524,0.6415094137191772,0.5839598774909973,0.6925361156463623,25,0.9052999019622804,0.8813594579696655,0.07486662268638611,0.8626821041107178,0.6929875016212463,0.595146894454956,0.8738217353820801,0.8364887833595276,0.840358555316925,0.8251273036003113,0.9104616641998292,0.6760563254356384,0.9295597672462464,0.07011134177446365,0.7234326601028442,0.5043478012084961,0.6067708134651184,0.7225589752197266,0.8787878751754761,0.8760683536529541,0.21804511547088623,0.6713200211524963,0.1,0.8587080240249634,0.6181818246841431,0.9444444179534912,0.7243084907531738,0.07241100072860718,0.4047619104385376,0.23654603958129883,0.9498714804649352,0.900196373462677,0.5964912176132202,0.6940860152244568,0.8813594579696655,0.8778767585754395,0.840358555316925,0.9396058320999146,0.6666666865348816,0.911764681339264,0.5853658318519592,0.96875,0.8778767585754395,0.3536585569381714,0.6408839821815491,0.8760683536529541,0.900196373462677,0.6920852661132812,0.5666666626930237,0.8587080240249634,0.9104616641998292,0.23502859473228457,0.9052999019622804,0.5897436141967773
kenn_hybrid_adapter_bert_ms,2,1bkb4rxw,0.375,0.9677419066429138,0.19960565865039823,0.8063883185386658,0.7666666507720947,0.8501372933387756,0.723118245601654,0.5869565010070801,0.8501372933387756,0.800000011920929,0.6965901255607605,0.7169811129570007,0.4080996811389923,0.6324364542961121,20,0.8959712386131287,0.8657611012458801,0.07967989146709442,0.7373607754707336,0.5561461448669434,0.5107212066650391,0.8896744251251221,0.8614457845687866,0.8454710245132446,0.7702963352203369,0.8892078399658203,0.6301369667053223,0.9295597672462464,0.07799814641475677,0.6723850965499878,0.7130434513092041,0.6822916865348816,0.6028227806091309,0.7961165308952332,0.8819698691368103,0.1376146823167801,0.7308307886123657,0.18000000000000002,0.8530526757240295,0.3671497404575348,0.7906976938247681,0.7600956559181213,0.0788300484418869,0.4047619104385376,0.24083739519119263,0.9498714804649352,0.9028382301330566,0.2467532455921173,0.7387096881866455,0.8657611012458801,0.8607715368270874,0.8454710245132446,0.9396058320999146,0.7567567825317383,0.692307710647583,0.5348837375640869,0.84375,0.8607715368270874,0.2409638613462448,0.752293586730957,0.8819698691368103,0.9028382301330566,0.7329848408699036,0.5354330539703369,0.8530526757240295,0.8892078399658203,0.2182915955781937,0.8959712386131287,0.7179487347602844
kenn_top_down_adapter_bert_ms,2,xxgdjzds,0.375,0.9677419066429138,0.2062746584415436,0.8182460069656372,0.7333333492279053,0.8446658849716187,0.6940860152244568,0.5283018946647644,0.8446658849716187,0.8666666746139526,0.6794784069061279,0.7169811129570007,0.3791540861129761,0.6246987581253052,21,0.8934382796287537,0.8618420958518982,0.07933194935321808,0.7619965672492981,0.5556981563568115,0.4799234867095947,0.8834618330001831,0.8519793748855591,0.843005895614624,0.7560137510299683,0.8853514194488525,0.6376811861991882,0.9295597672462464,0.07486662268638611,0.6653080582618713,0.6521739363670349,0.6536458134651184,0.6024308204650879,0.7211538553237915,0.8797313570976257,0.12396693974733353,0.7141855359077454,0.23,0.8517686724662781,0.3636363446712494,0.8421052694320679,0.7428401112556458,0.07703462988138199,0.380952388048172,0.23915565013885495,0.9498714804649352,0.9016742706298828,0.24358974397182465,0.7354838848114014,0.8618420958518982,0.8607155680656433,0.843005895614624,0.9396058320999146,0.7536232471466064,0.6588234901428223,0.5641025900840759,0.875,0.8607155680656433,0.21978020668029785,0.6849315762519836,0.8797313570976257,0.9016742706298828,0.7132642269134521,0.5245901942253113,0.8517686724662781,0.8853514194488525,0.22150154411792755,0.8934382796287537,0.6666666865348816
kenn_bottom_up_adapter_bert_ms,2,3rdam6va,0.375,0.9677419066429138,0.2153792679309845,0.8351746201515198,0.6666666865348816,0.8684369325637817,0.6688171625137329,0.800000011920929,0.8684369325637817,0.875,0.75114506483078,0.7169811129570007,0.4757281541824341,0.6771348118782043,20,0.8998321294784546,0.8734445571899414,0.07637438923120499,0.7956297993659973,0.6533678770065308,0.5450500249862671,0.8788560032844543,0.846815824508667,0.8416849374771118,0.7961164712905884,0.8988865613937378,0.6557377576828003,0.9295597672462464,0.07214103639125824,0.7100077867507935,0.6173912882804871,0.6380208134651184,0.6878918409347534,0.7977527976036072,0.8785103559494019,0.1463414579629898,0.6878814697265625,0.19,0.8570200204849243,0.5352112650871277,0.8823529481887817,0.7335929870605469,0.07419737428426743,0.3571428656578064,0.23790884017944336,0.9498714804649352,0.9007796049118042,0.42696627974510193,0.7080645561218262,0.8734445571899414,0.872924268245697,0.8416849374771118,0.9396058320999146,0.7887324094772339,0.8358209133148193,0.6451612710952759,0.875,0.872924268245697,0.25423726439476013,0.6960784196853638,0.8785103559494019,0.9007796049118042,0.7026960849761963,0.508474588394165,0.8570200204849243,0.8988865613937378,0.2260841578245163,0.8998321294784546,0.7179487347602844
kenn_hybrid_adapter_bert_ms,1,1b4zsrlg,0.375,0.9677419066429138,0.2058687210083008,0.8118360042572021,0.8333333134651184,0.8575987219810486,0.6344085931777954,0.5882353186607361,0.8575987219810486,0.4722222089767456,0.7147080302238464,0.698113203048706,0.40860214829444885,0.582629382610321,19,0.8963254690170288,0.8662369847297668,0.0756784975528717,0.760496973991394,0.511042594909668,0.48407644033432007,0.870608389377594,0.8321858644485474,0.838540256023407,0.7689860463142395,0.8929482698440552,0.8333333134651184,0.9295597672462464,0.06842959672212601,0.6288527250289917,0.5130434632301331,0.59375,0.5633572340011597,0.5363636612892151,0.8750509023666382,0.15463916957378387,0.6663205027580261,0.25,0.8467556834220886,0.5522388219833374,0.5357142686843872,0.7115804553031921,0.07187173515558243,0.3571428656578064,0.23567619919776917,0.9498714804649352,0.8997282981872559,0.4567901194095611,0.7016128301620483,0.8662369847297668,0.8551336526870728,0.838540256023407,0.9396058320999146,0.45333331823349,0.7228915691375732,0.8333333134651184,0.9375,0.8551336526870728,0.2666666805744171,0.5244444608688354,0.8750509023666382,0.8997282981872559,0.6775389313697815,0.4285714328289032,0.8467556834220886,0.8929482698440552,0.21976634860038757,0.8963254690170288,0.43589743971824646
kenn_top_down_adapter_bert_ms,1,27uzz56r,0.375,0.9677419066429138,0.18961957097053528,0.7817311882972717,0.8333333134651184,0.8140060305595398,0.698924720287323,0.3100000023841858,0.8140060305595398,0.23456789553165436,0.6002422571182251,0.7547169923782349,0.29439252614974976,0.4913104176521301,19,0.8818483948707581,0.8456874489784241,0.07799814641475677,0.7004712820053101,0.37256795167922974,0.4064516127109528,0.8843187689781189,0.8528399467468262,0.8439918160438538,0.7045857906341553,0.8622278571128845,0.7936508059501648,0.9295597672462464,0.07538854330778122,0.5562887191772461,0.643478274345398,0.65625,0.4421919286251068,0.4567901194095611,0.8799349069595337,0.10563380271196364,0.7108156681060791,0.18000000000000002,0.840896725654602,0.5194805264472961,0.34736841917037964,0.7497410774230957,0.07667115330696106,0.3928571343421936,0.2393876165151596,0.9498714804649352,0.9023826718330384,0.3960396051406861,0.7231183052062988,0.8456874489784241,0.837824285030365,0.8439918160438538,0.9396058320999146,0.3166666626930237,0.469696968793869,0.7575757503509521,0.96875,0.837824285030365,0.190476194024086,0.5342960357666016,0.8799349069595337,0.9023826718330384,0.7211510539054871,0.3687150776386261,0.840896725654602,0.8622278571128845,0.2116168588399887,0.8818483948707581,0.4871794879436493
kenn_bottom_up_adapter_bert_ms,1,2f6qwv52,0.375,0.9677419066429138,0.19960565865039823,0.7998124361038208,0.8333333134651184,0.8460631966590881,0.6440860033035278,0.3827160596847534,0.8460631966590881,0.3695652186870575,0.6815642714500427,0.7547169923782349,0.3720565140247345,0.5462220907211304,41,0.8928642868995667,0.8611971139907837,0.07324286550283432,0.7373607158660889,0.4495579600334167,0.4642507433891296,0.8738217949867249,0.8399311304092407,0.8408281803131104,0.7525057792663574,0.885606586933136,0.7462686896324158,0.9295597672462464,0.06947344541549683,0.599363386631012,0.5652173757553101,0.6171875,0.5095582008361816,0.4676258862018585,0.8768823742866516,0.1428571492433548,0.6610977053642273,0.05,0.8441250920295715,0.6504064798355103,0.5370370149612427,0.7275958061218262,0.07130837440490723,0.3452380895614624,0.23654603958129883,0.9498714804649352,0.9002419114112854,0.5714285969734192,0.6790322661399841,0.8611971139907837,0.8474480509757996,0.8408281803131104,0.9396058320999146,0.4000000059604645,0.5486725568771362,0.6756756901741028,0.96875,0.8474480509757996,0.2489626556634903,0.5118110179901123,0.8768823742866516,0.9002419114112854,0.6958421468734741,0.4202898442745209,0.8441250920295715,0.885606586933136,0.21651150286197665,0.8928642868995667,0.43589743971824646
kenn_hybrid_adapter_bert_ms,0,20pmuoxd,0.375,0.9677419066429138,0.22401994466781616,0.8462882041931152,0.7333333492279053,0.8733197450637817,0.6177419424057007,0.7692307829856873,0.8733197450637817,0.6206896305084229,0.7646116614341736,0.4716981053352356,0.4757709205150604,0.6274954676628113,20,0.9004717469215393,0.8729642033576965,0.07080724090337753,0.8275492191314697,0.6186503767967224,0.5155130624771118,0.8658955097198486,0.8218588829040527,0.8334225416183472,0.792202353477478,0.9030851125717164,0.7457627058029175,0.9295597672462464,0.06663186848163605,0.6665104627609253,0.539130449295044,0.5625,0.6575140953063965,0.8732394576072693,0.8726089000701904,0.18987341225147247,0.6365087628364563,0.4,0.8506403565406799,0.3401360809803009,0.8529411554336548,0.6757564544677734,0.06865613162517548,0.3452380895614624,0.23440036177635193,0.9498714804649352,0.8978734016418457,0.26595744490623474,0.6564515829086304,0.8729642033576965,0.8685845732688904,0.8334225416183472,0.9396058320999146,0.529411792755127,0.8450704216957092,0.7586206793785095,0.9375,0.8685845732688904,0.317460298538208,0.6666666269302368,0.8726089000701904,0.8978734016418457,0.636597216129303,0.49152541160583496,0.8506403565406799,0.9030851125717164,0.22909262776374817,0.9004717469215393,0.4615384638309479
